molecula|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC7i|n6aHRing|GATS1are|SIC2|nFaHRing|RASA|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RPSA|WNSA5|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
11_a33|1|1|3.221176304|0.0|0|7.686621335|0|0.609352951|0.0|-0.151505631|-0.008708023|-0.039406316|0.034984568|0.055664124|-0.32219686|-0.003303432|0.143981643|10.31100126|3|0.105574347|0|0.8389087140000001|0.921896958|1|0.857287241|-0.070841241|-0.104881435|0.033701864|-34.4118011|-50.94714637|0.142712759|-24.74805685|0.0|0.552878386|-1.048814353|-16.71585694|68.11455221|-14.98445481|50.78279943|0.4673066279999999|2220.315582|416.4353629|-509.4714637|979.349175|0.447121614|0.8772525659999999|4880.001461|-247.4805685|27.10262364|0.035341374|921.4892038|335.4799765|1.0|1.0|1.0|1.0|3.19|19.0|4.13|120.17|89.77|0.0|1.0|3.0|-5.48|22.0|4.0|-5.97|328.41|0.0|3.28|-4.38|0.00109|4.13e-05|0.0136|3.28|0.0|0.000194|-0.05806|3.5049|1.93|858.89|353.74|0.5408|353.74|378.1|0.70381|0.70381|-1669.202327|0.5408|-0.14132|3.1406|-0.19938|0.02055276|4.5998|5.0|8.3188|8.3188
14b_a3|0|0|0.0|0.0|0|6.823286122000001|0|0.605016869|0.0|0.143500839|-0.009130444|-0.1160619169999999|0.039799383|-0.1551678719999999|-0.356087317|-0.00603969|-0.008040839|10.31162234|1|-0.288944272|3|0.882394075|0.848135222|1|0.786476513|-0.090994113|-0.100993354|0.012828558|-44.49789848|-49.38772279|0.2135234869999999|-24.15156108|82.79166784|0.766915433|-1.312913604|-21.76034149|57.87172082|-17.83445545|50.77131401|0.487615651|2160.565755|384.6023764|-642.0403962|1289.104749|0.233084567|0.951659927|4803.535505|-313.9702941|23.25478753|0.017348996|837.1723509999999|358.3503513|1.0|1.0|1.0|1.0|3.18|21.0|3.71|105.82|93.25|0.0|1.0|2.0|-4.45|23.0|4.0|-6.42|319.38|0.0|2.82|-3.99|0.0113|0.000103|0.0327|2.58|0.0|4.08e-05|-0.06676|3.0724|2.22|879.19|403.54|0.2276|403.54|368.39|0.70123|0.70123|-1327.349444|0.2276|-0.12942|2.8743|-0.19618|0.02844675|3.8724|0.38|6.4202|6.4202
13a_a30|0|0|0.0|0.0|0|7.412764017000001|2|0.604984129|0.0|0.113424769|-0.011002918|-0.118776867|0.042560386|-0.036541822|-0.627166322|-0.003436924|0.0317047379999999|10.31162842|1|-0.065043716|1|0.841060094|0.885516463|0|0.6963945559999999|-0.109682335|-0.113507021|0.01856512|-74.02777574|-76.60916637|0.303605444|-51.70573895|102.6479456|0.799862466|-2.27014041|-49.96348386|88.22659517|-28.90911938|86.55791128|0.4661332179999999|3002.811441|470.0167988|-1532.183327|2520.165025|0.2001375339999999|0.873126469|6675.344631|-1034.114779|36.14261279|0.017212819|1915.558478|713.7769663|0.0|1.0|0.0|2.0|4.76|17.0|1.72|124.74|135.37|0.0|1.0|6.0|-5.01|32.0|5.0|-7.05|441.51|0.0|1.91|-4.3|0.00427|5e-05|0.0221|2.74|0.0|0.000288|-0.0555|5.0535|4.54|1211.54|351.35|0.1788|245.34|541.59|0.26119|0.6845600000000001|-1744.217986|0.1603|-0.14953|0.7158|-0.20503|0.04590378|1.4855|14.0|7.8665|7.8665
17_a4|0|0|0.0|-4.533317957|1|7.535296702|1|1.219995452|1.690442177|-0.188642713|-0.006491052|-0.319716072|0.043084795|-0.01849014|-0.25315101|0.001892883|-0.3948966229999999|10.94611837|1|-0.073733221|1|0.49887819|0.8347553529999999|0|0.888791225|-0.0887214819999999|-0.08932566|0.01061251|-45.75108579|-46.06264282|0.111208775|-23.75316417|0.0|0.861696586|-1.5185362180000002|-23.59250328|52.67753395|-21.75180355|51.22364842|0.4440629029999999|2351.601697|458.3237652|-783.0649279|1658.726841|0.138303414|0.798764653|5322.773303|-403.8037909|25.24299609|0.012827738|908.7478594|319.5521911|0.0|1.0|0.0|0.0|3.31|17.0|6.26|30.71|85.09|0.0|1.0|3.0|-4.36|25.0|6.0|-5.56|345.29|0.0|4.29|-4.81|0.0152|1.5399999999999998e-05|0.00532|4.01|0.0|9.44e-05|-0.04186|4.3363|4.44|873.5|285.92|0.2045|285.92|413.28|0.47353|0.47353|-1255.881628|0.2045|-0.17559|4.8197|-0.21745|0.02636403|6.3221|877.0|6057.0|6057.0
4f_a49|0|0|0.0|0.0|1|7.535296702|1|1.343848013|2.066693174|0.010266272|-0.008903208|-0.087045007|0.038839506|-0.087861524|-0.418450768|0.001532832|-0.064058097|10.92775957|1|-0.14414265|2|0.69044503|0.8557769120000001|1|0.7370618040000001|-0.102926696|-0.089955514|0.016591015|-55.88123394|-48.83888562|0.262938196|-26.51573683|59.72286429999999|0.718306291|-1.439288231|-30.33918719|60.18871783|-18.1726086|64.88887164|0.437355335|2458.261097|400.1675422|-781.4221699|1629.651745|0.2816937089999999|0.7773206840000001|5422.650822|-424.2517893|25.29924744|0.020905063|1087.86764|467.1194103|1.0|1.0|0.0|1.0|3.07|21.0|3.8|80.9|102.08|0.0|1.0|3.0|-3.99|27.0|5.0|-6.6|356.38|0.0|2.85|-4.09|0.0365|8.120000000000001e-05|0.0289|2.64|0.0|0.000104|-0.06954|4.6249|4.07|982.46|334.21|0.2368|268.08|411.94|0.39584|0.68474|-1179.029099|0.0579999999999999|-0.15517|1.7833|-0.22471|0.03476467|1.8254|0.04|7.3979|7.3979
4p_a46|0|0|0.0|0.122217892|1|7.825245291|1|1.134636977|2.102855253|-0.060700883|-0.004413243|-0.038295755|0.046533816|-0.164311513|-0.233901882|0.005152176|-0.205494852|10.93681929|1|-0.251219946|0|0.7471162309999999|0.7911509609999999|0|0.905966489|-0.0997229069999999|-0.083274013|0.007398064|-56.55658053|-47.22779946|0.094033511|-26.78464688|0.0|0.87420565|-1.498932241|-32.07534663|51.05047787|-17.00200781|60.7522985|0.423511708|2257.769185|513.8073925|-850.1003902999998|2219.4587530000003|0.12579435|0.734640605|5167.091582|-482.1236438|19.44852199|0.006740305|972.4260993|585.8536976|0.0|1.0|0.0|1.0|3.89|17.0|5.25|61.84|107.89|0.0|1.0|2.0|-5.8|27.0|3.0|-5.09|357.45|1.0|4.25|-5.4|0.000567|4.03e-06|0.00144|4.77|0.0|3.2e-05|-0.0393|5.4796|4.89|1058.54|310.28|0.2363|226.26|537.47|0.43709|0.70138|-1129.3914619999998|0.0763|-0.16819|3.6961|-0.20749|0.03979459|5.3996|341.0|6.4672|6.4672
9h_a40|0|0|0.0|0.0|1|7.515889085|0|0.604992856|1.7679629630000002|0.014753178|-0.009041931|-0.126968715|0.039444444|0.157606277|-0.343593366|0.003782277|0.133376308|10.31197223|2|0.270048551|0|0.778613709|0.8022014000000001|1|0.864310149|-0.09201708|-0.095803029|0.012390387|-46.04148264|-47.93581245|0.135689851|-23.98506758|0.0|0.863884935|-1.437045429|-23.03722449|53.60044379|-20.54391962|52.2411122|0.482124665|2073.354193|432.46450360000006|-719.0371868|418.2915223|0.136115065|0.930966649|4322.734135|-359.7760137|23.78085181|0.011321157|832.3298135|336.23227030000004|1.0|0.0|1.0|0.0|3.3|20.0|4.44|67.66|93.19|0.0|1.0|3.0|-5.65|23.0|3.0|-5.06|321.4|1.0|4.06|-5.12|0.000716|7.6e-06|0.00244|4.51|0.0|9.93e-05|-0.05991|4.2372|3.9|868.84|368.18|0.3851|292.61|410.18|0.64952|0.69809|-1293.033723|0.2721|-0.14047|2.1413|-0.20038|0.02291279|2841.0|3.98|5.4001|5.4001
15b_a10|0|0|0.0|0.0|1|7.535296702|1|1.3438370730000002|2.145379897|-0.197213588|-0.002413027|0.024214591|0.033219955|-0.111812184|-0.149607679|0.011484257|-0.082365722|10.92966694|1|-0.175869992|2|0.744213612|0.83320417|1|0.921918974|-0.046334564|-0.07358373|0.015973068|-31.76194123|-50.44100799|0.078081026|-34.57687319|118.6253241|0.670236374|-1.398090862|-21.77253505|62.53159836|-16.52377848|42.7113409|0.414077981|2716.468606|631.9674549|-958.3791518|2603.829652|0.329763626|0.706711759|6105.426726|-656.9605906|24.65365821|0.017637846|1429.912176|766.4127559|1.0|1.0|1.0|0.0|3.61|21.0|4.44|56.07|123.73|0.0|1.0|7.0|-4.35|31.0|5.0|-6.34|413.51|1.0|3.66|-4.64|0.0185|2.28e-05|0.00943|3.49|0.0|2.73e-06|-0.04734|5.7620000000000005|2.74|1231.3|329.52|0.3575|215.17|587.53|0.46711|0.68906|-1317.429772|0.1595|-0.15579|4.7752|-0.20313|0.02977516|6.1384|85.0|7.0706|7.0706
21_a47|0|1|0.0|0.0|1|6.86171134|0|1.408713027|1.2247108|0.072733799|-0.010650348|-0.13650463|0.037801932|-0.034419528|-0.511216716|-0.006808306|-0.004063946|10.95058272|1|-0.090969103|2|0.612295986|0.8856299320000001|1|0.70582155|-0.082614966|-0.095249919|0.022739546|-46.63227351|-53.76411184|0.29417845|-30.34731959|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|70.10126935|-19.11612865|59.46768095|0.463113582|2691.697803|398.4031618|-860.2257893999999|1402.202743|0.355154704|0.862591353|6103.311635|-485.55711339999993|29.64451905|0.028943339|1334.003357|482.9384172|1.0|1.0|1.0|2.0|3.29|21.0|4.93|84.73|104.49|0.0|1.0|6.0|-4.44|29.0|6.0|-6.58|394.38|0.0|3.43|-4.32|0.0142|4.84e-05|0.0191|3.0|0.0|7.8e-06|-0.06339|3917.0|4.43|1014.33|316.53|0.2249|316.53|441.93|0.68296|0.68296|-1374.858663|0.2249|-0.16158|3.6767|-0.2249699999999999|0.03299607|4.9172|5.0|8.3|8.3
5_a15|0|0|0.0|0.0|0|0.0|0|1.419941043|0.0|-0.222657379|-0.008878343|-0.044921287|0.035982906|0.0729170329999999|-0.54157893|0.000420839|-0.0156037999999999|10.95880662|0|0.1093187759999999|2|0.8384601770000001|0.74438723|0|0.8740541479999999|-0.06128567|-0.0989946469999999|0.032616864|-45.57134103|-73.61131563|0.125945852|-54.73655332|64.12413387|0.5089899720000001|-1.583914356|-33.88634094|100.6631306|-20.30656983|69.82487767|0.486150431|2940.77098|649.9369163|-1177.78105|2179.757502|0.491010028|0.946094849|6656.720346|-875.7848531999999|39.89581513|0.036380071|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|1.0|3.79|24.0|6.01|74.73|127.97|0.0|1.0|8.0|-6.16|33.0|6.0|-5.55|443.49|0.0|4.29|-5.66|0.000304|2.18e-06|0.000967|4.86|0.0|9.970000000000001e-08|-0.03714|4.3299|4.36|1272.84|341.96|291.0|286.35|629.67|0.62664|0.70244|-1470.487858|0.0199|-0.14839|4.3576|-0.18553|0.03640044|6.35|13.0|7.8861|7.8861
4_a18 (SD-208)|0|0|0.0|0.0|0|0.0|2|1.304335262|0.0|0.055002235|-0.012457606|-0.113324634|0.040864198|-0.020226647|-0.498304229|-0.018723101|-0.009648044|10.95382003|0|-0.047745689|1|0.773173718|0.904723479|0|0.77909674|-0.077885485|-0.099573708|0.0211761979999999|-40.10670787|-51.27494074|0.22090326|-26.40375252|0.0|0.602029021|-1.2944582059999998|-20.652731600000003|69.63488061|-18.01551972|51.01127638|0.454067432|2395.526727|401.1916387|-666.5742296|1822.914738|0.397970979|0.831728055|5348.394288|-343.2487827|29.9246699|0.035654206|1107.212786|363.2306414|1.0|1.0|1.0|1.0|2.77|22.0|4.44|76.48|92.87|0.0|1.0|3.0|-4.29|25.0|6.0|-6.31|352.75|0.0|3.11|-4.38|18.0|4.14e-05|0.0146|3.02|0.0|2.49e-06|-0.09992|5.1755|2.58|895.83|378.26|0.2761|239.56|396.17|0.4646|0.69028|-1542.15786|0.2316|-0.13588|3.4629|-0.2358|0.0199445|5.2085|0.08|7.0969|7.0969
1j_a5|1|0|2.9426852410000004|0.0|0|6.605297921|0|1.427567371|0.0|-0.2031633169999999|-0.003981454|-0.010620031|0.025987654|-0.115553003|-0.175183967|0.00683534|-0.07622096|10.9487794|1|-0.190920568|2|0.74740095|0.848473695|0|0.847163872|-0.073803258|-0.074505844|0.019690225|-39.64241895|-40.01980349|0.152836128|-21.49609451|1.471030887|0.616489567|-1.117587665|-21.29338752|54.3827755|-14.64139152|50.21875634|0.469085779|2242.805131|455.0425806|-600.2970524|847.5275797|0.383510433|0.883543443|4618.562904|-322.4414176|23.74961767|0.026739895|973.7343247|422.96706330000006|1.0|1.0|1.0|1.0|2.76|23.0|4.21|63.69|96.98|0.0|1.0|4.0|-4.03|25.0|4.0|-6.15|328.37|1.0|3.19|-4.2|0.0304|6.29e-05|0.0206|3.03|0.0|2.36e-06|-0.03832|4.4331|2.61|959.39|300.89|0.5115|279.68|445.81|0.66182|0.6449|-1065.671975|0.1644|-0.16813|2.2503|-0.20645|0.03246499|3.0364|24.0|7.6198|7.6198
1_a6 (SB-431542)|1|0|3.3674017380000003|0.0|0|7.423568444|1|1.430935835|0.0|0.043282217|-0.015636898|-0.175408303|0.035620155|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|10.94959842|1|0.164429684|1|0.838928085|0.805877431|0|0.5940412860000001|-0.126408788|-0.122555709|0.033020439|-74.98172333|-72.69619778|0.405958714|-43.12110169|105.3125675|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|0.472445176|2678.823231|352.3666367|-1235.8353619999998|1890.228713|0.2468003389999999|0.895537592|5748.417262|-733.0587287000001|36.46179023|0.02438148|1640.78056|513.4628663999999|1.0|1.0|1.0|2.0|3.25|23.0|3.63|103.12|106.85|0.0|1.0|4.0|-4.52|29.0|5.0|-6.73|384.39|0.0|2.85|-4.25|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|7.81e-06|-0.05971|3.8208|4.57|1049.69|376.28|0.5765|324.5|464.07|0.55256|0.69868|-1292.358966|0.3346|-0.13329|6.0113|-193.0|0.03494577|8.8611|1542.0|5.8119|5.8119
13c_a5|1|0|2.944180713|0.0|0|6.605297921|1|1.377702625|0.0|-0.2071929139999999|-0.005082338|-0.0090268969999999|0.024822695|-0.010689086|-0.284610951|0.005288472|-0.098760742|10.94530327|1|-0.017427549|2|0.705487111|0.822789227|0|0.80019672|-0.077308234|-0.076591149|0.023143526|-50.97293525|-50.50012762|0.19980328|-33.29709668|51.93687546|0.551328235|-1.302049531|-33.60884086|70.46156718|-16.50965711|66.23254483|0.46617977|2793.480751|527.6071331999999|-858.5021696|1235.709541|0.448671765|0.873289814|5989.714507|-566.0506435|29.94524142|0.0302745689999999|1557.152554|656.208474|1.0|1.0|1.0|1.0|3.13|23.0|3.29|84.0|120.88|0.0|1.0|5.0|-3.55|31.0|5.0|-7.28|411.46|0.0|2.68|-3.96|0.1169999999999999|0.000109|0.0446|2.15|0.0|3.36e-06|-0.05615|4706.0|3.99|1153.36|294.18|509.0|263.46|513.33|0.41594|0.51479|-1351.008469|0.1666|-0.17324|2.3276|-0.22939|0.03747691|2.9732|123.0|6.9101|6.9101
6_a27|1|0|2.6137160880000003|0.0|1|6.823286122000001|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|-0.072298665|0.042942943|-0.237047381|-0.330715016|0.00526746|0.075248207|10.93737136|1|-0.406859288|2|0.678057835|0.849515128|1|0.785047616|-0.0786267609999999|-0.090025109|0.020552125|-38.92545695|-44.56839492|0.214952384|-22.06430895|61.10118428|0.774820398|-1.35037664|-19.27068071|52.66373343|-17.14169035|49.10012093|0.47262982|2196.1151210000003|388.6505938|-668.5259238|1193.992326|0.2251796019999999|0.896201262|4761.820508|-330.96463430000006|22.12343713|0.01635203|862.8140479|373.9912084|0.0|0.0|0.0|1.0|3.0|21.0|2.79|76.46|92.65|0.0|1.0|2.0|-3.62|24.0|4.0|-6.55|317.34|1.0|2.71|-3.82|0.0768|0.000153|0.0485|2.37|0.0|6.86e-05|-0.04793|5.5447|4.27|896.68|299.55|0.1915|223.61|401.49|0.3366099999999999|0.61083|-1043.678244|163.0|-0.17007|2.7521|-218.0|0.02494141|4.0597|1.0|9.0|9.0
8a_a50|1|1|3.139870661|0.0|1|7.860570786|1|1.39826105|2.03117465|-0.0737162059999999|-0.00439531|-0.021959577|0.03904321|-0.0224366579999999|-0.188998337|0.007671336|-0.150515325|10.94501357|2|-0.038971589|1|0.75162266|0.8718949979999999|1|0.860876738|-0.069208148|-0.08230347|0.018809422|-34.88425666|-41.48493288|0.139123262|-20.91041439|0.0|0.751415713|-1.234552044|-17.58335405|50.06249379|-15.95574341|44.36511568|0.46183401|2206.356773|433.9235497|-622.2739931|1503.563342|0.248584287|0.858162757|4638.284496|-313.6562159|21.23424244|0.017017336|828.1354551|388.171611|1.0|1.0|1.0|1.0|3.34|20.0|3.71|59.39|94.75|0.0|1.0|2.0|-3.86|24.0|3.0|-6.12|313.36|1.0|2.87|-4.13|0.0433|7.48e-05|0.0234|2.95|0.0|0.000151|-0.0280699999999999|5.622000000000001|2.69|912.7|297.06|0.18|220.53|396.63|0.3462199999999999|0.60625|-1006.508913|0.1217|-0.17244|3.5509|-0.20051|0.03479985|5.5319|47.0|7.3279|7.3279
8h_a8|1|0|2.975382653|0.0|1|7.05012252|0|1.3918396709999998|1.241306689|0.038482973|-0.010324979|-0.249095464|0.046205674|0.008138299|-0.485274006|-0.007796225|-0.085125857|10.94341368|1|0.021094825|0|0.578166105|0.751162751|0|0.602405134|-0.122706004|-0.11302328|0.0111998669999999|-72.14530885|-66.4523265|0.397594866|-39.07081527|53.78973456|0.918315905|-2.147442322|-42.41801879|70.94463092|-28.69532281|78.73029948|0.451435543|2623.688756|354.18563860000006|-1262.594204|2019.780061|0.081684095|0.822939833|5956.417906000001|-742.3454901|31.2477685|0.00764059|1374.901814|485.8626377000001|0.0|0.0|0.0|2.0|3.11|23.0|4.72|80.88|105.27|0.0|1.0|4.0|-5.21|29.0|4.0|-5.98|391.37|0.0|4.01|-5.0|0.0023899999999999|1.01e-05|0.00395|3.82|0.0|4.43e-06|-0.06344|4801.0|7.71|1029.51|332.16|0.3011|258.25|480.09|0.56196|0.69844|-1361.455676|272.0|-0.15475|3.4779|-0.21819|0.03330037|4.4356|11.59|4.9359|4.9359
8g_a8|1|0|3.073183107|0.0|1|7.535296702|1|1.39137364|1.298078704|-0.000475415|-0.014340328|-0.222784884|0.0438779959999999|0.000966222|-0.731356723|-0.009140059|-0.025002199|10.94318883|1|0.001970629|0|0.6784762320000001|0.790058057|0|0.533935495|-0.136742629|-0.129695841|0.031118325|-83.78686741|-79.46906035|0.466064505|-48.6934008|67.54104396|0.8330608209999999|-2.464220973|-51.33906829|90.27531534|-32.12579035|102.8541256|0.479218966|2889.141422|327.1604688|-1509.912147|2148.49832|0.166939179|0.920192814|6581.432140999999|-925.1746152|38.56355928|0.017636126|1812.487286|551.1746801|0.0|1.0|0.0|2.0|3.31|23.0|3.89|99.34|111.38|0.0|1.0|4.0|-5.3|31.0|5.0|-6.34|417.39|0.0|3.5|-4.94|0.00209|1.16e-05|0.00483|3.53|0.0|1.67e-05|-0.05849|3.7495|7.17|1083.78|330.67|0.3904|330.67|489.97|0.69221|0.69221|-1450.728709|0.3904|-0.15542|6.0697|-0.21391|0.04147516|7.5762|4.2|5.3768|5.3768
15b_a50|0|1|0.0|0.0|2|7.934155233999999|1|1.353059441|4.112770601|-0.144363623|-0.0045393|-0.05484142|0.032843915|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|2|-0.17223348|1|0.79846758|0.8833003970000001|1|0.8209134840000001|-0.082576068|-0.080700307|0.020083792|-47.20879251|-46.13641893|0.179086516|-26.37622116|0.0|0.639017342|-1.291204916|-26.98929785|60.03646705|-16.04745006|58.69070955|0.478989976|2441.264256|469.3167805|-738.1827030000001|1692.3273379999998|0.3609826579999999|0.919348867|5205.2135960000005|-422.0195386|25.11269883|0.024313507|1155.184146|510.3677388|1.0|1.0|1.0|1.0|3.56|20.0|3.26|68.76|105.46|0.0|2.0|5.0|-3.18|27.0|4.0|-6.98|357.41|1.0|2.37|-3.6|0.2339999999999999|0.000249|0.0891|2.11|0.0|0.000687|-0.0333399999999999|4.0561|2.08|1035.3|305.67|0.1796|305.67|475.99|0.65917|0.65917|-1160.275856|0.1796|-0.16737|6.9054|-0.20071|0.03528279|9.3788|79.0|7.1024|7.1024
5b_a40|0|0|0.0|0.0|1|8.149890544|1|0.604912077|1.616656116|-0.067567502|-0.0049439079999999|0.064329005|0.044946237|-0.096549823|-0.163148971|0.008515162|0.179058252|10.31198309|2|-0.164084255|0|0.537115914|0.88618123|1|0.881264402|-0.077031845|-0.091267779|0.019116586|-38.64461938|-45.78637031|0.118735598|-22.96968039|49.25022097|0.829018186|-1.095213344|-19.38687321|52.08187888|-18.31454812|48.2348504|0.477304896|2126.9310920000003|442.1045286|-549.4364437|764.9528181|0.1709818139999999|0.913161214|4813.179854|-275.6361647|22.09185326|0.012549086|662.7555978999999|285.9136384|0.0|0.0|0.0|0.0|3.13|14.0|4.39|75.5|84.17|0.0|2.0|3.0|-5.43|21.0|3.0|-5.42|338.21|0.0|3.83|-4.84|0.00125|1.44e-05|0.00488|4.14|0.0|0.00191|-0.07069|3.9759|5.62|847.01|311.84|0.3005|311.84|411.1|0.59928|0.59928|-2096.707754|0.3005|-0.15999|7.2947|-0.23068|0.01471235|9.3069|64.0|7.1938|7.1938
6_a4|0|0|0.0|0.0|1|7.535296702|1|1.271761557|2.170234316|-0.19701009|-0.001221193|0.010164572|0.035283951|0.042096749|-0.064723237|0.011457667|0.0032928379999999|10.92992785|1|0.0671397079999999|2|0.664591856|0.810030118|1|0.945545838|-0.052396457|-0.0670158929999999|0.0077624059999999|-29.18838891|-37.33240845|0.054454162|-20.7966895|45.93422613|0.814470803|-1.206286076|-16.25991695|42.27020924|-13.71394596|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|1968.0178670000005|0.1855291969999999|0.733355042|5256.215815|-374.340411|16.83786074|0.008863911|825.0551765|578.2065561000001|1.0|1.0|1.0|0.0|3.38|21.0|5.23|43.6|109.7|0.0|1.0|3.0|-4.91|27.0|3.0|-5.42|354.45|1.0|4.23|-5.11|0.0043799999999999|7.74e-06|0.00274|4.28|0.0|3.67e-06|-0.04867|4.8714|4.11|1057.7|307.24|0.1235|254.51|453.87|0.60542|0.5877|-1108.338577|0.0772|-0.16959|2.8026|-0.2182599999999999|0.02244097|3.2192|1.3|5.8861|5.8861
3h_a32|1|1|3.579396967|0.0|0|7.765993078999999|0|0.609420752|0.0|0.01077056|-0.005281944|-0.008243901|0.037731481|0.014517903|-0.269379119|0.002101838|-0.003152613|10.31100268|3|0.025035542|0|0.84279263|0.834881529|1|0.87880263|-0.07183387|-0.0882883959999999|0.0111539339999999|-44.97387528|-55.27575363|0.12119737|-34.60714056|0.0|0.7734940029999999|-1.324325944|-28.15732254|62.63332945|-17.27367301|51.95714963|0.4089962629999999|2398.020434|550.2022886|-829.1363044|2911.160989|0.226505997|0.692036677|5187.525619|-519.1071084|22.33200639|0.011751781|1071.936307|593.0848817000001|1.0|1.0|1.0|1.0|3.65|19.0|6.24|110.94|112.28|0.0|1.0|7.0|-8.23|26.0|3.0|-4.29|382.55|0.0|5.4|-6.15|2.24e-06|7.140000000000001e-07|0.000273|6.12|0.0|1.29e-06|-0.05318|3.5552|4.61|1127.45|348.74|0.2926|348.74|578.86|0.70257|0.70257|-1790.440663|0.2926|-0.1474099999999999|3.5952|-0.20059|0.02690554|5.8749|7.0|8.1549|8.1549
3b_a32|1|1|3.3653429710000005|0.0|0|7.758333467000001|0|0.609420808|0.0|0.046791596|-0.007388108|-0.064476472|0.042528736|-0.0411430079999999|-0.265971895|-0.001282231|-0.1113575119999999|10.31100281|3|-0.078754696|0|0.833920105|0.866250192|1|0.8407393809999999|-0.073068133|-0.100355499|0.014636992|-35.8437493|-49.22963237|0.159260619|-24.14971513|0.0|0.764128338|-1.103910485|-17.58323784|56.82775081|-16.40987746|43.023961|0.460751087|2092.213643|412.4267349|-541.5259561|1084.520517|0.2358716619999999|0.854431185|4448.251276|-265.6468664|21.47528975|0.0154889019999999|708.6845618|323.0421997|1.0|1.0|1.0|1.0|3.11|19.0|4.43|110.94|88.24|0.0|1.0|2.0|-5.73|21.0|3.0|-5.57|312.41|0.0|3.68|-4.65|0.0005809999999999|2.23e-05|0.00697|3.71|0.0|9.97e-05|-0.05396|3.5545|2.45|857.0|348.81|0.2905|348.81|396.83|0.70257|0.70257|-1594.0008779999998|0.2905|-0.1474099999999999|3.5719|-0.20137|0.02589511|5.7777|6.0|8.2366|8.2366
27a_a34|0|0|0.0|0.0|1|7.412764017000001|1|0.300206665|1.963136117|0.0257175079999999|-0.012620846|-0.456594848|0.0408037829999999|-0.082271189|-0.7320090459999999|-0.012495918|-0.026428049|10.319282|1|-0.13716603|1|0.8186389829999999|0.832753533|0|0.600964267|-0.106669294|-0.123191967|0.026573385|-74.78290605|-86.36649751|0.3990357329999999|-60.54917431|22.69787432|0.764921711|-2.340647376|-52.42823715|100.7752505|-30.38821209|93.41277507|0.436895447|3394.470264|421.319507|-1640.9634529999998|2252.433058|0.235078289|0.7758691440000001|7104.26596|-1150.434312|39.72721867|0.020552444|2145.269808|718.5861133999999|1.0|1.0|1.0|2.0|3.66|23.0|3.97|129.74|122.61|0.0|1.0|6.0|-4.96|33.0|7.0|-7.29|463.51|0.0|2.44|-4.47|0.00504|3.43e-05|0.0159|2.59|0.0|1.13e-05|-0.03924|5.0012|7.38|1247.85|300.73|0.2896|247.91|598.18|0.40378|0.69818|-1861.468024|0.0203|-0.16691|10.8591|-0.20615|0.04629882|13.9023|0.24|6.6198|6.6198
