molecula|Wavelength (HOMO-LUMO transition) (nm)|MATS1c|n6aHRing|DPSA4|FPSA5|DPSA1|AATSC1c|PNSA3|PPSA3|AATSC8d|Log Po/w WLOGP|pIC50
27b_a34|302.88|-0.463926296|1|34.46979951|0.022820627|-279.5721769|-0.010183855|-57.66200309|20.42417736|-0.027175221|4.11|6.1871
5g_a40|356.27|-0.4748772539999999|0|31.38430965|0.025660198|-232.8857705|-0.016033575|-72.93994279|11.83520323|-0.091116241|2.5|6.9101
12aq_a36|367.26|-0.5356623070000001|1|37.66374367|0.020701483|-350.0740123|-0.0116333169999999|-73.0277723|14.29132551|-0.028591187|0.98|7.2596
1k_a5|281.38|-0.254495542|2|21.25369168|0.019219352|-230.14624|-0.0030192829999999|-40.40908188|5.571869083999999|-0.011848312|4.76|7.3188
17_a47|289.79|-0.3004189439999999|3|24.43867122|0.0159160889999999|-299.80980739999995|-0.003764469|-43.82821253|7.87914003|-0.006331624|5.44|8.3
12k_a36|338.46|-0.4373676689999999|1|31.85663123|0.016847116|-369.7499256|-0.0071232019999999|-49.87227128|11.90012613|-0.058284869|2.42|7.8539
5a_a49|316.13|-0.51958118|2|26.32248561|0.0270848489999999|-125.09569170000002|-0.009147269|-42.1802818|16.71687776|0.076610236|3.68|7.3665
8a_a31|325.45|-0.520051508|0|30.93264504|0.030052065|-164.57484340000002|-0.015034136|-60.46233433|18.56711239|-0.01861065|2.54|6.1024
15b_a50|305.67|-0.310946931|1|25.11269883|0.024313507|-158.95261259999998|-0.0045393|-47.20879251|11.48191704|-0.124047802|3.26|7.1024
8f_a8|355.5|-0.5373378529999999|0|31.14376424|0.009226445|-473.23361|-0.01032134|-71.22071405|7.91086576|0.007079485|4.72|4.6428
16i_a32|342.72|-0.700853898|0|33.38593207|0.021112022|-286.2130831|-0.0146198339999999|-56.03343427|14.59730623|0.006037736|4.85|8.2596
47c_a18|398.71|-0.455055055|0|34.55329606|0.016406766|-400.3604527|-0.007068829|-57.54296759|12.75381432|0.028947131|2.87|8.5229
3n_a32|349.65|-0.435658951|0|24.27704797|0.0210408339999999|-171.25176130000003|-0.00615216|-42.83673428|10.86481886|-0.0711168609999999|5.01|7.6778
1_a3|320.83|-0.486774367|2|19.78900457|0.014174378|-268.4830832|-0.006053652|-45.44133321|3.693677623|0.032569462|1.85|6.1403
9_a47|333.44|-0.4477815529999999|2|24.43189048|0.015793737|-304.1026787|-0.008501246|-44.13640712|4.991260197|0.045804989|5.61|7.6
14a_a23|334.02|-0.446724057|2|27.68542751|0.016707951|-355.0975547|-0.0056795759999999|-35.20994211|12.33442989|-0.071842463|4.02|8.5498
47l_a18|387.13|-0.4925232479999999|0|28.10487315|0.012890098|-421.235376|-0.006400878|-57.15119372|6.543729374|-0.056270425|3.19|7.4949
17b_a25|313.02|-0.366585181|2|30.59704545|0.0175785369999999|-341.0100868|-0.004368141|-51.71860811|12.04068508|0.016982601|5.18|6.9957
4a_a46|272.77|-0.143806973|2|15.47527339|0.011380391|-252.0050978|-0.001042349|-28.50561609|4.858713991|-0.0466186959999999|4.46|6.7423
7c_a8|394.78|-0.328286221|1|33.67700028|0.032058696|-159.15828340000002|-0.007509694|-50.34151168|19.18974586|-0.118915929|3.78|4.7307
12o_a36|320.16|-0.5110239679999999|1|38.27030489|0.026586303|-239.7655413|-0.0100574069999999|-59.0895896|16.85373064|-0.010904454|1.65|7.3979
16a_a32|341.42|-0.707456102|0|33.19592405|0.023475264|-244.9767673|-0.014399612|-56.2527503|12.86051026|-0.058518519|3.79|7.9586
16_a20|347.26|-0.458484451|2|24.9314775|0.013439632|-368.5817657|-0.004705049|-43.51359744|7.634605066000001|-0.062750442|5.46|7585.0
13_a15|482.03|-0.357554652|2|28.24531009|0.01672103|-322.1392954|-0.006348913|-43.2365883|10.21906987|0.005149745|6.69|8.2218
7_a1|306.1|-0.441054548|1|24.78585294|0.029820838|-99.61948195|-0.010040172|-40.16416679|17.31482297|-0.024096172|3.29|6.3372
6a_a40|415.55|-0.620787469|0|35.37373259|0.012872604|-459.522754|-0.014623575|-68.11170799|10.24294396|-0.230955427|3.07|7.3979
6_a1|305.12|-0.353456514|1|19.95772445|0.025250885|-74.17956941|-0.005477033|-27.63847818|10.15161645|-0.0538497079999999|3.57|5.2924
12l_a36|321.05|-0.428857427|1|33.56329135|0.02088234|-309.7725155|-0.0076430169999999|-52.05361632|14.33450402|-0.0452558729999999|1.76|7699.0
12g_a31|323.3|-0.57758443|0|34.8320455|0.02515117|-231.70711040000003|-0.01500347|-78.87508829|19.01411466|-0.082116813|3.44|6.9586
3i_a32|340.43|-0.537667101|0|30.52825775|0.021905206|-285.465827|-0.012358668|-49.17963359|8.064907632|0.022524712|6.29|8.2366
8k_a46|302.15|-0.510222233|2|28.73282642|0.0112621819999999|-468.6373459|-0.006208399|-61.98124174|6.774333772|-0.038125|5.37|6.8327
LY364947_a10||-0.204644982|2|18.1140017|0.018707677|-197.4583104|-0.00235945|-34.01613475|4.275500834|-0.006198347|3.69|7.2291
16_a31|338.79|-0.60894688|0|32.30339751|0.027684692|-217.4912527|-0.020181753|-66.9420327|17.63615984|0.06214876|2.83|7.0458
12k_a30|357.15|-0.4186541|1|32.93073182|0.0226150579999999|-275.77726980000006|-0.007818038|-52.35426525|16.01752015|-0.038714845|2.63|7.6144
11f_a5|299.8|-0.230681941|2|30.31104695|0.030351311|-15.23851001|-0.0037371509999999|-47.57801621|15.41338844|-0.0080939669999999|3.53|7.9208
1_a6 (SB-431542)|376.28|-0.567791164|1|36.46179023|0.02438148|-300.3801761|-0.015636898|-74.98172333|19.58668728|-0.0492229479999999|3.63|5.8119
7f_a8|356.17|-0.381574707|0|26.31197491|0.010262531|-433.4681077|-0.005338193|-52.28313554|7.858266077000001|0.0260356679999999|5.49|4.4479
12b_a32|347.27|-0.584995111|0|28.50066715|0.025166975|-130.2147289|-0.009432679|-50.88975159|10.17310723|-0.053480599|4.19|7585.0
4c_a49|325.7|-0.412652341|2|26.5256103|0.0173567219999999|-288.71184960000005|-0.0057600559999999|-56.5385923|7.782541015|0.006194124|3.19|6.5935
8c_a32|347.56|-0.578242111|0|27.72624296|0.025527931|-121.7388847|-0.0093793719999999|-46.47597924|9.818219446|-0.0682721729999999|4.19|7.4318
12a_a32|346.71|-0.583507277|0|28.81034388|0.021399091|-209.1696096|-0.009460484|-53.20970382|10.31184223|-0.074344282|4.19|7.6021
25_a12|359.04|-0.4288076329999999|2|18.87554002|0.005118351|-434.8420476|-0.004103693|-28.517955|2.580489093|-0.11195017|5.35|7.6576
12aa_a30|357.9|-0.394520145|1|37.41227352|0.029670025|-182.6418006|-0.008848121|-54.50378741|21.58471858|-0.007369513|2.63|8.1135
12j_a36|327.94|-0.436310965|1|31.59421634|0.016546717|-364.314663|-0.007086381|-46.2113679|11.99396966|-0.051080247|2.61|8.0
4b_a46|272.4|-0.16915334|2|15.43427855|0.007963679|-338.6757579|-0.00113356|-28.58477842|4.127907383|-0.111103941|4.77|6.2612
14y_a23|340.49|-0.4598871539999999|2|30.28429949|0.016527|-391.6770747|-0.005875443|-39.9727336|13.00274534|-0.031435038|5.32|8.4225
EW7203_a60|352.3|-0.458129101|1|30.83771958|0.01793256|-345.1309687|-0.00698487|-49.19385637|13.03554647|-0.051413084|2.6|8.0334
3l_a32|351.04|-0.524711546|0|21.27134288|0.011493763|-335.2422712|-0.0054004|-40.30321333|7.120934925|-0.107818594|6.17|7.9208
15_a4|294.16|-0.226703465|1|17.45960235|0.009743323|-329.8289177|-0.001986535|-29.80513879|5.223809291|0.022446689|4.4|6757.0
13n_a6|369.99|-0.57091314|2|35.2699138|0.019904118|-341.7352549|-0.010884884|-68.88015714|12.18768927|-0.033224059|3.76|7.1249
14ad_a23|366.09|-0.376350719|2|36.80430179|0.033365494|-108.4705382|-0.00790478|-42.29008971|24.18091285|-0.031279567|4.03|8.3595
8_a27|300.38|-0.535352745|2|22.74314225|0.019394143|-239.8554499|-0.008444078|-37.50265703|10.41179748|0.067074515|2.48|8.2218
4_a38 (LY-2157299)|327.69|-0.463575124|2|23.51893991|0.01379043|-327.0140711|-0.00638266|-52.90108631|7.104736984|-0.020954339|3.51|7.1586
11d_a31|326.2|-0.574318121|0|36.63453013|0.027374162|-222.5622569|-0.017317263|-82.05480081|21.07078977|-0.078235092|4.03|7.5229
8j_a46|281.1|-0.229679821|2|16.76894569|0.008843828|-346.061389|-0.0017688329999999|-29.38737046|4.658562801|-0.053618988|4.55|5.9108
8_a10|336.55|-0.368590322|2|22.64553798|0.017582236|-243.5764486|-0.00560152|-32.63117642|8.619652859|-0.106100115|4.2|6279.0
13a_a5|294.45|-0.367284642|2|30.07803494|0.02811638|-127.2041084|-0.006081807|-57.31787843|10.77696869|-0.025324157|3.58|7041.0
11b_a5|295.32|-0.252164213|2|26.35133256|0.0228838029999999|-202.0032297|-0.003900104|-45.82509318|9.829471091|-0.0536971829999999|4.82|7.7212
5_a15|341.96|-0.340979744|2|39.89581513|0.036380071|-13.36968593|-0.008878343|-45.57134103|24.25353664|0.0118220069999999|6.01|7.8861
24_a47|312.5|-0.540463145|2|29.90471672|0.032103375|-125.6197312|-0.010774404|-42.71324947|12.11301576|0.071506228|4.64|8.5
12bf_a36|320.04|-0.433281391|1|34.22402339|0.02371294|-264.6734075|-0.00832865|-58.26326838|14.01562806|-0.0206090089999999|3.0|8.2218
12bh_a36|341.97|-0.43574839|1|30.2209316|0.015307571|-377.0728785|-0.006687484|-47.04367494|11.73109101|-0.035747988|2.5|7.8539
8a_a12|317.17|-0.5385001079999999|2|22.14447395|0.014012546|-301.89687089999995|-0.00771093|-30.69873711|5.354053791|-0.084035283|2.5|6.7011
17_a15|326.22|-0.461493931|2|31.74439379|0.0217385279999999|-234.74904|-0.0071363569999999|-40.50376584|9.875456386|-0.0141953639999999|6.0|7.9208
8b_a31|321.36|-0.510259793|0|30.28603362|0.02483711|-212.5400476|-0.013629145|-63.04219151|16.89414614|-0.069423138|2.74|5.6576
3d_a49|318.67|-0.202380888|2|27.67490257|0.018844179|-297.31302830000004|-0.003398408|-57.52001036|5.561916586000001|0.017871379|4.46|5.6308
4R4l_a46|301.29|-0.3888343979999999|1|18.4720714|0.006401537|-410.6276419|-0.004736212|-49.12015477|3.844966512|-0.161358058|5.02|6.8633
9o_a24|290.75|-0.38043264|2|28.52459128|0.026064002|-194.5965258|-0.007052095|-51.29122728|10.7072496|-0.000236595|4.36|6.3507
15_a3|334.44|-0.505519936|3|22.67368656|0.010200078|-358.6340772|-0.006742751|-47.26593592|4.04445331|0.021805556|1.56|7.6021
37_a18|385.91|-0.44541772|0|27.36337253|0.0142451319999999|-387.3755475|-0.005351023|-50.09028298|6.653112344|-0.011713125|3.3|7.4559
28_a47|337.37|-0.435485503|2|34.75365534|0.031626405|-181.0112167|-0.009689834|-67.33744077|15.50250691|0.0467853809999999|3.84|7.6
12ae_a36|320.67|-0.513686975|1|39.62310606|0.025570256|-275.6561988|-0.009867085|-63.96145017|17.78605328|0.006615826|2.15|7.8239
17a_a25|315.11|-0.362222339|2|28.08362601|0.015373381|-365.1448527|-0.004137083|-44.46905084|9.033070252|0.006360768|5.31|7.6021
14s_a23|336.66|-0.457212212|2|28.36177131|0.017330177|-352.5931977|-0.005854379|-35.30692476|12.81151517|-0.064006338|4.67|8.5482
17_a4|285.92|-0.392770755|1|25.24299609|0.012827738|-373.0328031|-0.006491052|-45.75108579|5.472562628|-0.094767116|6.26|6057.0
19g_a38|336.12|-0.438254637|1|34.14148263|0.0228937029999999|-278.3610963|-0.008497058|-54.62049927|14.52522351|-0.046735135|3.11|7.3778
17_a3|386.22|-0.633373061|2|23.96047156|0.012803096|-346.0738521|-0.009450704|-50.20132919|5.251911643|-0.0510707059999999|4.66|7.6383
14l_a23|341.8|-0.448622017|2|27.44221375|0.01508774|-382.1434717|-0.005344736|-35.3275485|12.31633167|-0.061788679|4.33|8.1798
18_a15|324.29|-0.431836192|2|24.80452821|0.008781964|-449.4301265|-0.006149666|-41.31992544|4.370403779|0.002685285|6.86|6.8894
10_a1|363.94|-0.623957903|1|30.78628757|0.015427326|-377.9175542|-0.014135827|-65.97424138|8.34295348|0.010430299|5.06|5.8239
8f_a12|339.35|-0.560548116|1|25.9168408|0.012030968|-384.290491|-0.008295703|-41.27611074|7.550959323|-0.024023866|3.41|6.1898
5b_a40|311.84|-0.389789991|0|22.09185326|0.012549086|-330.1175669|-0.0049439079999999|-38.64461938|9.59023102|0.020344828|4.39|7.1938
11_a27|499.21|-0.488734846|2|22.42732497|0.012694323|-326.780942|-0.0067474069999999|-42.27430065|8.553922917000001|-0.027287578|1.67|8301.0
11_a4|328.0|-0.145254541|2|18.0546182|0.011937709|-296.0029432|-0.001098364|-31.35942689|5.395547437|-0.0043410079999999|5.22|6.9586
15c_a22|337.46|-0.364626967|2|32.87972244|0.0248073129999999|-232.9472639|-0.005236206|-48.58045253|17.68362419|0.006275578|4.18|6.1325
13c_a5|294.18|-0.324868153|2|29.94524142|0.0302745689999999|-67.68621352|-0.005082338|-50.97293525|15.25960958|-0.018055556|3.29|6.9101
14ae_a23|344.06|-0.363230717|2|36.35475577|0.034488074|-43.57178809|-0.007539122|-46.69131269|24.84237243|0.0289586779999999|4.03|8.6038
6b_a31|376.29|-0.57983695|0|37.35947255|0.024142162|-300.0775025|-0.016070861|-73.70779766|20.12924648|-0.053655833|4.0|7.2676
14b_a25|304.7|-0.3691494039999999|2|29.33534086|0.015746299|-377.9013888|-0.004720915|-52.75064158|11.08504021|0.0009956189999999|4.79|7.6576
2_a1|303.31|-0.422863867|1|17.36508791|0.017741989|-176.9692239|-0.004621682|-28.32386891|5.135384136|0.101798469|4.12|5.2366
19j_a38|336.13|-0.42133715|1|36.5253298|0.023555355|-293.4664598|-0.007976154|-57.80349365|17.15233756|-0.036248822|2.42|8.1146
1b_a5|266.74|-0.231956531|2|21.51550842|0.019229427|-234.0649914|-0.00279809|-39.38248661|5.438378717999999|-0.028797464|4.76|7.2291
12g_a30|348.35|-0.539112991|1|35.50940589|0.019453222|-371.8296813|-0.010447128|-58.41940906|18.59520651|-0.049719762|2.48|8.0334
9_a27|297.52|-0.541535578|2|21.99956856|0.014524299|-298.297086|-0.0073742819999999|-40.3551562|10.10030794|-0.0447599329999999|3.04|8699.0
2_a4|384.69|-0.3881618|1|18.96532986|0.011054731|-289.1005902|-0.00708265|-49.45826819|2.667094277|0.076479666|0.83|7.5086
11c_a5|294.59|-0.269653478|2|27.76804404|0.021214793|-251.8596984|-0.004590583|-47.99592739|10.85837291|-0.023856811|4.17|7.6021
19e_a38|321.31|-0.436305701|1|34.02454948|0.020114756|-335.8133169|-0.007550899|-56.34606212|14.27562164|-0.038386106|3.09|8.0083
16b_a23|772.92|-0.401493392|2|31.49562341|0.018384316|-354.1828792|-0.005139233|-37.52431601|13.79443768|-0.05237763|4.1|7.0191
14u_a23|389.66|-0.4086345999999999|2|32.2221994|0.023582305|-271.0010972|-0.007017844|-36.90928915|16.97420126|-0.0569153009999999|4.03|8.2449
19_a4|296.2|-0.245630631|1|20.83197214|0.0143733|-291.6208078|-0.0023503029999999|-38.9063534|7.168604362000001|-0.136621315|4.32|4.71
31_a47|340.91|-0.441642572|2|32.98913783|0.024209265|-256.3593656|-0.00869363|-66.4670426|13.27533898|0.001073537|4.24|7.8
19_a47|322.68|-0.439165562|2|32.40636867|0.03295186|-152.7310283|-0.00973456|-58.28861174|14.85167037|0.0604168609999999|3.84|7.3
28_a20|346.35|-0.447096101|3|30.25452396|0.016673728|-365.2747728|-0.006492092|-57.59898971|9.799649234|-0.039965901|4.01|6.5935
10_a27|298.79|-0.487435299|2|22.1732254|0.01651645|-260.9504933|-0.006285923|-32.5969511|9.399794974|-0.000903965|2.97|7.1612
12b_a5|857.76|-0.1708042239999999|2|24.32296891|0.025810077|-38.31786425|-0.001991527|-41.76622313|10.44150403|-0.016614746|0.72|7.3768
12f_a30|351.25|-0.6394697460000001|1|39.1336968|0.01752821|-444.7025522|-0.015345198|-63.81176255|11.07796031|-0.046588557|4.78|7.7144
17_a20|365.45|-0.456415963|3|27.44244402|0.016793117|-333.5397332|-0.005457467|-41.75129828|9.857999796|-0.072863159|4.85|5.6478
12_a4|325.57|-0.220286906|2|21.42753878|0.015603795|-258.476202|-0.0021497879999999|-41.69390404|6.936764267999999|0.028152112|4.98|5032.0
1c_a5|274.99|-0.20172074|2|19.11862892|0.0153811389999999|-258.918642|-0.001983746|-34.82350689|4.27195187|-0.058823529|4.51|5.4
6b_a40|399.62|-0.630957955|0|37.83107469|0.011838681|-506.5422338|-0.014861289|-72.13527644|9.771129787|-0.226457281|4.38|7.5229
3j_a32|354.42|-0.528541012|0|21.85672669|0.015301673|-264.245436|-0.006580847|-37.33051857|7.315176208|-0.052622352|4.93|8.0969
6f_a40|482.43|-0.628934821|0|38.88975659|0.013841059|-466.1748926|-0.01691341|-86.21963207|10.2782635|-0.190617284|2.66|7.3768
12c_a5|309.06|-0.223631474|2|25.27376659|0.024214085|-109.9706106|-0.002685954|-46.62294305|10.77147171|0.0072946769999999|4.32|7.3279
18_a4|294.88|-0.319213511|1|22.30718562|0.0175331289999999|-265.85258480000005|-0.004533883|-46.48874223|8.729352711|-0.063708832|3.43|5.5817
12c_a36|322.58|-0.4423430339999999|1|32.34920911|0.019278991|-327.5932797|-0.007667703|-47.12722334|12.5779546|-0.056994595|2.54|8.0458
8_a4|311.03|-0.150276481|2|17.50981094|0.0148422489999999|-233.7988862|-0.001277205|-27.90231822|5.362918401|0.05775266|4.76|7.2676
8_a20 (IN-1130)|383.5|-0.573278819|2|31.628086|0.018957805|-328.593789|-0.009430196|-63.72828772|10.46873389|-0.0574882679999999|4.08|7.4437
18a_a25|390.98|-0.2936794219999999|2|25.136651|0.011486699|-420.4420243|-0.0029953159999999|-37.07961488|6.317215793|-0.019985937|5.72|7.0269
20_a31|350.43|-0.594513619|0|29.5712685|0.019624081|-264.0799235|-0.009722467|-53.79798102|12.1160662|-0.078213611|4.38|8.0862
14p_a23|346.79|-0.4510651779999999|2|30.21311441|0.0190667019999999|-339.5427625|-0.005975594|-42.52653933|14.91710363|-0.053921569|3.89|8.5302
17e_a50|307.67|-0.229030473|1|23.07468625|0.010255676|-422.5418889|-0.0020746479999999|-32.24487658|8.950665784|-0.114420412|4.68|6.8097
12j_a30|356.4|-0.456342646|1|28.76265258|0.01349128|-405.1466163|-0.006336585|-47.76354083|10.09017681|-0.075816941|2.93|8058.0
12y_a36|319.6|-0.434990282|1|32.46293206|0.01873364|-343.8442493|-0.00707164|-51.48548385|13.04507243|-0.028440975|2.42|7.9208
17b_a6|413.78|-0.563310199|1|35.32951798|0.019915748|-355.2067434|-0.01272079|-62.63196368|20.48861696|-0.0791229359999999|4.32|6.8153
12ak_a36|336.05|-0.439326642|1|31.93194362|0.018055095|-342.3783571000001|-0.006465433|-49.87483724|14.3700664|-0.015708652|3.01|7.3372
21b_a23|342.15|-0.481470603|2|29.53101081|0.013439264|-437.9110924|-0.005936474|-41.81114831|10.15224639|-0.0490623259999999|4.2|7.0691
9a_a40|373.53|-0.449508498|0|17.90285474|0.008714375|-356.33157|-0.003680068|-29.02567082|5.334966331|-0.1720337089999999|4.43|6.6696
19f_a38|360.19|-0.4288343429999999|1|32.91812709|0.020733452|-299.5321167|-0.007831113|-54.50401599|13.4639011|-0.054832432|2.55|7.1397
12e_a31|322.95|-0.543945776|0|36.75829484|0.020841203|-327.4245209|-0.011519192|-68.32948993|19.38343763|-0.015755876|5.4|6.7696
14c_a23|334.81|-0.4589840189999999|2|28.88097191|0.016385474|-376.6791777|-0.005822256|-37.73933093|12.52192141|-0.047410593|4.67|8.6253
12x_a36|331.83|-0.4331246039999999|1|31.79630645|0.016274369|-372.4502879|-0.007008724|-49.60929169|11.85578416|-0.023932402|2.61|8.1549
4j_a46|281.19|-0.226712003|1|18.85718615|0.0106831269999999|-327.122208|-0.002284836|-34.99059698|8.812983129|-0.176133068|5.33|6.0942
16e_a32|342.37|-0.698621582|0|34.2534974|0.023323257|-259.78720209999994|-0.0154404319999999|-55.957388|15.50894749|-0.01320745|4.6|8.1367
28_a34|289.3|-0.5437894289999999|1|33.80175623|0.0271102189999999|-235.3612529|-0.016942875|-66.89539627|19.29162755|-0.0500053959999999|2.07|5.4179
19c_a38|323.53|-0.434836855|1|33.48483537|0.023120664|-275.39483110000003|-0.008177185|-57.79749770000001|15.30924906|-0.0431896509999999|2.42|8.0348
12z_a36|318.16|-0.433580807|1|33.72393432|0.0225782039999999|-282.1167226|-0.007671785|-54.11489962|15.50078625|-0.030529442|1.76|8301.0
33_a20|318.99|-0.1771816269999999|2|22.88265911|0.013564844|-339.6262863|-0.00145476|-38.58254635|8.340767701|-0.062750442|5.39|7.4685
12am_a36|321.15|-0.6080522279999999|1|40.24894481|0.020179019|-398.3921535|-0.015884751|-63.19394154|12.15249658|-0.037654321|4.04|7.2218
