molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|IC50|pIC50|pIC50
8_a47|0|0.0|0|7.252053952000001|0|1|1.24688044|0.0|0.003732288|-0.007835945|-0.099564745|2|1.335354131|-0.391797226|-0.008756|10.93671024|-0.14203855|0|-0.007648516|-0.177626636|2|0.686795267|-0.035681436|-0.223459904|0.842571655|0.659210804|1|0.8497568740000001|-0.075955381|-0.091482011|0.517797505|0.008687692|-44.09728708|90.32612351|0.150243126|-0.035797309|-30.83488674|2.928269795|0.0|0.819702033|-1.646676195|-25.60148752|-20.78278301|2621.772106|493.3419136|0.707366287|6219.278078|104.6752861|25.35407034|0.012935553|-371.2177396|1.0|1.0|1.0|2.0|3.02|3.21|0.13|-9.25|2.0|113.97|1.0|4.0|-6.59|-4.79|1.0|0.0|1.0|2.56e-07|0.000104|6.490000000000001e-07|5.61|0.0|0.0|5.62e-10|2.28e-07|4.91|3.6696|-1686.0356350000002|621.06|337.87|0.2249|337.87|0.6877800000000001|0.6877800000000001|0.2249|-0.15357|3585.0|0.05|7.3|7.3
27b_a34|0|0.0|1|7.412764017000001|1|1|1.4335271040000002|2.013418486|-0.056026127|-0.010183855|-0.016803292|1|0.0|-0.549928192|-0.001438963|10.95430634|-0.027175221|1|0.001228116|-0.175834895|1|0.820914556|0.00102838|-0.047542374|0.8299950709999999|0.770240631|0|0.783431788|-0.08757938|-0.109683855|0.3307451819999999|0.031021066|-57.66200309|150.83624440000003|0.2165682119999999|-0.037292511|-47.54648562|13.44721755|540.9533124|0.712312759|-1.864625537|-37.9644911|-24.553278|2835.31543|515.8091561000001|0.687123753|6032.666081|189.4124225|34.46979951|0.022820627|-279.5721769|1.0|1.0|1.0|1.0|3.54|3.66|0.12|-8.19|2.0|116.33|1.0|5.0|-5.23|-6.14|0.0|0.0|1.0|5.92e-06|0.00243|1.1e-05|3.75|0.0|0.0|6.53e-09|2.67e-06|4.33|4.0935|-1350.018975|691.97|302.88|0.3621|257.4|0.47412|0.70001|0.0252|-0.1652799999999999|11.8546|0.65|6.1871|6.1871
4p_a46|0|0.122217892|1|7.825245291|1|1|1.134636977|2.102855253|-0.060700883|-0.004413243|-0.038295755|0|0.0|-0.233901882|0.005152176|10.93681929|-0.120823841|1|0.004453195|-0.251219946|0|0.7471162309999999|-0.078703563|-0.1623103719999999|0.7911509609999999|0.751334374|0|0.905966489|-0.0997229069999999|-0.083274013|0.3352802039999999|0.007398064|-56.55658053|175.10295019999998|0.094033511|-0.029978645|-26.78464688|2.379548177|0.0|0.87420565|-1.498932241|-32.07534663|-17.00200781|2257.769185|513.8073925|0.734640605|5167.091582|71.34266847|19.44852199|0.006740305|-424.4519674|1.0|0.0|0.0|1.0|3.89|3.2|0.3|-7.05|2.0|107.89|1.0|2.0|-5.8|-5.09|0.0|1.0|1.0|1.59e-06|0.000567|4.03e-06|4.77|0.0|0.0|8.95e-08|3.2e-05|4.89|3.9958|-1129.618646|598.19|310.28|0.2363|226.26|0.43709|0.70138|0.0763|-0.16819|3.6961|341.0|6.4672|6.4672
12bf_a36|0|0.0|0|7.412764017000001|2|2|1.297043948|0.0|-0.024689509|-0.00832865|-0.119979424|2|0.0|-0.4497470879999999|-0.006877664|10.96022305|-0.0206090089999999|1|-0.004358975|0.359635716|1|0.653741315|-0.0480253509999999|-0.033696875|0.892249657|0.632625562|0|0.6791406640000001|-0.090461753|-0.110255801|0.356652646|0.0217611939999999|-58.26326838|87.14111344|0.320859336|-0.037486972|-45.73631152|9.026978489|0.0|0.7054709690000001|-1.874348624|-37.52534442|-24.14405495|2902.591295|437.4108773|0.904134124|6271.550446|189.6959033|34.22402339|0.02371294|-264.6734075|1.0|0.0|0.0|2.0|4.72|0.0|0.14|-7.12|1.0|123.67|1.0|5.0|-3.99|-6.8|0.0|1.0|0.0|0.000102|0.0424|4.81e-05|2.88|0.0|0.0|7.599999999999999e-08|3.17e-05|3.66|3874.0|-1431.380702|670.85|320.04|0.4518|236.98|0.40663|0.69292|0.4006|-0.15677|5.4787|6.0|8.2218|8.2218
7d_a10|0|0.0|1|7.535296702|1|1|1.34384996|2.087763133|-0.117302383|-0.00179944|-0.017919404|2|1.591760572|-0.0845736919999999|0.00870171|10.929819300000002|-0.0325418129999999|1|0.008513576|-0.09209689|2|0.531023495|0.0658971929999999|-0.051603612|0.869684772|0.525816226|1|0.841052067|-0.059327943|-0.070901708|0.421731106|0.010495008|-31.47566249|12.32220006|0.158947933|-0.024733154|-19.95666068|2.9540236560000004|89.87999909999999|0.729585423|-1.063525614|-16.69900016|-13.12185056|2348.343588|446.2091497|0.938419104|5174.981962|143.4649092|17.98535187|0.014078094|-243.607074|1.0|1.0|1.0|0.0|3.21|3.21|0.19|-7.83|1.0|100.04|1.0|2.0|-4.22|-5.83|0.0|1.0|1.0|5.98e-05|0.0206|1.9e-05|3.62|0.0|0.0|1.46e-08|5.04e-06|3.49|3.8856|-1129.175857|574.87|319.09|0.2593|212.18|0.32059|0.68393|0.0941|-0.1633099999999999|3.0178|928.0|6.0325|6.0325
35_a18|0|0.0|0|7.03438793|2|2|1.251175948|0.0|0.068150325|-0.00622005|-0.020425504|1|0.0|-0.44784362|-7.44e-05|10.94702087|-0.0098863069999999|0|0.00113101|-0.104482176|0|0.737701788|-0.032017257|-0.017913121|0.774007861|0.7277482059999999|0|0.800765945|-0.081822342|-0.084219749|0.3888901179999999|0.008853796|-60.302584200000005|118.7214377|0.199234055|-0.033440195|-45.74482543|4.809030636|74.92670772|0.874573807|-2.273933228|-44.44264921|-24.64522632|3038.429834|590.1597827|0.87101708|6995.248058|92.43836482|28.17969862|0.007954001|-552.1173777|1.0|1.0|1.0|3.0|4.3|0.0|0.3|-9.55|3.0|151.05|1.0|8.0|-6.06|-6.0|0.0|0.0|1.0|8.629999999999999e-07|0.000415|2.96e-06|4.55|0.0|0.0|2.81e-10|1.35e-07|8.09|3.2146|-1532.976969|796.47|385.69|0.4981|385.69|0.69279|0.69279|0.4981|-132.0|2.0432|24.0|7.6198|7.6198
38_a18|0|0.0|0|7.03438793|2|2|1.251175383|0.0|0.059724697|-0.00575311|-0.009006798|1|0.0|-0.448742607|0.000520558|10.94702086|-0.003893067|0|0.001602741|-0.0993372269999999|0|0.745084567|-0.03302891|-0.007310849|0.751875124|0.7400818459999999|0|0.8310704529999999|-0.076974444|-0.082256123|0.423402315|0.00838904|-61.25359673|100.7046282|0.1689295469999999|-0.0322355079999999|-52.08807522|5.3122971560000005|74.46052717|0.880927895|-2.385427574|-48.74349112|-25.65190078|3162.36475|661.3370874|0.874996952|7261.130718|94.75345803|29.11918324|0.007165119|-606.2584549|1.0|1.0|1.0|3.0|4.53|0.0|0.34|-10.33|3.0|160.66|0.0|10.0|-6.98|-5.55|0.0|0.0|1.0|1.05e-07|5.36e-05|7.85e-07|5.43|0.0|1.0|4.68e-11|2.38e-08|8.95|3.2241|-1611.60375|861.93|384.55|0.5147|384.55|0.69235|0.69235|0.5147|-0.13229|1.9877|91.0|7041.0|7041.0
12t_a36|0|0.0|0|7.412764017000001|2|2|1.297042607|0.0|-0.058770337|-0.00673635|-0.034194893|2|0.0|-0.404180985|0.003676818|10.95395385|-0.0288761339999999|1|0.0045625|0.059266516|1|0.902377067|-0.009662203|-0.050788309|0.878510663|0.857993338|0|0.8337556420000001|-0.0735262|-0.100615514|0.318666358|0.017627553|-48.97252784|86.12920631|0.166244358|-0.035934112|-44.63604995|7.820109571000001|0.417511887|0.78316808|-2.012310282|-32.61842026|-23.93411213|2771.211293|555.3275093999999|0.930112292|5936.009091|144.422087|30.56063281|0.01547607|-377.2113003|1.0|0.0|0.0|2.0|4.94|0.0|0.21|-7.36|1.0|133.52|1.0|6.0|-4.61|-6.33|0.0|1.0|0.0|2.48e-05|0.0102|2.6600000000000003e-05|3.47|0.0|0.0|4.38e-08|1.7899999999999998e-05|3.87|3.6694|-1311.552739|713.6|337.89|0.4297|319.18|0.69297|0.70313|0.0155|-0.15088|5.9081|8.0|8.0969|8.0969
7c_a10|0|0.0|1|7.535296702|1|1|1.343178184|2.1219657030000003|-0.152261681|-0.00375251|0.012145872|2|1.798334646|-0.206388032|0.01006918|10.92926158|-0.066271289|1|0.0107756969999999|-0.176560297|2|0.725146704|-0.087063341|-0.105104647|0.84177174|0.6952665379999999|1|0.906276489|-0.05074318|-0.0876410609999999|0.487148112|0.027436939|-29.66615908|87.99694927|0.093723511|-0.0223398779999999|-29.95538587|9.377842892|58.07647902|0.52630639|-1.139333798|-17.34382833|-13.06063972|2616.8970870000003|529.8395322|0.8781281320000001|6034.895823|276.93712|24.81565867|0.0269852389999999|-30.75918962|1.0|1.0|1.0|0.0|3.48|3.49|0.26|-7.78|1.0|113.07|1.0|4.0|-4.44|-6.2|0.0|1.0|1.0|3.59e-05|0.0139|2.05e-05|3.46|0.0|0.0|1.66e-08|6.4e-06|2.76|3.8357|-1258.985004|635.47|323.24|0.4049|228.47|0.41348|0.68708|0.0921|-0.16055|3.9465|3.81|5.4191|5.4191
12s_a30|0|0.0|0|7.412764017000001|2|2|0.604984545|0.0|-0.00019297|-0.007621736|-0.095120438|2|0.0|-0.403952011|-0.002544958|10.31162892|-0.04950715|1|-0.001131023|-0.1597740919999999|1|0.609043558|0.006789196|-0.080971844|0.889479916|0.591758164|0|0.706713791|-0.090733404|-0.103647048|0.404041243|0.019324097|-58.75255278|89.91581294|0.2932862089999999|-0.040189672|-43.45862792|8.102485674|0.0|0.790481833|-1.969293912|-38.04400919|-26.02399668|2977.11642|457.6180044|0.877516163|6639.7334200000005|135.66918710000002|32.92168852|0.017398791|-376.1910929|1.0|0.0|0.0|1.0|4.63|0.0|0.14|-7.16|2.0|127.19|1.0|5.0|-5.49|-6.06|0.0|0.0|0.0|3.24e-06|0.00141|6.71e-06|4.07|0.0|0.0|6.900000000000002e-08|3e-05|4.32|3.5348|-1774.202623|677.35|350.75|0.2148|245.81|0.43338|0.68458|0.1576|-0.14985|3.0335|7.0|8129.0|8129.0
