molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|SaaaC|ATSC1c|AATSC1are|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|TASA|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|IC50|pIC50|pIC50
5a_a49|0|0.0|1|7.853604813|2|2|1.343848751|2.111324504|0.079751437|-0.009147269|0.007039248|2|1.878067786|-0.493952547|0.007647515|10.92976459|0.076610236|1|0.008623164|-0.1205081119999999|2|0.66494289|0.001251171|0.127914587|0.855876084|0.632463498|1|0.800090055|-0.072109357|-0.0787216|0.6254267029999999|0.028578361|-42.1802818|124.92862240000002|0.199909945|-0.027311576|-26.93578408|9.77851757|54.35929907|0.6069287529999999|-1.338267206|-24.67330519|-15.97587337|2797.737637|468.0117167|0.962527525|6294.404170000001|229.9265537|26.32248561|0.0270848489999999|-125.09569170000002|0.0|0.0|1.0|0.0|3.37|2.93|0.22|-6.92|1.0|116.62|1.0|3.0|-3.84|-6.84|0.0|1.0|1.0|0.000146|0.0578|5.09e-05|2.65|0.0|0.0|1.1900000000000001e-07|4.72e-05|4.14|3.9219|-1311.960542|625.06|316.13|795.0|236.42|0.31953|0.66225|0.0529|-0.16176|5.6104|43.0|7.3665|7.3665
9a_a36|0|0.0|0|7.412764017000001|2|2|1.297044807|0.0|-0.109305298|-0.007853595|-0.046964839|2|0.0|-0.41624054|0.0034852859999999|10.96066876|-0.06502499|1|0.00484375|0.160672128|1|0.839235677|-0.019008343|-0.1177413269999999|0.842671963|0.79302567|0|0.826559623|-0.073689118|-0.10869601|0.204819754|0.0236784079999999|-45.04449811|49.52042402|0.1734403769999999|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|-27.53468726|-24.40778806|2682.572663|505.25728260000005|0.828482664|5693.562367|144.36259840000002|31.95428497|0.019513779|-322.5522826|1.0|0.0|0.0|1.0|4.69|0.0|0.14|-6.28|1.0|120.94|1.0|5.0|-3.71|-6.74|0.0|1.0|0.0|0.000197|0.0753|0.000102|2.66|0.0|0.0|5.26e-07|0.0002009999999999|3.38|3.8677|-1252.77514|648.41|320.56|0.4811|320.56|0.68682|0.68682|0.4811|-0.15925|5.7274|13.0|7.8861|7.8861
12bh_a36|0|0.0|0|7.412764017000001|2|2|1.297043258|0.0|-0.052761366|-0.006687484|-0.047482048|2|0.0|-0.401249012|0.003676818|10.94728093|-0.035747988|1|0.0045625|0.0016901289999999|1|0.902377067|-0.211972014|-0.0591586759999999|0.833398429|0.857993338|0|0.833491953|-0.070687668|-0.09959401|0.317612728|0.017627098|-47.04367494|83.08294358|0.166508047|-0.035569289|-44.11115058|7.807212275|0.0|0.783294222|-1.991880197|-31.30825225|-23.6718811|2773.193279|554.7010591|0.930697921|5957.443236|144.22085800000002|30.2209316|0.015307571|-377.0728785|1.0|0.0|0.0|2.0|4.95|0.0|0.21|-7.34|1.0|133.68|1.0|5.0|-4.54|-6.38|0.0|1.0|1.0|2.8600000000000004e-05|0.0117|2.5e-05|3.41|0.0|0.0|4.55e-08|1.86e-05|3.79|3.6255|-1311.558898|715.94|341.97|0.4386|319.46|0.69377|0.7039|11.0|-0.14915|5.8338|14.0|7.8539|7.8539
14w_a23|1|0.0|2|7.423568444|0|0|1.197963556|3.132012648|0.013971812|-0.006481882|-0.109136569|2|0.6813799420000001|-0.330575965|0.003379755|10.31321817|-0.031435038|2|0.003906274|0.126238077|2|0.5788469970000001|0.059273664|-0.049318182|0.8668730109999999|0.558482531|1|0.7880718659999999|-0.070714528|-0.088508061|0.228641034|0.022440155|-46.76570273|43.30287556|0.211928134|-0.035779855|-38.70975831|9.814393755|90.15900589|0.743451788|-1.681653166|-30.92760432|-23.66232347|3071.908367|521.1762769999999|0.988900044|6998.078982999999|169.6632599|31.82765022|0.020725002|-322.004381|0.0|0.0|0.0|1.0|3.42|3.35|0.05|-7.93|2.0|120.2|1.0|5.0|-5.68|-6.35|0.0|0.0|0.0|2.09e-06|0.0009369999999999|5.41e-06|3.78|0.0|0.0|1.17e-08|5.23e-06|3.97|3.6632|-1828.363862|676.92|338.46|0.3855|338.46|0.6219399999999999|0.6219399999999999|0.3855|-0.14844|7.0157|2.0|8.6737|8.6737
4d_a49|0|0.0|1|7.535296702|1|1|1.343847746|2.097463308|-0.06085453|-0.006135653|-0.058204482|2|1.76904838|-0.343596561|0.000607064|10.92777282|0.013451218|1|0.001356445|-0.151004418|2|0.7745859279999999|-0.008564167|0.023137464|0.834151595|0.749565191|1|0.752634646|-0.089942837|-0.085966608|0.410804214|0.013625199|-55.40321178|85.21839288|0.2473653539999999|-0.0281044679999999|-32.61868996|5.16986937|57.16412513|0.654728051|-1.461432343|-34.12740785|-17.31186002|2658.242991|463.6097566000001|0.8868392740000001|5915.214567|212.6814716|26.44129877|0.022019681|-190.6195379|0.0|1.0|1.0|2.0|3.38|2.68|0.22|-7.58|1.0|115.63|1.0|6.0|-3.13|-7.7|0.0|0.0|1.0|0.000743|296.0|0.0004509999999999|1.45|0.0|0.0|2.64e-08|1.05e-05|2.99|3.8047|-1293.29417|668.09|325.87|0.2549|215.82|0.40593|0.6782100000000001|0.0879|-0.15888|4.3005|18.0|7.7447|7.7447
14d_a23|1|0.0|2|7.423568444|0|0|1.197963465|3.405551724|0.058368697|-0.005343003|-0.026530366|2|0.758207139|-0.288522152|0.01269616|10.313217800000002|-0.054430189|2|0.01180744|0.059486662|2|0.725800261|0.006563565|-0.088996384|0.829764975|0.6906097959999999|1|0.921694462|-0.053736319|-0.078282292|0.213597535|0.018596017|-35.40917327|39.26987634|0.078305538|-0.032878563|-33.99063559|8.074501042|83.40396369|0.790346608|-1.6439281280000002|-23.33262837|-21.66510006|2878.955374|607.3441532|0.833166062|6459.554383|138.1496441|27.41215037|0.015037275|-382.6437544|0.0|0.0|1.0|1.0|3.52|3.62|0.09|-7.78|2.0|125.25|1.0|5.0|-5.85|-6.1|0.0|0.0|0.0|1.43e-06|0.000608|5.61e-06|3.94|0.0|0.0|1.65e-08|7.03e-06|3.79|8.1555|-1669.224874|696.21|3688.0|0.3807|336.18|8.1555|8.1555|336.18|-0.14894|5.6156|4.0|8.4001|8.4001
16a_a10|0|0.0|1|7.535296702|1|1|1.325756911|2.041062372|-0.187414728|-0.00230615|0.023926176|2|2.009832665|-0.152205915|0.011207938|10.92947902|-0.0048530629999999|1|0.011558506|-0.133979603|2|0.748039584|-0.068377262|-0.008879187|0.813036304|0.72613292|1|0.916148686|-0.052574986|-0.076950669|0.3637074329999999|0.013872737|-36.408063|77.68598956|0.083851314|-0.026063936|-36.90194151|6.652715932|99.81657855|0.7270593190000001|-1.615964058|-25.21250404|-18.049219|2862.681038|634.4309626|0.862035195|6366.0631060000005|189.0108247|24.82496066|0.014796066|-314.4761648|1.0|1.0|1.0|0.0|4.11|4.46|0.3|-8.5|3.0|133.66|1.0|9.0|-5.22|-5.91|0.0|1.0|1.0|6e-06|0.00264|6.76e-06|4.33|0.0|0.0|3.18e-09|1.4e-06|3.46|3.8718|-1395.13019|760.0|320.22|0.3843|221.33|332.0|0.6852199999999999|0.0841|-0.1605|3.8323|47.0|7.3279|7.3279
4b_a49|0|0.0|1|7.535296702|1|1|1.343847828|2.075628989|-0.109946885|-0.0074627159999999|-0.077626337|2|1.645329244|-0.402986655|0.001769804|10.92776533|0.02907541|1|0.002557204|-0.10158752|2|0.720824193|0.005818676|0.049923437|0.852400617|0.6967593559999999|1|0.7581492670000001|-0.091725536|-0.090284437|0.438784865|0.0241270029999999|-56.45224362|41.97072627|0.241850733|-0.030696709|-34.19753462|9.138717999|64.87087098|0.645330839|-1.534835437|-34.74338731|-18.89220999|2708.998101|466.6010051|0.915225186|6025.790417|218.2802175|29.27523192|0.02556165|-178.8869784|1.0|1.0|1.0|1.0|3.37|3.1|0.22|-7.05|1.0|112.36|1.0|6.0|-3.81|-7.12|0.0|0.0|1.0|0.000155|62.0|0.000132|2.28|0.0|0.0|8.91e-08|3.570000000000001e-05|3.56|3.7413|-1333.026419|664.86|331.39|0.2856|267.08|0.4151899999999999|0.68242|0.0615|-0.15635|1.8265|79.0|7.1024|7.1024
1i_a5|0|-4.358943904|0|6.605297921|0|0|1.219028472|0.0|-0.145964178|-0.006494891|-0.31059482|2|0.0|-0.279280326|-0.0012491689999999|10.94550053|-0.003198529|1|-0.000700145|0.059972925|2|0.525406088|-0.058385936|-0.00496377|0.8436458929999999|0.513260607|0|0.8876055620000001|-0.091178745|-0.084018635|0.4729402929999999|0.008291428|-50.81756452|201.1526326|0.112394438|-0.03570792|-26.09853285|2.575548983|0.213644964|0.759459597|-1.428316788|-28.32266298|-19.90145306|2482.831286|494.6981114|0.8858245220000001|5432.586961|134.0627959|26.20475553|0.0196689|-289.21443910000005|1.0|1.0|1.0|1.0|2.83|2.04|0.05|-8.88|2.0|95.49|1.0|4.0|-4.79|-5.73|1.0|0.0|1.0|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|0.0|0.0|1.3300000000000002e-09|4.86e-07|3.58|4.3799|-1288.322373|569.42|283.08|0.7585|262.44|0.4571199999999999|0.50107|0.0207|-0.17945|2.6336|24.0|7.6198|7.6198
23_a10|0|0.0|1|7.535296702|1|1|1.34383709|2.140123457|-0.12979844|-0.00264793|0.012558932|2|1.981673861|-0.17741132|0.010305237|10.92966139|-0.0253481679999999|1|0.010662507|-0.0502296329999999|2|0.7338945809999999|-0.149057824|-0.043248272|0.800727358|0.706648116|1|0.915208645|-0.049653973|-0.072395864|0.535680357|0.009615852|-35.17017083|72.17779806|0.084791355|-0.02685653|-36.32074126|4.824237957|53.00900704|0.7611996520000001|-1.6651048819999998|-24.91121732|-19.02262196|3103.831885|648.2471057|0.943867925|7034.375112000001|169.14354509999998|24.9903188|0.013394095|-370.018179|1.0|1.0|1.0|0.0|3.8|4.13|0.21|-9.84|2.0|139.11|1.0|6.0|-5.38|-5.93|0.0|0.0|1.0|4.19e-06|0.00193|2e-06|4.48|0.0|0.0|1.44e-10|6.66e-08|3.9|3.8034|-1470.166163|768.3|325.98|0.2089|325.98|0.67647|0.67647|0.2089|-0.15858|3.8115|0.75|6.1249|6.1249
8b_a50|1|0.0|1|7.860570786|1|1|1.398299046|2.021915391|-0.115740384|-0.0045301379999999|-0.009597908|1|1.98971238|-0.1812055289999999|0.006841944|10.945024|-0.0180233089999999|2|0.007057361|-0.170496134|1|0.753629415|-0.027207307|-0.031953774|0.8836675340000001|0.71043578|1|0.845349082|-0.072629787|-0.078068703|0.267094693|0.021513107|-34.79187329|131.417573|0.154650918|-0.030360051|-17.91443197|4.93661461|0.0|0.6717097959999999|-1.092961836|-16.66636363|-14.54338619|2143.807599|404.9478761|0.75095166|4446.001554|157.2609748|21.65129387|0.024280552|-164.5084115|1.0|1.0|1.0|1.0|3.21|1.69|0.06|-5.94|0.0|89.78|2.0|2.0|-3.44|-6.32|0.0|1.0|1.0|0.000359|108.0|0.000154|2.55|0.0|0.0|1.16e-06|0.000347|2.11|4.1804|-967.3160428|515.81|296.58|0.1717|273.96|0.5533|0.59283|121.0|-0.1724099999999999|3.8213|68.0|7.1675|7.1675
6g_a40|0|0.0|1|8.421342866|1|2|0.604893315|1.628664494|0.102683335|-0.022381557|-0.261952754|0|0.607999575|-1.09669629|-0.019683422|10.30179936|-0.251161616|2|-0.018182514|-0.221674172|0|0.8316888240000001|0.075283207|-0.340429901|0.8917390820000001|0.808096413|1|0.605346707|-0.164941808|-0.156296046|0.400587529|0.017750905|-107.2113398|328.78166810000005|0.3946532929999999|-0.059045173|-66.03405036|7.499640603|47.36081569|0.824204189|-2.657032782|-69.68682788|-38.37906336|3142.74733|393.4722933000001|0.740853565|7822.892656|114.2663866|46.56499428|0.020240097|-421.4621621|0.0|0.0|1.0|3.0|4.06|2.28|0.21|-2.87|1.0|124.18|3.0|5.0|-7.22|-7.02|1.0|0.0|0.0|6.049999999999999e-08|2.87e-05|1.93e-05|3.06|1.0|0.0|0.0013599999999999|0.6459999999999999|7.38|2.8135|-2521.990118|669.8|440.68|0.4971|373.48|0.58454|0.5794199999999999|0.1307|-0.11857|6.7231|47.0|7.3279|7.3279
9a_a31|0|0.0|0|7.765993078999999|1|1|0.6101356720000001|0.0|-0.009086485|-0.01391798|-0.093457477|0|0.0|-0.723734943|-0.006189303|10.31169772|-0.0007638889999999|2|-0.0033853629999999|-0.084652799|0|0.8058046320000001|0.045292529|-0.001313433|0.837697452|0.76226755|0|0.691768132|-0.100906991|-0.122626525|0.235442032|0.033245595|-64.75697831|163.6011874|0.308231868|-0.043430228|-50.50275387|13.69193237|95.14995868|0.737758755|-2.0846509230000003|-41.55773748|-27.87131275|2855.751316|443.941629|0.939873412|6273.506211999999|168.29310269999996|37.77835579999999|0.0239033229999999|-305.16297060000005|1.0|1.0|1.0|2.0|3.6|2.78|0.14|-8.13|1.0|113.64|1.0|6.0|-5.62|-6.39|0.0|0.0|1.0|2.42e-06|0.00101|1.7100000000000002e-05|3.47|0.0|0.0|7.35e-09|3.07e-06|5.27|3.7892|-1691.9137670000002|680.72|327.21|0.7028|327.21|0.7028|0.7028|0.7028|-0.15757|5.0244|0.15|6.8239|6.8239
19e_a38|0|0.0|0|7.412764017000001|2|2|1.297043576|0.0|-0.082311936|-0.007550899|-0.10490608|2|0.0|-0.4379521229999999|-0.001197042|10.94917392|-0.038386106|1|0.000347207|0.045449529|1|0.723755855|0.04818471|-0.064035403|0.89459881|0.700181525|0|0.776562593|-0.083623427|-0.10214405|0.552393659|0.02118651|-56.34606212|118.734325|0.223437407|-0.03783113|-46.37503972|9.619015829|16.39385667|0.749190974|-2.042881001|-37.96637911|-25.49088538|2920.436229|523.2534216|0.871249918|6531.762734|168.99691289999998|34.02454948|0.020114756|-335.8133169|1.0|0.0|1.0|3.0|4.96|3.08|0.12|-7.28|2.0|135.78|1.0|6.0|-4.94|-6.39|0.0|0.0|1.0|1.15e-05|0.0049|1.89e-05|3.55|0.0|0.0|5.27e-08|2.25e-05|4.08|3.8587|-1409.547647|685.34|321.31|0.3948|236.96|0.41961|0.58509|0.3738|-0.15584|5.8426|0.01|8.0083|8.0083
13_a15|0|0.0|0|0.0|1|1|1.4356889940000002|0.0|-0.139434143|-0.006348913|-0.031457366|3|0.0|-0.393632585|0.001806571|10.95980212|0.005149745|0|0.003766915|-0.010882979|2|0.843715005|0.008210506|0.009456191|0.7784213259999999|0.796300317|0|0.8854875790000001|-0.068526782|-0.098053528|0.708462114|0.016196467|-43.2365883|142.67217639999998|0.114512421|-0.033811561|-39.03420883|6.447664726|0.0|0.755283433|-1.961070565|-27.279882500000003|-21.33321476|3028.485145|558.6934137000001|0.931684902|7196.400881999999|154.4025434|28.24531009|0.01672103|-322.1392954|1.0|1.0|0.0|1.0|4.13|4.19|0.07|-8.9|2.0|138.24|1.0|6.0|-6.32|-5.26|1.0|0.0|0.0|4.77e-07|0.000214|7.970000000000001e-07|5.32|0.0|0.0|1.27e-09|5.7e-07|5.04|2.5721|-1450.727602|674.36|482.03|208.0|314.52|0.63827|0.70626|0.0003|-0.11283|3.5479|6.0|8.2218|8.2218
12_a3|0|0.0|0|6.823286122000001|0|0|0.605020506|0.0|0.167987916|-0.009093383|-0.118456941|2|2.07135708|-0.336455156|-0.006049098|10.31163031|-0.069857022|1|-0.0045709459999999|-0.218774634|2|0.899733837|-0.039834906|-0.125395523|0.784451598|0.841871246|1|0.829399708|-0.092838926|-0.096133903|0.101891875|0.011076075|-44.07517037|239.2266101|0.170600292|-0.039584548|-21.667278|2.496397166|76.23910943|0.830418645|-1.345874639|-20.92463497|-18.79271742|2056.502939|393.75653|0.864908294|4400.493202000001|80.50854774|22.63041363|0.01374218|-313.7317211|1.0|1.0|1.0|1.0|3.2|2.17|0.0|-6.89|1.0|90.49|1.0|2.0|-5.68|-5.3|0.0|0.0|1.0|2.07e-06|0.000629|1.44e-05|4.03|0.0|0.0|1.3e-07|3.9500000000000005e-05|2.94|3263.0|-1272.125792|515.23|379.97|0.5056|379.97|0.69784|0.69784|0.5056|-0.13153|2.3762|3548.0|5.45|5.45
12z_a30|0|0.0|0|7.412764017000001|2|2|0.604983642|0.0|-0.1155022219999999|-0.008819424|-0.026703371|2|0.0|-0.537984876|0.003529389|10.31162784|-0.045463448|1|0.005111479|0.05890953|1|0.8397577820000001|-0.02232319|-0.077335468|0.855880335|0.794193541|0|0.832920077|-0.071429418|-0.107776943|0.315493739|0.030875938|-49.68145417|54.40462246|0.167079923|-0.034034824|-52.13870496|14.93669572|0.0|0.630839856|-1.939984979|-34.55504699|-23.67231332|3112.622632|579.3226647000001|0.950863559|7074.004131999999|256.7627363|37.52507564|0.029109145|-182.00664430000003|1.0|0.0|1.0|1.0|4.86|0.0|0.21|-6.83|2.0|140.26|1.0|7.0|-5.61|-6.39|0.0|0.0|0.0|2.47e-06|0.00113|9.94e-06|3.81|0.0|0.0|1.47e-07|6.720000000000001e-05|3.34|3.4438|-1804.785911|739.33|360.02|0.1855|257.96|0.5513100000000001|0.6853199999999999|0.1441|-146.0|7.0446|44.0|7.3615|7.3615
47d_a18|0|0.0|0|7.03438793|1|1|1.251175994|0.0|-0.017398129|-0.006087337|-0.041876322|0|0.0|-0.480899596|0.003376831|10.94702255|0.016324953|0|0.005144085|0.104380139|0|0.7640994990000001|-0.002494715|0.027971797|0.773981237|0.741366815|0|0.836999127|-0.06394156|-0.087315963|0.445704576|0.015270278|-52.14267013|64.92967228|0.163000873|-0.028722356|-58.06490563|10.15469843|58.93717545|0.69814381|-2.182899066|-42.52098397|-23.42233034|3304.705347|682.5509007|0.927940864|7780.945962999999|246.1558296|33.54943497|0.018506261|-323.1621908|1.0|1.0|1.0|2.0|4.73|0.0|0.32|-8.83|3.0|159.67|1.0|12.0|-5.74|-6.57|0.0|0.0|0.0|1.83e-06|0.000968|5.23e-06|4.16|1.0|1.0|1.4800000000000003e-09|7.790000000000001e-07|8.08|3.1079|-1704.0327519999998|875.6|398.94|0.5820000000000001|398.94|0.69905|0.69905|0.5820000000000001|-0.12844|3.7605|8.0|8.0969|8.0969
21_a47|1|0.0|1|6.86171134|0|0|1.408713027|1.2247108|0.072733799|-0.010650348|-0.13650463|2|1.028199909|-0.511216716|-0.006808306|10.95058272|0.057225853|1|-0.004332497|-0.090969103|2|0.612295986|-0.080213904|0.0927058819999999|0.8856299320000001|0.591185263|1|0.70582155|-0.082614966|-0.095249919|0.3188717339999999|0.022739546|-46.63227351|34.75044485|0.29417845|-0.033866638|-30.34731959|7.244985517000001|47.95893876|0.6448452960000001|-1.5239986980000002|-26.32173133|-19.11612865|2691.697803|398.4031618|0.862591353|6103.311635|200.4681737|29.64451905|0.028943339|-163.5167523|0.0|1.0|1.0|2.0|3.29|3.32|0.1|-7.7|1.0|104.49|1.0|6.0|-4.44|-6.58|0.0|0.0|1.0|3.6e-05|0.0142|4.84e-05|3.0|0.0|0.0|1.98e-08|7.8e-06|4.43|3917.0|-1375.028093|583.37|316.53|0.2249|316.53|0.68296|0.68296|0.2249|-0.16158|3.6767|5.0|8.3|8.3
28_a47|1|0.0|1|6.842683282|0|0|1.4201653580000002|1.408016295|-0.053792245|-0.009689834|-0.23494583|2|1.121067445|-0.436042548|-0.013020816|10.95058275|0.0467853809999999|1|-0.010153352|0.06536499|2|0.635684951|-0.175007067|0.074217097|0.896193695|0.614975047|1|0.605349345|-0.1132830309999999|-0.106779291|0.310094808|0.026080156|-67.33744077|365.2310214|0.394650655|-0.038135461|-37.72858603|9.214964819|83.61576722|0.65225927|-1.601689367|-40.02656804|-22.66839387|2616.1598940000003|359.8303775|0.8964208090000001|5633.990508|206.7032519|34.75365534|0.031626405|-181.0112167|0.0|1.0|1.0|2.0|3.08|2.03|0.05|-6.92|1.0|99.2|1.0|5.0|-3.67|-7.22|0.0|0.0|1.0|0.000214|0.0816|0.000217|1.97|0.0|0.0|1.2099999999999998e-07|4.59e-05|3.51|3675.0|-1335.722248|599.88|337.37|0.2996|337.37|0.69002|0.69002|0.2996|-0.15049|6.0847|25.0|7.6|7.6
10_a4|0|0.0|1|7.535296702|1|1|1.343863662|2.146166934|-0.180140166|-0.002959121|0.005483539|2|2.149387791|-0.159792527|0.01107733|10.92992762|-0.090413559|1|0.011142889|0.014917047|2|0.6990620390000001|-0.120059574|-0.150288496|0.861225169|0.6799081490000001|1|0.921653019|-0.051015897|-0.079432495|0.43000216|0.014582852|-29.52653193|39.48408698|0.078346981|-0.027007048|-26.60798798|4.884907049|64.26218096|0.744529685|-1.350352423|-17.08910641|-15.63090193|2480.063587|533.4262268|0.945033425|5598.949417|147.85886159999998|20.99433004|0.014040792|-283.0534799|1.0|1.0|1.0|0.0|3.46|3.38|0.26|-8.07|2.0|111.38|1.0|4.0|-4.66|-5.83|0.0|1.0|1.0|2.21e-05|0.00818|1.4e-05|3.85|0.0|0.0|8.51e-09|3.15e-06|3.34|3.6465|-1183.790554|619.99|340.01|0.1792|249.6|0.4662|0.7038399999999999|0.0176|-0.15561|1.4517|88.0|7.0555|7.0555
8a_a8|0|0.0|1|7.535296702|1|1|1.400027874|1.4114120369999998|-0.021925912|-0.014658222|-0.1950388569999999|1|0.0|-0.732911106|-0.0075336219999999|10.94671414|-0.0298924089999999|1|-0.005306541|0.044579097|1|0.76592324|0.089031731|-0.048064085|0.8220300859999999|0.7318727540000001|0|0.550829475|-0.131795179|-0.118763303|0.22299265|0.034374791|-78.93428863|170.9592896|0.449170525|-0.049054408|-42.60049244|12.33026525|84.91322996|0.76420633|-2.256502762|-47.27503672|-29.37948733|2802.374154|329.9007832|0.927876056|6193.891189|141.2206861|38.44444383|0.025786572|-316.4749864|0.0|0.0|0.0|2.0|3.37|2.64|0.05|-6.76|1.0|109.21|1.0|4.0|-4.4|-7.04|0.0|0.0|0.0|3.99e-05|16.0|7.28e-05|2.4|0.0|0.0|1.74e-07|6.96e-05|6.1|3.1039|-1367.744724|620.68|399.45|0.2035|269.43|0.4927399999999999|0.7036899999999999|0.1729|-0.13015|5.4201|11.34|4.9454|4.9454
4r_a46|0|-0.03033057|1|7.832410927000001|1|1|1.13129629|2.051582577|-0.173617329|-0.002826188|-0.074041799|2|0.0|-0.141309389|0.006236535|10.96363493|-0.048758575|1|0.0061041|-0.237647432|2|0.7794598220000001|-0.077483502|-0.070397185|0.8549242340000001|0.76719475|0|0.8478197820000001|-0.079297367|-0.081339886|0.261414008|0.011446215|-42.06465252|176.18445569999997|0.152180218|-0.0259595379999999|-22.88867429|3.220912917|0.0|0.7146312779999999|-1.220098292|-22.31391864|-13.77068362|2137.47734|449.7405899|0.839885604|4775.760774|151.3787482|19.26963463|0.015225417|-227.7097083|0.0|1.0|1.0|1.0|3.82|2.89|0.35|-6.25|0.0|97.9|1.0|3.0|-3.09|-6.83|0.0|1.0|0.0|0.00081|271.0|0.000279|2.12|0.0|0.0|5.64e-07|0.000188|2.3|4.5209|-1069.419677|571.75|274.25|0.1404|274.25|0.69085|0.69085|0.1404|-0.18999|2.6630000000000003|1413.0|5.8499|5.8499
3h_a32|1|0.0|0|7.765993078999999|0|0|0.609420752|0.0|0.01077056|-0.005281944|-0.008243901|0|2.243113495|-0.269379119|0.002101838|10.31100268|-0.111111111|3|0.003284804|0.025035542|0|0.84279263|-0.169197453|-0.2|0.834881529|0.8030743229999999|1|0.87880263|-0.07183387|-0.0882883959999999|0.30907784|0.0111539339999999|-44.97387528|76.38838542|0.12119737|-0.027590124|-34.60714056|4.372100625|0.0|0.7734940029999999|-1.324325944|-28.15732254|-17.27367301|2398.020434|550.2022886|0.692036677|5187.525619|141.8112711|22.33200639|0.011751781|-342.4592076|1.0|1.0|1.0|1.0|3.65|3.88|0.35|-8.47|2.0|112.28|1.0|7.0|-8.23|-4.29|1.0|0.0|1.0|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|6.12|0.0|0.0|3.37e-09|1.29e-06|4.61|3.5552|-1790.663897|676.22|348.74|0.2926|348.74|0.70257|0.70257|0.2926|-0.1474099999999999|3.5952|7.0|8.1549|8.1549
9r_a24|0|0.0|0|6.605297921|0|0|1.353642494|0.0|-0.134192489|-0.004640179|0.013567512|3|0.0|-0.264490176|0.007861194|10.96129392|-0.043274854|1|0.008722018|-0.29065818|3|0.786430472|-0.120617935|-0.083458647|0.841805128|0.7526889940000001|0|0.8417158379999999|-0.0618978309999999|-0.082022572|0.32720212|0.015557618|-41.49802275|71.31566881|0.158284162|-0.025821921|-36.86695997|6.992734796000001|89.36724924|0.6152148279999999|-1.394383716|-27.82142546|-17.31173182|2644.462265|564.3096436000001|0.898988412|5501.824326|257.9706516|28.13932796|0.02357068|-154.486433|1.0|1.0|1.0|1.0|3.53|3.04|0.22|-8.66|2.0|116.9|1.0|8.0|-4.02|-6.83|0.0|0.0|0.0|9.58e-05|0.0383|8.77e-05|2.69|0.0|0.0|2.21e-09|8.84e-07|1.82|4.2877|-1294.451958|713.25|289.16|0.3398|277.23|0.3398|0.6204|0.0029|-0.1676099999999999|1.9698|11.0|7.9586|7.9586
14b_a23|1|0.0|2|7.423568444|0|0|1.197963628|3.2475997860000003|0.065240838|-0.006248709|-0.071396109|2|0.716540473|-0.318684138|0.007671236|10.31321824|-0.047410593|2|0.0075222369999999|0.121308009|2|0.616699629|-0.00399443|-0.077808321|0.857184548|0.5935522360000001|1|0.8462596590000001|-0.063267638|-0.082441268|0.228282196|0.020454632|-41.01458464|40.76245006|0.153740341|-0.03508139|-34.64639496|8.596171261|84.36242964|0.774359705|-1.64882535|-26.58857202|-22.74225338|2943.803333|548.6057241000001|0.821406493|6622.129837|146.2760938|29.36910744|0.01779446|-355.71896410000005|0.0|0.0|1.0|1.0|3.42|3.44|0.05|-7.67|2.0|120.24|1.0|5.0|-5.58|-6.31|0.0|0.0|0.0|2.66e-06|0.00114|7.73e-06|3.68|0.0|0.0|2.14e-08|9.18e-06|3.72|3706.0|-1729.139722|673.05|334.55|0.3603|334.55|0.58097|0.58097|0.3603|-0.15064|6.8752|4.0|8.3536|8.3536
