molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
4m_a46|0|0|205.21|1|0.1557|7.825245291|-0.23116|5.587248657999999|1|1|0.626578283|0|0.373463876|0.051026123|41.22460182|0.463006576|2133.331634|-6.225322922999999|724.9776792|1.0|1.0|4.25|2.0|-5.68|328.41|3.45|-1031.138426|5.8901
12i_a36|1|0|237.08|0|0.1516|7.412764017000001|-0.20475|5.351858133|2|1|0.624142499|0|0.332782117|0.169035768|67.53484704|0.460246812|3231.030388|-18.95842684|2065.79896|1.0|0.0|3.31|7.0|-6.4|465.43|4.86|-1645.2030949999998|7.9208
12au_a36|1|0|241.65|0|0.0158|7.412764017000001|-0.2087099999999999|5.351858133|2|1|0.750657639|0|0.284342092|0.301003019|80.38496714|0.492871181|3484.987058|-19.68626738|2216.466823|0.0|0.0|1.28|7.0|-8.03|474.54|6.24|-1876.207937|7.3279
8_a27|1|0|300.38|1|0.2336|6.605297921|-0.21973|4.59511985|2|1|0.64927069|1|0.3608031339999999|0.223615972|47.91445451|0.479730655|2132.9321670000004|-8.145716531|818.753121|0.0|0.0|2.98|2.0|-6.73|303.32|3.96|-1004.515654|8.2218
12o_a36|1|0|238.77|0|0.2888|7.412764017000001|-0.21151|5.351858133|2|1|0.817582774|0|0.514457955|0.2407887189999999|75.94332024|0.469699889|3009.981519|-18.36865355|2181.407379|0.0|0.0|2.38|7.0|-7.66|438.48|4.5|-1440.969954|7.3979
12d_a30|0|0|356.06|0|149.0|7.412764017000001|-0.1991|5.351858133|2|1|0.7991060659999999|0|0.366319099|0.156990075|57.75411196|0.4572733479999999|2784.836855|-15.12802292|1495.177298|1.0|0.0|4.35|5.0|-5.81|412.51|4.14|-1615.095823|7.9508
12g_a30|0|0|244.53|0|0.1613|7.412764017000001|-0.2083699999999999|5.351858133|2|1|0.770326886|0|0.487608738|0.216337219|77.01461557|0.459011202|3058.2873170000003|-18.63502363|1810.9797|1.0|0.0|3.4|6.0|-6.22|439.49|3.88|-1743.214798|8.0334
12af_a36|1|0|236.83|0|0.0035|7.412764017000001|-0.19246|5.351858133|2|1|0.817582774|0|0.154396546|0.244724481|72.55107063|0.448767097|3013.98446|-16.95376516|2076.162883|0.0|0.0|2.38|7.0|-7.66|438.48|4.5|-1440.982935|7.8239
12z_a30|0|0|257.96|0|0.1441|7.412764017000001|-0.19279|5.351858133|2|1|0.794193541|0|0.315493739|0.167079923|71.1566605|0.48740649|3112.622632|-16.464854199999998|2138.929312|1.0|1.0|3.94|7.0|-6.39|458.54|3.34|-1804.814868|7.3615
12bf_a36|1|0|236.98|0|0.4006|7.412764017000001|-0.2139|5.351858133|2|1|0.632625562|0|0.356652646|0.320859336|72.27889645|0.474826911|2902.591295|-15.55034592|1711.2011699999998|1.0|0.0|3.55|5.0|-6.8|417.41|3.66|-1431.413697|8.2218
17_a15|0|0|299.04|0|0.0377|0.0|-0.19509|0.0|2|0|0.740986227|0|0.605886597|0.119540765|50.37922222|0.474165158|2852.085573|-15.88591693|1872.919233|1.0|1.0|4.89|7.0|-5.58|438.52|6.89|-1413.897695|7.9208
14a_a25|0|0|231.18|1|0.1756|6.842683282|-0.2143|4.727387819|2|1|0.653818362|1|0.326595394|0.149573695|54.17569023|0.492236681|2844.993903|-14.37809314|1438.906775|1.0|1.0|4.44|6.0|-5.91|419.48|5.79|-1352.298438|6684.0
18_a10|0|0|214.93|1|0.1637|7.78113851|-0.20692|5.733341277|2|1|0.6886547670000001|1|0.656664457|0.114447045|48.64284759|0.4670293179999999|2788.499133|-10.02718922|1354.218219|0.0|1.0|4.65|5.0|-6.34|412.48|2.65|-1336.433782|6.8861
14ab_a23|0|1|338.88|2|0.3893|7.423568444|-0.21924|5.351858133|2|2|0.693959193|1|0.20155691|0.07577767|47.90644969|0.4695727329999999|2941.47118|-14.84482393|1439.872753|0.0|1.0|4.4|5.0|-5.92|439.54|4.1|-1708.563399|8.4012
