molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|AATSC1c|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPCS|WNSA3|DPSA5|PNSA4|DPSA3|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
9_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0.605017128|0.0|-0.007847313|-0.126542538|-0.298197887|-0.004918099|0.065373003|10.31162238|1|1|-0.003863265|-0.216450234|0.083014843|0.6729843740000001|-0.260349706|0.042154567|0.7327715159999999|0.865283439|-0.095161413|-0.083555008|0.007377805|-44.74600478|-39.28853824|223.4501605|72.50764604|-21.04009269|43.50933802|-17.96047462|48.21513485|1383.145159|0.1131403219999999|5.004834198999999|8.532203772|0.704792493|4430.929894|-295.5828535|20.25176593|0.008976383|708.8118076000001|349.6957191|4.220799781|1.0|1.0|3.1|2.44|21.0|4.9|80.04|0.0|0.0|1.0|2.0|22.0|2.0|-5.21|0.0|1.0|1.25e-05|0.00379|4.14|0.0|-0.03999|5.8185|3.7356|512.44|857.36|331.9|350.27|0.3639699999999999|0.6724600000000001|0.1127|-0.15834|2.0863|0.0242342|-1256.002529|2.6661|4.96
21b_a23|0.0|0|1|1|0.0|0.0|2|7.525639975|0|1.197963051|3.351726269|-0.005936474|0.057405955|-0.326506055|0.01055698|-0.103470358|10.31321725|2|2|0.009872313|0.107996329|-0.069382957|0.7717839409999999|0.131951284|-0.078097375|0.8339434929999999|0.668547062|-0.0596425779999999|-0.083105261|0.014481931|-41.81114831|-58.25915868|41.6766724|86.65837165|-29.31080756|67.68046598|-23.98906534|51.9633947|2531.041828|0.187665282|8.773746105|16.20152864|0.846591917|6919.229053|-857.6679716|29.53101081|0.013439264|1506.081551|712.6737861|9.421307298|0.0|1.0|3.59|3.42|26.0|3.92|128.81|1.0|0.0|1.0|5.0|33.0|5.0|-6.42|0.0|0.0|6.06e-06|0.00273|3.7|0.0|-0.08401|4.0023|3.6237|735.65|1247.38|342.15|611.6|0.57848|0.70139|0.2333|-0.15033|9.5312|0.02657688|-1761.294175|13.2567|7.0691
9_a47|0.0|0|0|0|0.0|0.0|0|0.0|0|1.3818994059999998|0.0|-0.008501246|-0.043270202|-0.382556052|-0.009607222|0.022031244|10.93671087|0|0|-0.007880155|-0.091848897|-0.021556658|0.792070785|0.046690958|0.075092937|0.853035126|0.689770023|-0.084368438|-0.0969292319999999|0.009540986|-44.13640712|-50.70744657|107.3271659|0.0|-23.08946904|58.96976407|-19.3171225|49.12766732|1333.091472|0.209348023|5.653392499|10.93281031|0.93384951|5212.504394|-424.4325604|24.43189048|0.015793737|1026.1394|442.7664664|8.262317504|1.0|1.0|2.87|2.78|22.0|4.61|58.04|0.0|0.0|1.0|3.0|26.0|4.0|-5.26|0.0|1.0|6.3e-06|0.00218|4.43|0.0|-0.05037|5.7429|3.7183|566.1|959.59|333.44|406.35|0.3885099999999999|0.69084|0.2208|-0.1545099999999999|2.2966|0.03463008|-1148.949486|3.4815|7.6
13a_a6|0.0|1|0|0|3.417162147|0.0|0|7.412764017000001|1|1.430639975|0.0|-0.01115741|0.031837397|-0.602500119|-0.00460563|0.0015242189999999|10.95129557|1|1|-0.00194781|0.05269025|-0.10896749|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.8013954109999999|-0.094081761|-0.113446379|0.031866842|-61.52313164|-74.18628740000001|154.9639272|554.4922449|-40.23198232|87.37044493|-26.70706346|82.36189896|2626.396685|0.240087608|8.038453162|15.08351934|0.8764206290000001|6019.922535|-873.2309916000002|35.14492428|0.02016134|1757.246214|627.4287311|13.18415753|1.0|1.0|3.53|3.2|23.0|4.98|95.85|0.0|0.0|1.0|5.0|31.0|5.0|-6.1|0.0|1.0|1.02e-05|0.00417|3.8|0.0|-0.05018|5.9934|3651.0|695.29|1166.79|339.59|571.9|0.4816|0.70072|0.2697|-0.14969|7.7145|0.02818646|-1349.895534|9.2157|7.3372
14z_a23|0.0|0|1|1|0.0|0.0|2|7.423568444|0|1.197960872|3.305974434|-0.005892861|0.038811869|-0.30053593|0.009174505|-0.0438568409999999|10.31321795|2|2|0.007229683|0.0708381429999999|-0.069023218|0.802520527|0.10796308|-0.035965909|0.8668730109999999|0.64069202|-0.0582387179999999|-0.079754981|0.018337664|-40.56245532|-55.54823244|40.18308023|79.960755|-28.25118461|66.77741935|-23.63754572|53.33438253|2692.627452|0.214395551|7.834464959|14.91419434|0.903664694|7285.13008|-773.7713888999999|30.08835522|0.01612263|1414.152695|665.6233736|11.22918692|0.0|1.0|3.42|3.67|26.0|4.64|105.02|1.0|0.0|1.0|5.0|32.0|4.0|-5.8|0.0|0.0|7.37e-07|0.000354|4.83|0.0|-0.08503|4032.0|3.6632|715.41|1221.92|338.46|586.28|0.66217|0.69913|0.2917|-0.15195|5.9301|0.01238131|-2548.957384|7.9877|8.2941
19i_a38|0.0|1|0|0|3.169368622|0.0|0|7.412764017000001|2|1.297043925|0.0|-0.008447598|0.08414367|-0.4561702689999999|-0.006877664|-0.074033381|10.96052467|1|1|-0.004358975|0.215263198|-0.098027247|0.836170906|-0.040954326|-0.087904124|0.892249657|0.632625562|-0.08347616|-0.113250303|0.022576308|-51.15830416|-69.40536597|137.7658863|10.71501217|-31.35232957|82.98550237|-24.98593175|64.99417804|2335.0953870000003|0.258076158|6.690507557999999|12.04523072|0.800346329|6744.7785650000005|-765.6305068|33.67721904|0.022159015|1683.860952|593.6088758|13.5801364|1.0|1.0|4.8|2.88|17.0|3.55|81.23|0.0|0.0|1.0|5.0|31.0|5.0|-6.81|0.0|1.0|4.67e-05|0.0196|2.88|0.0|-0.0564799999999999|5.7041|3.6129|641.31|1101.03|343.17|457.26|0.4342|0.69267|0.1886|-0.14872|6.6636|0.03110827|-1431.239177|8.6365|7.9031
10_a27|0.0|0|0|0|0.0|0.0|2|6.605297921|0|1.400533489|3.383341915|-0.006285923|-0.184068581|-0.282866526|0.00991794|0.034318674|10.93783185|1|1|0.010329671|-0.309727442|-0.2030237389999999|0.804375252|0.129719095|-0.001453596|0.862408925|0.614205449|-0.061299064|-0.087022238|0.017676458|-32.5969511|-46.27574168|6.0140309720000005|49.19800605|-17.33405307|55.05868025|-16.5270506|41.99674607|943.2258247|0.254639309|6.761146212000001|12.9316403|0.912640238|4894.8090170000005|-369.1201792|22.1732254|0.01651645|931.2754667000002|424.8821143|8.782938574|1.0|1.0|3.01|3.15|21.0|2.81|65.6|0.0|0.0|1.0|3.0|25.0|4.0|-6.51|0.0|1.0|0.0001189999999999|0.0394|2.55|0.0|-0.0498|4.1495|4.1495|573.31|958.95|298.79|450.26|0.63894|0.63894|0.4452|-0.16805|4.6684|0.0227416|-1083.008551|6.9456|7.1612
12b_a5|0.0|0|0|0|0.0|0.0|0|6.605297921|2|1.189701783|0.0|-0.001991527|-0.021265946|-0.1214831359999999|0.0068803119999999|-0.119503073|10.94620104|0|0|0.00751901|-0.033279992|-0.070406884|0.779793078|0.066588785|-0.033036296|0.819417554|0.8121510009999999|-0.066227158|-0.068586754|0.016556707|-41.76622313|-43.25430513|138.67264319999998|0.0|-26.33991037|59.53145615|-12.90040679|52.20772716|1071.500538|0.4696203889999999|8.398709622|16.16438947|0.924627734|5501.255679|-463.7323032|24.32296891|0.025810077|1386.409228|727.8586176|16.27715102|0.0|1.0|4.05|0.0|18.0|3.29|50.28|0.0|0.0|1.0|5.0|30.0|6.0|-7.57|0.0|0.0|0.000359|143.0|1.63|0.0|-0.10395|4.6156|1.4454|669.05|1149.51|857.76|505.16|0.42949|0.70615|0.0001|-0.06212|5.7174|0.03447919|-1276.9984029999998|8.2868|7.3768
7_a3|0.0|0|0|0|0.0|0.0|0|6.823286122000001|0|0.60501656|0.0|-0.008855374|-0.047419994|-0.327648836|-0.007540435|0.054347129|10.3116226|1|1|-0.006696449|-0.084462575|0.020589494|0.790667152|-0.224253635|0.0507482109999999|0.8632654590000001|0.773152968|-0.1034274319999999|-0.096448591|0.009708941|-51.18177092|-47.72824381|230.9407974|76.07607751|-25.32764885|55.15105143|-18.2490344|55.98630667|1952.029549|0.2007853889999999|5.198046584|8.644978051|0.663120542|5055.700186|-307.0424158|22.83370969|0.0149999089999999|776.3461295|353.7528308|7.422807617|1.0|1.0|3.02|2.61|21.0|4.96|92.93|0.0|0.0|1.0|2.0|23.0|3.0|-5.68|0.0|1.0|1.34e-05|0.00455|3.79|0.0|-0.0640299999999999|5.8849|3.4435|522.73|883.88|360.06|362.61|0.3456|0.69224|0.1262|-0.14816|3.1299|0.03103579|-1731.651178|3.9813|5.9901
3j_a32|0.0|1|1|1|3.564417045|0.0|0|8.234564993|0|0.609420782|0.0|-0.006580847|-0.029763115|-0.269814716|-0.000202965|-0.086191775|10.31100276|3|3|0.001173363|-0.055211759|-0.052818794|0.824282683|-0.020129489|-0.084553991|0.8884057059999999|0.7557114|-0.070289671|-0.095013178|0.013773753|-37.33051857|-50.46105839|47.55031019|0.0|-19.82606536|58.58770587|-16.36574867|44.64569478|1778.1826620000002|0.251226|5.900829539|10.69497519|0.812452828|4866.613493|-321.5956102|21.85672669|0.015301673|808.6988876|398.2788055|8.126647477|1.0|1.0|3.27|3.0|19.0|6.68|110.94|0.0|0.0|1.0|3.0|23.0|3.0|-5.6|0.0|1.0|1.58e-05|0.00533|3.89|0.0|-0.05361|3.4982|3.4982|564.55|934.19|354.42|405.19|0.7028|0.7028|0.3005|-0.14498|3.6238|0.02833407|-1671.402462|5.9266|8.0969
