molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA5|FPSA3|PNSA3|RNCS|RPSA|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|PPSA1|DPSA4|FPSA5|DPSA1|Mor01p|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|IC50|pIC50|pIC50
LY364947_a10|0.0|1|0|0|0|6.605297921|0|0|1.390175303|0.0|-0.00235945|4.59511985|-0.00390904|2|0.0938628109999999|2.084955541|0.007575|0.010202602|-0.006198347|0.006909045|0.1625645369999999|0.04209715|0.072909639|-0.204644982|2|0.706034038|0.711607778|-0.072740964|-0.012096774|0.7792035190000001|0.681525895|1|-0.075303751|0.009678082|-34.01613475|144.7228349|0.156895451|-0.029665114|-14.69643595|0.0|0.7234846559999999|-15.02735938|41.53157099|-13.10520229|38.29163558|0.486715511|1896.845282|372.4595738|839.5356408|-5.78950507|0.276515344|122.1566022|18.1140017|0.018707677|-197.4583104|287.99188260000005|1.0|1.0|2.46|1.88|0.0|21.0|3.69|54.46|1.74|0.0|2.0|-3.54|21.0|-6.02|272.3|0.0|1.0|1.0|2.8|0.00029|0.0789|0.000137|0.0|1.7199999999999998e-05||||||||||59.0|7.2291|7.2291
7_a1|0.0|0|0|0|1|7.860570786|2|2|1.348826331|2.307091837|-0.010040172|5.777652323|0.001018628|1|-0.048878707|0.0|0.0021597079999999|-0.07233584|-0.024096172|0.004950534|-0.077833285|-0.245732751|-0.391298966|-0.441054548|1|0.7795049279999999|0.801577133|-0.048198584|-0.042175602|0.862051935|0.729621031|0|-0.098295453|0.035937867|-40.16416679|111.9204437|0.289040847|-0.031040669|-22.81733634|404.7836105|0.603382856|-19.35104936|61.72628137|-14.95535873|57.47898976|0.452829665|2150.215999|342.53930230000003|1466.924404|-7.205474633|0.396617144|191.0896839|24.78585294|0.029820838|-99.61948195|351.4191817|1.0|0.0|3.09|2.83|0.22|17.0|3.29|49.17|1.6|0.0|2.0|-3.16|23.0|-6.4|305.33|0.0|1.0|1.0|2.72|0.000696|213.0|0.000195|0.0|0.000698|-0.02433|4.0504|2.76|306.1|365.53|0.69902|-1009.350293|0.2961|-0.16734|0.46|6.3372|6.3372
14s_a23|0.0|0|1|1|2|7.423568444|0|0|1.197958333|3.336763335|-0.005854379|5.351858133|-0.022580082|2|0.049317519|0.740898446|0.010682694|-0.044305947|-0.064006338|0.009263715|0.0909774219999999|-0.071484865|-0.13187015|-0.457212212|2|0.722187957|0.7837821840000001|0.096014944|-0.1050445769999999|0.846632079|0.659570836|1|-0.080500435|0.019970955|-35.30692476|30.34480575|0.07236376|-0.034255504|-33.12848261|82.55990607|0.7748161659999999|-22.64965286|62.75905983|-21.9751589|48.11843993|0.470919749|2954.0751370000003|595.0854952000001|2316.634024|-14.09722664|0.2251838339999999|144.457092|28.36177131|0.017330177|-352.5931977|633.3278634|0.0|1.0|3.45|3.66|0.05|26.0|4.67|105.02|3.51|0.0|5.0|-6.13|31.0|-6.03|445.93|0.0|0.0|0.0|4.01|7.49e-07|0.000334|2.83e-06|0.0|4.55e-06|-0.07783|3.6828|4.1|336.66|528.82|0.60323|-2089.2914530000003|0.3669|-0.1515|3.0|8.5482|8.5482
4p_a46|0.0|0|0|0|1|7.825245291|1|1|1.134636977|2.102855253|-0.004413243|5.587248657999999|-0.038295755|0|-0.164311513|0.0|0.005152176|-0.205494852|-0.120823841|0.004453195|-0.251219946|0.066453878|0.101602982|-0.369670745|0|0.7471162309999999|0.747019097|-0.078703563|-0.1623103719999999|0.7911509609999999|0.751334374|0|-0.083274013|0.007398064|-56.55658053|175.10295019999998|0.094033511|-0.029978645|-26.78464688|0.0|0.87420565|-32.07534663|51.05047787|-17.00200781|60.7522985|0.423511708|2257.769185|513.8073925|2219.4587530000003|-9.642472876|0.12579435|71.34266847|19.44852199|0.006740305|-424.4519674|585.8536976|0.0|1.0|3.89|3.2|0.3|17.0|5.25|61.84|3.2|0.0|2.0|-5.8|27.0|-5.09|357.45|0.0|1.0|1.0|4.25|1.59e-06|0.000567|4.03e-06|0.0|3.2e-05|-0.0393|5.4796|4.89|226.26|537.47|0.43709|-1129.3914619999998|0.0763|-0.16819|341.0|6.4672|6.4672
2_a49|0.0|0|0|0|1|7.535296702|1|1|1.3438506419999998|2.12788659|-0.004112807|5.4161004020000005|-0.03981057|2|-0.100166139|1.999073077|0.004524556|-0.041202373|0.005918367|0.004580676|-0.170631119|0.032521855|0.055400364|-0.320124905|2|0.802447754|0.79056501|0.084099874|0.00991453|0.851413454|0.7701578720000001|1|-0.079176085|0.01105681|-44.066695|226.4450566|0.18651986|-0.028277173|-20.55997527|0.0|0.7154059890000001|-22.45560511|49.26352575|-14.409545199999998|49.7010488|0.454163307|2244.518609|414.5350312|1550.010086|-7.34284831|0.284594011|145.02405359999997|20.14177325|0.017498253|-219.534132|439.9973344|1.0|1.0|3.09|2.5|0.15|21.0|3.7|69.62|1.88|0.0|2.0|-3.53|25.0|-6.57|327.38|0.0|1.0|1.0|2.76|0.000292|0.0955|0.000129|0.0|4.94e-05|-0.04372|5.4614|1.79|227.02|371.96|0.34449|-1045.810794|0.0572|-0.1555099999999999|59.0|7.2291|7.2291
16_a20|0.0|1|0|0|0|6.842683282|0|0|1.401259527|0.0|-0.004705049|4.727387819|0.00695144|2|0.126359252|2.013871268|8.23e-05|-0.061975089|-0.062750442|0.001157852|0.211127741|-0.070208458|-0.117308016|-0.458484451|2|0.7582110409999999|0.7478675859999999|-0.085041518|-0.10978034|0.809440795|0.724665638|1|-0.077793092|0.011604018|-43.51359744|69.28224942|0.084994428|-0.029561375|-33.67420774|3.46788153|0.780108103|-28.6288015|60.02453683|-19.44924762|51.14820251|0.464473378|2722.728332|602.0075202|2161.751186|-12.79619894|0.219891897|144.672972|24.9314775|0.013439632|-368.5817657|664.4562602999999|1.0|1.0|3.5|3.13|0.08|27.0|5.46|78.25|2.2|0.0|4.0|-6.06|31.0|-5.42|401.46|0.0|0.0|1.0|4.37|8.68e-07|0.000349|2.17e-06|0.0|1.22e-08|-0.05909|5.9837|4.45|207.2|554.41|0.32553|-1275.636924|0.1958|-0.1481299999999999|26.0|7585.0|7585.0
26_a47|0.0|0|1|1|1|6.86171134|0|0|1.304328272|1.06819297|-0.012090143|4.727387819|-0.200192886|2|-0.110530752|0.956774672|-0.0098410169999999|-0.046771537|0.0081426509999999|-0.008325552|-0.24731748|-0.035472095|-0.079370393|-0.5899218279999999|2|0.6850994429999999|0.845040087|-0.11288313|0.0120097289999999|0.910081385|0.651797437|1|-0.101679756|0.020884606|-57.01987795|9.608109253|0.2895618|-0.038735145|-34.3326642|60.07342336|0.717639177|-33.13315474|73.39007585|-22.50824805|69.15552111|0.474969855|2625.572598|412.8219782|1341.904566|-13.07911017|0.282360823|164.0744453|31.36429668|0.024619511|-252.9318822|457.1122177|1.0|2.0|3.13|2.66|0.05|21.0|4.68|98.72|2.59|0.0|4.0|-4.86|28.0|-6.51|396.81|0.0|0.0|1.0|3.18|1.3699999999999998e-05|0.00545|2.77e-05|0.0|2.37e-05|-0.06279|4.7963|4.37|258.5|443.78|0.50921|-1695.9387359999998|77.0|-0.16642|13.0|7.9|7.9
8d_a32|0.0|1|1|1|0|7.765993078999999|0|0|0.609420756|0.0|-0.010604502|5.733341277|-0.089662873|0|0.062782795|2.146260246|-0.006974711|-0.044765977|-0.0682721729999999|-0.005162219|0.113030335|0.001558357|0.002805572|-0.629535754|0|0.825020753|0.825978584|-0.054095278|-0.11492754|0.875986707|0.789198712|1|-0.109968322|0.01593079|-68.88621406|321.2496412|0.2892958439999999|-0.03346862|-43.43251025|89.20994250000001|0.708567136|-43.2918338|81.54594837|-21.03349629|78.89798692|0.47012654|2556.198518|446.6450457|2371.595484|-13.21859008|0.2914328639999999|183.1522214|29.684549600000004|0.019788058|-262.14980440000005|557.1050635|0.0|2.0|3.5|2.84|0.26|19.0|4.32|154.03|1.1|1.0|7.0|-6.08|27.0|-6.47|397.52|1.0|0.0|1.0|3.57|8.41e-07|0.000334|4.36e-05|0.0|2.19e-05|-0.0535|3.5588|4.26|348.39|540.98|0.7026100000000001|-1880.540067|0.3018|-0.14765|8.0|8.0809|8.0809
13a_a6|0.0|1|0|0|0|7.412764017000001|1|1|1.430639975|0.0|-0.01115741|5.351858133|-0.0265090529999999|1|0.031837397|0.0|-0.00460563|0.0015242189999999|-0.0525259259999999|-0.00194781|0.05269025|-0.10896749|-0.180339002|-0.488098052|1|0.850080948|0.7722228729999999|0.090839165|-0.091892803|0.8299950709999999|0.8013954109999999|0|-0.113446379|0.031866842|-61.52313164|154.9639272|0.22549456|-0.040840697|-48.51283287|554.4922449|0.759912392|-40.23198232|87.37044493|-26.70706346|82.36189896|0.467070451|2820.31296|506.474367|2626.396685|-17.46461983|0.240087608|157.0011174|35.14492428|0.02016134|-339.9303794|627.4287311|1.0|2.0|3.53|3.2|0.12|23.0|4.32|95.85|1.29|0.0|5.0|-5.51|31.0|-6.1|409.44|0.0|0.0|1.0|3.52|3.11e-06|0.0012699999999999|1.02e-05|0.0|4e-07|-0.05018|5.9934|4.04|206.87|571.9|0.4816|-1349.834826|0.2697|-0.14969|46.0|7.3372|7.3372
28_a47|0.0|0|1|1|1|6.842683282|0|0|1.4201653580000002|1.408016295|-0.009689834|4.727387819|-0.23494583|2|0.023813594|1.121067445|-0.013020816|-0.00496711|0.0467853809999999|-0.010153352|0.06536499|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.832144916|-0.175007067|0.074217097|0.896193695|0.614975047|1|-0.106779291|0.026080156|-67.33744077|365.2310214|0.394650655|-0.038135461|-37.72858603|83.61576722|0.65225927|-40.02656804|82.27079846|-22.66839387|82.83994768|0.472690874|2616.1598940000003|359.8303775|1337.037733|-13.47449501|0.34774073|206.7032519|34.75365534|0.031626405|-181.0112167|428.5826478|1.0|2.0|3.08|2.03|0.05|21.0|3.84|98.72|1.67|0.0|5.0|-3.67|28.0|-7.22|380.35|0.0|0.0|1.0|2.4|0.000214|0.0816|0.000217|0.0|4.59e-05|-0.05471|3675.0|3.51|337.37|461.73|0.69002|-1335.571655|0.2996|-0.15049|25.0|7.6|7.6
