molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|SaaaC|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|BIC2|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PBF|FPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA1|WNSA3|DPSA5|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|CYP2C9 inhibitor|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
12i_a36|0|3.27619957|-4.787087299|0|7.412764017000001|2|0.043792895|-0.016027043|-0.29543904|2|0.048138468|0.0|10.96020192|-0.009876543|1|1|-0.007897954|0.135587069|-0.3344729369999999|-0.608318386|1|0.820041835|0.87043328|0.624142499|0|0.830964232|-0.0850745409999999|0.332782117|0.01973953|108.3973956|0.169035768|108.9148111|-0.045665229|-48.75024044|0.52902639|0.7691298590000001|-35.3196406|90.11282843|67.53484704|3231.030388|535.4151566|-1588.867662|2351.232652|-18.95842684|13.98728916|0.8526986440000001|7707.634338|148.7565508|-1023.755049|38.2555363|0.022430221|-346.8168661|2065.79896|1.0|0.0|4.8|0.0|0.17|17.0|-7.14|3.31|4.04|0.0|130.43|0.0|1.0|-5.2|34.0|8.0|465.43|0.0|0.0|2.65|6.26e-06|8.6e-06|4.0|3.86|0.0|7.24e-08|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.171438|666.79|1172.5|330.66|0.5402|0.34255|0.70134|5.1836|-0.20475|0.03165678|-1645.017702|12.0|7.9208
19a_a22|0|0.0|0.0|1|6.842683282|0|-0.000989685|-0.009145283|-0.144269652|2|-0.020553065|1.545757986|10.9464374|0.016501913|1|1|-0.001355145|-0.03516233|-0.0611158559999999|-0.496053375|2|0.777600172|0.834033833|0.699744887|1|0.744354735|-0.090145161|0.51561501|0.024839714|373.8201781|0.255645265|190.7541925|-0.035138299|-52.17015658|106.645364|0.684706189|-50.18975739|89.23486638|85.79797858|3167.140147|555.4133255|-1468.267194|2607.322873|-19.56380872|15.30120355|0.76919701|7095.27723|235.2620007|-1095.573288|38.29242013|0.025888799|-275.6435167|2144.375527|1.0|1.0|3.61|2.27|0.08|27.0|-8.76|3.08|3.41|0.0|132.15|0.0|1.0|-4.38|35.0|6.0|463.49|0.0|0.0|2.36|4.16e-05|7.69e-05|0.0356|2.05|0.0|1.73e-09|8e-07|-0.06398|5.0397|5.69|3.5809|-1537.0241640000002|740.07|1277.14|346.24|0.2218|0.34556|0.66605|4.5288|-0.21478|0.04718381|-1536.823574|48.0|7.3188
9_a1|0|3.358585365|0.0|0|6.86171134|0|0.020428974|-0.00614716|-0.1075163359999999|1|-0.110185988|0.0|10.94877277|0.016589221|1|1|-0.0018191779999999|-0.232860777|-0.093062585|-0.483335578|1|0.737794643|0.7964939409999999|0.572272366|0|0.755276458|-0.080888063|0.166794384|0.011266799|63.73880199|0.244723542|141.093898|-0.031896718|-28.49439431|0.0|0.7816897429999999|-26.88743664|57.60218193|53.13133578|2387.143654|435.4501351|-790.7640749|1739.0376789999998|-10.60256533|13.91191974|0.826725116|5063.330971|125.865476|-455.910309|23.52578164|0.014186995|-324.81308110000003|1011.608611|1.0|1.0|2.78|2.66|0.05|23.0|-8.98|5.86|5.57|0.0|102.84|0.0|1.0|-4.68|27.0|4.0|357.38|0.0|1.0|4.12|2.07e-05|1.62e-05|0.0057799999999999|3.76|0.0|1.04e-09|3.7100000000000003e-07|-0.07602|3343.0|5.6|3343.0|-1187.193365|600.6|1007.04|370.88|0.5409|0.70296|0.70296|4.1623|-0.21015|0.03294951|-1187.065335|6.0|5.2218
18_a4|0|0.0|0.0|1|7.535296702|1|-0.181683336|-0.004533883|-0.164169913|1|0.049240675|0.0|10.94611841|-0.063708832|1|1|0.00042|0.108754635|0.015390457|-0.319213511|1|0.793041267|0.8547339420000001|0.615655659|0|0.7755960390000001|-0.094231531|0.269470313|0.017694182|203.5264327|0.224403961|110.7087804|-0.03479101|-20.88721799|0.0|0.769438308|-22.93503169|50.98777224|55.21809494|2069.649003|382.6371479|-635.0681172000001|1573.744396|-8.467791078|10.31843368|0.682329162|4381.693113|113.7466718|-313.3082699|22.30718562|0.0175331289999999|-265.85258480000005|825.3658678999999|0.0|0.0|3.32|2.56|0.11|17.0|-5.53|3.46|3.43|0.0|86.22|0.0|2.0|-2.95|23.0|4.0|307.32|1.0|1.0|2.78|0.00113|0.000312|0.0959|2.24|0.0|2.96e-06|0.0009109999999999|-0.03538|4.5152|3.02|4.2045|-1033.454769|523.81|870.74|294.88|0.2083|0.52475|0.57777|2.7878|-0.20883|0.02525528|-1033.398285|2.62|5.5817
5b_a50|1|0.0|0.0|2|7.927685046000001|1|-0.253064589|-0.00141071|-0.003549558|1|-0.052494624|2.473508677|10.9325725|-0.113846154|2|2|0.012290091|-0.0873662269999999|-0.175158017|-0.140506919|1|0.791163321|0.855527513|0.6642694929999999|1|0.958606481|-0.041157676|0.271653991|0.012204641|6.656963127999999|0.041393519|21.02890062|-0.02140774|-15.78596849|60.5565203|0.5887490470000001|-10.62231784|42.76068675|27.10933752|2183.545404|486.9950914|-435.0258302|1452.442728|-5.525088972000001|10.01036188|0.8058479690000001|4577.809819|208.925351|-221.0035589|18.47246431|0.023005632|-90.17329003|738.8985723999999|0.0|1.0|3.37|2.91|0.1|20.0|-5.86|3.15|4.02|0.0|96.89|0.0|2.0|-3.48|24.0|2.0|312.37|1.0|1.0|3.11|0.000335|6.47e-05|0.0202|3.06|0.0|1.37e-06|0.0004269999999999|-0.0256899999999999|5.6332|2.81|4.0222|-990.5849031|547.35|922.49|308.25|0.2749|0.4270899999999999|0.66968|4.4181|-0.19252|0.02651535|-990.487545|12.23|4.9126
16g_a32|1|3.363965155|0.0|0|7.765993078999999|0|0.1739995319999999|-0.013775701|-0.0429252429999999|0|-0.049658216|2.084553994|10.31100263|0.004735761|3|3|-0.00030659|-0.085591073|-0.202656848|-0.696926204|0|0.83902731|0.8821580379999999|0.762429418|1|0.8206422409999999|-0.078387439|0.542303725|0.023959586|90.88837862|0.1793577589999999|132.1955522|-0.033839807|-57.31234426|43.37912747|0.6863323440000001|-42.58335004|94.54074206|75.43482709|2833.521937|604.8539801|-1321.90553|3497.469035|-18.38320476|15.58880229|0.65902387|6372.261243999999|231.1885989|-974.3098525|36.34043182|0.02276861|-274.67233460000006|1926.042887|1.0|1.0|3.87|3.42|0.33|19.0|-8.16|6.81|5.38|0.0|121.56|1.0|1.0|-7.51|30.0|5.0|441.57|0.0|1.0|4.37|3.08e-08|4.83e-06|0.00213|4.65|0.0|6.890000000000001e-09|3.04e-06|-0.05|3.6161|5.38|3.6161|-2034.593036|752.29|1245.25|342.86|0.2879|0.70222|0.70222|3.7346|-0.19968|0.02895494|-2034.408165|11.0|7.9586
9i_a40|0|0.0|0.0|1|7.515889085|0|0.074116257|-0.0071562119999999|-0.105556952|0|0.187127708|0.891973262|10.31197226|-0.1788455119999999|2|2|0.004019925|0.333430103|0.187399127|-0.542471361|0|0.762774506|0.824009442|0.7947633409999999|1|0.830980762|-0.092881258|0.006324687|0.011010661|213.7117392|0.169019238|85.16517222|-0.036869006|-22.46593254|62.68854553|0.8590224540000001|-23.58195819|49.81256531|52.34891159|2056.370683|418.7133986|-668.7900768999999|335.9672843|-9.360805225|14.74203307|0.91433781|4201.058793|71.03556427|-336.98898810000003|21.62632891|0.010372658|-361.8074422|778.5478408|1.0|1.0|3.25|2.9|0.06|20.0|-6.03|3.84|4.02|1.0|91.11|0.0|1.0|-5.32|22.0|2.0|306.38|0.0|1.0|3.52|4.79e-06|1.97e-05|0.00603|3.85|0.0|9.31e-07|0.000285|-0.05989|4.3611|3.2|2.8936|-1273.31399|534.44|883.84|428.48|0.5012|0.56118|0.70339|2.0895|-0.17956|0.02072395|-1273.217301|1.25|5.9031
1_a1 (SKF-104365)|0|0.0|0.0|1|7.535296702|1|0.011230812|-0.006055958|-0.01959813|1|-0.091086986|0.0|10.33812228|0.11172918|1|1|0.002250781|-0.221214316|-0.300426726|-0.505981356|1|0.7926983559999999|0.857919181|0.551667506|0|0.8131557509999999|-0.067997692|0.2405471019999999|0.0133681239999999|6.658828587|0.186844249|86.42113499|-0.029524467|-17.369816|63.42504103|0.709744919|-14.547040099999998|46.32985169|37.63415922|1997.193006|376.1092109|-450.6467387|1551.362941|-6.316296726|9.042613965|0.71469847|4225.4765640000005|134.2517831|-208.4377919|19.24066156|0.018973797|-194.0267797|634.9418316000001|1.0|1.0|2.97|2.68|0.12|17.0|-6.0|3.93|4.28|0.0|81.72|0.0|1.0|-3.8|21.0|3.0|297.35|1.0|1.0|3.27|0.000159|9.65e-05|0.0287|2.96|0.0|9.93e-07|0.000295|-0.03482|3.8901|3.45|3.8901|-1279.060907|491.18|809.96|318.72|0.2178|0.70081|0.70081|4.5773|-0.19624|0.02377006|-1279.017667|1.6|5.7959
14b_a3|0|0.0|0.0|0|6.823286122000001|0|0.143500839|-0.009130444|-0.1160619169999999|3|-0.1551678719999999|1.7086790859999998|10.31162234|-0.102362298|1|1|-0.004161699|-0.288944272|-0.094863591|-0.575695827|3|0.7809478329999999|0.848135222|0.8255789570000001|1|0.786476513|-0.090994113|0.379746504|0.012828558|252.49572540000003|0.2135234869999999|104.4171556|-0.036469822|-24.15156108|82.79166784|0.766915433|-21.76034149|57.87172082|50.77131401|2160.565755|384.6023764|-642.0403962|1289.104749|-8.721397057|9.738358819|0.951659927|4803.535505|113.9829058|-313.9702941|23.25478753|0.017348996|-261.0537205|837.1723509999999|1.0|1.0|3.18|2.5|0.06|21.0|-6.89|4.28|3.71|0.0|93.25|0.0|1.0|-4.45|23.0|4.0|319.38|0.0|1.0|2.82|3.54e-05|0.000103|0.0327|2.58|0.0|1.28e-07|4.08e-05|-0.06676|3.0724|2.22|3.0724|-1327.4859310000002|524.27|879.19|403.54|0.2276|0.70123|0.70123|2.8743|-0.19618|0.02844675|-1327.398177|0.38|6.4202
LY580276_a4|0|0.0|0.0|1|7.535296702|1|-0.156842923|-0.001543874|-0.020236527|1|0.0295482979999999|0.0|10.94681614|0.011772853|1|1|0.009622161|0.064209689|-0.042912895|-0.191806286|1|0.7921620090000001|0.847526918|0.518109998|0|0.8685269959999999|-0.057317455|0.243350596|0.008729943|11.22286434|0.131473004|63.36073061|-0.028035586|-16.49563923|82.46094409|0.8478469959999999|-13.31233017|38.23432817|31.83019528|1948.220005|418.5688558|-513.4247728|1511.5340210000002|-6.511436537000001|9.693623538|0.7764939829999999|4098.640927|73.32703409|-247.4345884|15.93586849|0.008312438|-335.2755182|605.5630025|0.0|1.0|3.01|3.04|0.22|17.0|-6.56|4.49|4.43|0.0|84.74|0.0|1.0|-3.67|22.0|3.0|293.34|1.0|1.0|3.69|0.000213|6.18e-05|0.0181|3.35|0.0|2.75e-07|8.08e-05|-0.0225|5.2983|3.64|4.4918|-959.4723321|519.23|865.23|276.03|0.1905|0.36903|0.68002|2.5355|-0.2099599999999999|0.023546627|-959.404416|175.0|6757.0
