molecula|SddssS|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|AATSC7i|AATSC1i|n6aHRing|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|GeomRadius|PPSA1|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|pIC50|pIC50
22_a4|0.0|0|0.0|1|7.535296702|1|1|1.399866564|1.987636054|-0.006436201|5.4161004020000005|1|0.004808337|-0.257448045|-0.2078428719999999|10.94586213|-0.023072107|0.00771584|0.034720243|1|0.7797803109999999|0.086940934|-0.037423832|0.8404413829999999|0.755510052|0|0.8612031509999999|-0.09491995|-0.089955967|0.242642229|0.010702353|-43.23011833|5.1432274630000006|162.9809584|-0.036468635|2.47167963|-1.349339509|-21.92150631|48.65880447|-17.52572365|50.75888571|0.4359219589999999|413.8681986|-648.451775|5.495481464|74.7444381|20.75359108|-331.080892|5.428686137000001|1.0|1.0|0.0|1.0|0.0|1.0|0.11|17.0|-5.24|3.19|2.09|0.0|87.12|0.0|2.0|-3.77|22.0|-5.91|289.33|0.0|1.0|-3.98|0.000172|0.0497|0.000104|0.0301|0.0|0.0|5.77e-06|-0.03046|4.468999999999999|519.39|860.77|305.85|0.1675|277.43|628.0|0.65771|-934.12356|0.1293|-198.0|-934.171365|7.3279|7.3279
12h_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.604984682|0.0|-0.00737961|5.351858133|2|-0.074988669|-0.391119352|0.001698966|10.31162898|-0.072247675|-0.166613751|-0.120380857|1|0.831176513|0.008644634|-0.1240820219999999|0.888213143|0.64876559|0|0.763568404|-0.083127678|-0.09907575|0.353607682|0.017389133|-63.03519645|11.06352871|89.66095835|-0.038417127|7.038974807000001|-1.882439244|-33.64938551|73.14241438|-24.44221903|63.95204629|0.468446216|485.8069155|-1197.668733|8.066818026|128.5349203|30.63031164|-379.1625034|10.10721793|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-6.9|4.25|3.2|0.0|127.24|0.0|5.0|-5.39|30.0|-6.02|416.47|0.0|0.0|-5.01|4.12e-06|0.00171|9.71e-06|0.00405|0.0|0.0|1.26e-07|-0.05347|5.0289|672.54|1132.06|353.22|0.1878|246.54|-0.26697|0.68543|-1674.777786|155.0|-0.2023599999999999|-1674.838376|8065.0|8065.0
8a_a8|0.0|0|0.0|1|7.535296702|1|1|1.400027874|1.4114120369999998|-0.014658222|5.4161004020000005|1|0.027531877|-0.732911106|0.010118884|10.94671414|-0.0298924089999999|0.044579097|0.089375589|1|0.762577159|0.089031731|-0.048064085|0.8220300859999999|0.7318727540000001|0|0.550829475|-0.131795179|-0.118763303|0.22299265|0.034374791|-71.12928513|20.58762475|170.9592896|-0.049054408|12.33026525|-2.256502762|-47.27503672|86.57328508|-29.37948733|99.52191337|0.481294455|329.9007832|-1351.456417|7.533378788999999|141.2206861|38.44444383|-316.4749864|15.44399996|0.0|0.0|1.0|1.0|0.0|2.0|0.05|23.0|-6.76|3.13|1.9|0.0|109.21|0.0|4.0|-4.4|30.0|-7.04|400.39|0.0|0.0|-4.14|3.99e-05|16.0|7.28e-05|0.0292|0.0|0.0|1.74e-07|-0.06922|4.6017|620.68|1061.5|399.45|0.2035|269.43|0.4927399999999999|0.7036899999999999|-1367.539526|0.1729|-0.19937|-1367.595683|4.9454|4.9454
12r_a30|0.0|0|0.0|0|7.412764017000001|2|2|0.604984545|0.0|-0.007553813|5.351858133|2|-0.093079817|-0.400352091|-0.0682882559999999|10.31162892|-0.0646674999999999|-0.247439715|-0.145315868|1|0.83236194|-0.007140234|-0.105767484|0.889479916|0.591758164|0|0.72072745|-0.090229387|-0.109990462|0.451652492|0.019137908|-71.0931422|12.36992712|90.4724548|-0.040404659|7.995393191000001|-1.979828309|-37.69583567|82.06195604|-26.11584816|70.6903535|0.464481911|465.8474777|-1279.67656|7.467190577999999|135.6928105|33.05530181|-374.9717191|10.96881384|1.0|0.0|1.0|1.0|0.0|1.0|0.14|17.0|-7.16|4.67|3.58|0.0|127.19|0.0|5.0|-5.49|31.0|-6.06|434.46|0.0|0.0|-5.17|3.24e-06|0.00141|6.71e-06|0.00291|0.0|0.0|6.900000000000002e-08|-0.05244|5067.0|679.64|1141.54|353.12|0.1908|244.69|0.32409|0.68476|-1774.009422|0.1522|-0.20138|-1774.070699|7.5317|7.5317
5g_a40|0.0|0|0.0|1|8.149890544|0|1|0.604913142|1.534673091|-0.016033575|6.167516491000001|0|-0.0602779129999999|-0.5611751220000001|0.122088541|10.31198315|-0.091116241|-0.104356485|0.137067086|0|0.818555255|0.006643696|-0.1312278909999999|0.882781953|0.7733200179999999|1|0.67772744|-0.153687065|-0.14338431|0.245639795|0.024937196|-68.05025116|11.83520323|216.425542|-0.049288357|5.616992201|-1.577227413|-34.61732609|80.22859145|-23.39227384|84.77514603|0.488538966|321.64971460000004|-748.5527627|6.193485364|120.8573152|31.38430965|-232.8857705|12.1783403|0.0|0.0|0.0|1.0|0.0|2.0|0.21|14.0|-2.89|2.69|0.74|1.0|78.2|0.0|3.0|-4.24|21.0|-6.6|301.32|0.0|1.0|-3.37|5.78e-05|0.0174|0.000426|128.0|0.0|0.0|0.0013|-0.0540299999999999|3.48|489.04|800.98|356.27|261.0|356.27|0.6563|0.6563|-1327.9345529999998|261.0|-0.19908|-1327.982732|6.9101|6.9101
13_a12|0.0|0|0.0|0|0.0|0|0|1.508548782|0.0|-0.0069874069999999|0.0|2|-0.21832579|-0.272508888|-0.083760082|10.96083169|0.021322992|-0.362308767|-0.281096572|2|0.6809340620000001|-0.226526433|0.039235452|0.7300173240000001|0.804066411|0|0.90006391|-0.058167326|-0.092483398|0.122164874|0.008188151|-45.33566159|4.01385817|64.74666684|-0.034993718|1.96760628|-1.2947675790000002|-13.97756285|48.99243638|-17.15403411|32.52766981|0.466560112|441.2142447|-634.6992622|6.06407675|57.35761558|19.42716439|-375.4880089|3.656774794|1.0|1.0|0.0|0.0|1.0|1.0|0.12|18.0|-7.14|3.63|2.42|0.0|84.74|0.0|3.0|-4.26|21.0|-5.49|276.34|0.0|1.0|-4.2|5.520000000000001e-05|0.0152|6.3e-05|0.0174|0.0|0.0|7.26e-08|-0.04445|4.5363|532.86|867.79|315.25|0.6528|273.31|0.6622399999999999|0.64974|-876.209109|0.0155|-0.20903|-876.258343|7.0315|7.0315
7_a3|0.0|0|0.0|0|6.823286122000001|0|0|0.60501656|0.0|-0.008855374|4.727387819|2|-0.047419994|-0.327648836|0.054347129|10.3116226|0.030246987|-0.084462575|0.036673175|2|0.790667152|-0.224253635|0.0507482109999999|0.8632654590000001|0.773152968|1|0.782294598|-0.1034274319999999|-0.096448591|0.5999725029999999|0.009708941|-47.72824381|4.804535747|230.9407974|-0.036877402|2.377557323|-1.253831681|-25.32764885|55.15105143|-18.2490344|55.98630667|0.3987206729999999|387.1238241|-620.4671695000001|5.198046584|99.36002106|22.83370969|-296.13678660000005|7.422807617|1.0|1.0|1.0|1.0|1.0|1.0|0.0|21.0|-7.48|4.96|2.11|0.0|95.5|0.0|2.0|-5.44|23.0|-5.68|338.81|0.0|1.0|-4.87|3.67e-06|0.00124|1.34e-05|0.00455|0.0|0.0|3.28e-08|-0.0640299999999999|5.8849|522.73|883.88|360.06|0.1926|210.68|0.3456|0.69224|-1731.602893|0.1262|-0.21219|-1731.651178|5.9901|5.9901
9o_a24|0.0|0|0.0|0|6.605297921|1|1|1.294229152|0.0|-0.007052095|4.59511985|3|-0.087807028|-0.387865233|-0.097596429|10.94506726|-0.000236595|-0.145366976|0.00294424|2|0.785672769|-0.0062180169999999|-0.000453155|0.846075714|0.7086274779999999|0|0.770273808|-0.088586421|-0.08834189|0.6253256110000001|0.018492771|-51.14964436|10.7072496|32.50178358|-0.032911684|6.1994599720000005|-1.678495905|-29.69744072|66.24061038|-19.05574986|61.99847688|0.4861134689999999|445.9858336|-971.8432428|6.080741586|192.1999837|28.52459128|-194.5965258|15.09096602|1.0|0.0|1.0|1.0|1.0|2.0|0.04|23.0|-7.91|3.75|1.23|0.0|120.73|0.0|6.0|-4.49|32.0|-6.83|421.45|0.0|0.0|-4.4|3.2500000000000004e-05|0.0137|3.9500000000000005e-05|0.0167|0.0|0.0|1.24e-08|-0.04527|5.8802|611.03|1126.94|290.75|0.1409|210.85|0.41688|0.65292|-1387.887227|0.0288|-0.22353|-1387.945865|6.3507|6.3507
28_a47|0.0|1|0.0|1|6.842683282|0|0|1.4201653580000002|1.408016295|-0.009689834|4.727387819|2|0.023813594|-0.436042548|-0.00496711|10.95058275|0.0467853809999999|0.06536499|-0.126992366|2|0.832144916|-0.175007067|0.074217097|0.896193695|0.614975047|1|0.605349345|-0.1132830309999999|-0.106779291|0.310094808|0.026080156|-63.47150284|15.50250691|365.2310214|-0.038135461|9.214964819|-1.601689367|-40.02656804|82.27079846|-22.66839387|82.83994768|0.472690874|359.8303775|-952.0725426|7.864990866|206.7032519|34.75365534|-181.0112167|18.79929562|0.0|1.0|1.0|1.0|1.0|2.0|0.05|21.0|-6.92|2.49|1.67|0.0|99.2|0.0|5.0|-3.67|28.0|-7.22|380.35|0.0|1.0|-3.66|0.000214|0.0816|0.000217|0.0824|0.0|0.0|1.2099999999999998e-07|-0.05471|3675.0|599.88|995.5|337.37|0.2996|337.37|0.69002|0.69002|-1335.571655|0.2996|-0.2052|-1335.6279869999998|7.6|7.6
11a_a5|0.0|0|0.0|0|6.605297921|0|1|1.212363224|0.0|-0.002894726|4.59511985|2|-0.052944925|-0.185262487|-0.1301505359999999|10.94877942|-0.02394636|-0.081506|0.006120569|2|0.73344478|-0.037220974|-0.0489811909999999|0.773417838|0.7410766209999999|0|0.89343434|-0.064565402|-0.071517578|0.369563711|0.011860803|-51.09940261|8.474559367000001|61.32301293|-0.026223112|6.055083705|-1.573386716|-32.96141947|61.4470419|-18.73644762|54.60662289|0.466436596|638.3599998999999|-1124.186857|9.740948724|185.1520983|25.28995251|-344.1971057|10.34763929|0.0|1.0|0.0|1.0|1.0|1.0|0.3|23.0|-9.93|6.38|3.05|0.0|128.51|0.0|7.0|-7.25|32.0|-4.54|424.54|1.0|1.0|-6.4|5.63e-08|2.39e-05|3.95e-07|0.000167|0.0|0.0|1.18e-10|-0.03694|4.4033|739.79|1272.7|302.86|0.5473|281.57|0.6735|0.65363|-1339.493223|0.1838|-0.20429|-1339.555805|7.0915|7.0915
