molecula|n9FaRing|SssssC|NaasN|nARing|SaasN|MATS2c|AATSC1c|SRW07|JGI4|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|n6aHRing|MATS8d|SIC2|GATS1pe|PNSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|TASA|WNSA4|FPSA1|GeomShapeIndex|PPSA1|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
17g_a50|1|0.0|2|2|4.377239517|-0.185924266|-0.002050512|5.82008293|0.029160757|-0.13328325|0.012079|-0.022378911|10.94501702|-0.1155555559999999|2|2|0.01245647|-0.090386911|-0.213708251|1|-0.2126789369999999|0.7787714459999999|0.7276268779999999|-32.14758511|-47.17463902|9.710172008|10.60268439|0.079336825|52.94662161|-0.025918901|-31.48270383|85.51402581|-1.555134042|56.28102287|41.85775712|614.4183967|-11.54365807|0.250051612|0.879688945|166.8756987|23.06474408|-333.6136209|829.3813984|9.106383854|0.0|1.0|1.0|1.0|0.0|0.35|3.71|4.37|2.71|2.0|0.0|133.03|0.0|6.0|-4.46|32.0|4.0|-6.28|0.0|3.63|-4.86|0.0148|1.39e-05|0.0059|0.0|1.1e-07|4.6500000000000005e-05|-0.0323|3.22|4.0458|-1335.976491|725.92|1259.05|0.1795|306.45|559.45|0.6623600000000001|0.1795|-0.16699|7.0584|-0.19929|0.02957267|9.1706|246.0|6.6091|6.6091
19_a31|0|0.0|0|0|0.0|0.062492295|-0.01001901|5.351858133|0.0427124179999999|-0.46087445|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|2|-0.0038998559999999|-0.095997335|-0.615878515|0|-0.138769819|0.902130276|0.6427749970000001|-53.25742146|-66.3863707|8.596058678|75.32978176|0.268735206|157.414423|-0.036060715|-38.88650245|67.42915967|-1.586671445|75.31824576|61.85348014|428.3459076|-12.37297805|0.223788196|0.805382437|131.0862475|27.21285095|-323.5878356|460.3754405|8.931875058|1.0|1.0|1.0|1.0|2.0|0.28|5.8|4.33|1.68|1.0|0.0|97.25|0.0|7.0|-4.67|25.0|4.0|-6.41|1.0|3.47|-3.92|0.0076799999999999|0.0001199999999999|0.0431|0.0|4.08e-08|1.46e-05|-0.04308|5.24|3.9477|-1489.532192|625.93|1028.58|0.3205|246.28|537.66|0.5385300000000001|0.2271|-0.16367|1.7076|-0.20675|0.03702801|2.4209|1.8|5.7447|5.7447
13c_a6|0|0.0|0|1|0.0|-0.046663393|-0.010619065|5.351858133|0.040821256|-0.605286688|-0.003346018|0.054910284|10.95129637|-0.0942387559999999|1|1|-0.000899678|0.081059709|-0.490486317|1|-0.167542194|0.8353837409999999|0.7995080809999999|-63.73961873|-75.71763296|20.79409503|157.60887419999997|0.213190168|145.12291069999998|-0.039875482|-51.54254258|567.1031411|-2.11340057|88.21184769|84.53371376|535.5975578|-18.47751526|0.2279674589999999|0.875625075|155.1821156|35.15921372|-370.3562372|692.8471883999999|12.49421473|1.0|1.0|1.0|1.0|2.0|0.16|5.38|4.57|1.5|2.0|0.0|121.6|0.0|6.0|-5.95|32.0|5.0|-5.88|1.0|3.64|-5.27|0.000471|5.42e-06|0.00229|0.0|3.96e-10|1.68e-07|-0.05015|4.5|3.6519|-1389.39897|719.8|1217.77|0.5471|206.92|596.15|0.48478|0.28|-0.14975|7.7129|-0.1999|0.0276450999999999|9.2467|73.0|7.1367|7.1367
15a_a22|0|0.0|1|0|1.646649187|-0.136588366|-0.0050042229999999|4.727387819|0.038167849|-0.280236463|0.005288335|-0.057308195|10.9464374|-0.015194063|1|1|0.005757758|0.036467904|-0.360663314|2|-0.027029438|0.794858486|0.655865336|-41.92018177|-55.4621036|14.43653926|96.58317516|0.13335968|90.52525878|-0.031425179|-37.6479704|65.53409434|-1.634109304|70.12529157|56.35672103|588.2800507999999|-14.47998862|0.297264929|0.800725296|201.7850124|30.3550786|-275.2352849|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|0.08|3.87|4.31|1.73|1.0|0.0|124.05|0.0|6.0|-4.65|32.0|5.0|-6.61|1.0|3.19|-4.68|0.00945|2.1e-05|0.00881|0.0|6.1e-10|2.56e-07|-0.0600399999999999|4.98|3.6496|-1368.35331|696.57|1189.31|312.0|245.14|541.27|0.41078|0.0955|-0.15281|5.2588|-0.21285|0.03153544|6.8666|143.0|6.8447|6.8447
1_a3|0|0.0|0|1|0.0|0.079857077|-0.006053652|4.727387819|0.034166667|-0.248199745|-0.006610844|0.038572075|10.33805862|0.032569462|0|0|-0.005006707|-0.007705076|-0.486774367|2|0.057919092|0.8457792829999999|0.943582278|-45.44133321|-42.54530997|3.693677623|289.8942564|0.2237487219999999|102.8341051|-0.034105115|-19.55367089|0.0|-1.295994381|49.05980305|49.13501083|356.76228530000003|-7.203984013|0.207914282|0.8151164259999999|95.55665364|19.78900457|-268.4830832|373.1494221|6.514493077999999|1.0|1.0|0.0|1.0|1.0|0.18|2.28|1.85|1.52|0.0|0.0|91.52|0.0|2.0|-3.07|22.0|4.0|-6.87|0.0|1.5|-3.3|261.0|0.000503|154.0|0.0|1.69e-06|0.000518|-53.0|2.08|3.8645|-1273.316428|496.09|845.2|0.1775|210.84|316.61|0.30619|0.0096|-0.1658599999999999|2.2332|-0.21886|0.02599563|3.4319|724.0|6.1403|6.1403
4g_a49|0|0.0|2|2|4.107873566|-0.087219006|-0.003686314|6.107022888|0.036761229|-0.328081947|0.007953069|0.003456679|10.92777048|0.08591712|2|2|0.007845545|-0.146265064|-0.311927917|4|0.144740607|0.81242269|0.626581708|-61.24875669|-66.44036383|18.87757641|151.0705543|0.139812173|139.3194688|-0.0250032489999999|-66.20622488|74.95505057|-2.000259924|90.11923831|80.12633309|857.1564845|-24.82733433|0.372642776|0.958286615|371.3295653|39.71443299|-253.8168226|1714.878736|23.67887448|0.0|0.0|0.0|1.0|1.0|0.1|6.09|7.56|2.87|2.0|0.0|198.32|0.0|7.0|-7.47|51.0|7.0|-6.6|0.0|5.23|-7.43|2.24e-05|3.72e-08|2.47e-05|0.0|2.13e-14|1.4199999999999998e-11|-0.06458|6.35|3.6269|-2147.721319|985.89|1766.47|0.1389|287.56|662.84|0.33449|0.0265|-0.15087|3.4099|-0.21545|0.05838924|4.5147|106.0|6.9747|6.9747
3a_a12|0|0.0|0|1|0.0|0.13714555|-0.007671441|0.0|0.032544803|-0.322200517|-0.0025830939999999|-0.062973953|10.95455336|-0.0161799839999999|0|0|-0.001011111|-0.205054123|-0.5274624179999999|1|-0.032466697|0.759068438|0.8847197109999999|-34.84701355|-44.430225|4.615711776|71.11710277|0.128014506|62.63745781|-0.034924502|-21.73969523|0.0|-1.362055589|52.21461165|39.46272532|426.6622302|-8.361421244|0.2189499039999999|0.859002624|107.1321197|21.87893986|-275.0354486|381.0058252|7.784386645|1.0|1.0|1.0|0.0|1.0|0.05|3.43|2.49|3.09|0.0|0.0|97.52|0.0|3.0|-3.6|23.0|3.0|-5.88|1.0|2.98|-4.06|0.0745|8.8e-05|0.0263|0.0|3.13e-08|9.33e-06|-0.06829|3.33|3.7304|-951.3711872|528.84|875.71|0.3201|292.86|383.08|-0.34688|128.0|-0.15328|1.3824|-0.22157|0.023184956|1.9332|194.0|6.7122|6.7122
12i_a36|0|-4.787087299|0|2|0.0|0.043792895|-0.016027043|5.351858133|0.0438779959999999|-0.929568494|-0.011700732|0.128325344|10.96020192|-0.009876543|1|1|-0.007897954|0.135587069|-0.608318386|1|-0.01509434|0.87043328|0.624142499|-54.81607619|-75.66036485|12.71877085|108.3973956|0.169035768|108.9148111|-0.045665229|-48.75024044|0.52902639|-2.46592234|90.11282843|67.53484704|535.4151566|-18.95842684|0.230870141|0.8526986440000001|148.7565508|38.2555363|-346.8168661|672.4630346|14.45246358|1.0|0.0|1.0|1.0|2.0|0.17|3.31|4.04|2.04|2.0|0.0|130.43|0.0|7.0|-5.2|34.0|8.0|-6.4|0.0|2.65|-5.07|0.00291|8.6e-06|4.0|0.0|7.24e-08|3.37e-05|-0.05065|4.86|3.7496|-1645.2030949999998|666.79|1172.5|0.5402|237.08|504.47|0.34255|0.1516|-0.1541|5.1836|-0.20475|0.03165678|6.6124|12.0|7.9208|7.9208
12aa_a30|0|0.0|0|2|0.0|-0.101407312|-0.008848121|5.351858133|0.043854875|-0.539735362|0.003529389|0.059360681|10.31162784|-0.007369513|1|1|0.005111479|-0.023695642|-0.394520145|1|-0.012535889|0.855880335|0.794193541|-54.50378741|-70.79444906|21.58471858|55.0567406|0.1873486869999999|130.84205079999998|-0.033789461|-49.44198469|0.0|-1.925999268|91.51563481|76.08850600000001|567.5458219999999|-16.48066156|0.369240427|0.872457337|257.8730361|37.41227352|-182.6418006|792.3440337000001|20.72118575|1.0|0.0|1.0|1.0|1.0|0.21|3.94|2.63|2.2|2.0|0.0|140.26|0.0|7.0|-5.61|33.0|6.0|-6.39|0.0|2.52|-5.0|0.00113|9.94e-06|0.00456|0.0|1.47e-07|6.720000000000001e-05|-0.04966|3.34|3.4642|-1804.818818|748.78|1275.73|0.1667|238.78|605.07|0.30341|0.1506|-0.1472099999999999|5.8962|-0.19687|0.03443621|6.4878|8.0|8.1135|8.1135
14b_a25|0|0.0|1|0|1.616664856|-0.091382738|-0.004720915|4.727387819|0.038137255|-0.273813082|0.004725325|-0.012989126|10.93106299|0.0009956189999999|1|1|0.004892038|0.0028569959999999|-0.3691494039999999|2|0.001715854|0.8333962429999999|0.632638761|-52.75064158|-58.29440389|11.08504021|112.49583529999998|0.140371985|97.23019209|-0.032728922|-40.37825712|57.85340824|-1.767361771|69.2012501|63.83568179|595.4307570000001|-15.70265555|0.227210413|0.963240883|157.3797801|29.33534086|-377.9013888|760.3735147000001|10.90684621|1.0|1.0|1.0|1.0|1.0|0.07|4.48|4.79|1.8|2.0|0.0|130.97|0.0|6.0|-5.6|34.0|5.0|-6.26|1.0|3.63|-5.23|0.0011099999999999|5.86e-06|0.00261|0.0|2.23e-10|9.93e-08|-0.0584|5.61|4069.0|-1444.544749|716.14|1257.11|0.3614|228.59|603.27|0.34735|0.0006|-0.16309|2.7037|-0.22149|0.03876374|3.2784|22.0|7.6576|7.6576
