molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|AATSC1are|BCUTi-1|n5aRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|n6aHRing|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|WNSA3|DPSA5|PNSA4|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|WNSA2|FPSA5|DPSA2|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|Egan filter|Log S (ESOL)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15d_a10|0.0|0|0|0.0|7.535296702|2|1.343850133|2.147544195|-0.233802395|5.4161004020000005|3|0.031742919|-0.059217023|2.04092658|0.010215823|10.92970801|1|0.011249462|-0.092884337|-0.1786649189999999|-0.280243276|2|0.71456262|1|0.87609771|-0.057588609|-0.070612242|-38.80896881|-47.58559595|15.37766538|67.59624856|83.49776405|-32.06793721|10.36301002|141.0919598|0.471900166|-26.15336742|66.95020436|-12.68949225|590.402322|-761.3695352999999|-8.551449923|0.5280998339999999|16.02072769|-513.0869954|0.028735133|1613.412305|0.0|1.0|1.0|0.0|0.35|-7.82|4.14|3.44|1.54|131.43|0.0|6.0|-3.78|33.0|441.52|0.0|-4.38|2.75|0.0|1.5e-08|2.05|3.8591|-1430.8144619999998|737.09|565.91|0.6814100000000001|-1430.733658|-0.15916|3.3831|-0.20918|-0.23696253|-1430.795367|69.0|7.1612|7.1612
7b_a8|0.0|0|0|3.213855584|7.535296702|1|1.395658671|1.4628217119999998|-0.119760914|5.4161004020000005|1|0.040873016|-0.024156447|0.0|0.002074537|10.9465091|1|0.003191529|-0.039357491|-0.021509048|-0.035044152|1|0.677544268|0|0.7223476129999999|-0.101439013|-0.1000685009999999|-60.75943432|-59.93853201|19.86678613|145.0783004|166.30684230000003|-35.90168309|11.89970852|75.93423425|0.753935657|-36.39338307|73.70461365|-24.75721974|432.6681725|-1138.832108|-14.82895606|0.246064343|14.76972982|-682.1319788|0.022982731|1510.516312|0.0|1.0|1.0|1.0|0.09|-7.65|4.48|3.8|2.23|110.8|0.0|3.0|-5.25|30.0|396.4|0.0|-4.94|3.61|0.0|2.25e-08|5.51|3.26|-1330.622441|621.4|506.21|0.7025100000000001|-1330.392289|-0.13639|9.9463|-0.20472|0.0273745|-1330.448193|13.53|4.8687|4.8687
8f_a12|0.0|1|1|0.0|6.580639137|1|0.609895166|0.0|0.110310585|4.59511985|2|0.038347953|-0.013400998|2.177023629|-0.002596875|10.31134658|1|-0.00094279|-0.023769395|-0.070713228|-0.125424286|1|0.8409290840000001|1|0.869823177|-0.072634742|-0.098932601|-41.27611074|-56.220383|7.550959323|83.13642146|73.97552223|-31.9483307|4.290980116|0.0|0.8381234340000001|-23.45595611|63.05721575|-21.72151161|494.2940092|-955.746511|-12.34367323|0.161876566|13.00131176|-543.1216218999999|0.012030968|1140.340995|1.0|1.0|1.0|1.0|0.1|-8.42|4.99|3.41|3.1|115.66|0.0|3.0|-5.7|27.0|369.44|0.0|-5.24|4.34|0.0|3.79e-09|4.19|3.6536|-1481.146454|606.97|441.97|0.65098|-1480.955408|-0.15061|0.9092|-0.2124|0.03056355|-1481.008909|646.0|6.1898|6.1898
12bd_a36|0.0|0|0|3.497517322|7.412764017000001|2|1.297043358|0.0|-0.051990612|5.351858133|2|0.04625323|0.025649557|0.0|0.003676818|10.94639828|1|0.0045625|0.042808724|-0.101854847|-0.169994208|1|0.857993338|0|0.832478093|-0.071083327|-0.099460046|-46.92083391|-65.65179884|11.7156452|83.92365468|110.578217|-43.33557909|7.733288012999999|0.0|0.78244124|-30.9716039|75.7932235|-23.44707102|549.5039111000001|-1313.035977|-15.47699253|0.21755876|15.34283166|-866.7115819|0.015363883|1678.127264|1.0|1.0|0.0|2.0|0.21|-7.34|3.76|2.5|2.45|133.68|0.0|5.0|-4.54|31.0|409.49|0.0|-4.6|3.41|0.0|4.55e-08|3.79|3544.0|-1311.591775|706.26|568.94|0.7044100000000001|-1311.291779|-0.1459|5.7533|-0.19826|0.03110617|-1311.352257|17.0|7.7696|7.7696
12f_a40|0.0|0|0|0.0|7.515889085|0|0.604990261|1.768354671|-0.03356339|5.4161004020000005|0|0.040501792|0.070099257|0.807254372|0.008525796|10.31197207|2|0.006841832|0.115814835|-0.033224348|-0.054891771|0|0.605644757|1|0.909993912|-0.067004323|-0.082198664|-37.02024147|-45.41519509|11.90644165|62.72992556|49.72883796|-25.09213464|6.57837176|61.55859085|0.7314440520000001|-20.45387851|56.53158029|-18.16607804|502.7764322|-635.8127312999999|-10.03685385|0.268555948|16.49362536|-351.2898849|0.0201199619999999|869.2568204|1.0|0.0|0.0|0.0|0.06|-7.32|5.35|5.44|3.99|98.25|0.0|3.0|-6.58|24.0|376.26|0.0|-5.99|5.4|0.0|4.81e-08|4.77|2.8374|-2212.359379|572.63|487.85|0.7029|-2212.222254|-0.11765|3.2818|-0.19526|0.01077929|-2212.275094|0.38|6.4202|6.4202
47a_a18|0.0|0|0|0.0|7.03438793|1|0.403918489|0.0|0.018016478|4.844187086|0|0.033641026|0.043161338|0.0|-0.005483379|10.35082811|0|-0.000633273|0.066507683|-0.232940071|-0.358939392|0|0.792293789|0|0.778790861|-0.082855697|-0.099310031|-67.93456546|-81.42570819|11.58086543|100.7293848|181.3725215|-66.76209701|9.49531639|110.0917322|0.7936193709999999|-55.70051708|93.5899242|-29.70938001|638.5417107999999|-2198.494121|-24.3591435|0.2063806289999999|19.74153879|-1802.576619|0.014835962|2770.212274|1.0|1.0|1.0|3.0|0.28|-8.27|0.48|3.35|1.85|158.24|1.0|12.0|-6.74|39.0|547.67|0.0|-5.58|4.44|0.0|5.4e-09|8.82|3.1947|-2098.807018|874.47|813.01|0.69508|2098.280307|-131.0|2.6271|-0.18291|0.0339441|-2098.359766|1.0|9.0|9.0
21_a34|0.0|0|0|0.0|8.002694162000001|2|1.425532331|1.88614418|0.026135784|5.860786223|1|0.036880342|-0.125881566|0.0|-0.001643445|10.94874873|1|0.00130996|-0.201539853|-0.254686357|-0.407759867|1|0.660871869|0|0.676390843|-0.09533089|-0.117789944|-63.96857813|-79.03896823|22.9240533|168.9671187|217.1470086|-53.03643341|15.38241267|77.34839362|0.728260094|-42.9239565|95.12565978|-27.89610644|453.8692584|-1422.701428|-18.7187412|0.271739906|13.65523159|-954.6558014|0.023973624|1953.562249|0.0|1.0|1.0|0.0|0.12|-7.68|3.64|3.23|1.72|122.59|0.0|4.0|-4.5|33.0|438.43|0.0|-4.71|3.02|0.0|2.07e-08|7.78|3091.0|-1483.3359380000002|698.17|530.93|0.69292|-1483.057743|-0.13338|5.3432|-0.20872|0.03023936|-1483.12009|3.36|5.4737|5.4737
17a_a50|0.0|1|1|0.0|7.934155233999999|1|1.349854788|4.319202937|-0.186084687|5.82008293|1|0.034142512|-0.109740063|2.189373662|0.012510153|10.94500663|2|0.012893333|-0.178162528|-0.239713023|-0.3891730779999999|1|0.732114362|1|0.92300665|-0.045404408|-0.078525868|-29.57096251|-51.14229199|8.977762705|10.03717565|50.14419437|-33.3079288|5.847033234|84.34722313|0.7899109000000001|-19.25896309|58.69900789|-18.26510428|601.1353533|-1022.84584|-11.89568886|0.2100891|15.76161018|-666.1585759999999|0.011602876|1294.887612|1.0|1.0|1.0|0.0|0.29|-6.76|3.39|4.14|2.3|121.78|0.0|6.0|-3.99|30.0|398.5|0.0|-4.44|3.23|0.0|1.75e-07|3.08|4.0477|-1258.566007|705.96|616.93|0.66046|-1258.260865|-0.16724|6.2113|-0.1992|0.02594911|-1258.322582|85.0|7.0706|7.0706
12ac_a36|0.0|0|0|3.4419617660000004|7.412764017000001|2|1.297043188|0.0|-0.050997272|5.351858133|2|0.042560386|0.03586247|0.0|0.000584134|10.95345846|1|0.0018565629999999|0.060445359|-0.098698552|-0.166354116|1|0.770400825|0|0.779673368|-0.080202334|-0.104391657|-55.68500110000001|-72.4798052|14.93372351|118.0445703|152.9742102|-50.32319912|10.36858115|20.70356046|0.7316461470000001|-38.66245764|86.51036063|-25.03847816|541.3322795|-1377.116299|-17.38437788|0.268353853|14.63702516|-956.1407834|0.020208014|1882.216294|1.0|1.0|0.0|2.0|0.17|-6.89|3.16|2.09|1.59|133.95|0.0|6.0|-3.81|32.0|423.47|0.0|-3.95|2.36|0.0|1.29e-07|4.84|3.8594|-1385.606133|711.77|554.84|0.56357|-1385.3211789999998|-0.15675|4.0208|-0.20949|0.03998989|-1385.382927|13.0|7.8861|7.8861
40_a47|0.0|1|1|0.0|6.823286122000001|0|1.420389717|1.715145925|-0.246203395|4.727387819|3|0.041396825|-0.056839794|1.566109469|0.002212256|10.98214138|1|0.003634698|-0.130213023|-0.147591116|-0.338113214|3|0.607650682|1|0.812233678|-0.060416547|-0.083237511|-32.5926343|-44.90375373|11.04737121|54.11003524|101.2934265|-24.22401965|5.959674083|0.0|0.573656733|-17.58259718|60.97203959|-14.59371996|438.171933|-583.7487984|-7.872806386000001|0.426343267|12.98034048|-314.91225539999994|0.029785575|1017.592517|0.0|1.0|1.0|1.0|0.11|-7.08|2.96|4.04|1.52|94.28|0.0|3.0|-3.26|25.0|334.35|0.0|-3.72|2.19|0.0|8.339999999999999e-08|2.06|3.7236|-1123.174467|571.5|444.47|0.68492|-1122.9968210000002|-0.15231|4.7542|-0.20317|0.02983032|-1123.049869|4.0|8.4|8.4
