molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
31_a47|1|0.0|0.0|1|6.842683282|0|0|-0.075563891|-0.00869363|4.727387819|-0.171198936|2|-0.086842911|1.198626524|-0.417294247|0.074881792|1|-0.006265667|0.856640117|0.001622323|0.917597019|1|0.696020038|-0.10715233|-0.1056956209999999|0.486720182|0.021401336|-65.56344002|0.303979962|188.5600536|-40.66927863|8.234748813|81.01707367|79.74238158|0.4741051329999999|2689.159869|1322.82831|-14.46018796|0.29335997|0.901520747|181.972428|-650.7084581|32.98913783|0.024209265|513.2159236|15.01710904|1.0|1.0|1.0|2.38|0.1|21.0|-7.62|1.0|0.0|0.0|29.0|5.0|-6.78|410.83|0.0|0.0|-4.39|2.56e-05|4.03e-05|0.0166|2.86|0.0|9.95e-06|4.2|-1735.435432|-1735.400941|642.11|1079.4|0.3264|311.96|508.69|0.68276|0.69894|83.0|-0.15143|6.4248|-0.20463|0.03449081|-1735.284957|16.0|7.8|7.8
8k_a46|0|0.0|0.1337610719999999|1|7.727094485|1|1|0.1436554669999999|-0.006208399|5.533389489|-0.380857136|2|-0.061030265|0.0|-0.397337564|-0.114070359|1|0.002202734|0.786206898|-0.051289238|0.8341090329999999|0|0.7381768390000001|-0.08638304|-0.0863473759999999|0.400181795|0.009441365|-61.95565276|0.261823161|187.86239430000003|-44.45419269|4.860695117|19.34993627|68.75557551|0.4938768979999999|3351.548891|2328.360804|-17.04077386|0.173430886|0.975803904|124.4394929|-1022.446432|28.73282642|0.0112621819999999|865.6610153999999|8.080799245|1.0|0.0|1.0|2.82|0.24|23.0|-8.66|1.0|0.0|0.0|34.0|6.0|-6.75|474.58|0.0|0.0|-5.13|1.82e-06|7.47e-06|0.00355|3.45|0.0|1.03e-06|7.63|-1845.304274|-1845.257085|742.04|1302.56|0.1354|246.1|642.39|0.41618|0.5577300000000001|0.1166|-0.16967|3.4118|-0.20954|0.04718819|-1845.037411|147.0|6.8327|6.8327
12ax_a36|0|3.429529478|0.0|0|7.412764017000001|2|2|-0.0943348109999999|-0.007681676|5.351858133|-0.040458296|2|0.075802407|0.0|-0.414810497|-0.057017299|1|-0.00097037|0.836170906|-0.056676035|0.892249657|0|0.846837721|-0.073739612|-0.107815607|0.375647684|0.019128091|-72.11700812|0.153162279|102.4490387|-48.23849712|8.558226304|1.236876307|62.11847297|0.488501696|2926.929456|2471.295987|-17.36585896|0.235146956|0.955040697|157.28794140000002|-868.2929481000001|33.94393618|0.018645135|661.6709012|12.47158322|1.0|0.0|0.0|0.0|0.14|17.0|-7.76|2.0|0.0|0.0|31.0|4.0|-6.26|450.32|0.0|1.0|-5.18|8.27e-06|6.55e-06|0.00295|3.93|0.0|7.83e-06|4.42|-2152.130959|-2152.100515|699.67|1182.31|0.5236|236.74|552.0|0.39564|0.69348|0.4167|-0.15728|4.5001|-0.21324|0.03044421|-2151.971761|12.0|7.9208|7.9208
5_a27|0|0.0|0.0|2|6.823286122000001|0|0|0.126882432|-0.0063562359999999|4.727387819|-0.068518519|2|-0.149034787|1.271687295|-0.286030638|-0.125237927|1|0.010329671|0.760083119|-0.020087122|0.8149212259999999|1|0.8531787759999999|-0.055979434|-0.085078576|0.333977277|0.01695771|-44.83538435|0.146821224|77.37301579999999|-23.6277072|4.709432444|56.35994804|38.43699603|0.439066197|2273.906133|1254.531539|-8.438466859|0.258518528|0.7827415529999999|136.2361487|-354.41560810000004|21.59546513|0.016479312|424.8821143|8.684398894|0.0|0.0|1.0|3.11|0.16|21.0|-6.22|0.0|0.0|0.0|25.0|4.0|-6.49|331.37|0.0|1.0|-4.01|0.000248|9.78e-05|0.0324|2.58|0.0|0.0002|4.9|-1083.143246|-1083.124207|566.68|955.22|0.2448|302.48|463.87|0.64548|0.64548|0.2448|-0.16952|2.3781|-0.21506|0.01903872|-1083.019748|3.0|8.5229|8.5229
12e_a40|0|0.0|0.0|1|7.515889085|0|0|0.061944605|-0.015461694|5.4161004020000005|-0.262526337|0|0.174870826|0.665270062|-0.556620974|0.130516751|2|-0.014780739|0.788800541|-0.279310345|0.858770467|1|0.7798787840000001|-0.132226452|-0.122830115|0.284429447|0.015096495|-66.68049019|0.220121216|119.4966772|-36.19867792|4.4490161310000005|0.0|79.97685498|0.491465612|2391.0322170000004|694.2415706|-14.26008524|0.209181178|0.966435355|113.5576846|-470.5828129|33.21629575|0.021118537|348.3847394|11.46456937|1.0|0.0|0.0|3.05|0.0|20.0|-6.04|2.0|0.0|0.0|24.0|4.0|-5.26|378.23|0.0|0.0|-5.64|2.98e-07|2.27e-06|0.00086|4.72|0.0|0.000346|4.66|-2248.276958|-2248.244231|552.91|918.38|0.4494|286.76|445.12|0.6826|0.70157|284.0|-0.12616|2.5946|-0.19912|0.03272669|-2248.206714|1.17|5.9318|5.9318
9s_a24|0|2.9568988810000003|0.0|0|6.605297921|1|1|-0.222173285|-0.003599664|4.59511985|-0.00570386|4|-0.050919714|0.0|-0.190782186|-0.060407836|1|0.007695726|0.773544454|0.0256742079999999|0.8327425070000001|0|0.8833498320000001|-0.049825449|-0.063587778|0.483170382|0.016792118|-39.48555839|0.116650168|72.43525688|-24.51900941|6.474925237000001|0.695462853|41.36694069|0.47085169|2747.809842|969.5210193|-7.505819207999999|0.554839231|0.889829339|344.5337711|-367.7851412|27.15292246|0.03496522|604.8829955|21.71205366|0.0|1.0|1.0|2.78|0.04|29.0|-8.11|1.0|0.0|0.0|30.0|4.0|-7.2|393.44|0.0|0.0|-4.06|0.000434|8.71e-05|0.0343|2.11|0.0|3.04e-06|1.82|-1271.031372|-1270.994965|654.28|1121.42|0.5112|403.51|521.4|0.69475|0.6907300000000001|0.0839|-0.10865|4.6141|-0.14462|0.03640642|-1270.796154|32.0|7.4949|7.4949
18_a34|0|0.0|0.0|1|7.423568444|1|1|-0.063113846|-0.014733513|5.351858133|-0.101546926|1|-0.100548575|0.0|-0.677741618|-0.141332289|1|0.002183342|0.805756513|-0.224951558|0.8584852479999999|0|0.68981472|-0.090328365|-0.129784908|0.295523326|0.040845819|-71.65163761|0.31018528|171.24705480000003|-39.55742812|12.44948722|54.26737825|72.41862911|0.441058733|2424.18137|1774.550004|-12.87916264|0.304150055|0.789096743|167.9151283|-553.8039936|33.52510165|0.027385869|428.6241319|15.11918774|1.0|1.0|1.0|3.61|0.21|17.0|-5.65|1.0|0.0|0.0|26.0|6.0|-6.26|351.36|0.0|1.0|-4.11|4.77e-05|7.829999999999999e-05|0.0275|3.07|0.0|0.000781|5.07|-1199.288654|-1199.259634|592.04|991.93|0.3525|279.66|483.87|0.56101|0.60488|0.0303|-0.17549|5.0935|-0.21474|0.02902032|-1199.158044|2.43|5.6144|5.6144
12bi_a36|0|3.466222049|0.0|0|7.412764017000001|2|2|-0.088734077|-0.00902707|5.351858133|-0.043740597|2|0.03474497|0.0|-0.559678363|-0.067142264|1|0.002872872|0.812921349|0.071329141|0.858971809|0|0.7850011179999999|-0.082914301|-0.107613368|0.382000949|0.034602166|-75.1419557|0.214998882|150.12481100000002|-52.46851415|16.87080604|0.0|82.05687954|0.461975362|3044.149713|2660.0547690000003|-13.56944331|0.500339677|0.85865094|349.3664649|-787.0277122|38.89295091|0.037590587|766.4854363|26.24794923|1.0|0.0|1.0|0.0|0.21|17.0|-6.79|1.0|0.0|0.0|33.0|6.0|-7.13|441.49|0.0|0.0|-4.15|7.75e-05|7.13e-05|0.0315|2.62|0.0|7.11e-05|2.68|-1461.997992|-1461.966152|742.94|1256.37|0.4214|319.1|603.92|0.68181|0.69207|0.0252|-0.15078|7.0514|-0.2018|0.0318395999999999|-1461.75632|14.0|7.8539|7.8539
43_a18|0|0.0|0.0|0|7.03438793|2|2|0.032999679|-0.005099385|4.844187086|-0.01369899|1|-0.05314954|0.0|-0.397752066|0.031746165|0|0.003801459|0.713379703|-0.0579590709999999|0.7458234990000001|0|0.852344887|-0.070166168|-0.0822489459999999|0.3439906129999999|0.006890688|-63.87648583|0.147655113|114.6724699|-49.60799696|4.156080507|21.60709738|59.84418608|0.481954273|3172.923606|1579.614523|-18.77059344|0.125626651|0.930331529|97.56464265|-1389.023915|27.64206062|0.007193089|1228.492038|5.5863235410000005|0.0|1.0|1.0|0.0|0.34|18.0|-9.6|3.0|1.0|0.0|38.0|3.0|-5.78|508.65|0.0|0.0|-5.96|3.55e-07|1.09e-06|0.000554|5.1|0.0|1.28e-07|8.79|-1611.621186|-1611.598032|843.1|1493.25|0.5429|384.65|702.4|0.6926800000000001|0.6926800000000001|0.5429|-0.13196|3.0482|-0.18145|0.02315412|-1611.198355|625.0|6.2041|6.2041
12g_a36|0|3.5202147110000004|0.0|0|7.412764017000001|2|2|-0.063344124|-0.006495469|5.351858133|-0.039008054|2|0.078990142|0.0|-0.409214521|0.078155467|1|0.005035022|0.8026482070000001|-0.088251318|0.847239339|0|0.854238488|-0.069292341|-0.097067302|0.374686587|0.017738779|-66.72829531|0.1457615119999999|100.2028184|-45.87193951|8.382969151000001|5.097410387|59.82898654|0.473274545|2829.45056|2476.712654|-16.3273005|0.2202546819999999|0.898522257|151.41267150000002|-963.3107298|30.45962398|0.015152386|799.5563855|10.41641087|1.0|0.0|1.0|0.0|0.24|17.0|-7.38|2.0|0.0|0.0|32.0|4.0|-6.19|423.51|0.0|1.0|-4.86|1.13e-05|1.39e-05|0.00589|3.8|0.0|1.7800000000000002e-05|4.21|-1350.887005|-1350.861445|724.32|1241.66|0.4393|238.01|657.02|0.38165|0.70097|45.0|-0.15236|5.912000000000001|-0.20288|0.0255597|-1350.633209|14.0|7.8539|7.8539
21a_a23|1|0.0|0.0|2|7.525639975|0|0|0.1049806919999999|-0.005708466|5.4161004020000005|-0.038876045|2|0.071115216|0.773970837|-0.3082571839999999|-0.133417036|2|0.01180744|0.7367638240000001|-0.137122549|0.79188323|1|0.926538469|-0.051521215|-0.082341001|0.224766417|0.011564247|-54.35891011|0.073461531|48.49696614|-35.88602363|5.039953753|82.08958626|41.64701536|0.492301762|2880.257677|2272.736256|-15.07212993|0.157878617|0.969673962|104.2264415|-753.6064963|27.11098744|0.011178565|666.0036144999999|7.379733085|0.0|0.0|1.0|3.48|0.09|26.0|-7.78|2.0|1.0|0.0|31.0|4.0|-6.07|425.51|0.0|0.0|-5.28|1.3e-06|5.29e-06|0.00225|3.98|0.0|7.03e-06|3.75|-1669.250866|-1669.23053|701.01|1189.63|0.3692|335.16|558.61|0.60824|0.60824|0.3692|-0.15024|5.3733|-0.2226699999999999|0.0203361|-1669.0502720000002|102.0|6.9914|6.9914
12i_a36|0|3.27619957|-4.787087299|0|7.412764017000001|2|2|0.043792895|-0.016027043|5.351858133|-0.29543904|2|0.048138468|0.0|-0.929568494|0.128325344|1|-0.007897954|0.820041835|-0.01509434|0.87043328|0|0.830964232|-0.0850745409999999|-0.117424873|0.332782117|0.01973953|-75.66036485|0.169035768|108.9148111|-48.75024044|8.195085212|0.52902639|67.53484704|0.460246812|3231.030388|2351.232652|-18.95842684|0.230870141|0.8526986440000001|148.7565508|-1023.755049|38.2555363|0.022430221|672.4630346|14.45246358|1.0|0.0|0.0|0.0|0.17|17.0|-7.14|2.0|0.0|0.0|34.0|8.0|-6.4|465.43|0.0|0.0|-5.07|6.26e-06|8.6e-06|4.0|3.86|0.0|3.37e-05|4.86|-1645.2030949999998|-1645.171438|666.79|1172.5|0.5402|237.08|504.47|0.34255|0.70134|0.1516|-0.1541|5.1836|-0.20475|0.03165678|-1645.017702|12.0|7.9208|7.9208
6_a47|0|0.0|0.0|0|0.0|0|0|0.011739916|-0.008723045|0.0|-0.1738997619999999|2|-0.14404966|1.291219116|-0.392537045|0.051455447|0|-0.0094242819999999|0.786041178|0.062425042|0.84654143|1|0.8419184120000001|-0.080118846|-0.096689626|0.446564415|0.009820713|-52.41283988|0.158081588|85.6917678|-28.411587800000003|2.885749555|0.0|48.75381069|0.4059072379999999|2431.668154|1577.98246|-10.82346202|0.205609194|0.6832388209999999|111.4552019|-454.5854048000001|25.13472712|0.0154005|469.7495559|8.348196185|1.0|1.0|1.0|2.91|0.05|22.0|-9.06|2.0|0.0|0.0|27.0|4.0|-5.02|379.81|1.0|0.0|-5.79|9.53e-07|1.63e-06|0.000619|5.06|0.0|3.310000000000001e-07|4.69|-1608.684886|-1608.652005|576.56|990.85|0.2536|224.66|422.9|0.30468|0.69305|0.2119|-0.1544|3.2606|-0.20794|0.03288085|-1608.554019|13.0|7.9|7.9
14a_a10|0|0.0|0.0|1|7.535296702|2|2|-0.2090476269999999|-0.002047597|5.4161004020000005|0.0437538159999999|3|0.027446544|2.070512208|-0.147427016|-0.045759336|1|0.012272222|0.7348225290000001|-0.007680215|0.770129205|1|0.911549451|-0.044416218|-0.070610745|0.43555903|0.0135610389999999|-51.23835032|0.088450549|64.18371923|-37.18086445|7.140714112|134.15514270000003|42.07091945|0.469029865|3075.550631|1774.8853399999998|-9.988888957|0.457984122|0.8833450959999999|332.3339934|-669.2555601|25.39690722|0.0219172279999999|1003.968547|15.9041322|0.0|1.0|1.0|4.4|0.39|21.0|-8.18|1.0|0.0|0.0|35.0|6.0|-6.82|468.59|0.0|1.0|-4.8|6.159999999999999e-05|1.58e-05|0.00743|3.29|0.0|3.07e-06|2.25|-1489.655581|-1489.803158|800.01|1380.89|0.2835|222.16|645.26|0.34245|0.7047100000000001|0.0005|0.2422099999999999|3.1205|0.19621|-0.14757681|-1489.487381|74.0|7.1308|7.1308
13k_a6|0|3.423411754|0.0|0|7.412764017000001|1|1|0.031525207|-0.014257799|5.351858133|-0.132667824|1|0.051404465|0.0|-0.8554679409999999|0.0809333929999999|1|-0.006280295|0.7908110340000001|-0.123105035|0.84018367|0|0.641032542|-0.11937574|-0.127178105|0.212093198|0.0296987679999999|-88.29427104|0.3589674579999999|249.215618|-61.29890279999999|14.31458589|113.5526088|103.4959988|0.426031882|2966.890288|3332.974951|-21.89246528|0.202868306|0.7422570490000001|140.8427117|-1225.9780560000002|39.55891914|0.017981419|741.5222707|12.48372364|1.0|1.0|1.0|2.8|0.16|23.0|-8.89|1.0|0.0|0.0|33.0|5.0|-6.59|441.48|0.0|0.0|-4.77|3.26e-06|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|5.7e-07|5.41|-1465.862962|-1465.83213|731.25|1246.69|0.3971|242.53|577.68|0.4547|0.70536|0.0137|-0.14589|8.1639|-0.1944|0.0308324|-1465.621288|46.0|7.3372|7.3372
27_a47|1|0.0|0.0|1|6.842683282|1|1|-0.160399235|-0.003631596|4.727387819|0.006768957|3|-0.067535989|1.807806182|-0.207000956|0.0427469459999999|1|0.002350172|0.804224077|0.023325573|0.8517043879999999|1|0.846469886|-0.0630454209999999|-0.079484997|0.337815064|0.016506051|-50.87821306|0.153530114|98.27436776|-32.56705871|6.762956126000001|3.180329084|50.9207639|0.475450742|2804.020752|2181.236691|-11.67498331|0.299267237|0.906398657|191.5604557|-618.7741154|26.02898047|0.018969968|682.9868225|12.14264461|1.0|1.0|1.0|3.52|0.26|21.0|-8.82|2.0|0.0|0.0|31.0|5.0|-6.34|436.91|0.0|0.0|-5.05|1.5399999999999998e-05|8.89e-06|0.0038799999999999|3.7|0.0|6.55e-07|2.97|-1778.1049670000002|-1778.078632|673.27|1165.54|0.4007|251.19|517.82|0.40976|0.69381|0.1839|-0.1578|4.0365|-0.21594|0.02633483|-1777.891054|2512.0|5.6|5.6
15a_a10|0|0.0|0.0|1|7.535296702|1|1|-0.214195114|-0.00244937|5.4161004020000005|0.022297552|2|-0.125297206|2.038992189|-0.144512841|-0.060539141|1|0.01192767|0.77630271|-0.1074837719999999|0.820233357|1|0.915137224|-0.0458501609999999|-0.076864276|0.754451037|0.0156991769999999|-49.47045259|0.084862776|54.61835033|-31.83957238|6.503087289|122.7715002|39.61363829|0.407638879|2656.305166|2413.560937|-10.42022369|0.323526799|0.68815941|208.2243923|-573.1123029|23.93343877|0.017883602|697.5493042|11.51002664|0.0|1.0|1.0|3.58|0.29|21.0|-7.79|1.0|0.0|0.0|30.0|5.0|-6.52|399.49|0.0|1.0|-4.4|0.000108|3.94e-05|0.0157|3.12|0.0|6.51e-06|2.4|-1278.452284|-1278.4225210000002|687.57|1179.28|0.3558|215.08|563.27|0.47484|0.68863|0.1583|-0.1559299999999999|4.7512|-0.20335|0.02976259|-1278.200428|24.0|7.6198|7.6198
3o_a32|1|3.644417045|0.0|0|7.773594467000001|1|1|-0.022603806|-0.006253394|5.733341277|-0.014299905|1|-0.064818511|2.240993002|-0.306416317|-0.117781901|3|0.000243592|0.8214857240000001|-0.154436834|0.872498916|1|0.8377808240000001|-0.073742105|-0.095457829|0.252703854|0.012519666|-55.03672286|0.162219176|93.52833522|-31.73171751|4.161738248|0.0|49.73468603|0.455089918|2488.133192|2469.87467|-10.57723917|0.214905181|0.835165165|123.9047338|-475.9757626|23.36733582|0.0130649069999999|541.0877621000001|7.532642302|1.0|1.0|1.0|3.06|0.32|19.0|-7.27|1.0|0.0|0.0|26.0|4.0|-6.17|381.52|0.0|0.0|-4.73|1.89e-06|1.87e-05|0.00714|3.46|0.0|2.04e-05|2.35|-1805.504508|-1805.473626|620.56|1049.14|0.2851|350.9|464.85|0.70216|0.70216|0.2851|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|0.24|6.6198|6.6198
8_a1 (SB-202620)|0|3.296085365|0.0|0|6.86171134|0|0|0.106916453|-0.013785521|4.727387819|-0.226277123|1|-0.0443137679999999|0.0|-0.606562911|-0.1402198369999999|1|-0.0106277489999999|0.743088715|0.063001656|0.805476065|0|0.648967503|-0.117682533|-0.105271458|0.174628594|0.015526845|-59.72618401|0.351032497|199.1596945|-33.88588996|4.997944864|64.70432539|75.57687443|0.4564697679999999|2431.842132|1736.664204|-13.22376193|0.225760413|0.839824062|128.0860757|-542.1742393|30.104091200000003|0.019645498|433.2550452|11.1459518|1.0|1.0|0.0|2.21|0.0|23.0|-8.02|2.0|0.0|0.0|27.0|5.0|-5.94|359.35|0.0|0.0|-4.7|1.14e-05|1.98e-05|0.00713|3.6|0.0|3.42e-06|5.32|-1223.279021|-1223.117248|586.27|977.87|0.5339|364.11|460.4|0.7026600000000001|0.7026600000000001|0.5339|-0.13683|3.4563|-0.2105199999999999|0.16177304|-1223.014114|0.4|6.3979|6.3979
3b_a12|0|0.0|0.0|0|0.0|1|1|0.156777705|-0.007916598|0.0|-0.043495794|2|-0.1215705419999999|0.0|-0.332497127|-0.065558712|0|-0.003019113|0.768772928|-0.007397776|0.82914101|0|0.903204699|-0.064393592|-0.088443201|0.073824142|0.0103611969999999|-46.11064215|0.096795301|50.46508298|-24.04018959|2.816328871|0.0|38.97406803|0.390744506|2186.64676|1935.211747|-9.246226764|0.2311778089999999|0.64134753|120.5265876|-360.6028438|23.06757345|0.0166212889999999|406.0361621|8.665655511|1.0|1.0|1.0|2.98|0.05|18.0|-8.1|1.0|0.0|0.0|24.0|3.0|-5.65|332.79|0.0|1.0|-4.64|5.539999999999999e-05|2.28e-05|0.00759|3.78|0.0|2.63e-06|3.96|-1410.971864|-1410.947421|548.05|915.37|0.5013|294.55|426.66|0.53738|0.6654800000000001|0.2418|-0.15229|5.9551|-0.2232|0.02444371|-1410.8759220000002|49.0|7.3098|7.3098
19h_a38|0|3.2723542610000003|0.0|0|7.412764017000001|2|2|-0.088176988|-0.007781653|5.351858133|-0.082283951|2|0.14165187|0.0|-0.420209249|-0.043452674|1|-0.000673716|0.819222745|-0.121374121|0.8741648479999999|0|0.7746288020000001|-0.082211319|-0.109986804|0.3263113569999999|0.021234963|-64.79649453|0.225371198|132.7728693|-38.17354026|7.370099699|0.0|60.94327866|0.47459722|2774.611523|1839.424968|-13.74247449|0.24620669|0.903301693|145.047677|-687.1237247|30.94580137|0.020207411|595.8790650000001|11.90478646|1.0|1.0|1.0|2.43|0.14|17.0|-6.86|1.0|0.0|0.0|30.0|4.0|-6.77|401.44|0.0|0.0|-4.17|7.209999999999999e-05|6.77e-05|0.0272|2.78|0.0|5.610000000000001e-05|3.41|-1332.187847|-1332.1538779999998|626.65|1092.17|0.2355|331.65|452.01|0.68472|0.69012|88.0|-0.1467099999999999|6.9749|-0.20379|0.03396934|-1331.999352|9.0|8.0348|8.0348
11b_a5|0|2.943854668|0.0|0|6.605297921|0|0|-0.2023158669999999|-0.003900104|4.59511985|0.008093965|2|-0.067519041|0.0|-0.1833048739999999|-0.118167947|1|0.005685558|0.805760343|-0.106187688|0.8645824520000001|0|0.8737310509999999|-0.07633373|-0.080664777|0.378154801|0.016373566|-48.42513182|0.126268949|75.80248447|-29.07084703|5.900883275|1.880682804|55.65456427|0.456131351|2434.505303|913.0178976|-10.5712171|0.33175528|0.83867925|199.1611925|-465.13355250000006|26.35133256|0.0228838029999999|504.9898148|13.73773299|1.0|1.0|1.0|2.55|0.1|23.0|-9.15|2.0|1.0|0.0|27.0|4.0|-6.03|376.84|0.0|1.0|-4.69|2.26e-05|2.04e-05|0.00767|3.62|0.0|2.68e-07|3.31|-1564.761898|-1564.72614|635.55|1063.35|0.5806|275.55|511.28|0.61027|0.6284|0.2013|-0.17107|1.9569|-0.21291|0.03575776|-1564.621301|19.0|7.7212|7.7212
37_a18|0|0.0|0.0|0|7.03438793|2|2|-0.0013530679999999|-0.005351023|4.844187086|-0.018808538|1|-0.018268775|0.0|-0.385273662|-0.034593342|0|0.003512954|0.725028151|-0.020149364|0.761336899|0|0.831783747|-0.068500679|-0.074857954|0.385121249|0.009098426|-54.7389628|0.168216253|123.0060763|-40.02719655|4.865006968|60.1335413|56.74339533|0.488368082|3055.795406|1571.7484060000002|-15.30451633|0.2351233969999999|0.954530133|171.9311063|-1040.70711|27.36337253|0.0142451319999999|1056.535856|10.41657856|0.0|1.0|1.0|0.0|0.3|18.0|-8.82|2.0|1.0|0.0|36.0|3.0|-6.14|480.6|0.0|1.0|-5.47|2.08e-06|3.35e-06|0.00161|4.36|0.0|7.27e-07|8.11|-1532.997117|-1532.974371|794.5|1395.35|499.0|385.91|673.45|0.69305|0.69305|499.0|-0.13194|2.2872|-0.18119|0.02274574|-1532.622404|35.0|7.4559|7.4559
AKLKII_a46|0|2.917217813|0.0|0|6.605297921|0|0|-0.206312209|-0.003417504|4.59511985|-0.030657|3|-0.008897473|1.744747103|-0.129865138|0.156485495|1|0.006731579|0.758995484|0.064690027|0.8264237520000001|1|0.837641394|-0.071827497|-0.089369278|0.271156366|0.010384859|-42.37969553|0.162358606|76.99187522|-20.09682339|2.335284369|0.0|38.98582025|0.47999819|2000.353437|792.7439217|-7.464534402999999|0.2278604669999999|0.92307023|108.05343229999998|-261.2587041|20.38625028|0.015584114|314.0966684|7.390123534|1.0|1.0|1.0|1.6|0.06|21.0|-7.21|0.0|0.0|0.0|22.0|4.0|-6.5|287.32|0.0|1.0|-3.58|0.000578|0.000266|0.0764|2.19|0.0|1.7800000000000002e-05|||||||||||||||||181.0|6.7423|6.7423
12_a3|0|0.0|0.0|0|6.823286122000001|0|0|0.167987916|-0.009093383|4.727387819|-0.118456941|2|-0.120694579|2.07135708|-0.336455156|-0.045382017|1|-0.0045709459999999|0.718481325|-0.125395523|0.784451598|1|0.829399708|-0.092838926|-0.096133903|0.101891875|0.011076075|-45.63945658|0.170600292|80.99228663|-21.667278|2.496397166|76.23910943|49.333524|0.463780604|2056.502939|1064.221958|-8.921820355|0.169581355|0.864908294|80.50854774|-303.3418921|22.63041363|0.01374218|330.4083896|6.524083564|1.0|1.0|1.0|2.17|0.0|21.0|-6.89|1.0|0.0|0.0|22.0|3.0|-5.3|304.37|0.0|0.0|-4.84|2.07e-06|1.44e-05|0.0044|4.03|0.0|3.9500000000000005e-05|2.94|-1272.152002|-1272.125792|515.23|847.25|0.5056|379.97|361.95|0.69784|0.69784|0.5056|-0.13153|2.3762|-0.19514|0.02620998|-1272.058487|3548.0|5.45|5.45
1k_a5|0|2.9020229360000003|0.0|0|6.605297921|0|0|-0.216088148|-0.0030192829999999|4.59511985|-0.064652321|2|-0.095857885|0.0|-0.120771321|-0.145151027|1|0.003708988|0.7824502320000001|-0.022280685|0.851987765|0|0.7836926809999999|-0.078995018|-0.074297856|0.425724957|0.010892351|-38.00629774|0.216307319|110.6497654|-19.44172742|2.850231839|0.498979532|45.98095096|0.48165588|2171.394196|824.0133397999999|-7.881781385|0.275045542|0.929220303|140.69669409999997|-291.6259112|21.25369168|0.019219352|357.34245360000006|9.83146028|1.0|1.0|1.0|2.02|0.0|23.0|-8.3|0.0|0.0|0.0|24.0|4.0|-5.99|316.33|0.0|1.0|-4.3|0.000106|4.970000000000001e-05|0.0157|3.16|0.0|1.58e-06|3.1|-1050.548505|-1050.51717|533.8|890.76|0.6242|262.56|398.63|0.53086|0.5282|0.1239|-0.1798799999999999|1.5911|-0.22504|0.03133456|-1050.468159|48.0|7.3188|7.3188
12ab_a36|0|3.458948649|0.0|0|7.412764017000001|2|2|-0.064515677|-0.007034881|5.351858133|0.000258844|2|0.035377607|0.0|-0.408023082|-0.032623802|1|0.002112069|0.831136366|-0.051707317|0.888163057|0|0.8410557559999999|-0.079202413|-0.095025338|0.452078227|0.024102201|-65.54680623|0.158944244|109.6369437|-45.21303385|11.46782191|15.55386871|71.2577056|0.484987413|2902.39241|2390.849902|-15.90828969|0.320974676|0.941700118|221.4026852|-859.0476432|33.96451406|0.024384271|708.5476357999999|16.81984117|1.0|0.0|0.0|0.0|0.17|17.0|-7.05|1.0|0.0|0.0|32.0|5.0|-7.21|420.47|0.0|0.0|-3.91|0.0001199999999999|0.000122|0.0515|2.33|0.0|3.76e-05|3.23|-1364.509957|-1364.468283|712.73|1201.64|0.4451|319.17|564.58|0.69294|0.69294|0.4451|-0.15699|3.6976|-0.2093699999999999|0.04167456|-1364.300531|11.0|7.9586|7.9586
