molecula|n9FaHRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|n5aRing|AATSC1pe|BIC2|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Leadlikeness|Brenk|Veber filter|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
14s_a23|1|0.0|0.0|2|7.423568444|0|0|0.020458621|-0.005854379|5.351858133|-0.022580082|2|0.049317519|0.740898446|-0.298573309|-0.044305947|2|0.009263715|0.7837821840000001|-0.1050445769999999|0.846632079|1|0.92763624|-0.055037441|-0.080500435|0.2387634619999999|0.019970955|-51.64162341|0.07236376|46.42188642|-33.12848261|8.218681552|82.55990607|48.11843993|0.470919749|2954.0751370000003|2316.634024|-14.09722664|0.2251838339999999|0.890072438|144.457092|-662.5696522999999|28.36177131|0.017330177|633.3278634|11.11743642|0.0|0.0|1.0|3.66|0.05|26.0|-7.99|2.0|1.0|0.0|31.0|4.0|-6.03|445.93|0.0|0.0|-5.55|7.49e-07|2.83e-06|0.00126|4.21|0.0|4.55e-06|4.1|-2089.521231|-2089.500101|668.66|1164.32|0.3669|336.66|528.82|0.60323|0.60323|0.3669|-0.1515|4.7032|-0.22933|0.02112956|-2089.352478|3.0|8.5482|8.5482
12ae_a36|0|3.412870974|0.0|0|7.412764017000001|2|2|0.069118289|-0.009867085|5.351858133|-0.351827031|2|0.087069205|0.0|-0.611759277|-0.083959343|1|-0.001160331|0.831101086|0.010209009|0.8837136859999999|0|0.7162413209999999|-0.085851235|-0.105648609|0.439268891|0.023873046|-78.71102033|0.2837586789999999|211.4077529|-58.64180087|13.25108213|19.97715962|81.74750345|0.465246185|3486.122819|2634.745208|-20.22131065|0.315002436|0.870019385|234.6851816|-1172.836017|39.62310606|0.025570256|805.2286932|19.05051961|0.0|0.0|0.0|0.0|0.17|17.0|-6.87|1.0|0.0|0.0|34.0|6.0|-8.03|474.54|0.0|0.0|-3.72|0.0001409999999999|0.0001889999999999|0.0897|1.64|0.0|6.45e-05|6.24|-1876.203168|-1876.152311|754.15|1281.69|0.4832|236.84|615.71|0.40141|0.68591|0.3366|-0.1566|6.7458|-0.21149|0.0508577|-1875.963244|15.0|7.8239|7.8239
17d_a50|1|0.0|0.0|2|8.105609402|2|2|-0.152030219|-0.002166617|6.042632834|0.03538699|1|0.006071856|2.234730384|-0.140830095|-0.136180713|2|0.01245647|0.748516466|-0.2177003589999999|0.789310938|1|0.929886823|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|-48.40178147|0.070113177|48.62532158|-33.56790124|7.31681784|86.38197811|41.18485076|0.445708152|2824.70142|2950.99157|-12.30823045|0.24594297|0.8041037459999999|170.5678813|-738.4938272999999|23.53577933|0.013178555|829.3813984|9.139672835|0.0|1.0|1.0|3.68|0.35|20.0|-7.07|2.0|0.0|0.0|32.0|4.0|-6.25|424.54|0.0|1.0|-4.88|3.17e-05|1.31e-05|0.00557|3.72|0.0|3.63e-05|3.41|-1335.989008|-1335.962757|727.15|1263.22|0.1819|306.09|579.45|0.66103|0.66103|0.1819|-0.16716|5.6557|-0.19967|0.02625058|-1335.713194|74.0|7.1308|7.1308
19_a34|0|0.0|0.0|1|7.412764017000001|1|1|-0.068004837|-0.013066507|5.351858133|-0.169170251|1|-0.189862762|0.0|-0.5357267960000001|-0.143343425|1|-0.0042364759999999|0.8022000659999999|-0.0235903339999999|0.8582665429999999|0|0.6399024520000001|-0.112877411|-0.1255804019999999|0.308793959|0.039589023|-62.64265252|0.360097548|179.6256831|-31.24772528|9.850795895|470.4453529|76.05407906|0.467358389|2127.363207|1537.244187|-9.86770272|0.3377105079999999|0.877434994|168.4584665|-374.9727034|29.86894781|0.029554695|337.9440349|14.74262256|0.0|1.0|1.0|2.77|0.18|17.0|-5.03|0.0|0.0|0.0|23.0|5.0|-7.01|309.32|0.0|1.0|-3.15|0.00186|0.000704|218.0|1.66|0.0|0.00291|2.7|-1046.606458|-1046.5747720000002|538.96|882.87|0.2189|297.18|421.62|0.6897300000000001|0.6897300000000001|0.2189|-0.1735|3.4272|-0.20251|0.03168624|-1046.509891|0.99|6.0044|6.0044
7s_a46|0|0.0|0.218897825|1|7.727094485|1|1|-0.0778653109999999|-0.005351046|5.533389489|-0.076841616|1|-0.210750635|0.0|-0.240797051|-0.005405515|1|0.005577925|0.770312275|-0.030371026|0.8182543959999999|0|0.858788462|-0.096723151|-0.083011849|0.249893305|0.008871171|-41.72189594|0.141211538|70.97315818|-20.9694955|2.240932895|0.0|53.07188519|0.433822088|1982.695462|1619.4591|-7.988379237|0.1801125439999999|0.7662292690000001|90.5248694|-335.5119279|19.38565529|0.01122216|409.9543818|5.640276426000001|0.0|1.0|1.0|2.33|0.26|17.0|-6.08|0.0|0.0|0.0|23.0|3.0|-5.81|305.37|0.0|1.0|-4.24|8.590000000000001e-05|5.76e-05|0.0176|3.32|0.0|0.000256|3.54|-974.8067569|-974.7707066|539.99|916.7|0.4164|234.06|446.63|0.44692|0.69976|0.1186|-0.17923|2.4286|-0.19947|0.036050328|-974.664103|1985.0|5.7022|5.7022
11_a33|1|3.221176304|0.0|0|7.686621335|0|0|-0.151505631|-0.008708023|5.6869753560000005|-0.039406316|0|0.055664124|1.979284901|-0.32219686|0.143981643|3|-0.00103193|0.85401347|-0.014463304|0.921896958|1|0.857287241|-0.070841241|-0.104881435|0.229250542|0.033701864|-50.94714637|0.142712759|69.3240686|-24.74805685|7.95236684|0.0|50.78279943|0.4673066279999999|2220.315582|979.349175|-7.278840251|0.447121614|0.8772525659999999|217.193541|-247.4805685|27.10262364|0.035341374|335.4799765|17.16740584|1.0|1.0|1.0|2.31|0.13|19.0|-6.23|0.0|0.0|0.0|22.0|4.0|-5.97|328.41|0.0|0.0|-4.38|3.32e-06|4.13e-05|0.0136|3.28|0.0|0.000194|1.93|-1669.324638|-1669.304085|506.55|858.89|0.5408|353.74|378.1|0.70381|0.70381|0.5408|-0.14132|3.1406|-0.19938|0.02055276|-1669.251123|5.0|8.3188|8.3188
12b_a50|1|0.0|0.0|2|7.927685046000001|1|1|-0.19841119|-0.002929899|5.82008293|-0.0016330379999999|1|-0.08032584|2.112397566|-0.125985651|-0.101728189|2|0.011790103|0.804535572|-0.189976035|0.8718949979999999|1|0.925916085|-0.045602469|-0.066155918|0.24516882|0.0214891|-33.25880166|0.074083915|37.24447201|-16.72031641|5.43117764|86.49656508|33.72918462|0.430791247|2224.116359|1446.231761|-6.002164865|0.4268092529999999|0.756824707|214.5713436|-234.0844297|20.82911679|0.027586169|388.171611|13.86849326|1.0|1.0|1.0|2.45|0.11|20.0|-5.49|0.0|0.0|0.0|24.0|3.0|-6.44|313.36|0.0|1.0|-3.84|0.000685|0.000144|45.0|2.5|0.0|0.00101|2.47|-1006.664619|-1006.641541|539.15|909.8|0.2425|263.3|401.64|0.6016199999999999|0.6581|0.0777|-0.16451|4.0567|-0.19425|0.02307802|-1006.550688|4.74|5.3242|5.3242
13c_a6|0|3.441255118|0.0|0|7.412764017000001|1|1|-0.046663393|-0.010619065|5.351858133|-0.0122495089999999|1|0.049627353|0.0|-0.605286688|0.054910284|1|-0.000899678|0.780680481|-0.167542194|0.8353837409999999|0|0.786809832|-0.093635525|-0.111231609|0.22875443|0.030547186|-75.71763296|0.213190168|145.12291069999998|-51.54254258|14.15496611|567.1031411|84.53371376|0.466844407|2880.850692|3135.546462|-18.47751526|0.2279674589999999|0.875625075|155.1821156|-979.308309|35.15921372|0.018354398|692.8471883999999|12.49421473|1.0|1.0|1.0|2.53|0.16|23.0|-9.4|2.0|0.0|0.0|32.0|5.0|-5.88|423.47|0.0|0.0|-5.27|1.11e-06|5.42e-06|0.00229|4.23|0.0|1.68e-07|4.5|-1389.39897|-1389.371325|719.8|1217.77|0.5471|206.92|596.15|0.48478|0.7008800000000001|0.28|-0.14975|7.7129|-0.1999|0.0276450999999999|-1389.184603|73.0|7.1367|7.1367
11_a1|0|3.3361517380000003|0.0|0|7.423568444|1|1|0.033732316|-0.018080197|5.351858133|-0.196819043|1|0.08043435|0.0|-0.867849442|-0.05257082|1|-0.009578125|0.747358374|-0.075188762|0.8086124090000001|0|0.5955245029999999|-0.131972845|-0.126108875|0.2027328789999999|0.034974992|-74.35738693|0.404475497|238.4902806|-43.84323456|12.15946748|84.40380304|98.43720241|0.47723847|2697.640232|1885.148133|-16.93943154|0.248121855|0.912918113|146.29971719999998|-745.3349875|38.20963621|0.02620284|495.0560271000001|15.44994131|1.0|1.0|1.0|2.31|0.05|23.0|-7.47|1.0|0.0|0.0|29.0|6.0|-6.27|385.37|0.0|0.0|-4.66|8.48e-06|2.17e-05|0.00838|3.35|0.0|1.29e-05|5.26|-1312.462371|-1312.4282380000002|614.86|1036.18|0.5573|331.66|471.76|0.68162|0.69914|0.3201|-0.12916|5.0526|-0.19462|0.03413353|-1312.2963630000002|0.17|6.7696|6.7696
19k_a38|0|3.218103741|0.0|0|7.412764017000001|2|2|0.0100827|-0.011877064|5.351858133|-0.17467835|2|0.098947776|0.0|-0.6888696990000001|0.016990252|1|-0.00835812|0.853092207|-0.029357143|0.908591797|0|0.658700057|-0.112748779|-0.126936513|0.389096157|0.0232707939999999|-80.54577161|0.341299943|216.567059|-51.10918191|9.369654226|116.0039747|86.30929885|0.4769127179999999|3055.355167|2929.493496|-17.9828603|0.24035311|0.911726848|152.51267140000002|-971.0744563|37.3070426|0.021802691|686.8472757999999|13.8345897|0.0|0.0|0.0|2.2|0.13|17.0|-6.41|1.0|0.0|0.0|33.0|5.0|-7.84|444.46|0.0|0.0|-3.62|0.000134|0.0002399999999999|107.0|1.65|0.0|0.000175|4.13|-1500.8984380000002|-1500.852284|677.64|1172.22|0.2038|239.03|502.43|0.38269|0.70327|0.1156|-0.14568|9.1508|-0.20102|0.04615409|-1500.680373|11.0|7.9666|7.9666
