molecula|SddssS|SaaNH|SssssC|nAHRing|SaasN|AATSC1c|SRW07|AATSC1s|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|AATSC1pe|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|FNSA5|PBF|FPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
11_a3|0.0|0.0|0.0|0|0.0|-0.01008647|4.727387819|-0.127546771|0.042795699|-0.101436441|1.710245969|-0.363112913|-0.008037672|0.044912659|10.31163053|1|-0.005959152|-0.0947326669999999|-0.577616902|0.724492061|-0.04179402|0.793311683|0.834020779|-0.099420732|0.175996916|0.014376713|253.1353625|0.222196952|105.101718|-22.2443844|3.216644354|80.34769756|0.752484736|-1.292469516|-21.37603754|-18.52584757|51.99171876|0.4680759679999999|2097.896727|367.9098016|1105.41974|-8.76293931|0.2475152639999999|5.475372235|10.29352296|4487.967272999999|117.0775712|-289.1769972|-238.8563772|812.4456757999999|311.6695405|0.0|1.0|1.0|3.19|0.0|21.0|-6.51|3.79|105.82|0.0|0.0|1.0|-6.59|305.36|0.0|0.0|8.37e-05|0.0256|0.0|0.0|3.06e-07|3.2232|2.12|3.2232|508.58|384.66|0.4441|384.66|346.18|-1288.058926|-0.13118|-0.20018|0.02994326|4.4522|0.04|7.3979|7.3979
23_a10|0.0|0.0|0.0|1|2.140123457|-0.00264793|5.4161004020000005|0.012558932|0.036666667|-0.031558374|1.981673861|-0.17741132|0.010305237|-0.000458688|10.92966139|1|0.010662507|-0.207994181|-0.233801237|0.754150918|-0.043248272|0.800727358|0.706648116|-0.072395864|0.535680357|0.009615852|72.17779806|0.084791355|60.05816353|-36.32074126|4.824237957|53.00900704|0.7611996520000001|-1.6651048819999998|-24.91121732|-19.02262196|41.98112956|0.485561757|3103.831885|648.2471057|1945.384475|-13.47382337|0.238800348|8.755988318|17.02048484|7034.375112000001|169.14354509999998|-835.377049|-370.018179|1549.399766|930.6293092|1.0|1.0|0.0|3.8|0.21|27.0|-9.84|5.11|56.07|0.0|0.0|1.0|-5.93|461.56|0.0|0.0|4.19e-06|0.00193|0.0|0.0|1.44e-10|3.8034|3.9|3.8034|768.3|325.98|0.2089|325.98|606.18|-1469.838069|-0.15858|-0.21158|0.02986448|4.8954|0.75|6.1249|6.1249
13j_a6|0.0|3.409065702|0.0|1|0.0|-0.015004989|5.351858133|-0.154502515|0.041728395|0.07522656|0.0|-0.855284356|-0.011017781|-0.0951246069999999|10.95129557|1|-0.007703306|-0.073507141|-0.562698347|0.783333463|-0.079161042|0.8353837409999999|0.830577798|-0.129511589|0.205764388|0.03111288|180.6709018|0.377035857|251.937353|-57.82670518|13.89184843|114.6910805|0.7841668409999999|-2.460720196|-53.67779048|-31.02389141|101.1210779|0.433600896|2907.3053210000003|416.2679342|2634.320708|-20.73032827|0.215833159|8.741405506|15.43329684|6276.316063|144.22085800000002|-1098.707398|-379.7635712|2096.832152|673.8038326000001|1.0|1.0|3.0|3.56|0.12|23.0|-8.5|4.16|115.15|0.0|0.0|1.0|-6.81|427.46|0.0|0.0|9.32e-06|0.00398|0.0|0.0|3.18e-09|3.6504|4.94|3.5599|712.52|348.28|0.2857|339.64|555.0|-1426.272674|-0.14602|-0.19491|0.03242949|10.9731|262.0|6.5817|6.5817
22_a4|0.0|0.0|0.0|1|1.987636054|-0.006436201|5.4161004020000005|-0.115883451|0.044357639|0.004808337|0.0|-0.257448045|0.004765062|-0.2078428719999999|10.94586213|1|0.004237768|0.034720243|-0.3877007|0.7797803109999999|-0.037423832|0.8404413829999999|0.755510052|-0.089955967|0.242642229|0.010702353|162.9809584|0.138796849|66.70156956|-20.77508795|2.47167963|0.0|0.8444670409999999|-1.349339509|-21.92150631|-17.52572365|50.75888571|0.4359219589999999|1950.173729|413.8681986|1477.437886|-8.422332951|0.155532959|5.495481464|9.742413394|4074.564287|74.7444381|-311.62631919999995|-331.080892|767.88287|338.71903330000004|1.0|0.0|1.0|3.3|0.11|17.0|-5.24|3.19|50.94|0.0|0.0|2.0|-5.91|289.33|0.0|1.0|0.000172|0.0497|0.0|0.0|5.77e-06|4.468999999999999|3.38|4.0537|519.39|305.85|0.1675|277.43|400.29|-934.12356|-0.16754|-198.0|0.030263407|5.4110000000000005|47.0|7.3279|7.3279
5b_a40|0.0|0.0|0.0|0|1.616656116|-0.0049439079999999|6.167516491000001|0.064329005|0.044946237|-0.096549823|0.7222376540000001|-0.163148971|0.008515162|0.179058252|10.31198309|2|0.006372485|0.013573521|-0.389789991|0.817071232|0.029485257|0.88618123|0.503365018|-0.091267779|0.313503463|0.019116586|169.18694230000003|0.118735598|59.56617021|-22.96968039|4.811137897|49.25022097|0.829018186|-1.095213344|-19.38687321|-18.31454812|48.2348504|0.477304896|2126.9310920000003|442.1045286|764.9528181|-9.187872156|0.1709818139999999|6.521443259|12.47657231|4813.179854|85.77656597|-275.6361647|-330.1175669|662.7555978999999|285.9136384|1.0|0.0|0.0|3.13|0.21|14.0|-5.25|4.93|75.5|1.0|0.0|2.0|-5.42|338.21|0.0|0.0|3.69e-06|0.00125|0.0|0.0|5.65e-06|3.9759|5.62|3.9759|515.23|311.84|0.3005|311.84|411.1|-2096.707754|-0.15999|-0.23068|0.01471235|9.3069|64.0|7.1938|7.1938
35_a18|0.0|0.0|0.0|2|0.0|-0.00622005|4.844187086|-0.020425504|0.03531746|-0.069149293|0.0|-0.44784362|-7.44e-05|0.027469086|10.94702087|0|0.00113101|-0.117857059|-0.5009599889999999|0.737094825|-0.017913121|0.774007861|0.7277482059999999|-0.084219749|0.3888901179999999|0.008853796|118.7214377|0.199234055|146.8343246|-45.74482543|4.809030636|74.92670772|0.874573807|-2.273933228|-44.44264921|-24.64522632|66.82777970000001|0.465531336|3038.429834|590.1597827|1761.858479|-18.16338657|0.125426193|9.184536969|17.18442554|6995.248058|92.43836482|-1235.110287|-552.1173777|1916.219506|1056.535856|1.0|1.0|3.0|4.3|0.3|18.0|-9.55|4.13|85.29|1.0|0.0|1.0|-6.0|480.6|0.0|0.0|8.629999999999999e-07|0.000415|0.0|0.0|2.81e-10|3.2146|8.09|3.2146|796.47|385.69|0.4981|385.69|657.07|-1532.557542|-132.0|-0.18079|0.02600607|2.7788|24.0|7.6198|7.6198
1a_a5|0.0|0.0|0.0|1|0.0|-0.001785522|4.59511985|0.009305578|0.021346801|-0.075791863|0.0|-0.078562954|0.005921049|-0.132197351|10.9502215|0|0.00549829|0.114184614|-0.179831877|0.7427901179999999|-0.008431181|0.794139321|0.808272639|-0.075618812|0.3602068089999999|0.008036994|83.60943679|0.166361767|83.77332129999999|-19.17495143|2.037971304|0.0|0.7256546770000001|-1.134282187|-18.22870183|-13.93123008|40.24669785|0.455258786|1940.139869|419.7878208000001|902.6910106|-7.015226132|0.274345323|6.199179484|11.38004491|4005.068642|138.1496441|-287.62427139999994|-227.2618539|787.1243051|403.543273|0.0|1.0|1.0|3.54|0.16|18.0|-7.15|3.08|37.81|0.0|0.0|1.0|-6.58|298.34|0.0|1.0|0.00253|755.0|0.0|0.0|7.13e-08|4.6707|2.85|2.8332|531.02|437.61|0.2109|265.45|386.8|-951.178584|-0.12226|-0.2262699999999999|0.028664612|6.7017|107.0|6.9706|6.9706
12a_a30|0.0|0.0|0.0|2|0.0|-0.006711725|5.351858133|-0.02919335|0.040166667|-0.096804291|0.0|-0.3557214489999999|0.005050384|0.009586623|10.31162903|1|0.005458948|-0.094526372|-0.454270252|0.7885597609999999|-0.171895425|0.842671963|0.7961424690000001|-0.097138462|0.337975309|0.016292604|85.47365107|0.163785284|101.5505506|-37.34272719|6.263330101|0.0|0.805190202|-1.845630786|-29.59731695|-23.35372432|57.83766054|0.469799116|2722.217443|518.4718832|2256.680391|-14.47983299|0.194809798|7.362386058999999|13.88603128|5936.682602000001|120.786445|-709.5118166|-378.4495438|1421.195251|620.9195447000001|1.0|0.0|1.0|4.65|0.14|17.0|-6.64|3.84|81.65|0.0|0.0|1.0|-5.98|398.48|0.0|0.0|5.23e-06|0.00208|0.0|0.0|2.3100000000000002e-07|5045.0|3.82|3.4885|668.81|355.41|0.1866|245.76|507.17|-1575.538241|-0.1481|-0.19994|0.03289568|4.7368|11.0|7.9469|7.9469
12p_a30|0.0|0.0|0.0|2|0.0|-0.0063403159999999|5.351858133|-0.031328052|0.040899471|-0.062956958|0.0|-0.3550576729999999|0.005613018|0.000321545|10.31162861|1|0.005965451|-0.09353607|-0.456474815|0.7867133140000001|-0.2210072669999999|0.8371763179999999|0.7991060659999999|-0.094870978|0.371591982|0.015107947|75.21136863|0.156618406|100.1386407|-38.78387161|6.176226649|0.0|0.8199554720000001|-1.897419563|-30.39737673|-23.33022469|57.20168999|0.469983155|2783.628159|539.2411292|2326.5244390000003|-14.91687369|0.180044528|7.392482526|13.94763694|6166.812731|115.116829|-775.6774321|-409.146112|1479.558007|686.039456|1.0|0.0|1.0|4.76|0.17|17.0|-7.01|4.35|81.65|0.0|0.0|1.0|-5.81|412.51|0.0|0.0|2.21e-06|0.0009119999999999|0.0|0.0|9.75e-08|5.1922|4.14|3.4955|685.08|354.69|0.1768|238.79|526.91|-1614.830085|-0.14823|-0.19992|0.03198743|4.6103|17.0|7.7721|7.7721
3l_a32|0.0|3.672194822|0.0|0|0.0|-0.0054004|5.733341277|0.0043645509999999|0.035643275|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|-0.09393062|10.31100268|3|0.002942329|-0.087213805|-0.524711546|0.751853889|-0.184582641|0.7973741999999999|0.776480242|-0.088417589|0.270668623|0.012244965|61.72183119|0.114441512|66.55229892|-29.90181954|4.141107366|0.0|0.788236719|-1.326263838|-23.43792428|-16.76685351|47.42414825|0.453630671|2453.759435|514.9875423000001|2415.340446|-9.750593329|0.211763281|6.414825717|11.74082324|5429.531532999999|123.148785|-448.5272931|-335.2422712|978.4817724|565.7000781|1.0|1.0|1.0|3.58|0.35|19.0|-7.5|7.34|110.94|0.0|0.0|1.0|-4.71|380.53|1.0|0.0|2.52e-08|9.59e-06|0.0|0.0|3.16e-08|3.5319|4.21|3.5319|629.26|351.04|0.2876|351.04|468.81|-1789.242839|-0.14664|-0.19962|0.02547484|5.7721|12.0|7.9208|7.9208
