molecula|NaaNH|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
4d_a49|0|0.0|7.535296702|1|1|1.343847746|2.097463308|-0.06085453|5.4161004020000005|-0.058204482|2|0.036555556|-0.090862681|1.76904838|-0.343596561|0.013451218|1|0.001356445|0.000511959|-0.417231241|2|0.7745859279999999|-0.008564167|0.023137464|0.834151595|1|0.752634646|-0.089942837|-0.085966608|0.410804214|0.013625199|-52.95392476|8.392883773|85.21839288|0.2473653539999999|152.3727245|5.16986937|57.16412513|0.654728051|66.51766234|63.79609555|0.470013152|463.6097566000001|-10.66380249|0.3452719489999999|7.998287218|15.09148245|0.8868392740000001|-554.5177292999999|26.44129877|-190.6195379|13.56373757|0.0|1.0|1.0|1.0|3.38|21.0|1.25|0.0|115.63|0.0|1.0|6.0|-3.13|30.0|398.46|0.0|1.0|-3.35|0.000743|296.0|0.0004509999999999|1.45|2.64e-08|5.7447|2.99|-1293.333712|-1293.29417|668.09|1144.04|0.2549|215.82|495.7|0.40593|-0.15888|-0.2219699999999999|0.0395418|-1293.107454|18.0|7.7447|7.7447
1_a3|0|0.0|6.823286122000001|1|1|0.6195934120000001|0.0|0.079857077|4.727387819|-0.073036903|2|0.034166667|-0.004409693|2.194605012|-0.248199745|0.032569462|0|-0.005006707|0.05038525|-0.486774367|2|1.005427002|-0.126299711|0.057919092|0.8457792829999999|1|0.7762512779999999|-0.098872259|-0.0925710269999999|0.521474118|0.008036786|-42.54530997|3.693677623|289.8942564|0.2237487219999999|102.8341051|1.697600903|0.0|0.7920857179999999|49.05980305|49.13501083|0.4490711529999999|356.76228530000003|-7.203984013|0.207914282|4.984064981|9.046658216|0.8151164259999999|-273.7513925|19.78900457|-268.4830832|6.514493077999999|1.0|1.0|1.0|1.0|3.83|16.0|1.52|0.0|91.52|0.0|2.0|2.0|-3.07|22.0|306.38|0.0|0.0|-3.3|0.0008529999999999|261.0|0.000503|1.83|1.69e-06|5.8805|2.08|-1273.316428|-1273.290432|496.09|845.2|0.1775|210.84|316.61|0.30619|-0.1658599999999999|-0.21886|0.02599563|-1273.22339|724.0|6.1403|6.1403
14x_a23|0|0.0|7.423568444|0|0|1.197963189|3.101221922|0.0944818319999999|5.351858133|-0.111315218|2|0.04314059|0.05740118|0.6753138120000001|-0.335030301|-0.0229244|2|0.003906274|-0.073958723|-0.443633823|2|0.5788469970000001|-0.035031888|-0.035965909|0.8668730109999999|1|0.7768288609999999|-0.0708831479999999|-0.084244058|0.229141189|0.022095943|-55.83053941|14.64350681|42.44114495|0.223171139|147.90081730000003|9.704599953|87.28077098|0.722211323|70.40248829|61.61945314|0.468120981|514.8229467|-14.95753786|0.277788677|7.777802167999999|14.62325432|0.880126802|-703.0042792|31.25095356|-294.5294492|14.57194888|0.0|0.0|1.0|0.0|3.42|26.0|3.78|1.0|120.2|0.0|1.0|5.0|-5.68|32.0|447.46|0.0|0.0|-5.27|2.09e-06|0.0009369999999999|5.41e-06|3.78|1.17e-08|4.0641|3.97|-1828.393372|-1828.371718|675.21|1149.42|0.3184|305.07|537.48|0.6757|-0.15259|-0.23475|0.02165405|-1828.228912|3.0|8.4949|8.4949
9n_a24|1|2.961528903|6.605297921|0|0|1.388847168|0.0|-0.2452954769999999|4.59511985|0.001099755|2|0.024179894|-0.141205159|0.0|-0.182811885|-0.03088354|1|0.008809179|-0.12451554|-0.225226606|2|0.786587307|0.048359202|-0.058520736|0.804201677|0|0.904556598|-0.052106597|-0.0777274979999999|0.331008994|0.017608478|-52.53031811|11.90027964|48.691073|0.095443402|64.50319929|8.042526681|24.72120326|0.652126509|67.36550766|47.11530904|0.4331595789999999|611.3234977000001|-12.28894317|0.347873491|8.232847909|14.52410167|0.764164944|-639.0250449|27.88350328|-205.6223122|14.83518955|1.0|1.0|1.0|1.0|3.17|23.0|1.42|0.0|114.29|0.0|1.0|7.0|-4.14|29.0|385.46|1.0|0.0|-4.29|7.2e-05|0.0278|5.14e-05|3.07|2.31e-09|4.9139|2.59|-1239.1274939999998|-1239.095611|686.19|1155.03|0.2522|252.31|587.05|0.44042|-0.1658099999999999|-0.20399|0.03188309|-1238.917278|19.0|7.7212|7.7212
1f_a5|1|2.824395738|6.605297921|0|0|1.218960329|0.0|-0.139907335|4.59511985|-0.31059482|2|0.029105691|-0.118028278|0.0|-0.277594656|-0.000625|1|-0.000700145|0.001493879|-0.401165734|2|0.525406088|-0.060528915|-0.000969932|0.834250802|0|0.888073448|-0.091412569|-0.083857856|0.45528118|0.008403353|-46.77243802|4.687041957|201.7057715|0.111926552|62.42799372|2.614237829|0.21377016|0.757522389|57.83835135|55.67318607|0.4670794829999999|495.3305784|-11.0872845|0.242477611|7.117418022000001|13.35549635|0.8764524309999999|-443.4913802|26.24118632|-287.2706403|11.06591332|1.0|1.0|1.0|1.0|2.9|23.0|2.73|0.0|95.49|0.0|1.0|4.0|-4.79|27.0|366.34|0.0|1.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|3.95|1.3300000000000002e-09|4.7485|3.58|-1288.353339|-1288.3196369999998|577.11|958.06|0.6959|261.1|442.04|0.47267|-0.18224|-0.2357|0.03370206|-1288.263745|0.24|6.6198|6.6198
7h_a8|1|2.99743835|7.05012252|0|0|1.391840221|1.2793830309999998|-0.118981425|4.844187086|-0.073219554|0|0.04737037|-0.016074683|0.0|-0.23505152|0.0260356679999999|1|0.00084936|0.052081992|-0.382578949|0|0.515235986|0.095758228|0.041366689|0.7677336090000001|0|0.771011027|-0.093181899|-0.0934764819999999|0.314190914|0.011647275|-53.88211443|6.71377223|70.28953528|0.228988973|131.9948047|3.86998135|47.81104825|0.892830345|58.94376531|60.42608164|0.4346108389999999|444.4294792|-13.63564064|0.107169655|7.589672923999999|13.42380338|0.768693264|-559.0612661|26.49502512|-452.8739011|5.061650885|1.0|0.0|0.0|0.0|3.12|23.0|4.27|0.0|101.89|0.0|1.0|3.0|-5.68|28.0|373.35|0.0|1.0|-5.5|2.09e-06|0.00078|3.16e-06|4.66|3.5e-09|3.9282|6.81|-1285.182226|-1285.151298|593.53|999.62|0.3885|315.62|500.94|0.6963199999999999|-0.16076|-0.22875|0.03092828|-1285.0707960000002|10.5|4.9788|4.9788
17a_a25|0|0.0|6.842683282|0|0|1.373200859|1.826085128|0.0055894319999999|4.727387819|-0.036457743|2|0.043274232|-0.017081614|2.008884939|-0.248224991|0.006360768|1|0.006423059|-0.047099434|-0.362222339|2|0.6741827509999999|0.168247187|0.0114970419999999|0.8005589320000001|1|0.874586929|-0.06234901|-0.079378741|0.348821736|0.012665055|-56.61512986|9.033070252|93.75234138|0.125413071|89.44809639|6.442637379|80.30332825|0.755980502|67.57985355|53.50212109|0.468791604|623.7797651000001|-15.142307999999998|0.244019498|8.996672966|16.93624014|0.882500365|-847.969248|28.08362601|-365.1448527|10.96472369|1.0|1.0|1.0|1.0|3.48|27.0|2.67|0.0|131.06|0.0|1.0|7.0|-5.12|33.0|433.5|0.0|1.0|-5.13|7.5e-06|0.00325|7.44e-06|3.9|1.05e-10|5.2683|6.04|-1391.625102|-1391.588873|747.06|1271.9|0.4076|235.34|598.67|0.35172|-0.16304|-0.21559|0.0362293|-1391.385492|25.0|7.6021|7.6021
16_a31|1|3.096824452|7.758333467000001|1|1|0.61013894|0.0|0.152128735|5.733341277|-0.186617888|0|0.042528736|-0.050076586|0.0|-0.726543099|0.06214876|2|-0.0125582419999999|-0.053194463|-0.60894688|0|0.951830892|-0.038841601|0.0980869569999999|0.8948140790000001|0|0.546450126|-0.142079397|-0.150315165|0.29485045|0.0374314139999999|-70.82239128|17.63615984|130.369865|0.4535498739999999|213.694252|8.309441139|467.7901274|0.73080436|83.86629191|84.57819254|0.427771627|257.4650715|-11.12287666|0.26919564|5.521618837|9.649327262|0.747554032|-367.0549296|32.30339751|-217.4912527|13.04390063|0.0|1.0|1.0|1.0|3.2|16.0|0.78|0.0|80.57|0.0|2.0|2.0|-4.36|21.0|300.34|0.0|1.0|-3.6|4.38e-05|0.0131|0.000254|2.32|1.16e-05|3.6596|1.7|-1308.242314|-1308.202828|503.18|818.1|0.2534|338.79|369.73|0.70108|-0.15231|-0.1842|0.03948619|-1308.161433|0.09|7.0458|7.0458
7l_a46|0|0.0|7.727094485|1|1|1.160371354|2.1525548|-0.2644255789999999|5.533389489|0.017668261|2|0.04006734|-0.203375108|0.0|-0.038903382|0.050638298|1|0.0125870169999999|-0.087877164|-0.1082221709999999|2|0.659888413|-0.1237456669999999|0.076724694|0.825629852|0|0.907148114|-0.0565894359999999|-0.06289606|0.253138137|0.011594057|-30.34397256|5.5935102720000005|8.13531199|0.092851886|44.79605077|2.698568452|51.39110437|0.67467081|38.22273917|32.8948756|0.46327253|437.65027010000006|-5.1237682730000005|0.32532919|5.273701985|9.825660656|0.863142947|-204.9507309|15.74158869|-168.5385796|7.878766604|1.0|1.0|1.0|1.0|3.04|17.0|1.89|0.0|86.96|0.0|1.0|2.0|-3.18|22.0|290.36|1.0|1.0|-3.72|0.000668|0.1939999999999999|0.0001889999999999|2.61|5.19e-07|4.5464|2.42|-915.6081232|-915.5830363|517.29|879.87|0.2024|272.71|414.82|0.68834|-0.18993|-0.2231699999999999|0.025086919|-915.493986|1.94|5.7122|5.7122
7_a3|0|0.0|6.823286122000001|0|0|0.60501656|0.0|0.198126776|4.727387819|-0.106234254|2|0.03757716|-0.047419994|1.989724777|-0.327648836|0.030246987|1|-0.006696449|0.020589494|-0.592753801|2|0.881253042|-0.224253635|0.0507482109999999|0.8632654590000001|1|0.782294598|-0.1034274319999999|-0.096448591|0.5999725029999999|0.009708941|-47.72824381|4.804535747|230.9407974|0.217705402|107.7330046|2.377557323|76.07607751|0.7992146109999999|55.15105143|55.98630667|0.3987206729999999|387.1238241|-9.030659289|0.2007853889999999|5.198046584|8.644978051|0.663120542|-307.0424158|22.83370969|-296.13678660000005|7.422807617|1.0|1.0|1.0|1.0|3.02|21.0|2.11|0.0|95.5|0.0|1.0|2.0|-5.44|23.0|338.81|0.0|1.0|-4.87|3.67e-06|0.00124|1.34e-05|3.79|3.28e-08|5.8849|3.09|-1731.7341420000002|-1731.703107|522.73|883.88|0.1926|210.68|362.61|0.3456|-0.14816|-0.21219|0.03103579|-1731.651178|1023.0|5.9901|5.9901
