molecula|NaaNH|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC8d|n5aHRing|AATSC1pe|MATS1i|MATS1c|n6aHRing|GATS1are|MATS8s|MATS8d|SIC2|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|WPSA3|RPCS|FNSA1|DPSA5|DPSA3|GeomPetitjeanIndex|TASA|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
13n_a6|1|3.425442623|6.842683282|0|0|1.4290206230000002|0.0|0.030890422|4.727387819|-0.135152403|2|0.04393617|0.058267173|1.628408574|-0.631323273|-0.033224059|1|-0.00687003|-0.068956229|-0.57091314|2|0.870730542|-0.064779873|-0.056293641|0.832753533|1|0.70890216|-0.100363599|-0.109392959|0.307384948|0.017758385|-75.07706271|12.18768927|90.97854097|0.29109784|199.7822434|8.36448634|103.012404|0.748967057|88.73738138|81.06784641|0.47066442|486.5239262|-18.12946621|0.251032943|8.872063579|16.76075427|0.889160748|-978.9911754|35.2699138|-341.7352549|13.66031867|1.0|1.0|1.0|1.0|3.55|27.0|0.81|0.0|127.2|0.0|1.0|6.0|-4.64|33.0|435.48|0.0|1.0|-4.28|2.27e-05|0.00987|5.24e-05|2.43|2.1499999999999998e-10|4.8185|4.27|-1423.765005|-1423.714738|727.69|1232.6|0.9117|257.31|548.09|0.55028|-0.13863|-0.20994|0.05026727|-1423.514154|75.0|7.1249|7.1249
19i_a38|1|3.169368622|7.412764017000001|2|2|1.297043925|0.0|-0.125335237|5.351858133|-0.115864198|2|0.043197531|0.08414367|0.0|-0.4561702689999999|-0.053762162|1|-0.004358975|-0.098027247|-0.430016467|1|0.653741315|-0.040954326|-0.087904124|0.892249657|0|0.747158407|-0.08347616|-0.113250303|0.4748744179999999|0.022576308|-69.40536597|13.83587388|137.7658863|0.252841593|154.953787|8.479305267|10.71501217|0.7419238420000001|82.98550237|64.99417804|0.444551315|457.89548719999993|-15.31261014|0.258076158|6.690507557999999|12.04523072|0.800346329|-765.6305068|33.67721904|-296.5257022|13.5801364|1.0|1.0|1.0|1.0|4.8|17.0|2.78|0.0|125.65|0.0|1.0|5.0|-4.25|31.0|419.43|0.0|1.0|-4.33|5.68e-05|0.0238|4.67e-05|2.88|7.599999999999999e-08|5.7041|3.66|-1431.415351|-1431.384243|641.31|1101.03|0.2156|217.36|457.26|0.4342|-0.14872|-0.2052|0.03110827|-1431.239177|13.0|7.9031|7.9031
5b_a50|0|0.0|7.927685046000001|1|1|1.397278957|4.190114953|-0.253064589|5.82008293|-0.003549558|1|0.034845679|-0.052494624|2.473508677|-0.062071259|-0.113846154|2|0.012290091|-0.1052449509999999|-0.140506919|1|0.693611382|0.019856551|-0.1866330389999999|0.855527513|1|0.958606481|-0.041157676|-0.061164973|0.271653991|0.012204641|-31.07327358|6.200250541|6.656963127999999|0.041393519|21.02890062|3.149876031|60.5565203|0.5887490470000001|42.76068675|27.10933752|0.4462435279999999|486.9950914|-5.525088972000001|0.411250953|5.543302677000001|10.01036188|0.8058479690000001|-221.0035589|18.47246431|-90.17329003|11.68741316|1.0|1.0|1.0|1.0|3.37|20.0|2.4|0.0|96.89|0.0|2.0|2.0|-3.48|24.0|312.37|1.0|1.0|-4.19|0.000335|105.0|6.47e-05|3.06|1.37e-06|5.6332|2.81|-990.6114185|-990.5849031|547.35|922.49|0.2749|220.09|411.9|0.4270899999999999|-0.16683|-0.19252|0.02651535|-990.487545|12.23|4.9126|4.9126
47n_a18|0|0.0|7.03438793|1|1|1.251175627|0.0|0.0487694459999999|4.844187086|-0.057061805|0|0.032169312|0.017491759|0.0|-0.609196374|-0.048404296|0|0.001705837|-0.172015161|-0.529441732|0|0.722991132|-0.09714337|-0.083719099|0.726888951|0|0.792429396|-0.079299822|-0.091185806|0.288989992|0.0106152389999999|-75.24728669|8.759783644|61.29571241|0.207570604|171.2889916|7.228646444|47.476904100000006|0.783921929|86.44740177|74.19865731|0.482565384|653.9193397999999|-21.77346199|0.216078071|10.43689152|20.17045476|0.932611327|-1676.556573|33.65821422|-468.58948260000005|11.20011508|1.0|1.0|1.0|1.0|4.69|18.0|2.72|1.0|162.18|1.0|1.0|13.0|-6.02|40.0|539.67|0.0|0.0|-5.24|9.48e-07|0.000511|5.7e-06|4.1|1.7500000000000002e-10|3.2028|9.78|-1743.3283440000002|-1743.299948|879.92|1565.37|0.5056|387.11|799.02|0.6914600000000001|-0.13138|-0.18391|0.02839695|-1740.663577|64.0|7.1938|7.1938
12m_a30|0|0.0|7.412764017000001|2|2|0.6049842529999999|0.0|0.096631895|5.351858133|0.024086432|2|0.040839506|-0.1305457069999999|0.0|-0.57615692|-0.0547272029999999|1|0.0026474159999999|-0.084317059|-0.5409445629999999|1|0.817497287|-0.036924662|-0.0974968869999999|0.893689741|0|0.783260049|-0.085422479|-0.103359773|0.415971907|0.027352277|-70.1324196|18.55926485|133.774348|0.216739951|147.06395700000002|12.59296644|237.0982213|0.773732767|83.3641853|76.52074257|0.44976016|531.4632661|-18.66147291|0.226267233|9.025816604|16.40342255|0.8173893040000001|-951.7351184|35.54574762|-371.4702679|13.2317657|1.0|0.0|1.0|0.0|4.66|17.0|2.06|1.0|133.52|0.0|1.0|6.0|-6.0|32.0|439.49|0.0|0.0|-5.01|1.01e-06|0.000444|9.71e-06|3.89|3.7600000000000003e-07|5.0617|3.88|-1743.215323|-1743.174906|714.92|1204.39|255.0|244.95|578.87|0.33392|-0.15042|-0.20742|0.04041755|-1743.030004|31.0|7.5114|7.5114
12g_a31|1|3.42813681|7.765993078999999|1|1|0.6101363000000001|0.0|0.0716209459999999|5.733341277|-0.1044685569999999|0|0.0388738739999999|0.045747231|0.0|-0.7501734859999999|-0.082116813|2|-0.0054114869999999|-0.0497478109999999|-0.57758443|0|0.837044054|-0.076150332|-0.1386819869999999|0.8639814490000001|0|0.58271093|-0.1284353869999999|-0.131126805|0.325789284|0.030961426|-80.52794936|19.01411466|152.7424573|0.41728907|256.26669530000004|11.67699967|548.1594997999999|0.6886488690000001|95.97385383|97.88920296|0.470244801|357.8560168|-14.73099143|0.311351131|8.098256552|15.28679013|0.887664343|-692.3565973|34.8320455|-231.70711040000003|15.44590447|1.0|1.0|1.0|1.0|3.61|16.0|0.86|0.0|103.26|0.0|1.0|7.0|-4.92|27.0|384.45|0.0|1.0|-3.79|1.19e-05|0.00457|0.0001629999999999|2.52|3.55e-07|3.8349|4.17|-1578.846191|-1578.800869|664.44|1090.41|265.0|323.3|542.78|0.70068|-0.15917|-0.19241|0.04532186|-1578.66792|0.11|6.9586|6.9586
12f_a30|0|0.0|7.412764017000001|2|2|0.60498366|0.0|0.156569208|5.351858133|-0.274237737|2|0.041555556|0.1468972409999999|0.0|-0.874676289|-0.046588557|1|-0.004395528|-0.077457998|-0.6394697460000001|1|0.613786308|-0.043091382|-0.071123509|0.876441789|0|0.8357464459999999|-0.090450992|-0.108935062|0.56363596|0.01570263|-76.85198573|11.07796031|101.2862703|0.164253554|115.8783181|7.815328055|1.45550709|0.815175332|89.21786458|74.88972286|0.472521727|589.6060704|-22.5055335|0.184824668|8.366190175|15.86072943|0.8958126809999999|-1192.793275|39.1336968|-444.7025522|12.36587885|1.0|0.0|1.0|0.0|4.73|17.0|2.82|0.0|133.96|0.0|1.0|7.0|-6.7|34.0|482.48|0.0|0.0|-5.92|1.99e-07|9.63e-05|1.2e-06|5.05|6.61e-08|5.0587|5.52|-1988.032639|-1987.998635|729.87|1225.63|0.2166|245.09|574.31|0.32483|-0.14958|-0.20422|0.03400408|-1987.848015|19.0|7.7144|7.7144
6_a27|1|2.6137160880000003|6.823286122000001|0|0|1.404458667|1.7996617540000002|0.1718757239999999|4.727387819|-0.072298665|2|0.042942943|-0.237047381|1.221528093|-0.330715016|0.081320966|1|0.0058042269999999|-0.1044763|-0.541168953|2|0.678057835|-0.1322552659999999|0.1272522519999999|0.849515128|1|0.785047616|-0.0786267609999999|-0.090025109|0.344065059|0.020552125|-44.56839492|10.17466399|125.8234721|0.214952384|106.4156743|5.03713293|61.10118428|0.774820398|52.66373343|49.10012093|0.47262982|388.6505938|-8.486272674|0.2251796019999999|5.010042219|9.500048379|0.896201262|-330.96463430000006|22.12343713|-272.1086175|8.095338503999999|0.0|0.0|0.0|0.0|3.0|21.0|2.42|0.0|92.65|0.0|1.0|2.0|-3.62|24.0|317.34|1.0|1.0|-3.82|0.000242|0.0768|0.000153|2.37|2.16e-07|5.5447|4.27|-1043.831559|-1043.806618|526.9|896.68|0.1915|223.61|401.49|0.3366099999999999|-0.17007|-218.0|0.02494141|-1043.728133|1.0|9.0|9.0
8m_a46|0|0.0|7.727094485|1|1|1.160371261|2.126524943|-0.044830187|5.533389489|-0.085284636|1|0.047345679|-0.134230003|0.0|-0.248590088|-0.064176245|1|0.005865049|0.010184776|-0.380393836|1|0.783187801|-0.084989948|-0.090247845|0.8142050040000001|0|0.876210355|-0.0911455|-0.085204935|0.280198209|0.007059399|-45.17474201|3.742817678|166.8508795|0.123789645|65.63194084|1.984401749|0.0|0.8854896870000001|48.72163155|52.0671834|0.425802465|464.5573228999999|-9.04821721|0.114510313|5.684332261000001|9.899611044|0.7415609409999999|-407.1697745|19.27296714|-408.7649869|3.546889545|0.0|1.0|1.0|1.0|3.24|17.0|2.62|0.0|96.16|0.0|1.0|2.0|-4.48|24.0|319.4|1.0|1.0|-4.56|3.3e-05|0.0105|2.78e-05|3.72|3.5e-07|5.3062|4.12|-1014.126693|-1014.091966|570.72|970.82|0.3905|233.66|489.57|0.43001|-0.17897|-0.19715|0.03472717|-1013.962913|229.0|6.6402|6.6402
18_a20|1|3.463603867|6.842683282|0|0|1.400923654|0.0|0.1160337319999999|4.727387819|-0.12050413|2|0.0396875|0.163548857|1.983673343|-0.5039851160000001|-0.054458882|1|-0.004071701|0.001996439|-0.597167441|2|0.809917509|-0.107446431|-0.090732503|0.8162774979999999|1|0.76136176|-0.0927760219999999|-0.095227339|0.356461863|0.0108136339999999|-63.36348363|7.195302872999999|318.5587088|0.23863824|158.7879106|4.787695004|82.70867776|0.8109110409999999|72.31812218|68.92770059|0.483668611|506.6038164|-15.91001426|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|-843.230756|29.4862782|-413.7552685|8.954638548|1.0|1.0|1.0|1.0|3.48|27.0|2.06|0.0|125.07|0.0|0.0|5.0|-5.59|32.0|419.48|0.0|1.0|-5.16|2.54e-06|0.00107|6.91e-06|3.85|9.93e-11|5.9778|5.35|-1352.364724|-1352.32685|703.24|1204.88|0.2991|207.41|531.11|0.31154|-0.14685|-0.20289|0.03787435|-1352.135304|34.0|7.4685|7.4685
19_a34|0|0.0|7.412764017000001|1|1|1.438829424|1.898101852|-0.068004837|5.351858133|-0.169170251|1|0.044107744|-0.189862762|0.0|-0.5357267960000001|-0.014196676|1|-0.0042364759999999|-0.255220734|-0.469568766|1|0.866604574|0.08178394|-0.0235903339999999|0.8582665429999999|0|0.6399024520000001|-0.112877411|-0.1255804019999999|0.308793959|0.039589023|-62.64265252|19.74799697|131.5318459|0.360097548|179.6256831|9.850795895|470.4453529|0.662289492|77.38527508|76.05407906|0.467358389|319.1993829|-9.86770272|0.3377105079999999|5.495780422|10.31797048|0.877434994|-374.9727034|29.86894781|-161.90813300000002|14.74262256|0.0|1.0|1.0|1.0|3.07|17.0|1.08|0.0|83.95|0.0|2.0|3.0|-2.73|23.0|309.32|1.0|1.0|-3.15|0.00186|574.0|0.000704|1.66|9.42e-06|4.1721|2.7|-1046.606458|-1046.5747720000002|538.96|882.87|0.2189|297.18|421.62|0.6897300000000001|-0.1735|-0.20251|0.03168624|-1046.509891|0.99|6.0044|6.0044
5b_a40|0|0.0|8.149890544|0|1|0.604912077|1.616656116|-0.067567502|6.167516491000001|0.064329005|0|0.044946237|-0.096549823|0.7222376540000001|-0.163148971|0.020344828|2|0.006372485|0.007986879|-0.389789991|0|0.537115914|-0.400500595|0.029485257|0.88618123|1|0.881264402|-0.077031845|-0.091267779|0.313503463|0.019116586|-45.78637031|9.59023102|169.18694230000003|0.118735598|59.56617021|4.811137897|49.25022097|0.829018186|52.08187888|48.2348504|0.477304896|442.1045286|-9.187872156|0.1709818139999999|6.521443259|12.47657231|0.913161214|-275.6361647|22.09185326|-330.1175669|6.2955085660000005|1.0|0.0|0.0|0.0|3.13|14.0|2.89|1.0|84.17|0.0|2.0|3.0|-5.43|21.0|338.21|0.0|1.0|-4.84|3.69e-06|0.00125|1.44e-05|4.14|5.65e-06|3.9759|5.62|-2096.782087|-2096.767375|515.23|847.01|0.3005|311.84|411.1|0.59928|-0.15999|-0.23068|0.01471235|-2096.757832|64.0|7.1938|7.1938
17f_a50|0|0.0|7.934155233999999|1|1|1.349854916|4.305828452|-0.2208117919999999|5.82008293|0.022892513|1|0.03135101|-0.167275895|2.187498662|-0.125733326|-0.132773563|2|0.0129274519999999|-0.247590736|-0.204651539|1|0.758335704|-0.132153434|-0.2257632789999999|0.8314734309999999|1|0.911458734|-0.047333916|-0.074859564|0.333180181|0.016414675|-46.03121141|10.09339793|6.382846132999999|0.088541266|54.44410182|6.206439227000001|82.90209608|0.721122105|55.9791334|39.19906437|0.472769049|560.4567739|-10.14694362|0.278877895|7.200480876|13.65716648|0.896702|-537.7880119|22.88344084|-271.9363523|9.947921993|1.0|1.0|1.0|1.0|3.81|20.0|2.09|0.0|116.81|0.0|1.0|6.0|-3.58|29.0|384.48|1.0|1.0|-4.12|0.000266|102.0|7.57e-05|2.83|4.15e-07|4.0664|2.5|-1219.2481369999998|-1219.220465|653.63|1146.22|0.1708|304.9|564.52|0.6573899999999999|-0.16784|-0.20148|0.0276719|-1219.02507|398.0|6.4001|6.4001
12a_a32|1|3.442930603|7.765993078999999|0|0|0.609420757|0.0|0.087371302|5.733341277|-0.057200812|0|0.036711712|-0.0134169989999999|2.136609567|-0.463563696|-0.074344282|3|-0.001662219|-0.0852122769999999|-0.583507277|0|0.788133615|-0.018578911|-0.125149165|0.8966299409999999|1|0.788702323|-0.085324121|-0.109151429|0.288267255|0.016535497|-68.06885478|10.31184223|111.9735444|0.211297677|131.7691491|6.430656017|62.28768050000001|0.667706375|81.41372467|63.52154605|0.456641145|491.8493928|-11.99645651|0.332293625|7.083688576|13.03685125|0.840404348|-551.8369996|28.81034388|-209.1696096|13.34486989|1.0|1.0|1.0|1.0|3.45|19.0|1.1|0.0|110.47|1.0|1.0|7.0|-6.01|27.0|397.52|0.0|1.0|-4.5|9.78e-07|0.000389|3.17e-05|3.39|2.23e-08|3576.0|4.63|-1880.771042|-1880.734215|667.68|1114.3|0.2908|346.71|548.66|0.7025600000000001|-0.14827|-0.20049|0.03682626|-1880.600043|25.0|7.6021|7.6021
1k_a5|1|2.9020229360000003|6.605297921|0|0|1.427567903|0.0|-0.216088148|4.59511985|-0.064652321|2|0.026339869|-0.095857885|0.0|-0.120771321|-0.011848312|1|0.003708988|0.019611905|-0.254495542|2|0.567806811|-0.011552666|-0.022280685|0.851987765|0|0.7836926809999999|-0.078995018|-0.074297856|0.425724957|0.010892351|-38.00629774|5.571869083999999|165.11680719999998|0.216307319|110.6497654|2.850231839|0.498979532|0.724954458|47.83775802|45.98095096|0.48165588|400.8898627|-7.881781385|0.275045542|6.710535795|12.9461019|0.929220303|-291.6259112|21.25369168|-230.14624|9.83146028|1.0|1.0|1.0|1.0|2.71|23.0|2.29|0.0|90.44|0.0|1.0|3.0|-3.97|24.0|316.33|1.0|1.0|-4.3|0.000106|0.0336|4.970000000000001e-05|3.16|4.99e-09|4.7221|3.1|-1050.548505|-1050.51717|533.8|890.76|0.6242|262.56|398.63|0.53086|-0.1798799999999999|-0.22504|0.03133456|-1050.468159|48.0|7.3188|7.3188
33_a20|0|0.0|6.842683282|0|0|1.4175014119999998|1.915285809|-0.188733405|4.727387819|0.023539095|2|0.0388043479999999|0.148855442|2.0219022580000003|-0.078557022|-0.062750442|1|0.008780074|-0.036258691|-0.1771816269999999|2|0.616352201|-0.0854333469999999|-0.10978034|0.802353442|1|0.9493896|-0.058927252|-0.069838312|0.399354817|0.012738882|-45.72654913|8.340767701|8.680600701|0.0506104|33.13709773|5.46110745|64.93395624|0.759356182|54.60811436|46.92331405|0.465855239|621.611679|-11.3769728|0.240643818|8.062843544|15.094865900000002|0.8721516570000001|-568.84864|22.88265911|-339.6262863|8.881565237|1.0|0.0|1.0|1.0|3.39|27.0|2.61|0.0|121.62|0.0|1.0|4.0|-5.6|31.0|401.46|0.0|1.0|-5.53|2.48e-06|0.000997|2.98e-06|4.47|2.04e-10|5443.0|4.07|-1275.852801|-1275.823229|689.51|1174.95|0.6157|227.79|563.98|0.27375|-0.15959|-0.21788|0.02957286|-1275.662457|34.0|7.4685|7.4685
11d_a31|1|3.39688681|7.765993078999999|1|1|0.610136352|0.0|0.064475882|5.733341277|-0.116385886|0|0.0388738739999999|0.016799834|0.0|-0.848545873|-0.078235092|2|-0.006496772|-0.096447723|-0.574318121|0|0.819298311|-0.057505249|-0.13169885|0.868115289|0|0.585212816|-0.134031221|-0.134048091|0.197166451|0.034417775|-82.06512842|21.07078977|296.2476128|0.414787184|253.9354598|12.89967697|91.25756269|0.6817705409999999|98.8237718|103.1255906|0.4816588089999999|358.2711594|-15.29068277|0.318229459|7.885647873|15.21323794|0.929231204|-703.3714074|36.63453013|-222.5622569|16.75864338|1.0|1.0|1.0|1.0|3.6|16.0|1.26|0.0|102.13|0.0|1.0|7.0|-5.48|27.0|385.44|0.0|1.0|-4.2|3.33e-06|0.00128|6.26e-05|3.17|5.83e-07|3.8009|4.87|-1598.7152199999998|-1598.671315|650.64|1077.69|0.2642|326.2|551.86|703.0|-0.15822|-0.19226|0.04390452|-1598.546288|0.03|7.5229|7.5229
7c_a8|1|3.17138259|7.05012252|0|0|1.400027586|1.4416758790000002|-0.244222944|4.844187086|-0.025233184|1|0.043533333|0.0493777859999999|0.0|-0.382994379|-0.118915929|1|0.004301963|-0.047874|-0.328286221|1|0.718994164|0.0092411059999999|-0.196826366|0.795846675|0|0.848923958|-0.080277893|-0.089778346|0.292274414|0.0306012339999999|-56.2991566|19.18974586|49.43944876|0.151076042|94.73836511|12.03370912|75.43825735|0.626902145|76.40286308|69.53125754|0.492823119|532.3522286|-13.23925183|0.373097855|7.700542366|15.18314943|0.971698707|-635.4840877|33.67700028|-159.15828340000002|20.10370648|0.0|1.0|0.0|1.0|3.44|23.0|1.82|0.0|112.76|0.0|1.0|5.0|-5.0|30.0|398.41|0.0|0.0|-4.67|1e-05|0.00399|2.14e-05|3.37|1.73e-08|4.6061|5.01|-1331.8206369999998|-1331.793312|662.05|1116.53|275.0|269.17|579.97|0.62361|-0.1318599999999999|-0.20658|0.02732536|-1331.625743|18.59|4.7307|4.7307
14_a1|1|3.3674017380000003|7.423568444|1|1|1.430935835|0.0|0.043282217|5.351858133|-0.175408303|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.0492229479999999|1|-0.008385698|-0.020716495|-0.567791164|1|0.838928085|-0.08530265|-0.083341531|0.805877431|0|0.593170871|-0.12658238|-0.122581374|0.206941175|0.033047776|-72.59355177|19.5711254|161.1772893|0.406829129|240.9270705|11.59015807|104.2594419|0.753357398|87.02320758|94.53410059|0.47517581|351.2799603|-16.24082222|0.246642602|7.46120838|14.21658628|0.905399978|-730.8369997000001|36.40268318|-300.0800645|14.42965582|1.0|1.0|1.0|1.0|3.25|23.0|1.54|0.0|106.85|0.0|1.0|4.0|-4.52|29.0|384.39|0.0|1.0|-4.25|3.03e-05|0.0116|5.660000000000001e-05|2.7|2.03e-08|3.8344|4.57|-1292.588129|-1292.55322|621.08|1049.56|0.4442|323.35|464.08|0.6572600000000001|-0.1336|-0.19322|0.03490867|-1292.415211|94.0|7.0269|7.0269
12f_a36|1|3.50900085|7.412764017000001|2|2|1.297042537|0.0|-0.066269699|5.351858133|-0.032343041|2|0.039061728|0.10938259|0.0|-0.40641518|-0.06756661|1|0.0045625|-0.101854847|-0.438198895|1|0.902377067|-0.109793154|-0.1188384119999999|0.8700396090000001|0|0.8435569079999999|-0.071035495|-0.100276611|0.3416917479999999|0.01784834|-66.16123807|11.77610852|43.53853176|0.156443092|103.2191714|7.769727312|0.835268043|0.7803018709999999|76.51015325|58.64442871|0.464240353|556.5681681|-15.59012402|0.219698129|7.416874811|13.84366076|0.8665086190000001|-873.0469447999999|30.28188764|-369.879252|10.34891518|1.0|0.0|1.0|0.0|4.94|17.0|2.45|0.0|133.52|0.0|1.0|6.0|-4.61|31.0|409.49|1.0|0.0|-4.57|2.48e-05|0.0102|2.6600000000000003e-05|3.47|4.38e-08|5.2106|3.87|-1311.57896|-1311.550167|699.88|1195.77|0.4374|237.95|545.55|0.37095|-0.15011|-0.20046|0.02879265|-1311.345557|11.0|7.9586|7.9586
2_a47|0|0.0|0.0|0|0|1.381899691|0.0|-0.002024001|0.0|-0.13117284|2|0.027058824|-0.004557357|1.454085483|-0.3581612489999999|-0.013580367|0|-0.006079384|-0.017113434|-0.444853768|2|0.916092248|0.115527282|-0.0253134039999999|0.728066943|1|0.847324011|-0.083455669|-0.095655954|0.482748996|0.008511123|-47.65477123|4.240150185|99.5619537|0.152675989|76.06154148|2.112397382|0.958043241|0.784978115|55.81329383|45.81686991|0.433425706|422.1277419|-9.131190896|0.215021885|5.308758149|9.369924133|0.764993595|-356.116445|23.34938746|-283.9460863|8.158522603|1.0|1.0|1.0|1.0|2.58|22.0|2.39|0.0|96.54|0.0|1.0|3.0|-5.46|24.0|313.35|1.0|1.0|-5.11|3.46e-06|0.00109|7.75e-06|4.52|1.51e-08|3.7181|3.49|-1010.540464|-1010.505024|536.13|902.07|0.2143|333.46|371.19|0.69102|-0.15446|-0.20731|0.03544055|-1010.412694|631.0|6.2|6.2
12bg_a36|1|3.434779148|7.412764017000001|2|2|1.29692796|0.0|-0.040957653|5.351858133|-0.044573523|2|0.044197531|0.057879142|0.0|-0.414822602|-0.0206090089999999|1|-0.00097037|-0.101451485|-0.4459167329999999|1|0.884841888|-0.023460562|-0.033696875|0.892249657|0|0.840610352|-0.075439837|-0.102664465|0.543472602|0.019606406|-70.42534258|13.44952052|107.3347739|0.159389648|109.3374477|9.22604612|14.85588272|0.747867728|83.78068847|65.19942617|0.46245521|576.6383913|-17.39163005|0.252132272|7.549463377|14.04434294|0.860310096|-869.5815023|33.900544700000005|-340.0625449|13.35534589|1.0|0.0|1.0|0.0|4.75|17.0|2.99|0.0|133.77|0.0|1.0|5.0|-5.08|31.0|450.32|1.0|1.0|-5.18|8.27e-06|0.00372|6.55e-06|3.93|1.74e-08|3.8944|4.42|-2152.13793|-2152.104584|703.94|1186.75|0.4409|318.36|554.7|0.69395|-0.15743|-0.21166|0.03334656|-2151.975577|15.0|7.8239|7.8239
12a_a5|1|2.981252568|7.139660336|1|1|1.338814635|0.0|-0.256282289|5.209486153|0.043132749|2|0.023108466|-0.0036987359999999|0.0|-0.09350376|-0.032601907|1|0.008649556|-0.057691345|-0.175245466|2|0.762866363|0.1121034509999999|-0.063558439|0.829536345|0|0.894590896|-0.058605038|-0.067680123|0.337539208|0.0081891369999999|-41.59124655|5.032443973|13.74268646|0.105409104|64.77671525|3.0925714930000003|0.0|0.746785093|50.40529807|41.04680832|0.457755771|549.7500455|-9.830359239|0.253214907|8.741980056000001|16.12184989|0.844187448|-511.1786804|21.42066499|-303.31208710000004|8.814051518|0.0|1.0|1.0|1.0|3.06|23.0|2.17|0.0|119.38|0.0|1.0|5.0|-4.27|29.0|381.47|1.0|0.0|-4.59|5.37e-05|0.0205|2.56e-05|3.38|1.4800000000000003e-09|4.6865|2.91|-1202.02622|-1201.990542|667.31|1140.24|0.4794|264.55|508.81|0.50831|-0.17152|-0.21228|0.03567816|-1201.8082029999998|19.0|7.7212|7.7212
8a_a31|1|3.28085223|7.765993078999999|1|1|0.610138387|0.0|-0.039027368|5.733341277|-0.158899731|0|0.043817204|-0.1480271209999999|0.0|-0.586331322|-0.01861065|2|-0.009293513|-0.054025775|-0.520051508|0|0.938325481|0.0502030679999999|-0.030149254|0.895174844|0|0.594139864|-0.122293189|-0.136459435|0.272259026|0.0375544779999999|-67.46619355|18.56711239|131.2406629|0.405860136|200.6591816|9.179668678|465.4559302|0.666437359|82.32407724|79.02944672|0.4512945479999999|293.7455749|-10.19199103|0.333562641|5.83708559|10.63792161|0.822471411|-366.9116769|30.93264504|-164.57484340000002|14.85788369|0.0|1.0|1.0|1.0|3.34|16.0|0.36|0.0|83.83|0.0|2.0|3.0|-3.57|22.0|314.36|0.0|1.0|-3.11|0.000269|0.0846|0.000773|1.56|4.62e-06|3.8097|1.53|-1347.541429|-1347.507102|538.75|872.11|0.2604|325.45|396.15|0.7027100000000001|-0.1587599999999999|-0.18869|0.03432763|-1347.446223|0.79|6.1024|6.1024
8c_a12|0|0.0|0.0|1|1|1.283851303|0.0|0.1948786139999999|0.0|-0.055163114|3|0.038787879|-0.106633503|0.0|-0.447739674|-0.07003012|0|-0.00160589|-0.210669119|-0.606245231|2|0.905486734|-0.10899871|-0.130288596|0.8425863029999999|0|0.840397446|-0.067004282|-0.101988384|0.239216075|0.019604202|-52.04233846|10.00357546|83.24714315|0.159602554|81.4415307|5.104595615|0.0|0.764449832|61.66383178|44.19432689|0.472503372|428.8355831|-9.958505349|0.235550168|5.670223821|10.74930819|0.8957467170000001|-398.3402139|25.52931025|-269.8853937|9.621493319|0.0|1.0|0.0|1.0|3.91|18.0|2.02|0.0|98.07|0.0|1.0|3.0|-3.47|24.0|314.34|1.0|1.0|-3.72|0.000339|107.0|0.0001899999999999|2.5|7.24e-08|4.3598|2.76|-1022.77302|-1022.750382|551.66|909.19|466.0|284.38|402.43|0.53657|-0.15571|-0.2227699999999999|0.02263772|-1022.663298|0.04|7.3979|7.3979
