molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|n5aRing|n5aHRing|AATSC7i|MATS1c|GATS1are|BIC2|MATS8s|SIC2|RASA|FNSA3|FNSA5|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GRAV|PPSA1|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|BBB|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
7l_a46|0.0|0|0|0.256706467|1|7.727094485|1|-0.2644255789999999|-0.00090473|5.533389489|0.017668261|2|0.04006734|-0.203375108|1|1|-0.331246137|-0.1082221709999999|0.659888413|0.7746144629999999|-0.1237456669999999|0.825629852|0.907148114|-0.0565894359999999|-0.06289606|-27.30136533|-30.34397256|5.5935102720000005|8.13531199|0.092851886|-0.022013621|2.698568452|51.39110437|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|1920.310099|437.65027010000006|-424.8156159|1246.417766|-5.1237682730000005|4046.614178|156.9538706|-168.5385796|629.6635476|375.721552|7.878766604|1.0|0.0|1.0|0.0|3.04|2.64|0.28|17.0|-6.29|43.6|1.89|0.0|0.0|0.0|2.0|-3.18|3.0|-6.22|290.36|1.0|1.0|-3.72|0.000668|0.0001889999999999|0.0548|0.0|0.0|0.000151|-0.03324|4.5464|2.42|4.5464|-915.5830363|879.87|272.71|0.2024|414.82|0.68834|-915.446686|-0.18993|3.3119|-915.493986|1.94|5.7122|5.7122
14b_a50|0.0|1|1|0.0|2|7.934155233999999|2|-0.092558007|-0.003935732|5.82008293|0.0228205129999999|2|0.030219907|-0.068176984|2|2|-0.106938404|-0.306633966|0.74726683|0.7887047979999999|0.030057537|0.831689551|0.904076348|-0.050362464|-0.076674952|-33.02344264|-50.27694576|14.70317076|25.31245624|0.095923652|-0.025558317|9.64109526|192.8987555|-1.533499045|-21.65397937|-16.75898192|47.72661339|2967.872393|592.81677|-1005.538915|2984.248708|-10.98912227|6737.145102|237.8403928|-180.03459850000002|1577.857852|825.4425942|14.30797341|1.0|1.0|1.0|0.0|4.64|3.64|0.35|20.0|-6.86|66.99|2.32|2.0|0.0|0.0|7.0|-4.6|5.0|-6.5|441.52|1.0|0.0|-4.78|2.51e-05|1.6800000000000002e-05|0.0074099999999999|0.0|0.0|6.12e-05|-0.02486|5.2834|3.05|4.0775|-1431.037684|1253.87|304.07|0.1637|533.25|0.55594|-1430.72987|-0.16874|5.3711|-1430.7933859999998|6.58|5.1818|5.1818
9d_a40|0.0|0|0|0.0|1|7.515889085|0|0.007834411|-0.003961493|5.4161004020000005|-0.022152094|0|0.045555556|0.153818743|2|2|0.259969752|-0.4887998529999999|0.601831605|0.7572844040000001|-0.3969541689999999|0.8221990920000001|0.941627612|-0.060319196|-0.071656839|-31.08478865|-36.92750973|5.539796446|108.1468558|0.058372388|-0.031613312|2.854868966|50.47044708|-1.074852592|-16.01918037|-16.29154841|36.6245851|2109.570685|485.2567189|-553.912646|336.6614768|-8.395657932|4401.742338|68.83858806|-377.6610668|639.3115126|346.9019309|4.49467719|1.0|1.0|0.0|0.0|3.25|3.63|0.06|20.0|-7.0|58.43|4.07|1.0|0.0|0.0|2.0|-6.13|2.0|-4.62|325.82|1.0|1.0|-5.65|7.37e-07|2.23e-06|0.000727|0.0|0.0|3.3e-05|-0.06906|4.6073|4.7|3.3464|-1677.540538|892.69|370.51|0.4888|446.84|0.4557199999999999|-1677.429981|-0.13875|6.2032|-1677.48058|107.0|6.9706|6.9706
4_a18 (SD-208)|0.0|0|0|0.0|0|0.0|2|0.055002235|-0.012457606|0.0|-0.113324634|3|0.040864198|-0.020226647|0|0|-0.047745689|-0.564165402|0.773173718|0.83508768|-0.058455902|0.904723479|0.77909674|-0.077885485|-0.099573708|-40.10670787|-51.27494074|10.90456851|103.6318511|0.22090326|-0.034985357|5.615248385|0.0|-1.2944582059999998|-20.652731600000003|-18.01551972|51.01127638|2395.526727|401.1916387|-666.5742296|1822.914738|-9.276994128|5348.394288|204.9329964|-105.0785813|1107.212786|363.2306414|18.35993987|0.0|1.0|1.0|1.0|2.77|2.54|0.0|22.0|-8.15|76.48|2.02|1.0|0.0|0.0|3.0|-4.29|6.0|-6.31|352.75|0.0|1.0|-4.38|5.12e-05|4.14e-05|0.0146|0.0|0.0|2.49e-06|-0.09992|5.1755|2.58|3.2777|-1542.276332|895.83|378.26|0.2761|396.17|0.4646|-1542.15786|-0.13588|3.4629|-1542.207472|0.08|7.0969|7.0969
38_a18|0.0|0|0|0.0|0|7.03438793|2|0.059724697|-0.00575311|4.844187086|-0.009006798|1|0.035478927|-0.066676644|0|0|-0.0993372269999999|-0.498932552|0.745084567|0.719168079|-0.03302891|0.751875124|0.8310704529999999|-0.076974444|-0.082256123|-61.25359673|-65.45657441|6.675707878|100.7046282|0.1689295469999999|-0.0322355079999999|5.3122971560000005|74.46052717|-2.385427574|-48.74349112|-25.65190078|67.92930461|3162.36475|661.3370874|-1898.240658|1855.157022|-20.41289434|7261.130718|94.75345803|-606.2584549|2154.819559|1228.492038|5.701753365|1.0|0.0|1.0|3.0|4.53|0.0|0.34|18.0|-10.33|85.29|3.7|3.0|1.0|0.0|10.0|-6.98|3.0|-5.55|508.65|0.0|1.0|-6.11|1.05e-07|7.85e-07|0.000399|0.0|1.0|2.38e-08|-0.0483699999999999|3.2241|8.95|3.2241|-1611.60375|1515.64|384.55|0.5147|734.93|0.69235|-1611.133158|-0.13229|1.9877|-1611.206669|91.0|7041.0|7041.0
4S4k_a46|0.0|0|0|0.173180233|1|7.825245291|1|-0.050636784|-0.0049602|5.587248657999999|-0.088084767|1|0.0510113959999999|-0.104665424|1|1|-0.158788415|-0.3860697829999999|0.78837943|0.7477594870000001|-0.003017362|0.787615341|0.891734458|-0.089589915|-0.0860536609999999|-47.49082053|-45.61628327|4.1078333030000005|172.7607401|0.1082655419999999|-0.030477338|2.177526049|0.0|-1.46291223|-25.17446332|-16.15576699|51.59865384|2105.538282|472.7005375|-775.4768155|1729.18312|-8.564028983|4719.2906570000005|70.01975807|-390.0516264|893.4991504000001|519.5743695|3.807172093|1.0|0.0|1.0|1.0|3.8|3.03|0.33|17.0|-6.61|50.94|2.84|1.0|0.0|0.0|2.0|-4.82|3.0|-5.46|333.43|1.0|1.0|-4.83|1.5e-05|1.4800000000000002e-05|0.0049299999999999|0.0|0.0|8.28e-05|-0.02074|5.2854|4.52|4.0774|-1053.415665|997.07|304.07|0.2623|487.43|0.5716|-1053.202208|-0.17396|2.2655|-1053.255345|197.0|6.7055|6.7055
9_a4|0.0|0|0|0.0|1|7.535296702|1|-0.211556011|-0.00136737|5.4161004020000005|0.016639331|2|0.040449735|-0.019160308|1|1|-0.030976753|-0.172904817|0.625717993|0.801082857|-0.151437311|0.861113198|0.937102792|-0.052625548|-0.069566741|-28.63837014|-37.85762102|4.918284148|13.6577411|0.062897208|-0.025885299|2.676487872|45.21212204|-1.113067849|-15.58475436|-14.08655666|33.55665428|2359.945586|509.9632679|-605.7219363|2012.840082|-7.665782805|5387.230364999999|112.7072422|-318.7769026|763.9415367|489.7528555|5.859985199|1.0|1.0|1.0|0.0|3.18|3.37|0.19|21.0|-8.16|43.6|3.15|2.0|0.0|0.0|2.0|-4.76|3.0|-5.56|360.84|1.0|1.0|-5.15|1.73e-05|7.06e-06|0.00255|0.0|0.0|2.49e-06|-0.05256|4.7284|3.87|4.0137|-1489.533032|999.93|308.91|0.1217|430.12|0.5182100000000001|-1489.36688|-0.16948|4.4343|-1489.41872|48.0|7.3188|7.3188
12x_a30|0.0|0|0|0.0|0|7.412764017000001|2|0.044575215|-0.006008579|5.351858133|-0.0335688279999999|2|0.043383838|-0.0606216429999999|1|1|-0.104089964|-0.458718546|0.842068099|0.782514704|-0.062251445|0.829606585|0.848844277|-0.071909912|-0.091725339|-47.48669555|-60.57208434|9.745611551|74.51844582|0.151155723|-0.035022402|6.435648079|0.0|-1.926232129|-31.35848986|-23.12752311|57.2323071|2845.417984|560.5459455|-1272.013771|2374.777496|-15.27257668|6359.545311|115.7782842|-428.8071293|1542.442557|754.3941655|7.953787804|1.0|1.0|0.0|1.0|4.86|0.0|0.21|17.0|-7.38|81.65|3.25|2.0|0.0|0.0|5.0|-6.04|4.0|-5.64|426.54|0.0|0.0|-5.46|9.14e-07|3.48e-06|0.00148|0.0|0.0|1.76e-05|-0.05093|3.4831|4.45|3.4831|-1654.3784|1211.79|355.95|0.1517|558.65|0.68589|-1654.1207|-0.14783|4.3702|-1654.183467|22.0|7.6556|7.6556
17a_a50|0.0|1|1|0.0|2|7.934155233999999|1|-0.186084687|-0.002225436|5.82008293|0.009691515|1|0.034142512|-0.109740063|2|2|-0.178162528|-0.220088198|0.762224122|0.784570118|-0.204032723|0.828062407|0.92300665|-0.045404408|-0.078525868|-29.57096251|-51.14229199|8.977762705|10.03717565|0.07699335|-0.0280449529999999|5.847033234|84.34722313|-1.570517366|-19.25896309|-18.26510428|38.54872522|2644.4486420000003|601.1353533|-1022.84584|1799.721631|-11.89568886|5718.782531|136.82673369999998|-377.6260803|1294.887612|719.3470265|7.556715901|1.0|1.0|1.0|0.0|3.95|3.29|0.29|20.0|-6.76|51.77|2.3|1.0|0.0|0.0|6.0|-3.99|4.0|-6.44|398.5|1.0|0.0|-4.44|0.000102|3.61e-05|0.0144|0.0|0.0|6.97e-05|-0.03196|4.2478|3.08|4.0477|-1258.540058|1204.79|306.31|0.1817|616.93|0.6244|-1258.260865|-0.16724|6.2113|-1258.322582|85.0|7.0706|7.0706
12b_a5|0.0|0|0|0.0|0|6.605297921|2|-0.297319874|-0.001991527|4.59511985|0.023224044|3|0.0252713179999999|-0.021265946|0|0|-0.033279992|-0.1708042239999999|0.8417504029999999|0.779793078|0.066588785|0.819417554|0.827613693|-0.066227158|-0.068586754|-41.76622313|-43.25430513|10.44150403|138.67264319999998|0.172386307|-0.020455699|6.584944956|0.0|-1.165974822|-26.33991037|-12.90040679|52.20772716|2602.046823|521.9354031|-735.3231872|1071.500538|-8.135654442|5501.255679|296.16656780000005|-38.31786425|1386.409228|727.8586176|16.27715102|0.0|0.0|1.0|1.0|4.05|0.0|0.33|18.0|-7.67|50.28|1.54|1.0|0.0|0.0|5.0|-2.3|6.0|-7.57|397.47|1.0|0.0|-3.45|0.00503|0.000359|143.0|0.0|0.0|8.5e-06|-0.10395|4.6156|2.24|1.4454|-1276.8943800000002|1149.51|857.76|0.2345|505.16|0.42949|-1276.940335|-0.06212|5.7174|-1276.9984029999998|42.0|7.3768|7.3768
