molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|AATSC1s|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|nFaHRing|FNSA3|FPSA3|PNSA3|PPSA3|RPSA|TPSA_x|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomShapeIndex|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|IC50|pIC50|pIC50
5_a15|0.0|0|0|0.0|0|0.0|0|1.419941043|0.0|-0.222657379|-0.008878343|-0.044921287|2|0.035982906|0.0729170329999999|-0.54157893|0.000420839|0.0118220069999999|0|0|0.003194793|-0.187421793|-0.28098676|-0.340979744|2|0.8384601770000001|0.704479781|0|-0.06128567|0.032616864|-45.57134103|24.25353664|0.125945852|93.65193084|-54.73655332|18.03465935|0.5089899720000001|-1.583914356|-33.88634094|-20.30656983|69.82487767|0.486150431|2940.77098|649.9369163|-1177.78105|2179.757502|-15.09973885|0.946094849|365.1095806|-875.7848531999999|39.89581513|-13.36968593|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|1.0|3.68|24.0|-9.65|4.92|6.01|3.0|0.0|127.97|0.0|1.0|-6.16|33.0|-5.55|1.0|1.0|0.000304|0.0|0.0|-0.03714|4.3299|3.6257|-1470.779775|737.16|1272.84|286.35|629.67|0.62664|0.70244|0.0199|-0.14839|4.3576|-0.18553|13.0|7.8861|7.8861
19c_a38|0.0|0|0|3.332128134|0|7.412764017000001|2|1.297043851|0.0|-0.085545751|-0.008177185|-0.04575843|2|0.04508642|0.02192428|-0.449745181|-0.004442319|-0.0431896509999999|1|1|-0.002443797|-0.09493054|-0.20848518|-0.434836855|1|0.7163622890000001|0.846765471|0|-0.0918007669999999|0.024315945|-57.79749770000001|15.30924906|0.240808376|151.612258|-42.92996714|9.638658988|0.7187071909999999|-1.949429829|-36.38913762|-24.06579196|73.10674676|0.477803802|2967.98627|477.9848537|-1227.35539|2660.812979|-15.15175311|0.914989047|177.10114030000005|-772.7394084|33.48483537|-275.39483110000003|1707.726604|640.025745|1.0|1.0|1.0|3.0|3.0|17.0|-6.92|3.17|2.42|1.0|0.0|130.41|0.0|1.0|-4.35|32.0|-7.13|0.0|0.0|19.0|0.0|0.0|-0.05691|5.8832|3.8322|-1424.3899310000002|652.09|1138.6|210.74|517.28|0.2597|0.6279899999999999|0.1417|-0.15612|2495.0|-0.21303|9.0|8.0348|8.0348
19a_a22|0.0|0|0|0.0|1|6.842683282|0|1.422917238|1.572240489|-0.000989685|-0.009145283|-0.144269652|2|0.0389622639999999|-0.020553065|-0.548716971|-0.002607064|0.016501913|1|1|-0.001355145|-0.035723406|-0.0611158559999999|-0.496053375|2|0.72808001|0.777600172|1|-0.090145161|0.024839714|-67.26339083|18.53458775|0.255645265|190.7541925|-52.17015658|13.82990734|0.684706189|-1.967744721|-50.18975739|-26.21905704|85.79797858|0.4347718229999999|3167.140147|555.4133255|-1468.267194|2607.322873|-19.56380872|0.76919701|235.2620007|-1095.573288|38.29242013|-275.6435167|2144.375527|781.8210659|1.0|1.0|1.0|2.0|2.27|27.0|-8.76|3.08|3.41|1.0|0.0|132.15|0.0|1.0|-4.38|35.0|-7.67|0.0|0.0|0.0193|0.0|0.0|-0.06398|5.0397|3.5809|-1537.0241640000002|740.07|1277.14|246.01|567.03|0.34556|0.66605|0.0623|-0.1508|4.5288|-0.21478|48.0|7.3188|7.3188
12l_a36|0.0|0|0|3.426092687|0|7.412764017000001|2|1.297044247|0.0|-0.0944961519999999|-0.0076430169999999|-0.008712073|2|0.039061728|0.128666217|-0.4203659179999999|-0.000143196|-0.0452558729999999|1|1|0.001194592|-0.098598933|-0.175397741|-0.428857427|1|0.8707354620000001|0.8174432229999999|0|-0.079972189|0.0220227089999999|-52.05361632|14.33450402|0.15618077|101.6575135|-45.67788557|9.330278191|0.7379583590000001|-1.940683231|-33.88151556|-24.7683114|66.38812034|0.4619814279999999|2843.514589|549.2389652|-1263.1838810000002|2385.788754|-16.12160667|0.8586718990000001|170.5619816|-822.2019402000001|33.56329135|-309.7725155|1711.727859|642.3830552000001|1.0|1.0|1.0|2.0|0.0|17.0|-6.66|2.75|1.76|1.0|0.0|128.47|0.0|1.0|-4.57|31.0|-6.68|0.0|0.0|0.0111|0.0|0.0|-0.0510399999999999|3.8619|3.8619|-1325.15957|686.83|1155.07|321.05|530.75|0.6925|0.6925|0.4524|-0.15869|5392.0|-0.20973|0.02|7699.0|7699.0
28_a47|0.0|1|1|0.0|1|6.842683282|0|1.4201653580000002|1.408016295|-0.053792245|-0.009689834|-0.23494583|2|0.038387534|0.023813594|-0.436042548|-0.013020816|0.0467853809999999|1|1|-0.010153352|-0.046265509|-0.126992366|-0.435485503|2|0.635684951|0.832144916|1|-0.1132830309999999|0.026080156|-67.33744077|15.50250691|0.394650655|234.5873429|-37.72858603|9.214964819|0.65225927|-1.601689367|-40.02656804|-22.66839387|82.83994768|0.472690874|2616.1598940000003|359.8303775|-952.0725426|1337.037733|-13.47449501|0.8964208090000001|206.7032519|-565.9287905|34.75365534|-181.0112167|1459.653524|428.5826478|0.0|1.0|1.0|2.0|2.03|21.0|-6.92|2.49|3.84|1.0|0.0|99.2|0.0|1.0|-3.67|28.0|-7.22|0.0|1.0|0.0816|0.0|0.0|-0.05471|3675.0|3675.0|-1335.722248|599.88|995.5|337.37|461.73|0.69002|0.69002|0.2996|-0.15049|6.0847|-0.2052|25.0|7.6|7.6
3o_a32|0.0|1|1|3.644417045|0|7.773594467000001|1|0.609420753|0.0|-0.022603806|-0.006253394|-0.014299905|1|0.035643275|-0.064818511|-0.306416317|-0.001411347|-0.090297882|3|3|0.000243592|-0.061774721|-0.11221537|-0.483580522|0|0.90022001|0.8214857240000001|1|-0.073742105|0.012519666|-42.51640563|7.218280399|0.162219176|93.52833522|-31.73171751|4.161738248|0.7850948190000001|-1.4318674340000002|-24.51306152|-18.34557429|49.73468603|0.455089918|2488.133192|483.0270239|-825.5508427999999|2469.87467|-10.57723917|0.835165165|123.9047338|-475.9757626|23.36733582|-328.7458915|1051.530112|541.0877621000001|1.0|1.0|1.0|2.0|3.06|19.0|-7.27|6.39|4.2|1.0|0.0|112.07|0.0|1.0|-5.72|26.0|-6.17|0.0|1.0|0.00072|0.0|0.0|-0.05413|3.5333|3.5333|-1805.473626|620.56|1049.14|350.9|464.85|0.70216|0.70216|0.2851|-0.14652|3.2729|-0.20065|0.24|6.6198|6.6198
6_a27|0.0|0|0|2.6137160880000003|1|6.823286122000001|0|1.404458667|1.7996617540000002|0.1718757239999999|-0.007874167|-0.072298665|2|0.042942943|-0.237047381|-0.330715016|0.00526746|0.081320966|1|1|0.0058042269999999|-0.1044763|-0.179319226|-0.541168953|2|0.678057835|0.787663648|1|-0.0786267609999999|0.020552125|-38.92545695|10.17466399|0.214952384|106.4156743|-22.06430895|5.03713293|0.774820398|-1.35037664|-19.27068071|-17.14169035|49.10012093|0.47262982|2196.1151210000003|388.6505938|-668.5259238|1193.992326|-8.486272674|0.896201262|111.4788253|-330.96463430000006|22.12343713|-272.1086175|862.8140479|373.9912084|0.0|0.0|0.0|1.0|2.49|21.0|-6.67|3.48|2.79|0.0|0.0|92.65|0.0|1.0|-3.62|24.0|-6.55|0.0|1.0|0.0768|0.0|0.0|-0.04793|5.5447|4.1391|-1043.806618|526.9|896.68|223.61|401.49|0.3366099999999999|0.61083|163.0|-0.17007|2.7521|-218.0|1.0|9.0|9.0
17_a15|0.0|0|0|0.0|0|0.0|0|1.43568899|0.0|-0.046866421|-0.0071363569999999|-0.071708785|2|0.036595745|-0.033968088|-0.442454151|0.0016674189999999|-0.0141953639999999|0|0|0.0032452509999999|-0.170008473|-0.263401148|-0.461493931|2|0.769376831|0.721188086|0|-0.052869016|0.012890299|-40.50376584|9.875456386|0.119540765|91.58201681|-46.86345493|7.56573889|0.653207369|-1.596893495|-31.03055741|-20.73567196|50.37922222|0.474165158|2852.085573|674.5333498|-1223.4046460000002|2104.883413|-15.88591693|0.90173781|265.6831633|-937.2690986|31.74439379|-234.74904|1872.919233|822.8625688|1.0|1.0|1.0|1.0|3.99|24.0|-9.72|4.89|6.0|2.0|0.0|131.36|0.0|1.0|-5.93|33.0|-5.58|1.0|1.0|0.00052|0.0|0.0|-0.03936|4.1461|3.8006|-1413.857182|752.08|1298.37|299.04|663.81|0.68787|0.7045100000000001|0.0377|-0.15573|5.1268|-0.19509|12.0|7.9208|7.9208
13i_a6|0.0|0|0|3.399318783|0|7.412764017000001|1|1.430639411|0.0|0.0359494989999999|-0.0149593219999999|-0.154502515|1|0.042560386|0.035242754|-0.852681372|-0.011017781|-0.032549318|1|1|-0.007703306|-0.045418125|-0.073507141|-0.560601136|1|0.8744720490000001|0.7771558909999999|0|-0.120457274|0.031178586|-80.75190740000001|20.90143854|0.375953882|252.0312146|-58.20996912|14.01186473|0.783597763|-2.460999087|-54.13430283|-31.12829557|101.6533459|0.429711323|2906.257489|418.3467934|-1649.799665|2880.134143|-20.86772478|0.753497905|145.07130039999998|-1105.989413|39.72483975|-380.2354072|2105.416507|673.8038326000001|1.0|1.0|1.0|3.0|2.7|23.0|-8.5|4.16|3.54|1.0|0.0|120.17|0.0|1.0|-5.03|32.0|-6.81|0.0|1.0|0.00398|0.0|0.0|-0.0481399999999999|3.6668|3.5614|-1426.518007|703.43|1196.21|338.12|553.67|0.7004600000000001|0.70517|19.0|-0.1464|7.8342|-0.19454|21.0|7.6778|7.6778
19b_a38|0.0|0|0|3.26554965|0|7.412764017000001|2|1.297044256|0.0|-0.122009545|-0.008652352|-0.115864198|2|0.044392765|0.013765516|-0.467227005|-0.006877664|-0.0697981979999999|1|1|-0.004358975|-0.098027247|-0.250781298|-0.443325632|1|0.653741315|0.8295290000000001|0|-0.086013549|0.0224393089999999|-53.38447032|13.92699891|0.270689433|168.00390359999997|-44.51968852|8.643817972|0.7596369590000001|-2.0803120280000003|-33.13317155|-25.82299118|67.31146923|0.478948837|2897.652112|452.6479704|-1291.149559|2436.66785|-16.02708787|0.91919733|149.181772|-801.3543933999999|33.99385836|-322.28833010000005|1699.692918|593.6088758|1.0|1.0|1.0|3.0|2.37|17.0|-7.12|3.55|3.11|1.0|0.0|125.65|0.0|1.0|-4.25|31.0|-6.81|0.0|1.0|0.0238|0.0|0.0|-0.05031|5363.0|3.7509|-1431.38073|646.81|1111.29|231.18|485.64|0.38952|0.69411|0.1945|-0.15414|5.5253|-0.20445|12.0|7.9172|7.9172
40_a47|0.0|1|1|0.0|1|6.823286122000001|0|1.420389717|1.715145925|-0.246203395|-0.004181351|-0.0934645509999999|3|0.041396825|-0.056839794|-0.179798097|0.002212256|0.056362705|1|1|0.003634698|-0.147591116|-0.338113214|-0.2636225|3|0.63155995|0.836942961|1|-0.060416547|0.02047837|-32.5926343|11.04737121|0.1877663219999999|101.2934265|-24.22401965|5.959674083|0.573656733|-1.082087641|-17.58259718|-14.59371996|43.64000551|0.4574577489999999|2313.85811|438.171933|-583.7487984|868.5333132000001|-7.872806386000001|0.843174422|229.9974239|-314.91225539999994|25.43981292|-79.47051169|1017.592517|388.178924|0.0|1.0|1.0|1.0|2.91|21.0|-7.08|2.96|4.04|0.0|0.0|94.28|0.0|1.0|-3.26|25.0|-6.78|0.0|1.0|183.0|0.0|0.0|-0.05086|4.0176|3.7236|-1123.144637|571.5|947.27|308.6|444.47|0.67615|0.68492|0.2612|-0.15231|4.7542|-0.20317|4.0|8.4|8.4
14h_a23|0.0|1|1|0.0|2|7.423568444|0|1.197963488|3.309480899|0.043538466|-0.005921293|0.006191846|2|0.04255787|0.0316908439999999|-0.307907256|0.009895793|-0.034313725|2|2|0.009266617|-0.0686282459999999|-0.131709531|-0.4460845129999999|2|0.708395022|0.79263722|1|-0.063825076|0.021982565|-43.02851162|14.81983413|0.076569426|51.620282|-36.84086528|9.990985411|0.753100584|-1.621174834|-29.00823506|-22.76950546|57.84834575|0.48032488|3010.418229|622.5428245|-1092.936262|2371.16134|-15.35036053|0.924279155|166.45047749999998|-736.8173055999999|30.23434844|-341.2621515|1451.248725|646.2584547|0.0|1.0|1.0|1.0|3.2|26.0|-7.47|3.4|3.89|1.0|1.0|125.0|0.0|1.0|-5.68|32.0|-6.62|0.0|0.0|0.0009109999999999|0.0|0.0|-0.08532|4.0506|3.6689|-1722.148272|699.86|1190.62|306.09|569.53|0.67365|0.69933|0.2727|-0.15209|9.7146|-0.2374099999999999|5.0|8.3468|8.3468
12o_a36|0.0|0|0|3.444418304|0|7.412764017000001|2|1.297042837|0.0|0.01340619|-0.0100574069999999|-0.079716275|2|0.040770975|0.03842353|-0.613501857|-0.00233752|-0.010904454|1|1|-0.000472698|-0.126068378|-0.213993335|-0.5110239679999999|1|0.859938421|0.799869816|0|-0.082048664|0.023402195|-59.0895896|16.85373064|0.2407887189999999|173.4105814|-55.10596064|12.13767506|0.666462845|-2.018706878|-42.554984000000005|-25.50573629|75.94332024|0.469699889|3009.981519|546.7667677000001|-1453.826968|2778.220342|-18.36865355|0.885724665|240.2059039|-1047.013252|38.27030489|-239.7655413|2181.407379|757.7532208|0.0|0.0|1.0|3.0|0.0|17.0|-6.93|2.38|1.65|1.0|0.0|138.06|0.0|1.0|-3.54|33.0|-7.66|0.0|0.0|128.0|0.0|0.0|-0.05456|5.1927|3.8726|-1440.926241|728.07|1240.51|238.77|560.88|0.36719|0.67273|0.2888|-0.15695|4.9237|-0.21151|0.04|7.3979|7.3979
17a_a22|0.0|0|0|0.0|1|6.842683282|0|1.2689202|1.866510299|-0.0422459529999999|-0.005149751|-0.092107225|2|0.043274232|-0.054347074|-0.314134834|0.00220634|-0.005724389|1|1|0.0027615779999999|-0.076790454|-0.126659773|-0.3626566539999999|2|0.830653242|0.7562495659999999|1|-0.072161482|0.0140462319999999|-49.30541729|9.597299109|0.140522986|96.01444244|-41.03828927|6.55749888|0.710958975|-1.758088991|-33.68866751|-21.07439877|58.9027164|0.485943988|2910.035347|587.2505892999999|-1201.24073|1934.881271|-14.39939974|0.945313306|197.4916253|-820.7657853999999|29.64221498|-288.28178110000005|1689.6062539999998|784.2697099|1.0|0.0|1.0|1.0|-3.24|27.0|-9.13|3.93|4.93|2.0|1.0|128.29|0.0|1.0|-4.75|33.0|-6.39|0.0|0.0|0.0078099999999999|0.0|0.0|-0.15124|4.8502|1.3971|-1408.279257|731.19|1253.39|255.63|577.52|0.46268|0.71303|0.0085|-0.06214|3.0156|-0.21338|82.0|7.0862|7.0862
16b_a23|0.0|1|1|0.0|2|7.423568444|1|1.197960988|3.418247774|0.031073244|-0.005139233|-0.013240238|3|0.037664609|0.054655144|-0.3237716519999999|0.0116350769999999|-0.05237763|2|2|0.011266252|-0.123524943|-0.224300431|-0.401493392|2|0.75524548|0.7740962779999999|1|-0.050637391|0.018614978|-37.52431601|13.79443768|0.071420236|52.92522904|-43.49333918|10.22222569|0.738977|-1.821661419|-27.80700713|-23.2745413|51.31875369|0.4870072789999999|3370.826124|688.1144512|-1349.923395|2256.698672|-17.24735864|0.949345397|193.4284005|-1000.346801|31.49562341|-354.1828792|1826.746158|896.9989312000001|1.0|1.0|1.0|1.0|0.0|26.0|-7.33|3.02|4.1|2.0|1.0|146.03|0.0|1.0|-6.19|36.0|-6.3|0.0|0.0|0.000314|0.0|0.0|-0.07352|1.6041|1.6041|-1877.615701|772.84|1340.35|772.92|607.92|0.95419|0.95419|0.3456|-0.13741|9.2317|-0.21093|96.0|7.0191|7.0191
4_a4|0.0|0|0|0.0|1|7.535296702|1|1.343865392|2.156628874|-0.183963421|-0.001234337|0.0159331539999999|2|0.036775068|-0.0214610589999999|-0.058013858|0.011760626|-0.037623601|1|1|0.0112367389999999|-0.048056862|-0.078747188|-0.157959343|2|0.646069495|0.77276149|1|-0.049768752|0.008570112|-25.64211031|4.4155367960000005|0.0667239759999999|34.37786704|-18.24679326|2.274995377|0.793717973|-1.099796957|-13.21145879|-13.17774406|30.05764711|0.398500394|2221.6122010000004|480.8472306|-566.6429946000001|1883.42405|-6.78950447|0.66251148|106.2816773|-291.9486922|16.60255217|-302.661743|713.9097433|462.1867149|1.0|0.0|1.0|0.0|3.09|21.0|-7.57|4.52|4.41|1.0|0.0|100.08|0.0|1.0|-4.12|25.0|-5.79|0.0|1.0|0.0248|0.0|0.0|-0.04865|5.382000000000001|4.0261|-1029.93716|566.84|960.45|230.37|394.06|0.55032|0.6010800000000001|67.0|-0.1696599999999999|2.6814|-0.21831|78.0|7.1079|7.1079
7a_a8|0.0|0|0|3.1730222510000003|1|7.535296702|1|1.4000287219999998|1.4494883790000002|-0.11821781|-0.010269971|-0.0407248439999999|1|0.041123188|-0.017706371|-0.482688615|0.000736369|-0.019054799|1|1|0.002028046|-0.019499132|-0.032195997|-0.412963751|1|0.7168594159999999|0.764224152|0|-0.102174163|0.035405618|-60.00793116|20.79408196|0.281589625|165.38046830000002|-35.14198015|12.2125771|0.733884399|-1.833849114|-35.24327197|-25.04740346|80.80201312|0.477611327|2715.360649|421.9297638000001|-1077.038349|1702.719465|-14.71059634|0.914283468|156.2924154|-632.5556427|34.12990316|-274.7254012|1467.585836|488.0169522|0.0|1.0|1.0|1.0|3.06|23.0|-7.27|3.96|3.49|1.0|0.0|105.83|0.0|1.0|-4.86|29.0|-6.33|0.0|1.0|0.00522|0.0|0.0|-0.07616|4.5808|3.0704|-1291.287017|605.72|1031.61|270.66|494.48|0.61257|0.70367|0.1575|-0.12889|9.9646|-0.20505|24.73|4.6068|4.6068
16_a3|0.0|0|0|0.0|0|6.823286122000001|0|0.605020428|0.0|0.183636734|-0.010031024|-0.186717242|2|0.045993266|0.027762972|-0.371147877|-0.010377537|-0.018884246|1|1|-0.008409607|0.0032314229999999|0.008045619|-0.614173961|2|0.659478546|0.767641592|1|-0.108919585|0.012203576|-53.7971544|6.027544549|0.302520871|149.4199775|-24.42909382|2.977102266|0.8296818009999999|-1.401937796|-26.57128935|-20.36587865|59.82469895|0.484889078|2184.788331|344.4962834|-692.4398741|1290.305313|-10.05903863|0.941329444|84.12292796|-342.00731349999995|24.54661368|-325.670405|834.5848652000001|328.71459869999995|1.0|1.0|1.0|1.0|2.59|21.0|-7.16|4.74|4.57|0.0|0.0|90.44|0.0|1.0|-4.98|23.0|-5.89|0.0|1.0|0.0033799999999999|0.0|0.0|-0.07095|3.2208|3.2208|-1371.360243|520.28|856.09|384.94|368.22|0.6944100000000001|0.6944100000000001|0.3866|-0.13195|2.8688|-0.2029|42.0|7.3768|7.3768
2_a27|0.0|0|0|0.0|2|6.605297921|0|1.402655014|3.250529415|0.09890645|-0.0065894809999999|-0.0609613559999999|2|0.0427777779999999|-0.196529806|-0.276758209|0.009338889|0.017751479|1|1|0.00988756|-0.21066171|-0.361571905|-0.475677812|2|0.639024713|0.796022385|1|-0.058444848|0.019809599|-29.42169804|9.972342226|0.153130039|77.08713259|-20.65736087|5.020172886|0.6684621829999999|-1.141195033|-14.81116546|-14.73047548|39.39404027|0.4424192289999999|2210.487938|426.3224749|-574.4885436000001|1270.627585|-7.415462877|0.7934621359999999|166.89932209999998|-289.2030522|22.03636323|-169.6109632|859.4181658|373.9912084|0.0|1.0|0.0|0.0|3.06|21.0|-5.84|2.43|2.49|0.0|0.0|92.58|0.0|2.0|-3.19|24.0|-6.69|0.0|1.0|204.0|0.0|0.0|-0.04933|4.1624|4.1624|-1043.7984|538.57|906.48|297.87|420.7|0.55857|0.55857|0.3217|-0.16769|4.7049|-0.21702|13.0|7.8861|7.8861
8a_a31|0.0|0|0|3.28085223|0|7.765993078999999|1|0.610138387|0.0|-0.039027368|-0.015034136|-0.158899731|0|0.043817204|-0.1480271209999999|-0.586331322|-0.013230176|-0.01861065|2|2|-0.009293513|-0.054025775|-0.094359203|-0.520051508|0|0.938325481|0.837862749|0|-0.122293189|0.0375544779999999|-60.46233433|18.56711239|0.405860136|200.6591816|-33.35560699|9.179668678|0.666437359|-1.501053781|-29.89286568|-20.61467025|79.02944672|0.4512945479999999|2128.209198|293.7455749|-742.1281291|1443.955093|-10.19199103|0.822471411|164.9149565|-366.9116769|30.93264504|-164.57484340000002|1113.575221|324.7430642|0.0|0.0|1.0|2.0|2.05|16.0|-5.33|4.16|2.54|0.0|0.0|83.83|0.0|2.0|-3.57|22.0|-7.11|0.0|1.0|0.0846|0.0|0.0|-0.02993|3.8097|3.8097|-1347.507102|538.75|872.11|325.45|396.15|0.7027100000000001|0.7027100000000001|0.2604|-0.1587599999999999|3.7141|-0.18869|0.79|6.1024|6.1024
13_a1|0.0|0|0|3.409865599|0|7.423568444|1|1.430073963|0.0|-0.046530797|-0.012199718|-0.144782061|1|0.036382114|0.1129747169999999|-0.597786194|-0.008672236|-0.084271845|1|1|-0.005924486|-0.07665159|-0.120034915|-0.485427571|1|0.87703849|0.76714213|0|-0.111667908|0.033737733|-64.94184903|19.62059449|0.320539533|186.4137189|-36.08180773|11.41059871|0.7082629840000001|-1.813613202|-37.76773325|-23.43842502|84.56244352|0.477212829|2555.623166|395.1486144|-1054.729126|1786.445642|-13.63090514|0.912824292|169.6632599|-613.3907313999999|33.09282789|-242.2358135|1489.177255|505.2124255|1.0|1.0|1.0|2.0|2.83|23.0|-7.94|4.75|3.87|1.0|0.0|104.88|0.0|1.0|-4.29|28.0|-6.48|0.0|1.0|0.0192|0.0|0.0|-0.04962|4.0783|3.4483|-1238.367298|613.52|1035.04|304.01|472.52|0.65363|0.69782|0.3535|-0.13921|2.7595|-0.18883|0.26|6585.0|6585.0
12n_a30|0.0|0|0|0.0|0|7.412764017000001|2|0.604984682|0.0|0.0304762079999999|-0.007311044|-0.064217094|2|0.040899471|-0.1144447669999999|-0.387485343|0.001139238|-0.087019298|1|1|0.002064369|-0.0541804029999999|-0.120380857|-0.464204099|1|0.669561738|0.815003426|0|-0.083120674|0.017064818|-52.4873066|10.77573511|0.221849786|140.0890685|-41.97990569|6.804436105|0.799403208|-1.895062322|-33.14358793|-24.42151771|63.2630417|0.4701566479999999|2848.910641|491.3700419|-1196.654368|2349.172094|-15.42118984|0.887350282|126.6686716|-755.6383024|30.54968688|-378.1217671|1496.934657|618.6004214|1.0|1.0|1.0|1.0|0.0|17.0|-6.9|4.25|3.18|2.0|0.0|127.24|0.0|1.0|-5.39|30.0|-6.02|0.0|0.0|0.00171|0.0|0.0|-0.05076|5.1999|3.4859|-1674.978015|669.57|1131.65|238.43|506.94|0.27009|0.6854|0.1489|-148.0|5.3143|-0.19876|0.01|7983.0|7983.0
16a_a23|0.0|1|1|0.0|2|7.423568444|1|1.197962324|3.411338761|-0.0147904689999999|-0.0054940769999999|-0.013055633|3|0.046283951|0.062601621|-0.302174246|0.012426121|-0.071458049|2|2|0.01226642|-0.181609054|-0.335065967|-0.380779155|2|0.765869487|0.8323974470000001|1|-0.041095401|0.021379172|-26.53751114|13.80568132|0.0651629059999999|42.07919382|-30.39361398|8.915071155|0.585920722|-1.311960953|-17.13669862|-16.6118386|40.34319246|0.49525751|2924.629647|603.6746046|-847.2037686000001|1801.957216|-10.72715788|0.981208279|267.3932664|-547.0850515999999|28.35168303|-110.9672657|1445.935835|668.3493171|1.0|0.0|1.0|1.0|0.0|20.0|-5.27|2.03|2.52|1.0|1.0|125.79|0.0|2.0|-4.58|31.0|-7.02|0.0|0.0|0.0111|0.0|0.0|-0.0502|1.6239|1.6239|-1685.8794469999998|670.04|1172.0|763.49|555.21|0.96307|0.96307|0.2066|-0.07625|11.6254|-0.12645|39.0|7.4037|7.4037
12ab_a30|0.0|0|0|0.0|0|7.412764017000001|2|0.604983638|0.0|-0.026189286|-0.008528077|-0.030346359|2|0.043854875|0.018023992|-0.520212725|0.003529389|0.01563558|1|1|0.005111479|-0.12254489|-0.207153446|-0.384942092|1|0.8397577820000001|0.809127478|0|-0.082740301|0.031588146|-58.23149599999999|22.23130678|0.200246511|140.93076580000002|-49.97135112|15.64609074|0.603952976|-1.815983471|-40.9825333|-22.42218278|80.46280277|0.461207954|3118.431712|562.8556061|-1278.064418|2618.234172|-15.78042667|0.856003642|278.7324985|-899.4843201|37.1257096|-146.321375|2116.165447|792.3440337000001|1.0|1.0|1.0|1.0|0.0|17.0|-6.83|3.94|2.63|2.0|0.0|140.26|0.0|1.0|-5.61|33.0|-6.39|0.0|0.0|0.00113|0.0|0.0|-49.0|4.8018|3.4919|-1804.79081|753.75|1275.19|258.2|613.7|0.46561|0.68324|0.1511|-0.14772|6.9089|-0.19672|17.0|7.7825|7.7825
7f_a8|0.0|0|0|2.961566988|1|7.05012252|0|1.394802504|1.2793830309999998|-0.139912829|-0.005338193|-0.073219554|0|0.044814815|0.034392285|-0.234880498|0.00112124|0.0260356679999999|1|1|0.00084936|0.052081992|0.141285105|-0.381574707|0|0.515235986|0.7051689170000001|0|-0.091890536|0.0138113419999999|-52.28313554|7.858266077000001|0.229770733|130.7330978|-28.45850692|4.471132824|0.880922225|-1.670259798|-29.74763659|-23.17880348|60.14140162|0.4513917389999999|2534.956113|438.23883319999993|-950.3309426|1854.738581|-13.18808857|0.822794279|67.75191165|-540.7116315000001|26.31197491|-433.4681077|1078.790971|446.5544107|1.0|1.0|0.0|1.0|3.23|23.0|-8.46|5.52|5.49|2.0|0.0|101.89|0.0|1.0|-5.68|28.0|-5.27|0.0|1.0|0.00078|0.0|1.0|-0.07492|3.8187|3.4810000000000003|-1285.168078|584.99|991.61|324.68|495.55|0.7024199999999999|0.6987399999999999|0.1502|-0.14506|8.7098|-0.21998|35.65|4.4479|4.4479
SB431542_a8|0.0|0|0|3.172627551|1|7.535296702|1|1.401734117|1.4114120369999998|-0.007805495|-0.014434378|-0.1950388569999999|1|0.041909722|0.096884952|-0.721718925|-0.0075336219999999|-0.0453332859999999|1|1|-0.005306541|0.055198015|0.089375589|-0.494976661|1|0.76592324|0.762577159|0|-0.128342313|0.034730361|-76.82006387|20.78806656|0.434670151|260.1744351|-44.6389196|12.44282236|0.7608280590000001|-2.242727845|-45.98111161|-29.18257067|97.60813043|0.476091179|2801.428659|338.38158389999995|-1342.398251|1947.072021|-17.46740332|0.908729075|143.157805|-803.5005528|38.35632812|-312.2404091|1764.391093|529.053307|0.0|1.0|1.0|2.0|2.75|23.0|-6.76|3.13|2.72|1.0|0.0|109.21|0.0|1.0|-4.4|30.0|-7.04|0.0|0.0|16.0|0.0|0.0|||||||||||||||79.08|4.1019|4.1019
