molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|MATS1i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|FNSA5|PNSA3|RNCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|WNSA2|DPSA4|FPSA5|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|pIC50|pIC50
6e_a40|0.0|0|0|0|0.0|1|1|2|0.604892975|1.75595616|0.128035402|-0.0148450439999999|6.401917197|-0.074872854|0|0.039160494|0.744550501|-0.69771706|0.103594243|10.30179954|-0.205140551|2|-0.002992481|-0.020200684|-0.037027769|0|0.685858263|0.8361555479999999|-0.011405885|0.8988141140000001|1|-0.1164147119999999|-70.52033811|185.1473293|-2.095464821|84.95203628|80.95296505|0.441911406|3075.060648|-1377.032062|3854.417113|-21.04453212|0.133008824|12.49434084|7585.605268000001|-904.9148811|36.93694043|0.012858969|1588.2884390000002|1.0|0.0|1.0|1.0|0.21|14.0|5.02|3.72|2.12|2.0|2.0|125.15|1.0|2.0|-7.76|30.0|5.0|476.98|1.0|1.0|-5.58|2.6e-06|0.00124|4.4|1.0|2.35e-05|0.0112|-0.09682|8.35|2.9549|-2831.156883|1149.77|419.59|0.67187|0.3625|-0.1195799999999999|8.3311|7.7447|7.7447
4p_a46|0.0|0|0|0|0.122217892|1|1|1|1.134636977|2.102855253|-0.060700883|-0.004413243|5.587248657999999|-0.038295755|0|0.046533816|0.0|-0.233901882|-0.205494852|10.93681929|-0.120823841|1|0.004453195|0.066453878|0.101602982|0|0.7471162309999999|0.747019097|-0.078703563|0.7911509609999999|0|-0.083274013|-56.55658053|175.10295019999998|-1.498932241|51.05047787|60.7522985|0.423511708|2257.769185|-850.1003902999998|2219.4587530000003|-9.642472876|0.12579435|10.10955243|5167.091582|-482.1236438|19.44852199|0.006740305|972.4260993|1.0|0.0|0.0|1.0|0.3|17.0|4.85|5.25|3.2|2.0|0.0|107.89|0.0|1.0|-5.8|27.0|3.0|357.45|0.0|1.0|-5.4|4.03e-06|0.00144|4.77|0.0|8.95e-08|3.2e-05|-0.0393|4.89|3.9958|-1129.618646|1058.54|226.26|0.70138|0.0763|-0.16819|3.6961|6.4672|6.4672
5b_a50|0.0|0|1|1|0.0|2|1|1|1.397278957|4.190114953|-0.253064589|-0.00141071|5.82008293|-0.003549558|1|0.034845679|2.473508677|-0.062071259|-0.137595558|10.9325725|-0.113846154|2|0.012290091|-0.1052449509999999|-0.175158017|1|0.693611382|0.791163321|0.019856551|0.855527513|1|-0.061164973|-20.90908698|6.656963127999999|-0.8563096170000001|42.76068675|27.10933752|0.4462435279999999|2183.545404|-435.0258302|1452.442728|-5.525088972000001|0.411250953|10.01036188|4577.809819|-221.0035589|18.47246431|0.023005632|738.8985723999999|1.0|1.0|1.0|0.0|0.1|20.0|3.15|4.02|2.4|0.0|0.0|96.89|0.0|2.0|-3.48|24.0|2.0|312.37|0.0|1.0|-4.19|6.47e-05|0.0202|3.06|0.0|1.37e-06|0.0004269999999999|-0.0256899999999999|2.81|4.0222|-990.5849031|922.49|220.09|0.66968|0.1094|-0.16683|4.4181|4.9126|4.9126
13_a4|0.0|0|0|0|0.0|1|1|1|1.399843898|2.050136054|-0.210975191|-0.000990136|5.4161004020000005|-0.019846488|1|0.044357639|0.0|-0.04158572|-0.14818661|10.94205723|-0.0963182119999999|1|0.012019888|-0.0161529719999999|-0.025714912|1|0.645708528|0.744134785|-0.215746851|0.7986239909999999|0|-0.068249548|-24.48959182|11.85953992|-1.091992764|37.12083496|28.77218157|0.4289448289999999|1910.137758|-534.6588788|1439.176684|-6.7122666220000005|0.137460473|9.917593683|3983.972795|-261.7783983|15.89399858|0.007566425|619.8659446|1.0|0.0|0.0|0.0|0.16|17.0|4.18|4.15|2.9|1.0|0.0|90.06|0.0|1.0|-4.09|22.0|2.0|287.36|0.0|1.0|-4.42|3.77e-05|0.0108|3.75|0.0|6.28e-07|0.00018|-0.03168|3.87|4.1733|-898.3381672|893.0|276.68|0.59537|0.1282|-0.17204|2471.0|5.3979|5.3979
2_a49|0.0|0|0|0|0.0|1|1|1|1.3438506419999998|2.12788659|-0.084499704|-0.004112807|5.4161004020000005|-0.03981057|2|0.038726287|1.999073077|-0.189189114|-0.041202373|10.92973199|0.005918367|1|0.004580676|0.032521855|0.055400364|2|0.802447754|0.79056501|0.084099874|0.851413454|1|-0.079176085|-44.066695|226.4450566|-1.187641272|49.26352575|49.7010488|0.454163307|2244.518609|-605.2008985|1550.010086|-7.34284831|0.284594011|10.38394173|4874.364109|-308.399629|20.14177325|0.017498253|845.9544764000001|0.0|1.0|1.0|1.0|0.15|21.0|3.28|3.7|1.88|0.0|1.0|99.52|0.0|1.0|-3.53|25.0|3.0|327.38|0.0|1.0|-3.89|0.000129|0.0421|2.43|0.0|1.51e-07|4.94e-05|-0.04372|1.79|3743.0|-1045.981819|941.6|227.02|0.68172|0.0572|-0.1555099999999999|4.8986|7.2291|7.2291
12x_a36|0.0|1|0|0|0.0|0|2|2|0.629399587|0.0|-0.058295476|-0.007008724|5.351858133|-0.046532211|2|0.041767677|0.0|-0.40650598|-0.054184069|10.33556641|-0.023932402|1|0.003710345|-0.07550872|-0.133106642|1|0.906423012|0.828393514|0.056034339|0.8792981679999999|0|-0.104368092|-49.60929169|81.81168174|-1.982993755|81.1499815|61.46507585|0.458792701|2884.428214|-1333.8579550000002|2391.802689|-16.61514211|0.223146459|16.20591229|6193.10485|-897.2176739|31.79630645|0.016274369|1717.000548|1.0|0.0|1.0|2.0|0.17|17.0|3.33|2.61|2.51|1.0|0.0|135.47|0.0|1.0|-4.85|31.0|4.0|427.52|0.0|0.0|-4.51|3.09e-05|0.0132|3.19|0.0|8.95e-08|3.83e-05|-0.05311|3.37|3.7364|-1670.419519|1209.23|319.74|0.68112|0.0199|-0.1517099999999999|5.6653|8.1549|8.1549
8_a15|0.0|0|0|0|0.0|0|0|0|1.419941362|0.0|-0.208657545|-0.009853404|0.0|-0.044406425|1|0.039181287|0.0|-0.5025236129999999|-0.010146469|10.95880707|-0.014489333|0|0.003160815|-0.203104439|-0.295062413|1|0.85357243|0.7059441040000001|0.0937475619999999|0.742680335|0|-0.118293578|-41.7821007|104.8781037|-1.419522941|89.80283608|61.44071008|0.389723411|2393.276181|-828.9085544|1919.535904|-9.878130237|0.480572589|9.984825987|5306.2234530000005|-484.0283816000001|32.56759415|0.035495625|1595.8121130000002|1.0|1.0|1.0|1.0|0.19|18.0|3.9|4.95|1.96|2.0|0.0|104.74|0.0|1.0|-5.25|27.0|5.0|366.41|0.0|1.0|-4.81|1.53e-05|0.00562|4.24|0.0|2.69e-08|9.86e-06|-0.02723|3.36|3.7426|-1223.687714|1050.15|279.58|0.70524|0.0155|-0.1558|1.1415|6.9666|6.9666
7f_a8|0.0|1|0|0|0.0|1|0|0|1.394802504|1.2793830309999998|-0.139912829|-0.005338193|4.844187086|-0.073219554|0|0.044814815|0.0|-0.234880498|-0.087673259|10.94343485|0.0260356679999999|1|0.00084936|0.052081992|0.141285105|0|0.515235986|0.7051689170000001|-0.048917705|0.7677336090000001|0|-0.08790841|-52.28313554|53.09327646|-1.670259798|55.85651025|60.14140162|0.4513917389999999|2534.956113|-950.3309426|1854.738581|-13.18808857|0.119077775|14.04331892|5662.145174|-540.7116315000001|26.31197491|0.010262531|1078.790971|1.0|0.0|0.0|1.0|0.0|23.0|5.52|5.49|4.27|2.0|0.0|101.89|0.0|1.0|-5.68|28.0|4.0|373.35|0.0|1.0|-5.5|3.16e-06|0.00118|4.66|0.0|3.5e-09|1.31e-06|-0.07492|6.81|3.4810000000000003|-1285.168078|991.61|324.68|0.6987399999999999|0.1502|-0.14506|8.7098|4.4479|4.4479
33_a47|0.0|0|1|1|0.0|1|0|0|1.409403453|1.758479676|-0.229935275|-0.004263267|4.727387819|-0.085712613|3|0.034691358|1.688794654|-0.183320497|-0.033554816|10.98214099|0.0741098479999999|1|0.003634698|-0.147591116|-0.338113214|3|0.63155995|0.82821379|0.065468525|0.8913954909999999|1|-0.083739854|-32.1568697|30.94680001|-1.088618103|60.65229445|44.11759955|0.4607629339999999|2311.28828|-582.6585971|787.797733|-7.79637597|0.42318652|12.94292541|4889.09585|-311.85503880000005|25.25333652|0.029580684|1010.133461|0.0|1.0|1.0|1.0|0.11|21.0|2.96|4.04|1.52|0.0|0.0|94.28|0.0|1.0|-3.26|25.0|5.0|334.35|0.0|1.0|-3.72|0.000192|0.0643|2.19|0.0|8.339999999999999e-08|2.79e-05|-0.05462|2.06|4.1869|-1123.135036|934.34|296.13|0.67508|0.2566|-0.15985|4.5647|8.4|8.4
6e_a31|0.0|1|0|0|0.0|0|1|1|0.61015618|0.0|0.06650322|-0.016012184|5.733341277|-0.178758575|0|0.037803618|0.0|-0.784597028|-0.008757878|10.31165994|-0.0462850729999999|2|-0.008439437|-0.002840672|-0.004825446|0|0.838789705|0.78240875|-0.071378445|0.841537966|0|-0.130898441|-74.99224589|159.9587946|-2.0943750530000003|93.68572477|94.88738762|0.4782688439999999|2776.836977|-1277.075416|2188.417358|-17.30478148|0.239502096|14.40145519|6053.812282|-778.7151665|37.31693873|0.022744048|1679.262243|1.0|1.0|1.0|2.0|0.1|22.0|5.19|4.0|1.36|1.0|0.0|109.69|0.0|1.0|-5.63|29.0|5.0|404.44|0.0|1.0|-4.66|2.18e-05|0.00883|3.2|0.0|4.67e-08|1.89e-05|-0.05426|4.31|3.3083|-1652.63264|1077.48|374.76|0.70391|0.5103|-0.13418|5.8193|6.4318|6.4318
