molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aRing|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|GRAVp|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
14a_a23|0|1|1|0.0|7.423568444|0|0|1.197964042|3.39397765|-0.0056795759999999|5.351858133|0.042992424|0.757767133|-0.289658385|0.012219066|-0.071842463|2|-0.137733142|-0.446724057|2|0.72792508|0.7556436440000001|0.6888154959999999|1|0.918677038|-0.055677662|-0.08032517|0.225448915|-35.20994211|12.33442989|38.57988954|0.081322962|51.42774883|-32.12331106|7.800158102999999|80.54176247|-1.606503401|-22.26638099|-21.61564087|2816.527785|-1015.935121|0.219241211|14.2658736|0.8602383659999999|6269.28943|1301.215093|601.8533922|10.56592489|1.0|1.0|1.0|1.0|1.0|2.86|0.05|26.0|-7.41|4.02|105.02|1.0|0.0|1.0|5.0|-5.47|4.0|0.0|0.0|-4.96|3.38e-06|0.00139|1.1e-05|3.58|0.0|3.92e-08|1.6100000000000002e-05|-0.07379|3.7119|3.47|-1629.928331|-1629.90669|665.5|1134.02|334.02|0.3764|334.02|516.58|0.6289100000000001|0.6289100000000001|-1629.690316|-0.15002|5.8775|-0.2238099999999999|8.3962|3.0|8.5498
13n_a6|1|0|0|0.0|6.842683282|0|0|1.4290206230000002|0.0|-0.010884884|4.727387819|0.04393617|1.628408574|-0.631323273|-0.0093684169999999|-0.033224059|1|-0.118693789|-0.57091314|2|0.870730542|0.7767360059999999|0.82642394|1|0.70890216|-0.100363599|-0.109392959|0.307384948|-68.88015714|12.18768927|90.97854097|0.29109784|199.7822434|-51.52585133|8.36448634|103.012404|-2.078466222|-47.27287681|-26.41600355|2952.259627|-1426.464192|0.251032943|16.76075427|0.889160748|6386.381394|1904.575345|724.3873672999999|13.66031867|1.0|1.0|1.0|1.0|3.0|1.9|0.08|27.0|-9.67|3.76|122.47|0.0|0.0|1.0|6.0|-4.64|5.0|0.0|1.0|-4.28|2.27e-05|0.00987|5.24e-05|2.43|0.0|2.1499999999999998e-10|9.35e-08|-0.07131|4.8185|4.27|-1423.765005|-1423.714738|727.69|1232.6|369.99|0.9117|257.31|548.09|0.55028|0.64027|-1423.451366|-0.13863|7.1946|-0.20994|10.1967|75.0|7.1249
8d_a12|1|1|1|0.0|6.580639137|1|1|1.283835213|0.0|-0.0076893469999999|4.59511985|0.038347953|2.075171777|-0.376778003|0.000925796|-0.046326855|1|0.016135176|-0.484923957|1|0.8857286320000001|0.751098108|0.8405406040000001|1|0.858710112|-0.077834742|-0.103548595|0.266886187|-43.27410838|6.309558958999999|90.34024296|0.141289888|78.55353315|-32.00762818|3.507952014|0.0|-1.760326118|-24.05928792|-21.74879802|2466.513191|-978.6959108|0.166136296|12.96695233|0.8695567329999999|5255.11762|1173.6881050000002|503.2240425|6.964006932|1.0|1.0|1.0|1.0|2.0|2.23|0.1|21.0|-8.37|2.67|65.96|0.0|0.0|1.0|3.0|-4.58|4.0|0.0|1.0|-4.61|2.64e-05|0.0093|2.43e-05|3.51|0.0|4.23e-09|1.49e-06|-0.05488|4.2383|3.53|-1138.296407|-1138.256361|600.2|1007.85|331.53|0.2871|292.53|433.32|0.6661|0.4997399999999999|-1138.086709|-0.15306|2.1281|-0.20794|3.0277|25.0|7.6021
4d_a49|0|0|0|0.0|7.535296702|1|1|1.343847746|2.097463308|-0.006135653|5.4161004020000005|0.036555556|1.76904838|-0.343596561|0.000607064|0.013451218|1|0.000850823|-0.417231241|2|0.7745859279999999|0.783870915|0.749565191|1|0.752634646|-0.089942837|-0.085966608|0.410804214|-55.40321178|8.392883773|85.21839288|0.2473653539999999|152.3727245|-32.61868996|5.16986937|57.16412513|-1.461432343|-34.12740785|-17.31186002|2658.242991|-900.2167208999999|0.3452719489999999|15.09148245|0.8868392740000001|5915.214567|1374.947536|641.1445234|13.56373757|0.0|1.0|1.0|1.0|2.0|2.68|0.22|21.0|-7.58|2.8|98.72|0.0|0.0|1.0|6.0|-3.13|5.0|0.0|1.0|-3.35|0.000743|296.0|0.0004509999999999|1.45|0.0|2.64e-08|1.05e-05|-0.06309|5.7447|2.99|-1293.333712|-1293.29417|668.09|1144.04|325.87|0.2549|215.82|495.7|0.40593|0.6782100000000001|-1293.049085|-0.15888|4.3005|-0.2219699999999999|5.5765|18.0|7.7447
8_a20 (IN-1130)|1|0|0|0.0|6.842683282|0|0|1.400923668|0.0|-0.009430196|4.727387819|0.0396875|1.622562232|-0.528090969|-0.006620594|-0.0574882679999999|1|-0.083481481|-0.573278819|2|0.811128636|0.760688473|0.7741509329999999|1|0.7274271309999999|-0.09623672|-0.097790028|0.354945501|-63.72828772|10.46873389|336.574332|0.272572869|180.4986934|-42.88223811|6.93243166|89.35267123|-1.858010535|-42.20109173|-23.66117267|2849.395895|-1230.3809789999998|0.251893628|15.46983888|0.932362084|6291.586155|1644.660472|684.5377542|12.55392404|1.0|1.0|1.0|1.0|2.0|2.43|0.08|27.0|-9.63|4.08|110.44|0.0|0.0|1.0|5.0|-4.85|5.0|0.0|1.0|-4.55|1.42e-05|0.00596|2.82e-05|2.87|0.0|2.34e-10|9.86e-08|-0.07014|4.9797|4.53|-1368.412748|-1368.372708|696.06|1192.01|383.5|0.3782|248.98|517.94|0.4377|0.7007399999999999|-1368.118751|-0.13622|3803.0|-0.20636|5.4751|36.0|7.4437
12ac_a36|1|0|0|0.0|7.412764017000001|2|2|1.297043188|0.0|-0.007639626|5.351858133|0.042560386|0.0|-0.450737917|0.000584134|-0.0121300989999999|1|-0.166354116|-0.433636165|1|0.8058720979999999|0.811459853|0.770400825|0|0.779673368|-0.080202334|-0.104391657|0.4712820929999999|-55.68500110000001|14.93372351|118.0445703|0.220326632|152.9742102|-50.32319912|10.36858115|20.70356046|-1.98344149|-38.66245764|-25.03847816|2902.588755|-1377.116299|0.268353853|14.63702516|0.801074136|6378.288017|1882.216294|716.9974499|14.03055543|1.0|0.0|1.0|0.0|2.0|0.0|0.17|17.0|-6.89|2.09|86.27|0.0|0.0|1.0|6.0|-3.81|5.0|0.0|0.0|-3.95|0.000154|0.0653|0.000112|2.36|0.0|1.29e-07|5.4600000000000006e-05|-0.0527399999999999|3.8843|4.84|-1385.606133|-1385.566143|711.77|1200.61|321.25|0.3302|319.2|554.84|0.56186|0.56357|-1385.3211789999998|-0.15675|4.0208|-0.20949|5.4387|13.0|7.8861
8b_a50|1|1|1|0.0|7.860570786|1|1|1.398299046|2.021915391|-0.0045301379999999|5.777652323|0.035718954|1.98971238|-0.1812055289999999|0.006841944|-0.0180233089999999|2|-0.116174481|-0.332085641|1|0.753629415|0.809463375|0.71043578|1|0.845349082|-0.072629787|-0.078068703|0.267094693|-34.79187329|10.30543157|131.417573|0.154650918|74.08248511|-17.91443197|4.93661461|0.0|-1.092961836|-16.66636363|-14.54338619|2143.807599|-523.561903|0.328290204|9.26652151|0.75095166|4446.001554|779.4465792000001|339.5806858|11.63112165|1.0|0.0|1.0|1.0|1.0|1.69|0.06|20.0|-5.94|3.41|59.39|0.0|0.0|2.0|2.0|-3.44|3.0|0.0|1.0|-3.81|0.000359|108.0|0.000154|2.55|0.0|1.16e-06|0.000347|-0.02903|4.5256|2.11|-967.3527447|-967.3160428|515.81|857.53|296.58|0.1717|273.96|353.17|0.5533|0.59283|-967.212701|-0.1724099999999999|3.8213|-0.20144|5.8205|68.0|7.1675
8j_a46|0|0|0|0.214753401|7.727094485|1|1|1.160371125|2.1279894180000003|-0.0017688329999999|5.533389489|0.043903904|0.0|-0.081366324|0.011852046|-0.053618988|1|-0.133413527|-0.229679821|2|0.645146311|0.789844634|0.6109926379999999|0|0.934648421|-0.054707287|-0.068971544|0.308052557|-29.38737046|4.658562801|7.723448142|0.065351579|35.10521457|-19.90219786|2.5024620580000003|64.83187221|-1.103544698|-15.7861518|-13.78596018|2121.846387|-592.7962878|0.177887481|9.817783823|0.747636856|4759.107832|721.0646647000001|453.1959065|4.750680627|1.0|1.0|1.0|1.0|0.0|3.25|0.32|17.0|-7.26|4.55|43.6|1.0|0.0|1.0|2.0|-4.59|3.0|0.0|1.0|-4.83|2.59e-05|0.00878|1.47e-05|3.97|0.0|5.46e-08|1.85e-05|-0.04068|4.9636|3.78|-1414.53151|-1414.50743|576.48|978.4|281.1|0.1728|249.79|493.89|0.50703|0.70121|-1414.349865|-0.18531|5.2361|-0.22599|6.4463|1228.0|5.9108
4e_a49|0|0|0|0.0|7.535296702|1|1|1.343847746|2.085628989|-0.006602016|5.4161004020000005|0.036555556|1.713107022|-0.3631108529999999|-1.8100000000000003e-05|0.018857363|1|-0.060391347|-0.403194204|2|0.7541604690000001|0.803344301|0.731643066|1|0.757062331|-0.09422276|-0.087866673|0.433385455|-57.79309816|10.51443916|313.22432680000003|0.242937669|149.0098632|-33.05708028|6.449206277999999|60.11195021|-1.493733437|-35.44835874|-17.96482878|2675.626006|-916.2062675|0.349671525|15.01788083|0.892633982|5950.361470000001|1408.836153|620.5697596|14.48911428|0.0|1.0|1.0|1.0|2.0|2.89|0.22|21.0|-7.36|2.83|92.93|0.0|0.0|1.0|6.0|-3.28|5.0|0.0|1.0|-3.52|0.000528|211.0|0.000305|1.71|0.0|4.35e-08|1.74e-05|-0.06461|5.7301|3.34|-1313.199448|-1313.158118|660.22|1128.64|327.34|0.2273|216.37|504.63|0.4078199999999999|0.68043|-1312.924353|-0.1585099999999999|3.9718|-0.2231199999999999|4.8707|34.0|7.4685
13d_a6|1|0|0|0.0|7.412764017000001|1|1|1.424214188|0.0|-0.010665225|5.351858133|0.041728395|0.0|-0.607917822|-0.003346018|-0.10528143|1|-0.174259072|-0.49314765|1|0.845481322|0.786837131|0.7995080809999999|0|0.78862121|-0.092581323|-0.110731261|0.19992155|-63.04181168|20.96853949|156.67194009999997|0.21137879|143.9350986|-51.34295409|14.27820079|564.780402|-2.103893962|-42.92734103|-27.03045032|2882.382522|-1432.613867|0.230567155|15.47559904|0.703203572|6185.117192000001|1861.908905|692.8471883999999|12.62632467|1.0|1.0|1.0|1.0|2.0|3.03|0.16|23.0|-9.4|4.57|95.85|0.0|0.0|1.0|6.0|-5.95|5.0|0.0|1.0|-5.27|1.11e-06|0.000471|5.42e-06|4.23|0.0|3.96e-10|1.68e-07|-0.05252|4.85|4.5|-1389.403308|-1389.374844|723.61|1219.11|341.57|0.7905|255.64|598.06|0.58381|0.7007399999999999|-1389.125098|-0.14894|11.0994|-0.20146|14.0012|0.36|6.4437
