molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|SRW07|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|n5aRing|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|PNSA3|PPSA3|RNCS|RPSA|TPSA_x|WNSA5|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|GRAVp|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50
14g_a23|0|1|1|-4.794439428|7.423568444|0|0|1.197957711|3.0793867980000003|-0.014609495|5.351858133|0.0422736629999999|0.653317181|-0.803522236|-0.002390707|-0.030586527|2|-0.2952674819999999|-0.648987099|2|0.598213287|0.796412133|0.575188253|1|0.907334473|-0.072819606|-0.096288005|0.297855753|-51.82254036|13.05300369|95.64648102|0.092665527|65.94601775|-48.76552945|9.289253982|1.5679977319999998|-2.118336119|-36.87984398|-29.55936307|3400.464046|-1507.527516|0.219684185|16.32997765|0.8582074559999999|8005.353973|1931.945357|676.4530574|14.63509796|0.0|1.0|0.0|1.0|1.0|3.79|0.09|26.0|-7.95|6.18|114.25|1.0|0.0|1.0|7.0|-6.89|8.0|1.0|0.0|-6.0|1.29e-07|6.38e-05|1e-06|4.76|0.0|1.12e-08|5.57e-06|-0.08011|3.7042|5.17|-2042.1835260000005|-2042.161409|730.13|1233.48|334.71|0.3478|334.71|583.38|0.56658|0.56658|-2041.934312|-0.1519|7.2913|-0.23201|10245.0|0.01|8.0
12q_a30|0|0|0|-4.76444841|7.412764017000001|2|2|0.60498366|0.0|-0.015322396|5.351858133|0.0438779959999999|0.0|-0.873376576|-0.00695299|-0.021542639|1|-0.226973911|-0.636798458|1|0.613786308|0.816138015|0.593245722|0|0.845745827|-0.087348134|-0.115589613|0.596557166|-59.52322773|10.07866809|82.72757145|0.154254173|105.1162273|-53.67653794|6.868090132000001|0.732186841|-2.427381881|-40.56199584|-31.21009417|3305.289025|-1654.134991|0.179359278|13.96052394|0.900207238|7990.060758|2015.662819|696.6414817000001|11.29774462|1.0|1.0|1.0|0.0|1.0|0.0|0.17|17.0|-7.18|4.78|90.88|0.0|0.0|1.0|7.0|-6.7|8.0|0.0|0.0|-5.92|1.99e-07|9.63e-05|1.2e-06|5.05|0.0|6.61e-08|3.19e-05|-0.05105|5.0573|5.52|-1988.033527|-1987.999444|713.16|1214.92|355.93|0.1817|245.16|537.96|0.34138|0.68516|-1987.781386|-0.14792|5.5755|-0.19897|6.821000000000001|36.0|7.4449
5e_a40|0|0|0|0.0|8.149890544|0|1|0.604912776|1.661964758|-0.004925115|6.167516491000001|0.044526749|0.7768055559999999|-0.162528785|0.009890343|0.029272031|2|0.010397494|-0.391074665|0|0.535506399|0.8092726020000001|0.5087199929999999|1|0.864422751|-0.076883794|-0.089724264|0.0499188609999999|-36.56222854|9.440323938|170.7311133|0.135577249|64.47400829|-20.29110082|4.489363277|51.7148695|-1.076691165|-17.38723451|-17.06741495|1986.384601|-512.0224486000001|0.177640532|12.51197289|0.914944155|4158.984115|622.6260756|264.9899736|6.144645946|1.0|1.0|0.0|0.0|0.0|2.73|0.21|14.0|-4.65|3.74|75.5|1.0|0.0|2.0|3.0|-4.78|3.0|0.0|1.0|-4.25|1.66e-05|0.00505|5.56e-05|3.51|0.0|2.23e-05|0.00678|-0.07231|3.7138|4.99|-1637.197299|-1637.180703|493.19|802.38|333.85|0.5262|333.85|390.33|0.69675|0.69675|-1637.115238|-0.14786|7.87|-0.2201699999999999|10282.0|25.0|7.6021
12au_a36|1|0|0|0.0|7.412764017000001|2|2|0.2992539489999999|0.0|-0.009897048|5.351858133|0.044036281|0.0|-0.613616984|-0.006862238|-0.03802163|1|-0.261631709|-0.515924985|1|0.8183043390000001|0.825565083|0.750657639|0|0.698996981|-0.090166553|-0.110305773|0.284342092|-64.86748076|15.51748637|102.3999102|0.301003019|216.5471227|-57.09017539|11.16356587|26.04051569|-2.206115469|-46.66686194|-27.36414058|3484.987058|-1587.1201529999998|0.283941389|17.67586495|0.97188557|7239.100414|2216.466823|805.2286932|16.56175445|0.0|0.0|1.0|0.0|3.0|0.0|0.17|17.0|-6.87|2.15|123.75|0.0|0.0|1.0|7.0|-3.85|6.0|0.0|0.0|-3.72|0.0001409999999999|0.0668|0.0001889999999999|1.64|0.0|1.36e-07|6.45e-05|-0.0570899999999999|5.1307|6.24|-1876.207937|-1876.156196|752.27|1283.4|334.15|809.0|241.65|618.65|0.58518|0.70395|-1875.89525|-0.15162|6.1367|-0.2087099999999999|8.0814|47.0|7.3279
9n_a24|1|0|0|0.0|6.605297921|0|0|1.388847168|0.0|-0.003323852|4.59511985|0.024179894|0.0|-0.182811885|0.008307337|-0.03088354|1|-0.200646773|-0.225226606|2|0.786587307|0.7584388259999999|0.755793189|0|0.904556598|-0.052106597|-0.0777274979999999|0.331008994|-35.21502941|11.90027964|48.691073|0.095443402|64.50319929|-35.50139138|8.042526681|24.72120326|-1.399094961|-23.79925701|-18.18357165|2542.730334|-945.545726|0.347873491|14.52410167|0.764164944|5356.5828|1449.942171|631.9206508|14.83518955|1.0|1.0|1.0|1.0|1.0|2.6|0.17|23.0|-8.64|4.14|66.93|0.0|0.0|1.0|7.0|-4.14|5.0|0.0|0.0|-4.29|7.2e-05|0.0278|5.14e-05|3.07|0.0|2.31e-09|8.909999999999999e-07|-0.03818|4.9139|2.59|-1239.1274939999998|-1239.095611|686.19|1155.03|302.2|0.2522|252.31|587.05|0.44042|0.63085|-1238.856882|-0.1658099999999999|2.8552|-0.20399|4.8123|19.0|7.7212
15_a10|0|0|0|0.0|7.535296702|1|1|1.277647202|2.124460476|-0.0027892409999999|5.4161004020000005|0.0353864729999999|1.981569297|-0.142251304|0.009882584|-0.05940848|1|-0.136323668|-0.208590561|2|0.682616223|0.808676284|0.635064845|1|0.915526801|-0.059234364|-0.074144604|0.710970489|-35.30133759|11.09373722|33.67392858|0.084473199|50.34268476|-26.33385303|6.61142847|108.7226878|-1.186313662|-21.03820054|-15.04246823|2549.580207|-706.9960069|0.353587352|11.23924661|0.767351752|5769.347123|1093.722422|563.875765|12.47504566|1.0|1.0|1.0|1.0|0.0|3.31|0.23|21.0|-8.3|4.72|52.83|1.0|0.0|1.0|5.0|-4.48|4.0|0.0|1.0|-4.81|3.32e-05|13.0|1.56e-05|3.68|0.0|5.01e-09|1.96e-06|-0.05243|5.7922|3.12|-1604.08794|-1604.057542|641.98|1086.19|326.3|0.4553|214.05|484.05|0.41458|0.68543|-1603.851644|-0.1574|4.5192|-0.20983|6.1563|33.0|7.4815
12ad_a36|1|0|0|0.0|7.412764017000001|2|2|1.297042846|0.0|-0.01083262|5.351858133|0.040787037|0.0|-0.649957196|-0.001148437|0.010723827|1|-0.227404687|-0.478461478|1|0.817851296|0.832674224|0.7767870459999999|0|0.760267769|-0.082404548|-0.107772644|0.423689705|-58.34300549|21.78471426|94.12528108|0.239732231|169.7321223|-54.02363038|15.4237324|81.68309557|-2.047680239|-41.30726219|-25.88878839|3041.082692|-1449.77215|0.343592539|16.772513699999998|0.912420081|6569.653402|2208.646667|735.3783268|20.51012207|1.0|0.0|1.0|0.0|2.0|0.0|0.17|17.0|-6.62|1.67|95.5|0.0|0.0|1.0|7.0|-4.18|6.0|0.0|0.0|-4.08|6.579999999999999e-05|0.0289|8.36e-05|2.53|0.0|2.42e-07|0.000106|-0.05406|5733.0|4.5|-1460.8311199999998|-1460.794632|737.53|1236.64|321.93|0.6073|216.26|588.2|0.27316|0.67215|-1460.5468529999998|-0.15638|5.3349|-0.21044|6.8996|17.0|7.7696
47c_a18|0|0|0|0.0|7.03438793|1|1|1.251176227|0.0|-0.007068829|4.844187086|0.032688172|0.0|-0.537230966|0.0007979619999999|0.028947131|0|-0.320309303|-0.455055055|0|0.784328127|0.758269842|0.7601847759999999|0|0.8128616409999999|-0.0715759629999999|-0.094000037|0.246894346|-57.54296759|12.75381432|67.68084951|0.1871383589999999|150.4485025|-60.75445536|10.25333491|103.416376|-2.350000928|-46.26124419|-25.88035487|3228.879782|-1889.265906|0.251001849|18.73268473|0.958059115|7527.530240999999|2522.390613|1167.054827|13.19009806|1.0|0.0|1.0|1.0|3.0|0.0|0.3|18.0|-9.18|2.87|97.76|2.0|1.0|1.0|12.0|-5.73|4.0|0.0|0.0|-5.09|1.84e-06|0.000947|8.12e-06|3.98|1.0|6.67e-10|3.42e-07|-0.0449|3.1096|7.72|-1664.753129|-1664.721977|850.89|1505.09|398.71|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|-1664.201034|-0.12841|3.3075|-0.17331|3.8573|3.0|8.5229
14y_a23|0|1|1|0.0|7.423568444|0|0|1.197960595|3.3149940630000003|-0.005875443|5.351858133|0.046678487|0.731397292|-0.2996475999999999|0.009174505|-0.031435038|2|-0.125978901|-0.4598871539999999|2|0.719722236|0.802520527|0.64069202|1|0.925252932|-0.057809342|-0.080613242|0.2271539169999999|-39.9727336|13.00274534|39.66769923|0.074747068|51.68445972|-38.54233552|8.990852582999999|82.29531392|-1.612264842|-27.63946733|-23.71943531|3096.562257|-1114.8134599999998|0.21677451|16.00209862|0.948293868|7320.809595999999|1423.362076|665.6233736|11.42772654|0.0|1.0|0.0|1.0|1.0|3.49|0.05|26.0|-8.57|5.32|105.02|1.0|0.0|1.0|5.0|-6.77|4.0|0.0|0.0|-6.13|1.7e-07|8.18e-05|7.37e-07|4.83|0.0|2.6899999999999996e-09|1.29e-06|-0.08374|3.6413|4.73|-2549.104894|-2549.091817|713.1|1217.48|340.49|444.0|340.49|585.2|0.61338|0.61338|-2548.8917260000003|-0.14942|4.8799|-0.2331599999999999|6.5205|4.0|8.4225
12b_a5|0|0|0|0.0|6.605297921|2|2|1.189701783|0.0|-0.001991527|4.59511985|0.0252713179999999|0.0|-0.1214831359999999|0.0068803119999999|-0.016614746|0|-0.110182753|-0.1708042239999999|2|0.8417504029999999|0.779793078|0.8121510009999999|0|0.827613693|-0.066227158|-0.068586754|0.350286421|-41.76622313|10.44150403|138.67264319999998|0.172386307|108.7155967|-27.27837078|6.584944956|0.0|-1.165974822|-26.33991037|-12.90040679|2602.046823|-735.3231872|0.4696203889999999|16.16438947|0.924627734|5501.255679|1386.409228|727.8586176|16.27715102|0.0|0.0|1.0|1.0|1.0|0.0|0.33|18.0|-7.67|0.72|50.28|0.0|0.0|1.0|5.0|-2.3|6.0|0.0|0.0|-3.45|0.00503|2.0|0.000359|1.63|0.0|2.14e-08|8.5e-06|-0.10395|4.6156|2.24|-1276.928859|-1276.8943800000002|669.05|1149.51|857.76|0.2345|268.62|505.16|0.42949|0.70615|-1276.940335|-0.06212|5.7174|-0.16607|8.2868|42.0|7.3768
14h_a23|0|1|1|0.0|7.423568444|0|0|1.197963488|3.309480899|-0.005921293|5.351858133|0.04255787|0.7290938920000001|-0.307907256|0.009895793|-0.034313725|2|-0.131709531|-0.4460845129999999|2|0.708395022|0.79263722|0.669357479|1|0.923430574|-0.063825076|-0.081058742|0.223157991|-43.02851162|14.81983413|41.34207782|0.076569426|51.620282|-36.84086528|9.990985411|86.83095818|-1.621174834|-29.00823506|-22.76950546|3010.418229|-1092.936262|0.246899416|15.0735214|0.924279155|6722.809649|1451.248725|646.2584547|12.79687369|0.0|1.0|1.0|1.0|1.0|3.2|0.04|26.0|-7.47|3.89|128.81|1.0|0.0|1.0|5.0|-5.68|5.0|0.0|0.0|-4.9|2.09e-06|0.0009109999999999|1.27e-05|3.3|0.0|3.39e-08|1.4800000000000002e-05|-0.08532|4.0506|3.29|-1722.1762399999998|-1722.148272|699.86|1190.62|337.93|0.3424|306.09|569.53|0.67365|0.69933|-1721.9314420000003|-0.15209|9.7146|-0.2374099999999999|13.4823|5.0|8.3468
3c_a49|0|0|0|0.0|7.535296702|1|1|1.343850149|2.108416128|-0.004876919|5.4161004020000005|0.036335697|1.879769411|-0.248722888|0.006218639|0.0127926339999999|1|-0.101919761|-0.384874446|2|0.666785606|0.802792677|0.64702083|1|0.7963363840000001|-0.071786669|-0.074135885|0.501887054|-41.0524769|8.477406111|89.34479838|0.203663616|116.4686425|-24.24485565|4.8479546860000005|77.29181095|-1.186174159|-23.47658531|-14.4326528|2521.794855|-678.3346816000001|0.362777444|12.60874968|0.919925763|5544.351498|1064.517686|542.7276591|12.45751629|0.0|1.0|1.0|1.0|1.0|2.67|0.18|21.0|-7.54|3.87|72.7|0.0|0.0|1.0|4.0|-3.45|4.0|0.0|1.0|-3.86|0.0003509999999999|0.13|0.000137|2.29|0.0|2.89e-08|1.07e-05|-0.0606|5.1584|3.99|-1198.668772|-1198.634822|613.33|1046.53|322.71|0.4321|240.36|456.22|0.32539|0.6692100000000001|-1198.430306|-0.15853|3.6122|-0.21913|3.7789|87.0|7.0605
16e_a32|1|1|1|0.0|7.765993078999999|0|0|0.609420752|0.0|-0.0154404319999999|5.733341277|0.040982906|2.080236877|-0.772021601|-0.0048042729999999|-0.01320745|3|-0.219947482|-0.698621582|0|0.804503712|0.86370575|0.7619492790000001|1|0.7903051590000001|-0.087117996|-0.117338144|0.504569498|-55.957388|15.50894749|105.4021155|0.209694841|134.6906051|-48.41036206|9.961663868|39.27920316|-1.760072163|-35.94239328|-24.05371573|2710.157931|-1130.524639|0.297773438|12.15001203|0.848279482|6142.277629|1609.914378|573.3529948|14.98092934|1.0|1.0|1.0|1.0|2.0|3.36|0.26|19.0|-7.38|4.6|149.27|0.0|1.0|1.0|8.0|-6.59|5.0|1.0|1.0|-4.75|2.58e-07|0.000107|1.7899999999999998e-05|3.76|0.0|4.18e-08|1.73e-05|-0.0505899999999999|3.6214|4.59|-1955.993572|-1955.965644|677.82|1130.95|342.37|0.2858|342.37|552.79|0.7022|0.7022|-1955.766505|-0.14991|3.2372|-0.2005|3.9389|7.0|8.1367
47l_a18|0|0|0|0.0|7.03438793|1|1|1.251176792|0.0|-0.006400878|4.844187086|0.035308642|0.0|-0.428858819|-0.00046896|-0.056270425|0|-0.156998637|-0.4925232479999999|0|0.7452092359999999|0.7435044540000001|0.733228144|0|0.803473313|-0.08034939|-0.083884237|0.2820044969999999|-57.15119372|6.543729374|11.54768766|0.196526687|139.7861865|-42.43906517|4.654446622|51.44279524|-2.0132216990000003|-40.65070014|-22.37455223|2852.093627|-1431.971342|0.203890653|18.46922943|0.959883341|6572.90106|1798.711882|931.8364349|9.168513486|1.0|0.0|1.0|1.0|3.0|0.0|0.25|18.0|-9.37|3.19|85.29|1.0|0.0|1.0|9.0|-5.26|3.0|0.0|0.0|-4.84|5.44e-06|0.00247|1.4499999999999998e-05|3.78|0.0|4.26e-10|1.93e-07|-0.0520399999999999|3.2026|7.71|-1455.5758039999998|-1455.5497369999998|764.74|1334.6|387.13|0.5019|387.13|667.5|0.69291|0.69291|-1455.165122|-0.1314|2.4594|-0.18344|3.3864|32.0|7.4949
19a_a38|1|0|0|0.0|7.412764017000001|2|2|1.297044508|0.0|-0.007986407|5.351858133|0.043848238|0.0|-0.431265985|-0.002526241|-0.077535135|1|-0.217394466|-0.4342819429999999|1|0.724208473|0.819222745|0.698414933|0|0.747152898|-0.08593151|-0.108300308|0.298938581|-51.36166266|13.23456869|137.2318698|0.252847102|151.1278869|-38.69037594|7.910363161|0.0|-1.949405536|-30.69910427|-23.30337482|2774.129458|-1165.168741|0.255203463|12.96056449|0.872060139|6115.030149|1564.412135|595.8790650000001|12.47635608|1.0|1.0|1.0|1.0|3.0|2.56|0.14|17.0|-6.86|2.55|81.23|0.0|0.0|1.0|5.0|-4.14|4.0|0.0|1.0|-4.17|7.209999999999999e-05|29.0|6.77e-05|2.78|0.0|1.4e-07|5.610000000000001e-05|-0.05271|3.9212|3.41|-1332.186327|-1332.1529369999998|628.65|1092.25|339.65|0.2668|316.19|466.55|0.6329100000000001|0.68835|-1331.94466|-0.15108|4.7986|-0.20379|6.0223|0.01|8.0106
12t_a30|0|0|0|0.0|7.412764017000001|2|2|0.60498454|0.0|-0.007755575|5.351858133|0.044197531|0.0|-0.411045472|-0.002544958|-0.04950715|1|-0.145315868|-0.464720444|1|0.609043558|0.83236194|0.591758164|0|0.696413582|-0.090535776|-0.1011561919999999|0.408290036|-58.89093185|12.26965165|88.42093081|0.303586418|197.4742794|-42.80050261|7.981057356|0.0|-1.82081145|-38.30686627|-24.17113783|2976.648597|-1184.385754|0.254294117|14.358001500000002|0.804273481|6617.834146|1588.274656|616.2856203|13.02867425|1.0|1.0|1.0|0.0|1.0|0.0|0.14|17.0|-7.16|3.74|81.65|0.0|0.0|1.0|5.0|-5.49|6.0|0.0|0.0|-5.17|3.24e-06|0.00141|6.71e-06|4.07|0.0|6.900000000000002e-08|3e-05|-0.05542|5.0693|4.32|-1774.2421780000002|-1774.208418|677.85|1139.2|349.67|0.2094|244.58|527.87|0.33647|0.6842600000000001|-1774.0165149999998|-0.15029|2.6784|-0.20571|3.2145|9.0|8.0496
6b_a31|1|0|0|0.0|7.773594467000001|1|1|0.610136262|0.0|-0.016070861|5.733341277|0.037803618|0.0|-0.787472195|-0.011483229|-0.053655833|2|-0.004825446|-0.57983695|0|0.838789705|0.78240875|0.795570315|0|0.627853074|-0.12081047|-0.1284626569999999|0.146652651|-73.70779766|20.12924648|159.79549319999998|0.372146926|227.0509355|-47.81835367|12.28107483|101.4993391|-2.055402513|-44.96993859|-27.86719323|2776.92804|-1254.023695|0.254079586|14.46878435|0.925676135|6099.567787|1681.1762649999998|536.6368656000001|14.72939894|1.0|1.0|1.0|1.0|2.0|2.73|0.1|22.0|-7.33|4.0|131.36|0.0|0.0|1.0|4.0|-5.63|5.0|0.0|1.0|-4.66|2.34e-06|0.000947|2.18e-05|3.2|0.0|4.67e-08|1.89e-05|-0.05835|3.2949|4.61|-1652.671944|-1652.635711|637.06|1077.19|376.29|0.4967|376.29|492.36|0.7013199999999999|0.7013199999999999|-1652.44739|-0.13345|5.9085|-0.1918|8.8379|54.0|7.2676
15a_a10|0|0|0|0.0|7.535296702|1|1|1.34383719|2.141907675|-0.00244937|5.4161004020000005|0.033912037|2.038992189|-0.144512841|0.011418154|-0.062038567|1|-0.285973309|-0.188634555|2|0.7408341359999999|0.77630271|0.713078124|1|0.915137224|-0.0458501609999999|-0.076864276|0.754451037|-29.50952422|10.10411407|42.41151044|0.084862776|54.61835033|-31.83957238|6.503087289|122.7715002|-1.3835569680000002|-18.99256188|-16.19032994|2656.305166|-890.4681466|0.323526799|11.33516398|0.68815941|5929.563906|1316.339132|697.5493042|11.51002664|0.0|1.0|1.0|1.0|0.0|3.58|0.29|21.0|-7.79|4.05|56.07|0.0|0.0|1.0|6.0|-3.97|5.0|0.0|1.0|-4.4|0.000108|0.0432|3.94e-05|3.12|0.0|1.63e-08|6.51e-06|-0.04742|5.7646|2.4|-1278.452284|-1278.4225210000002|687.57|1179.28|329.41|0.3558|215.08|563.27|0.47484|0.68863|-1278.141052|-0.1559299999999999|4.7512|-0.20335|6.1108|24.0|7.6198
11d_a31|1|0|0|0.0|7.765993078999999|1|1|0.610136352|0.0|-0.017317263|5.733341277|0.0388738739999999|0.0|-0.848545873|-0.009496378|-0.078235092|2|-0.153894316|-0.574318121|0|0.819298311|0.822077662|0.78396996|0|0.585212816|-0.134031221|-0.134048091|0.197166451|-82.05480081|21.07078977|296.2476128|0.414787184|253.9354598|-50.24081482|12.89967697|91.25756269|-1.87667327|-50.23449218|-24.97634343|2532.447962|-1148.911798|0.318229459|15.21323794|0.929231204|5420.356537|1685.188386|505.4234462|16.75864338|1.0|1.0|1.0|1.0|2.0|2.83|0.32|16.0|-6.23|4.03|125.57|0.0|0.0|1.0|7.0|-5.48|6.0|0.0|1.0|-4.2|3.33e-06|0.00128|6.26e-05|3.17|0.0|5.83e-07|0.000225|-0.03404|3.8009|4.87|-1598.7152199999998|-1598.671315|650.64|1077.69|326.2|0.2642|326.2|551.86|703.0|703.0|-1598.4848980000002|-0.15822|3.1919|-0.19226|4.6622|0.03|7.5229
17a_a10|0|0|0|0.0|7.535296702|2|2|1.3438501040000002|2.118111229|-0.004333189|5.4161004020000005|0.036545455|1.863045777|-0.2946568739999999|0.009206558|0.031632653|1|-0.360142554|-0.275154041|2|0.7019075779999999|0.76281504|0.673253555|1|0.8538249840000001|-0.055423599|-0.082689376|0.463842217|-39.18491085|14.20303963|51.96456548|0.146175016|103.34686|-41.33310046|10.04165819|87.61514901|-1.488408763|-27.70403316|-16.70343549|3154.628148|-1052.3164359999998|0.4352739579999999|16.96492079|0.967815851|7078.918870999999|1863.410498|911.2106544|18.02431251|0.0|1.0|1.0|1.0|0.0|3.66|0.33|21.0|-7.32|2.5|76.38|0.0|0.0|1.0|6.0|-3.68|6.0|0.0|0.0|-4.32|0.00021|0.0986|4.74e-05|2.43|0.0|4.74e-08|2.22e-05|-0.04641|5.5285|3.95|-1524.557372|-1524.52012|767.6|1326.24|310.84|0.2142|224.26|603.73|0.32889|0.67671|-1524.187115|-0.16562|4.1012|-0.21203|5.3803|49.0|7.3098
1n_a5|1|0|0|0.0|6.605297921|0|0|1.427557749|0.0|-0.007315978|4.59511985|0.024388889|0.0|-0.3365350029999999|0.004367323|-0.047910067|1|-0.015850084|-0.393928416|2|0.6805709409999999|0.77828693|0.656280207|0|0.785210014|-0.082180848|-0.081950989|0.428980979|-47.1725036|13.27640087|63.58796786|0.214789986|123.2912732|-27.00168194|7.620766672|55.29041202|-1.311215832|-27.07741706|-17.50346525|2437.279452|-752.6490056|0.372248254|15.27080096|0.937489579|5101.31614|1198.959638|467.1194103|16.53002342|1.0|1.0|1.0|1.0|1.0|2.67|0.05|23.0|-8.07|3.99|80.76|0.0|0.0|1.0|5.0|-4.27|5.0|0.0|1.0|-4.18|5.41e-05|0.0193|6.56e-05|2.91|0.0|8.43e-09|3.01e-06|-0.06186|4.3838|4.19|-1179.209088|-1179.169527|607.15|1017.23|282.82|0.3789|282.82|481.06|0.44786|0.44786|-1179.018429|-0.17092|0.6234|-0.23278|0.7104|27.0|7.5686
16a_a23|0|1|1|0.0|7.423568444|1|1|1.197962324|3.411338761|-0.0054940769999999|5.351858133|0.046283951|0.759926978|-0.302174246|0.012426121|-0.071458049|2|-0.335065967|-0.380779155|2|0.765869487|0.8323974470000001|0.7199622309999999|1|0.934837094|-0.041095401|-0.07288672|0.181301571|-26.53751114|13.80568132|9.922436905|0.0651629059999999|42.07919382|-30.39361398|8.915071155|91.92609822|-1.311960953|-17.13669862|-16.6118386|2924.629647|-847.2037686000001|0.414079278|15.89802615|0.981208279|6552.801739|1445.935835|668.3493171|18.14339594|1.0|0.0|1.0|0.0|1.0|0.0|0.14|20.0|-5.27|2.52|108.26|1.0|0.0|2.0|5.0|-4.58|4.0|0.0|0.0|-4.31|2.6e-05|0.0111|4.86e-05|2.66|0.0|5.38e-06|0.0023|-0.0502|1.6239|2.49|-1685.913359|-1685.8794469999998|670.04|1172.0|763.49|0.2066|763.49|555.21|0.96307|0.96307|-1685.580443|-0.07625|11.6254|-0.12645|18.4446|39.0|7.4037
7h_a8|1|0|0|0.0|7.05012252|0|0|1.391840221|1.2793830309999998|-0.00534208|4.844187086|0.04737037|0.0|-0.23505152|0.00112124|0.0260356679999999|1|0.141285105|-0.382578949|0|0.515235986|0.7051689170000001|0.507325475|0|0.771011027|-0.093181899|-0.0934764819999999|0.314190914|-53.71230941|6.71377223|70.28953528|0.228988973|131.9948047|-31.05895923|3.86998135|47.81104825|-1.6825766830000002|-30.96107949|-23.65556243|2534.324886|-969.8780597|0.107169655|13.42380338|0.768693264|5657.402114|1086.29603|446.5544107|5.061650885|1.0|1.0|0.0|0.0|1.0|3.2|0.0|23.0|-8.46|5.49|61.58|0.0|0.0|1.0|3.0|-5.68|4.0|0.0|1.0|-5.5|2.09e-06|0.00078|3.16e-06|4.66|0.0|3.5e-09|1.31e-06|-0.06799|3.9282|6.81|-1285.182226|-1285.151298|593.53|999.62|315.62|0.3885|315.62|500.94|0.6963199999999999|0.6963199999999999|-1285.017252|-0.16076|7.0847|-0.22875|9.1188|10.5|4.9788
galu_a46|0|0|0|0.0|7.535296702|1|1|1.343828866|2.082220175|-0.00642454|5.4161004020000005|0.039550827|1.721297609|-0.327651527|0.002865697|-0.1121767259999999|1|0.0481706809999999|-0.4671565689999999|2|0.702976795|0.81708619|0.6848692759999999|1|0.7637964079999999|-0.0910072869999999|-0.089050651|0.5235416979999999|-50.93538037|6.915480101|261.2602893|0.236203592|132.199522|-27.89483984|3.870487977|68.43088526|-1.513861067|-28.50774993|-18.02733582|2501.785113|-847.2847833999999|0.2167824069999999|12.12170938|0.880553787|5641.451892|1081.799989|542.7276591|7.817173532999999|0.0|1.0|1.0|1.0|1.0|2.75|0.18|21.0|-7.13|3.51|86.69|0.0|0.0|1.0|3.0|-3.85|4.0|0.0|1.0|-3.99|0.0001409999999999|52.0|0.000102|2.39|0.0|7.45e-08|2.75e-05|||||||||||||||||||51.0|7.2924
16d_a32|1|1|1|0.0|7.765993078999999|0|0|0.609420775|0.0|-0.017249763|5.733341277|0.0421759259999999|2.07416189|-0.7589895790000001|-0.00839148|-0.0517549079999999|3|-0.239509216|-0.68301199|0|0.816581223|0.8575664540000001|0.7689748270000001|1|0.7554930740000001|-0.091212351|-0.11491796|0.41654798|-53.23914436|18.67986534|115.2070109|0.244506926|142.7146582|-39.15098916|10.90312918|48.61700321|-1.493933474|-31.07481011|-21.26791022|2588.214866|-871.9843187999999|0.384250302|11.16880283|0.79521327|5768.495166|1416.134383|457.7130665|19.43393087|1.0|1.0|1.0|1.0|2.0|3.01|0.18|19.0|-6.59|3.82|149.27|0.0|1.0|1.0|6.0|-5.65|5.0|1.0|1.0|-4.18|2.22e-06|0.000856|6.659999999999999e-05|2.86|0.0|2.55e-07|9.84e-05|-0.05068|3.6271|3.78|-1877.360551|-1877.332369|621.59|1023.44|341.83|0.2915|341.83|489.97|0.70217|0.70217|-1877.185022|-0.15009|3.2048|-0.20077|3.8853|8.0|8.1135
