molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
19f_a38|1|0|0|0.0|0|7.412764017000001|2|2|-0.036714749|-0.007831113|5.351858133|-0.084341564|2|0.041808786|-0.008118156|0.0|-0.4228801179999999|-0.002526241|0.035480177|1|1|-0.217394466|1|0.724208473|0.819222745|-0.094149094|0.698414933|0.750875987|-0.085318318|0.488059925|-54.50401599|-71.10679028|13.4639011|125.7493111|0.249124013|-0.037844587|8.601162122|0.734437553|-1.892229356|-34.81887413|84.35196967|-24.1763087|67.96791709|2776.145209|2846.860803|-15.44458393|0.265562447|11.28936331|6115.273372|169.6496169|-772.2291966|0.020733452|1645.906354|595.8790650000001|1.0|1.0|3.0|17.0|2.55|0.0|125.69|0.0|-4.14|30.0|4.0|-6.77|401.44|1.0|2.67|-4.17|29.0|6.77e-05|0.0272|1.4e-07|5.3197|-1332.190216|653.22|1105.62|360.19|0.3205|0.38086|-0.14369|5.3152|-0.20104|-1332.004601|73.0|7.1397|7.1397
3l_a32|1|1|1|0.0|0|7.773594467000001|0|1|-0.003342759|-0.0054004|5.733341277|0.0043645509999999|0|0.035643275|-0.039331295|2.259257465|-0.270019992|0.0016954029999999|-0.09393062|3|3|-0.087213805|0|0.820540279|0.751853889|-0.184582641|0.776480242|0.8855584879999999|-0.069304303|0.270668623|-40.30321333|-51.41835077|7.120934925|61.72183119|0.114441512|-0.028831823|4.141107366|0.788236719|-1.326263838|-23.43792428|58.10243176|-16.76685351|47.42414825|2453.759435|2415.340446|-9.750593329|0.211763281|11.74082324|5429.531532999999|123.148785|-448.5272931|0.011493763|978.4817724|565.7000781|1.0|1.0|1.0|19.0|6.17|0.0|110.16|0.0|-7.6|26.0|3.0|-4.71|380.53|1.0|5.04|-6.01|9.59e-06|9.7e-07|0.0003689999999999|3.16e-08|3.5319|-1789.475625|629.26|1062.47|351.04|0.2876|0.70282|-0.14664|3.3955|-0.19962|-1789.298086|12.0|7.9208|7.9208
1f_a5|1|0|0|-4.398485453999999|0|6.605297921|0|0|-0.139907335|-0.00645569|4.59511985|-0.31059482|2|0.029105691|-0.118028278|0.0|-0.277594656|-0.0012491689999999|-0.174016111|1|1|0.004923698|2|0.525406088|0.771487328|-0.000969932|0.513260607|0.888073448|-0.091412569|0.45528118|-50.98614411|-46.77243802|4.687041957|201.7057715|0.111926552|-0.035639589|2.614237829|0.757522389|-1.425583552|-28.43795894|57.83835135|-19.87828616|55.67318607|2482.949545|979.2285994|-11.0872845|0.242477611|13.35549635|5474.331675|135.2439659|-443.4913802|0.01983997|1049.647453|403.396385|1.0|1.0|1.0|23.0|6.37|0.0|95.49|0.0|-4.79|27.0|6.0|-5.73|366.34|1.0|4.23|-4.97|0.00589|1.0800000000000002e-05|0.00396|1.3300000000000002e-09|4.7485|-1288.353339|577.11|958.06|270.96|0.6959|0.47267|-0.18224|3.7852|-0.2357|-1288.263745|0.24|6.6198|6.6198
15a_a10|0|0|0|0.0|1|7.535296702|1|1|-0.214195114|-0.00244937|5.4161004020000005|0.022297552|2|0.033912037|-0.125297206|2.038992189|-0.144512841|0.011418154|-0.060539141|1|1|-0.285973309|2|0.7408341359999999|0.77630271|-0.1074837719999999|0.713078124|0.915137224|-0.0458501609999999|0.754451037|-29.50952422|-49.47045259|10.10411407|42.41151044|0.084862776|-0.025155581|6.503087289|0.676473201|-1.3835569680000002|-18.99256188|60.98047923|-16.19032994|39.61363829|2656.305166|2413.560937|-10.42022369|0.323526799|11.33516398|5929.563906|208.2243923|-573.1123029|0.017883602|1316.339132|697.5493042|0.0|1.0|0.0|21.0|4.05|0.0|118.92|0.0|-3.97|30.0|5.0|-6.52|399.49|1.0|3.33|-4.4|0.0432|3.94e-05|0.0157|1.63e-08|5.7646|-1278.452284|687.57|1179.28|329.41|0.3558|0.47484|-0.1559299999999999|4.7512|-0.20335|-1278.200428|24.0|7.6198|7.6198
12t_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.073057637|-0.007755575|5.351858133|-0.097216874|2|0.044197531|-0.0596036729999999|0.0|-0.411045472|-0.002544958|-0.0682882559999999|1|1|-0.145315868|1|0.609043558|0.83236194|-0.080971844|0.591758164|0.696413582|-0.090535776|0.408290036|-58.89093185|-65.79920855|12.26965165|88.42093081|0.303586418|-0.037159417|7.981057356|0.745705883|-1.82081145|-38.30686627|78.8278828|-24.17113783|71.1605835|2976.648597|2479.787504|-15.72263361|0.254294117|14.358001500000002|6617.834146|165.4110479|-770.409047|0.020029588|1588.274656|616.2856203|1.0|1.0|1.0|17.0|3.74|0.0|127.19|0.0|-5.49|31.0|6.0|-6.06|434.46|0.0|3.21|-5.17|0.00141|6.71e-06|0.00291|6.900000000000002e-08|5.0693|-1774.2421780000002|677.85|1139.2|349.67|0.2094|0.33647|-0.15029|2.6784|-0.20571|-1774.077985|9.0|8.0496|8.0496
12v_a36|1|0|0|0.0|0|7.412764017000001|2|2|-0.077763989|-0.008411281|5.351858133|-0.04314418|2|0.041767677|0.073329354|0.0|-0.487854327|0.00127667|-0.086194201|1|1|-0.239932418|1|0.8913597320000001|0.828393514|-0.041914045|0.84179881|0.802291339|-0.078158778|0.334379501|-51.4172081|-69.20675352|17.85767346|113.7463918|0.197708661|-0.033118671|11.74777471|0.6276553979999999|-1.788408258|-33.82511043|88.07013157|-21.78731129|69.27488156|2846.057239|2328.221818|-14.33290989|0.372344602|15.71271745|6065.593390999999|244.9490697|-773.9771341000001|0.02867403|1874.459798|679.7230552999999|1.0|1.0|2.0|17.0|1.89|0.0|130.24|0.0|-3.95|31.0|5.0|-6.93|411.46|0.0|1.81|-4.07|0.0464|8.499999999999999e-05|35.0|2.03e-07|3.8847|-1347.475543|671.56|1150.38|334.77|0.4247|0.69298|-0.15185|6.1869|-0.20404|-1347.260743|14.0|7.8539|7.8539
1n_a5|1|0|0|0.0|0|6.605297921|0|0|-0.1387762669999999|-0.007315978|4.59511985|-0.0533837329999999|2|0.024388889|0.002508727|0.0|-0.3365350029999999|0.004367323|-0.150600424|1|1|-0.015850084|2|0.6805709409999999|0.77828693|-0.087019366|0.656280207|0.785210014|-0.082180848|0.428980979|-47.1725036|-47.04056285|13.27640087|63.58796786|0.214789986|-0.030493391|7.620766672|0.627751746|-1.311215832|-27.07741706|63.57058627|-17.50346525|60.44890447|2437.279452|889.4388375|-10.04713747|0.372248254|15.27080096|5101.31614|213.67365440000003|-432.02691110000006|0.028797525|1198.959638|467.1194103|1.0|1.0|1.0|23.0|3.99|0.0|101.77|0.0|-4.27|27.0|5.0|-6.41|356.38|1.0|3.14|-4.18|0.0193|6.56e-05|0.0234|8.43e-09|4.3838|-1179.209088|607.15|1017.23|282.82|0.3789|0.44786|-0.17092|0.6234|-0.23278|-1179.073189|27.0|7.5686|7.5686
12aa_a36|1|0|0|0.0|0|7.412764017000001|2|2|0.033952382|-0.011588438|5.351858133|-0.135770278|2|0.042560386|0.03597264|0.0|-0.672129428|-0.006653538|0.010538281|1|1|-0.090926893|1|0.892815402|0.833911317|-0.023185884|0.849217847|0.688945241|-0.1066659309999999|0.4679233379999999|-72.94175494|-80.19356964|16.1504726|132.3194611|0.3110547589999999|-0.04126187|11.04423694|0.731335741|-2.228140982|-49.88002793|96.18613736|-28.21625599|89.09222754|2928.7759760000004|2418.848273|-19.29522587|0.2686642589999999|14.60824604|6438.603019|183.7216658|-1041.942197|0.023386634|2083.417693|689.2886595|0.0|1.0|3.0|17.0|0.98|0.0|131.85|0.0|-3.52|32.0|5.0|-7.79|424.46|0.0|1.15|-3.45|129.0|0.000359|152.0|7.19e-07|3.8899|-1401.662677|701.99|1183.76|318.73|0.4446|0.6931|-0.15718|3.5904|-0.20829|-1401.45065|9.0|8.0458|8.0458
A8301_a51|0|0|0|0.0|1|6.86171134|0|0|0.0245770529999999|-0.00449765|4.727387819|-0.028789626|2|0.039058957|0.078523314|1.987294898|-0.242873103|0.00740124|-0.012770742|1|1|-0.0618359079999999|2|0.7595189840000001|0.6959300979999999|-0.21474885|0.7234449559999999|0.934739895|-0.055295165|0.339244706|-35.90764428|-50.67621589|5.293803823|36.55933899|0.065260105|-0.032775831|3.437697042|0.854959635|-1.6387915469999998|-23.3177516|56.90163721|-21.28401067|41.20144811|2799.106729|2461.663545|-13.82143785|0.145040365|13.24988678|6401.6494600000005|94.18649643|-691.0718926|0.009586697|1244.737752|690.8826121000001|1.0|1.0|1.0|27.0|5.52|1.0|129.04|0.0|-6.6|31.0|3.0|-5.31|421.52|1.0|4.58|-5.93|0.000105|1.17e-06|0.000495|4.12e-10||||||||||||12.0|7.9208|7.9208
17b_a50|0|1|1|0.0|2|7.934155233999999|1|1|-0.145258626|-0.002181823|5.82008293|0.013050204|1|0.032052154|0.035558152|2.206759705|-0.144000296|0.012409091|-0.152660972|2|2|-0.357011777|1|0.7715057479999999|0.7621727979999999|-0.257646121|0.748900413|0.931849183|-0.047785496|0.4220781729999999|-33.25475672|-52.58062823|8.976922737999999|9.9094658|0.068150817|-0.02681014|6.247196459|0.803386523|-1.662228695|-23.14256283|59.65808461|-18.65764227|42.23167946|2765.537065|1948.148592|-12.98417734|0.1966134769999999|16.11918162|6059.076348|136.82673369999998|-805.0189948|0.010169967|1439.872076|862.3868512|1.0|1.0|0.0|20.0|4.92|0.0|131.39|0.0|-4.75|32.0|4.0|-6.09|426.56|0.0|3.87|-4.91|0.00763|1.22e-05|0.0052|2.87e-08|4.2447|-1337.1910779999998|752.09|1300.3|306.75|0.1817|0.6269899999999999|-0.16699|6.3333|-0.19879|-1336.899093|122.0|6.9136|6.9136
15a_a50|0|1|1|0.0|2|7.934155233999999|1|1|-0.113976703|-0.004429392|5.82008293|-0.06317118|1|0.035694444|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|-0.15010386|2|2|-0.209259615|1|0.797917311|0.821868651|-0.207610131|0.76745052|0.837789896|-0.0783960279999999|0.4349386739999999|-46.91098865|-50.56454577|10.77967103|275.287923|0.162210104|-0.029316925|6.450390922|0.705410595|-1.436529349|-28.07082095|61.78266878|-17.54280159|57.69065967|2503.770258|1754.903963|-10.49734522|0.294589405|14.65582885|5401.219537|176.277812|-514.369916|0.018747341|1218.577214|569.5267957000001|0.0|1.0|1.0|20.0|3.57|0.0|110.43|0.0|-3.6|28.0|4.0|-6.78|371.44|1.0|2.76|-3.92|0.0933|0.0001189999999999|0.0444|8.070000000000001e-07|4.0408|-1199.818129|644.4|1091.64|306.83|0.1767|0.66132|-0.16693|6.6307|-0.19948|-1199.629702|41.0|7.3872|7.3872
17_a47|1|1|1|0.0|0|6.605297921|0|0|-0.181485377|-0.003764469|4.59511985|-0.019259259|3|0.031802469|-0.105849578|1.699575434|-0.2032813319999999|0.0042378929999999|0.075303828|1|1|-0.031505291|3|0.8007970640000001|0.75807704|-0.010871607|0.7666613659999999|0.852282407|-0.07185129|0.522140199|-43.82821253|-50.62550618|7.87914003|68.64478326|0.147717593|-0.02987808|4.806157636|0.7457517659999999|-1.493904005|-26.73455447|60.33408274|-18.22518223|51.70735256|2672.497352|1573.836082|-11.11708872|0.2542482339999999|13.10144249|5854.9736840000005|155.087622|-555.8544359|0.0159160889999999|1221.9335609999998|630.8611986000001|1.0|1.0|2.0|27.0|5.44|0.0|119.83|0.0|-5.4|30.0|4.0|-5.83|392.46|1.0|3.85|-5.21|0.00156|6.11e-06|0.0024|7.96e-11|4.2784|-1254.985125|656.78|1127.7|289.79|0.4308|0.6844100000000001|-0.17606|3.4454|-0.22479|-1254.795084|5.0|8.3|8.3
15c_a10|0|0|0|0.0|1|7.535296702|2|2|-0.236118846|-0.002218445|5.4161004020000005|0.040869377|3|0.034807692|-0.06400528|2.063253638|-0.153072705|0.01143745|-0.1036030219999999|1|1|-0.35845963|2|0.7655272009999999|0.7351096359999999|0.022187689|0.733973277|0.904458517|-0.046967376|0.418835517|-32.5870313|-50.32840842|10.2013281|65.41494073|0.095541483|-0.019267867|7.077912953999999|0.528228415|-1.233143495|-22.60962187|66.5866765|-13.36848349|42.7883594|3012.018586|1817.047455|-9.275357237|0.471771585|15.6886947|6673.826433|327.3258326|-593.6228632|0.023432886|1619.721543|924.9341455|0.0|1.0|0.0|21.0|2.97|0.0|141.96|0.0|-3.85|34.0|6.0|-6.99|454.57|0.0|3.1|-4.57|0.0646|2.68e-05|0.0122|1.6100000000000002e-08|5.5913|-1450.241475|762.21|1318.35|337.75|0.3939999999999999|-0.26999|-0.14739|2.4256|-0.19463|-1450.201574|0.1|7.0|7.0
SB431542_a8|1|0|0|0.0|1|7.535296702|1|1|-0.007805495|-0.014434378|5.4161004020000005|-0.1950388569999999|1|0.041909722|0.096884952|0.0|-0.721718925|-0.0075336219999999|-0.029382296|1|1|0.089375589|1|0.76592324|0.762577159|-0.072891515|0.7318727540000001|0.5653298489999999|-0.128342313|0.274152231|-76.82006387|-74.57768059|20.78806656|170.1252996|0.434670151|-0.048754953|12.44282236|0.7608280590000001|-2.242727845|-45.98111161|89.64885355|-29.18257067|97.60813043|2801.428659|1947.072021|-17.46740332|0.239171941|14.04829994|6203.505123|143.157805|-803.5005528|0.025179219|1764.391093|529.053307|0.0|1.0|2.0|23.0|2.72|0.0|109.21|0.0|-4.4|30.0|5.0|-7.04|400.39|0.0|2.58|-4.14|16.0|7.28e-05|0.0292|1.74e-07||||||||||||79.08|4.1019|4.1019
13l_a6|1|0|0|0.0|0|7.412764017000001|1|1|0.03093879|-0.0143011819999999|5.351858133|-0.132667824|1|0.0408037829999999|0.090187973|0.0|-0.858070925|-0.009326562|-0.037558466|1|1|-0.073210645|1|0.8694295409999999|0.7908110340000001|-0.1470289659999999|0.827754203|0.643098986|-0.118071236|0.210844002|-82.24617981|-88.13242567|20.90615311|182.8275745|0.3569010139999999|-0.0451862259999999|14.56282911|0.793671137|-2.53042863|-57.29112645|100.8610837|-31.47586631|103.1523329|2967.923804|3127.831037|-21.92549054|0.206328863|15.34147837|6462.086665999999|143.7247666|-1227.82747|0.018273048|2220.880201|741.5222707|1.0|1.0|3.0|23.0|3.8|0.0|124.98|0.0|-5.49|33.0|5.0|-6.59|441.48|1.0|3.07|-4.77|0.00144|1.7100000000000002e-05|0.0075599999999999|1.29e-09|3.6675|-1465.865882|735.52|1249.13|349.26|0.3115|0.7002|-0.14562|7.2582|-0.19447|-1465.624566|385.0|6.4145|6.4145
