molecula|NaaNH|n9FaHRing|n9FaRing|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|FNSA4|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Num. of Aromatic heavy atoms|Log Po/w WLOGP|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Solubility [Log S (SILICOS-IT)] (mol/l)|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|IC50|pIC50|pIC50
12u_a30|0|0|0|0.0|0|7.412764017000001|2|2|0.028039604|-0.006935447|5.351858133|-0.027452346|2|0.043383838|-0.091507428|0.0|-0.367578706|0.002431329|0.028815747|1|1|-0.0857954809999999|1|0.8149999040000001|0.83236194|-0.105767484|0.711738503|0.84944095|-0.0773921259999999|0.477056017|-51.83732031|-65.55148142|10.42404292|78.15130994|0.15055905|-0.03794847|6.982033926000001|0.810462868|-1.859475018|-34.72068676|75.26051582|-25.41792137|62.26136323|3001.03926|2608.6452440000003|-17.02494806|0.189537132|14.01586754|7133.515802|126.9521524|-834.2224549|0.014495402|1536.749179|685.6665849999999|1.0|1.0|1.0|17.0|3.92|0.0|137.3|0.0|-6.58|31.0|4.0|-5.52|467.37|1.0|3.59|-6.04|0.000123|9.14e-07|0.0004269999999999|1.58e-08|3.5003|-2494.962309|705.15|1202.06|354.21|0.1502|0.6847|-0.1486299999999999|5.3020000000000005|-0.20146|-2494.7995530000003|34.0|7.4647|7.4647
27b_a34|0|0|0|0.0|1|7.412764017000001|1|1|-0.056026127|-0.010183855|5.351858133|-0.016803292|1|0.042739018|-0.106245942|0.0|-0.549928192|-0.001438963|-0.029622037|1|1|-0.322091086|1|0.820914556|0.7722228729999999|-0.047542374|0.770240631|0.783431788|-0.08757938|0.3307451819999999|-57.66200309|-72.21552354|20.42417736|150.83624440000003|0.2165682119999999|-0.037292511|13.44721755|0.712312759|-1.864625537|-37.9644911|87.24055613|-24.553278|78.08618045|2835.31543|2431.595232|-16.16580511|0.287687241|15.39406063|6032.666081|189.4124225|-808.2902556|0.022820627|1723.489976|627.4287311|1.0|1.0|1.0|23.0|4.11|0.0|116.33|0.0|-5.23|31.0|5.0|-6.14|409.44|1.0|3.46|-4.96|0.00243|1.1e-05|0.00449|6.53e-09|4.8168|-1350.055377|691.97|1174.68|302.88|0.3621|0.47412|-0.1652799999999999|11.8546|-0.20649|-1349.873325|0.65|6.1871|6.1871
13b_a5|1|0|0|0.0|0|7.153833802|1|1|-0.142746146|-0.004573365|5.209486153|0.011339656|2|0.02468599|-0.006314305|0.0|-0.251535058|0.0064510459999999|-0.104404004|1|1|-0.091464693|2|0.6700114770000001|0.765309977|-0.0330907489999999|0.653356347|0.831557236|-0.0694958329999999|0.468748106|-44.93506461|-48.3067033|8.980592802|14.41650822|0.168442764|-0.02636836|5.806729729|0.654076389|-1.344786367|-29.05440446|62.24204745|-17.04942469|53.91565742|2661.597781|1177.571784|-11.0239272|0.345923611|15.48959317|5678.380299|223.6695238|-562.2202871000001|0.021552174|1329.387016|638.8437454|0.0|1.0|1.0|23.0|4.06|0.0|119.8|0.0|-4.24|30.0|4.0|-6.58|395.46|1.0|3.26|-4.43|0.0225|3.75e-05|0.0148|4.36e-09|4.6733|-1276.066049|672.43|1138.73|296.66|0.5528|0.32779|-0.17274|3.5881|-0.22451|-1275.865034|0.11|6.9586|6.9586
12_a4|0|0|0|0.0|1|7.535296702|1|1|-0.1494133309999999|-0.0021497879999999|5.4161004020000005|-0.271149771|2|0.0381179139999999|-0.0334644329999999|1.587386096|-0.113938738|0.005795666|-0.093414896|1|1|-0.085553511|2|0.5687812560000001|0.8157155359999999|0.04172421|0.531333552|0.805238097|-0.070256284|0.636722126|-41.69390404|-44.33087544|6.936764267999999|15.80191019|0.194761903|-0.025916226|4.116653575|0.717772573|-1.269895089|-24.74343259|53.59101661|-15.38009964|48.6306683|2927.48584|1962.933988|-9.127388465|0.282227427|11.7599245|6390.233612|167.4891205|-447.2420348|0.015603795|1049.9494|608.4548423|1.0|1.0|0.0|21.0|4.98|0.0|113.02|0.0|-4.18|29.0|5.0|-6.84|404.48|1.0|3.3|-4.33|0.0266|4.64e-05|0.0188|1.45e-08|4.8592|-1617.861623|640.67|1101.33|325.57|0.1194|0.63967|-0.16224|7.8701|-0.2312199999999999|-1617.634733|9.29|5032.0|5032.0
14z_a23|0|1|1|0.0|2|7.423568444|0|0|0.08752343|-0.005892861|5.351858133|-0.024897956|2|0.04314059|0.038811869|0.729326158|-0.30053593|0.009174505|-0.0438568409999999|2|2|-0.125978901|2|0.719722236|0.802520527|-0.035965909|0.64069202|0.925301102|-0.0582387179999999|0.228957475|-40.56245532|-55.54823244|12.77192721|40.18308023|0.074698898|-0.03393829|8.895469235|0.785604449|-1.595099623|-28.25118461|66.77741935|-23.63754572|53.33438253|3094.698027|2692.627452|-16.46322104|0.214395551|14.91419434|7285.13008|149.3235124|-773.7713888999999|0.01612263|1414.152695|665.6233736|0.0|0.0|1.0|26.0|5.32|1.0|130.3|0.0|-6.77|32.0|4.0|-5.8|480.37|0.0|4.49|-6.13|8.18e-05|7.37e-07|0.000354|2.6899999999999996e-09|4032.0|-2549.107748|715.41|1221.92|338.46|0.3201|0.66217|-0.15195|5.9301|-0.23698|-2548.957384|5.0|8.2941|8.2941
8j_a46|0|0|0|0.214753401|1|7.727094485|1|1|-0.13040237|-0.0017688329999999|5.533389489|-0.008523199|2|0.043903904|-0.129276363|0.0|-0.081366324|0.011852046|-0.174853546|1|1|-0.133413527|2|0.645146311|0.789844634|-0.074207717|0.6109926379999999|0.934648421|-0.054707287|0.308052557|-29.38737046|-37.04976799|4.658562801|7.723448142|0.065351579|-0.02566383|2.5024620580000003|0.822112519|-1.103544698|-15.7861518|41.80044861|-13.78596018|34.04593326|2121.846387|1888.679875|-7.405468973|0.177887481|9.817783823|4759.107832|95.55665364|-318.43516580000005|0.008843828|721.0646647000001|453.1959065|1.0|1.0|0.0|17.0|4.55|1.0|96.94|0.0|-4.59|24.0|3.0|-5.55|338.83|1.0|3.82|-4.83|0.00878|1.47e-05|0.00497|5.46e-08|4.9636|-1414.53151|576.48|978.4|281.1|0.1728|0.50703|-0.18531|5.2361|-0.22599|-1414.402087|1228.0|5.9108|5.9108
3d_a32|1|1|1|0.0|0|7.765993078999999|0|0|0.0181036519999999|-0.006420365|5.733341277|-0.034290847|0|0.041161616|-0.0620110029999999|2.230648962|-0.269655316|0.000655875|-0.113314811|3|3|-0.1395294259999999|0|0.8315372|0.8444218509999999|-0.100251236|0.77923808|0.892845502|-0.06869526|0.2214902789999999|-37.19367587|-50.45435743|7.807299836|62.43434632|0.107154498|-0.02867299|4.22710649|0.720540286|-1.118246623|-20.13777259|59.15151032|-15.52441767|45.000975700000005|2213.978384|1855.167124|-8.405385739|0.2794597139999999|10.75032687|4752.534658|151.30787800000002|-327.8100438|0.0160633|840.275417|421.3548777|1.0|1.0|1.0|19.0|5.07|0.0|97.86|0.0|-6.55|23.0|3.0|-5.18|340.47|1.0|4.32|-5.13|9.58e-05|7.36e-06|0.00251|5.13e-08|3.5105|-1672.758552|569.29|959.11|353.18|0.5031|0.7035100000000001|-0.14189|3.2094|-0.19671|-1672.638515|8.0|8.0915|8.0915
19_a20|1|0|0|0.0|0|6.842683282|0|0|0.071176085|-0.0096278259999999|4.727387819|-0.130949446|3|0.0396875|0.103271147|1.622562232|-0.539158264|-0.006620594|0.077469518|1|1|-0.083481481|3|0.811128636|0.7619768840000001|-0.105118869|0.7741509329999999|0.754452534|-0.091725453|0.25624423|-60.26825633|-65.49811346|8.964643162|339.8339889|0.245547466|-0.038340404|5.890223441|0.796070588|-1.993700989|-39.5992891|75.98477124|-25.1915821|69.23289949|2849.084477|1818.518838|-16.55214209|0.203929412|15.38668579|6325.747732|133.9919257|-860.7113887|0.0159602|1645.535318|684.5377542|1.0|1.0|2.0|27.0|4.08|0.0|122.86|0.0|-4.89|32.0|5.0|-6.8|420.47|1.0|3.16|-4.57|0.00541|2.6600000000000003e-05|0.0112|2.34e-10|3.3616|-1368.413151|687.79|1190.68|368.83|0.2998|0.6987399999999999|-0.13903|4.2507|-0.2067|-1368.190746|2.6|5585.0|5585.0
8a_a32|1|1|1|0.0|0|7.773594467000001|0|0|-0.0755556459999999|-0.010151321|5.733341277|-0.056633919|0|0.04008547|-0.0281981579999999|2.059960334|-0.497414715|-0.003484915|-0.020716518|3|3|-0.1534110109999999|0|0.788133615|0.845443342|-0.2166242669999999|0.7507116140000001|0.814553726|-0.083474428|0.221908108|-52.34893512|-68.61558335|11.48993376|73.64907732|0.185446274|-0.035678106|7.205629442999999|0.7490845290000001|-1.641192863|-32.82934751|79.73671389|-22.37464674|63.83886888|2574.085885|3312.822051|-14.03170956|0.250915471|14.26997798|5659.295213|157.3554684|-645.4586397|0.017733503|1373.988797|557.1050635|1.0|1.0|2.0|19.0|4.65|0.0|110.69|1.0|-6.82|27.0|4.0|-5.76|397.52|1.0|4.07|-4.99|6.03e-05|1.02e-05|0.00406|2.23e-08|3562.0|-1880.767206|667.29|1110.23|348.07|0.4315|0.70316|-0.1445|4.8933|-0.2061599999999999|-1880.595748|45.0|7.3468|7.3468
13e_a6|1|0|0|0.0|0|6.842683282|0|0|-0.089778965|-0.006882528|4.727387819|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|1|1|-0.223618825|2|0.841211811|0.765593573|-0.067328767|0.790249345|0.861676601|-0.074242826|0.175643236|-49.62570093|-62.36320497|12.28502792|66.59852278|0.138323399|-0.032929004|8.211609879|0.722530518|-1.679379203|-33.17101912|75.42629799|-22.01054293|61.91072885|2868.489025|3457.565879|-14.71237941|0.277469482|14.346067199999998|6147.8097210000005|185.4673146|-750.3313497|0.019543118|1553.619759|676.2770877|1.0|1.0|2.0|27.0|4.53|0.0|123.82|0.0|-5.11|32.0|5.0|-6.52|417.47|1.0|3.31|-4.78|0.00323|1.65e-05|0.00688|6.59e-11|5.9885|-1347.297639|713.3|1202.5|381.78|0.8312|0.38609|-0.1327|10.1884|-0.20804|-1347.074898|12.0|7.9208|7.9208
