molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|MATS7i|SaaaC|ATSC1c|AATSC1are|n5aRing|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|BIC2|MATS8d|RASA|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
13b_a6|0|0|3.423777636|0.0|0|7.412764017000001|1|1|-0.0411179|-0.011206134|0.060593678|0.0|-0.6051312529999999|-0.00460563|1|1|-0.00194781|-0.180339002|1|0.7788169070000001|-0.11338525|0.7757172059999999|-0.112915801|0.202093555|-61.06841733|21.00828557|154.7847961|147.0772097|-48.5571926|13.77653618|0.757233678|-2.032484418|-40.04664055|-26.65671602|82.07670290000002|2821.72831|2587.000662|-17.48058934|9.087172635|15.37022155|0.69141956|159.1980937|-874.0294667999999|-337.3706117|627.4287311|13.35319491|1.0|1.0|1.0|1.0|2.85|0.12|23.0|-9.01|4.32|116.79|1.0|5.0|-5.51|31.0|0.0|1.0|3.45|-4.99|3.11e-06|1.02e-05|3.8|0.0|0.0|4e-07|-0.0525799999999999|4.8494|341.35|0.7846|255.67|0.58026|0.7006600000000001|-1349.837661|0.2461|10.8032|-0.20156|0.02920955|-1349.898848|13.5746|174.0|6.7595|6.7595
34_a20|0|0|0.0|0.0|1|6.842683282|0|0|0.0305860929999999|-0.0057643419999999|0.199191385|1.991704333|-0.328567476|0.003085806|1|1|0.003149352|0.057022334|2|0.74801464|-0.090732503|0.7966571459999999|-0.085459595|0.408491116|-57.31821177|8.766605631000001|297.5548445|136.81360859999998|-38.68669181|5.898367836|0.776414086|-1.709191893|-38.56497154|-21.69778179|66.0848174|2825.042137|2319.742032|-14.59875162|7.940146766|14.7802149|0.8614536140000001|150.43359099999998|-773.7338361000001|-371.9551262|712.1606951|10.03525243|1.0|1.0|1.0|1.0|2.92|0.08|27.0|-9.18|4.62|125.0|1.0|5.0|-5.14|32.0|0.0|1.0|3.63|-5.02|7.27e-06|9.51e-06|3.63|0.0|0.0|2.780000000000001e-07|-0.05181|5.4132|320.38|0.4388|229.04|0.38519|0.68845|-1352.041015|0.0766|3.8519|-0.21284|0.03558836|-1352.102407|5.4994|61.0|7.2147|7.2147
22_a10|0|0|0.0|0.0|1|7.535296702|1|1|-0.067641834|-0.005035102|-0.026750502|1.880539113|-0.332316729|0.008350227|1|1|0.008903905|-0.208132084|2|0.747363443|-0.033474297|0.8698299140000001|-0.0649866779999999|0.775071808|-41.96631248|13.023146|75.58376652|101.3847763|-39.42279832|10.14325785|0.564323334|-1.3647202319999998|-32.68604442|-17.4251029|54.98945848|3241.833491|2668.5420940000004|-13.57178303|8.84228648|15.30289992|0.730649641|339.3328129|-827.8787647|-100.1982412|916.8601445|20.51547079|1.0|1.0|1.0|1.0|4.14|0.17|27.0|-9.37|5.6|139.53|1.0|6.0|-5.34|36.0|0.0|0.0|4.26|-5.53|4.55e-06|2.95e-06|4.1|0.0|0.0|2.03e-07|-0.05712|4.8251|321.89|0.2624|256.95|0.4483899999999999|0.6834100000000001|-1543.893507|0.1922|4.8409|-0.2180699999999999|0.03366599|-1543.959333|6.5841|1.1|5.9586|5.9586
4c_a49|0|0|0.0|0.0|1|7.535296702|1|1|-0.048954892|-0.0057600559999999|-0.099764463|1.78683516|-0.339843311|0.001379959|1|1|0.00202792|-0.001647802|2|0.7796063109999999|0.010868461|0.76159824|-0.086290519|0.407675441|-56.5385923|7.782541015|82.02101639|153.60017230000005|-35.82016427|5.014223225|0.724053828|-1.639519861|-36.42732137|-19.20596967|64.32113331|2719.702873|1683.872161|-12.37423857|8.474369008|16.089682800000002|0.898629005|177.78970959999998|-680.5831211|-288.71184960000005|707.2397315000001|11.182784300000002|1.0|1.0|1.0|1.0|2.97|0.25|21.0|-7.97|3.19|120.43|1.0|7.0|-3.5|31.0|0.0|1.0|2.6|-3.58|0.000314|0.000265|1.81|0.0|0.0|4.4e-06|-0.0623299999999999|5.74|325.7|0.2411|216.0|0.4164199999999999|0.67789|-1332.336755|0.0821|3.4931|-0.22158|0.03969431|-1332.398001|4.9358|255.0|6.5935|6.5935
14b_a3|0|0|0.0|0.0|0|6.823286122000001|0|0|0.143500839|-0.009130444|-0.1551678719999999|1.7086790859999998|-0.356087317|-0.00603969|1|1|-0.004161699|-0.094863591|3|0.7809478329999999|-0.170297225|0.786476513|-0.100993354|0.379746504|-44.49789848|6.273415527999999|252.49572540000003|104.4171556|-24.15156108|3.067822725|0.766915433|-1.312913604|-21.76034149|-17.83445545|50.77131401|2160.565755|1289.104749|-8.721397057|4.989782639|9.738358819|0.951659927|113.9829058|-313.9702941|-261.0537205|358.3503513|8.483998032|1.0|1.0|1.0|1.0|2.5|0.06|21.0|-6.89|3.71|93.25|1.0|2.0|-4.45|23.0|0.0|1.0|2.82|-3.99|3.54e-05|0.000103|2.58|0.0|0.0|4.08e-05|-0.06676|3.0724|403.54|0.2276|403.54|0.70123|0.70123|-1327.349444|0.2276|2.8743|-0.19618|0.02844675|-1327.398177|3.8724|0.38|6.4202|6.4202
7_a4|0|0|0.0|0.0|1|7.535296702|1|1|-0.237954652|-0.001729561|-0.07290303|2.048170299|-0.076100699|0.008409909|1|1|0.008242591|-0.094000778|2|0.8046449179999999|0.0707653759999999|0.825830607|-0.071288428|0.470973822|-32.72992462|7.402610584|14.01468959|87.67070691|-18.06277106|3.726212114|0.7179916670000001|-1.06932642|-16.47508541|-13.45652664|40.13253521|2286.169166|1915.566579|-6.773539148999999|5.512905888|9.797542165|0.7772010559999999|141.9530115|-270.9415659|-219.4585767|407.1471338|8.456594282000001|1.0|0.0|1.0|1.0|2.7|0.15|21.0|-7.46|4.67|95.07|1.0|2.0|-3.81|25.0|0.0|1.0|3.56|-4.41|0.000156|3.92e-05|3.22|0.0|0.0|1.15e-05|-0.05217|4.0379|307.05|0.0697|307.05|0.59702|0.59702|-1089705.0|0.0697|3.9832|-0.2219199999999999|0.02317758|-1089.753885|4926.0|151.0|6821.0|6821.0
12b_a5|0|0|0.0|0.0|0|6.605297921|2|2|-0.297319874|-0.001991527|-0.021265946|0.0|-0.1214831359999999|0.0068803119999999|0|0|0.00751901|-0.110182753|2|0.779793078|-0.033036296|0.827613693|-0.068586754|0.350286421|-41.76622313|10.44150403|138.67264319999998|108.7155967|-27.27837078|6.584944956|0.530379611|-1.165974822|-26.33991037|-12.90040679|52.20772716|2602.046823|1071.500538|-8.135654442|8.398709622|16.16438947|0.924627734|296.16656780000005|-463.7323032|-38.31786425|727.8586176|16.27715102|1.0|0.0|1.0|1.0|0.0|0.33|18.0|-7.67|0.72|123.46|1.0|5.0|-2.3|30.0|0.0|0.0|1.44|-3.45|0.00503|0.000359|1.63|0.0|0.0|8.5e-06|-0.10395|4.6156|857.76|0.2345|268.62|0.42949|0.70615|-1276.940335|0.0001|5.7174|-0.16607|0.03447919|-1276.9984029999998|8.2868|42.0|7.3768|7.3768
47f_a18|0|0|0.0|0.0|0|7.03438793|1|1|-0.005500039|-0.005817448|-0.048472184|0.0|-0.477030713|0.0036509859999999|0|0|0.00531392|-0.3927204379999999|0|0.750610215|-0.014370598|0.838156881|-0.084851044|0.375218907|-54.18475173|11.75478965|111.1889928|137.3980967|-61.15474298|9.979328976|0.726550657|-2.290978185|-46.00060733|-24.61956302|65.93954138|3367.7324700000004|2343.062749|-20.90098811|10.55465562|20.44855806|0.937396993|232.14715330000004|-1651.17806|-384.6642262|1347.416568|14.07716085|1.0|0.0|1.0|1.0|0.0|0.34|18.0|-9.22|3.6|164.47|1.0|13.0|-6.11|40.0|0.0|0.0|2.83|-5.52|7.76e-07|3.01e-06|4.52|1.0|1.0|3.27e-07|-0.04439|3.0964|400.42|0.5741|400.42|0.6984600000000001|0.6984600000000001|-1741.724929|0.5741|3.8532|-0.1724099999999999|0.02902413|-1741.802171|4.4861|9.0|8.0458|8.0458
16_a47|1|1|2.890539668|0.0|0|6.605297921|0|0|-0.134455235|-0.0056780519999999|-0.08282926|1.491023983|-0.23280014|-0.005688938|1|1|-0.004153659|-0.0574194159999999|2|0.812131575|0.081171071|0.691860453|-0.092995116|0.421094692|-48.30620628|9.676588112|63.13219447|159.6978638|-24.97833451|5.0150344780000005|0.697929921|-1.301931629|-25.03540372|-17.75645434|57.9827944|2315.178558|833.8646097|-9.202544293|6.855429069|13.01476838|0.898461533|156.55227280000005|-349.69668310000003|-205.1602001|357.35851410000004|12.16814835|1.0|0.0|1.0|1.0|1.95|0.06|21.0|-8.17|5.19|91.55|1.0|3.0|-4.34|25.0|0.0|1.0|3.52|-4.42|4.56e-05|3.84e-05|3.27|0.0|0.0|2.3e-06|-0.05717|4.4393|303.84|0.3182|279.29|0.59209|0.6743899999999999|-1166.901251|0.0909|2.3795|-0.22568|0.03384512|-1166.951551|3.8601|1.0|9.0|9.0
15_a4|0|0|0.0|0.0|1|7.535296702|1|1|-0.159419214|-0.001986535|0.0432718859999999|0.0|-0.077474847|0.009823083|1|1|0.00918585|-0.038707204|1|0.772721853|0.036363636|0.867716376|-0.073738544|0.2517542889999999|-29.80513879|5.223809291|12.70877085|63.43714456|-16.95780525|2.505098786|0.8438913020000001|-1.106078158|-14.29317436|-14.73400655|35.02894809|1973.978183|1495.715718|-7.065752187|5.459799482|9.709704127|0.7783994009999999|74.8625551|-254.3670787|-329.8289177|324.5687005|4.672449937|0.0|0.0|1.0|0.0|3.01|0.11|17.0|-6.09|4.4|85.06|1.0|2.0|-3.82|22.0|0.0|1.0|3.61|-4.28|0.000152|5.19e-05|3.49|0.0|0.0|0.000235|-0.03539|4.5048|294.16|0.1996|275.22|0.4778699999999999|0.56413|-958.147682|0.0969999999999999|2.1603|-0.2091199999999999|0.018092091|-958.195344|3.0091|175.0|6757.0|6757.0
5_a27|0|0|0.0|0.0|2|6.823286122000001|0|0|0.126882432|-0.0063562359999999|-0.149034787|1.271687295|-0.286030638|0.00991794|1|1|0.010329671|-0.341622797|2|0.760083119|-0.020087122|0.8531787759999999|-0.085078576|0.333977277|-29.50048722|8.936508815|10.48961936|77.37301579999999|-23.6277072|4.709432444|0.741481472|-1.276178645|-15.54640123|-16.01263727|38.43699603|2273.906133|1254.531539|-8.438466859|6.160679036|10.98289851|0.7827415529999999|136.2361487|-354.41560810000004|-254.5156507|424.8821143|8.684398894|0.0|1.0|0.0|1.0|3.11|0.16|21.0|-6.22|2.8|97.55|1.0|2.0|-3.61|25.0|0.0|1.0|2.82|-4.01|0.000248|9.78e-05|2.58|0.0|0.0|0.0002|-0.04554|4.0989|302.48|0.2448|302.48|0.64548|0.64548|-1082.967639|0.2448|2.3781|-0.21506|0.01903872|-1083.019748|3.5632|3.0|8.5229|8.5229
9b_a36|0|0|3.513187594|0.0|0|7.412764017000001|2|2|-0.053019801|-0.0058276019999999|0.082806042|0.0|-0.308862918|0.005050384|1|1|0.005458948|-0.094526372|1|0.7885597609999999|-0.1177413269999999|0.8453794609999999|-0.098301686|0.2602997|-46.58565720000001|10.68084402|67.12293326|97.10089515|-38.76797062|6.707514535|0.78242217|-1.769430355|-29.25555061|-22.67740953|57.26650122|2715.020034|2464.2160510000003|-14.24129533|7.549264797|13.80758516|0.828997331|136.63774650000002|-697.8234711|-354.7193098|620.9195447000001|9.967846072|0.0|1.0|1.0|0.0|0.0|0.14|17.0|-6.64|2.76|126.17|1.0|5.0|-4.6|29.0|0.0|0.0|2.48|-4.43|2.49e-05|3.71e-05|3.2|0.0|0.0|9.21e-05|-0.05146|3.8535|321.74|0.5392|321.74|0.69763|0.69763|-1575.557248|0.5392|6.2846|-0.20979|0.02803905|-1575.616432|8.4288|21.0|7.6778|7.6778
47u_a18|0|0|0.0|0.0|0|7.03438793|1|1|0.039883149|-0.010219187|0.008108241|0.0|-0.633589579|-0.000829573|0|0|0.00082284|-0.1904128389999999|0|0.7517870059999999|-0.053126304|0.741066474|-0.092271172|0.33777918|-62.99873374|14.42377665|86.37253771|180.5187465|-44.84707106|10.0557163|0.721837463|-2.029965788|-43.92035521|-23.98671253|77.42251040000001|2965.254516|1415.590236|-16.72263667|9.18142206|17.78724206|0.937307962|193.9244919|-986.6355633|-309.31352410000005|818.9389171|14.73941472|0.0|1.0|1.0|0.0|0.0|0.19|18.0|-8.2|3.02|133.53|1.0|8.0|-5.69|34.0|0.0|0.0|2.6|-4.98|2.05e-06|1.04e-05|3.9|0.0|0.0|2.89e-06|-0.06392|3.1186|397.57|0.5849|397.57|0.69143|0.69143|-1509.771642|0.5849|4.4624|-0.19109|0.02892505|-1509.839543|5.8058|1.97|5.7055|5.7055
17c_a50|1|1|0.0|0.0|2|7.934155233999999|2|2|-0.212075666|-0.002676029|0.021572081|2.193763306|-0.1766179239999999|0.01130519|2|2|0.012222674|-0.373205592|1|0.774994313|-0.212611846|0.89719894|-0.073693343|0.446454378|-35.70979598|14.91199042|133.46240020000002|70.72462009999998|-34.87982686|10.25908547|0.569750429|-1.32648017|-24.567468100000003|-14.96042594|50.6217864|2951.495914|2014.72331|-10.29240792|8.310163601000001|16.45688922|0.98033276|296.00120400000003|-627.8368834|-95.97318605|849.1345426000001|16.02658985|1.0|1.0|1.0|1.0|3.61|0.35|20.0|-6.79|3.53|134.28|1.0|6.0|-3.8|33.0|0.0|0.0|3.1|-4.43|0.000158|3.75e-05|2.86|0.0|0.0|7.08e-05|-0.03121|4.2397|306.65|0.1814|292.44|0.63122|0.66213|-1410.838844|0.1801|6.3989|-0.19818|0.02957871|-1410.902767|8.5146|69.0|7.1612|7.1612
14c_a23|1|1|0.0|0.0|2|7.423568444|0|0|0.06596946|-0.005822256|0.04174584|0.743546646|-0.296935034|0.010682694|2|2|0.009263715|-0.13187015|2|0.793551289|-0.077808321|0.922935039|-0.0800086929999999|0.2273163289999999|-37.73933093|12.52192141|38.43627129|51.21382308|-35.33439343|8.321492112|0.7834075309999999|-1.600173862|-25.07982076|-22.62557089|50.26125234|2955.304496|2379.221378|-15.0359121|7.832948614|14.49533577|0.8505592829999999|143.9373772|-706.6878684999999|-376.6791777|633.3278634|10.88903141|0.0|1.0|0.0|1.0|3.6|0.05|26.0|-7.99|4.67|125.29|1.0|5.0|-6.13|31.0|0.0|0.0|4.0|-5.55|7.49e-07|2.83e-06|4.21|0.0|0.0|4.55e-06|-0.0795299999999999|3.7031|334.81|356.0|334.81|0.56781|0.56781|-2089.293299|356.0|7.2704|-0.23096|0.02236136|-2089.354057|10.369000000000002|2.0|8.6253|8.6253
12r_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.015167821|-0.007553813|-0.093079817|0.0|-0.400352091|-0.002544958|1|1|-0.001131023|-0.145315868|1|0.83236194|-0.105767484|0.72072745|-0.109990462|0.451652492|-58.32042638|12.36992712|90.4724548|180.5098625|-45.9515743|7.995393191000001|0.790065337|-1.979828309|-37.69583567|-26.11584816|70.6903535|2976.944611|2433.580273|-16.88017015|7.467190577999999|13.94386247|0.867350555|135.6928105|-827.1283373|-374.9717191|616.2856203|10.96881384|0.0|1.0|1.0|0.0|0.0|0.14|17.0|-7.16|3.74|127.19|1.0|5.0|-5.49|31.0|0.0|0.0|3.21|-5.17|3.24e-06|6.71e-06|4.07|0.0|0.0|3e-05|-0.05244|5067.0|353.12|0.1908|244.69|0.32409|0.68476|-1774.009422|0.1522|5.2021|-0.20138|0.03388131|-1774.070699|6.5511|29.0|7.5317|7.5317
13j_a6|0|0|3.409065702|0.0|0|7.412764017000001|1|1|0.0353600779999999|-0.015004989|0.07522656|0.0|-0.855284356|-0.011017781|1|1|-0.007703306|-0.073507141|1|0.783333463|-0.079161042|0.6229641429999999|-0.129511589|0.205764388|-80.33128667|20.78979124|180.6709018|251.937353|-57.82670518|13.89184843|0.7841668409999999|-2.460720196|-53.67779048|-31.02389141|101.1210779|2907.3053210000003|2634.320708|-20.73032827|8.741405506|15.43329684|0.765539515|144.22085800000002|-1098.707398|-379.7635712|673.8038326000001|13.31076198|1.0|1.0|1.0|1.0|2.26|0.12|23.0|-8.5|3.54|120.17|1.0|6.0|-5.03|32.0|0.0|1.0|2.82|-4.48|9.32e-06|3.28e-05|2.95|0.0|0.0|1.36e-06|-0.0488899999999999|3.6504|348.28|0.2857|339.64|0.69993|0.7045100000000001|-1426.272674|0.0259|8.3187|-0.19491|0.03242949|-1426.335207|10.9731|262.0|6.5817|6.5817
12c_a31|0|0|3.387641566|0.0|0|7.765993078999999|1|1|0.046986783|-0.013026643|-0.030192572|0.0|-0.690412101|-0.003618466|2|2|-0.000813398|-0.223856622|0|0.842823186|-0.098452311|0.665463503|-0.129736755|0.343619017|-66.41224264|19.38414321|153.400467|212.313715|-52.25551342|12.30215386|0.6817087|-1.816314565|-42.14855504|-23.05449459|85.79638585|2592.4503010000003|1894.297124|-14.63154376|8.091269314|14.67172662|0.813278739|202.0036947|-731.5771879|-230.6429907|583.9691392000001|14.95027019|1.0|1.0|1.0|1.0|3.1|0.35|16.0|-7.24|3.7|108.16|1.0|8.0|-5.23|28.0|0.0|1.0|3.32|-4.16|5.85e-06|6.94e-05|3.1|0.0|0.0|2.31e-05|-0.0338399999999999|3.8328|323.48|0.2625|323.48|0.7007399999999999|0.7007399999999999|-1617.888981|0.2625|1.6786|-0.19288|0.04023903|-1617.951882|2.2908|0.38|6.4202|6.4202
12a_a5|0|0|2.981252568|0.0|0|7.139660336|1|1|-0.256282289|-0.00166971|-0.0036987359999999|0.0|-0.09350376|0.00873078|1|1|0.008649556|-0.093973419|2|0.779533861|-0.063558439|0.894590896|-0.067680123|0.337539208|-36.01436435|5.032443973|13.74268646|64.77671525|-25.55893402|3.0925714930000003|0.746785093|-1.353602454|-22.13179066|-15.99663329|41.04680832|2524.410428|899.5599904|-9.830359239|8.741980056000001|16.12184989|0.844187448|155.6073368|-511.1786804|-303.31208710000004|650.3600841|8.814051518|1.0|1.0|1.0|1.0|2.96|0.21|23.0|-8.83|4.26|119.38|1.0|5.0|-4.27|29.0|0.0|0.0|3.58|-4.59|5.37e-05|2.56e-05|3.38|0.0|0.0|5.660000000000001e-07|-0.04076|4.6865|297.97|0.4794|264.55|0.50831|0.67169|-1201.750315|0.0296|2.5642|-0.21228|0.03567816|-1201.8082029999998|3.9457|19.0|7.7212|7.7212
14e_a25|0|0|0.0|0.0|1|6.842683282|0|0|0.039261746|-0.008591251|0.0065927719999999|1.906869097|-0.524066339|-0.00131452|1|1|-0.0005394919999999|0.025802692|2|0.776960216|0.018432983|0.7240504329999999|-0.1004553119999999|0.448918026|-73.99302943|10.99497534|372.1805977|201.94039730000003|-53.79722636|8.046143033|0.806446896|-2.2100168680000003|-54.14823405|-28.3735856|84.98800478|3126.080106|2620.6698690000003|-20.76384175|8.459867391|16.63781964|0.966676175|141.642515|-1183.53898|-448.516796|811.3237836|11.09035375|1.0|1.0|1.0|1.0|2.72|0.07|27.0|-9.14|4.02|134.35|1.0|7.0|-5.14|35.0|0.0|0.0|3.02|-4.73|7.29e-06|1.86e-05|3.04|0.0|0.0|3.38e-07|-0.0538|5.8431|312.99|0.2409|212.19|0.31019|0.69958|-1520.701142|0.0007|5.3651|-0.2116699999999999|0.04875868|-1520.767443|7.2625|75.0|7.1249|7.1249
13f_a6|0|0|3.440154557|0.0|0|6.842683282|0|0|-0.088329567|-0.006930367|0.04505613|1.651047524|-0.381170169|-0.003356527|1|1|-0.001446486|-0.223618825|2|0.77199166|-0.088948538|0.863222493|-0.092939631|0.176745407|-49.2635105|12.46087045|62.42897239999999|91.85971442|-41.92004677|8.368715213|0.720711855|-1.672913351|-33.08535238|-22.02995852|61.72438096|2869.925064|3253.287533|-14.79531062|9.050440345|15.13042752|0.6717890999999999|187.5697972|-754.5608419|-296.4599736|676.2770877|13.19352214|1.0|1.0|1.0|1.0|2.21|0.08|27.0|-10.18|4.53|123.82|0.0|5.0|-5.11|32.0|0.0|1.0|3.19|-4.78|7.74e-06|1.65e-05|3.27|0.0|0.0|2.75e-08|-0.07786|4.8413|394.98|901.0|256.1|0.49643|0.70541|-1347.018087|0.0048|10.8469|-0.2059099999999999|0.03437105|-1347.0794119999998|13.9612|42.0|7.3768|7.3768
12k_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|-0.001755273|-0.007818038|-0.13882907|0.0|-0.44562817|0.0043261129999999|1|1|0.0053380919999999|-0.154412059|1|0.830875659|-0.067714819|0.815083558|-0.098188266|0.340031035|-52.35426525|16.01752015|106.8195439|122.5057244|-43.09444587|10.61148425|0.7081361979999999|-1.865577056|-34.68429919|-23.31944323|68.37178540000001|2920.279667|2277.687222|-15.44895229|8.416930701|15.93977881|0.893775698|193.3575303|-818.7944715|-275.77726980000006|704.0353382000001|14.9823028|0.0|1.0|1.0|1.0|0.0|0.17|17.0|-6.74|2.63|133.77|1.0|6.0|-5.44|31.0|0.0|0.0|2.57|-4.93|3.59e-06|1.19e-05|3.84|0.0|0.0|7.87e-05|-0.05055|5.1958|357.15|0.2257|238.62|0.39318|0.6864899999999999|-1690.031103|0.1512|4.9516|-0.19798|0.03357755|-1690.094082|5.0736|24.0|7.6144|7.6144
1h_a5|0|0|2.9516097130000003|0.0|0|6.605297921|0|0|-0.259241577|-0.001978474|-0.02598568|0.0|-0.085074391|0.008031558|1|1|0.007357977|0.0578378779999999|2|0.780175595|-0.082079343|0.8806402259999999|-0.069496749|0.39793593|-35.25675213|4.588992214|160.0744187|62.25239147|-18.90429957|2.393400474|0.7450549759999999|-1.111947978|-18.38824808|-14.49848188|39.84574434|2107.271793|819.6979313999999|-7.561719827|6.711386288|13.14687756|0.958891501|132.96722079999998|-302.4687931|-255.618083|409.0289917|8.268552715|1.0|0.0|1.0|1.0|2.07|0.05|23.0|-8.41|4.51|95.45|1.0|3.0|-4.25|24.0|0.0|1.0|3.43|-4.45|5.5700000000000005e-05|3.5600000000000005e-05|3.43|0.0|0.0|1.21e-06|-0.04124|4652.0|284.03|0.3333|266.52|0.4112699999999999|0.57155|-990.472129|0.1754|2.2396|-0.21921|0.031392033|-990.523098|3.3752|28.0|7.5528|7.5528
12d_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|0.041181359|-0.006335328|-0.092984185|0.0|-0.354778373|0.005613018|1|1|0.005965451|-0.09353607|1|0.8017873000000001|-0.130412856|0.843009925|-0.094239701|0.366319099|-47.69710881|10.05700314|85.1932288|101.4221952|-39.33285959|6.497247279|0.8143892140000001|-1.884794029|-30.81433963|-23.41646662|57.75411196|2784.836855|2323.480646|-15.12802292|7.557073995|13.92427286|0.84254817|119.91237920000002|-786.6571918999999|-406.2173266|686.039456|8.672532296|0.0|1.0|1.0|0.0|0.0|0.17|17.0|-7.01|2.93|132.24|1.0|5.0|-5.66|30.0|0.0|1.0|2.91|-5.15|2.21e-06|7.05e-06|4.23|0.0|0.0|4.02e-05|-0.05119|3.4821|356.06|149.0|356.06|0.68608|0.68608|-1614.831682|149.0|4434.0|-0.1991|0.03187624|-1614.894406|4.8843|11.0|7.9508|7.9508
8b_a8|0|0|3.191799887|0.0|1|7.535296702|1|1|-0.023718767|-0.013834266|0.019958073|0.0|-0.733216119|-0.0055544409999999|1|1|-0.003593429|0.079250224|1|0.778853499|-0.0527918259999999|0.558354653|-0.11627069|0.28604765|-79.74587194|19.87542051|172.84152849999998|270.5854753|-43.64473805|12.1771918|0.781454722|-2.325413799|-48.85837649|-29.07602182|99.62129245|2863.095568|1821.324722|-17.8141788|7.507665421|14.53652808|0.936224813|133.8974321|-872.8947609999999|-344.8810688|589.263087|13.73949201|0.0|1.0|1.0|0.0|2.93|0.09|23.0|-7.13|3.03|114.18|1.0|4.0|-4.77|31.0|0.0|0.0|2.9|-4.43|1.6899999999999997e-05|3.69e-05|2.76|0.0|0.0|3.04e-05|-0.06114|4.5819|375.8|0.2618|270.59|0.57234|0.70195|-1406.829227|0.1515|5.8389|-0.19921|0.03204403|-1406.887058|7.4497|5.08|5.2941|5.2941
17d_a50|1|1|0.0|0.0|2|8.105609402|2|2|-0.152030219|-0.002166617|0.006071856|2.234730384|-0.140830095|0.012079|2|2|0.01245647|-0.323333765|1|0.748516466|-0.2177003589999999|0.929886823|-0.069790853|0.8020670809999999|-30.63468215|10.55016861|5.007868064|48.62532158|-33.56790124|7.31681784|0.75405703|-1.535398758|-21.24595322|-17.74731987|41.18485076|2824.70142|2950.99157|-12.30823045|6.996105516|12.62170017|0.8041037459999999|170.5678813|-738.4938272999999|-352.3903892|829.3813984|9.139672835|1.0|1.0|1.0|1.0|3.68|0.35|20.0|-7.07|4.29|133.19|1.0|6.0|-4.5|32.0|0.0|0.0|3.68|-4.88|3.17e-05|1.31e-05|3.72|0.0|0.0|3.63e-05|-0.03251|4.0506|306.09|0.1819|306.09|0.66103|0.66103|-1335.649722|0.1819|5.6557|-0.19967|0.02625058|-1335.713194|7.9942|74.0|7.1308|7.1308
1_a1 (SKF-104365)|0|0|0.0|0.0|1|7.535296702|1|1|0.011230812|-0.006055958|-0.091086986|0.0|-0.218014497|0.000663414|1|1|0.002250781|-0.300426726|1|0.7926983559999999|0.194988905|0.8131557509999999|-0.081192283|0.2405471019999999|-31.45099608|6.18316314|6.658828587|86.42113499|-17.369816|2.859900586|0.709744919|-0.9743074|-14.547040099999998|-13.65596178|37.63415922|1997.193006|1551.362941|-6.316296726|5.2735884010000005|9.042613965|0.71469847|134.2517831|-208.4377919|-194.0267797|297.2783688|8.775956802|1.0|1.0|1.0|1.0|2.68|0.12|17.0|-6.0|4.28|81.72|1.0|2.0|-3.8|21.0|0.0|1.0|3.27|-4.02|0.000159|9.65e-05|2.96|0.0|0.0|0.000295|-0.03482|3.8901|318.72|0.2178|318.72|0.70081|0.70081|-1278.971649|0.2178|4.5773|-0.19624|0.02377006|-1279.017667|6.9338|1.6|5.7959|5.7959
