molecula|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|nARing|MATS2c|AATSC1c|MATS7i|SaaaC|ATSC1c|AATSC1are|n5aRing|n5aHRing|AATSC1pe|AATSC1i|n6aHRing|BIC2|MATS8d|RASA|FNSA5|PBF|PNSA3|PPSA3|RNCS|TPSA_x|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA1|Mor01p|PPSA5|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12a_a36|0|0|3.4715209280000003|0.0|0|7.412764017000001|2|2|-0.0632801509999999|-0.007471648|0.078063311|0.0|-0.403468978|0.002039107|1|1|0.003199301|-0.183140926|1|0.7934042040000001|-0.119322074|0.820684627|-0.104828755|0.436020272|-46.76212019|12.03249549|109.9069212|110.1075804|-39.52572284|7.388485123|0.755315434|-1.886917597|-28.71401279|-23.17301945|58.79461567|2647.835699|2258.5909920000004|-14.22926022|6.600635115|12.464492300000002|0.888377722|150.24716030000002|-711.4630111|-313.5499672|598.1535763999999|11.72953701|0.0|0.0|1.0|0.0|0.0|0.14|17.0|-6.59|1.88|123.75|1.0|5.0|-3.79|29.0|0.0|0.0|1.86|-4.0|0.000164|0.000101|2.68|0.0|0.0|9.78e-05|-0.04946|3.8343|338.0|0.4435|323.35|0.67869|0.6997|-1232.707754|0.0012|6.3637|-0.20139|0.03544528|-1232.764108|8.5603|13.0|7.8861|7.8861
1a_a18 (SB-431542)|0|0|3.3674017380000003|0.0|0|7.423568444|1|1|0.043282217|-0.015636898|0.1008839219999999|0.0|-0.766207981|-0.011639964|1|1|-0.008385698|-0.033765606|1|0.7462411859999999|-0.083341531|0.5940412860000001|-0.122555709|0.210046675|-74.98172333|19.58668728|160.410387|240.8019609|-43.12110169|11.61820782|0.7531996609999999|-2.083447046|-44.47680367|-27.46300805|94.56841061|2678.82389|1890.195809|-16.29019397|7.52384981|14.26170773|0.895533283|146.3942108|-733.0587287000001|-300.3801761|513.4628663999999|14.4623285|1.0|1.0|1.0|1.0|2.35|0.05|23.0|-7.69|3.63|106.85|1.0|4.0|-4.52|29.0|0.0|1.0|2.85|-4.25|3.03e-05|5.660000000000001e-05|2.7|0.0|0.0|7.81e-06|-0.05971|3.8208|376.27|0.5767|324.5|0.55409|0.69868|-1292.358966|0.3347|5.9926|-193.0|0.03494548|-1292.414518|8.8609|125.0|6.9031|6.9031
4f_a49|0|0|0.0|0.0|1|7.535296702|1|1|0.010266272|-0.008903208|-0.087861524|1.5830545580000002|-0.418450768|0.001532832|1|1|0.001714014|-0.025995042|2|0.7927086309999999|0.114367229|0.7370618040000001|-0.089955514|0.480786546|-55.88123394|9.007637695|193.615884|142.7551002|-26.51573683|4.89045046|0.718306291|-1.439288231|-30.33918719|-18.1726086|64.88887164|2458.261097|1629.651745|-9.866320682|6.302023735|11.20071713|0.7773206840000001|152.9378926|-424.2517893|-237.0468572|467.1194103|11.34983222|1.0|1.0|1.0|0.0|2.35|0.14|21.0|-6.54|3.8|102.08|1.0|3.0|-3.99|27.0|0.0|1.0|2.85|-4.09|0.000102|8.120000000000001e-05|2.64|0.0|0.0|0.000104|-0.06954|4.6249|334.21|0.2368|268.08|0.39584|0.68474|-1179.029099|0.0579999999999999|1.7833|-0.22471|0.03476467|-1179.080799|1.8254|0.04|7.3979|7.3979
8b_a50|1|1|3.1324050960000003|0.0|1|7.860570786|1|1|-0.115740384|-0.0045301379999999|-0.096039086|1.98971238|-0.1812055289999999|0.006841944|2|2|0.007057361|-0.116174481|1|0.809463375|-0.031953774|0.845349082|-0.078068703|0.267094693|-34.79187329|10.30543157|131.417573|74.08248511|-17.91443197|4.93661461|0.6717097959999999|-1.092961836|-16.66636363|-14.54338619|45.09730487|2143.807599|1401.458274|-6.966723542|5.292277178|9.26652151|0.75095166|157.2609748|-250.8020475|-164.5084115|339.5806858|11.63112165|1.0|0.0|1.0|1.0|1.69|0.06|20.0|-5.94|3.41|89.78|2.0|2.0|-3.44|23.0|0.0|1.0|2.51|-3.81|0.000359|0.000154|2.55|0.0|0.0|0.000347|-0.02903|4.5256|296.58|0.1717|273.96|0.5533|0.59283|-967.212701|121.0|3.8213|-0.20144|0.036701907|-967.258772|5.8205|68.0|7.1675|7.1675
20a_a10|0|0|0.0|0.0|1|7.535296702|1|1|-0.0774974029999999|-0.0034618129999999|-0.035536682|1.896409603|-0.197323337|0.008214031|1|1|0.008297595|-0.081587712|2|0.755429696|0.019448804|0.913681336|-0.072821454|0.591835899|-43.19189039|8.860330345|66.52185003|56.1599532|-30.82502228|5.764636687|0.733451892|-1.456429076|-28.10115947|-18.22250274|52.05222074|2998.608651|2021.669282|-11.8557778|8.419180593|15.37476788|0.826159649|173.41938059999998|-616.5004457|-303.7731758|719.5272609|10.76131538|0.0|1.0|1.0|1.0|3.63|0.11|27.0|-9.44|5.77|126.35|1.0|4.0|-5.68|33.0|0.0|1.0|4.27|-5.59|2.07e-06|2.56e-06|4.36|0.0|0.0|1.55e-07|-0.06611|4.7841|323.62|0.2738|259.16|0.50193|0.6864600000000001|-1388.897416|107.0|2.9429|-0.2274199999999999|0.03217287|-1388.957848|3.2116|1.2|5.9208|5.9208
7l_a46|0|0|0.0|0.256706467|1|7.727094485|1|1|-0.2644255789999999|-0.00090473|-0.203375108|0.0|-0.038903382|0.013150047|1|1|0.0125870169999999|-0.143129469|2|0.7746144629999999|0.076724694|0.907148114|-0.06289606|0.253138137|-27.30136533|5.5935102720000005|8.13531199|44.79605077|-14.63933792|2.698568452|0.67467081|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|1920.310099|1246.417766|-5.1237682730000005|5.273701985|9.825660656|0.863142947|156.9538706|-204.9507309|-168.5385796|375.721552|7.878766604|1.0|0.0|1.0|1.0|2.64|0.28|17.0|-6.29|3.59|86.96|1.0|2.0|-3.18|22.0|0.0|1.0|2.86|-3.72|0.000668|0.0001889999999999|2.61|0.0|0.0|0.000151|-0.03324|4.5464|272.71|0.2024|272.71|0.68834|0.68834|-915.446686|0.2024|3.3119|-0.2231699999999999|0.025086919|-915.493986|3.9009|1.94|5.7122|5.7122
12al_a36|0|0|3.469383582|0.0|0|7.412764017000001|2|2|-0.06777947|-0.008463062|0.1030147719999999|0.0|-0.4908576189999999|0.00127667|1|1|0.003077071|-0.239932418|1|0.8344566859999999|-0.055405405|0.801179217|-0.105915949|0.2689491989999999|-51.22331485|17.71943397|114.2305891|130.8308989|-45.86257662|11.65999569|0.671084645|-1.906487074|-33.70669917|-23.23210974|68.94274882|2843.740855|2244.88081|-15.28752554|8.774664332|16.15533063|0.841133748|216.4375922|-825.5263792000001|-225.1591357|679.7230552999999|17.07995636|0.0|0.0|1.0|0.0|0.0|0.17|17.0|-6.69|1.89|130.24|1.0|6.0|-3.95|31.0|0.0|0.0|1.81|-4.07|0.000113|8.499999999999999e-05|2.65|1.0|0.0|8.340000000000001e-05|-0.04998|3878.0|349.14|0.4466|319.71|0.6945399999999999|0.70417|-1347.196501|0.0095|6.4473|-0.1955599999999999|0.03469224|-1347.257936|8.1781|48.0|7.3188|7.3188
14_a15|0|0|0.0|0.0|0|0.0|0|0|-0.058775738|-0.006678826|-0.033982971|0.0|-0.374014235|0.001740635|0|0|0.0034254209999999|-0.184255041|2|0.719993769|-0.028227917|0.8870890459999999|-0.0917424269999999|0.7461324029999999|-40.89540491|9.403293601|92.51564418|72.36402409|-37.68282812|6.026520371|0.770309725|-1.743106111|-26.20964538|-21.0782518|50.29869851|2612.691478|2731.841165|-13.50893838|6.040010666000001|10.18067005|0.685538423|147.2072638|-715.9737342999999|-346.4801021|673.7288405|9.797353271|1.0|0.0|1.0|1.0|3.72|0.12|24.0|-9.82|6.3|119.95|1.0|6.0|-6.22|30.0|1.0|1.0|4.7|-5.83|5.99e-07|1.47e-06|5.29|0.0|0.0|5.99e-08|-0.0338199999999999|4.4518|342.41|0.3131|278.5|0.65079|0.7055899999999999|-1280.809256|0.0054|3.3596|-0.18379|0.03885834|-1280.87015|5.0894|0.03|7.5229|7.5229
18c_a30|0|0|0.0|0.0|0|7.412764017000001|2|2|0.12157783|-0.0109670669999999|0.011887112|0.0|-0.625122815|-0.003436924|1|1|-0.002215642|0.006103754|1|0.8303425640000001|-0.058608635|0.717052026|-0.1115683|0.42531141|-71.31647561|13.07260474|384.391404|191.0545887|-50.86775696|8.826997739|0.7859920029999999|-2.2313660090000003|-48.15493021|-28.4279687|84.38908035|3002.59061|3094.729399|-19.19537998|7.646050338999999|13.8741593|0.81455244|144.5043388|-1017.355139|-386.2200097|713.7769663|12.43138832|0.0|0.0|1.0|0.0|0.0|0.13|17.0|-6.19|1.72|135.37|1.0|6.0|-5.01|32.0|0.0|0.0|1.91|-4.3|9.68e-06|5e-05|2.74|0.0|0.0|0.000288|-0.05575|3.4848|355.78|0.3879|355.78|0.69123|0.69123|-1744.2261030000002|0.3879|6.6462|-198.0|0.04503016|-1744.28923|8.64|12.0|7.9208|7.9208
4k_a46|0|0|0.0|0.173180233|1|7.825245291|1|1|-0.050636784|-0.0049602|-0.104665424|0.0|-0.252970193|0.006550513|1|1|0.006050983|0.012963356|1|0.7477594870000001|-0.141706595|0.8789113709999999|-0.086581945|0.260665072|-49.65634024|3.801175594|171.92614719999997|65.39662252|-25.25406274|2.052909907|0.8732380740000001|-1.471893066|-26.8180173|-16.56101615|53.45751583|2104.876032|1912.936687|-8.94414722|5.726809252000001|9.829220349|0.7163519709999999|68.46061366|-429.3190666|-403.1511415|519.5743695|3.722397006000001|1.0|0.0|1.0|1.0|3.03|0.33|17.0|-6.61|4.77|100.96|1.0|2.0|-4.82|25.0|0.0|1.0|3.79|-4.83|1.5e-05|1.4800000000000002e-05|4.05|0.0|0.0|8.28e-05|-0.01712|5.4228|278.71|0.2259|228.63|0.39943|0.68553|-1053.196897|0.1505|4.0015|-0.20254|0.03653474|-1053.249847|5.7714|0.08|7.0969|7.0969
