molecula|SddssS|NaasN|nARing|MATS2c|AATSC1c|SRW07|n6HRing|MATS7i|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PBF|PNSA3|PNSA5|PPSA3|RNCS|RPSA|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|DPSA5|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Leadlikeness|Veber filter|Log S (Ali)|Log Kp (cm/s)|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|pIC50|pIC50
6_a4|0.0|1|1|-0.19701009|-0.001221193|5.4161004020000005|2|0.042096749|-0.064723237|0.0032928379999999|10.92992785|-0.208689928|1|1|0.01098094|0.0671397079999999|-0.046166422|-0.073630392|-0.1738111839999999|2|0.664591856|0.76089528|-0.169533683|1|0.945545838|-0.052396457|0.417868437|-29.18838891|-37.33240845|4.324187697|14.1731579|0.054454162|2.408866521|45.93422613|0.814470803|-1.206286076|-16.25991695|42.27020924|33.5125766|0.423084148|2342.371538|526.7333132|-671.9833521|1968.0178670000005|-7.639600225|0.1855291969999999|5.758624844|9.981741408|5256.215815|103.3523757|-374.340411|16.83786074|-350.36323230000005|0.0|1.0|0.0|3.38|3.45|0.26|21.0|-7.99|5.23|43.6|2.0|0.0|-4.91|-5.42|4.23|-5.11|1.24e-05|7.74e-06|0.00274|0.0|3.67e-06|4.8714|4.11|4.0354|-1108.585859|-1108.563418|613.83|307.24|0.1235|453.87|0.60542|0.0772|-0.2182599999999999|0.02244097|5.8861|5.8861
12n_a36|-3.404662145|0|2|0.039596635|-0.0099988159999999|5.351858133|2|0.027627601|-0.619926573|-0.035989956|10.31810354|-0.000273044|1|1|-0.001160331|0.048110172|-0.15024383|-0.261631709|-0.5181211520000001|1|0.8183043390000001|0.81793955|0.162338703|0|0.720111143|-0.089275906|0.239018516|-60.42525197|-78.42650015|14.28426215|67.52548352|0.279888857|9.668119648|26.74179417|0.741751453|-2.317440678|-40.89805687|92.79755725|74.70951411|0.454498749|3482.18259|487.397992|-1568.530003|3465.537153|-18.30412788|0.258248547|6.863551112000001|12.58209967|7657.057548000001|174.79221719999998|-1061.639417|36.45914091|-327.25274110000004|0.0|0.0|3.0|5.03|0.0|0.17|17.0|-6.87|2.15|123.75|1.0|0.0|-3.85|-8.03|1.18|-3.72|0.0001409999999999|0.0001889999999999|0.0897|0.0|6.45e-05|5.3573|6.24|3.6382|-1876.201464|-1876.168847|714.14|340.78|0.3921|566.87|0.32172|0.0155|-0.19984|0.03261661|7.8239|7.8239
12t_a30|0.0|0|2|0.073057637|-0.007755575|5.351858133|2|-0.0596036729999999|-0.411045472|-0.0682882559999999|10.31162892|-0.04950715|1|1|-0.001131023|-0.158448053|-0.0546637159999999|-0.145315868|-0.464720444|1|0.609043558|0.83236194|-0.003937967|0|0.696413582|-0.090535776|0.408290036|-58.89093185|-65.79920855|12.26965165|88.42093081|0.303586418|7.981057356|0.0|0.745705883|-1.82081145|-38.30686627|78.8278828|71.1605835|0.445760296|2976.648597|452.99711|-1184.385754|2479.787504|-15.72263361|0.254294117|7.957774504|14.358001500000002|6617.834146|165.4110479|-770.409047|32.41376848|-319.6492937|1.0|0.0|1.0|4.63|0.0|0.14|17.0|-7.16|3.74|81.65|2.0|0.0|-5.49|-6.06|3.21|-5.17|3.24e-06|6.71e-06|0.00291|0.0|3e-05|5.0693|4.32|3.5457|-1774.2421780000002|-1774.208418|677.85|349.67|0.2094|527.87|0.33647|0.1561|-0.20571|0.0337599|8.0496|8.0496
17b_a6|0.0|0|1|0.1012747369999999|-0.01272079|5.351858133|1|0.139594234|-0.6869226490000001|-0.0385646|10.949638|-0.0791229359999999|1|1|-0.00194781|0.231025646|-0.10896749|-0.180339002|-0.563310199|1|0.850080948|0.7788169070000001|0.002947625|0|0.753949098|-0.095450984|0.318652397|-62.63196368|-71.65078895|20.48861696|155.8689396|0.246050902|13.44399246|557.7093661|0.7706671740000001|-2.074717455|-41.0971443|84.71888279|83.12058064|0.4548818979999999|2816.0632920000003|494.7179214|-1361.36499|2207.972178|-17.86570631|0.229332826|8.974770742|16.46390151|5985.963521|150.48105900000002|-893.2853154999999|35.32951798|-355.2067434|1.0|1.0|2.0|3.53|2.89|0.12|23.0|-9.01|4.32|95.85|2.0|0.0|-5.81|-5.89|3.6|-5.17|1.56e-06|6.69e-06|0.00274|0.0|4e-07|3.5444|4.04|2.9964|-1350.102764|-1350.078181|690.98|413.78|0.3949|575.2|0.69615|0.0033|-0.18281|0.02458322|6.8153|6.8153
14_a47|0.0|0|0|-0.126490693|-0.006070958|4.59511985|2|0.017068634|-0.2306964|-0.01670074|10.95058279|0.0295267039999999|1|1|-0.006335783|0.05124606|-0.020596219|-0.061837113|-0.33240126|2|0.5975877820000001|0.777675668|-0.085385518|1|0.681598464|-0.093553938|0.2662137639999999|-47.18187618|-47.47362906|10.1400648|64.60629385|0.318401536|5.113919242|0.0|0.664709719|-1.223721666|-23.79514424|61.62381153|57.32194098|0.474828277|2254.664317|343.7492333|-617.1571777|670.2518865000001|-8.892848121|0.335290281|6.909385453|13.15643085|4695.98899|169.0962983|-311.2496842|26.52746264|-166.1354667|1.0|1.0|2.0|2.78|1.53|0.0|21.0|-7.79|4.88|66.49|0.0|0.0|-3.97|-6.21|3.16|-4.13|0.000108|7.46e-05|0.0241|0.0|5.27e-06|3.9671|2.64|3.9671|-1127.737484|-1127.700693|519.55|312.53|0.2452|375.43|0.68345|0.2452|-0.22434|0.03679054|8.1|8.1
12f_a40|0.0|1|0|-0.03356339|-0.006206277|5.4161004020000005|0|0.070099257|-0.235838511|0.108909202|10.31197207|-0.172869148|2|2|0.006841832|0.115814835|-0.033224348|-0.054891771|-0.397377446|0|0.679527138|0.777316288|-0.160218113|1|0.909993912|-0.067004323|3.43e-05|-37.02024147|-45.41519509|11.90644165|62.72992556|0.090006088|6.57837176|61.55859085|0.7314440520000001|-1.150781297|-20.45387851|56.53158029|48.92668311|0.490421149|2383.68369|502.7764322|-635.8127312999999|628.5604981|-10.03685385|0.268555948|8.404802652999999|16.49362536|5326.217734000001|148.3785764|-351.2898849|24.83590915|-255.7481174|1.0|0.0|0.0|3.24|3.61|0.06|20.0|-7.32|5.44|67.66|2.0|0.0|-6.58|-4.76|4.76|-5.99|2.66e-07|1.02e-06|0.0003819999999999|0.0|1.8100000000000003e-05|4.3313|4.77|2.8374|-2212.359379|-2212.348599|572.63|436.97|0.4348|487.85|0.6679999999999999|0.3858|-0.19526|0.01077929|6.4202|6.4202
11_a15|0.0|0|1|-0.1758968389999999|-0.0064953419999999|0.0|3|-0.036023137|-0.402711212|-0.0856783419999999|10.95979791|0.023543401|0|0|0.003766915|-0.056500144|-0.173728081|-0.272482143|-0.363940085|2|0.843715005|0.718800243|0.0234789439999999|0|0.8945381259999999|-0.064429158|0.632319408|-44.15161868|-66.78526188|12.69062406|143.8088883|0.105461874|8.696553172|0.0|0.739315684|-1.949155337|-30.25595097|79.1792768|56.84224275|0.470042906|3022.859488|613.0036107000001|-1335.705238|2565.707165|-15.7814467|0.260684316|6.233494755|11.76226306|7002.915718000001|178.640152|-915.3239085|31.14961732|-327.9935744|1.0|1.0|1.0|4.1|4.25|0.07|24.0|-8.9|6.69|59.51|2.0|0.0|-6.32|-5.26|4.62|-6.1|4.77e-07|7.970000000000001e-07|0.000357|0.0|5.7e-07|4.7106|5.04|2.9595|-1450.740771|-1450.705737|739.57|418.94|0.2657|568.22|0.58935|0.0011|-0.16011|0.03503399|6.1314|6.1314
47k_a18|0.0|0|1|0.029145635|-0.0067578909999999|4.844187086|0|-0.017736343|-0.5135996820000001|-0.02822032|10.94702256|-0.008576013|0|0|0.00493127|-0.026672956|-0.279965025|-0.421027889|-0.451417954|0|0.762665453|0.721697829|0.022512501|0|0.8309354040000001|-0.065324278|0.3533268229999999|-51.59195677|-69.77479556|11.91029894|20.66242736|0.169064596|9.406543039|58.77865447|0.7153044209999999|-2.208671853|-40.74641317|84.23875372|63.50225571|0.467246896|3245.964586|656.2580564|-1744.369889|2009.418849|-18.87222501|0.284695579|9.777177947|18.35217454|7575.637462000001|224.8475227|-1377.672426|33.40602576|-340.0872332|1.0|1.0|2.0|4.66|0.0|0.3|18.0|-8.44|3.17|88.97|3.0|1.0|-5.84|-6.41|2.53|-5.33|1.44e-06|4.65e-06|0.0023899999999999|1.0|1.85e-06|3.0948|8.45|3.0948|-1664.756029|-1664.728002|842.29|400.63|0.5920000000000001|793.48|0.69823|0.5920000000000001|-0.17135|0.02802749|7.5376|7.5376
18c_a25|0.0|1|0|-0.087958541|-0.002704524|4.727387819|2|0.007241543|-0.162271435|-0.038865826|10.31285373|0.006360768|1|1|0.007488918|0.01222181|-0.038006869|-0.064145547|-0.282103688|2|0.7644072209999999|0.748718056|0.084188427|1|0.94801724|-0.048636087|0.385593349|-31.96445203|-47.27625541|6.300016824|26.54367263|0.05198276|4.140476673999999|0.0|0.7479204509999999|-1.510614788|-21.00757374|56.83666555|38.26446885|0.484730247|2917.369488|623.0528232|-992.8013635|2095.730631|-11.65153036|0.2520795489999999|7.553051762000001|14.65844196|6736.25597|165.67090530000002|-652.4856999|23.70385212|-325.8749539|1.0|1.0|1.0|3.58|3.89|0.11|27.0|-10.17|6.11|87.72|2.0|0.0|-6.05|-5.85|4.77|-5.6|8.86e-07|2.51e-06|0.00113|0.0|3.0499999999999995e-08|5.4858|4.75|3.3396|-1714.597797|-1714.5777670000002|698.86|371.26|0.3558|547.87|0.31993|0.0041|-0.19532|0.02003004|7.0555|7.0555
8b_a31|0.0|0|1|-0.01883655|-0.013629145|5.733341277|0|-0.130371116|-0.57242407|-0.211457443|10.31170011|-0.069423138|2|2|-0.006785954|-0.222667869|-0.05421947|-0.092604362|-0.510259793|0|0.928940547|0.843119174|-0.058494079|0|0.6076192260000001|-0.120703408|0.281200674|-63.04219151|-69.24221375|16.89414614|129.8921115|0.392380774|8.823644775|472.8995873|0.703469355|-1.590890986|-32.92631065|82.21438954|79.93633765|0.479278|2189.617009|317.3534883|-830.906565|1587.743824|-11.12754483|0.296530645|6.142377144|11.79588561|4696.728592|154.8750114|-433.9742484|30.28603362|-212.5400476|0.0|1.0|2.0|3.4|2.71|0.25|16.0|-5.73|2.74|114.29|0.0|0.0|-4.05|-6.87|2.52|-3.4|8.97e-05|0.000399|131.0|0.0|0.00061|3.8582|1.77|3.8582|-1386.852117|-1386.815519|566.18|321.36|0.2643|439.96|0.70036|0.2643|-0.19265|0.03659821|5.6576|5.6576
