molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8d|GATS1pe|nFaHRing|FNSA5|PNSA3|PNSA5|RNCS|TPSA_x|FNSA4|WNSA5|RPCS|FNSA2|DPSA5|DPSA3|GeomPetitjeanIndex|PNSA2|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|FPSA5|DPSA2|P-gp substrate|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
19a_a38|0.0|1|0|3.3685352889999995|0.0|7.412764017000001|2|2|0.0|-0.084389038|-0.007986407|2|0.043848238|0.054257043|0.0|-0.431265985|10.96083376|-0.077535135|1|-0.000673716|0.116434494|-0.217394466|-0.4342819429999999|0.724208473|0.819222745|-0.133130383|0.698414933|0|-0.108300308|-51.36166266|-64.73159672|137.2318698|151.1278869|-0.038988111|-38.69037594|0.0|-1.949405536|77.20795279999999|64.59623135|0.465829126|-1165.168741|0.255203463|12.96056449|0.872060139|6115.030149|152.5362948|-696.4267669|0.020873781|1564.412135|1.0|17.0|3.13|81.23|2.4|1.0|125.69|0.0|1.0|5.0|-4.14|30.0|4.0|-6.77|401.44|0.0|0.0|2.68|-4.17|7.209999999999999e-05|0.0272|0.0|-0.05271|3.9212|3.41|3.6504|-1332.186327|-1332.1529369999998|628.65|1092.25|0.2668|316.19|-1331.94466|0.0721|-0.15108|4.7986|-0.20379|-1332.002093|6.0223|0.01|8.0106
12bf_a36|0.0|1|0|3.31325137|0.0|7.412764017000001|2|2|0.0|-0.024689509|-0.00832865|2|0.044197531|0.140577067|0.0|-0.4497470879999999|10.96022305|-0.0206090089999999|1|-0.004358975|0.359635716|-0.250781298|-0.433281391|0.653741315|0.836170906|-0.033696875|0.632625562|0|-0.110255801|-58.26326838|-71.01192632|87.14111344|206.6543367|-0.037486972|-45.73631152|0.0|-1.874348624|86.28460578|72.27889645|0.474826911|-1207.2027480000002|0.294529031|14.37031118|0.904134124|6271.550446|189.6959033|-777.5172959|0.02371294|1711.2011699999998|1.0|17.0|3.55|69.2|2.78|1.0|123.67|0.0|1.0|5.0|-3.99|31.0|6.0|-6.8|417.41|0.0|1.0|2.44|-4.32|0.000102|0.0201|0.0|-0.0571299999999999|5.2319|3.66|3874.0|-1431.413697|-1431.380702|670.85|1120.94|0.4518|236.98|-1431.187555|0.4006|-0.15677|5.4787|-0.2139|-1431.246893|7.5932|6.0|8.2218
17_a3|0.0|0|0|0.0|0.0|6.823286122000001|0|0|0.0|0.188373421|-0.009450704|2|0.047430556|-0.015463451|1.709081227|-0.349676046|10.31163036|-0.0510707059999999|1|-0.006696449|-0.027542873|0.036673175|-0.633373061|0.881253042|0.767641592|-0.085686119|0.773152968|1|-0.096067661|-50.20132919|-48.88298017|234.4907116|100.2028184|-0.039557272|-24.87357062|76.17242478|-1.344947254|55.39769571|55.45324083|0.4383349039999999|-684.3617224|0.159937821|11.12358659|0.780420408|4839.543958|81.38261354|-348.2299886|0.012803096|814.6560331000001|1.0|21.0|4.96|92.93|2.37|1.0|95.5|0.0|1.0|2.0|-5.53|23.0|3.0|-5.61|338.81|0.0|0.0|3.71|-4.93|2.96e-06|0.00399|0.0|-0.0720399999999999|3.2102|3.57|3.2102|-1731.75233|-1731.72355|537.32|891.3|0.4062|386.22|-1731.6147670000005|0.4062|-0.13155|3.8077|-0.20359|-1731.663157|4.8815|23.0|7.6383
9n_a24|0.0|1|0|2.961528903|0.0|6.605297921|0|0|0.0|-0.2452954769999999|-0.003323852|2|0.024179894|-0.141205159|0.0|-0.182811885|10.94875265|-0.03088354|1|0.008809179|-0.22754075|-0.200646773|-0.225226606|0.786587307|0.7584388259999999|-0.058520736|0.755793189|0|-0.0777274979999999|-35.21502941|-52.53031811|48.691073|64.50319929|-0.026905672|-35.50139138|24.72120326|-1.399094961|67.36550766|47.11530904|0.4331595789999999|-945.545726|0.347873491|14.52410167|0.764164944|5356.5828|235.1021924|-639.0250449|0.021951174|1449.942171|1.0|23.0|4.41|66.93|1.42|1.0|114.29|0.0|1.0|7.0|-4.14|29.0|5.0|-6.47|385.46|0.0|1.0|3.13|-4.29|7.2e-05|0.0198|0.0|-0.03818|4.9139|2.59|4.1028|-1239.1274939999998|-1239.095611|686.19|1155.03|0.2522|252.31|-1238.856882|0.0334|-0.1658099999999999|2.8552|-0.20399|-1238.917278|4.8123|19.0|7.7212
13l_a6|0.0|1|0|3.433158672|0.0|7.412764017000001|1|1|0.0|0.03093879|-0.0143011819999999|1|0.0408037829999999|0.090187973|0.0|-0.858070925|10.95129637|-0.086595185|1|-0.006280295|0.144180269|-0.073210645|-0.564860904|0.8694295409999999|0.7908110340000001|-0.1470289659999999|0.827754203|0|-0.126521431|-82.24617981|-88.13242567|182.8275745|248.6104661|-0.0451862259999999|-61.3913735|118.3485042|-2.53042863|100.8610837|103.1523329|0.4257335779999999|-1762.648513|0.206328863|15.34147837|0.7413520309999999|6462.086665999999|143.7247666|-1227.82747|0.018273048|2220.880201|1.0|23.0|4.55|115.15|1.39|1.0|124.98|0.0|1.0|7.0|-5.49|33.0|5.0|-6.59|441.48|0.0|0.0|3.07|-4.77|3.26e-06|0.0075599999999999|0.0|-0.04885|3.6675|5.41|3.5499|-1465.865882|-1465.834958|735.52|1249.13|0.3115|338.07|-1465.560303|0.0165|-0.14562|7.2582|-0.19447|-1465.624566|8.9893|385.0|6.4145
5_a15|0.0|0|0|0.0|0.0|0.0|0|0|0.0|-0.222657379|-0.008878343|2|0.035982906|0.0729170329999999|0.0|-0.54157893|10.95880662|0.0118220069999999|0|0.003194793|0.1093187759999999|-0.28098676|-0.340979744|0.8384601770000001|0.704479781|0.020920163|0.7950674740000001|0|-0.0989946469999999|-45.57134103|-73.61131563|119.95308020000002|93.65193084|-0.0273088679999999|-54.73655332|64.12413387|-1.583914356|100.6631306|69.82487767|0.486150431|-1177.78105|0.491010028|15.1701491|0.946094849|6656.720346|365.1095806|-875.7848531999999|0.036380071|2313.9572780000003|1.0|24.0|4.92|74.73|2.0|3.0|127.97|0.0|1.0|8.0|-6.16|33.0|6.0|-5.55|443.49|1.0|0.0|4.29|-5.66|6.86e-07|0.000967|0.0|-0.03714|4.3299|4.36|3.6257|-1470.816175|-1470.779775|737.16|1272.84|291.0|286.35|-1470.487858|0.0199|-0.14839|4.3576|-0.18553|-1470.55517|6.35|13.0|7.8861
14ad_a23|0.0|0|1|0.0|0.0|7.423568444|0|0|3.3437482860000003|-0.1101542319999999|-0.00790478|2|0.0444129979999999|0.118047355|0.735584095|-0.4663820279999999|10.31321689|-0.031279567|2|0.009675528|0.2086248289999999|-0.253318853|-0.376350719|0.7763406840000001|0.7830067820000001|-0.050707765|0.7317531540000001|1|-0.085840335|-42.29008971|-61.35364811|52.63180108|80.67170209999999|-0.029653934|-43.85199724|114.237062|-1.630966366|85.20135045|66.47100256|0.46995189|-1165.7193140000002|0.424119041|16.34071148|0.8866211979999999|7308.229822|303.1354708|-833.1879476|0.033365494|2024.236598|1.0|26.0|3.48|123.48|2.42|2.0|133.27|0.0|1.0|7.0|-5.8|34.0|6.0|-6.68|471.53|0.0|0.0|3.39|-5.08|1.6e-06|0.0038799999999999|0.0|-0.06925|3.3867|2.99|3.3867|-1858.957788|-1858.942973|747.83|1287.26|0.4106|366.09|-1858.668058|0.4106|-0.13734|5.2331|-0.20659|-1858.733603|6.7584|4.0|8.3595
12t_a30|0.0|0|0|0.0|0.0|7.412764017000001|2|2|0.0|0.073057637|-0.007755575|2|0.044197531|-0.0596036729999999|0.0|-0.411045472|10.31162892|-0.04950715|1|-0.001131023|-0.158448053|-0.145315868|-0.464720444|0.609043558|0.83236194|-0.080971844|0.591758164|0|-0.1011561919999999|-58.89093185|-65.79920855|88.42093081|197.4742794|-0.037159417|-42.80050261|0.0|-1.82081145|78.8278828|71.1605835|0.445760296|-1184.385754|0.254294117|14.358001500000002|0.804273481|6617.834146|165.4110479|-770.409047|0.020029588|1588.274656|1.0|17.0|4.67|81.65|3.58|2.0|127.19|0.0|1.0|5.0|-5.49|31.0|6.0|-6.06|434.46|0.0|0.0|3.21|-5.17|3.24e-06|0.00291|0.0|-0.05542|5.0693|4.32|3.5457|-1774.2421780000002|-1774.208418|677.85|1139.2|0.2094|244.58|-1774.0165149999998|0.1561|-0.15029|2.6784|-0.20571|-1774.077985|3.2145|9.0|8.0496
18_a34|0.0|0|0|0.0|0.0|7.423568444|1|1|1.801574074|-0.063113846|-0.014733513|1|0.040527066|-0.100548575|0.0|-0.677741618|10.9595763|-0.136990511|1|0.002183342|-0.155197864|-0.478810922|-0.493450778|0.759292258|0.805756513|-0.224951558|0.713979177|0|-0.129784908|-49.86847383|-71.65163761|66.6880793|171.24705480000003|-0.0422555509999999|-39.55742812|54.26737825|-1.816988713|86.77082535|72.41862911|0.441058733|-1003.122927|0.304150055|11.23989749|0.789096743|5296.289007|167.9151283|-553.8039936|0.027385869|1441.579371|0.0|17.0|3.13|75.47|1.49|1.0|93.91|0.0|2.0|5.0|-4.32|26.0|6.0|-6.26|351.36|0.0|1.0|2.89|-4.11|4.77e-05|0.0275|0.0|-0.03925|4.4335|5.07|4.1234|-1199.288654|-1199.259634|592.04|991.93|0.3525|279.66|-1199.101028|0.0303|-0.17549|5.0935|-0.21474|-1199.158044|6.7806|2.43|5.6144
8m_a46|0.0|0|0|0.0|0.2148468989999999|7.727094485|1|1|2.126524943|-0.044830187|-0.00517896|1|0.047345679|-0.134230003|0.0|-0.248590088|10.94650201|-0.064176245|1|0.005865049|-0.206020062|0.015631887|-0.380393836|0.783187801|0.7699708959999999|-0.090247845|0.77612204|0|-0.085204935|-48.32436573|-45.17474201|166.8508795|65.63194084|-0.032188531|-23.9511632|0.0|-1.448483903|48.72163155|52.0671834|0.425802465|-767.9706141|0.114510313|9.899611044|0.7415609409999999|4439.758321|60.71213839999999|-407.1697745|0.006689855|867.2835213999999|1.0|17.0|4.16|50.94|2.62|1.0|96.16|0.0|1.0|2.0|-4.48|24.0|3.0|-5.61|319.4|0.0|1.0|3.53|-4.56|3.3e-05|0.0088799999999999|0.0|-0.01818|5.3062|4.12|4.2881|-1014.126693|-1014.091966|570.72|970.82|0.3905|233.66|-1013.91158|0.1441|-0.17897|2.0174|-0.19715|-1013.962913|3.1675|229.0|6.6402
