molecula|n9FaRing|Gibbs Free Energy|AATSC1s|MATS7i|ATSC1c|AATSC8d|AATSC1pe|SIC2|GATS1pe|RASA|TPSA_x|RPCS|FNSA2|WNSA4|GeomDiameter|PPSA5|CYP2D6 inhibitor|Fraction Csp3|TPSA_y|Molar refractivity|Heavy atom count|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Area (grid)|pIC50
15_a47|1|-1527.316555|-0.072588375|-0.130885389|-0.21194909|0.0506476009999999|-0.002377481|0.897881853|0.614613723|0.791753677|111.3994409|0.0|-1.265693121|-9.531388265|13.37174753|11.43190096|1.0|0.06|66.49|96.6|25.0|0.0|0.0|-4.85|1.41e-05|552.16|7.8
12n_a36|0|-1875.961945|-0.350034917|0.027627601|-0.619926573|-0.000273044|-0.001160331|0.869718963|0.750657639|0.720111143|189.4391835|26.74179417|-2.317440678|-18.30412788|12.58209967|14.3710571|0.0|0.17|123.75|142.02|34.0|0.0|0.0|-3.72|0.0001889999999999|714.14|7.8239
7_a47|0|-1647.841533|-0.143650735|-0.128433676|-0.3939082339999999|-0.0781924059999999|-0.00794321|0.8755534909999999|0.671549194|0.8473227320000001|86.09912617|0.0|-1.631279045|-11.52827882|10.90440708|7.36009799|1.0|0.09|58.04|111.28|28.0|1.0|0.0|-6.06|8.75e-07|604.84|7.6
33_a20|0|-1275.662457|0.023539095|0.148855442|-0.078557022|-0.062750442|0.008780074|0.802353442|0.607038752|0.9493896|33.13709773|64.93395624|-1.326927921|-11.3769728|15.094865900000002|8.881565237|0.0|0.08|67.39|121.62|31.0|0.0|0.0|-5.53|2.98e-06|689.51|7.4685
12d_a31|0|-1657.245177|-0.043220149|-0.042401695|-0.697102094|-0.032270224|0.000127275|0.873955169|0.771222772|0.7054497479999999|208.9297871|557.514503|-1.724762406|-16.37326657|15.46841054|18.23846616|1.0|0.38|117.37|112.97|29.0|0.0|0.0|-4.39|4.06e-05|730.86|6.2924
15_a31|0|-1460.790873|-0.134784483|-0.0302581979999999|-0.775463115|-0.074455342|-0.007631228|0.8582665429999999|0.782925607|0.567108776|230.1075793|514.6215199|-1.58037081|-11.75113151|11.51842782|18.05372755|1.0|0.19|117.37|90.47|24.0|0.0|0.0|-3.57|0.000272|556.68|5.9586
13a_a6|0|-1349.895534|-0.0265090529999999|0.031837397|-0.602500119|-0.0525259259999999|-0.00194781|0.8299950709999999|0.8013954109999999|0.77450544|147.4582473|554.4922449|-2.042034827|-17.46461983|15.08351934|13.18415753|1.0|0.12|95.85|116.79|31.0|0.0|0.0|-4.99|1.02e-05|695.29|7.3372
35_a18|0|-1532.627182|-0.020425504|-0.069149293|-0.44784362|-0.0098863069999999|0.00113101|0.774007861|0.7277482059999999|0.800765945|146.8343246|74.92670772|-2.273933228|-18.16338657|17.18442554|5.862051629|1.0|0.3|85.29|151.05|36.0|0.0|0.0|-5.53|2.96e-06|796.47|7.6198
6f_a40|0|-2426.787111|-0.156988665|-0.122783873|-0.8287570679999999|-0.190617284|-0.008368734|0.896373207|0.742681934|0.655786513|221.1408856|40.01876255|-2.350288117|-21.5571287|11.87042702|8.892225517|0.0|0.21|199.45|124.54|30.0|1.0|0.0|-4.64|2.3e-05|668.95|7.3768
8f_a8|0|-1361.510739|-0.249095464|0.0587545909999999|-0.485102985|0.007079485|-0.007036544|0.751162751|0.56916135|0.5968139689999999|235.1097364|67.99102163|-2.128515439|-16.44956443|13.81994609|5.380213594|0.0|0.0|80.88|105.27|29.0|0.0|0.0|-5.0|1.01e-05|602.63|4.6428
14u_a23|1|-1744.2405670000005|-0.025360103|0.050530143|-0.385981432|-0.0569153009999999|0.010508236|0.845160857|0.71381683|0.909754912|60.27663131|50.47632596|-1.729315897|-15.12707504|14.12094979|15.75112771|0.0|0.09|114.25|126.78|32.0|0.0|0.0|-5.02|9.57e-06|712.54|8.2449
22_a20|0|-1275.657902|0.023539095|0.09301076|-0.079707783|-0.038668966|0.008780074|0.809440795|0.607038752|0.946515026|34.8271111|54.71081293|-1.3559405430000002|-11.49852068|14.17638345|8.759421782|1.0|0.08|67.39|121.62|31.0|0.0|0.0|-5.53|2.98e-06|694.15|6.6364
