molecula|n9FaRing|Gibbs Free Energy|AATSC1s|MATS7i|ATSC1c|AATSC8d|AATSC1pe|SIC2|GATS1pe|RASA|TPSA_x|RPCS|FNSA2|WNSA4|GeomDiameter|PPSA5|CYP2D6 inhibitor|Fraction Csp3|TPSA_y|Molar refractivity|Heavy atom count|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Area (grid)|pIC50
34_a20|0|-1352.102407|-0.104520106|0.199191385|-0.328567476|-0.054458882|0.003149352|0.80310139|0.690530489|0.7966571459999999|136.81360859999998|80.66541842|-1.709191893|-14.59875162|14.7802149|10.03525243|1.0|0.08|86.69|125.0|32.0|0.0|0.0|-5.02|9.51e-06|711.19|7.2147
28_a34|0|-1100.704833|-0.206909349|-0.201047053|-0.6946578940000001|-0.0500053959999999|-0.007544188|0.8582665429999999|0.7829667309999999|0.545935562|232.4555747|88.32197602|-1.831242935|-12.63011537|10.28760365|13.87891455|1.0|0.12|92.26|85.92|24.0|0.0|0.0|-3.25|0.000565|544.24|5.4179
15_a3|0|-1328.581677|-0.092127078|-0.182934001|-0.289938297|0.021805556|-0.004459728|0.866559772|0.911346861|0.7789088340000001|113.1667185|0.0|-1.50667999|-9.868603355|9.975434973|5.220965278|1.0|0.24|89.99|94.29|23.0|0.0|0.0|-3.02|0.000951|553.81|7.6021
12q_a36|0|-1692.370918|-0.043678703|0.068040097|-0.410984299|-0.0433009009999999|0.0010871589999999|0.8839272779999999|0.8065052890000001|0.82911927|110.4712541|0.0|-1.908775752|-15.95501778|14.69971555|11.60375275|0.0|0.14|69.2|128.76|30.0|0.0|1.0|-4.59|2.55e-05|683.51|8.2218
18_a34|0|-1199.158044|-0.101546926|-0.100548575|-0.677741618|-0.136990511|0.002183342|0.8584852479999999|0.713979177|0.68981472|171.24705480000003|54.26737825|-1.816988713|-12.87916264|11.23989749|15.11918774|1.0|0.21|75.47|93.91|26.0|0.0|1.0|-4.11|7.829999999999999e-05|592.04|5.6144
4b_a46|0|-1033.378455|-0.022119857|-0.082722572|-0.058945144|-0.111103941|0.011806162|0.768651645|0.69830739|0.935245062|35.31914031|56.7922535|-1.123779397|-6.822749952000001|10.09436488|4.343611349|0.0|0.38|43.6|101.7|25.0|0.0|1.0|-4.63|2.35e-05|588.79|6.2612
2_a20 (SB-505124)|0|-1089.201587|-0.076310057|0.013612077|-0.498602014|-0.137383329|0.003789399|0.765632979|0.790275077|0.7694360659999999|126.8667205|441.9400248|-1.759933279|-11.58380004|11.3574908|6.311425784|1.0|0.3|60.03|97.55|25.0|0.0|1.0|-4.91|1.22e-05|593.8|6.7721
13e_a6|0|-1347.074898|-0.008507023|0.018376555|-0.378539035|-0.037793156|-0.001446486|0.827254552|0.790249345|0.861676601|92.4587065|0.0|-1.679379203|-14.71237941|14.346067199999998|13.06309302|1.0|0.08|103.17|123.82|32.0|0.0|0.0|-4.78|1.65e-05|713.3|7.9208
12t_a30|0|-1774.077985|-0.097216874|-0.0596036729999999|-0.411045472|-0.04950715|-0.001131023|0.889479916|0.591758164|0.696413582|197.4742794|0.0|-1.82081145|-15.72263361|14.358001500000002|13.02867425|0.0|0.14|81.65|127.19|31.0|0.0|0.0|-5.17|6.71e-06|677.85|8.0496
4_a4|0|-1029.813844|0.0159331539999999|-0.0214610589999999|-0.058013858|-0.037623601|0.0112367389999999|0.8306695270000001|0.636572383|0.933276024|34.37786704|42.42341622|-1.099796957|-6.78950447|8.855289118|5.454324025|1.0|0.19|43.6|100.08|25.0|0.0|1.0|-4.57|2.69e-05|566.84|7.1079
13m_a6|0|-1423.511471|-0.135152403|0.021526267|-0.628720289|-0.018628955|-0.00687003|0.832753533|0.82642394|0.715612461|198.3000783|95.67846949|-2.045251|-18.41524497|16.2526769|14.59313027|1.0|0.08|122.47|127.2|33.0|0.0|0.0|-4.28|5.24e-05|726.28|8.0
16c_a32|1|-1916.536967|-0.087497559|-0.03152033|-0.770338913|-0.036931818|-0.00369116|0.915639476|0.764217655|0.773043206|135.41296|37.0285246|-1.679836163|-13.59090376|11.77670717|15.38911619|0.0|0.22|149.27|107.14|27.0|1.0|0.0|-4.41|3.89e-05|639.66|8.3468
10_a27|0|-1083.008551|-0.044164147|-0.184068581|-0.282866526|-0.000903965|0.010329671|0.862408925|0.614205449|0.8526621529999999|78.34972221|49.19800605|-1.305333567|-8.788575695|12.9316403|8.782938574|0.0|0.16|65.6|97.39|25.0|0.0|1.0|-3.92|0.0001189999999999|573.31|7.1612
12a_a40|0|-2097.779499|-0.012791297|0.17758258|-0.14667395|-0.226763788|0.007890601|0.7867243829999999|0.525051106|0.940879765|30.15370934|49.24750281|-1.047769006|-8.792513441|14.43505064|5.487955617999999|0.0|0.0|58.43|91.76|22.0|0.0|1.0|-5.95|1.13e-06|530.55|5.7501
11a_a5|0|-1339.555805|0.052217882|-0.052944925|-0.185262487|-0.02394636|0.007955512|0.773417838|0.7410766209999999|0.89343434|76.14130253|14.47576249|-1.573386716|-13.38721623|18.25640338|10.34763929|1.0|0.3|63.69|128.51|32.0|1.0|0.0|-6.4|3.95e-07|739.79|7.0915
1o_a5|0|-1043.472984|0.033105871|-0.033273504|-0.1079910069999999|-0.008511304|0.0051989459999999|0.85693939|0.650008224|0.88430372|62.16682117|1.01402588|-1.093295425|-8.306775343|14.20898333|10.95092849|1.0|0.0|78.25|95.2|25.0|0.0|0.0|-4.08|8.340000000000001e-05|561.04|7.4559
3i_a32|1|-1891.790935|-0.363243817|-0.21362765|-0.4449120629999999|0.022524712|-0.0106761939999999|0.902293804|0.54844677|0.893827987|55.97682661|0.201037767|-1.472706897|-12.4050588|10.09193014|11.54903146|0.0|0.13|110.94|88.28|24.0|1.0|0.0|-5.16|6.85e-06|530.5|8.2366
12n_a30|0|-1674.83759|-0.064217094|-0.1144447669999999|-0.387485343|-0.087019298|0.002064369|0.870930234|0.64876559|0.7781502140000001|140.0890685|0.0|-1.895062322|-15.42118984|13.93957316|9.686460958|0.0|0.14|81.65|127.24|30.0|0.0|0.0|-5.01|9.71e-06|669.57|7983.0
15d_a10|0|-1430.795367|0.0370874879999999|-0.059217023|-0.184039927|0.007032164|0.011249462|0.7857977740000001|0.71456262|0.87609771|83.49776405|141.0919598|-1.129795872|-8.551449923|16.02072769|19.36460841|1.0|0.35|65.3|131.43|33.0|0.0|1.0|-4.38|4.1200000000000005e-05|737.09|7.1612
12ap_a36|0|-1325.0127220000002|-0.010732275|0.066185994|-0.424579308|-0.042675894|0.001194592|0.893689741|0.8212311840000001|0.830587483|111.1558165|0.0|-1.91112774|-16.13217554|16.37284224|13.50019441|0.0|0.13|92.99|128.47|31.0|0.0|0.0|-3.95|0.000113|691.41|7.4949
12c_a36|0|-1692.3713309999998|-0.04162109|0.085843909|-0.414055975|-0.056994595|0.0010871589999999|0.8741648479999999|0.8065052890000001|0.840733512|102.2992907|6.546878962999999|-1.901244658|-15.68788659|12.86584957|12.38318928|0.0|0.14|69.2|128.76|30.0|0.0|1.0|-4.59|2.55e-05|672.74|8.0458
12al_a36|0|-1347.257936|-0.04314418|0.1030147719999999|-0.4908576189999999|-0.031635802|0.003077071|0.885733922|0.84179881|0.801179217|130.8308989|0.0|-1.906487074|-15.28752554|16.15533063|17.07995636|0.0|0.17|78.43|130.24|31.0|0.0|0.0|-4.07|8.499999999999999e-05|702.95|7.3188
9s_a24|0|-1270.796154|-0.00570386|-0.050919714|-0.190782186|0.013901071|0.007695726|0.8327425070000001|0.748077475|0.8833498320000001|72.43525688|0.695462853|-0.953816666|-7.505819207999999|17.24354813|21.71205366|1.0|0.04|77.21|115.67|30.0|0.0|0.0|-4.06|8.71e-05|654.28|7.4949
15_a15|0|-1450.462493|-0.031457366|-0.063032481|-0.395472407|0.0020555079999999|0.003766915|0.7725348679999999|0.796300317|0.8972060479999999|68.29723829999999|4.306196778|-1.821509261|-13.86355301|11.8273735|13.48441779|1.0|0.07|59.51|138.24|34.0|1.0|0.0|-6.1|7.970000000000001e-07|700.82|6.9626
16a_a32|1|-1896.649286|-0.0848387459999999|-0.053745649|-0.6911813920000001|-0.058518519|-0.005552127|0.909908319|0.81143469|0.756542831|151.5123947|66.13699638|-1.6726008419999998|-14.39564033|13.08168264|14.6095244|0.0|0.22|152.07|108.86|27.0|1.0|0.0|-4.04|9.14e-05|664.67|7.9586
17a_a50|1|-1258.322582|0.009691515|-0.109740063|-0.133526134|-0.131632653|0.012893333|0.828062407|0.732114362|0.92300665|50.14419437|84.34722313|-1.570517366|-11.89568886|15.76161018|7.556715901|1.0|0.29|51.77|121.78|30.0|0.0|1.0|-4.44|3.61e-05|705.96|7.0706
28_a47|1|-1335.6279869999998|-0.23494583|0.023813594|-0.436042548|0.0467853809999999|-0.010153352|0.896193695|0.614975047|0.605349345|234.5873429|83.61576722|-1.601689367|-13.47449501|14.91533234|18.79929562|1.0|0.05|98.72|99.2|28.0|0.0|0.0|-3.66|0.000217|599.88|7.6
7_a4|0|-1089.753885|-0.003297033|-0.07290303|-0.076100699|0.04206117|0.008242591|0.87010589|0.518356619|0.825830607|87.67070691|79.08210981|-1.06932642|-6.773539148999999|9.797542165|8.456594282000001|1.0|0.15|43.6|95.07|25.0|0.0|1.0|-4.41|3.92e-05|538.92|6821.0
21_a12|0|-1327.397348|-0.058516436|-0.213225401|-0.362168355|-0.0546514309999999|-0.001825446|0.89838263|0.859899236|0.84827776|76.35009799|0.0|-1.401382713|-9.338859985|11.18947411|8.736422872|1.0|0.12|78.41|98.16|23.0|0.0|0.0|-3.76|0.000173|539.67|7.6576
4e_a49|0|-1312.98289|-0.074495823|-0.080255074|-0.3631108529999999|0.018857363|0.000660956|0.856023531|0.731643066|0.757062331|149.0098632|60.11195021|-1.493733437|-11.01902676|15.01788083|14.48911428|1.0|0.22|92.93|114.08|30.0|0.0|0.0|-3.52|0.000305|660.22|7.4685
3j_a32|1|-1671.402462|-0.017889768|-0.029763115|-0.269814716|-0.052622352|0.001173363|0.8884057059999999|0.7557114|0.865101945|71.64373163|0.0|-1.140158136|-8.691773249|10.69497519|8.126647477|1.0|0.24|110.94|95.74|23.0|0.0|0.0|-4.8|1.58e-05|564.55|8.0969
19e_a38|0|-1409.37733|-0.10490608|0.021678225|-0.4379521229999999|-0.038386106|0.000347207|0.89459881|0.700181525|0.776562593|150.553721|16.39385667|-2.042881001|-17.17594064|12.34352977|13.55346651|0.0|0.12|81.23|135.78|32.0|0.0|0.0|-4.72|1.89e-05|685.34|8.0083
4a_a46|0|-994.079365|-0.008364558|-0.137420119|-0.051075084|-0.0466186959999999|0.0120924389999999|0.8075680409999999|0.683616517|0.923958017|39.49069232|55.05332552|-1.017947119|-5.968291366|9.831485239|5.910149982|1.0|0.35|43.6|96.74|24.0|0.0|1.0|-4.31|4.89e-05|560.87|6.7423
4_a3|0|-1355.239905|-0.161259999|-0.08769805|-0.325334256|0.0248526079999999|-0.007022144|0.785381728|0.628171026|0.74053397|123.350856|77.51574252|-1.381735991|-8.922372453|8.648209506|4.799426464|1.0|0.0|80.04|92.65|23.0|0.0|0.0|-5.09|8.22e-06|504.29|5.9
3c_a32|1|-1633.348356|-0.048337951|-0.0522536959999999|-0.270034997|-0.01180891|0.00124359|0.901864778|0.774363061|0.888766719|57.18235134|0.0|-1.038301506|-7.622115192000001|9.717148607|9.416090047|1.0|0.19|110.94|93.05|22.0|0.0|0.0|-4.91|1.22e-05|544.22|8.0458
17g_a50|1|-1335.693266|0.052557574|-0.05611228|-0.13328325|-0.1155555559999999|0.01245647|0.7787714459999999|0.7276268779999999|0.920663175|52.94662161|85.51402581|-1.555134042|-11.54365807|15.28352231|9.106383854|1.0|0.35|51.77|133.03|32.0|0.0|1.0|-4.86|1.39e-05|725.92|6.6091
12i _a30|0|-2035.203042|-0.030422458|-0.0982344169999999|-0.366470081|-0.072247675|0.003603419|0.888213143|0.7463962120000001|0.8434291340000001|102.235113|0.0|-1.833298476|-15.95200773|15.56818082|9.585980094|0.0|0.14|81.65|132.29|30.0|0.0|0.0|-5.44|3.61e-06|691.59|7.8013
7e_a8|0|-1300.327213|-0.052939815|-0.03633378|-0.289324602|-0.0446343779999999|0.002669179|0.790500031|0.577394732|0.8291560379999999|102.177831|63.5628736|-1.6850904519999998|-13.39444718|14.654025199999998|11.18895001|0.0|0.04|70.81|108.43|29.0|0.0|0.0|-5.41|3.87e-06|622.23|4.4547
12m_a36|0|-1401.446557|-0.133854569|0.14264424|-0.667165917|-0.038386106|-0.004569485|0.8792981679999999|0.849217847|0.711961428|193.174369|107.233999|-2.300418875|-19.16067782|13.67704354|14.91990864|0.0|0.13|112.29|131.85|32.0|0.0|0.0|-3.8|0.000159|692.4|7.5229
8e_a12|1|-1177.436953|-0.049397555|0.0661362779999999|-0.330207456|-0.0309579439999999|0.005744805|0.815412281|0.797199175|0.939627917|34.57040021|0.0|-1.492520871|-10.19566754|11.80358346|11.19206011|1.0|0.14|55.1|117.04|28.0|0.0|1.0|-4.69|2.03e-05|612.59|6.2306
8c_a31|0|-1426.024361|-0.104377029|-0.106461724|-0.574140137|-0.1029580369999999|-0.004832959|0.896193695|0.87237334|0.626072761|206.2599245|477.2277896000001|-1.66488115|-12.06117028|12.99457133|12.12761708|1.0|0.29|114.29|93.45|24.0|0.0|0.0|-3.63|0.000237|595.67|6.0915
33_a47|1|-1123.04547|-0.085712613|-0.11544858|-0.183320497|0.0741098479999999|0.003634698|0.8913954909999999|0.607650682|0.8197001309999999|96.50148984|0.0|-1.088618103|-7.79637597|12.94292541|15.83240237|1.0|0.11|68.52|94.28|25.0|0.0|1.0|-3.72|0.000192|566.29|8.4
5f_a40|0|-1232.898044|-0.0468504759999999|-0.085493191|-0.293556526|0.062183277|0.000706205|875.0|0.680674762|0.7414714309999999|119.4441339|63.48466425|-1.316327637|-8.780648419|11.20493646|6.930245797|0.0|0.21|101.52|78.56|20.0|0.0|0.0|-3.31|0.000491|487.57|6.9508
16a_a23|1|-1685.6419010000002|-0.013055633|0.062601621|-0.302174246|-0.071458049|0.01226642|0.890165467|0.7199622309999999|0.934837094|42.07919382|91.92609822|-1.311960953|-10.72715788|15.89802615|18.14339594|0.0|0.14|108.26|125.79|31.0|0.0|0.0|-4.31|4.86e-05|670.04|7.4037
13f_a6|0|-1347.0794119999998|-0.008507023|0.04505613|-0.381170169|-0.049928822|-0.001446486|0.834167942|0.790249345|0.863222493|91.85971442|0.0|-1.672913351|-14.79531062|15.13042752|13.19352214|1.0|0.08|103.17|123.82|32.0|0.0|0.0|-4.78|1.65e-05|711.29|7.3768
27_a47|1|-1777.891054|0.006768957|-0.067535989|-0.207000956|0.013336016|0.002350172|0.8517043879999999|0.634406338|0.846469886|98.27436776|3.180329084|-1.510214943|-11.67498331|13.50334344|12.14264461|1.0|0.26|67.66|125.17|31.0|0.0|0.0|-5.05|8.89e-06|673.27|5.6
14_a4|0|-918.896242|-0.04986736|-0.0135414919999999|-0.069682036|0.117232935|0.008943549|0.843811017|0.500893739|0.8510382459999999|67.73740575|85.72299913|-0.995039765|-6.23496557|8.859498364|7.175500282000001|0.0|0.06|30.71|80.09|21.0|0.0|1.0|-3.97|0.000106|475.32|5.8794
3c_a49|0|-1198.484646|-0.016347266|-0.04696024|-0.248722888|0.0127926339999999|0.006470561|0.8605470759999999|0.64702083|0.7963363840000001|116.4686425|77.29181095|-1.186174159|-8.253567879|12.60874968|12.45751629|1.0|0.18|72.7|109.43|28.0|0.0|1.0|-3.86|0.000137|613.33|7.0605
8_a20 (IN-1130)|0|-1368.180121|-0.124997065|0.1728459339999999|-0.528090969|-0.0574882679999999|-0.004654742|0.817914963|0.7741509329999999|0.7274271309999999|180.4986934|89.35267123|-1.858010535|-15.66851008|15.46983888|12.55392404|1.0|0.08|110.44|122.86|32.0|0.0|0.0|-4.55|2.82e-05|696.06|7.4437
19_a15|0|-1523.254714|-0.558905888|0.037722611|-0.4621216379999999|-0.032407407|-0.00534669|0.770451673|0.7358168620000001|0.691069123|178.5363184|15.76831619|-1.905809364|-14.14482104|10.26331993|3.321475588|1.0|0.11|102.69|101.22|26.0|0.0|0.0|-4.39|4.1200000000000005e-05|601.23|7.1427
14f_a23|1|-1744.2443850000002|-0.027380305|0.056215377|-0.373510774|-0.041351617|0.010508236|0.854683662|0.71381683|0.894162392|71.55380685|96.60179161|-1.603974359|-14.37516058|15.58565565|17.01160115|0.0|0.09|114.25|126.78|32.0|0.0|0.0|-5.02|9.57e-06|711.98|8.6459
8b_a12|0|-1159.2425119999998|-0.1676879319999999|0.028584223|-0.618894925|-0.1090955359999999|-0.007926474|0.792160599|0.856390139|0.740926309|149.9096134|76.80174559999999|-2.097985204|-15.27062922|12.27845608|5.416912474|1.0|0.1|80.37|110.58|27.0|0.0|0.0|-4.01|9.74e-05|611.93|6.58
11d_a5|0|-1238.914819|0.001099755|-0.125546291|-0.185566552|0.01948342|0.008809179|0.831190148|0.755793189|0.87090286|82.02685783|0.0|-1.525335513|-11.84243331|17.62784804|11.51307533|1.0|0.17|66.93|114.29|29.0|0.0|1.0|-4.29|5.14e-05|682.09|7.8239
12k_a30|0|-1690.094082|-0.029595542|-0.13882907|-0.44562817|-0.038714845|0.0053380919999999|0.883029843|0.7933543279999999|0.815083558|122.5057244|0.0|-1.865577056|-15.44895229|15.93977881|14.9823028|0.0|0.17|90.88|133.77|31.0|0.0|0.0|-4.93|1.19e-05|710.82|7.6144
5g_a40|0|-1327.982732|-0.190406197|-0.0602779129999999|-0.5611751220000001|-0.091116241|-0.012008571|0.882781953|0.7733200179999999|0.67772744|152.9506864|0.0|-1.577227413|-11.10198254|12.10939827|12.1783403|0.0|0.21|115.96|78.2|21.0|0.0|0.0|-3.37|0.000426|489.04|6.9101
9_a15|0|-1223.522216|-0.042227775|0.096418279|-0.506073953|0.005692073|0.003160815|0.742680335|0.8105478740000001|0.846156316|85.79894134|54.69975317|-1.400201879|-8.88789863|10.00547485|20.06953345|1.0|0.19|61.84|104.74|27.0|0.0|1.0|-4.81|1.53e-05|588.55|6.9706
3t_a32|1|-1864.534478|-0.0338714389999999|0.028527045|-0.304466646|-0.086478322|0.00139283|0.870628579|0.687253845|0.828676243|108.2086749|0.0|-1.267493496|-10.75813179|15.64252992|10.85396804|1.0|0.3|128.01|112.48|27.0|0.0|0.0|-4.93|1.16e-05|677.16|8.0458
5a_a50|1|-1029.786489|-0.017108794|0.017227585|-0.06986407|-0.130929632|0.01228899|0.847812674|0.6759066159999999|0.969892876|16.06582337|60.04351409|-0.978147545|-6.477439183|10.76914508|9.379218813|0.0|0.14|35.64|101.86|25.0|0.0|1.0|-4.5|3.14e-05|582.98|5.3872
8b_a50|1|-967.258772|-0.009597908|-0.096039086|-0.1812055289999999|-0.0180233089999999|0.007057361|0.8836675340000001|0.71043578|0.845349082|74.08248511|0.0|-1.092961836|-6.966723542|9.26652151|11.63112165|1.0|0.06|59.39|89.78|23.0|0.0|1.0|-3.81|0.000154|515.81|7.1675
12an_a36|0|-1670.244686|-0.046532211|0.0966393909999999|-0.407702102|-0.031635802|0.003710345|0.885733922|0.855081905|0.836440154|110.5140393|0.0|-1.997765039|-16.89009799|15.82907093|10.65623343|0.0|0.17|94.5|135.47|31.0|0.0|0.0|-4.51|3.09e-05|718.98|7.3979
14c_a22|0|-1460.38772|-0.018518519|-0.026986769|-0.298463715|0.006275578|0.004362505|0.8353837409999999|0.639264982|0.866576459|96.05497587|78.22334636|-1.60155147|-15.66173379|16.03849168|17.86404838|1.0|0.08|109.38|128.77|34.0|0.0|0.0|-4.62|2.4e-05|715.52|6.8153
12c_a30|0|-2035.202565|-0.030422458|-0.0983590219999999|-0.3657134279999999|-0.072247675|0.003603419|0.880943609|0.7463962120000001|0.8439327120000001|101.8928318|0.0|-1.833162702|-15.946612|13.9883503|9.594458155|0.0|0.14|81.65|132.29|30.0|0.0|0.0|-5.44|3.61e-06|695.96|7.9914
12y_a30|0|-1654.190369|-0.037335306|-0.089502772|-0.353814891|-0.058184644|0.006346396|0.8146529229999999|0.803183654|0.8489185109999999|101.4221952|0.0|-1.91621895|-15.70095045|14.55517927|8.299049218|0.0|0.21|81.65|137.21|31.0|0.0|0.0|-5.46|3.48e-06|728.75|7.6576
4_a18 (SD-208)|0|-1542.207472|-0.113324634|-0.020226647|-0.498304229|-0.056245435|-0.015153358|0.904723479|0.721664823|0.77909674|113.7529353|0.0|-1.2944582059999998|-9.276994128|11.42979655|18.35993987|1.0|0.0|76.48|92.87|25.0|0.0|0.0|-4.38|4.14e-05|537.47|7.0969
14r_a23|1|-1728.98403|-0.06921746|0.014148395|-0.322513347|-0.064006338|0.0075222369999999|0.846632079|0.5935522360000001|0.8662226190000001|86.14846171|55.62948521|-1.717628177|-15.15517566|14.15357616|11.00678143|0.0|0.05|105.02|120.24|31.0|0.0|0.0|-5.11|7.73e-06|678.08|8.2684
17_a4|0|-1255.932407|-0.319716072|-0.01849014|-0.25315101|-0.094767116|0.002155864|0.8347553529999999|0.484393047|0.888791225|57.34712812|0.0|-1.5185362180000002|-11.21677197|10.65499029|6.61489113|0.0|0.11|30.71|85.09|25.0|1.0|0.0|-4.81|1.5399999999999998e-05|527.39|6057.0
7h_a8|0|-1285.0707960000002|-0.073219554|-0.016074683|-0.23505152|0.0260356679999999|0.00084936|0.7677336090000001|0.507325475|0.771011027|131.9948047|47.81104825|-1.6825766830000002|-13.63564064|13.42380338|5.061650885|0.0|0.0|61.58|101.89|28.0|0.0|0.0|-5.5|3.16e-06|593.53|4.9788
12au_a36|0|-1875.960827|-0.351827031|0.075815782|-0.613616984|-0.03802163|-0.001160331|0.877827228|0.750657639|0.698996981|216.5471227|26.04051569|-2.206115469|-19.68626738|17.67586495|16.56175445|0.0|0.17|123.75|142.02|34.0|0.0|0.0|-3.72|0.0001889999999999|752.27|7.3279
11_a1|0|-1312.2963630000002|-0.196819043|0.08043435|-0.867849442|-0.044235537|-0.009578125|0.8086124090000001|0.7846345840000001|0.5955245029999999|238.4902806|84.40380304|-2.143850877|-16.93943154|14.2257294|15.44994131|1.0|0.05|97.33|105.71|29.0|0.0|0.0|-4.66|2.17e-05|614.86|6.7696
6a_a40|0|-2371.443161|-0.077397672|-0.146542353|-0.68730803|-0.230955427|-0.001171195|0.861720535|0.657059571|0.733750993|166.2999483|36.84483305|-2.113444291|-19.17478857|11.8691482|8.040268001|0.0|0.21|173.43|120.14|29.0|1.0|0.0|-4.99|1.03e-05|649.48|7.3979
1g_a5|0|-1065.727193|-0.010620031|-0.011534568|-0.172437603|-0.0353243789999999|0.006957291|0.8393686990000001|0.717355058|0.8659209659999999|71.90752413|0.589719781|-1.11542677|-7.824996219|13.83149499|14.46845291|1.0|0.05|63.69|96.98|25.0|0.0|1.0|-4.2|6.29e-05|572.15|6.9393
12g_a36|0|-1350.633209|-0.039008054|0.078990142|-0.409214521|-0.0521750109999999|0.005035022|0.847239339|0.860667615|0.854238488|100.2028184|5.097410387|-2.038413337|-16.3273005|13.83075477|10.41641087|0.0|0.24|69.2|138.33|32.0|0.0|1.0|-4.86|1.39e-05|724.32|7.8539
5a_a40|0|-1177.555706|0.059258947|-0.108428634|-0.152120625|-0.02394636|0.010425818|0.820901326|0.5263598389999999|0.8531783270000001|64.97877226|52.43850484|-1.091897544|-7.128912782|10.7779923|5.795040371|0.0|0.21|75.5|74.15|19.0|0.0|1.0|-3.67|0.000213|466.79|7.0915
