molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|SaasN|MATS2c|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA5|PPSA3|RNCS|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|DPSA5|MOMI-Z|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|IC50|pIC50|pIC50
12f_a40|0.0|0|0|0|0.0|0.0|1|0|1.768354671|-0.03356339|0|0.040501792|0.070099257|-0.235838511|0.008525796|10.31197207|2|2|0.006841832|0.115814835|-0.397377446|0.679527138|0.777316288|-0.271493213|0.841769186|0.605644757|1|0.909993912|-0.067004323|-0.082198664|3.43e-05|0.021549915|-45.41519509|11.90644165|62.72992556|0.090006088|49.72883796|-0.032879466|-1.150781297|-20.45387851|56.53158029|628.5604981|8.404802652999999|16.49362536|0.962404834|5326.217734000001|-351.2898849|24.83590915|0.0201199619999999|384.1423925|11.1163852|1.0|0.0|1.0|0.0|0.0|0.0|3.24|5.44|67.66|3.99|2.0|0.0|98.25|24.0|3.0|-4.76|0.0|4.76|0.0001|0.0003819999999999|0.0|1.8100000000000003e-05|-0.07761|4.3313|4.77|-2212.359379|-2212.348599|572.63|951.55|436.97|0.4348|0.6679999999999999|0.7029|0.3858|-0.11765|3.2818|-0.19526|0.01077929|0.38|6.4202|6.4202
14b_a25|0.0|0|0|0|0.0|0.0|1|0|1.616664856|-0.091382738|2|0.038137255|0.001683506|-0.273813082|0.004725325|10.93106299|1|1|0.004892038|0.0028569959999999|-0.3691494039999999|0.6524261960000001|0.7723870909999999|0.001715854|0.8333962429999999|0.632638761|1|0.859628015|-0.076156512|-0.084160084|0.329662946|0.016003559|-58.29440389|11.08504021|112.49583529999998|0.140371985|97.23019209|-0.032728922|-1.767361771|-36.53830946|69.2012501|2118.281186|8.690235527|17.06102567|0.963240883|6760.594953|-847.9433995999999|29.33534086|0.015746299|760.3735147000001|10.90684621|1.0|1.0|1.0|1.0|1.0|1.0|3.51|4.79|96.49|1.8|2.0|0.0|130.97|34.0|5.0|-6.26|0.0|3.63|0.0011099999999999|0.00261|0.0|9.93e-08|-0.0584|5.4239|5.61|-1444.544749|-1444.505985|716.14|1257.11|304.7|0.3614|0.34735|0.64983|0.0006|-0.16309|2.7037|-0.22149|0.03876374|22.0|7.6576|7.6576
10_a32|0.0|1|1|1|3.294952523|0.0|0|0|0.0|0.153272514|0|0.03995614|-0.020186906|-0.771023817|-0.0064007569999999|10.31100271|3|3|-0.00369116|-0.03673326|-0.690879647|0.809370315|0.8607827790000001|-0.079818594|0.915639476|0.764217655|1|0.7622839570000001|-0.088310158|-0.1223816869999999|0.266552538|0.02575778|-75.59866726|15.91131724|57.97512956|0.237716043|146.8439966|-0.038939628|-1.7133436169999998|-33.69815077|91.10767604|2980.525719|7.079344111|12.86809583|0.81769605|5842.926058|-653.7924168|34.62844557|0.025106509|513.9156315|15.50900878|1.0|0.0|1.0|1.0|1.0|2.0|3.56|4.21|149.27|0.88|1.0|0.0|107.14|27.0|5.0|-6.44|0.0|3.42|0.000366|0.0155|0.0|4.13e-05|-0.05434|3.6441|4.12|-1916.668776|-1916.631761|654.7|1086.09|340.24|0.2983|0.70228|0.70228|0.2983|-0.15088|2.4919|-0.2052199999999999|0.03701539|7.0|8.1427|8.1427
6_a4|0.0|0|0|0|0.0|0.0|1|1|2.170234316|-0.19701009|2|0.035283951|0.042096749|-0.064723237|0.011457667|10.92992785|1|1|0.01098094|0.0671397079999999|-0.1738111839999999|0.664591856|0.76089528|-0.340860215|0.810030118|0.664247086|1|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|0.0077624059999999|-37.33240845|4.324187697|14.1731579|0.054454162|30.33467048|-0.024618083|-1.206286076|-16.25991695|42.27020924|1968.0178670000005|5.758624844|9.981741408|0.733355042|5256.215815|-374.340411|16.83786074|0.008863911|578.2065561000001|4.937800786|0.0|1.0|1.0|1.0|1.0|0.0|3.38|5.23|43.6|3.09|2.0|0.0|109.7|27.0|3.0|-5.42|1.0|4.23|0.0043799999999999|0.00274|0.0|3.67e-06|-0.04867|4.8714|4.11|-1108.585859|-1108.563418|613.83|1057.7|307.24|0.1235|0.60542|0.5877|0.0772|-0.16959|2.8026|-0.2182599999999999|0.02244097|1.3|5.8861|5.8861
13d_a6|0.0|1|0|0|3.447870607|0.0|0|1|0.0|-0.045686501|1|0.041728395|0.077158715|-0.607917822|-0.003346018|10.95129636|1|1|-0.000899678|0.126028544|-0.49314765|0.845481322|0.786837131|-0.187174391|0.841971795|0.7995080809999999|0|0.78862121|-0.092581323|-0.110731261|0.19992155|0.030793771|-75.40072983|20.96853949|156.67194009999997|0.21137879|143.9350986|-0.039696112|-2.103893962|-42.92734103|88.02705449|3075.022992|9.086171078|15.47559904|0.703203572|6185.117192000001|-975.5161277|35.13035671|0.018542644|692.8471883999999|12.62632467|1.0|1.0|1.0|1.0|1.0|2.0|3.64|4.57|95.85|1.5|2.0|0.0|121.6|32.0|5.0|-5.88|0.0|3.74|0.000471|0.00229|0.0|1.68e-07|-0.05252|4.85|4.5|-1389.403308|-1389.374844|723.61|1219.11|341.57|0.7905|0.58381|0.7007399999999999|0.2513|-0.14894|11.0994|-0.20146|0.02846332|0.36|6.4437|6.4437
12l_a30|0.0|0|0|0|0.0|-4.712037416|0|2|0.0|0.157020295|2|0.044036281|-0.102468864|-0.876151158|-0.00695299|10.31162828|1|1|-0.004395528|-0.300262845|-0.640870513|0.613786308|0.830875659|-0.0395239879999999|0.883029843|0.593245722|0|0.834279405|-0.0905026719999999|-0.109810463|0.37422435|0.0154211289999999|-76.82494797|10.78883933|103.5499036|0.165720595|115.9404641|-0.045581702|-2.415830189|-44.29742723|88.64610824|2394.793539|9.258542907|17.23248653|0.861252543|7576.362669|-1182.451965|38.8038646|0.016896687|696.6414817000001|11.82116027|1.0|0.0|1.0|1.0|0.0|1.0|4.72|4.78|90.88|2.82|2.0|0.0|133.96|34.0|8.0|-5.66|0.0|3.42|9.63e-05|0.000579|0.0|3.19e-05|-0.0545299999999999|5.0454|5.52|-1988.033039|-1987.998976|729.17|1223.54|351.78|0.2294|0.39486|0.68488|0.1574|-0.14944|2.5031|-0.20397|0.03406276|61.0|7.2154|7.2154
4f_a49|0.0|0|0|0|0.0|0.0|1|1|2.066693174|0.010266272|2|0.038839506|-0.087861524|-0.418450768|0.001532832|10.92775957|1|1|0.001714014|-0.14414265|-0.46436755|0.69044503|0.7927086309999999|0.114367229|0.8557769120000001|0.670594896|1|0.7370618040000001|-0.102926696|-0.089955514|0.480786546|0.016591015|-48.83888562|9.007637695|193.615884|0.262938196|142.7551002|-0.033471819|-1.439288231|-30.33918719|60.18871783|1629.651745|6.302023735|11.20071713|0.7773206840000001|5422.650822|-424.2517893|25.29924744|0.020905063|467.1194103|11.34983222|0.0|1.0|1.0|1.0|0.0|1.0|3.07|3.8|80.9|2.03|1.0|0.0|102.08|27.0|5.0|-6.6|0.0|2.85|0.0365|0.0289|0.0|0.000104|-0.06954|4.6249|4.07|-1179.23587|-1179.201105|575.01|982.46|334.21|0.2368|0.39584|0.68474|0.0579999999999999|-0.15517|1.7833|-0.22471|0.03476467|0.04|7.3979|7.3979
33_a47|0.0|0|1|1|0.0|0.0|1|0|1.758479676|-0.229935275|3|0.034691358|-0.11544858|-0.183320497|0.002212256|10.98214099|1|1|0.003634698|-0.26447859|-0.270498605|0.63155995|0.82821379|0.1186944519999999|0.8913954909999999|0.607650682|1|0.8197001309999999|-0.060080724|-0.083739854|0.404334141|0.022346992|-44.81989209|11.96072985|30.94680001|0.1802998689999999|96.50148984|-0.0272154529999999|-1.088618103|-17.2112484|60.65229445|787.797733|6.979305126|12.94292541|0.854471925|4889.09585|-311.85503880000005|25.25333652|0.029580684|388.178924|15.83240237|0.0|1.0|1.0|1.0|1.0|1.0|3.08|4.04|68.52|1.52|0.0|0.0|94.28|25.0|5.0|-6.78|1.0|2.69|183.0|0.0643|0.0|2.79e-05|-0.05462|4.1869|2.06|-1123.16428|-1123.135036|566.29|934.34|296.13|0.2566|0.67508|0.67508|0.2566|-0.15985|4.5647|-0.21447|0.02924367|4.0|8.4|8.4
12aa_a36|0.0|1|0|0|3.4172704080000003|0.0|0|2|0.0|0.033952382|2|0.042560386|0.03597264|-0.672129428|-0.006653538|10.95446449|1|1|-0.004569485|0.0620143779999999|-0.53315493|0.892815402|0.833911317|-0.023185884|0.888163057|0.849217847|0|0.688945241|-0.1066659309999999|-0.117270578|0.4679233379999999|0.023617545|-80.19356964|16.1504726|132.3194611|0.3110547589999999|212.7097172|-0.04126187|-2.228140982|-49.88002793|96.18613736|2418.848273|8.05947774|14.60824604|0.812554922|6438.603019|-1041.942197|38.58180913|0.023386634|689.2886595|15.99256772|0.0|0.0|0.0|1.0|0.0|3.0|4.83|0.98|112.29|1.28|1.0|0.0|131.85|32.0|5.0|-7.79|0.0|1.15|129.0|152.0|0.0|0.000305|-0.05111|3.8899|3.88|-1401.662677|-1401.617177|701.99|1183.76|318.73|0.4446|0.6931|0.6931|0.4446|-0.15718|3.5904|-0.20829|0.04550032|9.0|8.0458|8.0458
12b_a32|0.0|1|1|1|3.477905329|0.0|0|0|0.0|0.115940697|0|0.0388738739999999|-0.044307211|-0.462201267|-0.003484915|10.31100269|3|3|-0.001662219|-0.079768013|-0.584995111|0.788133615|0.838021287|-0.090027803|0.8887585240000001|0.7507116140000001|1|0.782593|-0.081450418|-0.097525366|0.2996018789999999|0.016282332|-60.93328667|10.17310723|90.57560878|0.217407|135.83463989999998|-0.027561517|-1.267829764|-31.79562339|76.65746734|3148.185476|7.076348793999999|12.42841652|0.756331814|5653.268811|-494.9199607|28.50066715|0.025166975|557.1050635|15.72418067|1.0|1.0|1.0|1.0|1.0|2.0|3.47|4.19|140.04|1.1|1.0|0.0|110.47|27.0|4.0|-6.4|0.0|3.59|0.000505|0.0148|0.0|8.86e-06|-0.05173|3.5703|4.12|-1880.770588|-1880.732075|663.89|1109.93|347.27|0.2865|0.70258|0.70258|0.2865|-0.14803|3208.0|-0.19976|0.0385132|26.0|7585.0|7585.0
