molecula|SddssS|n9FaHRing|SaaNH|BCUTs-1|SaasN|MATS2c|SRW07|n6HRing|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC7i|AATSC1i|MATS1c|BIC2|MATS8s|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PPSA3|RPSA|WPSA3|FNSA1|FNSA2|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|PPSA1|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
3l_a32|0.0|1|3.672194822|0.609420748|0.0|-0.003342759|5.733341277|0|0.035643275|-0.039331295|-0.270019992|0.0016954029999999|-0.09393062|-0.107818594|3|-0.068876714|-0.087213805|-0.524711546|0.751853889|-0.136589369|1|0.8855584879999999|-0.069304303|-0.088417589|0.270668623|0.012244965|-40.30321333|7.120934925|0.114441512|4.141107366|0.788236719|-1.326263838|58.10243176|0.453630671|2453.759435|514.9875423000001|-771.2752615|-9.750593329|0.211763281|11.74082324|123.148785|-448.5272931|0.011493763|-335.2422712|978.4817724|565.7000781|6.6840809960000005|1.0|0.0|1.0|1.0|1.0|3.58|3.54|0.35|-7.5|6.17|2.64|2.0|0.0|0.0|1.0|-7.6|3.0|-4.71|0.0|1.0|5.04|9.59e-06|9.7e-07|0.0|3.16e-08|1.2e-05|-0.0529799999999999|4.21|3.5319|-1789.475625|-1789.4501510000002|629.26|351.04|351.04|0.70282|0.70282|0.2876|-0.14664|3.3955|-0.19962|0.02547484|-1789.298086|5.7721|12.0|7.9208|7.9208
14r_a23|0.0|1|0.0|1.197963203|3.201732471|-0.009140243|5.351858133|2|0.045277778|0.014148395|-0.322513347|0.007671236|-0.079935667|-0.064006338|2|0.033038452|-0.17267308|-0.454010253|0.7837821840000001|0.03753491|1|0.8662226190000001|-0.062618931|-0.085881409|0.375360556|0.019185345|-40.32463891|12.35476415|0.133777381|7.956082857|0.7882228370000001|-1.717628177|66.31173073|0.4661909429999999|2945.137191|557.8203557999999|-1106.098986|-15.15517566|0.211777163|14.15357616|136.37788909999998|-712.2932561000001|0.017092103|-371.2130393|1403.282085|599.5697147999999|11.00678143|0.0|0.0|1.0|0.0|1.0|3.47|3.06|0.05|-7.67|4.58|3.4|2.0|1.0|0.0|1.0|-5.58|5.0|-6.31|0.0|0.0|3.7|0.00114|7.73e-06|0.0|2.14e-08|9.18e-06|-0.06842|3.72|3.1797|-1729.1556449999998|-1729.1326809999998|678.08|389.92|208.71|0.30482|0.68115|0.0008|-0.15536|6.2620000000000005|-0.22378|0.02296354|-1728.98403|8.8722|5.0|8.2684|8.2684
1_a15|0.0|0|0.0|1.419940974|0.0|-0.22215316|0.0|2|0.0381893|0.06459652|-0.541427319|0.001244652|-0.068297833|-0.000905902|0|0.096086011|-0.270248221|-0.34192045|0.705825714|0.101406325|0|0.875723465|-0.068077117|-0.1117462069999999|0.7100707390000001|0.026214985|-44.01415991|16.94887506|0.124276535|10.95802135|0.605927517|-1.899685524|90.40184737|0.437969049|3000.975833|566.1848585|-1228.210985|-13.01770443|0.394072483|11.7078005|254.7811976|-794.0799704|0.0280791829999999|-136.9714493|2026.993248|851.7423982|18.15414234|1.0|1.0|1.0|1.0|1.0|3.91|4.18|0.19|-10.02|6.32|2.2|3.0|0.0|0.0|0.0|-6.55|6.0|-5.38|0.0|0.0|4.68|0.00013|1.08e-06|0.0|9.53e-11|4.36e-08|-0.04142|4.68|3.2188|-1510.136281|-1510.117336|697.35|385.18|282.85|0.64662|0.70553|0.0061|-0.1365|1.2218|-0.17792|0.01894559|-1509.851127|2.3261|44.0|7.3565|7.3565
3a_a12|0.0|0|0.0|1.28383802|0.0|0.13714555|0.0|2|0.032544803|-0.1231529169999999|-0.322200517|-0.0025830939999999|-0.062973953|-0.0161799839999999|0|-0.205054123|-0.1213636769999999|-0.5274624179999999|0.7038021990000001|-0.021522321|0|0.871985494|-0.07121814|-0.090803706|0.241900756|0.009433302|-34.84701355|4.615711776|0.128014506|2.258466332|0.781050096|-1.362055589|52.21461165|0.462077145|2045.857684|426.6622302|-666.453375|-8.361421244|0.2189499039999999|11.01449587|107.1321197|-326.0954285|0.015909241|-275.0354486|853.2786545|381.0058252|7.784386645|1.0|1.0|0.0|1.0|1.0|3.84|2.74|0.05|-7.5|2.49|3.09|0.0|0.0|0.0|1.0|-3.6|3.0|-5.88|1.0|1.0|2.98|0.0745|8.8e-05|0.0|3.13e-08|9.33e-06|-0.06829|3.33|3.7304|-951.3711872|-951.3480023|528.84|332.36|292.86|-0.34688|0.66895|128.0|-0.15328|1.3824|-0.22157|0.023184956|-951.264072|1.9332|194.0|6.7122|6.7122
3d_a49|0.0|0|0.0|0.406515615|2.089548665|-0.0960135969999999|5.4161004020000005|2|0.036335697|-0.087308534|-0.173318804|-0.00918253|-0.068390038|0.017871379|1|-0.149675594|-0.129666234|-0.202380888|0.808676284|0.01450704|1|0.733071652|-0.099295364|-0.094384452|0.464410121|0.009601398|-57.52001036|5.561916586000001|0.266928348|3.221917789|0.756622045|-1.698920144|65.59130031|0.486368221|2809.9605100000003|424.6551631|-984.1537446|-12.12984007|0.243377955|12.87442833|140.9844521|-570.1024832|0.018844179|-297.31302830000004|1300.720421|549.3593871|10.91609228|1.0|0.0|1.0|1.0|3.0|3.29|0.0|0.15|-6.15|4.46|1.07|1.0|0.0|0.0|1.0|-5.19|5.0|-6.58|0.0|1.0|1.85|0.00252|3.6200000000000006e-05|0.0|7.1e-07|0.000278|-0.05766|4.02|3.8907|-1594.595995|-1594.552258|615.3|318.67|239.15|0.3523699999999999|0.67215|0.0931|-0.16147|2184.0|-0.21913|0.04373784|-1594.435881|2.3278|2.34|5.6308|5.6308
7d_a10|0.0|0|0.0|1.34384996|2.087763133|-0.117302383|5.4161004020000005|2|0.041369509|-0.042667459|-0.0845736919999999|0.00870171|-0.071185424|-0.0325418129999999|1|-0.09209689|-0.089622042|-0.2018053139999999|0.809056885|0.0658971929999999|1|0.841052067|-0.059327943|-0.070901708|0.421731106|0.010495008|-31.47566249|5.567989142999999|0.158947933|2.9540236560000004|0.729585423|-1.063525614|45.08492005|0.484115691|2348.343588|446.2091497|-564.2395741|-6.961625817000001|0.270414577|11.82615475|143.4649092|-299.34991010000005|0.014078094|-243.607074|773.3701306|460.1866123|7.468948447000001|1.0|1.0|1.0|1.0|0.0|3.21|3.21|0.19|-7.83|4.97|3.04|1.0|0.0|0.0|1.0|-4.22|4.0|-5.83|1.0|1.0|3.95|0.0206|1.9e-05|0.0|1.46e-08|5.04e-06|-0.05634|3.49|3.8856|-1129.198363|-1129.175857|574.87|319.09|212.18|0.32059|0.68393|0.0941|-0.1633099999999999|3.0178|-0.21965|0.02250617|-1129.0552810000002|3.4695|928.0|6.0325|6.0325
16_a47|0.0|1|2.890539668|1.417579067|0.0|-0.134455235|4.59511985|2|0.042285714|-0.08282926|-0.23280014|-0.005688938|0.001426202|0.0506476009999999|1|-0.236994128|-0.0574194159999999|-0.3379683979999999|0.812131575|-0.113476605|1|0.691860453|-0.093207587|-0.092995116|0.421094692|0.0186711289999999|-48.30620628|9.676588112|0.308139547|5.0150344780000005|0.697929921|-1.301931629|60.36423869|0.473257697|2315.178558|358.566882|-674.7452647999999|-9.202544293|0.302070079|13.01476838|156.55227280000005|-349.69668310000003|0.0234786339999999|-205.1602001|966.7808252999998|357.35851410000004|12.16814835|1.0|1.0|1.0|1.0|2.0|2.93|1.95|0.06|-8.17|5.19|2.72|0.0|0.0|0.0|1.0|-4.34|5.0|-6.04|0.0|1.0|3.52|0.0154|3.84e-05|0.0|6.8099999999999994e-09|2.3e-06|-0.05717|2.95|4.0806|-1167.046301|-1167.0124560000002|534.69|303.84|279.29|0.59209|0.6743899999999999|0.0909|-0.16851|2.3795|-0.22568|0.03384512|-1166.951551|3.8601|1.0|9.0|9.0
12g_a31|0.0|0|3.42813681|0.6101363000000001|0.0|0.0716209459999999|5.733341277|0|0.0388738739999999|0.045747231|-0.7501734859999999|-0.008464411|-0.0733026079999999|-0.082116813|2|0.074878295|-0.081426376|-0.57758443|0.819234772|-0.076150332|0|0.58271093|-0.1284353869999999|-0.131126805|0.325789284|0.030961426|-78.87508829|19.01411466|0.41728907|11.67699967|0.6886488690000001|-1.835775276|95.97385383|0.470244801|2514.363249|357.8560168|-1127.391291|-14.73099143|0.311351131|15.28679013|191.2078009|-692.3565973|0.02515117|-231.70711040000003|1637.106139|524.0230338|15.44590447|1.0|1.0|1.0|1.0|2.0|3.61|2.51|0.32|-6.45|3.44|0.86|1.0|0.0|0.0|1.0|-4.92|5.0|-6.86|0.0|1.0|2.9|0.00457|0.0001629999999999|0.0|3.55e-07|0.000136|-0.03324|4.17|3.8349|-1578.846191|-1578.800869|664.44|323.3|323.3|0.70068|0.70068|265.0|-0.15917|1.6279|-0.19241|0.04532186|-1578.66792|2.4038|0.11|6.9586|6.9586
19d_a38|0.0|0|3.314284769|1.297043205|0.0|0.013465335|5.351858133|2|0.04572104|0.019858574|-0.6999264340000001|-0.011156837|-0.0555594909999999|-0.024688524|1|0.041924146|-0.128079012|-0.529632789|0.853092207|0.111104525|0|0.63167949|-0.116424545|-0.1248815919999999|0.3509455999999999|0.024158903|-74.84120843|15.53007152|0.36832051|9.98319831|0.7494816990000001|-2.372750256|94.84426896|0.478151237|3055.168373|406.0626253|-1525.275418|-18.15727844|0.250518301|13.52121974|161.0407189|-980.493036|0.022660131|-320.7487188|2035.106956|686.8472757999999|14.56661536|0.0|0.0|1.0|0.0|4.0|4.91|2.38|0.13|-6.41|1.65|1.65|1.0|0.0|0.0|1.0|-3.87|5.0|-7.84|0.0|0.0|1.94|0.0594|0.0002399999999999|0.0|3.94e-07|0.000175|-0.05091|4.13|3.6586|-1500.898316|-1500.850957|679.08|338.89|230.58|0.3356699999999999|0.6957800000000001|0.0699|-0.15054|7.9959|-0.20145|0.04735828|-1500.683599|10.6621|11.0|7.9586|7.9586
14p_a23|0.0|1|0.0|1.197963748|3.3252287430000003|0.044380583|5.351858133|2|0.045165485|0.041987653|-0.310730878|0.009895793|-0.060144819|-0.053921569|2|0.080581604|-0.131709531|-0.4510651779999999|0.799506006|0.099883916|1|0.923455749|-0.063033628|-0.080784473|0.223758613|0.0221104079999999|-42.52653933|14.91710363|0.076544251|10.06403753|0.751638299|-1.615689464|67.36602512|0.464933687|3010.721939|623.0226425|-1090.0480289999998|-15.32117727|0.248361701|16.84664803|167.5607773|-735.4165088|0.0190667019999999|-339.5427625|1450.229492|646.2584547|12.86362369|0.0|0.0|1.0|1.0|1.0|3.48|3.28|0.04|-7.47|3.89|2.39|1.0|1.0|0.0|1.0|-5.68|5.0|-6.62|0.0|0.0|3.25|0.0009109999999999|1.27e-05|0.0|3.39e-08|1.4800000000000002e-05|-0.09046|3.29|3.5752|-1722.181612|-1722.152257|699.61|346.79|346.79|0.6816|0.6816|0.3802|-0.14774|7.4033|-0.2382|0.02935511|-1721.994023|9986.0|3.0|8.5302|8.5302
