molecula|SddssS|NaaNH|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|SaasN|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|MATS8i|BCUTi-1|AATSC8d|n5aRing|n5aHRing|MATS1i|MATS1c|n6aHRing|FNSA3|FNSA5|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Log S (ESOL)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|pIC50
6_a47|0.0|0|0|0.0|0.0|0|0|0|0.0|0.011739916|-0.008723045|0.0|-0.1738997619999999|2|0.042276423|-0.14404966|1.291219116|0.051455447|10.93671042|0.0402365489999999|0|0|-0.020576777|-0.459934519|2|-0.080118846|-0.096689626|-43.43026699|5.323543706000001|101.7290544|0.158081588|-0.036834143|-28.411587800000003|2.885749555|0.7943908059999999|-1.547034008|-23.54237714|60.76103606|-19.96679614|48.75381069|0.4059072379999999|456.3812788|-838.6054381|-10.82346202|10.90843226|5766.962611999999|111.4552019|25.13472712|-319.1626428|1055.658539|8.348196185|1.0|1.0|2.0|2.91|0.05|22.0|-9.06|5.24|6.27|58.04|3.48|2.0|0.0|106.47|0.0|1.0|27.0|4.0|1.0|1.0|-5.79|5.06|0.0|0.0|8.71e-10|3.310000000000001e-07|5.5188|3.7196|-1608.684886|576.56|224.66|422.9|0.69305|-1608.50108|0.2119|3.2606|0.03288085|4.2153|7.9
5b_a40|0.0|0|0|0.0|0.0|1|0|1|1.616656116|-0.067567502|-0.0049439079999999|6.167516491000001|0.064329005|0|0.044946237|-0.096549823|0.7222376540000001|0.179058252|10.31198309|0.020344828|2|2|0.007986879|-0.389789991|0|-0.077031845|-0.091267779|-38.64461938|9.59023102|169.18694230000003|0.118735598|-0.036507111|-22.96968039|4.811137897|0.829018186|-1.095213344|-19.38687321|52.08187888|-18.31454812|48.2348504|0.477304896|442.1045286|-549.4364437|-9.187872156|12.47657231|4813.179854|85.77656597|22.09185326|-330.1175669|662.7555978999999|6.2955085660000005|1.0|0.0|0.0|2.82|0.21|14.0|-5.25|4.93|4.39|75.5|2.89|1.0|1.0|84.17|0.0|2.0|21.0|3.0|0.0|1.0|-4.84|4.14|0.0|0.0|5.65e-06|0.00191|3.9759|3.9759|-2096.782087|515.23|311.84|411.1|0.59928|-2096.707754|0.3005|7.2947|0.01471235|9.3069|7.1938
9b_a36|0.0|1|0|3.513187594|0.0|0|2|2|0.0|-0.053019801|-0.0058276019999999|5.351858133|-0.023369916|2|0.040166667|0.082806042|0.0|-0.077361324|10.33767255|-0.06502499|1|1|-0.053309522|-0.4060950789999999|1|-0.074181597|-0.098301686|-46.58565720000001|10.68084402|67.12293326|0.154620539|-0.036110824|-38.76797062|6.707514535|0.78242217|-1.769430355|-29.25555061|71.70079424|-22.67740953|57.26650122|0.453252346|530.8939077|-1111.193067|-14.24129533|13.80758516|5838.085413000001|136.63774650000002|28.98359786|-354.7193098|1420.196295|9.967846072|1.0|0.0|1.0|0.0|0.14|17.0|-6.64|3.6|2.76|82.47|2.82|1.0|0.0|126.17|0.0|1.0|29.0|4.0|0.0|0.0|-4.43|3.2|0.0|0.0|2.3100000000000002e-07|9.21e-05|3.8535|3.8535|-1575.7800140000002|666.01|321.74|514.45|0.69763|-1575.557248|0.5392|6.2846|0.02803905|8.4288|7.6778
10_a3|0.0|0|0|0.0|0.0|0|0|0|0.0|0.190318474|-0.010609861|4.727387819|-0.1152010919999999|3|0.034166667|0.017396832|1.684975382|0.018484177|10.31162304|0.043342516|1|1|-0.0495219879999999|-0.616256033|3|-0.1007256719999999|-0.0989320009999999|-46.64544572|6.768239856|248.0820067|0.252593682|-0.0359752729999999|-21.21655855|3.134330682|0.7066293240000001|-1.187184014|-21.60122201|56.68388955|-16.65993003|53.41368558|0.41220272|346.1193167|-549.7776912|-7.715112198|8.559361451000001|4600.496436|135.8581743|23.57661855|-191.3775649|778.0284121000001|10.86908195|0.0|1.0|1.0|1.78|0.0|21.0|-6.51|3.79|3.41|105.82|1.2|0.0|0.0|88.28|0.0|1.0|22.0|4.0|0.0|1.0|-3.84|2.43|0.0|0.0|3.06e-07|9.35e-05|5375.0|3.4217|-1288.190838|498.67|230.67|323.26|0.68995|-1288.050987|0.0463|6.7458|0.04080931|9.3381|5.1
17d_a50|0.0|0|1|0.0|0.0|2|2|2|4.380250483|-0.152030219|-0.002166617|6.042632834|0.03538699|1|0.031990741|0.006071856|2.234730384|-0.136180713|10.94500663|-0.125540541|2|2|-0.200725906|-0.2294807539999999|1|-0.044172353|-0.069790853|-30.63468215|10.55016861|5.007868064|0.070113177|-0.025589979|-33.56790124|7.31681784|0.75405703|-1.535398758|-21.24595322|57.5414543|-17.74731987|41.18485076|0.445708152|644.9008302|-1064.839192|-12.30823045|12.62170017|6281.764548|170.5678813|23.53577933|-352.3903892|1412.14676|9.139672835|0.0|1.0|0.0|3.68|0.35|20.0|-7.07|4.0|4.29|51.77|2.71|2.0|0.0|133.19|0.0|1.0|32.0|4.0|0.0|0.0|-4.88|3.72|0.0|0.0|8.55e-08|3.63e-05|4.0506|4.0506|-1335.989008|727.15|306.09|579.45|0.66103|-1335.649722|0.1819|5.6557|0.02625058|7.9942|7.1308
25_a47|0.0|0|1|0.0|0.0|1|0|0|1.234859637|0.037667531|-0.010144825|4.727387819|-0.1084905069999999|2|0.043695652|-0.055724653|1.087932079|-0.035030495|10.94972207|0.002716049|1|1|-0.108691353|-0.545763902|2|-0.073339312|-0.08797211|-44.52300552|12.27779881|11.20142696|0.213041681|-0.031278972|-32.42203672|7.453635586|0.6238742279999999|-1.407553754|-27.0291331|71.17072517|-18.98891362|56.80080434|0.4760601829999999|477.748546|-854.5011131000001|-11.52783528|13.26689626|6236.813862|228.3393366|30.43708613|-150.4037281|1369.668876|17.76440561|0.0|1.0|2.0|3.27|0.1|21.0|-8.01|3.29|4.95|84.73|3.08|2.0|0.0|109.7|0.0|1.0|29.0|5.0|0.0|1.0|-4.82|3.53|0.0|0.0|9.79e-09|4.02e-06|4.8002|3.9878|-1735.414386|626.55|258.29|491.7|0.68761|-1735.2218059999998|0.0702|3.8832|0.0285712999999999|5.1625|7.8
12a_a40|0.0|0|0|0.0|0.0|1|0|0|1.784989449|0.021610099|-0.00431394|5.4161004020000005|-0.012791297|0|0.036587302|0.17758258|0.8332127109999999|0.100414476|10.31197265|-0.226763788|2|2|0.018655637|-0.4764003679999999|0|-0.064340227|-0.074840643|-32.81611621|6.001293955|107.5277007|0.059120235|-0.033799|-19.46913691|3.060902482|0.85136964|-1.047769006|-16.73754566|43.65970865|-17.23885621|38.81741016|0.476055146|479.8867095|-534.4045424999999|-8.792513441|14.43505064|4873.458436|75.8074911|20.24838026|-358.4254366|627.699788|5.487955617999999|1.0|0.0|0.0|3.39|0.0|20.0|-7.21|5.33|5.43|58.43|4.34|1.0|0.0|91.76|0.0|1.0|22.0|2.0|0.0|1.0|-5.95|5.43|0.0|1.0|6.15e-08|2.13e-05|3.0966|3.0966|-2097.826771|530.55|400.39|429.21|0.6998800000000001|-2097.7296100000003|0.3701|2491.0|0.0104658999999999|3.8054|5.7501
12a_a36|0.0|1|0|3.4715209280000003|0.0|0|2|2|0.0|-0.0632801509999999|-0.007471648|5.351858133|-0.0427777779999999|2|0.040166667|0.078063311|0.0|-0.070252245|10.96083376|-0.065913514|1|1|-0.1063550619999999|-0.432975237|1|-0.076154312|-0.104828755|-46.76212019|12.03249549|109.9069212|0.179315373|-0.037738352|-39.52572284|7.388485123|0.755315434|-1.886917597|-28.71401279|76.09903547|-23.17301945|58.79461567|0.470444928|503.9367075|-1158.650972|-14.22926022|12.464492300000002|5710.355735|150.24716030000002|30.67992313|-313.5499672|1533.996157|11.72953701|1.0|0.0|2.0|0.0|0.14|17.0|-6.59|2.72|1.88|69.2|2.02|1.0|0.0|123.75|0.0|1.0|29.0|4.0|0.0|0.0|-4.0|2.68|0.0|0.0|2.56e-07|9.78e-05|3.8343|3.6682|-1232.951968|653.94|323.35|481.98|0.6997|-1232.707754|0.0012|6.3637|0.03544528|8.5603|7.8861
18c_a30|0.0|0|0|0.0|0.0|0|2|2|0.0|0.12157783|-0.0109670669999999|5.351858133|-0.118776867|2|0.042560386|0.011887112|0.0|0.0119521719999999|10.31163825|-0.0351777|1|1|0.003429114|-0.562807327|1|-0.105618255|-0.1115683|-71.31647561|13.07260474|384.391404|0.282947974|-0.042101245|-50.86775696|8.826997739|0.7859920029999999|-2.2313660090000003|-48.15493021|87.76550537|-28.4279687|84.38908035|0.448899917|484.1740985|-1506.682341|-19.19537998|13.8741593|6685.737642|144.5043388|36.16826708|-386.2200097|1916.918155|12.43138832|1.0|0.0|2.0|0.0|0.13|17.0|-6.19|3.04|1.72|124.74|2.06|1.0|0.0|135.37|0.0|1.0|32.0|5.0|0.0|0.0|-4.3|2.74|0.0|0.0|6.520000000000001e-07|0.000288|3.4848|3.4848|-1744.500825|711.56|355.78|543.46|0.69123|-1744.2261030000002|0.3879|6.6462|0.04503016|8.64|7.9208
12l_a36|0.0|1|0|3.426092687|0.0|0|2|2|0.0|-0.0944961519999999|-0.0076430169999999|5.351858133|-0.008712073|2|0.039061728|0.128666217|0.0|-0.05158636|10.95423322|-0.0452558729999999|1|1|-0.098598933|-0.428857427|1|-0.079972189|-0.107815735|-52.05361632|14.33450402|39.27257375|0.15618077|-0.038052612|-45.67788557|9.330278191|0.7379583590000001|-1.940683231|-33.88151556|83.76912404|-24.7683114|66.38812034|0.4619814279999999|549.2389652|-1263.1838810000002|-16.12160667|13.88638723|6121.6555530000005|170.5619816|33.56329135|-309.7725155|1711.727859|13.59224175|1.0|0.0|2.0|0.0|0.13|17.0|-6.66|2.75|1.76|92.99|1.38|1.0|0.0|128.47|0.0|1.0|31.0|5.0|0.0|0.0|-4.29|2.95|0.0|0.0|2.21e-07|8.97e-05|3.8619|3.8619|-1325.194654|686.83|321.05|530.75|0.6925|-1324.954011|0.4524|5392.0|0.03508404|7.2021|7699.0
