molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|JGI4|SaaaC|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|BIC2|MATS8d|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
8j_a46|0|0.214753401|1|7.727094485|1|2.1279894180000003|-0.0017688329999999|-0.008523199|0.043903904|0.0|1|1|0.0108603019999999|-0.204674804|-0.229679821|0.789844634|-0.074207717|0.6109926379999999|-0.068971544|0.308052557|0.008672342|-29.38737046|-0.02566383|-19.90219786|2.5024620580000003|64.83187221|0.822112519|41.80044861|-13.78596018|2121.846387|502.0694817|-592.7962878|1888.679875|5.617748211|9.817783823|4759.107832|95.55665364|16.76894569|0.008843828|-346.061389|1.0|0.0|1.0|1.0|0.0|3.23|3.25|0.32|17.0|4.71|2.62|1.0|1.0|0.0|1.0|2.0|-4.59|-5.55|0.0|1.0|1.0|3.82|-4.83|2.59e-05|0.00878|0.00497|3.97|0.0|0.0|5.46e-08|-0.04068|4.9636|3.78|-1414.53151|-1414.50743|576.48|978.4|281.1|0.1728|0.50703|0.70121|-1414.349865|0.1427|-0.18531|5.2361|-0.22599|0.02408052|-1414.402087|6.4463|1228.0|5.9108|5.9108
17b_a25|0|0.0|1|6.842683282|0|1.785120622|-0.004368141|-0.002108117|0.042843137|1.968416259|1|1|0.005244553|-0.044260194|-0.366585181|0.780221059|0.029728702|0.636746066|-0.079392561|0.410780725|0.015879547|-51.71860811|-0.029249891|-45.64634114|9.129863339|87.61586206|0.724866184|73.52844745|-22.17876359|3100.8813760000003|668.9067217|-1264.189524|2514.295488|9.700133933|18.52147096|6674.061446|208.6205329|30.59704545|0.0175785369999999|-341.0100868|1.0|1.0|1.0|1.0|1.0|3.56|3.25|0.11|27.0|4.88|2.0|2.0|0.0|0.0|0.0|7.0|-5.32|-6.53|0.0|0.0|1.0|3.78|-5.07|4.75e-06|0.00218|0.00394|3.61|0.0|0.0|9.08e-11|-0.05531|5.4236|5.89|-1483.873254|-1483.830524|781.08|1329.35|313.02|0.4635|0.31395|0.6594800000000001|-1483.563965|0.1741|-0.16408|3.5074|-0.21939|0.04272963|-1483.630939|5.2142|101.0|6.9957|6.9957
14v_a23|1|-4.844615416|2|7.423568444|0|3.004639728|-0.014768546|-0.299484129|0.047323232|0.636416435|2|2|-0.0004039459999999|0.170475376|-0.650246427|0.787538583|-0.022236834|0.575188253|-0.09479984|0.31419322|0.019811827|-44.4776373|-0.042752869|-41.35406587|8.64241561|0.912757854|0.788328659|76.42257099|-28.23713101|3399.4261450000004|605.3933675|-1440.093681|2679.111279|7.743452839|14.26610767|8458.789829000001|139.8032821|35.81898321|0.020908947|-380.8667976|0.0|0.0|1.0|0.0|1.0|3.62|3.46|0.09|26.0|3.97|3.04|2.0|1.0|0.0|1.0|7.0|-6.89|-5.94|1.0|0.0|0.0|4.28|-6.0|1.29e-07|6.38e-05|0.0004969999999999|4.76|0.0|0.0|1.12e-08|-0.07843|3694.0|5.17|-2042.182282|-2042.161744|679.5|1206.02|335.64|348.0|0.6017100000000001|0.6017100000000001|-2041.93452|348.0|-0.1524299999999999|4.5506|-0.2308599999999999|0.02053833|-2041.998955|6.3758|4.0|8.4001|8.4001
5f_a40|0|0.0|1|8.149890544|0|1.656591081|-0.008387329|-0.0468504759999999|0.042936508|0.769837491|2|2|0.000706205|-0.155235986|-0.4644854879999999|0.811339477|0.095322868|0.680674762|-0.10969397|0.0528268609999999|0.020236763|-52.44868801|-0.041135239|-23.41506245|4.319700326|63.48466425|0.814393685|57.61052946|-19.00510637|1932.388838|342.5710869|-608.163404|599.1117195|5.780627322000001|11.20493646|3963.475837|85.75294257|23.33651|0.015000038|-290.5093357|1.0|0.0|0.0|1.0|1.0|3.08|2.05|0.21|14.0|2.94|1.29|0.0|2.0|0.0|3.0|3.0|-3.97|-6.47|0.0|0.0|1.0|2.23|-3.31|0.000108|0.0307|0.14|2.2|0.0|0.0|0.000207|-0.06227|3.8036|3.5|-1232.983157|-1232.959261|487.57|793.54|405.03|0.2747|0.56507|0.69727|-1232.851443|0.0415|-0.13057|5.5961|-0.19284|0.02389588|-1232.898044|7.6183|112.0|6.9508|6.9508
6_a15|0|0.0|0|0.0|0|0.0|-0.00951284|-0.048804012|0.042926829|0.0|0|0|0.003942615|0.153430865|-0.35221474|0.691316481|-0.015484797|0.810779115|-0.123000073|0.398681391|0.02948637|-41.14459066|-0.0307500179999999|-41.87249058|10.03794313|55.65697829|0.581974721|88.94853813|-17.94143141|2454.904173|501.3728188|-932.9544335|1971.005637|6.110075236|10.02135591|5589.043165|243.9013805|30.82854077|0.029449813|-95.65807914|1.0|1.0|1.0|0.0|1.0|3.29|4.03|0.23|18.0|4.43|2.18|2.0|0.0|0.0|1.0|7.0|-5.66|-5.33|0.0|1.0|1.0|4.11|-5.14|2.16e-06|0.000823|0.00278|4.64|0.0|0.0|1.13e-08|-0.02419|4.3423|3.94|-1263.0243449999998|-1263.0072300000002|612.22|1092.02|328.9|0.2616|0.65191|0.70554|-1262.75978|0.0113|-0.15714|1.3789|-0.18133|0.01711539|-1262.820532|1.9421|35.0|7.4559|7.4559
12a_a30|0|0.0|0|7.412764017000001|2|0.0|-0.006711725|-0.02919335|0.040166667|0.0|1|1|0.005458948|-0.171649606|-0.454270252|0.7885597609999999|-0.171895425|0.7961424690000001|-0.097138462|0.337975309|0.016292604|-47.73588073|-0.037665934|-37.34272719|6.263330101|0.0|0.805190202|69.45678454|-23.35372432|2722.217443|518.4718832|-1144.332492|2256.680391|7.362386058999999|13.88603128|5936.682602000001|120.786445|29.00398472|0.014884556|-378.4495438|1.0|0.0|1.0|1.0|1.0|4.65|0.0|0.14|17.0|3.84|2.82|2.0|0.0|0.0|1.0|5.0|-5.28|-5.98|0.0|0.0|0.0|2.63|-4.85|5.23e-06|0.00208|0.0056|3.87|0.0|0.0|2.3100000000000002e-07|-0.05184|5045.0|3.82|-1575.7783980000002|-1575.745502|668.81|1122.01|355.41|0.1866|0.35338|0.68599|-1575.538241|0.1511|-0.1481|4.1875|-0.19994|0.03289568|-1575.597759|4.7368|11.0|7.9469|7.9469
15c_a22|0|0.0|1|6.842683282|0|1.596256692|-0.005236206|-0.018518519|0.038137255|1.568396937|1|1|0.004362505|-0.047249795|-0.364626967|0.773044788|0.010828071|0.639264982|-0.080088202|0.615901609|0.024561528|-48.58045253|-0.0302219629999999|-41.51455167|12.731723|78.22334636|0.661775114|75.52188549|-21.75898206|3079.491787|623.9175171|-1153.226049|2092.620825|8.626398368|16.03890406|6882.442370999999|243.5126145|32.87972244|0.0248073129999999|-232.9472639|0.0|1.0|1.0|1.0|1.0|3.49|2.85|0.08|27.0|3.9|1.08|1.0|0.0|0.0|1.0|6.0|-4.86|-6.96|0.0|0.0|0.0|2.98|-4.62|1.39e-05|0.00618|0.0107|2.9|0.0|0.0|5.269999999999997e-10|-0.07399|5.7361|4.79|-1460.602657|-1460.571156|715.42|1241.07|337.46|0.5082|0.30831|0.69113|-1460.324493|0.0694|-0.15408|7.382000000000001|-0.22807|0.03150096|-1460.387718|9.0393|737.0|6.1325|6.1325
8e_a8|0|0.0|1|7.05012252|0|1.311619189|-0.010579355|-0.205927741|0.0427891159999999|0.0|1|1|-0.004224671|-0.0015448089999999|-0.475941912|0.7233950809999999|-0.079493088|0.636205913|-0.105450888|0.280304418|0.0211004739999999|-70.49962428|-0.04393787|-39.238709|7.851573274|76.40535608|0.803307236|75.57562034|-26.80224874|2692.975753|403.5112981|-1286.50794|2080.07805|7.50719734|14.52755918|6095.6213210000005|119.9832494|33.36487904|0.0184428869999999|-370.0368722|0.0|0.0|1.0|0.0|2.0|3.2|2.98|0.04|23.0|4.33|3.4|2.0|0.0|0.0|1.0|5.0|-5.27|-6.14|0.0|0.0|0.0|3.71|-4.9|5.34e-06|0.00215|0.00504|3.69|0.0|0.0|1.6399999999999998e-08|-0.06253|4.6303|7.22|-1376.957298|-1376.924308|639.38|1090.07|378.73|0.3731|0.50055|0.7013|-1376.708067|0.1671|-0.13719|6.1505|-0.19972|0.03298991|-1376.766245|7.7951|19.89|4.7014|4.7014
20_a47|1|0.0|1|6.86171134|0|1.1934608|-0.011237762|-0.161476442|0.039520202|1.010373001|1|1|-0.006342241|0.087325054|-0.5332051720000001|0.7962508290000001|0.113432542|0.59534794|-0.092005493|0.213977589|0.023587109|-45.68149289|-0.032859105|-27.33327788|7.00733184|49.00609086|0.595234209|69.09296541|-17.90996366|2630.63609|375.4483088|-752.2184736|1219.306754|7.022502229|13.10815891|5896.060936|220.6189341|30.08893541|0.034758191|-103.815441|0.0|1.0|1.0|1.0|2.0|3.19|2.96|0.05|21.0|2.56|2.75|1.0|0.0|0.0|1.0|5.0|-4.06|-6.75|0.0|0.0|1.0|3.09|-4.08|8.72e-05|0.0332|0.0316|2.63|0.0|0.0|4.89e-08|-0.06357|3.9808|4.08|-1335.742176|-1335.708279|557.84|964.94|311.45|0.2807|0.68219|0.68219|-1335.566785|0.2807|-0.16377|3.1747|-0.22734|0.03389691|-1335.620783|4.3277|3.0|8.6|8.6
19_a31|0|0.0|0|7.401841579|0|0.0|-0.01001901|-0.086654127|0.0427124179999999|0.0|2|2|-0.0038998559999999|-0.095997335|-0.615878515|0.8558149140000001|-0.138769819|0.6427749970000001|-0.113333675|0.279690511|0.014675044|-53.25742146|-0.036060715|-38.88650245|5.035230173|67.42915967|0.776211804|75.31824576|-21.12293613|2265.6917350000003|428.3459076|-929.4091898|1992.2502|7.0760696020000005|12.77501178|4917.329034|131.0862475|27.21285095|0.0152483439999999|-323.5878356|1.0|1.0|1.0|1.0|2.0|3.44|2.62|0.28|16.0|5.8|1.68|1.0|0.0|0.0|1.0|7.0|-4.67|-6.41|0.0|0.0|1.0|3.47|-3.92|2.14e-05|0.0076799999999999|0.0431|2.93|0.0|0.0|4.08e-08|-0.04308|5.0344|5.24|-1489.532192|-1489.4951640000002|625.93|1028.58|314.06|0.3205|0.5385300000000001|0.7005600000000001|-1489.323855|0.2271|-0.16367|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|1.8|5.7447|5.7447
26_a47|1|0.0|1|6.86171134|0|1.06819297|-0.012090143|-0.200192886|0.045681818|0.956774672|1|1|-0.008325552|-0.24731748|-0.5899218279999999|0.845040087|0.0120097289999999|0.651797437|-0.101679756|0.549740398|0.020884606|-57.01987795|-0.038735145|-34.3326642|7.0517889060000005|60.07342336|0.717639177|73.39007585|-22.50824805|2625.572598|412.8219782|-945.3464183|1341.904566|6.945070057000001|13.22794532|5994.406615|164.0744453|31.36429668|0.024619511|-252.9318822|0.0|1.0|1.0|0.0|2.0|3.13|2.66|0.05|21.0|2.84|2.59|1.0|0.0|0.0|1.0|4.0|-4.86|-6.51|0.0|0.0|1.0|3.18|-4.56|1.3699999999999998e-05|0.00545|11.0|3.12|0.0|0.0|5.97e-08|-0.06279|4.7963|4.37|-1696.096597|-1696.075481|592.84|1006.59|310.58|0.3197|0.50921|0.68707|-1695.9387359999998|77.0|-0.16642|3.6825|-0.22921|0.02111593|-1695.993821|4.8242|13.0|7.9|7.9
31_a47|1|0.0|1|6.842683282|0|1.441825189|-0.00869363|-0.171198936|0.042906977|1.198626524|1|1|-0.006265667|-0.188419195|-0.441642572|0.856640117|0.001622323|0.6463892179999999|-0.1056956209999999|0.486720182|0.021401336|-66.4670426|-0.037580665|-40.66927863|8.234748813|81.01707367|0.70664003|80.58054906|-23.31144534|2689.159869|431.7441681|-1049.01504|1322.82831|8.214180216|15.6194341|6019.5391740000005|181.972428|32.98913783|0.024209265|-256.3593656|1.0|1.0|1.0|1.0|2.0|3.18|2.38|0.1|21.0|3.23|2.0|1.0|0.0|0.0|1.0|5.0|-4.59|-6.78|0.0|0.0|1.0|2.94|-4.39|2.56e-05|0.0105|0.0166|2.86|0.0|0.0|2.42e-08|-0.0532|3.9744|4.2|-1735.435432|-1735.400941|642.11|1079.4|340.91|0.3264|0.68276|0.69894|-1735.225703|83.0|-0.15143|6.4248|-0.20463|0.03449081|-1735.284957|8.6244|16.0|7.8|7.8
15d_a10|0|0.0|1|7.535296702|2|2.147544195|-0.002831383|0.0370874879999999|0.031742919|2.04092658|1|1|0.011249462|-0.092884337|-0.1945202089999999|0.745184875|0.0131101969999999|0.71456262|-0.070612242|0.565801561|0.02281891|-38.80896881|-0.018829931|-32.06793721|10.36301002|141.0919598|0.471900166|66.95020436|-12.68949225|2967.522813|590.402322|-761.3695352999999|2036.192049|8.429169102000001|16.02072769|6511.656447|355.8865234|26.89020509|0.028735133|37.87296065|0.0|1.0|1.0|1.0|0.0|3.71|4.01|0.35|21.0|4.14|1.54|1.0|0.0|0.0|1.0|6.0|-3.78|-7.04|0.0|1.0|0.0|3.18|-4.38|0.000167|0.0739|0.0182|2.75|0.0|0.0|1.5e-08|-0.05002|5.6004|2.05|-1430.8144619999998|-1431.051425|737.09|1266.87|321.28|312.0|0.3685|0.6814100000000001|-1430.733658|0.0856|-0.15916|3.3831|-0.20918|-0.23696253|-1430.795367|3.8163|69.0|7.1612|7.1612
19k_a38|0|0.0|0|7.412764017000001|2|0.0|-0.011877064|-0.17467835|0.0445691609999999|0.0|1|1|-0.00835812|0.208892195|-0.51857087|0.853092207|-0.029357143|0.730686013|-0.126936513|0.389096157|0.0232707939999999|-71.54314527|-0.044662847|-51.10918191|9.369654226|116.0039747|0.75964689|94.38036132|-28.3401789|3055.355167|417.968819|-1530.369661|2929.493496|6.744851799999999|12.89431427|7091.215492|152.51267140000002|37.3070426|0.021802691|-329.5105352|0.0|0.0|0.0|1.0|4.0|4.89|2.2|0.13|17.0|2.34|1.65|1.0|0.0|0.0|1.0|6.0|-3.87|-7.84|0.0|0.0|0.0|1.9|-3.62|0.000134|0.0594|107.0|1.65|0.0|0.0|3.94e-07|-0.05534|5.1869|4.13|-1500.8984380000002|-1500.852284|677.64|1172.22|350.45|0.2038|0.38269|0.70327|-1500.618667|0.1156|-0.14568|9.1508|-0.20102|0.04615409|-1500.680373|12.5022|11.0|7.9666|7.9666
14e_a25|0|0.0|1|6.842683282|0|1.5926486519999998|-0.008591251|-0.138693649|0.0389622639999999|1.906869097|1|1|-0.0005394919999999|0.010976703|-0.50909623|0.776960216|0.018432983|0.6954126970000001|-0.1004553119999999|0.448918026|0.015024526|-73.99302943|-0.038772226|-53.79722636|8.046143033|97.78313402|0.806446896|84.60373462|-28.3735856|3126.080106|529.8614286999999|-1617.294379|2620.6698690000003|8.459867391|16.63781964|6952.485076999999|141.642515|35.18345194|0.015154859|-448.516796|1.0|1.0|1.0|1.0|2.0|3.62|2.72|0.07|27.0|3.65|1.69|1.0|0.0|0.0|1.0|7.0|-5.14|-6.96|0.0|0.0|0.0|3.02|-4.73|7.29e-06|0.00337|0.0085799999999999|3.04|0.0|0.0|7.31e-10|-0.0538|5.8431|6.51|-1521.012915|-1520.964156|760.96|1300.08|312.99|0.2409|0.31019|0.69958|-1520.701142|0.0007|-0.15787|5.3651|-0.2116699999999999|0.04875868|-1520.767443|7.2625|75.0|7.1249|7.1249
6f_a40|0|0.0|1|8.421342866|1|1.750582483|-0.01691341|-0.156988665|0.038309179|0.737582436|2|2|-0.008368734|-0.233222505|-0.628934821|0.836826225|-0.268802228|0.742681934|-0.130571562|0.363785804|0.015998475|-86.21963207|-0.052228625|-53.89282175|6.6032981820000005|40.01876255|0.8628087240000001|92.77827871|-33.55442128|3021.330686|421.31181889999993|-1509.948957|3072.581297|6.993991456|11.87042702|7328.308886|88.13890599|38.88975659|0.013841059|-466.1748926|1.0|0.0|1.0|0.0|2.0|4.05|2.53|0.21|14.0|3.66|1.1|1.0|3.0|1.0|3.0|5.0|-6.95|-6.9|1.0|0.0|0.0|2.61|-4.64|1.13e-07|5.18e-05|0.0105|3.09|1.0|0.0|0.0002109999999999|-0.08982|3.5741|6.96|-2426.972609|-2426.924155|668.95|1139.55|482.43|0.2362|0.66642|0.69911|-2426.725129|0.0158|-0.1131799999999999|6.2384|-203.0|0.04845403|-2426.787111|8.7269|42.0|7.3768|7.3768
12y_a30|0|0.0|0|7.412764017000001|2|0.0|-0.005996863|-0.037335306|0.044197531|0.0|1|1|0.006346396|-0.153680104|-0.4579359229999999|0.768409873|-0.095969764|0.803183654|-0.091248521|0.374181804|0.0149823289999999|-47.598277|-0.034840345|-41.1215369|6.751850651|0.0|0.820108145|69.55490151|-23.38859815|2847.362782|569.8856940000001|-1286.372898|2411.415644|8.067590558|14.55517927|6301.067405|120.7628216|28.51891948|0.012362508|-429.782246|1.0|0.0|1.0|1.0|1.0|4.86|0.0|0.21|17.0|4.87|3.25|2.0|0.0|0.0|1.0|5.0|-6.04|-5.64|0.0|0.0|0.0|3.19|-5.46|9.14e-07|0.00039|0.00148|4.6|0.0|0.0|4.12e-08|-0.05065|5.1973|4.45|-1654.41361|-1654.382468|728.75|1227.82|357.11|0.2173|0.30617|0.6864399999999999|-1654.125015|0.1489|-0.1475|4.7043|-0.19815|0.0311422|-1654.190369|5.1209|22.0|7.6576|7.6576
12a_a50|1|0.0|2|7.927685046000001|1|4.075037557|-0.002936355|-0.0016330379999999|0.034845679|2.112397566|2|2|0.011790103|-0.193999688|-0.247407423|0.795582575|-0.2018898489999999|0.660148928|-0.0663902|0.29507467|0.021013336|-25.57033815|-0.02383238|-16.85074424|5.333473207|69.83817338|0.575218972|47.2792242|-12.00673599|2223.666558|455.4948605000001|-468.2627037|1462.827156|5.116970861|9.648744341|4665.239724|214.004382|20.873331|0.027455156|-75.79052945|1.0|1.0|0.0|1.0|0.0|3.3|2.21|0.11|20.0|2.59|2.02|0.0|0.0|0.0|2.0|2.0|-3.16|-6.44|0.0|1.0|1.0|2.55|-3.84|0.000685|215.0|45.0|2.5|0.0|0.0|3.22e-06|-0.03366|4.0783|2.47|-1006.659456|-1006.632973|545.54|908.22|304.01|0.1807|0.65267|0.65267|-1006.498352|0.1807|-0.16806|5.7662|-0.20172|0.02648238|-1006.546706|7.9123|75.0|7.1249|7.1249
2_a4|0|0.0|0|6.605297921|1|0.0|-0.00708265|-0.103346554|0.037777778|0.0|0|0|-0.0016168089999999|0.127695325|-0.3881618|0.802438682|0.1355918559999999|0.912872667|-0.105102755|0.442778552|0.006330673|-49.45826819|-0.0379537729999999|-18.65482233|1.123639184|0.0|0.843107708|48.93681624|-15.98981578|1623.668791|312.82106489999995|-575.6333682|910.3327882|4.710383035|7.800989232999999|3396.86527|66.09827364|18.96532986|0.011054731|-289.1005902|0.0|1.0|0.0|1.0|2.0|3.33|0.0|0.27|12.0|2.12|1.63|0.0|0.0|0.0|2.0|2.0|-2.18|-6.69|0.0|1.0|0.0|1.24|-2.77|0.0066|1.67|434.0|1.62|0.0|0.0|1.4800000000000002e-05|-0.01612|5.8961|2.46|-819.9326497000001|-819.8996124|458.73|764.77|384.69|0.1315|0.4682|0.6885600000000001|-819.771754|0.0008|-0.14614|1.7717|-0.16226|0.033037353|-819.8174190000001|3.0946|31.0|7.5086|7.5086
12bi_a36|0|0.0|0|7.412764017000001|2|0.0|-0.00902707|-0.043740597|0.043854875|0.0|1|1|0.002872872|0.056936052|-0.37220074|0.812921349|0.071329141|0.8350231859999999|-0.107613368|0.382000949|0.034602166|-57.89562053|-0.027831043|-52.46851415|16.87080604|0.0|0.4996603229999999|101.3899049|-19.43326441|3044.149713|548.1337538|-1127.129336|2660.0547690000003|8.454426643|15.71382803|6572.410403|349.3664649|38.89295091|0.037590587|0.474365004|1.0|0.0|0.0|1.0|2.0|4.97|0.0|0.21|17.0|2.83|1.42|1.0|0.0|0.0|1.0|7.0|-4.11|-7.13|0.0|0.0|0.0|1.75|-4.15|7.75e-05|0.0342|0.0315|2.62|0.0|0.0|1.6100000000000005e-07|-0.0510199999999999|3.8855|2.68|-1461.997992|-1461.966152|742.94|1256.37|336.45|0.4214|0.68181|0.69207|-1461.69263|0.0252|-0.15078|7.0514|-0.2018|0.0318395999999999|-1461.75632|8.8903|14.0|7.8539|7.8539
12y_a36|0|0.0|0|7.412764017000001|2|0.0|-0.00707164|-0.065314765|0.041767677|0.0|1|1|0.003724542|0.06152178|-0.434990282|0.820226782|-0.0498101409999999|0.856135378|-0.098532865|0.424572485|0.019404665|-51.48548385|-0.036493654|-44.53093547|8.769742642|14.40618351|0.755735734|78.8341402|-24.53339777|2793.629988|562.7133986|-1324.80348|2304.463084|7.589386902|14.80236899|6082.16777|164.2102614|32.46293206|0.01873364|-343.8442493|1.0|0.0|0.0|1.0|2.0|4.88|0.0|0.12|17.0|3.62|2.38|1.0|0.0|0.0|1.0|6.0|-4.58|-6.34|0.0|1.0|0.0|2.37|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|0.0|9.66e-08|-0.05002|3.8794|3.83|-1310.350902|-1310.315063|702.38|1183.75|319.6|0.4358|0.66796|0.66796|-1310.077567|0.4358|-0.15671|6.1376|-0.20673|0.03583863|-1310.137888|8249.0|12.0|7.9208|7.9208
8c_a31|0|0.0|0|7.765993078999999|1|0.0|-0.01275867|-0.104377029|0.03995098|0.0|2|2|-0.004832959|-0.178276512|-0.513257014|0.847752299|-0.1759864119999999|0.87237334|-0.128067781|0.280934088|0.029669107|-64.57121646|-0.039640027|-38.96685783|9.027343766|477.2277896000001|0.72308253|82.77037329|-21.86561502|2251.08563|345.3445134|-918.3558307|1678.6836239999998|6.820988495|12.99457133|4835.748065|152.7489054|30.23944586|0.021986076|-246.1066271|1.0|1.0|1.0|1.0|2.0|3.51|2.9|0.29|16.0|4.89|0.85|0.0|0.0|0.0|1.0|5.0|-4.42|-6.7|0.0|0.0|1.0|2.83|-3.63|3.79e-05|13.0|0.0811|2.38|0.0|0.0|7.45e-07|-0.03222|3.8492|1.83|-1426.166503|-1426.129055|595.67|981.89|322.11|0.2597|0.7005|0.7005|-1425.968408|0.2597|-0.15985|3.3453|-0.19207|0.03744829|-1426.024361|5.1815|0.81|6.0915|6.0915
3_a20 (SB-525334)|0|-0.08980269|0|6.880384082000001|0|0.0|-0.005492814|-0.053897691|0.0526353279999999|1.728260385|1|1|0.0033523629999999|0.002992397|-0.500412918|0.7186587|-0.17447922|0.7835436240000001|-0.0917096759999999|0.246005838|0.0123308269999999|-34.52869143|-0.029269046|-29.26136697|3.934338039|0.0|0.784910502|58.45718743|-16.53287135|2243.481559|494.6267525|-777.0449536|1782.992456|5.943823875|10.9543133|4905.195832|121.495147|21.06338405|0.0117802769999999|-321.8682802|1.0|1.0|1.0|1.0|1.0|3.37|2.82|0.24|21.0|5.2|1.69|1.0|0.0|0.0|1.0|3.0|-4.85|-5.74|0.0|1.0|1.0|3.63|-4.73|1.42e-05|0.00489|0.00647|3.74|0.0|0.0|4.07e-09|-0.0671399999999999|4.9821|3.9|-1086.585811|-1086.56485|605.71|1030.31|390.77|367.0|0.49443|0.70168|-1086.329436|0.1171|-0.13417|3.7291|-0.20131|0.02096048|-1086.383308|4.8164|162.0|6.7905|6.7905
22_a4|0|0.0|1|7.535296702|1|1.987636054|-0.006436201|-0.115883451|0.044357639|0.0|1|1|0.004237768|0.00771584|-0.3877007|0.7797803109999999|-0.037423832|0.755510052|-0.089955967|0.242642229|0.010702353|-45.61565825|-0.036468635|-20.77508795|2.47167963|0.0|0.8444670409999999|48.65880447|-17.52572365|1950.173729|413.8681986|-648.451775|1477.437886|5.495481464|9.742413394|4074.564287|74.7444381|20.75359108|0.011296354|-331.080892|1.0|1.0|0.0|1.0|1.0|3.3|2.2|0.11|17.0|3.19|2.09|0.0|0.0|0.0|2.0|2.0|-3.77|-5.91|0.0|1.0|1.0|2.81|-3.98|0.000172|0.0497|0.0301|3.03|0.0|0.0|5.77e-06|-0.03046|4.468999999999999|3.38|-934.2706743999998|-934.240411|519.39|860.77|305.85|0.1675|628.0|0.65771|-934.12356|0.1293|-0.16754|3.5548|-198.0|0.030263407|-934.171365|5.4110000000000005|47.0|7.3279|7.3279
4d_a46|0|0.173086735|1|7.825245291|1|2.146507937|-0.001749881|-0.017469934|0.047736111|0.0|1|1|0.010756749|-0.206000242|-0.240143042|0.764741337|-0.103199079|0.623144956|-0.070772596|0.290035518|0.008652238|-30.95621863|-0.024616555|-21.33218735|2.607946825|74.62074724|0.813427965|43.60839351|-13.51488667|2181.291783|513.9109507000001|-621.6847867|2233.65548|5.757075209|10.30138878|4993.774007|102.4310631|16.6147308|0.0086574759999999|-344.15403910000003|1.0|0.0|1.0|1.0|0.0|3.78|3.5|0.35|17.0|4.81|2.84|2.0|1.0|0.0|1.0|2.0|-4.93|-5.4|0.0|1.0|1.0|4.11|-5.11|1.18e-05|0.00416|0.00275|4.3|0.0|0.0|3.88e-08|-0.0396399999999999|4.4265|4.18|-1453.840712|-1453.817782|588.18|1009.78|280.09|0.1313|0.69884|0.69884|-1453.635434|0.1313|-0.18639|3.5318|-0.22603|0.02292966|-1453.688943|3.7104|517.0|6.2865|6.2865
47u_a18|0|0.0|0|7.03438793|1|0.0|-0.010219187|-0.0872206669999999|0.035393939|0.0|0|0|0.00082284|0.0121925089999999|-0.539738821|0.7517870059999999|-0.053126304|0.646724968|-0.092271172|0.33777918|0.02068926|-62.99873374|-0.0344062|-44.84707106|10.0557163|77.59162925|0.721837463|79.06741651|-23.98671253|2965.254516|516.6437614|-1415.216039|1415.590236|9.18142206|17.78724206|6837.350959|193.9244919|33.23007431|0.021142007|-309.31352410000005|0.0|0.0|1.0|1.0|2.0|3.98|0.0|0.19|18.0|3.15|2.95|3.0|1.0|0.0|1.0|8.0|-5.69|-6.31|0.0|0.0|0.0|2.6|-4.98|2.05e-06|0.000932|0.00472|3.9|0.0|0.0|6.34e-09|-0.06392|3.1186|9.34|-1510.182477|-1510.153552|738.53|1282.66|397.57|0.5849|0.69143|0.69143|-1509.771642|0.5849|-0.12717|4.4624|-0.19109|0.02892505|-1509.839543|5.8058|1.97|5.7055|5.7055
