molecula|n9FaHRing|SssssC|NaasN|SRW09|nAHRing|SaasN|AATSC1c|AATSC1s|JGI4|SaaaC|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1c|BIC2|MATS8d|GATS1pe|FNSA5|PBF|FPSA3|PNSA3|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|DPSA5|PNSA4|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w MLOGP|Leadlikeness|Brenk|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12ab_a36|0|0.0|0|7.412764017000001|2|0.0|-0.007034881|0.000258844|0.039951691|0.0|1|1|0.002112069|0.0618552579999999|-0.4186639029999999|0.831136366|-0.051707317|0.8196353679999999|-0.095025338|0.452078227|0.024102201|-54.63243106|-0.033434841|-45.21303385|11.46782191|15.55386871|0.679025324|82.3666474|-23.06276515|2902.39241|580.1454645|-1245.389318|2390.849902|7.821826146|15.18764075|6314.697413|221.4026852|33.96451406|0.024384271|-246.9770378|1.0|0.0|0.0|1.0|2.0|4.86|0.0|0.17|17.0|3.14|1.59|1.0|0.0|0.0|1.0|6.0|-3.92|-7.21|0.0|0.0|0.0|1.8|-3.91|0.0001199999999999|0.0503|0.0515|2.33|0.0|0.0|8.95e-08|-0.0523799999999999|3.8845|3.23|-1364.509957|-1364.468283|712.73|1201.64|319.17|0.4451|0.69294|0.69294|-1364.236757|0.4451|-0.15699|3.6976|-0.2093699999999999|0.04167456|-1364.300531|5.3228|11.0|7.9586|7.9586
14_a15|0|0.0|0|0.0|0|0.0|-0.006678826|-0.0455566929999999|0.037073171|0.0|0|0|0.0034254209999999|-0.051908601|-0.3848940629999999|0.719993769|-0.028227917|0.7933685340000001|-0.0917424269999999|0.7461324029999999|0.014672137|-40.89540491|-0.032888795|-37.68282812|6.026520371|2.923143027|0.770309725|68.59458198|-21.0782518|2612.691478|568.5306056|-1117.1473460000002|2731.841165|6.040010666000001|10.18067005|5861.387612|147.2072638|27.36334635|0.015286995|-346.4801021|1.0|1.0|0.0|1.0|1.0|3.56|3.72|0.12|24.0|5.32|2.87|2.0|0.0|0.0|1.0|6.0|-6.22|-4.97|1.0|0.0|1.0|4.7|-5.83|5.99e-07|0.0002379999999999|0.000584|5.29|0.0|0.0|1.51e-10|-0.0338199999999999|4.4518|5.16|-1281.105795|-1281.0669369999998|689.8|1177.14|342.41|0.3131|0.65079|0.7055899999999999|-1280.809256|0.0054|-0.14997|3.3596|-0.18379|0.03885834|-1280.87015|5.0894|0.03|7.5229|7.5229
33_a20|0|0.0|1|6.842683282|0|1.915285809|-0.00145476|0.023539095|0.0388043479999999|2.0219022580000003|1|1|0.008780074|0.248715569|-0.1771816269999999|0.74131936|-0.10978034|0.607038752|-0.069838312|0.399354817|0.012738882|-38.58254635|-0.0265385579999999|-29.9394021|5.46110745|64.93395624|0.759356182|54.60811436|-17.37608867|2737.8873550000003|621.611679|-868.8044333999999|2274.654579|8.062843544|15.094865900000002|5916.443448|157.56124519999997|22.88265911|0.013564844|-339.6262863|1.0|0.0|1.0|1.0|0.0|3.39|3.59|0.08|27.0|5.33|2.61|2.0|0.0|0.0|1.0|4.0|-5.6|-5.58|0.0|0.0|1.0|4.28|-5.53|2.48e-06|0.000997|0.0012|4.47|0.0|0.0|2.04e-10|-0.0582899999999999|5443.0|4.07|-1275.852801|-1275.823229|689.51|1174.95|318.99|0.6157|0.27375|0.6129|-1275.602977|0.0463|-0.15959|3.5714|-0.21788|0.02957286|-1275.662457|5.0369|34.0|7.4685|7.4685
5b_a50|1|0.0|2|7.927685046000001|1|4.190114953|-0.00141071|-0.003549558|0.034845679|2.473508677|2|2|0.012290091|-0.0873662269999999|-0.140506919|0.791163321|-0.1866330389999999|0.6642694929999999|-0.061164973|0.271653991|0.012204641|-20.90908698|-0.02140774|-15.78596849|3.149876031|60.5565203|0.5887490470000001|42.76068675|-10.87564575|2183.545404|486.9950914|-435.0258302|1452.442728|5.543302677000001|10.01036188|4577.809819|208.925351|18.47246431|0.023005632|-90.17329003|1.0|1.0|0.0|1.0|0.0|3.37|2.91|0.1|20.0|3.15|2.4|0.0|0.0|0.0|2.0|2.0|-3.48|-6.03|0.0|1.0|1.0|3.11|-4.19|0.000335|105.0|0.0202|3.06|0.0|0.0|1.37e-06|-0.0256899999999999|5.6332|2.81|-990.6114185|-990.5849031|547.35|922.49|308.25|0.2749|0.4270899999999999|0.66968|-990.43875|0.1094|-0.16683|4.4181|-0.19252|0.02651535|-990.487545|6.1284|12.23|4.9126|4.9126
1_a1 (SKF-104365)|0|0.0|1|7.535296702|1|2.196347317|-0.006055958|-0.01959813|0.0409444439999999|0.0|1|1|0.002250781|-0.221214316|-0.505981356|0.7926983559999999|0.194988905|0.551667506|-0.081192283|0.2405471019999999|0.0133681239999999|-31.45099608|-0.029524467|-17.369816|2.859900586|63.42504103|0.709744919|46.32985169|-13.65596178|1997.193006|376.1092109|-450.6467387|1551.362941|5.2735884010000005|9.042613965|4225.4765640000005|134.2517831|19.24066156|0.018973797|-194.0267797|1.0|1.0|1.0|1.0|0.0|2.97|2.68|0.12|17.0|3.93|2.52|0.0|0.0|0.0|1.0|2.0|-3.8|-6.01|0.0|1.0|1.0|3.27|-4.02|0.000159|0.0472|0.0287|2.96|0.0|0.0|9.93e-07|-0.03482|3.8901|3.45|-1279.084677|-1279.060907|491.18|809.96|318.72|0.2178|0.70081|0.70081|-1278.971649|0.2178|-0.16142|4.5773|-0.19624|0.02377006|-1279.017667|6.9338|1.6|5.7959|5.7959
2_a20 (SB-505124)|0|-0.09011519|0|7.434257382|1|0.0|-0.010175551|-0.076310057|0.05042042|0.0|1|1|0.003789399|0.02072518|-0.520284161|0.725030162|-0.19681999|0.790275077|-0.117328885|0.214264156|0.02856542|-45.98170774|-0.0382594189999999|-35.52365346|8.648749117000001|441.9400248|0.831919306|70.87109323|-21.05206547|2195.369524|423.3785776|-968.3950117|1709.9571620000002|5.952040367|11.3574908|4762.83693|92.48561162|25.30541763|0.011470204|-365.2740749|1.0|1.0|1.0|1.0|1.0|3.4|3.1|0.3|17.0|5.16|2.06|1.0|0.0|0.0|1.0|3.0|-5.24|-5.31|0.0|1.0|1.0|3.81|-4.91|5.72e-06|0.0019199999999999|0.0040799999999999|4.27|0.0|0.0|6.070000000000002e-08|-0.03717|3.6404|4.57|-1089.371784|-1089.358727|593.8|995.68|340.58|0.3267|0.69947|0.69947|-1089.147716|0.3267|-0.14928|2.5584|-0.18645|0.01305739|-1089.201587|3.9392|169.0|6.7721|6.7721
12m_a36|0|0.0|0|7.412764017000001|2|0.0|-0.011502861|-0.133854569|0.03912037|0.0|1|1|-0.004569485|0.245908938|-0.52644768|0.825587924|-0.064035403|0.849217847|-0.121074678|0.4493096629999999|0.022725561|-67.27772044|-0.04260035|-54.45666327|10.22144534|107.233999|0.7471181240000001|96.11918789|-28.57011677|2925.315028|477.48014630000006|-1542.786306|2637.948424|7.312794835|13.67704354|6434.374756|169.596372|38.24042793|0.0222467879999999|-331.4617713|0.0|0.0|0.0|1.0|3.0|4.83|0.0|0.13|17.0|1.92|1.28|1.0|0.0|0.0|1.0|6.0|-4.1|-7.39|0.0|0.0|0.0|1.26|-3.8|7.96e-05|0.0338|0.0676|2.11|0.0|0.0|7.19e-07|-0.05114|3.8658|3.88|-1401.654499|-1401.6158890000002|692.4|1177.15|320.72|0.4718|0.69382|0.69382|-1401.385923|0.4718|-0.15879|6.5789|-0.20993|0.03861003|-1401.446557|9.1003|0.03|7.5229|7.5229
7b_a10|0|0.0|0|7.535296702|2|0.0|-0.001621737|0.037541178|0.037804233|2.079721225|0|0|0.010068964|-0.0982988509999999|-0.1874708719999999|0.764865564|0.065705128|0.586354126|-0.0720417159999999|0.5113525529999999|0.009734392|-30.71062112|-0.027444463|-19.47494818|2.6314862480000003|56.22969776|0.781045839|43.9185573|-14.26924098|2290.380138|480.6333417|-599.3081212000001|2150.375871|4.854451707|8.771658176|5212.568172|113.8411654|18.26940272|0.012428175|-292.2491701|1.0|0.0|1.0|1.0|0.0|3.9|0.0|0.25|16.0|4.34|3.04|1.0|1.0|0.0|1.0|2.0|-5.28|-5.09|0.0|1.0|1.0|3.02|-5.28|5.29e-06|0.00183|0.00182|4.68|0.0|0.0|1.0200000000000001e-07|-0.05377|6.0231|3.44|-1450.09312|-1450.06366|562.31|951.55|340.37|0.1488|0.4195399999999999|0.66228|-1450.075119|0.0899|-0.1584799999999999|4.2068|-0.21225|0.02946054|-1450.124551|5.6147|19.8|4.7033|4.7033
LY364947_a10|0|0.0|0|6.605297921|0|0.0|-0.00235945|-0.00390904|0.0273958329999999|2.084955541|1|1|0.006909045|0.1625645369999999|-0.204644982|0.711607778|-0.012096774|0.681525895|-0.075303751|0.449473391|0.009678082|-34.01613475|-0.029665114|-14.69643595|1.88879448|0.0|0.7234846559999999|41.53157099|-13.10520229|1896.845282|372.4595738|-432.4716757000001|839.5356408|4.702575386|9.161732895|3903.496845|122.1566022|18.1140017|0.018707677|-197.4583104|1.0|1.0|0.0|1.0|1.0|2.46|1.88|0.0|21.0|3.97|1.74|0.0|0.0|0.0|1.0|2.0|-3.54|-6.02|0.0|1.0|1.0|2.8|-3.86|0.00029|0.0789|0.0374|2.74|0.0|0.0|6.31e-08||||||||||||||||||||59.0|7.2291|7.2291
8_a27|0|0.0|1|6.605297921|0|1.7626247169999998|-0.008444078|-0.077396262|0.039673203|1.21499748|1|1|0.004801929|-0.24946295|-0.535352745|0.8000360390000001|0.11158995|0.64927069|-0.092265073|0.3608031339999999|0.021852066|-37.50265703|-0.035880862|-20.94612822|4.960882344|61.18801154|0.751701834|53.20197882|-17.09606174|2132.9321670000004|369.9216992|-615.4582227000001|989.0070768|5.016799703|9.642697094|4522.989286999999|118.305988|22.74314225|0.019394143|-239.8554499|0.0|0.0|0.0|0.0|1.0|2.79|2.28|0.06|21.0|2.98|2.19|0.0|0.0|0.0|1.0|2.0|-3.23|-6.73|0.0|1.0|1.0|2.38|-3.52|0.000586|178.0|0.0907|2.0|0.0|0.0|5.2e-07|-0.05015|4.1276|3.96|-1004.515654|-1004.489001|507.76|848.58|300.38|0.2336|0.64893|0.64893|-1004.385302|0.2336|-0.16958|3.0415|-0.21973|0.02665292|-1004.432889|4.2899|6.0|8.2218|8.2218
