molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|MATS8s|MATS8d|GATS1pe|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|GeomPetitjeanIndex|GRAVp|TASA|FPSA1|GeomShapeIndex|WNSA2|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50
12av_a36|0.0|1|0|3.4520047430000003|0.0|0|2|2|1.297042752|0.04250591|0.06882889|0.0|-0.605432791|-0.00233752|-0.021036176|10.96037173|1|1|-0.000472698|0.1168328169999999|-0.213993335|-0.507136551|-0.018133027|-0.067408377|0.817582774|0.752447733|-0.082283524|0.277834652|0.021666882|-57.31621925|-73.55299094|15.09249582|99.2415672|172.4374372|-0.035197712|-51.2347934|10.51297704|124.9387725|0.671916917|0.491188387|3011.024457|524.1323793|0.328083083|0.965363947|-973.4610746|0.025779468|-239.5042702|2079.880404|757.7532208|17.95719936|0.0|0.0|0.0|1.0|0.0|3.0|4.96|0.17|17.0|2.38|1.65|98.3|1.49|1.0|0.0|138.06|1.0|7.0|-3.54|33.0|-7.66|438.48|0.0|1.47|-3.64|0.000292|128.0|0.0997|1.85|0.0|5.18e-05|-0.05307|4.5|3.4402|-1440.988179|-1440.945099|733.21|1247.28|360.39|0.6698|256.12|-0.19429|-1440.738332|6.1075|7.4089
26_a20|0.0|0|0|0.0|0.0|1|0|0|1.4165417530000002|0.0396875|0.1516835819999999|2.01129617|-0.3297182369999999|0.003085806|-0.054222344|10.93106273|1|1|0.003149352|0.249416844|0.057022334|-0.446730587|-0.070815554|-0.055150498|0.690530489|0.79337253|-0.0862808009999999|0.423153994|0.012753218|-58.21621279|-55.81998701|8.604974082|299.8332395|139.417676|-0.0327795789999999|-37.66339899|5.806030949|80.47551422|0.7848887259999999|0.472355054|2825.254798|535.3119506|0.215111274|0.8952138340000001|-790.9313788|0.014879363|-384.4457279|1493.485239|712.1606951|10.03954725|1.0|1.0|1.0|1.0|1.0|1.0|3.42|0.08|27.0|4.5|4.62|86.69|2.47|2.0|0.0|125.0|1.0|5.0|-5.14|32.0|-6.28|419.48|0.0|3.66|-5.02|7.27e-06|0.00305|0.00399|3.63|0.0|2.780000000000001e-07|-0.05097|4.97|3.8894|-1352.315376|-1352.277633|715.27|1211.34|318.77|0.2081|256.05|-0.21226|-1352.098465|4.8742|6.8827
3h_a32|0.0|1|1|3.579396967|0.0|0|0|0|0.609420752|0.037731481|0.014517903|2.243113495|-0.269379119|0.002101838|-0.003152613|10.31100268|3|3|0.003284804|0.025035542|-0.122769653|-0.531669815|-0.169197453|-0.2|0.8030743229999999|0.87880263|-0.07183387|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|76.38838542|75.87946135|-0.027590124|-34.60714056|4.372100625|0.0|0.7734940029999999|0.4089962629999999|2398.020434|550.2022886|0.226505997|0.692036677|-519.1071084|0.011751781|-342.4592076|1071.936307|593.0848817000001|7.357575822|1.0|1.0|1.0|1.0|1.0|1.0|3.65|0.35|19.0|8.11|6.24|110.94|2.64|2.0|0.0|112.28|1.0|7.0|-8.23|26.0|-4.29|382.55|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|0.000273|6.12|0.0|1.29e-06|-0.05318|4.61|3.5552|-1790.6908030000002|-1790.663897|676.22|1127.45|348.74|0.2926|348.74|-0.20059|-1790.5004850000005|5.8749|8.1549
12ap_a36|0.0|1|0|3.4417292610000003|0.0|0|2|2|1.2970441659999998|0.042739018|0.066185994|0.0|-0.424579308|-0.000143196|-0.105824575|10.95430638|1|1|0.001194592|0.117738331|-0.175397741|-0.436880644|-0.025198947|-0.074596774|0.8212311840000001|0.830587483|-0.082622504|0.27547717|0.0217479329999999|-54.21070432|-69.6632787|14.26936622|82.56761031|111.1558165|-0.037473093|-45.7078307|9.36249036|0.0|0.737851886|0.464588|2843.18721|544.9693552|0.262148114|0.86772056|-822.7409526|0.020575639|-312.1212186|1699.445432|642.3830552000001|13.50019441|1.0|0.0|0.0|1.0|0.0|2.0|4.78|0.13|17.0|2.75|1.76|92.99|1.38|1.0|0.0|128.47|1.0|5.0|-3.99|31.0|-7.08|406.44|0.0|1.66|-3.95|0.000101|0.0412|0.0458|2.4|0.0|8.97e-05|-0.06084|2.98|3.8801|-1325.199863|-1325.159466|691.41|1160.79|319.54|0.8819|252.39|-0.21788|-1325.0127220000002|9.6512|7.4949
15a_a50|0.0|0|1|0.0|0.0|2|1|1|1.3530592819999998|0.035694444|-0.0446629609999999|2.020652006|-0.234757789|0.005366038|-0.15010386|10.94500663|2|2|0.005828749|-0.072976638|-0.209259615|-0.325638639|-0.051676609|-0.207610131|0.76745052|0.837789896|-0.0783960279999999|0.4349386739999999|0.018014615|-46.91098865|-50.56454577|10.77967103|275.287923|97.06405493|-0.029316925|-30.25705388|6.450390922|0.0|0.705410595|0.4476230879999999|2503.770258|501.3207109|0.294589405|0.8103580690000001|-514.369916|0.018747341|-245.8291419|1218.577214|569.5267957000001|11.21812301|0.0|1.0|1.0|1.0|1.0|1.0|3.7|0.23|20.0|3.23|3.57|68.76|1.87|1.0|0.0|110.43|1.0|5.0|-3.6|28.0|-6.78|371.44|0.0|2.76|-3.92|0.000251|0.0933|0.0444|2.51|0.0|0.0003|-0.03255|2.66|4.0408|-1199.818129|-1199.784983|644.4|1091.64|306.83|0.1767|306.83|-0.19948|-1199.629702|9.0948|7.3872
12au_a36|-3.3109381210000004|1|0|3.422314661|0.0|0|2|2|0.2992539489999999|0.044036281|0.075815782|0.0|-0.613616984|-0.006862238|-0.023640632|10.31810353|1|1|-0.001160331|0.1320241419999999|-0.261631709|-0.515924985|-0.021932444|-0.058671909|0.750657639|0.698996981|-0.090166553|0.284342092|0.021569487|-64.86748076|-79.35600767|15.51748637|102.3999102|216.5471227|-0.038036474|-57.09017539|11.16356587|26.04051569|0.7160586109999999|0.492871181|3484.987058|502.8713191000001|0.283941389|0.97188557|-1141.803508|0.023021031|-310.873098|2216.466823|805.2286932|16.56175445|0.0|0.0|0.0|1.0|0.0|3.0|5.0|0.17|17.0|1.28|2.15|123.75|0.84|1.0|0.0|142.02|1.0|7.0|-3.85|34.0|-8.03|474.54|0.0|1.18|-3.72|0.0001409999999999|0.0668|0.0897|1.64|0.0|6.45e-05|-0.0570899999999999|6.24|3.7105|-1876.207937|-1876.156196|752.27|1283.4|334.15|809.0|241.65|-0.2087099999999999|-1875.960827|8.0814|7.3279
34_a20|0.0|0|0|0.0|0.0|1|0|0|1.416932073|0.0396875|0.199191385|1.991704333|-0.328567476|0.003085806|-0.046356705|10.93244905|1|1|0.003149352|0.327535029|0.057022334|-0.4478820739999999|-0.101401966|-0.090732503|0.690530489|0.7966571459999999|-0.0851907119999999|0.408491116|0.0130295999999999|-57.31821177|-57.49912174|8.766605631000001|297.5548445|136.81360859999998|-0.032248904|-38.68669181|5.898367836|80.66541842|0.776414086|0.462785432|2825.042137|536.0086996|0.223585914|0.8614536140000001|-773.7338361000001|0.01491516|-371.9551262|1481.145765|712.1606951|10.03525243|1.0|1.0|1.0|1.0|1.0|1.0|3.43|0.08|27.0|4.5|4.62|86.69|2.47|2.0|0.0|125.0|1.0|5.0|-5.14|32.0|-6.28|419.48|0.0|3.63|-5.02|7.27e-06|0.00305|0.00399|3.63|0.0|2.780000000000001e-07|-0.05181|4.97|3.8699|-1352.31921|-1352.2836220000002|711.19|1205.64|320.38|0.4388|229.04|-0.21284|-1352.102407|5.4994|7.2147
19_a34|0.0|0|0|0.0|0.0|1|1|1|1.438829424|0.044107744|-0.189862762|0.0|-0.5357267960000001|-0.00802652|-0.143343425|10.95957634|1|1|-0.0042364759999999|-0.29861864|-0.401414514|-0.469568766|0.08178394|-0.0235903339999999|0.818710955|0.6399024520000001|-0.112877411|0.308793959|0.039589023|-56.30608209|-62.64265252|19.74799697|131.5318459|179.6256831|-0.039656969|-31.24772528|9.850795895|470.4453529|0.662289492|0.467358389|2127.363207|319.1993829|0.3377105079999999|0.877434994|-374.9727034|0.029554695|-161.90813300000002|1135.020017|337.9440349|14.74262256|0.0|1.0|0.0|1.0|1.0|1.0|3.07|0.18|17.0|2.69|2.31|69.4|1.08|0.0|0.0|83.95|2.0|3.0|-2.73|23.0|-7.01|309.32|0.0|2.1|-3.15|0.00186|574.0|218.0|1.66|0.0|0.00291|-0.02901|2.7|4.1721|-1046.606458|-1046.5747720000002|538.96|882.87|297.18|0.2189|297.18|-0.20251|-1046.509891|5.0441|6.0044
47t_a18|0.0|0|0|0.0|0.0|0|1|1|1.25117758|0.03672956|0.018018036|0.0|-0.756664598|-0.006573438|-0.011641394|10.94702032|0|0|-0.004985656|0.027313444|-0.104274108|-0.600890268|0.005590928|-0.074774521|0.688453085|0.67203319|-0.119202068|0.240001773|0.014067024|-79.78154029|-69.13537385|9.415011332|280.622476|219.5070758|-0.040580402|-46.27207168|6.301435212|78.43695402|0.804531523|0.49779009|2872.533415|449.789539|0.195468477|0.991199259|-1017.985577|0.016238994|-407.6438346000001|1890.514146|747.6927426|10.86870356|0.0|0.0|0.0|1.0|0.0|3.0|3.86|0.15|18.0|2.6|2.93|110.56|1.64|2.0|1.0|129.21|1.0|7.0|-5.58|33.0|-6.46|441.48|0.0|2.15|-4.77|2.65e-06|0.00117|0.0075299999999999|3.57|0.0|1.36e-05|-0.06822|9.4|3.1164|-1470.873743|-1470.836067|703.76|1218.95|397.84|0.5502|397.84|-0.19514|-1470.593659|9.6938|6.1068
14q_a23|0.0|0|1|0.0|0.0|2|0|0|1.19796338|0.044138322|0.064903564|0.720966302|-0.5608967029999999|0.002243702|-0.058543701|10.31321757|2|2|0.002496501|0.121109106|-0.033435987|-0.573130981|0.067394607|-0.089657283|0.7333675390000001|0.773194598|-0.08960718|0.227948491|0.02158178|-61.51997721|-66.16349731|14.81701129|350.836102|155.7136729|-0.039682061|-45.42467289|10.17264683|97.13675614|0.777340899|0.472004985|3097.399651|530.8381985000001|0.222659101|0.893957277|-953.9181308|0.01932289|-380.8178266000001|1787.418422|693.3423458|13.26616596|0.0|0.0|1.0|1.0|0.0|2.0|3.52|0.04|26.0|2.57|3.12|148.11|2.28|1.0|1.0|128.38|1.0|6.0|-5.21|33.0|-7.33|454.51|1.0|2.62|-4.39|6.11e-06|0.00278|0.0183|2.46|0.0|5.03e-05|-0.08159|4.19|3.6431|-1798.645459|-1798.6108739999995|714.22|1222.17|340.33|0.4943|340.33|-0.23013|-1798.433122|12.0503|7.8069
6_a4|0.0|0|0|0.0|0.0|1|1|1|1.271761557|0.035283951|0.042096749|2.186806868|-0.064723237|0.011457667|0.0032928379999999|10.92992785|1|1|0.01098094|0.0671397079999999|-0.073630392|-0.1738111839999999|-0.169533683|-0.340860215|0.664247086|0.945545838|-0.052396457|0.417868437|0.0077624059999999|-29.18838891|-37.33240845|4.324187697|14.1731579|30.33467048|-0.024618083|-20.7966895|2.408866521|45.93422613|0.814470803|0.423084148|2342.371538|526.7333132|0.1855291969999999|0.733355042|-374.340411|0.008863911|-350.36323230000005|825.0551765|578.2065561000001|4.937800786|0.0|1.0|1.0|1.0|1.0|0.0|3.38|0.26|21.0|5.1|5.23|43.6|3.09|2.0|0.0|109.7|1.0|3.0|-4.91|27.0|-5.42|354.45|0.0|4.23|-5.11|1.24e-05|0.0043799999999999|0.00274|4.28|0.0|3.67e-06|-0.04867|4.11|4.0354|-1108.585859|-1108.563418|613.83|1057.7|307.24|0.1235|254.51|-0.2182599999999999|-1108.392115|3.2192|5.8861
3_a4|0.0|0|0|0.0|0.0|1|1|1|1.343866299|0.033760684|-0.07806942|2.180369373|-0.0502208409999999|0.011825591|-0.010537082|10.92992985|1|1|0.011276682|-0.129930078|-0.08121207|-0.133874898|-0.0862461019999999|0.0904255319999999|0.623172012|0.919804716|-0.052578183|0.462670692|0.010568144|-25.5405205|-31.92506825|5.133610255|12.23442244|38.95587796|-0.024645574|-15.5080075|2.493716402|40.30885999|0.7196876640000001|0.430553837|2159.04913|446.8068266|0.280312336|0.7560922609999999|-232.6201124|0.015358792|-213.4321476|665.3942366|409.0289917|7.460728516|1.0|1.0|0.0|1.0|1.0|0.0|2.99|0.15|21.0|4.02|4.11|43.6|2.44|0.0|0.0|95.12|1.0|2.0|-3.7|24.0|-5.99|312.37|0.0|3.31|-4.26|0.000198|0.0617|0.0173|3.12|0.0|2.03e-05|-0.04964|2.66|4.0639|-990.6395508|-990.6149055|535.44|905.23|305.09|0.1415|252.57|-0.21969|-990.514888|3205.0|6983.0
7_a4|0.0|0|0|0.0|0.0|1|1|1|1.343865525|0.037694444|-0.07290303|2.048170299|-0.076100699|0.008409909|-0.125778587|10.92992954|1|1|0.008242591|-0.162314698|-0.094000778|-0.174410426|0.022270259|0.0707653759999999|0.518356619|0.825830607|-0.0650223009999999|0.470973822|0.01470626|-32.72992462|-35.88407105|7.402610584|14.01468959|87.67070691|-0.026733161|-18.06277106|3.726212114|79.08210981|0.7179916670000001|0.437317462|2286.169166|415.6938929|0.282008333|0.7772010559999999|-270.9415659|0.016800137|-219.4585767|749.6759227000001|407.1471338|8.456594282000001|1.0|1.0|0.0|1.0|1.0|0.0|3.05|0.15|21.0|4.42|4.67|43.6|2.82|0.0|0.0|95.07|1.0|2.0|-3.81|25.0|-6.03|330.36|0.0|3.56|-4.41|0.000156|0.0514|13.0|3.22|0.0|1.15e-05|-0.05217|2.91|4.0379|-1089.870249|-1089.847072|538.92|915.46|307.05|0.0697|307.05|-0.2219199999999999|-1089.753885|4926.0|6821.0
