molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aHRing|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomShapeIndex|PPSA1|DPSA4|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
28_a34|0.0|0|0|0|0.0|0.0|7.423568444|1|1|0.000561166|-0.206909349|1|-0.201047053|-0.6946578940000001|-0.012039484|-0.15803127|1|1|0.8318609690000001|0.798057295|0.092890802|0|0.545935562|-0.1306693569999999|-66.89539627|-72.11491331|144.3404619|0.4540644379999999|-0.048190604|-36.91879876|9.876233397|0.7298701059999999|-1.831242935|-34.24669822|85.99382787|-24.6708914|86.18702382|279.4884473|-937.4938731|1689.357471|-12.63011537|5.613534285|0.832642882|138.2913845|33.80175623|1284.466737|0.0|1.0|1.0|1.0|3.02|0.12|-4.78|1.99|92.26|0.88|0.0|0.0|85.92|0.0|3.0|24.0|0.0|1.0|0.000533|172.0|182.0|1.72|0.0|-0.03896|4.2857|-1100.797628|-1100.760824|544.24|896.02|289.3|289.3|0.69263|-1100.6525880000002|-0.17802|6.4596|-0.21698|0.03680411|-1100.704833|8.5886|3.82|5.4179|5.4179
12a_a40|0.0|0|0|0|0.0|0.0|7.515889085|0|0|0.021610099|-0.012791297|0|0.17758258|-0.14667395|0.01039129|0.100414476|2|0|0.58630452|0.718281767|0.023863832|1|0.940879765|-0.064340227|-32.81611621|-38.17175304|107.5277007|0.059120235|-0.033799|-19.46913691|3.060902482|0.85136964|-1.047769006|-16.73754566|43.65970865|-17.23885621|38.81741016|479.8867095|-534.4045424999999|600.1247016|-8.792513441|7.563170499|0.908597808|75.8074911|20.24838026|627.699788|1.0|1.0|0.0|0.0|3.2|0.0|-7.21|5.33|58.43|4.34|1.0|0.0|91.76|0.0|2.0|22.0|0.0|1.0|3.86e-07|0.000134|0.00039|5.43|1.0|-0.08015|3.0966|-2097.826771|-2097.8163050000003|530.55|875.15|400.39|400.39|0.6998800000000001|-2097.7296100000003|-0.12895|2491.0|-0.2091|0.0104658999999999|-2097.779499|3.8054|1778.0|5.7501|5.7501
34_a47|0.0|0|1|1|0.0|0.0|6.842683282|0|0|-0.210257395|-0.064842466|3|-0.094313757|-0.191253079|0.003530307|-0.043634386|1|3|0.62974551|0.833786184|0.046668352|1|0.8260556609999999|-0.061957581|-34.3104683|-49.91779281|31.17423189|0.1739443389999999|-0.029348287|-27.64315244|6.048527453999999|0.653993216|-1.261976347|-19.00022922|62.66739933|-16.25230464|45.23285281|457.4477611|-698.8490993|918.6458674|-9.000096143|7.066583143|0.834499257|191.6093987|24.85087647|1068.587688|1.0|1.0|1.0|1.0|3.19|0.16|-7.47|3.34|68.52|1.75|0.0|0.0|99.09|0.0|4.0|26.0|0.0|1.0|0.000267|0.0929|0.0436|2.49|0.0|-0.0545|4.2077|-1162.4815230000002|-1162.450678|585.79|980.02|318.79|294.66|0.6602399999999999|-1162.283641|-0.16086|4.4605|-0.21536|0.03084502|-1162.33788|6.2235|2.0|8.7|8.7
12an_a36|0.0|1|0|0|3.489959714|0.0|7.412764017000001|2|2|-0.05423417|-0.046532211|2|0.0966393909999999|-0.407702102|0.00285431|-0.131674913|1|1|0.906423012|0.8344566859999999|-0.009636347|0|0.836440154|-0.073519599|-49.67568778|-71.0446809|82.43567331|0.163559846|-0.036995649|-48.0034364|7.903608682000001|0.783512615|-1.997765039|-33.56484523|81.70091433|-24.99720254|61.37296195|565.1654879|-1349.848937|2399.367452|-16.89009799|8.773001855|0.8042935809999999|146.2760938|31.9040205|1722.817107|1.0|1.0|1.0|2.0|4.85|0.17|-7.05|3.33|94.5|2.51|1.0|0.0|135.47|0.0|6.0|31.0|0.0|0.0|1.4300000000000002e-05|0.0061|0.0132|3.19|0.0|-0.05561|5.1771|-1670.452238|-1670.417726|718.98|1215.98|327.38|239.49|0.44822|-1670.182102|-0.15474|4.3963|-0.21035|0.0345115999999999|-1670.244686|6.2182|0.04|7.3979|7.3979
7g_a8|0.0|1|0|0|3.095238804|0.0|7.535296702|1|1|-0.092384028|-0.067360394|0|-0.030968098|-0.481134236|-0.00087806|-0.027838247|1|0|0.627990269|0.7363841520000001|0.098510683|0|0.699376143|-0.107714754|-64.55562181|-67.26263865|144.290464|0.300623857|-0.045912914|-40.31185423|11.43714084|0.806738465|-2.020168201|-38.68948451|78.41805331|-27.51653399|83.63914665|419.1502102|-1210.7274960000002|2079.55195|-16.4912131|7.588498875|0.8889952590000001|115.825531|34.10836993|1500.768277|1.0|1.0|1.0|1.0|3.29|0.04|-7.91|4.94|80.04|3.4|2.0|0.0|108.0|0.0|3.0|30.0|0.0|1.0|1.67e-06|0.000667|0.00143|4.38|0.0|-0.06621|3.7874|-1374.493069|-1374.4533210000002|620.67|1053.9|327.36|327.36|0.62073|-1374.291597|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|12.9547|21.03|4.6772|4.6772
14v_a23|0.0|0|1|1|0.0|-4.844615416|7.423568444|0|0|0.135774541|-0.299484129|2|0.055572317|-0.8122700340000001|-0.002390707|0.017156562|2|2|0.598213287|0.787538583|0.132882353|1|0.916605275|-0.067342061|-44.4776373|-62.61276875|78.86310829|0.083394725|-0.042752869|-41.35406587|8.64241561|0.788328659|-2.180396311|-29.37629463|76.42257099|-28.23713101|57.56282152|605.3933675|-1440.093681|2679.111279|-18.64987284|7.743452839|0.84234449|139.8032821|35.81898321|1826.768144|0.0|1.0|0.0|1.0|3.62|0.09|-7.95|3.97|114.25|3.04|2.0|1.0|126.97|0.0|7.0|35.0|1.0|0.0|1.29e-07|6.38e-05|0.0004969999999999|4.76|0.0|-0.07843|3694.0|-2042.182282|-2042.161744|679.5|1206.02|335.64|335.64|0.6017100000000001|-2041.93452|-0.1524299999999999|4.5506|-0.2308599999999999|0.02053833|-2041.998955|6.3758|4.0|8.4001|8.4001
5a_a40|0.0|0|0|0|0.0|0.0|8.149890544|0|1|-0.116583806|0.059258947|0|-0.108428634|-0.152120625|0.011345707|0.180125135|2|0|0.538671739|0.756882266|-0.442215721|1|0.8531783270000001|-0.078132307|-34.5789643|-40.27003217|174.99981530000002|0.146821673|-0.036396585|-17.82228195|4.042943749|0.8224652720000001|-1.091897544|-15.30358975|46.06507254|-16.10801287|43.71412865|377.5905776|-483.24038600000006|508.8362301|-7.128912782|5.507689573|0.956899016|78.57142892|19.58503709|587.5511127|1.0|1.0|0.0|0.0|3.04|0.21|-4.05|3.68|75.5|1.85|0.0|1.0|74.15|0.0|3.0|19.0|0.0|1.0|7.49e-05|0.0202|0.0574|2.88|0.0|-0.0657799999999999|3.7921|-1177.598691|-1177.5835470000002|466.79|757.45|326.96|326.96|0.69499|-1177.51016|-0.15066|5.7163|-0.21644|0.01514427|-1177.555706|7.6003|81.0|7.0915|7.0915
16e_a32|0.0|1|1|1|3.343660084|0.0|7.765993078999999|0|0|0.180914799|-0.06951854|0|-0.04474426|-0.772021601|-0.0048042729999999|-0.070351839|3|0|0.804503712|0.86370575|0.096017785|1|0.7903051590000001|-0.087117996|-55.957388|-75.36830928|105.4021155|0.209694841|-0.037448344|-48.41036206|9.961663868|0.702226562|-1.760072163|-35.94239328|90.34923861|-24.05371573|71.46633549|507.6266039|-1130.524639|3376.1299740000004|-15.45011555|6.573687662|0.848279482|191.2650034|34.2534974|1609.914378|1.0|1.0|1.0|2.0|3.64|0.26|-7.38|6.03|149.27|1.12|3.0|0.0|111.95|1.0|8.0|28.0|1.0|1.0|2.58e-07|0.000107|0.0074099999999999|3.76|0.0|-0.0505899999999999|3.6214|-1955.993572|-1955.965644|677.82|1130.95|342.37|342.37|0.7022|-1955.766505|-0.14991|3.2372|-0.2005|0.02792775|-1955.827194|3.9389|7.0|8.1367|8.1367
6b_a31|0.0|1|0|0|3.404988662|0.0|7.773594467000001|1|1|0.052690797|-0.178758575|0|0.11647286|-0.787472195|-0.011483229|-0.032090772|2|0|0.838789705|0.78240875|-0.068433069|0|0.627853074|-0.12081047|-73.70779766|-78.37648097|159.79549319999998|0.372146926|-0.045675611|-47.81835367|12.28107483|0.7459204140000001|-2.055402513|-44.96993859|93.1058799|-27.86719323|93.83704414|383.0600707|-1254.023695|2063.736075|-17.0020813|7.513612533|0.925676135|155.0167518|37.35947255|1681.1762649999998|1.0|1.0|1.0|2.0|3.55|0.1|-7.33|5.19|131.36|1.36|1.0|0.0|109.69|0.0|4.0|29.0|0.0|1.0|2.34e-06|0.000947|0.00883|3.2|0.0|-0.05835|3.2949|-1652.671944|-1652.635711|637.06|1077.19|376.29|376.29|0.7013199999999999|-1652.44739|-0.13345|5.9085|-0.1918|0.03623358|-1652.505041|8.8379|54.0|7.2676|7.2676
14b_a25|0.0|0|0|0|0.0|0.0|6.842683282|0|0|-0.091382738|-0.0166120069999999|2|0.001683506|-0.273813082|0.004725325|-0.012989126|1|2|0.6524261960000001|0.7723870909999999|-0.085205646|1|0.859628015|-0.076156512|-52.75064158|-58.29440389|112.49583529999998|0.140371985|-0.032728922|-40.37825712|7.678174472999999|0.772789587|-1.767361771|-36.53830946|69.2012501|-22.67004596|63.83568179|595.4307570000001|-1224.182482|2118.281186|-15.70265555|8.690235527|0.963240883|157.3797801|29.33534086|1584.108407|1.0|1.0|1.0|1.0|3.51|0.07|-9.65|4.48|96.49|1.8|2.0|0.0|130.97|0.0|6.0|34.0|0.0|1.0|2.49e-06|0.0011099999999999|0.00261|3.88|0.0|-0.0584|5.4239|-1444.544749|-1444.505985|716.14|1257.11|304.7|228.59|0.34735|-1444.266358|-0.16309|2.7037|-0.22149|0.03876374|-1444.330251|3.2784|22.0|7.6576|7.6576
