molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|nARing|MATS2c|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aHRing|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|RASA|FNSA3|PNSA3|PNSA5|RNCS|RPSA|FNSA4|WNSA5|WPSA3|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GeomShapeIndex|PPSA1|DPSA4|DPSA2|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Heavy atom count|Egan filter|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12f_a36|0.0|1|0|0|3.50900085|0.0|7.412764017000001|2|2|-0.066269699|-0.032343041|2|0.10938259|-0.40641518|0.003676818|0.012286423|1|1|0.902377067|0.821599443|-0.109793154|0|0.8435569079999999|-0.071035495|-46.86832019|-66.16123807|43.53853176|0.156443092|-0.035813075|-43.65234724|7.769727312|0.7803018709999999|-2.00553221|-30.92312428|76.51015325|-23.629013600000004|58.64442871|556.5681681|-1323.224761|2380.393255|-15.59012402|7.416874811|0.8665086190000001|144.9540437|30.28188764|1695.785708|1.0|0.0|1.0|2.0|4.94|0.21|-7.36|3.62|69.2|2.45|1.0|0.0|133.52|0.0|6.0|31.0|0.0|0.0|2.48e-05|0.0102|0.0109|3.47|0.0|-0.05035|5.2106|-1311.57896|-1311.550167|699.88|1195.77|339.27|237.95|0.37095|-1311.285102|-0.15011|5.9228|-0.20046|0.02879265|-1311.345557|7.8454|11.0|7.9586|7.9586
13a_a5|0.0|1|0|0|2.931642415|0.0|6.605297921|0|0|-0.154076582|-0.033436214|2|-0.007871499|-0.328417593|0.002355511|-0.139517787|1|2|0.746303189|0.8045357209999999|-0.048584084|0|0.7667501609999999|-0.08903048|-57.31787843|-54.03141848|126.2663658|0.233249839|-0.0279752339999999|-34.78546088|6.938219155|0.598791539|-1.426736914|-36.90128585|72.13276165|-18.01047283|68.09484712|493.6342317|-918.5341141|1314.232685|-11.59515363|8.571729592999999|0.854865353|258.29825730000005|30.07803494|1533.979782|1.0|1.0|1.0|2.0|3.07|0.13|-8.9|4.39|92.79|0.95|2.0|0.0|114.18|0.0|8.0|30.0|0.0|1.0|0.000169|0.0675|0.0734|2.19|0.0|-0.05534|4.6285|-1313.167422|-1313.126035|688.18|1160.81|294.45|267.87|0.41806|-1312.907813|-0.17364|3.3414|-0.22898|0.04138695|-1312.968936|4.1671|91.0|7041.0|7041.0
4f_a46|0.0|0|0|0|0.0|0.2096617139999999|7.825245291|1|1|-0.2265364489999999|-0.001868546|2|-0.099507167|-0.053860324|0.012332859|-0.056114865|1|2|0.6901151990000001|0.74106323|-0.2076648489999999|0|0.934973206|-0.055836642|-30.29079362|-36.60887321|7.730129301|0.065026794|-0.022035297|-19.85993046|2.570614463|0.759842275|-1.079729539|-16.43243843|42.21890747|-11.95391778|35.0293449|507.213176|-585.7419712999999|1563.375755|-6.484875252999999|5.654067072999999|0.7382488140000001|130.2830519|15.73210412|770.8731021000001|1.0|1.0|1.0|0.0|3.88|0.38|-7.21|4.56|43.6|2.58|1.0|0.0|101.54|0.0|3.0|25.0|0.0|1.0|4.18e-05|0.0139|0.00872|3.77|0.0|-0.02947|4548.0|-1033.550809|-1033.528421|591.51|1020.33|272.61|272.61|0.69208|-1033.315821|-0.19079|3.2783|-0.2202599999999999|0.02238723|-1033.36869|3.7419|183.0|6.7375|6.7375
8d_a32|0.0|1|1|1|3.474433107|0.0|7.765993078999999|0|0|0.143684876|-0.089662873|0|0.062782795|-0.519620595|-0.006974711|-0.044765977|3|0|0.825020753|0.825978584|-0.054095278|1|0.7107041559999999|-0.109612139|-68.88621406|-69.11005922|321.2496412|0.2892958439999999|-0.03346862|-43.43251025|6.291941176|0.708567136|-1.539556512|-43.2918338|81.54594837|-21.03349629|78.89798692|446.6450457|-967.5408291|2371.595484|-13.21859008|8.106843676|0.887243042|183.1522214|29.684549600000004|1365.489282|1.0|1.0|1.0|2.0|3.5|0.26|-7.26|6.42|154.03|1.1|1.0|0.0|110.38|1.0|7.0|27.0|1.0|1.0|8.41e-07|0.000334|0.0173|3.17|0.0|-0.0535|3.5588|-1880.773727|-1880.733071|671.71|111.16|348.39|348.39|0.7026100000000001|-1880.540067|-0.14765|1.0269|-0.20115|0.04065536|-1880.602038|1873.0|8.0|8.0809|8.0809
21a_a23|0.0|0|1|1|0.0|0.0|7.525639975|0|0|0.1049806919999999|-0.038876045|2|0.071115216|-0.3082571839999999|0.01269616|-0.133417036|2|2|0.725800261|0.7367638240000001|0.1022509819999999|1|0.926538469|-0.051521215|-34.01266735|-54.35891011|39.56172507|0.073461531|-0.03458322|-35.88602363|5.039953753|0.842121383|-1.729161021|-22.45408125|61.73864319|-22.83074225|41.64701536|611.67123|-1141.537112|2272.736256|-15.07212993|7.950891003|0.969673962|104.2264415|27.11098744|1355.5493720000002|0.0|1.0|1.0|1.0|3.53|0.09|-7.78|3.88|105.02|3.24|2.0|1.0|125.25|0.0|5.0|31.0|0.0|0.0|1.3e-06|0.000552|0.00225|3.98|0.0|-0.07243|3.6993|-1669.250866|-1669.23053|701.01|1189.63|335.16|335.16|0.60824|-1668.989671|-0.15024|5.3733|-0.2226699999999999|0.0203361|-1669.0502720000002|7.9309|102.0|6.9914|6.9914
4l_a46|0.0|0|0|0|0.0|0.171853072|7.825245291|1|1|-0.058870177|-0.075241716|1|-0.067419714|-0.255755434|0.0066560469999999|-0.060895366|1|1|0.7940662409999999|0.726535412|-0.001318857|0|0.892158627|-0.09094885|-51.45056667|-48.19533497|177.7681018|0.107841373|-0.030068681|-27.26452605|2.10550531|0.883450801|-1.533502748|-29.10603933|51.66342604|-17.01011822|55.17245545|504.7020036|-867.5160294|2087.583804|-9.6227739|5.80829255|0.692930243|65.93290984|19.25417715|981.9630347|1.0|1.0|1.0|1.0|3.92|0.36|-7.0|4.64|50.94|3.06|1.0|0.0|105.77|0.0|3.0|26.0|0.0|1.0|5.25e-06|0.00182|0.0027|4.49|0.0|-0.01784|5.4011|-1092.745692|-1092.71063|612.39|1057.06|278.36|229.55|0.3756|-1092.484863|-0.18567|2.6588|-0.20351|0.03506136|-1092.53932|3.7624|98.0|7.0088|7.0088
14b_a23|0.0|0|1|1|0.0|0.0|7.423568444|0|0|0.065240838|-0.071396109|2|0.0519489729999999|-0.318684138|0.007671236|-0.0644978|2|2|0.616699629|0.793551289|-0.00399443|1|0.8462596590000001|-0.063267638|-41.01458464|-53.44429544|40.76245006|0.153740341|-0.03508139|-34.64639496|8.596171261|0.774359705|-1.64882535|-26.58857202|64.97993029|-22.74225338|54.274732400000005|548.6057241000001|-1068.885909|2280.830615|-14.74314679|7.833620016|0.821406493|146.2760938|29.36910744|1380.34805|0.0|1.0|1.0|1.0|3.42|0.05|-7.67|3.78|105.02|3.4|2.0|1.0|120.24|0.0|5.0|31.0|0.0|0.0|2.66e-06|0.00114|0.00332|3.68|0.0|-0.07803|3706.0|-1729.161608|-1729.139722|673.05|1142.37|334.55|334.55|0.58097|-1728.9300010000002|-0.15064|6.8752|-0.2286699999999999|0.02188578|-1728.9893510000002|9.7544|4.0|8.3536|8.3536
12e_a31|0.0|1|0|0|3.483599061|0.0|7.765993078999999|1|1|0.052663358|-0.044316064|0|0.0113193469999999|-0.70267073|-0.002475146|-0.107630327|2|0|0.7968154940000001|0.7761616020000001|-0.039273975|0|0.721526766|-0.0939597569999999|-68.32948993|-79.96257188|166.1479229|0.2784732339999999|-0.036652129|-58.15044546|14.09603901|0.725120432|-2.089171358|-49.6906263|95.1187282|-26.65419063|87.71292755|524.7092721|-1519.288866|1899.851187|-19.38348182|10.24381236|0.904247004|199.8981394|36.75829484|2095.222806|1.0|1.0|1.0|2.0|3.87|0.24|-9.31|6.69|117.37|2.21|3.0|0.0|129.38|0.0|9.0|33.0|0.0|1.0|2.16e-07|9.96e-05|0.00176|4.48|0.0|-0.03445|5.3264|-1809.899887|-1809.85374|781.61|1308.13|322.95|232.77|0.55114|-1809.581226|-0.15934|2.6024|-0.19379|0.04614662|-1809.650069|3.4818|0.17|6.7696|6.7696
1a_a18 (SB-431542)|0.0|1|0|0|3.3674017380000003|0.0|7.423568444|1|1|0.043282217|-0.175408303|1|0.1008839219999999|-0.766207981|-0.011639964|-0.029658865|1|1|0.838928085|0.7462411859999999|-0.08530265|0|0.5940412860000001|-0.126408788|-74.98172333|-72.69619778|160.410387|0.405958714|-0.0462988229999999|-43.12110169|11.61820782|0.7531996609999999|-2.083447046|-44.47680367|87.15852628|-27.46300805|94.56841061|352.3666367|-1235.8353619999998|1890.195809|-16.29019397|7.52384981|0.895533283|146.3942108|36.46179023|1640.78056|1.0|1.0|1.0|2.0|3.25|0.05|-7.69|4.04|103.12|1.54|1.0|0.0|106.85|0.0|4.0|29.0|0.0|1.0|3.03e-05|0.0116|0.0218|2.7|0.0|-0.05971|3.8208|-1292.588031|-1292.553086|620.23|1048.7|376.27|324.5|0.55409|-1292.358966|-0.13329|5.9926|-193.0|0.03494548|-1292.414518|8.8609|125.0|6.9031|6.9031
3o_a32|0.0|1|1|1|3.644417045|0.0|7.773594467000001|1|1|-0.022603806|-0.014299905|1|-0.064818511|-0.306416317|-0.001411347|-0.117781901|3|0|0.90022001|0.8214857240000001|-0.074509084|1|0.8377808240000001|-0.073742105|-42.51640563|-55.03672286|62.67187821|0.162219176|-0.031819276|-31.73171751|4.161738248|0.7850948190000001|-1.4318674340000002|-24.51306152|62.56936516|-18.34557429|49.73468603|483.0270239|-825.5508427999999|2469.87467|-10.57723917|6.392329273|0.835165165|123.9047338|23.36733582|1051.530112|1.0|1.0|1.0|2.0|3.47|0.32|-7.27|6.39|122.97|1.58|1.0|0.0|112.07|0.0|3.0|26.0|0.0|1.0|1.89e-06|0.00072|0.00714|3.46|0.0|-0.05413|3.5333|-1805.504508|-1805.473626|620.56|1049.14|350.9|350.9|0.70216|-1805.277864|-0.14652|3.2729|-0.20065|0.03088166|-1805.333039|5.8476|0.24|6.6198|6.6198
19c_a38|0.0|1|0|0|3.332128134|0.0|7.412764017000001|2|2|-0.085545751|-0.04575843|2|0.02192428|-0.449745181|-0.004442319|-0.0725602509999999|1|1|0.7163622890000001|0.846765471|0.073931688|0|0.7591916240000001|-0.0918007669999999|-57.79749770000001|-68.18641054|139.1570837|0.240808376|-0.038224114|-42.92996714|9.638658988|0.7187071909999999|-1.949429829|-36.38913762|82.74311399|-24.06579196|73.10674676|477.9848537|-1227.35539|2660.812979|-15.15175311|6.97753104|0.914989047|177.10114030000005|33.48483537|1707.726604|1.0|1.0|1.0|3.0|4.84|0.13|-6.92|3.17|105.02|1.76|1.0|0.0|130.41|0.0|5.0|32.0|0.0|0.0|4.46e-05|19.0|0.0322|2.5|0.0|-0.05691|5.8832|-1424.42734|-1424.3899310000002|652.09|1138.6|323.53|210.74|0.2597|-1424.1880119999998|-0.15612|2495.0|-0.21303|0.03740877|-1424.247603|3.2846|9.0|8.0348|8.0348
1d_a5|0.0|1|0|0|2.79978458|-4.455320158|6.605297921|0|0|-0.133500214|-0.308010841|2|-0.118028278|-0.2688711589999999|-0.0012491689999999|-0.2261588939999999|1|2|0.525406088|0.7595197290000001|-0.058872605|0|0.8965037640000001|-0.088396743|-47.76176205|-46.58221594|204.4506579|0.1034962359999999|-0.036640804|-25.16889922|2.317281143|0.770504115|-1.465632167|-25.80622135|56.83734591|-19.79744178|52.05055075|484.3911442|-791.897671|1172.890724|-10.69678217|6.116537519|0.89062437|123.9992274|25.69414151|1027.76566|1.0|0.0|1.0|1.0|2.92|0.05|-8.88|5.48|54.46|2.73|2.0|0.0|95.49|0.0|4.0|27.0|1.0|1.0|1.6100000000000002e-05|0.00589|0.00396|3.95|0.0|-0.04528|4.8725|-1288.340378|-1288.306458|567.04|951.63|268.88|254.46|0.41781|-1288.201219|-0.18991|3.7798|-0.23519|0.03392008|-1288.253849|5.3765|9333.0|5.03|5.03
28_a47|0.0|0|1|1|0.0|0.0|6.842683282|0|0|-0.053792245|-0.23494583|2|0.023813594|-0.436042548|-0.013020816|-0.00496711|1|2|0.635684951|0.832144916|-0.175007067|1|0.605349345|-0.1132830309999999|-67.33744077|-63.47150284|365.2310214|0.394650655|-0.038135461|-37.72858603|9.214964819|0.65225927|-1.601689367|-40.02656804|82.27079846|-22.66839387|82.83994768|359.8303775|-952.0725426|1337.037733|-13.47449501|7.864990866|0.8964208090000001|206.7032519|34.75365534|1459.653524|0.0|1.0|1.0|2.0|3.08|0.05|-6.92|2.49|98.72|1.67|1.0|0.0|99.2|0.0|5.0|28.0|0.0|1.0|0.000214|0.0816|0.0824|1.97|0.0|-0.05471|3675.0|-1335.759232|-1335.722248|599.88|995.5|337.37|337.37|0.69002|-1335.571655|-0.15049|6.0847|-0.2052|0.03698465|-1335.6279869999998|8.17|25.0|7.6|7.6
5_a4|0.0|0|0|0|0.0|0.0|7.535296702|1|1|-0.196773454|0.02257929|2|0.012532807|-0.0607990979999999|0.011630756|-0.050389825|1|2|0.655087104|0.767615203|-0.165454845|1|0.943148502|-0.050732198|-27.26045038|-36.64215945|13.96974087|0.056851498|-0.025201292|-19.68930579|2.323516519|0.807351587|-1.159259431|-14.64813624|41.76764149|-13.54166762|31.58455727|506.7916175|-622.9167106000001|1896.178084|-7.276482574|5.758733969|0.7058248159999999|103.5177395|16.77294978|771.5556899000001|1.0|1.0|1.0|0.0|3.27|0.23|-7.96|4.89|43.6|2.88|1.0|0.0|104.89|0.0|3.0|26.0|0.0|1.0|2.72e-05|0.00925|0.0049299999999999|3.95|0.0|-0.04892|4.8582|-1069.27374|-1069.251223|595.55|1013.0|308.12|255.2|0.60407|-1069.051141|-0.16965|2.7859|-0.21857|0.02251645|-1069.102899|3.1619|71.0|7.1487|7.1487
47a_a18|0.0|0|0|0|0.0|0.0|7.03438793|1|1|0.018016478|-0.18843247|0|0.043161338|-0.464122017|-0.005483379|-0.025401815|0|0|0.842412605|0.766261502|-0.008965701|0|0.778790861|-0.082855697|-67.93456546|-81.42570819|100.7293848|0.2212091389999999|-0.036234741|-66.76209701|9.49531639|0.7936193709999999|-2.681370849|-55.70051708|93.5899242|-29.70938001|79.51543089|638.5417107999999|-2198.494121|2250.179086|-24.3591435|10.20255289|0.934960691|169.2144153|37.435301|2770.212274|1.0|1.0|1.0|3.0|4.97|0.28|-8.27|0.48|123.06|1.85|3.0|1.0|158.24|1.0|12.0|39.0|0.0|0.0|1.8100000000000002e-07|9.9e-05|0.00143|4.44|1.0|-0.05191|3.1947|-2098.807018|-2098.773074|874.47|1536.87|388.09|388.09|0.69508|2098.280307|-131.0|2.6271|-0.18291|0.0339441|-2098.359766|3.0133|1.0|9.0|9.0
11a_a31|0.0|1|0|0|2.856083711|0.0|7.773594467000001|1|1|-0.045290366|-0.259732443|0|-0.087576474|-0.8792402579999999|-0.022093578|-0.1217573119999999|2|0|0.861302755|0.8433024170000001|0.022073976|0|0.486754956|-0.151872243|-76.64827023|-81.26889906|258.8577775|0.513245044|-0.056833284|-41.01552988|10.55399384|0.735254945|-1.932331673|-38.68354874|97.23036756|-28.68314085|97.560141|245.6599349|-975.2267888|1769.346573|-14.47606937|5.791411901|0.8241360790000001|133.6139513|39.01114987|1326.379096|0.0|1.0|0.0|2.0|3.26|0.13|-4.65|3.93|125.57|0.57|0.0|0.0|83.12|0.0|3.0|23.0|0.0|1.0|1.5399999999999998e-05|0.00506|0.0531|2.53|0.0|-0.05074|3.8042|-1441.452616|-1441.411622|529.63|860.74|325.92|325.92|0.69222|-1441.327731|-0.15515|6.4691|-0.20589|0.04099365|-1441.37897|8.9667|0.19|6.7212|6.7212
13d_a5 (GW788388)|0.0|1|0|0|2.945204608|0.0|6.605297921|1|1|-0.0959854909999999|-0.009710199|3|-0.092509033|-0.33442223|0.002956745|-0.086484275|1|2|0.7333482170000001|0.78479342|0.024905619|0|0.774103723|-0.086824482|-57.42492153|-55.87383979|151.3669372|0.2258962769999999|-0.0291837579999999|-36.95444874|6.374277851|0.669182121|-1.605106706|-37.98032007|70.45205183|-19.30187193|67.0626077|511.985152|-1061.602956|1377.863026|-12.76608229|8.077599766|0.954644629|218.7999323|28.84397435|1586.418589|0.0|1.0|1.0|2.0|3.21|0.2|-8.84|4.56|92.79|1.37|1.0|0.0|121.68|0.0|6.0|32.0|0.0|1.0|4.429999999999999e-05|0.0189|0.0192|2.75|0.0|-0.05542|4.6091|-1390.589662|-1390.548362|707.09|1206.73|297.28|269.0|0.42515|-1390.294368|-0.17299|2.4867|-0.22841|0.04130059|-1390.355751|3355.0|18.0|7.7447|7.7447
3a_a49|0.0|0|0|0|0.0|0.0|7.535296702|1|1|-0.05210989|-0.072328354|2|-0.044367345|-0.337858497|-0.000349523|-0.060613765|1|2|0.775818577|0.8145214209999999|0.012813604|1|0.72890527|-0.094437035|-55.30832478|-51.82200998|107.4001347|0.27109473|-0.030698626|-30.35026007|5.558553447|0.689774813|-1.504232653|-32.39206742|64.2037853|-17.97906469|64.79936082|426.893216|-880.9741697000001|1793.526571|-10.52968207|6.566343333|0.903506738|181.6875706|26.06512204|1277.19098|0.0|0.0|1.0|2.0|3.25|0.18|-7.19|2.77|98.72|1.04|1.0|0.0|112.14|0.0|5.0|29.0|0.0|1.0|0.000878|0.3379999999999999|193.0|1.38|0.0|-0.05732|5.1647|-1254.012043|-1253.973708|635.89|1082.21|320.04|240.06|0.53794|-1253.756918|-0.15978|3801.0|-0.2171|0.03833529|-1253.8126619999998|4.2593|64.0|7.1938|7.1938
14e_a23|0.0|0|1|1|0.0|-4.45581912|7.423568444|0|0|0.059967018|-0.272389934|2|0.023369734|-0.4787294729999999|0.001027627|0.021081733|2|2|0.560094237|0.791790895|0.133270225|1|0.925392058|-0.073376247|-51.07141556|-62.2612068|48.244071000000005|0.074607942|-0.03935934|-43.33511299|8.73073591|0.796525872|-1.96796702|-35.54678231|74.75779594|-27.39493099|63.61519626|644.0923882999999|-1369.74655|2428.874279|-19.06744972|8.020794334|0.981902808|141.6222839|34.39302091|1719.6510460000002|0.0|1.0|1.0|1.0|3.54|0.09|-8.23|4.42|105.02|3.82|2.0|1.0|125.29|0.0|6.0|34.0|1.0|0.0|4.1200000000000004e-07|0.000198|0.000773|4.46|0.0|-0.08122|3.7033|-1966.96594|-1966.943431|706.39|1209.58|334.8|334.8|0.63922|-1966.720803|-153.0|3.7696|-0.2342199999999999|0.02250947|-1966.785007|5.5469|3.0|8.5214|8.5214
6f_a40|0.0|0|0|0|0.0|0.0|8.421342866|1|2|0.134099184|-0.156988665|0|-0.122783873|-0.8287570679999999|-0.009302776|0.075227997|2|0|0.7710013309999999|0.836826225|-0.032826285|1|0.655786513|-0.134203859|-86.21963207|-83.88605319|207.7174501|0.344213487|-0.052228625|-53.89282175|6.6032981820000005|0.8628087240000001|-2.350288117|-55.39203581|92.77827871|-33.55442128|96.49789556|421.31181889999993|-1509.948957|3072.581297|-21.5571287|6.993991456|0.69723213|88.13890599|38.88975659|1750.039046|1.0|1.0|0.0|2.0|4.05|0.21|-3.67|3.66|199.45|1.1|1.0|3.0|124.54|1.0|5.0|30.0|1.0|0.0|1.13e-07|5.18e-05|0.0105|3.09|0.0|-0.08982|3.5741|-2426.972609|-2426.924155|668.95|1139.55|482.43|346.89|0.66642|-2426.725129|-0.1131799999999999|6.2384|-203.0|0.04845403|-2426.787111|8.7269|42.0|7.3768|7.3768
13p_a6|0.0|1|0|0|3.449535594|0.0|6.842683282|0|0|0.024837222|-0.1144898999999999|2|0.072850973|-0.634109842|-0.008008339|-0.014153926|1|2|0.865935935|0.784414352|-0.059663359|1|0.7265205579999999|-0.099405155|-70.52421289|-76.17631587|80.30786544|0.273479442|-0.03767435|-54.04422654|8.708451561|0.76005742|-2.14743793|-50.03427239|89.17529231|-26.72853188|82.79893305|515.4389679999999|-1523.526317|3833.042283|-18.9628865|8.760340755|0.703081362|170.2302215|35.16646396|2004.488446|1.0|1.0|1.0|3.0|3.64|0.12|-10.06|4.58|122.47|1.01|1.0|0.0|132.01|0.0|7.0|34.0|0.0|1.0|8.11e-06|0.00365|0.0125|2.86|0.0|-0.0746|4.7973|-1463.08132|-1463.0432449999998|752.82|1283.98|415.53|258.45|0.47508|-1462.740542|-0.12251|9.0546|-0.1971099999999999|0.03807447|-1462.804694|12163.0|92.0|7.0362|7.0362
12a_a32|0.0|1|1|1|3.442930603|0.0|7.765993078999999|0|0|0.087371302|-0.057200812|0|-0.0134169989999999|-0.463563696|-0.003484915|-0.031249617|3|0|0.788133615|0.845443342|-0.018578911|1|0.788702323|-0.085324121|-53.20970382|-68.06885478|111.9735444|0.211297677|-0.0308471429999999|-42.44899997|6.430656017|0.667706375|-1.4189685719999998|-33.18255791|81.41372467|-19.23685026|63.52154605|491.8493928|-884.8951120999999|3030.946307|-11.99645651|7.083688576|0.840404348|207.2244662|28.81034388|1325.275819|1.0|1.0|1.0|2.0|3.45|0.26|-7.65|6.49|140.04|1.1|1.0|0.0|110.47|1.0|7.0|27.0|1.0|1.0|9.78e-07|0.000389|0.0126|3.39|0.0|-0.05222|3576.0|-1880.771042|-1880.734215|667.68|1114.3|346.71|346.71|0.7025600000000001|-1880.539078|-0.14827|3.0517|-0.20049|0.03682626|-1880.600043|4.2371|25.0|7.6021|7.6021
7c_a10|0.0|0|0|0|0.0|0.0|7.535296702|1|1|-0.152261681|0.012145872|2|-0.1122332619999999|-0.206388032|0.01006918|-0.033792245|1|2|0.725146704|0.7928588059999999|-0.087063341|1|0.906276489|-0.05074318|-29.66615908|-51.2378943|87.99694927|0.093723511|-0.0223398779999999|-29.95538587|9.377842892|0.52630639|-1.139333798|-17.34382833|67.01436709|-13.06063972|45.70671102|529.8395322|-666.0926258|1881.379304|-7.635686595|6.703148323|0.8781281320000001|276.93712|24.81565867|1265.598592|1.0|1.0|1.0|0.0|3.48|0.26|-7.78|4.59|62.06|1.99|1.0|0.0|113.07|0.0|4.0|29.0|0.0|1.0|3.59e-05|0.0139|0.00793|3.46|0.0|-0.04004|5.4267|-1259.011598|-1258.985004|635.47|1102.43|323.24|228.47|0.41348|-1258.744382|-0.16055|3.9465|-0.20059|0.02659395|-1258.801509|5.0714|3.81|5.4191|5.4191
11_a15|0.0|0|0|0|0.0|0.0|0.0|1|1|-0.1758968389999999|-0.029665252|3|-0.036023137|-0.402711212|0.001806571|-0.0856783419999999|0|2|0.843715005|0.718800243|0.0234789439999999|0|0.8945381259999999|-0.064429158|-44.15161868|-66.78526188|143.8088883|0.105461874|-0.033606127|-45.76619542|8.696553172|0.739315684|-1.949155337|-30.25595097|79.1792768|-23.02940065|56.84224275|613.0036107000001|-1335.705238|2565.707165|-15.7814467|6.233494755|0.8869452090000001|178.640152|31.14961732|1806.677804|1.0|1.0|0.0|1.0|4.1|0.07|-8.9|4.33|59.51|2.52|2.0|0.0|138.24|0.0|6.0|34.0|1.0|0.0|4.77e-07|0.000214|0.000357|5.32|0.0|-0.03877|4.7106|-1450.740771|-1450.705737|739.57|1284.85|418.94|263.2|0.58935|-1450.39211|-0.12134|812.0|-0.16011|0.03503399|-1450.457814|1.3581|739.0|6.1314|6.1314
12f_a40|0.0|0|0|0|0.0|0.0|7.515889085|0|0|-0.03356339|-0.015621373|0|0.070099257|-0.235838511|0.008525796|0.108909202|2|0|0.679527138|0.777316288|-0.160218113|1|0.909993912|-0.067004323|-37.02024147|-45.41519509|62.72992556|0.090006088|-0.032879466|-25.09213464|6.57837176|0.7314440520000001|-1.150781297|-20.45387851|56.53158029|-18.16607804|48.92668311|502.7764322|-635.8127312999999|628.5604981|-10.03685385|8.404802652999999|0.962404834|148.3785764|24.83590915|869.2568204|1.0|1.0|0.0|0.0|3.24|0.06|-7.32|5.35|67.66|3.99|2.0|0.0|98.25|0.0|3.0|24.0|0.0|1.0|2.66e-07|0.0001|0.0003819999999999|5.4|0.0|-0.07761|4.3313|-2212.359379|-2212.348599|572.63|951.55|436.97|286.25|0.6679999999999999|-2212.222254|-0.11765|3.2818|-0.19526|0.01077929|-2212.275094|4.8562|0.38|6.4202|6.4202
16_a15|-3.726252327|0|0|0|0.0|0.0|0.0|0|0|0.072882981|-0.463771194|2|-0.003882928|-0.4898555739999999|-0.009769916|-0.109386268|0|2|0.787100127|0.729432583|0.080837546|0|0.723597405|-0.08870471|-60.63825695|-69.38556779999999|53.93878231|0.276402595|-0.039472502|-47.4317527|3.31414791|0.868460507|-2.131515106|-41.45211893|76.07332645|-26.98327637|65.48636021|494.6488764|-1457.096924|3014.308422|-18.44568161|6.798937229|0.7238723509999999|89.91997762|31.07023998|1677.792959|1.0|1.0|0.0|2.0|3.59|0.08|-9.21|3.37|115.58|1.72|2.0|0.0|124.45|0.0|6.0|32.0|1.0|1.0|9.89e-07|0.000442|0.00274|3.88|0.0|-0.04082|4.1731|-1770.509465|-1770.448668|716.79|1229.58|300.24|297.1|0.6541100000000001|-1770.217907|-0.16871|8.0361|-0.20953|0.06079704|-1770.281427|11.7447|21.0|7.6778|7.6778
14_a47|0.0|1|1|1|2.871076328|0.0|6.605297921|0|0|-0.126490693|-0.136491228|2|0.017068634|-0.2306964|-0.008212621|-0.01670074|1|2|0.5975877820000001|0.777675668|-0.085385518|1|0.681598464|-0.093553938|-47.18187618|-47.47362906|64.60629385|0.318401536|-0.034963476|-23.9422834|5.113919242|0.664709719|-1.223721666|-23.79514424|61.62381153|-17.63306222|57.32194098|343.7492333|-617.1571777|670.2518865000001|-8.892848121|6.909385453|0.904139078|169.0962983|26.52746264|928.4611922|1.0|0.0|1.0|2.0|2.78|0.0|-7.79|3.97|66.49|2.49|0.0|0.0|86.58|0.0|3.0|24.0|0.0|1.0|0.000108|0.0349|0.0241|2.91|0.0|-0.06057|3.9671|-1127.737484|-1127.700693|519.55|849.76|312.53|312.53|0.68345|-1127.610422|-0.16377|2.2485|-0.22434|0.03679054|-1127.6593779999998|3665.0|8.0|8.1|8.1
