molecula|SddssS|n9FaHRing|n9FaRing|NaasN|nAHRing|nARing|SaasN|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|FNSA3|FPSA3|PNSA3|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
18a_a25|0.0|0|0|1|0|0|1.875390684|2|0.062229409|-0.170732995|0.007643634|-0.018419483|10.31286118|-0.019985937|1|0.007325341|0.106305991|-0.06333068|2|0.761417363|0.7385460309999999|-0.035531959|0.7291583840000001|-0.055926422|0.0095281269999999|-37.07961488|6.317215793|0.068371614|-0.03097773|-34.36707071|4.188358905|0.0|-24.58404782|59.45091020000001|-20.53845469|0.493301255|617.676232|-1088.538099|0.182927961|7.39539242|14.59524518|0.973559258|6523.923911999999|-721.7084848|25.136651|0.011486699|-420.4420243|759.4953883|1.0|1.0|1.0|1.0|3.43|0.08|5.89|2.0|133.85|6.0|-6.33|3.0|-5.58|0.0|0.0|-5.77|4.65e-07|4.76|0.0|0.0|1.67e-10|-0.05591|5.4965|-1675.274716|-1675.2501519999998|1229.09|390.98|225.57|0.2834|0.5274399999999999|0.0027|-0.15732|3.1313|0.02456497|-1675.04368|94.0|7.0269|7.0269
5a_a50|0.0|1|1|2|1|1|4.202707546|1|0.017227585|-0.06986407|0.012640587|-0.256097122|10.93256969|-0.130929632|2|0.01228899|0.028229556|-0.168135655|1|0.699970832|0.788709546|-0.203436041|0.6759066159999999|-0.038932964|0.010185297|-20.77548565|5.435098605|0.030107124|-0.022747617|-18.56865899|2.900288114|60.04351409|-11.08625592|44.17662122|-12.13862875|0.4528093929999999|517.556163|-521.9610361|0.33472483|5.892775027000001|10.76914508|0.8275167520000001|4770.917486|-278.5298849|18.24602704|0.017576522|-176.38892919999998|462.1867149|1.0|1.0|1.0|0.0|3.28|0.14|3.66|0.0|101.86|2.0|-3.89|2.0|-5.83|0.0|1.0|-4.5|0.000129|3.46|0.0|0.0|5.7e-07|-0.02487|5.6146|-1029.930364|-1029.905844|976.41|308.73|220.82|0.39948|0.6725399999999999|0.1156|-0.16659|3.9843|0.02452028|-1029.786489|4.1|5.3872|5.3872
18_a20|0.0|0|0|0|0|0|0.0|2|0.163548857|-0.5039851160000001|-0.005614194|-0.011236836|10.93301779|-0.054458882|1|-0.004071701|0.268927191|0.003282792|2|0.809917509|0.7602869659999999|-0.090732503|0.778639593|-0.0927760219999999|0.0108136339999999|-61.73239771|7.195302872999999|0.23863824|-0.035934845|-42.1615378|4.787695004|82.70867776|-41.07622672|72.31812218|-23.91074854|0.483668611|506.6038164|-1267.269673|0.1890889589999999|8.011174137000001|15.51556677|0.936740671|6206.896662|-843.230756|29.4862782|0.013457694|-413.7552685|712.1606951|1.0|1.0|1.0|2.0|2.76|0.08|5.54|2.0|125.07|5.0|-5.59|4.0|-6.13|0.0|0.0|-5.16|2.54e-06|3.85|0.0|0.0|9.93e-11|-0.05604|5.9778|-1352.364724|-1352.32685|1204.88|350.69|207.41|0.31154|0.6953699999999999|0.2011|-0.14685|5.3978|0.03787435|-1352.135304|34.0|7.4685|7.4685
6_a4|0.0|0|0|1|1|1|2.170234316|2|0.042096749|-0.064723237|0.011457667|0.0032928379999999|10.92992785|-0.208689928|1|0.01098094|0.0671397079999999|-0.073630392|2|0.664591856|0.76089528|-0.340860215|0.664247086|-0.052396457|0.0077624059999999|-29.18838891|4.324187697|0.054454162|-0.024618083|-20.7966895|2.408866521|45.93422613|-16.25991695|42.27020924|-13.71394596|0.423084148|526.7333132|-671.9833521|0.1855291969999999|5.758624844|9.981741408|0.733355042|5256.215815|-374.340411|16.83786074|0.008863911|-350.36323230000005|578.2065561000001|1.0|1.0|1.0|0.0|3.45|0.26|5.1|2.0|109.7|3.0|-4.91|3.0|-5.42|0.0|1.0|-5.11|1.24e-05|4.28|0.0|0.0|1.04e-08|-0.04867|4.8714|-1108.585859|-1108.563418|1057.7|307.24|254.51|0.60542|0.5877|0.0772|-0.16959|2.8026|0.02244097|-1108.392115|1.3|5.8861|5.8861
47i_a18|0.0|0|0|0|1|1|0.0|0|-0.037689885|-0.440488042|-0.000919158|0.073977454|10.94702091|-0.040514277|0|0.000427479|-0.057689282|-0.162274487|0|0.742536498|0.744472118|-0.068524374|0.727767462|-0.0780255879999999|0.009745543|-54.34379065|6.787641686000001|0.196924826|-0.035256027|-43.46880696|4.727502734|82.81385171|-37.84973202|68.954317|-24.55535669|0.487446923|559.3312455|-1497.876758|0.139131409|9.573882864|18.67881257|0.951017454|6353.6617320000005|-1043.251367|28.52393145|0.009393984|-502.6804099|855.7438937000001|0.0|1.0|1.0|3.0|0.0|0.22|3.28|3.0|134.83|8.0|-5.18|3.0|-6.36|0.0|0.0|-4.78|6.58e-06|3.7|0.0|0.0|1.04e-09|-0.05062|3.2321|-1416.260696|-1416.233978|1297.7|383.61|383.61|0.69175|0.69175|0.5085|-0.13237|2.7749|0.02671774|-1415.944522|19.0|7.7212|7.7212
7_a27|0.0|0|0|2|0|0|3.330197625|2|-0.133453335|-0.288487667|0.010291744|-0.096754293|10.93773474|-0.056500475|1|0.010596392|-0.220626658|-0.323631281|2|0.6413629129999999|0.801251575|-0.08694032|0.62067794|-0.060745542|0.015099075|-34.09779211|8.475438874|0.14888586|-0.0300556429999999|-26.6343589|4.757447929|60.73467304|-19.13983132|55.55559276|-16.87088515|0.466714317|477.7488532|-759.1898319000001|0.236435287|6.446345598|12.087978|0.875167537|5082.120742|-426.1497425|22.09489892|0.014441323|-295.8891961|479.0078184|1.0|0.0|1.0|0.0|3.41|0.2|3.32|0.0|102.36|3.0|-4.06|4.0|-6.26|0.0|1.0|-4.28|8.66e-05|3.02|0.0|0.0|2.43e-07|-0.04887|4.1205|-1122.455548|-1122.433757|1016.96|300.9|300.9|0.61278|0.61278|0.4179|-0.16734|4.2487|0.02179141|-1122.304359|1.0|9.0|9.0
16a_a23|0.0|1|1|2|1|1|3.411338761|3|0.062601621|-0.302174246|0.012426121|-0.088255625|10.31321796|-0.071458049|2|0.01226642|0.115499047|-0.335065967|2|0.765869487|0.8323974470000001|-0.116894582|0.7199622309999999|-0.041095401|0.021379172|-26.53751114|13.80568132|0.0651629059999999|-0.025724725|-30.39361398|8.915071155|91.92609822|-17.13669862|65.21027197|-16.6118386|0.49525751|603.6746046|-847.2037686000001|0.414079278|8.024409307|15.89802615|0.981208279|6552.801739|-547.0850515999999|28.35168303|0.02809646|-110.9672657|668.3493171|0.0|1.0|0.0|1.0|0.0|0.14|2.03|1.0|125.79|5.0|-4.58|4.0|-7.02|0.0|0.0|-4.31|2.6e-05|2.66|0.0|0.0|5.38e-06|-0.0502|1.6239|-1685.913359|-1685.8794469999998|1172.0|763.49|763.49|0.96307|0.96307|0.2066|-0.07625|11.6254|0.03391189|-1685.6419010000002|39.0|7.4037|7.4037
13h_a6|0.0|0|0|0|0|0|0.0|2|0.060987639|-0.3839567379999999|-0.002407131|-0.01698365|10.95053423|-0.090944829|1|-0.000644109|0.105918119|-0.215607882|2|0.836982172|0.780222427|-0.164411111|0.789769968|-0.074151997|0.017441348|-51.85624128|12.1971464|0.132089259|-0.032362302|-44.98170701|8.529752344|0.0|-36.26429338|76.78735663|-22.63172141|0.461667017|606.9504647000001|-1222.112956|0.263081412|9.11292243|16.928040300000003|0.8575863490000001|6302.785260000001|-854.6524332|30.71129129|0.017825256|-331.36552|744.1359788|1.0|1.0|1.0|2.0|3.03|0.12|5.41|2.0|128.63|6.0|-5.56|5.0|-6.31|0.0|0.0|-5.06|2.77e-06|3.7|0.0|0.0|2.67e-11|-0.07435|4.8701|-1386.613707|-1386.569017|1253.92|365.52|254.58|0.50716|0.69001|0.2121|-0.14097|7.2872|0.04469058|-1386.3651|47.0|7.3279|7.3279
7s_a46|0.0|0|0|1|1|1|2.117265684|1|-0.210750635|-0.240797051|0.0060802|-0.005405515|10.94651358|-0.020953253|1|0.005577925|-0.327656845|0.018964141|1|0.778692012|0.770312275|-0.030371026|0.768056188|-0.096723151|0.008871171|-48.61321955|4.458665639|0.141211538|-0.031623562|-20.9694955|2.240932895|0.0|-24.43308641|47.36217237|-15.894055599999998|0.433822088|431.6285339|-667.5503351|0.1801125439999999|5.565371272|9.829721631|0.7662292690000001|4245.390306|-335.5119279|19.38565529|0.01122216|-321.55195330000004|409.9543818|0.0|1.0|1.0|1.0|2.33|0.26|3.65|0.0|91.19|2.0|-4.07|3.0|-5.81|0.0|1.0|-4.24|8.590000000000001e-05|3.32|0.0|0.0|8.39e-07|-0.02024|5.2972|-974.8067569|-974.7707066|916.7|288.81|234.06|0.44692|0.69976|0.1186|-0.17923|2.4286|0.036050328|-974.664103|1985.0|5.7022|5.7022
14a_a5|0.0|0|0|0|1|1|0.0|3|-0.132625457|-0.316624785|0.002956745|-0.086229994|10.9488747|0.024793388|1|0.003668464|-0.213526163|-0.016337128|2|0.7333482170000001|0.79661948|0.047169811|0.71006207|-0.080875277|0.0173669719999999|-54.69145586|11.74431806|0.209074444|-0.0271808479999999|-35.98151967|7.942029745|55.04914434|-36.98479273|69.71575554|-18.38089729|0.470085022|534.8590069|-1010.949351|0.370216665|8.424031251|15.89694877|0.88709518|6177.303329|-683.6488737000001|29.18606491|0.024411136|-175.53051609999997|723.0631751|1.0|1.0|1.0|2.0|2.41|0.2|4.56|1.0|123.0|6.0|-4.15|5.0|-7.08|0.0|0.0|-4.22|7.15e-05|2.55|0.0|0.0|1.45e-09|-0.0507699999999999|4.1501|-1390.592722|-1390.546425|1195.01|298.75|298.75|0.65789|0.65789|0.5853|-0.1676|2.7115|0.04629687|-1390.352729|112.0|6.9508|6.9508
12at_a36|0.0|0|0|0|2|2|0.0|2|0.054794728|-0.653190113|-0.001148437|-0.076129505|10.95446888|-0.037590959|1|0.000906224|0.091520225|-0.227404687|1|0.817851296|0.8384626709999999|-0.063825255|0.7767870459999999|-0.084721769|0.029516069|-58.66704838|20.43891035|0.248143308|-0.037537878|-53.05210062|14.1532755|80.75773169|-40.6250081|95.60375457|-25.99374995|0.49342323|520.6361161|-1455.649997|0.325557803|8.837213274|17.44496351|0.974034457|6537.399158|-1007.989912|38.54110857|0.027424543|-241.591008|735.3783268|0.0|1.0|0.0|2.0|0.0|0.17|2.7|1.0|135.03|7.0|-4.18|6.0|-7.18|0.0|0.0|-4.08|6.579999999999999e-05|2.53|0.0|0.0|2.42e-07|-0.05703|4.7133|-1460.833958|-1460.797444|1238.61|322.81|263.05|0.42968|0.6802600000000001|0.2076|-0.15607|6.4676|0.03651452|-1460.61293|78.0|7.1079|7.1079
18_a34|0.0|0|0|1|1|1|1.801574074|1|-0.100548575|-0.677741618|-0.001615187|-0.141332289|10.9595763|-0.136990511|1|0.002183342|-0.155197864|-0.478810922|1|0.759292258|0.805756513|-0.224951558|0.713979177|-0.090328365|0.040845819|-49.86847383|22.55015528|0.31018528|-0.0422555509999999|-39.55742812|12.44948722|54.26737825|-27.53138148|86.77082535|-23.32844015|0.441058733|380.8328339|-1003.122927|0.304150055|6.282442545|11.23989749|0.789096743|5296.289007|-553.8039936|33.52510165|0.027385869|-216.2496321|428.6241319|1.0|0.0|1.0|0.0|3.61|0.21|3.13|1.0|93.91|5.0|-4.32|6.0|-6.26|0.0|1.0|-4.11|4.77e-05|3.07|0.0|0.0|2.22e-06|-0.03925|4.4335|-1199.288654|-1199.259634|991.93|300.68|279.66|0.56101|0.60488|0.0303|-0.17549|5.0935|0.02902032|-1199.158044|2.43|5.6144|5.6144
12bg_a36|0.0|0|0|0|2|2|0.0|2|0.057879142|-0.414822602|-0.001012333|-0.060117593|10.95885259|-0.0206090089999999|1|-0.00097037|0.097928606|-0.1716508239999999|1|0.884841888|0.836170906|-0.033696875|0.771220556|-0.075439837|0.019606406|-51.74990566|13.44952052|0.159389648|-0.036959207|-48.31008346|9.22604612|14.85588272|-35.49918495|83.78068847|-25.35312333|0.46245521|576.6383913|-1267.656166|0.252132272|7.549463377|14.04434294|0.860310096|6753.439903|-869.5815023|33.900544700000005|0.01946912|-340.0625449|661.6709012|1.0|1.0|0.0|2.0|0.0|0.14|3.99|2.0|133.77|5.0|-5.08|4.0|-6.26|0.0|1.0|-5.18|8.27e-06|3.93|0.0|0.0|1.74e-08|-0.0542299999999999|3.8944|-2152.13793|-2152.104584|1186.75|318.36|318.36|0.69395|0.69395|0.4409|-0.15743|6.6844|0.03334656|-2151.975577|15.0|7.8239|7.8239
19k_a38|0.0|0|0|0|2|2|0.0|2|0.098947776|-0.6888696990000001|-0.011156837|0.016990252|10.95446448|-0.0184136539999999|1|-0.00835812|0.208892195|-0.128079012|1|0.7581164340000001|0.853092207|-0.029357143|0.730686013|-0.112748779|0.0232707939999999|-71.54314527|14.76615358|0.341299943|-0.044662847|-51.10918191|9.369654226|116.0039747|-45.3966925|94.38036132|-28.3401789|0.4769127179999999|417.968819|-1530.369661|0.24035311|6.744851799999999|12.89431427|0.911726848|7091.215492|-971.0744563|37.3070426|0.021802691|-329.5105352|686.8472757999999|0.0|1.0|0.0|4.0|2.2|0.13|2.34|1.0|133.79|6.0|-3.87|5.0|-7.84|0.0|0.0|-3.62|0.000134|1.65|0.0|0.0|3.94e-07|-0.05534|5.1869|-1500.8984380000002|-1500.852284|1172.22|350.45|239.03|0.38269|0.70327|0.1156|-0.14568|9.1508|0.04615409|-1500.680373|11.0|7.9666|7.9666
14ad_a23|0.0|1|1|2|0|0|3.3437482860000003|2|0.118047355|-0.4663820279999999|0.008996289|-0.05348283|10.31321689|-0.031279567|2|0.009675528|0.2086248289999999|-0.253318853|2|0.7763406840000001|0.7830067820000001|-0.050707765|0.7317531540000001|-0.059168372|0.033831691|-42.29008971|24.18091285|0.112868365|-0.029653934|-43.85199724|17.28310144|114.237062|-30.226481300000003|85.20135045|-21.19489662|0.46995189|634.0697778|-1165.7193140000002|0.424119041|8.661363236|16.34071148|0.8866211979999999|7308.229822|-833.1879476|36.80430179|0.033365494|-108.4705382|770.8206617000001|1.0|1.0|1.0|1.0|3.49|0.12|3.48|2.0|133.27|7.0|-5.8|6.0|-6.68|0.0|0.0|-5.08|1.6e-06|3.52|0.0|0.0|2.49e-08|-0.06925|3.3867|-1858.957788|-1858.942973|1287.26|366.09|366.09|0.6956600000000001|0.6956600000000001|0.4106|-0.13734|5.2331|0.01481488|-1858.733603|4.0|8.3595|8.3595
4_a4|0.0|0|0|1|1|1|2.156628874|2|-0.0214610589999999|-0.058013858|0.011760626|-0.110597574|10.92992837|-0.037623601|1|0.0112367389999999|-0.035166634|-0.078747188|2|0.646069495|0.77276149|-0.063012715|0.636572383|-0.049768752|0.008570112|-25.64211031|4.4155367960000005|0.0667239759999999|-0.0255766729999999|-18.24679326|2.274995377|42.42341622|-13.21145879|40.86951119|-13.17774406|0.398500394|480.8472306|-566.6429946000001|0.2062820269999999|5.326452915|8.855289118|0.66251148|4878.070704|-291.9486922|16.60255217|0.010586293|-302.661743|462.1867149|0.0|1.0|1.0|0.0|3.09|0.19|4.52|1.0|100.08|2.0|-4.12|3.0|-5.79|0.0|1.0|-4.57|7.59e-05|3.52|0.0|0.0|2.71e-08|-0.04865|5.382000000000001|-1029.960398|-1029.93716|960.45|307.95|230.37|0.55032|0.6010800000000001|67.0|-0.1696599999999999|2.6814|0.02323788|-1029.813844|78.0|7.1079|7.1079
12bf_a36|0.0|0|0|0|2|2|0.0|2|0.140577067|-0.4497470879999999|-0.006877664|-0.096665166|10.96022305|-0.0206090089999999|1|-0.004358975|0.359635716|-0.250781298|1|0.653741315|0.836170906|-0.033696875|0.632625562|-0.090461753|0.0217611939999999|-58.26326838|14.01562806|0.320859336|-0.037486972|-45.73631152|9.026978489|0.0|-37.52534442|86.28460578|-24.14405495|0.474826911|437.4108773|-1207.2027480000002|0.294529031|7.546900716000001|14.37031118|0.904134124|6271.550446|-777.5172959|34.22402339|0.02371294|-264.6734075|593.6088758|0.0|1.0|0.0|2.0|0.0|0.14|3.55|1.0|123.67|5.0|-3.99|6.0|-6.8|0.0|1.0|-4.32|0.000102|2.88|0.0|0.0|7.599999999999999e-08|-0.0571299999999999|5.2319|-1431.413697|-1431.380702|1120.94|320.04|236.98|0.40663|0.69292|0.4006|-0.15677|5.4787|0.03299488|-1431.246893|6.0|8.2218|8.2218
13_a15|0.0|0|0|0|1|1|0.0|3|-0.006938727|-0.393632585|0.001806571|-0.031047852|10.95980212|0.005149745|0|0.003766915|-0.010882979|-0.272482143|2|0.843715005|0.729838386|0.009456191|0.796300317|-0.068526782|0.016196467|-43.2365883|10.21906987|0.114512421|-0.033811561|-39.03420883|6.447664726|0.0|-27.279882500000003|72.41636305|-21.33321476|0.482317225|558.6934137000001|-1237.326456|0.244716567|5.21465994|10.07307988|0.931684902|7196.400881999999|-780.6841766|28.24531009|0.01672103|-322.1392954|830.7967967000001|1.0|0.0|0.0|1.0|4.19|0.07|4.33|2.0|138.24|6.0|-6.32|4.0|-5.26|1.0|0.0|-6.1|4.77e-07|5.32|0.0|0.0|1.27e-09|-0.03946|3942.0|-1450.756042|-1450.727602|1231.11|482.03|314.52|0.63827|0.70626|0.0003|-0.11283|3.5479|0.02844037|-1450.462642|6.0|8.2218|8.2218
17a_a10|0.0|0|0|1|2|2|2.118111229|3|-0.082914437|-0.2946568739999999|0.009206558|-0.093735748|10.92970797|0.031632653|1|0.01029375|-0.132166258|-0.360142554|2|0.7019075779999999|0.76281504|0.054069767|0.673253555|-0.055423599|0.020088947|-39.18491085|14.20303963|0.146175016|-0.023625536|-41.33310046|10.04165819|87.61514901|-27.70403316|76.48633670000001|-16.70343549|0.4918223679999999|603.6608262999999|-1052.3164359999998|0.4352739579999999|8.621193279|16.96492079|0.967815851|7078.918870999999|-743.9958084|29.57794442|0.0254938|-91.52361858|911.2106544|1.0|1.0|1.0|0.0|3.66|0.33|3.31|1.0|142.16|6.0|-3.68|6.0|-7.43|0.0|1.0|-4.32|0.00021|2.43|0.0|0.0|4.74e-08|-0.04641|5.5285|-1524.557372|-1524.52012|1326.24|310.84|224.26|0.32889|0.67671|0.0867|-0.16562|4.1012|0.03725238|-1524.252023|49.0|7.3098|7.3098
LY364947_a10|0.0|0|0|0|0|0|0.0|2|0.0938628109999999|-0.084940213|0.007575|0.010202602|10.9303125|-0.006198347|1|0.006909045|0.1625645369999999|0.072909639|2|0.706034038|0.711607778|-0.012096774|0.681525895|-0.076999385|0.009678082|-34.01613475|4.275500834|0.156895451|-0.029665114|-14.69643595|1.88879448|0.0|-15.02735938|41.53157099|-13.10520229|0.486715511|372.4595738|-432.4716757000001|0.276515344|4.702575386|9.161732895|0.948237326|3903.496845|-191.05366730000003|18.1140017|0.018707677|-197.4583104|287.99188260000005|0.0|1.0|1.0|1.0|1.88|0.0|3.97|0.0|82.56|2.0|-3.54|3.0|-6.02|0.0|1.0|-3.86|0.00029|2.74|0.0|0.0|6.31e-08|||||||||||||||59.0|7.2291|7.2291
12aa_a36|0.0|0|0|0|2|2|0.0|2|0.03597264|-0.672129428|-0.006653538|0.010538281|10.95446449|-0.013898809|1|-0.004569485|0.0620143779999999|-0.090926893|1|0.892815402|0.833911317|-0.023185884|0.849217847|-0.1066659309999999|0.023617545|-72.94175494|16.1504726|0.3110547589999999|-0.04126187|-54.83906299|11.04423694|109.0001157|-49.88002793|96.18613736|-28.21625599|0.44829258|471.12395210000005|-1523.677823|0.2686642589999999|8.05947774|14.60824604|0.812554922|6438.603019|-1041.942197|38.58180913|0.023386634|-316.3903377|689.2886595|0.0|1.0|0.0|3.0|0.0|0.13|1.92|1.0|131.85|6.0|-3.52|5.0|-7.79|0.0|0.0|-3.45|0.000304|1.55|0.0|0.0|7.19e-07|-0.05111|3.8899|-1401.662677|-1401.617177|1183.76|318.73|318.73|0.6931|0.6931|0.4446|-0.15718|3.5904|0.04550032|-1401.45065|9.0|8.0458|8.0458
27b_a34|0.0|0|0|1|1|1|2.013418486|1|-0.106245942|-0.549928192|-0.001438963|-0.029622037|10.95430634|-0.027175221|1|0.001228116|-0.175834895|-0.322091086|1|0.820914556|0.7722228729999999|-0.047542374|0.770240631|-0.08757938|0.031021066|-57.66200309|20.42417736|0.2165682119999999|-0.037292511|-47.54648562|13.44721755|540.9533124|-37.9644911|87.24055613|-24.553278|0.4072752529999999|515.8091561000001|-1227.6639|0.287687241|9.124440695|15.39406063|0.687123753|6032.666081|-808.2902556|34.46979951|0.022820627|-279.5721769|627.4287311|1.0|1.0|1.0|1.0|3.66|0.12|3.94|2.0|116.33|5.0|-5.23|5.0|-6.14|0.0|0.0|-4.96|5.92e-06|3.75|0.0|0.0|6.53e-09|-0.04121|4.8168|-1350.055377|-1350.018975|1174.68|302.88|257.4|0.47412|0.70001|0.0252|-0.1652799999999999|11.8546|0.03640275|-1349.873325|0.65|6.1871|6.1871
12e_a36|0.0|0|0|0|2|2|0.0|2|0.144415507|-0.404736007|0.002951176|-0.0586405829999999|10.95346131|-0.084051264|1|0.003962098|0.244642918|-0.1763783589999999|1|0.90414347|0.7975411790000001|-0.144846626|0.856274847|-0.07049439|0.019063245|-44.83739063|12.12502373|0.161913613|-0.036203518|-40.85494129999999|7.71202397|5.735288795|-28.51846223|75.50154216|-23.02695694|0.466721981|533.058116|-1220.428718|0.238923581|6.767371321000001|12.69013737|0.875194483|5929.071389|-776.2438847|30.25577504|0.017716522|-332.11111980000004|662.0530478999999|0.0|1.0|0.0|2.0|0.0|0.17|3.24|1.0|128.72|5.0|-4.16|4.0|-6.55|0.0|1.0|-4.3|6.929999999999999e-05|3.04|0.0|0.0|1.08e-07|-0.04962|3.8364|-1272.2668210000002|-1272.23645|1142.19|337.84|323.18|0.6814600000000001|0.70007|0.0006|-0.15189|6.5974|0.03037051|-1272.0579810000002|14.0|7.8539|7.8539
8_a20 (IN-1130)|0.0|0|0|0|0|0|0.0|2|0.1728459339999999|-0.528090969|-0.006620594|-0.019554464|10.94899447|-0.0574882679999999|1|-0.004654742|0.293415753|-0.083481481|2|0.811128636|0.760688473|-0.0957193819999999|0.7741509329999999|-0.09623672|0.0158089389999999|-63.72828772|10.46873389|0.272572869|-0.035730972|-42.88223811|6.93243166|89.35267123|-42.20109173|77.31081766|-23.66117267|0.4824986429999999|481.70475260000006|-1230.3809789999998|0.251893628|8.005662608|15.46983888|0.932362084|6291.586155|-814.7625241000001|31.628086|0.018957805|-328.593789|684.5377542|1.0|1.0|1.0|2.0|2.43|0.08|4.97|1.0|122.86|5.0|-4.85|5.0|-6.83|0.0|0.0|-4.55|1.42e-05|2.87|0.0|0.0|2.34e-10|-0.07014|4.9797|-1368.412748|-1368.372708|1192.01|383.5|248.98|0.4377|0.7007399999999999|0.1361|-0.13622|3803.0|0.04004011|-1368.180121|36.0|7.4437|7.4437
12a_a40|0.0|0|0|1|0|0|1.784989449|0|0.17758258|-0.14667395|0.01039129|0.100414476|10.31197265|-0.226763788|2|0.007890601|0.298197213|0.031326603|0|0.58630452|0.718281767|-0.375724138|0.525051106|-0.064340227|0.011766311|-32.81611621|6.001293955|0.059120235|-0.033799|-19.46913691|3.060902482|49.24750281|-16.73754566|43.65970865|-17.23885621|0.476055146|479.8867095|-534.4045424999999|0.14863036|7.563170499|14.43505064|0.908597808|4873.458436|-272.5679167|20.24838026|0.010759845|-358.4254366|323.26151960000004|1.0|0.0|0.0|0.0|3.39|0.0|5.33|1.0|91.76|2.0|-6.41|2.0|-4.56|0.0|1.0|-5.95|3.86e-07|5.43|0.0|1.0|6.15e-08|-0.08015|3.0966|-2097.826771|-2097.8163050000003|875.15|400.39|400.39|0.6998800000000001|0.6998800000000001|0.3701|-0.12895|2491.0|0.0104658999999999|-2097.779499|1778.0|5.7501|5.7501
12z_a36|0.0|0|0|0|2|2|0.0|2|0.037307819|-0.421948174|-0.000143196|-0.010881947|10.95429182|-0.030529442|1|0.001194592|0.066366917|-0.175397741|1|0.8707354620000001|0.826316772|-0.0533649729999999|0.8212311840000001|-0.081592361|0.023371488|-54.11489962|15.50078625|0.165209595|-0.036238222|-45.16471514|10.28066212|15.59091678|-35.89088901|83.07227002|-24.03445318|0.4577848329999999|553.6621150000001|-1225.757112|0.287317638|8.016303367999999|14.78435842|0.844286292|6146.834385|-812.9648725|33.72393432|0.0225782039999999|-282.1167226|642.3830552000001|0.0|1.0|0.0|2.0|0.0|0.13|2.75|1.0|128.47|5.0|-3.99|5.0|-7.08|0.0|0.0|-3.95|0.000101|2.4|0.0|0.0|2.21e-07|-0.05642|3.8969|-1325.195958|-1325.157504|1153.7|318.16|318.16|0.69397|0.69397|0.4423|-0.1575|4814.0|0.03845474|-1325.010808|5.0|8301.0|8301.0
18a_a30|0.0|0|0|0|2|2|0.0|2|-0.041327798|-0.353677943|0.005050384|-0.01286191|10.31163887|-0.094932667|1|0.005458948|-0.073280844|-0.094526372|1|0.8421237309999999|0.7885597609999999|-0.171895425|0.7961424690000001|-0.072474599|0.017060045|-45.11907802|10.62073502|0.14081879|-0.036990859|-36.97308547|6.611941026|0.0|-28.08889239|69.35818061|-23.02866795|0.445995681|534.88346|-1128.40473|0.209500834|7.050626413|12.72666325|0.8050400790000001|5942.293347|-702.4886239|29.1318055|0.016012295|-361.7006453|620.9195447000001|1.0|1.0|0.0|1.0|0.0|0.14|3.84|2.0|127.28|5.0|-5.28|4.0|-5.98|0.0|0.0|-4.85|5.23e-06|3.87|0.0|0.0|2.3100000000000002e-07|-0.05605|3.4712|-1575.786909|-1575.755101|1120.46|357.18|357.18|0.69033|0.69033|0.3781|-0.1418|4.2514|0.03180853|-1575.604922|25.0|7.6108|7.6108
