molecula|SddssS|n9FaHRing|n9FaRing|NaasN|nAHRing|nARing|SaasN|n6HRing|MATS7i|ATSC1c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|GATS1pe|FNSA3|FPSA3|PNSA3|PPSA3|RPSA|FNSA4|WNSA5|WPSA3|RPCS|WNSA3|DPSA5|PNSA4|GeomPetitjeanIndex|TASA|PNSA2|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|Mor01p|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Leadlikeness|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Egan filter|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15b_a50|0.0|1|1|2|1|1|4.112770601|1|-0.103807905|-0.22696498|0.004641091|-0.06083723|10.94501702|-0.124047802|2|0.005203263|-0.17223348|-0.2185722769999999|1|0.79846758|0.8259784720000001|-0.216393362|0.764606364|-0.082576068|0.020083792|-47.20879251|11.48191704|0.179086516|-0.028069672|-26.37622116|6.564219549|0.0|-26.98929785|60.03646705|-16.04745006|0.478989976|469.3167805|-738.1827030000001|0.3609826579999999|6.89125222|13.22671714|0.919348867|5205.2135960000005|-422.0195386|25.11269883|0.024313507|-158.95261259999998|510.3677388|1.0|1.0|1.0|1.0|2.11|0.19|2.71|1.0|105.46|5.0|-3.18|4.0|-6.98|0.0|1.0|-3.6|0.000654|2.11|0.0|0.0|1.92e-06|-0.0333399999999999|4.0561|-1160.4989460000002|-1160.463663|1035.3|305.67|305.67|0.65917|0.65917|0.1796|-0.16737|6.9054|0.03528279|-1160.330621|79.0|7.1024|7.1024
11d_a5|0.0|0|0|0|0|0|0.0|2|-0.125546291|-0.185566552|0.008307337|-0.138265707|10.94877952|0.01948342|1|0.008809179|-0.202307745|-0.200646773|2|0.786587307|0.783891527|0.036918829|0.755793189|-0.063028408|0.012828514|-40.04753555|8.151092424|0.12909714|-0.029333375|-34.21147402|5.179111638|0.0|-25.44574968|65.35645739|-18.63809379|0.49396568|553.3617954|-969.1808771|0.287694578|8.920296087|17.62784804|0.976150552|5283.02167|-615.8065323|26.16587381|0.018119737|-269.7929124|631.9206508|1.0|1.0|1.0|1.0|3.37|0.17|4.41|1.0|114.29|7.0|-4.14|5.0|-6.47|0.0|1.0|-4.29|7.2e-05|3.07|0.0|0.0|2.31e-09|-0.03767|4.4175|-1239.127458|-1239.093739|1154.67|301.89|280.66|0.66686|0.6533399999999999|0.2068|-0.16762|2.8731|0.03371838|-1238.914819|15.0|7.8239|7.8239
4f_a49|0.0|0|0|1|1|1|2.066693174|2|-0.087861524|-0.418450768|0.001532832|-0.064058097|10.92775957|0.0705130559999999|1|0.001714014|-0.14414265|-0.025995042|2|0.69044503|0.7927086309999999|0.114367229|0.670594896|-0.102926696|0.016591015|-55.88123394|9.007637695|0.262938196|-0.033471819|-26.51573683|4.89045046|59.72286429999999|-30.33918719|60.18871783|-18.1726086|0.437355335|400.1675422|-781.4221699|0.2816937089999999|6.302023735|11.20071713|0.7773206840000001|5422.650822|-424.2517893|25.29924744|0.020905063|-237.0468572|467.1194103|1.0|1.0|0.0|1.0|2.35|0.14|3.42|1.0|102.08|3.0|-3.99|5.0|-6.6|0.0|0.0|-4.09|0.000102|2.64|0.0|0.0|2.92e-07|-0.06954|4.6249|-1179.23587|-1179.201105|982.46|334.21|268.08|0.39584|0.68474|0.0579999999999999|-0.15517|1.7833|0.03476467|-1179.080799|0.04|7.3979|7.3979
14g_a23|0.0|1|1|2|0|0|3.0793867980000003|2|0.058422864|-0.803522236|-0.002390707|-0.031968899|10.3132174|-0.030586527|2|-0.0004039459999999|0.179219801|-0.2952674819999999|2|0.598213287|0.796412133|-0.044895912|0.575188253|-0.072819606|0.018341721|-51.82254036|13.05300369|0.092665527|-0.041536002|-48.76552945|9.289253982|1.5679977319999998|-36.87984398|83.15907597|-29.55936307|0.461846955|645.7104105000001|-1507.527516|0.219684185|8.788027188|16.32997765|0.8582074559999999|8005.353973|-1072.841648|37.88128151|0.020564836|-398.9771038|676.4530574|1.0|0.0|1.0|1.0|3.79|0.09|3.97|2.0|126.97|7.0|-6.89|8.0|-5.94|1.0|0.0|-6.0|1.29e-07|4.76|0.0|0.0|1.12e-08|-0.08011|3.7042|-2042.1835260000005|-2042.161409|1233.48|334.71|334.71|0.56658|0.56658|0.3478|-0.1519|7.2913|0.0221162|-2042.000034|0.01|8.0|8.0
13e_a6|0.0|0|0|0|0|0|0.0|2|0.018376555|-0.378539035|-0.003356527|0.0266218529999999|10.95053349|-0.037793156|1|-0.001446486|0.032420935|-0.223618825|2|0.841211811|0.765593573|-0.067328767|0.790249345|-0.074242826|0.0183790889999999|-49.62570093|12.28502792|0.138323399|-0.032929004|-41.68507499|8.211609879|0.0|-33.17101912|75.42629799|-22.01054293|0.4442079679999999|575.965487|-1122.537689|0.277469482|7.973429837999999|14.346067199999998|0.799234143|6147.8097210000005|-750.3313497|30.46313253|0.019543118|-297.4895642|676.2770877|1.0|1.0|1.0|2.0|2.79|0.08|5.01|1.0|123.82|5.0|-5.11|5.0|-6.52|0.0|0.0|-4.78|7.74e-06|3.27|0.0|0.0|6.59e-11|-0.07534|5.9885|-1347.297639|-1347.25954|1202.5|381.78|207.04|0.38609|0.7034199999999999|0.0104|-0.1327|10.1884|0.03809808|-1347.074898|12.0|7.9208|7.9208
12ad_a36|0.0|0|0|0|2|2|0.0|2|0.046496301|-0.649957196|-0.001148437|-0.0072527669999999|10.95445455|0.010723827|1|0.000906224|0.077659878|-0.227404687|1|0.817851296|0.832674224|0.018207862|0.7767870459999999|-0.082404548|0.030769062|-58.34300549|21.78471426|0.239732231|-0.0365657189999999|-54.02363038|15.4237324|81.68309557|-41.30726219|96.81391944|-25.88878839|0.477102332|538.2749789|-1449.77215|0.343592539|8.770308295|16.772513699999998|0.912420081|6569.653402|-1026.448977|39.44011905|0.028968808|-221.4751857|735.3783268|0.0|1.0|0.0|2.0|0.0|0.17|2.7|1.0|135.03|7.0|-4.18|6.0|-7.18|0.0|0.0|-4.08|6.579999999999999e-05|2.53|0.0|0.0|2.42e-07|-0.05406|5733.0|-1460.8311199999998|-1460.794632|1236.64|321.93|216.26|0.27316|0.67215|0.2532|-0.15638|5.3349|0.03648828|-1460.610659|17.0|7.7696|7.7696
12y_a36|0.0|0|0|0|2|2|0.0|2|0.036174187|-0.410155116|0.002782748|-0.049845887|10.94917392|-0.028440975|1|0.003724542|0.06152178|-0.1619981409999999|1|0.90500247|0.820226782|-0.0498101409999999|0.856135378|-0.076585128|0.019404665|-51.48548385|13.04507243|0.16295867|-0.036493654|-44.53093547|8.769742642|14.40618351|-34.61187706|78.8341402|-24.53339777|0.487285656|562.7133986|-1324.80348|0.244264266|7.589386902|14.80236899|0.950403792|6082.16777|-890.6187094000001|32.46293206|0.01873364|-343.8442493|698.847203|0.0|1.0|0.0|2.0|0.0|0.12|3.62|1.0|133.84|6.0|-4.58|4.0|-6.34|0.0|1.0|-4.55|2.6e-05|3.45|0.0|0.0|9.66e-08|-0.05002|3.8794|-1310.350902|-1310.315063|1183.75|319.6|319.6|0.66796|0.66796|0.4358|-0.15671|6.1376|0.03583863|-1310.137888|12.0|7.9208|7.9208
6b_a31|0.0|0|0|0|1|1|0.0|0|0.11647286|-0.787472195|-0.011483229|-0.032090772|10.31169819|-0.053655833|2|-0.008439437|0.1978523089999999|-0.004825446|0|0.838789705|0.78240875|-0.084489161|0.795570315|-0.12081047|0.032992761|-73.70779766|20.12924648|0.372146926|-0.045675611|-47.81835367|12.28107483|101.4993391|-44.96993859|93.1058799|-27.86719323|0.4807018779999999|383.0600707|-1254.023695|0.254079586|7.513612533|14.46878435|0.925676135|6099.567787|-765.0936586|37.35947255|0.024142162|-300.0775025|536.6368656000001|1.0|1.0|1.0|2.0|2.73|0.1|5.19|1.0|109.69|4.0|-5.63|5.0|-6.5|0.0|0.0|-4.66|2.34e-06|3.2|0.0|0.0|4.67e-08|-0.05835|3.2949|-1652.671944|-1652.635711|1077.19|376.29|376.29|0.7013199999999999|0.7013199999999999|0.4967|-0.13345|5.9085|0.03623358|-1652.505041|54.0|7.2676|7.2676
41_a18|0.0|0|0|0|2|2|0.0|1|-0.089781154|-0.500778516|-0.0034878|0.022493846|10.9470117|0.0212700929999999|0|-0.002136837|-0.137860739|-0.0091068809999999|0|0.759941674|0.733589101|0.037097204|0.745631286|-0.1020290859999999|0.009550224|-69.94639412|6.547189171|0.2650611539999999|-0.037381065|-41.89408289|4.488448275|93.99687836|-47.95199341|65.83786886|-25.62671923|0.487248278|503.8398786|-1588.856592|0.0967605159999999|8.787657952|17.13823195|0.950261611|6605.095612|-1089.246155|28.37200951|0.006896617|-552.8844577000001|897.5188662|0.0|1.0|1.0|3.0|0.0|0.25|3.26|2.0|141.34|6.0|-5.56|3.0|-6.38|0.0|0.0|-5.02|2.76e-06|3.78|0.0|0.0|4.18e-09|-0.04956|3.2123|-1454.374793|-1454.3467460000002|1294.52|385.97|385.97|0.69308|0.69308|482.0|-0.1319|2.0934|0.0280471999999999|-1454.045308|369.0|6433.0|6433.0
1l_a5|0.0|0|0|0|0|0|0.0|2|-0.111303801|-0.089997343|0.008244856|-0.019865028|10.94421389|-0.05139414|1|0.007613233|-0.179824092|0.043915678|2|0.7245669790000001|0.7656671279999999|-0.091849662|0.71872376|-0.068685233|0.0078543119999999|-38.79937717|4.43679678|0.109710998|-0.026512937|-21.62050954|2.506287665|0.0|-21.91725365|45.64819758|-14.9768065|0.47265823|502.9124512|-688.9330988|0.230593886|7.401206343999999|14.03493287|0.896303416|4665.793689|-389.1691717|19.46541135|0.013054186|-304.3678822|518.5792364|0.0|1.0|1.0|1.0|2.67|0.14|5.56|1.0|105.07|4.0|-5.04|3.0|-5.4|0.0|1.0|-4.98|9.06e-06|4.19|0.0|0.0|1.4800000000000003e-09|-0.04149|4.6403|-1069.261615|-1069.229786|1033.47|283.95|267.19|0.45892|0.57392|187.0|-0.1779|2.1987|0.03182983|-1069.101032|32.0|7.4949|7.4949
