molecula|SddssS|NaaNH|n9FaHRing|n9FaRing|NaasN|nAHRing|BCUTs-1|MATS2c|AATSC1s|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|nFaHRing|FNSA5|PBF|FPSA3|PNSA5|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|WNSA3|PNSA4|GRAVp|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA1|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|IC50|pIC50
12g_a30|0.0|0|0|0|0|2|0.6049842529999999|0.096186205|0.024086432|2|0.039951691|0.0|-0.574592016|0.001371944|10.31162838|1|1|0.0026474159999999|-0.067792064|-0.084317059|-0.152855196|-0.539112991|1|0.817497287|0.826316772|-0.0430471959999999|0|-0.10344931|0.487608738|0.027436565|-70.11305057|0.216337219|146.623137|-0.040568357|12.60295167|237.7754135|-39.593913|-27.49531395|3058.2873170000003|2482.668258|-18.63502363|8.694447089|16.07139949|0.8484671109999999|6688.137428|152.961516|-950.3862054|-371.8296813|0.0|1.0|0.0|1.0|4.67|17.0|-6.42|3.4|2.48|114.67|2.0|1.0|133.52|6.0|32.0|6.0|0.0|0.0|2.36|1.01e-06|0.00427|3.89|0.0|0.0|0.000165|-0.0576|5.0703|3.88|3.5592|577.31|0.68366|-1742.965961|0.1613|-0.15077|-0.2083699999999999|-1743.029147|5.3027|9.0|8.0334
12_a47|0.0|1|1|1|0|0|1.304330736|-0.155854903|-0.078935336|2|0.036632997|1.555521837|-0.209845277|-0.0047488359999999|10.95005729|1|1|-0.004332024|0.003417588|-0.006318684|-0.015039637|-0.326846977|2|0.6505449670000001|0.8288334490000001|0.055943216|1|-0.091853238|0.266995634|0.018014416|-47.83891561|0.2159289589999999|112.4599133|-0.034116917|4.886454935|0.0|-23.01490672|-17.76874008|2266.78114|702.3796319|-9.25429818|7.042279354|13.52358352|0.920341815|4816.005822|166.28511369999998|-323.9004363|-188.2488142|1.0|0.0|1.0|2.0|2.73|21.0|-8.11|4.19|4.98|66.49|0.0|0.0|91.63|3.0|24.0|4.0|0.0|1.0|3.37|3.11e-05|0.00943|3.43|0.0|0.0|2.61e-06|-0.0623|4.2907|3.01|3.9538|400.09|0.68557|-1487.974738|0.2241|-0.1633|-0.2256|-1488.024564|3.5884|6.0|8.2
8d_a12|0.0|1|1|1|0|1|1.283835213|0.057525383|-0.048642535|2|0.038347953|2.075171777|-0.376778003|0.000925796|10.94458983|1|1|0.001575111|0.0479437859999999|0.00930483|0.016135176|-0.484923957|1|0.8857286320000001|0.751098108|-0.091036025|1|-0.103548595|0.266886187|0.011348654|-57.57034769|0.141289888|78.55353315|-0.039118358|3.507952014|0.0|-24.05928792|-21.74879802|2466.513191|1288.818257|-12.09177064|6.93584319|12.96695233|0.8695567329999999|5255.11762|92.36749461|-544.129679|-371.2392138|1.0|1.0|1.0|2.0|4.06|21.0|-8.37|3.87|2.67|65.96|2.0|0.0|112.14|3.0|27.0|4.0|0.0|1.0|3.02|2.64e-05|0.0085799999999999|3.51|0.0|0.0|1.49e-06|-0.05488|4.2383|3.53|3.7397|433.32|0.4997399999999999|-1138.086709|0.0853|-0.15306|-0.20794|-1138.139635|3.0277|25.0|7.6021
16b_a32|-3.3094926630000003|1|1|1|0|0|0.2980105389999999|0.0873104119999999|-0.3723824429999999|0|0.041958333|2.033356859|-0.423467596|-0.008277865|10.31100078|3|3|-0.00180101|-0.023602065|-0.1202046419999999|-0.222700615|-0.586122949|0|0.745820612|0.852956281|0.056127969|1|-0.1083060409999999|0.559199331|0.015808858|-69.39772428|0.253462496|162.40756509999997|-0.0345657579999999|6.490611388|9.827907321|-36.42406481|-22.14820988|3037.795494|3264.235184|-14.19159402|6.466656381|11.05406524|0.709394251|6612.089615999999|161.7035261|-667.0049190000001|-317.3487516|0.0|1.0|1.0|2.0|3.71|19.0|-7.6|5.4|4.88|165.49|1.0|0.0|114.43|7.0|28.0|6.0|1.0|1.0|3.26|5.19e-07|0.0123|3.14|0.0|0.0|1.1e-05|-0.05946|3.6211|6.37|3.6211|567.01|0.70233|-2315.757928|0.2849|-0.14995|-0.2094099999999999|-2315.819979|7.0093|17.0|7.7696
9d_a31|0.0|1|0|0|0|1|0.61013528|0.036844743|-0.043220149|0|0.0359583329999999|0.0|-0.696763933|-0.002456634|10.31169788|2|2|0.000127275|-0.091744753|-0.134504227|-0.214049412|-0.550392027|0|0.8066174070000001|0.8343242820000001|-0.030275712|0|-0.11958484|0.3655337879999999|0.029032453|-81.53295088|0.305664196|208.401866|-0.033844766|13.49577391|560.5224416|-45.65350116|-23.07536346|2654.377004|1932.363213|-15.732784099999998|9.436176796|17.39409698|0.8433415740000001|5748.743284|229.34422830000003|-833.8375571|-223.1115993|1.0|1.0|1.0|2.0|3.8|16.0|-7.63|6.04|4.09|117.37|2.0|0.0|112.97|9.0|29.0|5.0|0.0|1.0|3.65|2.48e-06|0.0167|3.46|0.0|0.0|9.69e-06|-0.03457|3.8478|5.0|3.8478|630.49|0.7006899999999999|-1657.1791449999998|0.2611|-0.15969|-0.19426|-1657.245966|3.5077|0.6|6.2218
5a_a40|0.0|0|0|0|1|0|0.604913477|-0.116583806|0.059258947|0|0.0388888889999999|0.808197279|-0.152120625|0.011345707|10.31198338|2|2|0.010425818|-0.191663433|0.004130836|0.007301856|-0.363338726|0|0.538671739|0.756882266|-0.442215721|1|-0.090991462|0.04987082|0.020641204|-40.27003217|0.146821673|64.97877226|-0.036396585|4.042943749|52.43850484|-15.30358975|-16.10801287|1847.672595|508.8362301|-7.128912782|5.507689573|10.7779923|0.956899016|3736.248815|78.57142892|-213.8673835|-285.426492|0.0|1.0|1.0|0.0|3.04|14.0|-4.05|3.68|3.08|75.5|0.0|1.0|74.15|3.0|19.0|3.0|0.0|1.0|2.8|7.49e-05|0.0574|2.88|0.0|0.0|0.0241|-0.0657799999999999|3.7921|4.36|3.7921|353.51|0.69499|-1177.51016|0.4461|-0.15066|-0.21644|-1177.555706|7.6003|81.0|7.0915
3g_a32|0.0|1|1|1|0|0|0.60942078|0.015803466|-0.072619634|0|0.05052381|2.2144733530000003|-0.2816222539999999|0.001276735|10.31100273|3|3|0.002565215|-0.105402305|-0.074808287|-0.133675401|-0.563371932|0|0.833981748|0.755211939|-0.1015732219999999|1|-0.098311343|0.273439311|0.0119962889999999|-54.47722347|0.112304055|62.23099889|-0.030429702|3.683575459|0.0|-21.55960626|-16.86199774|2271.746759|1886.244271|-9.343731735|5.917878616|10.70834299|0.809490137|5058.622432|110.4157723|-392.4367329|-333.29803589999995|0.0|1.0|1.0|1.0|3.43|19.0|-7.29|7.02|5.42|110.94|2.0|0.0|102.55|3.0|24.0|3.0|0.0|1.0|4.61|8.12e-08|0.000915|5.02|0.0|0.0|1.8e-05|-0.0535|3.5456|4.13|3.5456|495.4|0.70275|-1711.865318|0.2859|-0.14715|-0.20065|-1711.919273|5.5816|14.0|7.8539
12u_a36|0.0|1|0|0|0|2|1.270259304|-0.054501792|-0.0407717229999999|2|0.042560386|0.0|-0.407105926|0.0042553209999999|10.95266014|1|1|0.005035022|0.055588998|-0.099596099|-0.163978382|-0.438988314|1|0.901715152|0.8101678720000001|0.080270195|0|-0.0969881059999999|0.3765068079999999|0.017639065|-67.50289394|0.157772171|109.8080843|-0.03452119|8.544435884|5.944854912|-35.17050511|-24.02645378|2831.106839|2455.7556010000003|-16.72220679|7.65672775|14.90088936|0.946117173|6127.402572|153.5444314|-986.6102007|-388.9026034|0.0|1.0|1.0|2.0|5.05|17.0|-7.38|3.85|3.01|69.2|2.0|0.0|138.33|6.0|32.0|4.0|0.0|1.0|2.66|1.13e-05|0.00589|3.8|0.0|0.0|1.7800000000000002e-05|-53.0|3.8847|4.21|3675.0|590.18|0.70272|-1350.575382|0.0176|-0.15109|-0.20409|-1350.638138|7.8877|16.0|7.7959
18_a4|0.0|0|0|0|1|1|1.3998285519999998|-0.181683336|-0.164169913|1|0.042924837|0.0|-0.181355303|0.000379379|10.94611841|1|1|0.00042|0.108754635|0.006968314|0.015390457|-0.319213511|1|0.624748358|0.793041267|0.102914528|0|-0.085817825|0.269470313|0.017694182|-42.33787448|0.224403961|110.7087804|-0.03479101|4.306590617|0.0|-22.93503169|-17.16400317|2069.649003|1573.744396|-8.467791078|6.133421395|10.31843368|0.682329162|4381.693113|113.7466718|-313.3082699|-265.85258480000005|1.0|0.0|0.0|1.0|3.32|17.0|-5.53|3.46|3.43|50.94|0.0|0.0|86.22|3.0|23.0|4.0|0.0|1.0|2.78|0.00113|0.0959|2.24|0.0|0.0|0.0009109999999999|-0.03538|4.5152|3.02|4.2045|404.27|0.57777|-1033.349218|0.1|-0.17345|-0.20883|-1033.398285|3498.0|2.62|5.5817
37_a18|0.0|0|0|0|0|2|1.251176176|-0.0013530679999999|-0.018808538|1|0.036746032|0.0|-0.385273662|0.002300582|10.94702064|0|0|0.003512954|-0.0276034839999999|-0.1483628609999999|-0.224171123|-0.44541772|0|0.7100921609999999|0.725028151|0.020848396|0|-0.074857954|0.385121249|0.009098426|-54.7389628|0.168216253|123.0060763|-0.0286221589999999|4.865006968|60.1335413|-36.62790634|-20.92960342|3055.795406|1571.7484060000002|-15.30451633|9.460456975|18.49074823|0.954530133|7035.839448000001|171.9311063|-1040.70711|-387.3755475|1.0|0.0|1.0|2.0|4.31|18.0|-8.82|3.68|3.3|76.5|2.0|1.0|151.14|7.0|36.0|3.0|0.0|0.0|2.93|2.08e-06|0.00161|4.36|0.0|0.0|7.27e-07|-0.04925|3.2127|8.11|3.2127|673.45|0.69305|-1532.553949|499.0|-0.13194|-0.18119|-1532.622404|3.0375|35.0|7.4559
