molecula|NaaNH|SaaNH|SssssC|NaasN|SRW09|nARing|BCUTs-1|AATSC1s|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|AATSC1pe|AATSC7i|MATS1i|GATS1are|BIC2|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA5|PPSA3|TPSA_x|WPSA3|RPCS|WNSA3|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|Egan filter|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
2_a20 (SB-505124)|1|3.485765306|-0.09011519|0|7.434257382|1|1.183764955|-0.076310057|1|0.05042042|0.013612077|0.0|-0.498602014|0.001622309|-0.177905025|-0.137383329|0.003789399|0.02072518|-0.150708132|0.827730504|0.725030162|0.082053195|0.765632979|0|0.7694360659999999|-0.117328885|-64.55966745|15.71798823|126.8667205|8.648749117000001|441.9400248|-25.30121848|-21.05206547|0.475937029|2195.369524|423.3785776|-968.3950117|1709.9571620000002|5.952040367|11.3574908|4762.83693|92.48561162|-532.854802|25.30541763|6.311425784|1.0|1.0|1.0|1.0|1.0|0.3|17.0|-7.22|4.47|60.03|0.0|1.0|3.0|25.0|-5.31|0.0|1.0|5.72e-06|0.0019199999999999|1.22e-05|0.0|0.0|2.03e-05|-0.03717|4.57|3.6404|-1089.371784|593.8|995.68|340.58|0.3267|340.58|505.82|-1089.147716|0.3267|-0.14928|-0.18645|0.01305739|-1089.201587|3.9392|6.7721|6.7721
14h_a23|0|0.0|0.0|2|7.423568444|0|1.197963488|0.006191846|2|0.04255787|0.0316908439999999|0.7290938920000001|-0.307907256|0.009895793|-0.024318144|-0.034313725|0.009266617|0.060820238|-0.0686282459999999|0.708395022|0.79263722|0.143102066|0.860920386|1|0.923430574|-0.081058742|-54.6468131|14.81983413|51.620282|9.990985411|86.83095818|-29.00823506|-22.76950546|0.48032488|3010.418229|622.5428245|-1092.936262|2371.16134|7.833334036|15.0735214|6722.809649|166.45047749999998|-736.8173055999999|30.23434844|12.79687369|0.0|1.0|1.0|1.0|1.0|0.04|26.0|-7.47|3.89|128.81|0.0|1.0|5.0|32.0|-6.62|0.0|0.0|2.09e-06|0.0009109999999999|1.27e-05|0.0|0.0|1.4800000000000002e-05|-0.08532|3.29|3.6689|-1722.1762399999998|699.86|1190.62|337.93|0.3424|306.09|569.53|-1721.9314420000003|0.2727|-0.15209|-0.2374099999999999|0.02796857|-1721.99264|13.4823|8.3468|8.3468
12ba_a36|1|3.389685532|0.0|0|7.412764017000001|2|1.297043659|0.026411489|2|0.040566449|0.087201747|0.0|-0.423472625|-0.002123045|0.003750685|-0.011949092|-0.000621302|0.159880159|-0.091676619|0.844641715|0.8256014690000001|0.041478447|0.890675195|0|0.849738126|-0.108410153|-73.03464847|16.57882744|101.229662|11.16896162|16.1479891|-37.76553687|-25.28122447|0.49229954|3035.390784|572.4586103999999|-1314.6236720000002|2492.5731100000003|7.409667253999999|14.59456478|6722.60947|197.4608731|-885.6465508|35.76372225|16.03205543|1.0|1.0|1.0|0.0|2.0|0.12|17.0|-6.72|1.63|116.78|0.0|1.0|5.0|33.0|-7.04|0.0|0.0|1.6800000000000002e-05|0.0072599999999999|5.65e-05|0.0|0.0|8.240000000000001e-05|-0.08446|2.79|3.0114|-1417.454721|687.23|1187.56|411.71|0.7436|236.13|547.82|-1417.187763|0.0009|-0.12587|-0.21033|0.02839417|-1417.249741|4.5448|7.6778|7.6778
13g_a6|1|3.457632039|0.0|0|6.842683282|0|1.424099171|0.004767264|2|0.043020833|0.03536788|1.648997541|-0.381325604|-0.002407131|0.073394284|-0.080022038|-0.000644109|0.061423911|-0.12414699|0.836982172|0.774238891|0.095969451|0.832753533|1|0.871972049|-0.091949419|-64.02222283|12.28038897|89.14285747|8.550546653|0.0|-35.98038956|-22.52633766|0.444443571|2929.039254|607.1336751|-1216.422234|3916.754765|7.968172425|14.34268783|6332.20768|184.0026638|-846.9662551000001|30.61752948|12.48355309|1.0|1.0|1.0|1.0|2.0|0.12|27.0|-10.57|4.79|103.17|0.0|0.0|6.0|33.0|-6.31|0.0|1.0|2.77e-06|0.0012|8.8e-06|0.0|0.0|1.15e-08|-0.07536|3.83|3.2472|-1386.611265|739.55|1253.71|381.82|0.8442|207.09|592.49|-1386.3020800000002|0.0105|-0.1327|-0.20806|0.03802398|-1386.364067|13.3225|6.9245|6.9245
8a_a8|1|3.150966553|0.0|1|7.535296702|1|1.400027874|-0.1950388569999999|1|0.040243056|0.027531877|0.0|-0.732911106|-0.0075336219999999|0.010118884|-0.0298924089999999|-0.005306541|0.044579097|0.055198015|0.76592324|0.762577159|0.089031731|0.8220300859999999|0|0.550829475|-0.118763303|-71.12928513|20.58762475|269.0155755|12.33026525|84.91322996|-47.27503672|-29.37948733|0.481294455|2802.374154|329.9007832|-1351.456417|1746.6927010000002|7.533378788999999|14.52342059|6193.891189|141.2206861|-809.4093564|38.44444383|15.44399996|0.0|1.0|1.0|0.0|2.0|0.05|23.0|-6.76|2.72|112.23|0.0|1.0|4.0|30.0|-7.04|0.0|0.0|3.99e-05|16.0|7.28e-05|0.0|0.0|6.96e-05|-0.06922|6.1|3.1039|-1367.776863|620.68|1061.5|399.45|0.2035|269.43|476.69|-1367.539526|0.1729|-0.13015|-0.19937|0.03213899|-1367.595683|6.8427|4.9454|4.9454
1_a1 (SKF-104365)|0|0.0|0.0|1|7.535296702|1|0.626769342|-0.01959813|1|0.0409444439999999|-0.091086986|0.0|-0.218014497|0.000663414|-0.10236005|0.11172918|0.002250781|-0.221214316|-0.123703409|0.57031697|0.7926983559999999|-0.015406451|0.857919181|0|0.8131557509999999|-0.081192283|-37.55389489|6.18316314|86.42113499|2.859900586|63.42504103|-14.547040099999998|-13.65596178|0.416807085|1997.193006|376.1092109|-450.6467387|1551.362941|5.2735884010000005|9.042613965|4225.4765640000005|134.2517831|-208.4377919|19.24066156|8.775956802|1.0|1.0|1.0|1.0|0.0|0.12|17.0|-6.0|4.28|56.01|0.0|1.0|2.0|21.0|-6.01|0.0|1.0|0.000159|0.0472|9.65e-05|0.0|0.0|0.000295|-0.03482|3.45|3.8901|-1279.084677|491.18|809.96|318.72|0.2178|318.72|358.09|-1278.971649|0.2178|-0.16142|-0.19624|0.02377006|-1279.017667|6.9338|5.7959|5.7959
13e_a6|1|3.433539068|0.0|0|6.842683282|0|1.429020445|-0.008507023|2|0.044021739|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|-0.037793156|-0.001446486|0.032420935|-0.126749697|0.841211811|0.765593573|0.102257199|0.827254552|1|0.861676601|-0.093298845|-62.36320497|12.28502792|92.4587065|8.211609879|0.0|-33.17101912|-22.01054293|0.4442079679999999|2868.489025|575.965487|-1122.537689|3457.565879|7.973429837999999|14.346067199999998|6147.8097210000005|185.4673146|-750.3313497|30.46313253|13.06309302|1.0|1.0|1.0|1.0|2.0|0.08|27.0|-10.18|4.53|103.17|0.0|0.0|5.0|32.0|-6.52|0.0|1.0|7.74e-06|0.00323|1.65e-05|0.0|0.0|2.75e-08|-0.07534|3.36|3.2475|-1347.297639|713.3|1202.5|381.78|0.8312|207.04|567.24|-1347.014564|0.0104|-0.1327|-0.20804|0.03809808|-1347.074898|13.2999|7.9208|7.9208
12ax_a36|1|3.429529478|0.0|0|7.412764017000001|2|1.280791885|-0.040458296|2|0.043383838|0.075802407|0.0|-0.414810497|-0.001012333|-0.057017299|-0.034663063|-0.00097037|0.128253871|-0.101451485|0.884841888|0.836170906|-0.0394369539999999|0.892249657|0|0.846837721|-0.107815607|-72.11700812|12.79462904|102.4490387|8.558226304|1.236876307|-32.99232962|-25.96212292|0.488501696|2926.929456|566.4430628|-1298.106146|2471.295987|7.563197245|14.78635841|6741.969187999999|157.28794140000002|-868.2929481000001|33.94393618|12.47158322|1.0|1.0|1.0|0.0|2.0|0.14|17.0|-7.76|3.19|69.2|0.0|1.0|5.0|31.0|-6.26|0.0|1.0|8.27e-06|0.00372|6.55e-06|0.0|0.0|7.83e-06|-0.05596|4.42|3.8889|-2152.130959|699.67|1182.31|318.82|0.5236|236.74|552.0|-2151.910753|0.4167|-0.15728|-0.21324|0.03044421|-2151.971761|6.0402|7.9208|7.9208
8a_a31|1|3.28085223|0.0|0|7.765993078999999|1|0.610138387|-0.158899731|0|0.043817204|-0.1480271209999999|0.0|-0.586331322|-0.013230176|-0.135144546|-0.01861065|-0.009293513|-0.258538098|-0.054025775|0.938325481|0.837862749|0.0502030679999999|0.895174844|0|0.594139864|-0.136459435|-67.46619355|18.56711239|200.6591816|9.179668678|465.4559302|-29.89286568|-20.61467025|0.4512945479999999|2128.209198|293.7455749|-742.1281291|1443.955093|5.83708559|10.63792161|4538.505909|164.9149565|-366.9116769|30.93264504|14.85788369|0.0|0.0|1.0|1.0|2.0|0.2|16.0|-5.33|2.54|114.29|0.0|2.0|3.0|22.0|-7.11|0.0|1.0|0.000269|0.0846|0.000773|0.0|0.0|0.00145|-0.02993|1.53|3.8097|-1347.541429|538.75|872.11|325.45|0.2604|325.45|396.15|-1347.3959220000002|0.2604|-0.1587599999999999|-0.18869|0.03432763|-1347.446223|5.3042|6.1024|6.1024
12_a3|0|0.0|0.0|0|6.823286122000001|0|0.605020506|-0.118456941|2|0.042795699|-0.120694579|2.07135708|-0.336455156|-0.006049098|-0.045382017|-0.069857022|-0.0045709459999999|-0.218774634|0.017902469|0.899733837|0.718481325|-0.039834906|0.784451598|1|0.829399708|-0.096133903|-45.63945658|5.258353635|80.99228663|2.496397166|76.23910943|-20.92463497|-18.79271742|0.463780604|2056.502939|393.75653|-638.9523922000001|1064.221958|5.6343192|10.50748861|4400.493202000001|80.50854774|-303.3418921|22.63041363|6.524083564|1.0|1.0|1.0|1.0|1.0|0.0|21.0|-6.89|4.01|92.93|0.0|1.0|2.0|22.0|-5.3|0.0|1.0|2.07e-06|0.000629|1.44e-05|0.0|0.0|3.9500000000000005e-05|-0.06361|2.94|3263.0|-1272.152002|515.23|847.25|379.97|0.5056|379.97|361.95|-1272.010995|0.5056|-0.13153|-0.19514|0.02620998|-1272.058487|3.1979|5.45|5.45
