molecula|NaaNH|n9FaHRing|SaaNH|SRW09|nAHRing|nARing|BCUTs-1|SaasN|MATS2c|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|GATS1are|MATS8s|SIC2|RASA|FNSA3|FNSA5|PBF|FPSA3|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|GRAVp|WNSA4|GeomRadius|GeomDiameter|PPSA1|WNSA2|DPSA4|DPSA1|DPSA2|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w MLOGP|Leadlikeness|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
12ao_a36|1|0|3.477902101|7.412764017000001|2|2|1.297043885|0.0|-0.058597382|-0.007081548|5.351858133|2|0.042739018|0.0895536619999999|0.0|-0.410729809|0.002782748|-0.113963585|10.94919858|1|1|0.003724542|0.1523047569999999|-0.095253274|-0.435820128|0.90500247|0.040831815|0.8800240009999999|0.832582759|-0.077866573|-0.1019516769999999|0.264688501|0.017784426|85.17634667|110.7707502|-0.03775988|7.785557064|0.0|0.7820981779999999|-2.039033535|-34.08795068|-24.98362913|2794.663089|-16.53028876|8.769931502999999|16.33039817|144.1736112|-892.6355932|31.9443643|-373.2975961|1724.9956719999998|1.0|0.0|0.0|1.0|2.0|4.87|0.12|17.0|-7.01|2.38|1.0|133.84|1.0|-4.58|31.0|-6.34|407.47|0.0|0.0|2.37|2.6e-05|0.0115|0.0|9.66e-08|3.94e-05|-0.05455|4.6597|3.83|-1310.361099|-1310.328652|701.9|1190.17|0.6249|266.08|0.4962|0.7045|-1310.077853|-0.14207|5.4691|0.03244719|-1310.138396|7.447999999999999|0.03|7.5229|7.5229
47l_a18|0|0|0.0|7.03438793|1|1|1.251176792|0.0|0.0340353029999999|-0.006400878|4.844187086|0|0.035308642|-0.0057783619999999|0.0|-0.428858819|-0.00046896|-0.010426981|10.94702063|0|0|0.000787517|-0.008768679|-0.103458566|-0.4925232479999999|0.7452092359999999|0.00676294|0.781148177|0.803473313|-0.08034939|-0.083884237|0.2820044969999999|0.009199889|11.54768766|139.7861865|-0.031456589|4.654446622|51.44279524|0.796109347|-2.0132216990000003|-40.65070014|-22.37455223|2852.093627|-15.91464944|9.423637134|18.46922943|145.02405359999997|-1018.537564|28.10487315|-421.235376|1798.711882|1.0|1.0|0.0|1.0|3.0|4.17|0.25|18.0|-9.37|2.94|3.0|139.63|1.0|-5.26|34.0|-6.39|454.56|0.0|0.0|2.72|5.44e-06|0.0066099999999999|0.0|4.26e-10|1.93e-07|-0.0520399999999999|3.2026|7.71|-1455.5758039999998|-1455.5497369999998|764.74|1334.6|0.5019|387.13|0.69291|0.69291|-1455.165122|-0.1314|2.4594|0.02606651|-1455.233431|3.3864|32.0|7.4949|7.4949
4S4k_a46|0|0|0.0|7.825245291|1|1|1.134637098|2.145043462|-0.050636784|-0.0049602|5.587248657999999|1|0.0510113959999999|-0.104665424|0.0|-0.252970193|0.006550513|-0.1149361969999999|10.94631314|1|1|0.006050983|-0.158788415|0.008544799|-0.3860697829999999|0.78837943|-0.003017362|0.787615341|0.891734458|-0.089589915|-0.0860536609999999|0.199356973|0.007749296|172.7607401|57.39060501|-0.030477338|2.177526049|0.0|0.8679099640000001|-1.46291223|-25.17446332|-16.15576699|2105.538282|-8.564028983|5.523352655|10.26616763|70.01975807|-411.0733912|18.61456563|-390.0516264|893.4991504000001|1.0|1.0|0.0|1.0|1.0|3.8|0.33|17.0|-6.61|2.84|1.0|100.96|1.0|-4.82|25.0|-5.46|333.43|0.0|1.0|3.79|1.5e-05|0.0049299999999999|0.0|2.48e-07|8.28e-05|-0.02074|5.2854|4.52|-1053.441953|-1053.415665|566.82|997.07|0.2623|234.58|0.5716|0.67893|-1053.202208|-0.17396|2.2655|0.02628818|-1053.255345|2.5693|197.0|6.7055|6.7055
17d_a50|0|1|0.0|8.105609402|2|2|1.338814635|4.380250483|-0.152030219|-0.002166617|6.042632834|1|0.031990741|0.006071856|2.234730384|-0.140830095|0.012079|-0.136180713|10.94500663|2|2|0.01245647|0.009780681|-0.200725906|-0.2294807539999999|0.754575205|-0.1921395789999999|0.789310938|0.929886823|-0.044172353|-0.069790853|0.8020670809999999|0.0152123589999999|5.007868064|48.62532158|-0.025589979|7.31681784|86.38197811|0.75405703|-1.535398758|-21.24595322|-17.74731987|2824.70142|-12.30823045|6.996105516|12.62170017|170.5678813|-738.4938272999999|23.53577933|-352.3903892|1412.14676|0.0|1.0|1.0|1.0|0.0|4.07|0.35|20.0|-7.07|2.71|2.0|133.19|1.0|-4.5|32.0|-6.25|424.54|0.0|0.0|3.68|3.17e-05|0.00557|0.0|8.55e-08|3.63e-05|-0.03251|4.0506|3.41|-1335.989008|-1335.962757|727.15|1263.22|0.1819|306.09|0.66103|0.66103|-1335.649722|-0.16716|5.6557|0.02625058|-1335.713194|7.9942|74.0|7.1308|7.1308
12b_a50|0|1|0.0|7.927685046000001|1|1|1.397986833|4.058595679|-0.19841119|-0.002929899|5.82008293|1|0.034845679|-0.08032584|2.112397566|-0.125985651|0.01164808|-0.101728189|10.94501743|2|2|0.011790103|-0.139522815|-0.168032508|-0.246831987|0.699597776|0.009081884|0.8718949979999999|0.925916085|-0.045602469|-0.066155918|0.24516882|0.0214891|8.07905572|37.24447201|-0.0237482779999999|5.43117764|86.49656508|0.5731907470000001|-0.926182858|-11.52561607|-11.93905701|2224.116359|-6.002164865|5.7232816060000005|10.05480253|214.5713436|-234.0844297|20.82911679|-73.59089223|812.3355548|1.0|1.0|0.0|1.0|0.0|3.31|0.11|20.0|-5.49|2.02|0.0|94.69|2.0|-3.16|24.0|-6.44|313.36|0.0|1.0|2.59|0.000685|45.0|0.0|3.22e-06|0.00101|-0.02974|4.7089|2.47|-1006.664619|-1006.641541|539.15|909.8|0.2425|263.3|0.6016199999999999|0.6581|-1006.501585|-0.16451|4.0567|0.02307802|-1006.550688|5.6617|4.74|5.3242|5.3242
3_a27|0|0|0.0|6.605297921|0|0|1.402697639|3.127072625|0.124551908|-0.00648099|4.59511985|2|0.040512821|-0.172132163|1.177265999|-0.27868256|0.009082086|0.042659548|10.93782973|1|1|0.00955169|-0.296039263|-0.1984716939999999|-0.479874452|0.640545265|0.136381755|0.8759548629999999|0.862115922|-0.06145119|-0.086153958|0.397733752|0.019234305|10.71226495|71.40072181|-0.032307734|5.157668895|57.97805043|0.733853752|-1.292309364|-16.47810502|-16.72996312|2294.213272|-8.663302268999999|6.457886343999999|11.64968556|137.8189165|-346.53209080000005|22.79740761|-242.1936891|911.8963045|1.0|0.0|1.0|0.0|0.0|3.03|0.05|21.0|-5.89|2.18|0.0|97.71|2.0|-3.7|25.0|-6.41|329.36|0.0|1.0|2.74|0.0002|0.0339|0.0|1.29e-06|0.000423|-0.05512|5.5045|4.92|-1081.905135|-1081.88481|547.92|931.06|0.2305|225.24|0.34864|0.6734600000000001|-1081.744053|-0.16457|2.7811|0.02032437|-1081.794829|4.1551|4.0|8.3979|8.3979
12w_a36|1|0|3.3131307480000003|7.412764017000001|2|2|1.24014105|0.0|0.081390556|-0.015825416|5.351858133|2|0.041555556|0.041058884|0.0|-0.917874106|-0.011700732|-0.041402825|10.96020797|1|1|-0.007897954|0.115646674|-0.1187503719999999|-0.604676196|0.647732719|-0.098657593|0.8792981679999999|0.828363244|-0.086826396|-0.111267166|0.532980165|0.021104445|112.947763|123.23411609999998|-0.041210062|10.87965823|0.780959767|0.70536279|-2.225343322|-44.76031023|-29.58856606|3230.870697|-21.24440511|8.365472166|15.701847400000002|211.5476713|-1147.197876|41.94801097|-294.8983941|2265.1925920000003|1.0|0.0|1.0|1.0|2.0|4.82|0.17|17.0|-7.14|2.04|2.0|130.43|1.0|-5.2|34.0|-6.4|465.43|0.0|0.0|2.65|6.26e-06|4.0|0.0|7.24e-08|3.37e-05|-0.05326|3.8881|4.86|-1645.202839|-1645.169951|712.88|1198.72|0.4508|318.88|0.69466|0.69466|-1644.953222|-0.15708|5043.0|0.0328886|-1645.017691|7.0746|23.0|7.6383|7.6383
6_a4|0|0|0.0|7.535296702|1|1|1.271761557|2.170234316|-0.19701009|-0.001221193|5.4161004020000005|2|0.035283951|0.042096749|2.186806868|-0.064723237|0.011457667|0.0032928379999999|10.92992785|1|1|0.01098094|0.0671397079999999|-0.046166422|-0.1738111839999999|0.664591856|-0.169533683|0.810030118|0.945545838|-0.052396457|-0.0670158929999999|0.417868437|0.0077624059999999|14.1731579|30.33467048|-0.024618083|2.408866521|45.93422613|0.814470803|-1.206286076|-16.25991695|-13.71394596|2342.371538|-7.639600225|5.758624844|9.981741408|103.3523757|-374.340411|16.83786074|-350.36323230000005|825.0551765|0.0|1.0|1.0|1.0|0.0|3.38|0.26|21.0|-7.99|3.09|2.0|109.7|1.0|-4.91|27.0|-5.42|354.45|0.0|1.0|4.23|1.24e-05|0.00274|0.0|1.04e-08|3.67e-06|-0.04867|4.8714|4.11|-1108.585859|-1108.563418|613.83|1057.7|0.1235|254.51|0.60542|0.5877|-1108.338577|-0.16959|2.8026|0.02244097|-1108.392115|3.2192|1.3|5.8861|5.8861
12v_a30|0|0|0.0|7.412764017000001|2|2|0.604983445|0.0|0.037440652|-0.006974714|5.351858133|2|0.04625323|-0.099831334|0.0|-0.369659818|0.002431329|0.020607357|10.31162873|1|1|0.001805829|-0.173424818|-0.0493878409999999|-0.471153275|0.8149999040000001|-0.029852321|0.889479916|0.8501212029999999|-0.077138874|-0.0971402169999999|0.404950755|0.015823709|82.09302037|101.4008026|-0.037666615|7.242869835|0.0|0.806069067|-1.845664126|-35.30820865|-25.48342433|3001.758432|-17.2408622|8.114588039|15.56114504|131.2043645|-844.8022477|31.6144427|-414.1432908000001|1549.107692|1.0|0.0|1.0|1.0|1.0|4.62|0.14|17.0|-7.8|3.79|2.0|137.3|1.0|-6.58|31.0|-5.52|467.37|0.0|1.0|3.59|2.64e-07|0.0004269999999999|0.0|1.58e-08|7.39e-06|-0.0563|3.5507|5.08|-2494.963646|-2494.92869|715.58|1209.1|0.1601|349.18|0.68405|0.68405|-2494.739831|-0.1505099999999999|2.9171|0.03495552|-2494.802821|4105.0|22.0|7.6596|7.6596
1m_a5|1|0|2.934162514|6.605297921|0|0|1.3047206409999998|0.0|-0.252787668|-0.002410445|4.59511985|2|0.026339869|-0.07112464|0.0|-0.096417794|0.006422789|-0.10797859|10.94856032|1|1|0.00520748|-0.118494698|0.042813643|-0.2274929269999999|0.691858366|0.077347244|0.851987765|0.8823955520000001|-0.070959368|-0.071478865|0.429612762|0.009030414|154.6334216|61.95289543|-0.028977918|2.506013299|0.235629561|0.73847373|-1.072182971|-19.69180207|-15.26528941|2183.167528|-8.041608085|6.911100301|13.35855701|137.7695311|-297.5394992|20.67140479|-251.2513491|764.8419772000001|1.0|1.0|0.0|1.0|1.0|2.69|0.0|23.0|-8.63|2.4|1.0|95.5|1.0|-4.52|24.0|-5.71|332.79|0.0|1.0|3.63|2.99e-05|0.00607|0.0|2.35e-09|7.82e-07|-0.0507699999999999|4.6678|3.48|-1410.912452|-1410.88022|553.42|926.13|0.5497|265.61|0.4527899999999999|0.45426|-1410.783167|-0.1778|1939.0|0.03223201|-1410.833395|2.4582|43.0|7.3665|7.3665
