molecula|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
14ad_a23|0|1|2|7.423568444|0|0|3.3437482860000003|-0.00790478|-0.028065075|2|0.118047355|0.008996289|10.31321689|-0.031279567|2|2|0.009675528|0.2086248289999999|-0.143336826|-0.253318853|-0.376350719|2|0.7763406840000001|0.7830067820000001|-0.050707765|0.8356326820000001|0.7317531540000001|1|-0.059168372|-0.085840335|0.033831691|-42.29008971|-61.35364811|52.63180108|0.112868365|80.67170209999999|-0.029653934|0.575880959|-1.630966366|-30.226481300000003|-21.19489662|66.47100256|0.46995189|3209.330728|2339.533586|-15.14887177|7308.229822|-833.1879476|0.033365494|-108.4705382|2024.236598|23.84770234|0.0|0.0|1.0|1.0|1.0|1.0|3.73|0.12|26.0|-7.6|3.48|4.03|2.42|0.0|1.0|-5.8|34.0|-6.68|0.0|0.0|3.39|-5.08|1.6e-06|8.22e-06|0.0|0.0|-0.06925|3.3867|3.3867|-1858.957788|1287.26|366.09|0.6956600000000001|0.6956600000000001|-0.13734|5.2331|-0.20659|0.01481488|-1858.733603|4.0|8.3595
27_a47|0|1|1|6.842683282|1|1|2.041063341|-0.003631596|0.006768957|3|-0.067535989|0.001861676|10.95005714|0.013336016|1|1|0.002350172|-0.137440913|-0.077485193|-0.157688306|-0.280944221|2|0.6636125860000001|0.804224077|0.023325573|0.8517043879999999|0.634406338|1|-0.0630454209999999|-0.079484997|0.016506051|-40.35526807|-50.87821306|20.73428323|0.153530114|98.27436776|-0.028494622|0.700732763|-1.510214943|-25.8313393|-18.2393594|50.9207639|0.475450742|2804.020752|2181.236691|-11.67498331|6433.288104|-618.7741154|0.018969968|-256.9774086|1379.535965|12.14264461|1.0|1.0|0.0|1.0|1.0|2.0|3.37|0.26|21.0|-8.82|4.18|5.07|3.11|0.0|1.0|-4.81|31.0|-6.34|0.0|0.0|3.91|-5.05|1.5399999999999998e-05|8.89e-06|0.0|0.0|-0.05814|4.9358|3.8125|-1778.1049670000002|1165.54|251.19|0.40976|0.69381|-0.1578|4.0365|-0.21594|0.02633483|-1777.891054|2512.0|5.6
15_a47|1|1|0|6.605297921|0|0|0.0|-0.00516949|-0.072588375|2|-0.130885389|-0.0026314909999999|10.9497222|0.0506476009999999|1|1|-0.002377481|-0.299654464|-0.007670908|-0.017562097|-0.332654104|2|0.644280611|0.830688568|0.081171071|0.897881853|0.614613723|1|-0.084413593|-0.0904066519999999|0.016669157|-45.1562696|-48.36220049|61.0548099|0.208246323|111.3994409|-0.033307714|0.711630105|-1.265693121|-24.15592798|-17.81765281|54.07328082|0.477646539|2327.320914|869.1027727|-9.531388265|5075.773767000001|-362.1927541|0.021370407|-226.4191275|951.4364299|11.43190096|1.0|1.0|0.0|1.0|1.0|2.0|2.89|0.06|21.0|-8.49|4.69|5.28|2.83|0.0|1.0|-4.89|25.0|-5.76|0.0|0.0|3.74|-4.85|1.29e-05|1.41e-05|0.0|0.0|-0.0591799999999999|4.3312|4.0594|-1527.4104|930.51|286.26|0.67203|0.68008|-0.16762|2.2271|-0.2268|0.03425526|-1527.316555|16.0|7.8
17d_a50|0|1|2|8.105609402|2|2|4.380250483|-0.002166617|0.03538699|1|0.006071856|0.012079|10.94500663|-0.125540541|2|2|0.01245647|0.009780681|-0.200725906|-0.323333765|-0.2294807539999999|1|0.754575205|0.748516466|-0.2177003589999999|0.789310938|0.7276268779999999|1|-0.044172353|-0.069790853|0.0152123589999999|-30.63468215|-48.40178147|5.007868064|0.070113177|48.62532158|-0.025589979|0.75405703|-1.535398758|-21.24595322|-17.74731987|41.18485076|0.445708152|2824.70142|2950.99157|-12.30823045|6281.764548|-738.4938272999999|0.013178555|-352.3903892|1412.14676|9.139672835|0.0|1.0|1.0|1.0|1.0|0.0|4.07|0.35|20.0|-7.07|4.0|4.29|2.71|0.0|1.0|-4.5|32.0|-6.25|0.0|1.0|3.68|-4.88|3.17e-05|1.31e-05|0.0|0.0|-0.03251|4.0506|4.0506|-1335.989008|1263.22|306.09|0.66103|0.66103|-0.16716|5.6557|-0.19967|0.02625058|-1335.713194|74.0|7.1308
12aw_a36|1|0|0|7.412764017000001|2|2|0.0|-0.008293935|-0.115864198|2|0.066435701|-0.006877664|10.96021804|-0.034663063|1|1|-0.004358975|0.169961228|-0.098027247|-0.250781298|-0.4191703539999999|1|0.653741315|0.836170906|-0.056676035|0.892249657|0.632625562|0|-0.088516379|-0.114701005|0.023038651|-56.73814908|-73.52224315|54.50894809|0.2938251289999999|188.3390873|-0.041292362|0.749052287|-2.06461809|-36.36860892|-26.46800754|71.5057033|0.47322369|2901.451841|2380.579051|-16.96573876|6370.06138|-848.2869380000001|0.02161528|-319.2802512|1766.7663510000002|13.8551867|1.0|0.0|0.0|1.0|0.0|2.0|4.73|0.14|17.0|-7.12|3.55|3.0|2.78|0.0|1.0|-3.99|31.0|-6.8|0.0|1.0|2.44|-4.32|0.000102|4.81e-05|0.0|0.0|-0.05513|5.2313|3.8763|-1431.404673|1120.43|237.0|0.38905|0.69109|-0.15688|4.8181|-0.21201|0.03134789|-1431.239759|9.0|8.0458
9_a47|0|0|0|0.0|0|0|0.0|-0.008501246|-0.1789147139999999|2|-0.043270202|-0.009607222|10.93671087|0.045804989|0|0|-0.007880155|-0.091848897|-0.021556658|-0.045757939|-0.4477815529999999|2|0.7033922579999999|0.792070785|0.075092937|0.853035126|0.689770023|1|-0.084368438|-0.0969292319999999|0.009540986|-44.13640712|-50.70744657|107.3271659|0.194850031|101.9336202|-0.036925422|0.790651977|-1.550867715|-23.08946904|-19.3171225|49.12766732|0.482896681|2292.652212|1333.091472|-10.10553715|5212.504394|-424.4325604|0.015793737|-304.1026787|1026.1394|8.262317504|1.0|1.0|0.0|1.0|1.0|2.0|2.87|0.05|22.0|-8.47|4.61|5.61|2.99|0.0|1.0|-5.37|26.0|-5.26|0.0|0.0|4.09|-5.2|4.29e-06|6.3e-06|0.0|0.0|-0.05037|5.7429|3.7183|-1149.090086|959.59|215.89|0.3885099999999999|0.69084|-0.1545099999999999|2.2966|-0.20488|0.03463008|-1148.949486|25.0|7.6
14a_a22|0|0|1|6.842683282|0|0|1.646649187|-0.0050042229999999|-0.052476637|2|0.021482585|0.005288335|10.9464374|-0.015194063|1|1|0.005757758|0.036467904|-0.097476465|-0.165471815|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.027029438|0.794858486|0.655865336|1|-0.062215607|-0.081479363|0.021268761|-42.39063895|-55.51601021|93.21042936|0.135922381|92.61079081|-0.031338217|0.7007904070000001|-1.629587269|-28.88288575|-21.35231162|56.88212098|0.446584227|2885.858295|2169.870866|-14.54840956|6348.976909|-756.5172972|0.021742777|-273.61731430000003|1584.38271|14.81445329|1.0|1.0|1.0|1.0|1.0|1.0|3.42|0.08|27.0|-9.21|3.87|4.31|1.73|0.0|1.0|-4.65|32.0|-6.61|0.0|0.0|3.19|-4.68|2.25e-05|2.1e-05|0.0|0.0|-0.06145|5.0653|3.5707|-1368.35698|1191.81|244.77|0.45928|0.63156|-0.15029|4.9775|-0.21174|0.03539365|-1368.13858|38.0|7.4202
4R4l_a46|0|0|1|7.825245291|1|1|2.155247543|-0.004736212|-0.075241716|1|-0.067419714|0.0066560469999999|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0|-0.090505744|-0.084697739|0.007084496|-49.12015477|-45.96797819|177.33836430000002|0.103346328|56.0891211|-0.02989332|0.8782984840000001|-1.524559305|-26.65896664|-16.223992300000003|52.96512128|0.4568839389999999|2165.83681|1766.0974600000002|-8.805242402000001|4923.057044|-449.0673625|0.006401537|-410.6276419|942.0756413|3.474304058|1.0|1.0|1.0|1.0|1.0|1.0|3.92|0.36|17.0|-7.0|4.64|5.02|3.06|0.0|1.0|-5.28|26.0|-5.23|0.0|1.0|4.09|-5.11|5.25e-06|7.78e-06|0.0|0.0|-0.0212699999999999|4.6497|4.1152|-1092.75416|1038.78|266.65|0.40548|0.67823|-0.17475|2.1973|-0.19602|0.02589231|-1092.544322|137.0|6.8633
13_a12|0|0|0|0.0|0|0|0.0|-0.0069874069999999|-0.0619247109999999|2|-0.21832579|0.000830398|10.96083169|0.021322992|0|0|0.002279068|-0.362308767|-0.169387652|-0.281096572|-0.595629719|2|0.845823047|0.6809340620000001|0.039235452|0.7300173240000001|0.804066411|0|-0.058167326|-0.092483398|0.008188151|-28.51381164|-45.33566159|64.74666684|0.09993609|48.98899535|-0.034993718|0.8829921740000001|-1.2947675790000002|-13.97756285|-17.15403411|32.52766981|0.466560112|1812.788134|664.9830294|-8.408963103|3647.657976|-311.13163480000003|0.0074597119999999|-375.4880089|718.8050825|3.656774794|1.0|1.0|0.0|0.0|1.0|1.0|2.7|0.12|18.0|-7.14|3.63|3.9|2.42|0.0|1.0|-4.26|21.0|-5.49|0.0|1.0|3.22|-4.2|5.520000000000001e-05|6.3e-05|0.0|0.0|-0.04445|4.5363|3.9329|-876.3661620999999|867.79|273.31|0.6622399999999999|0.64974|-0.16458|1.3023|-0.20903|0.0290811829999999|-876.258343|93.0|7.0315
17c_a50|0|1|2|7.934155233999999|2|2|4.349159921|-0.002676029|0.024219848|2|0.021572081|0.01130519|10.94500663|-0.120904775|2|2|0.012222674|0.034485992|-0.233451925|-0.373205592|-0.2256811219999999|1|0.762883243|0.774994313|-0.212611846|0.816442883|0.728169863|1|-0.051905615|-0.073693343|0.021675174|-35.70979598|-50.69922125|133.46240020000002|0.10280106|70.72462009999998|-0.021745577|0.569750429|-1.32648017|-24.567468100000003|-14.96042594|50.6217864|0.49503436|2951.495914|2014.72331|-10.29240792|6438.380804|-627.8368834|0.0232952879999999|-95.97318605|1601.729346|16.02658985|0.0|1.0|1.0|1.0|1.0|0.0|4.12|0.35|20.0|-6.79|3.59|3.53|1.91|0.0|1.0|-3.8|33.0|-6.96|0.0|1.0|3.1|-4.43|0.000158|3.75e-05|0.0|0.0|-0.03121|4.2397|4.0432|-1411.187392|1289.05|292.44|0.63122|0.66213|-0.16697|6.3989|-0.19818|0.02957871|-1410.902767|69.0|7.1612
