molecula|NaaNH|n9FaRing|NaasN|SRW09|nAHRing|nARing|SaasN|AATSC1c|AATSC1s|n6HRing|MATS7i|AATSC1are|BCUTi-1|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|MOMI-Z|WNSA4|GRAV|WNSA2|FPSA5|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|PAINS|Lipinski|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Wavelength (max. Transition) (nm)|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
11f_a5|1|0|0|6.605297921|1|1|0.0|-0.0037371509999999|0.022233547|3|-0.083432989|0.00722997|10.94877949|-0.0080939669999999|1|1|0.008309782|-0.1323098|-0.128153787|-0.203228986|-0.230681941|2|0.785419245|0.756843253|-0.016518403|0.800575032|0.750555185|0|-0.068361657|-0.074612137|0.0221464629999999|-47.57801621|-51.92819555|70.39517801|0.152643862|106.23633909999998|-0.022252743|0.5109475960000001|-1.268406334|-33.11311829|-15.48735657|62.99140465|0.463183664|2853.401015|1125.122028|-10.77881574|5969.213977|-614.3924972|0.030351311|-15.23851001|1727.7296760000002|21.12375879|0.0|1.0|1.0|1.0|1.0|1.0|3.35|0.24|23.0|-8.67|4.61|3.53|1.03|0.0|1.0|-3.95|32.0|-6.99|0.0|1.0|2.95|-4.26|0.000112|5.479999999999999e-05|0.0|0.0|-0.03862|4.4523|4.1356|-1391.7602960000002|1239.35|278.47|0.6593600000000001|0.64937|-0.1691|2.1313|-0.20772|0.03804804|-1391.50739|12.0|7.9208
7g_a8|1|0|1|7.535296702|1|1|1.336155045|-0.01002363|-0.067360394|0|-0.030968098|-0.00087806|10.9431888|-0.027717137|1|1|0.0002620309999999|-0.065174707|0.021974492|0.046246982|-0.418049442|0|0.627990269|0.7363841520000001|-0.044866536|0.79995525|0.606087461|0|-0.107714754|-0.1122315669999999|0.031841955|-64.55562181|-67.26263865|144.290464|0.300623857|180.1699331|-0.045912914|0.806738465|-2.020168201|-38.68948451|-27.51653399|83.63914665|0.470618047|2802.2242920000003|2079.55195|-16.4912131|6293.364606|-725.6133762000001|0.018613449|-367.6690814|1500.768277|11.15541466|1.0|0.0|1.0|1.0|0.0|1.0|3.29|0.04|23.0|-7.91|4.94|4.66|3.4|0.0|1.0|-5.78|30.0|-5.63|0.0|0.0|4.14|-5.44|1.67e-06|3.59e-06|0.0|0.0|-0.06621|3.7874|3.7874|-1374.493069|1053.9|327.36|0.62073|0.62073|-0.15508|10.1546|-0.22129|0.03974865|-1374.3479960000002|21.03|4.6772
19e_a38|1|0|0|7.412764017000001|2|2|0.0|-0.007550899|-0.10490608|2|0.021678225|-0.001197042|10.94917392|-0.038386106|1|1|0.000347207|0.045449529|-0.091460175|-0.191751024|-0.436305701|1|0.723755855|0.839953955|-0.064035403|0.89459881|0.700181525|0|-0.083623427|-0.10214405|0.02118651|-56.34606212|-68.82539051|118.734325|0.223437407|150.553721|-0.03783113|0.749190974|-2.042881001|-37.96637911|-25.49088538|70.62168376|0.4655978389999999|2920.436229|3426.997928|-17.17594064|6531.762734|-927.5007945|0.020114756|-335.8133169|1837.325672|13.55346651|1.0|0.0|1.0|1.0|1.0|3.0|4.96|0.12|17.0|-7.28|4.03|3.09|2.75|0.0|1.0|-4.94|32.0|-6.39|0.0|0.0|3.3|-4.72|1.15e-05|1.89e-05|0.0|0.0|-0.05139|5.2322|3.8587|-1409.582478|1183.12|236.96|0.41961|0.58509|-0.15584|5.8426|-0.20723|0.03483011|-1409.37733|0.01|8.0083
4S4l_a46|0|0|1|7.825245291|1|1|2.155247543|-0.004736212|-0.075241716|1|-0.067419714|0.0066560469999999|10.94631401|-0.161358058|1|1|0.006162668|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|1|0.7940662409999999|0.726535412|-0.229089688|0.762625193|0.7936534740000001|0|-0.090807851|-0.084663086|0.007140583|-49.45536962|-46.10883478|178.19783940000002|0.105217893|57.30330315|-0.029881089|0.877939134|-1.523935543|-26.93416438|-16.27370639|53.34424204|0.469439238|2166.052483|1744.8220399999998|-8.862913904|4920.211524|-452.0086091|0.006420439|-411.6630752|945.3491632|3.496670823|1.0|1.0|1.0|1.0|1.0|1.0|3.92|0.36|17.0|-7.0|4.64|5.02|3.06|0.0|1.0|-5.28|26.0|-5.23|0.0|1.0|4.08|-5.11|5.25e-06|7.78e-06|0.0|0.0|-0.02015|5.2929|4.1414|-1092.753999|1040.96|234.25|0.57885|0.6763600000000001|-0.17632|2.5083|-0.19647|0.02696794|-1092.543641|261.0|6.5834
3_a47|0|0|0|0.0|0|0|0.0|-0.008740449|-0.130414103|2|-0.013350303|-0.008828261|10.93671092|0.013073797|0|0|-0.007967014|-0.021029826|-0.015388793|-0.024240921|-0.457330633|2|0.900251233|0.720319618|0.022804181|0.780628097|0.815682427|1|-0.083129079|-0.0948001|0.008609292|-43.59237092|-49.71258151|98.29790989|0.145272519|76.18000386|-0.036461577|0.7849694909999999|-1.422001494|-22.85956767|-19.12022366|48.10703|0.403777634|2243.894237|1280.146703|-10.02652614|5022.029588|-391.0345195|0.016230658|-298.8724505|949.95886|8.511255722000001|1.0|1.0|0.0|1.0|1.0|2.0|2.59|0.0|22.0|-8.42|4.32|5.4|2.88|0.0|1.0|-5.54|25.0|-5.16|0.0|1.0|4.02|-5.35|2.86e-06|4.49e-06|0.0|0.0|-0.05717|5.6998|3.7284|-1470.137664|941.44|217.52|0.52977|0.69138|-0.15473|4.0226|-0.2119|0.03619487|-1470.0192869999998|316.0|6.5
1l_a5|1|0|0|6.605297921|0|0|0.0|-0.00183668|-0.0052651969999999|2|-0.111303801|0.008244856|10.94421389|-0.05139414|1|1|0.007613233|-0.179824092|0.0271820189999999|0.043915678|-0.21108114|2|0.7245669790000001|0.7656671279999999|-0.091849662|0.818803517|0.71872376|0|-0.068685233|-0.067755283|0.0078543119999999|-38.79937717|-38.27406105|167.86839980000002|0.109710998|61.974288|-0.026512937|0.769406114|-1.219595099|-21.91725365|-14.9768065|43.23617395|0.47265823|2227.730859|903.1631908|-8.460199385|4665.793689|-389.1691717|0.013054186|-304.3678822|895.4089219|7.374136537999999|1.0|1.0|0.0|1.0|1.0|1.0|2.98|0.14|23.0|-8.83|5.56|5.32|2.57|0.0|1.0|-5.04|26.0|-5.4|0.0|1.0|4.06|-4.98|9.06e-06|1.04e-05|0.0|0.0|-0.04149|4.6403|4.3664|-1069.261615|1033.47|267.19|0.45892|0.57392|-0.1779|2.1987|-0.21939|0.03182983|-1069.101032|32.0|7.4949
9a_a36|1|0|0|7.412764017000001|2|2|0.0|-0.007853595|-0.046964839|2|0.095192109|0.0034852859999999|10.96066876|-0.06502499|1|1|0.00484375|0.160672128|-0.12019672|-0.202876718|-0.398235589|1|0.839235677|0.7885597609999999|-0.1177413269999999|0.842671963|0.79302567|0|-0.073689118|-0.10869601|0.0236784079999999|-45.04449811|-66.44342306|49.52042402|0.1734403769999999|106.0201967|-0.039929147|0.7638345870000001|-1.956528182|-27.53468726|-24.40778806|59.5185754|0.453098452|2682.572663|2167.77208|-14.91993116|5693.562367|-731.0766269999999|0.019513779|-322.5522826|1565.759963|11.92833382|1.0|0.0|0.0|1.0|0.0|1.0|4.69|0.14|17.0|-6.28|3.04|2.04|2.02|0.0|1.0|-3.71|29.0|-6.74|0.0|1.0|1.95|-3.99|0.000197|0.000102|0.0|0.0|-0.05044|3.8677|3.8677|-1252.802159|1092.66|320.56|0.68682|0.68682|-0.15925|5.7274|-0.20969|0.02701893|-1252.636005|13.0|7.8861
18_a47|1|1|0|6.605297921|0|0|0.0|-0.004337918|-0.06345679|3|-0.026357805|0.0008454789999999|10.93838451|-0.016728205|1|1|0.0015586929999999|-0.056674151|-0.02470455|-0.053119347|-0.322800033|3|0.646771311|0.792196273|-0.027351545|0.851462739|0.630969651|1|-0.078937385|-0.084415066|0.014741763|-49.44908758|-52.88049505|70.55642796|0.222175975|139.1786571|-0.0303894239999999|0.7327484470000001|-1.5194711930000002|-30.97660579|-19.03697822|58.68383399|0.432077184|2800.3745940000003|2184.962887|-11.9254166|6261.441874|-596.2708299|0.017318402|-291.6032324|1299.011844|10.84884165|1.0|1.0|0.0|1.0|1.0|2.0|3.47|0.08|27.0|-10.36|5.53|6.0|2.63|0.0|0.0|-5.5|31.0|-5.87|1.0|0.0|4.16|-5.37|3.13e-06|4.29e-06|0.0|0.0|-0.04964|4.2668|4.2222|-1354.221126|1130.76|290.58|0.4659|0.63359|-0.17349|3.4464|-0.22313|0.04031146|-1354.037606|3.0|8.6
16_a47|1|1|0|6.605297921|0|0|0.0|-0.0056780519999999|-0.1246612469999999|2|-0.08282926|-0.005688938|10.95023129|0.0506476009999999|1|1|-0.004153659|-0.236994128|-0.02006804|-0.0574194159999999|-0.3379683979999999|2|0.591929006|0.812131575|0.081171071|0.87782381|0.57616624|1|-0.093207587|-0.092995116|0.0186711289999999|-48.30620628|-48.19609034|63.13219447|0.308139547|159.6978638|-0.034261359|0.697929921|-1.301931629|-25.03540372|-17.75645434|57.9827944|0.473257697|2315.178558|833.8646097|-9.202544293|4952.972679|-349.69668310000003|0.0234786339999999|-205.1602001|966.7808252999998|12.16814835|1.0|1.0|0.0|1.0|1.0|2.0|2.93|0.06|21.0|-8.17|4.47|5.19|2.72|0.0|1.0|-4.34|25.0|-6.04|0.0|0.0|3.52|-4.42|4.56e-05|3.84e-05|0.0|0.0|-0.05717|4.4393|4.0806|-1167.046301|894.43|279.29|0.59209|0.6743899999999999|-0.16851|2.3795|-0.22568|0.03384512|-1166.951551|1.0|9.0
12b_a5|0|0|0|6.605297921|2|2|0.0|-0.001991527|0.023224044|3|-0.021265946|0.0068803119999999|10.94620104|-0.016614746|0|0|0.00751901|-0.033279992|-0.070406884|-0.110182753|-0.1708042239999999|2|0.8417504029999999|0.779793078|-0.033036296|0.819417554|0.8121510009999999|0|-0.066227158|-0.068586754|0.016556707|-41.76622313|-43.25430513|138.67264319999998|0.172386307|108.7155967|-0.020455699|0.530379611|-1.165974822|-26.33991037|-12.90040679|52.20772716|0.480419002|2602.046823|1071.500538|-8.135654442|5501.255679|-463.7323032|0.025810077|-38.31786425|1386.409228|16.27715102|0.0|1.0|0.0|1.0|1.0|1.0|4.05|0.33|18.0|-7.67|3.29|0.72|1.54|0.0|1.0|-2.3|30.0|-7.57|0.0|1.0|1.44|-3.45|0.00503|0.000359|0.0|0.0|-0.10395|4.6156|1.4454|-1276.928859|1149.51|268.62|0.42949|0.70615|-0.06212|5.7174|-0.16607|0.03447919|-1276.9984029999998|42.0|7.3768
11_a3|0|0|0|6.823286122000001|0|0|0.0|-0.01008647|-0.127546771|3|-0.101436441|-0.008037672|10.31163053|-0.023103765|1|1|-0.005959152|-0.194041982|-0.0495219879999999|-0.0947326669999999|-0.577616902|3|0.8947911009999999|0.724492061|-0.04179402|0.793311683|0.834020779|1|-0.0955396769999999|-0.099420732|0.014376713|-45.19136777|-47.02715152|253.1353625|0.222196952|105.101718|-0.0391657429999999|0.752484736|-1.292469516|-21.37603754|-18.52584757|51.99171876|0.4680759679999999|2097.896727|1105.41974|-8.76293931|4487.967272999999|-289.1769972|0.021256639|-238.8563772|812.4456757999999|10.0546353|0.0|1.0|1.0|1.0|1.0|1.0|3.19|0.0|21.0|-6.51|3.79|3.41|0.8|0.0|1.0|-4.08|22.0|-6.59|0.0|0.0|2.46|-3.71|8.37e-05|0.000197|0.0|0.0|-69.0|3.2232|3.2232|-1288.195105|834.82|384.66|0.6966600000000001|0.6966600000000001|-0.13118|3.3694|-0.20018|0.02994326|-1288.10577|0.04|7.3979
12h_a30|0|0|0|7.412764017000001|2|2|0.0|-0.00737961|-0.06631353|2|-0.074988669|0.001139238|10.31162898|-0.072247675|1|1|0.002064369|-0.166613751|-0.0541804029999999|-0.120380857|-0.4708582289999999|1|0.669561738|0.831176513|-0.1240820219999999|0.888213143|0.64876559|0|-0.083127678|-0.09907575|0.017389133|-52.88851758|-63.03519645|89.66095835|0.236431596|150.42542849999998|-0.038417127|0.7979748729999999|-1.882439244|-33.64938551|-24.44221903|63.95204629|0.468446216|2848.98238|2268.811589|-15.55093031|6252.192213|-761.9955851|0.015886049|-379.1625034|1500.88527|10.10721793|1.0|0.0|1.0|1.0|0.0|1.0|4.63|0.14|17.0|-6.9|4.25|3.18|3.2|0.0|1.0|-5.39|30.0|-6.02|0.0|0.0|2.92|-5.01|4.12e-06|9.71e-06|0.0|0.0|-0.05347|5.0289|3.5101|-1675.011389|1132.06|246.54|-0.26697|0.68543|-0.14889|2.9684|-0.2023599999999999|0.03372393|-1674.838376|9.0|8065.0
13_a10|0|0|1|7.535296702|1|1|2.091672336|-0.0057715859999999|-0.055497169|2|-0.093280469|0.00384732|10.9296146|-0.001592366|1|1|0.003791547|-0.154121136|-0.017015286|-0.02811323|-0.345108701|2|0.761923976|0.78472614|-0.002671425|0.84680169|0.736686715|1|-0.094726989|-0.082327045|0.0122005|-47.88975806|-41.62089688|174.7319717|0.181972309|91.99711608|-0.030119651|0.7144943490000001|-1.234905671|-24.21093442|-15.22715739|54.05778885|0.449563457|2261.82488|1630.880014|-7.698174391|4941.066161|-315.62515|0.018979132|-216.8776303|873.7836118999999|9.595006108|1.0|1.0|0.0|1.0|1.0|1.0|3.02|0.15|21.0|-6.6|3.52|3.81|1.88|0.0|1.0|-3.76|25.0|-6.34|0.0|1.0|2.91|-4.1|0.000176|7.87e-05|0.0|0.0|-0.05022|5.8308|3.8419|-1065.874094|926.41|212.63|0.34881|0.68386|-0.15937|3.6904|-0.20959|0.0346535|-1065.732389|0.16|6.7959
3p_a32|1|1|0|8.02059915|1|1|0.0|-0.008735261|-0.028895521|0|-0.050639647|-0.000971341|10.31100269|-0.074544773|3|3|0.000920756|-0.092884784|-0.146606489|-0.26891009|-0.53666614|0|0.737842269|0.8599558070000001|-0.120768771|0.918782026|0.6956696440000001|1|-0.070907174|-0.098773656|0.021264377|-41.73212799|-58.13283248|40.28175307|0.180429124|106.1908248|-0.029183126|0.6199678829999999|-1.28405753|-24.56127372|-17.1756096|54.24719019|0.416240891|2650.4178850000003|3037.061498|-10.10863498|5960.446219|-444.779939|0.025390655|-141.21321609999998|1218.977375|14.94356622|1.0|0.0|1.0|1.0|1.0|1.0|3.38|0.26|19.0|-6.79|6.06|3.71|1.1|0.0|1.0|-5.11|27.0|-6.8|0.0|0.0|3.23|-4.25|7.78e-06|5.629999999999999e-05|0.0|0.0|-0.04963|3.6436|3.6436|-1879.554272|1057.58|340.28|0.7017100000000001|0.7017100000000001|-0.15055|4.3094|-0.20018|0.02642856|-1879.406962|26.0|7585.0
4k_a46|0|0|1|7.825245291|1|1|2.145043462|-0.0049602|-0.088084767|1|-0.104665424|0.006550513|10.94631314|-0.1032662209999999|1|1|0.006050983|-0.158788415|0.008544799|0.012963356|-0.3860697829999999|1|0.78837943|0.7477594870000001|-0.141706595|0.787615341|0.784722915|0|-0.091943864|-0.086581945|0.007038271|-49.65634024|-46.76051618|171.92614719999997|0.121088629|65.39662252|-0.0306644389999999|0.8732380740000001|-1.471893066|-26.8180173|-16.56101615|53.45751583|0.417368922|2104.876032|1912.936687|-8.94414722|4685.0322320000005|-429.3190666|0.006892404|-403.1511415|910.3230822|3.722397006000001|1.0|1.0|0.0|1.0|1.0|1.0|3.8|0.33|17.0|-6.61|4.26|4.77|2.84|0.0|1.0|-4.82|25.0|-5.46|0.0|1.0|3.79|-4.83|1.5e-05|1.4800000000000002e-05|0.0|0.0|-0.01712|5.4228|4.4485|-1053.433249|1001.96|228.63|0.39943|0.68553|-0.18542|4.0015|-0.20254|0.03653474|-1053.249847|0.08|7.0969
12g_a31|1|0|0|7.765993078999999|1|1|0.0|-0.01500347|-0.1044685569999999|0|0.045747231|-0.008464411|10.31169877|-0.082116813|2|2|-0.0054114869999999|0.074878295|-0.0497478109999999|-0.081426376|-0.57758443|0|0.837044054|0.819234772|-0.1386819869999999|0.8639814490000001|0.7983388929999999|0|-0.1284353869999999|-0.131126805|0.030961426|-78.87508829|-80.52794936|152.7424573|0.41728907|256.26669530000004|-0.039059048|0.6886488690000001|-1.835775276|-48.43898314|-23.98704875|97.88920296|0.470244801|2514.363249|1859.940155|-14.73099143|5398.678971|-692.3565973|0.02515117|-231.70711040000003|1637.106139|15.44590447|1.0|1.0|1.0|1.0|1.0|2.0|3.61|0.32|16.0|-6.45|5.19|3.44|0.86|0.0|1.0|-4.92|27.0|-6.86|0.0|0.0|2.9|-3.79|1.19e-05|0.0001629999999999|0.0|0.0|-0.03324|3.8349|3.8349|-1578.846191|1090.41|323.3|0.70068|0.70068|-0.15917|1.6279|-0.19241|0.04532186|-1578.66792|0.11|6.9586
15a_a50|0|1|2|7.934155233999999|1|1|4.126145086|-0.004429392|-0.06317118|1|-0.0446629609999999|0.005366038|10.94500663|-0.125205943|2|2|0.005828749|-0.072976638|-0.128070491|-0.209259615|-0.325638639|1|0.797917311|0.821868651|-0.207610131|0.8749408470000001|0.76745052|1|-0.0783960279999999|-0.084501726|0.018014615|-46.91098865|-50.56454577|275.287923|0.162210104|97.06405493|-0.029316925|0.705410595|-1.436529349|-28.07082095|-17.54280159|57.69065967|0.4476230879999999|2503.770258|1754.903963|-10.49734522|5401.219537|-514.369916|0.018747341|-245.8291419|1218.577214|11.21812301|0.0|1.0|1.0|1.0|1.0|1.0|3.7|0.23|20.0|-6.09|3.23|3.57|1.87|0.0|1.0|-3.6|28.0|-6.78|0.0|1.0|2.76|-3.92|0.000251|0.0001189999999999|0.0|0.0|-0.03255|4.0408|4.0408|-1199.818129|1091.64|306.83|0.66132|0.66132|-0.16693|6.6307|-0.19948|0.03314629|-1199.629702|41.0|7.3872
9r_a24|1|0|0|6.605297921|0|0|0.0|-0.004640179|0.013567512|3|-0.17821765|0.007861194|10.96129392|-0.043274854|1|1|0.008722018|-0.29065818|-0.179075526|-0.2920573039999999|-0.3018627239999999|3|0.786430472|0.7958149290000001|-0.083458647|0.841805128|0.7526889940000001|0|-0.0618978309999999|-0.082022572|0.015557618|-41.49802275|-54.99020696|71.31566881|0.158284162|106.1180928|-0.025821921|0.6152148279999999|-1.394383716|-27.82142546|-17.31173182|51.92828155|0.473403843|2644.462265|958.7578093|-11.60626518|5501.824326|-626.7383196000001|0.02357068|-154.486433|1519.52371|15.80243761|1.0|1.0|1.0|1.0|1.0|1.0|3.53|0.22|23.0|-8.66|4.23|3.93|1.02|0.0|1.0|-4.02|30.0|-6.83|0.0|0.0|2.98|-4.06|9.58e-05|8.77e-05|0.0|0.0|-0.04313|4.4722|4.2877|-1294.486221|1199.71|277.23|0.3398|0.6204|-0.1676099999999999|1.9698|-0.21074|0.03426339|-1294.263358|11.0|7.9586
47a_a18|0|0|0|7.03438793|1|1|0.0|-0.006027559|-0.18843247|0|0.043161338|-0.005483379|10.35082811|0.052572636|0|0|-0.000633273|0.066507683|-0.232940071|-0.358939392|-0.369841706|0|0.842412605|0.766261502|0.089156939|0.7991211029999999|0.792293789|0|-0.082855697|-0.099310031|0.014124484|-67.93456546|-81.42570819|100.7293848|0.2212091389999999|181.3725215|-0.036234741|0.7936193709999999|-2.681370849|-55.70051708|-29.70938001|79.51543089|0.483193636|3612.105567|2250.179086|-24.3591435|8405.670404|-1802.576619|0.014835962|-481.4854016|2770.212274|12.16421601|1.0|1.0|1.0|1.0|1.0|3.0|4.97|0.28|18.0|-8.27|0.48|3.35|1.85|1.0|1.0|-6.74|39.0|-6.49|0.0|0.0|2.02|-5.58|1.8100000000000002e-07|2.62e-06|0.0|1.0|-0.05191|3.1947|3.1947|-2098.807018|1536.87|388.09|0.69508|0.69508|-131.0|2.6271|-0.18291|0.0339441|-2098.359766|1.0|9.0
IN1233_a59|1|0|0|6.842683282|0|0|0.0|-0.008841844|-0.12050413|2|0.163548857|-0.005614194|10.93301779|-0.054458882|1|1|-0.004071701|0.268927191|0.001996439|0.003282792|-0.597167441|2|0.809917509|0.74801464|-0.090732503|0.80310139|0.778639593|1|-0.092761756|-0.095213818|0.010831674|-61.73167061|-63.36348363|318.5587088|0.238675351|158.8351574|-0.035929742|0.810795898|-1.904276352|-41.08157616|-23.91074854|68.94000009|0.483639625|2809.840422|1822.396842|-15.91227368|6206.818668|-843.3505049|0.0134658889999999|-413.6607749|1562.994677|8.961363774|1.0|1.0|1.0|1.0|1.0|2.0|3.48|0.08|27.0|-10.0|5.54|4.69|2.06|0.0|0.0|-5.59|32.0|-6.13|0.0|0.0|3.78|-5.16|2.54e-06|6.91e-06|0.0|0.0|-0.05605|5.2194|3.5355|-1352.351584|1204.16|237.54|0.51285|0.6953699999999999|-0.14684|5.4004|-0.20289|0.02473496|-1352.135303|34.0|7.4685
9_a27|1|0|1|6.842683282|0|0|1.830911754|-0.0073742819999999|-0.050617284|2|-0.152086653|0.00611794|10.93740461|-0.0447599329999999|1|1|0.00651856|-0.2559122789999999|-0.101933162|-0.171520296|-0.541535578|2|0.677253824|0.8214321609999999|-0.071974951|0.8806964490000001|0.654138816|1|-0.078270599|-0.088404481|0.019589991|-40.3551562|-45.58003501|128.27738490000002|0.2011355289999999|103.702486|-0.033677898|0.7892801540000001|-1.414471696|-20.80651808|-17.36382286|50.45546414|0.466349763|2256.4955670000004|1463.168883|-8.952528705|4962.727436|-376.0062056|0.014524299|-298.297086|923.9818797|7.488512291|1.0|0.0|1.0|0.0|1.0|1.0|3.12|0.16|21.0|-7.06|3.85|3.04|2.66|0.0|1.0|-4.06|25.0|-6.33|0.0|1.0|2.99|-4.08|8.66e-05|8.28e-05|0.0|0.0|-0.0471|5.5421|4.1673|-1083.143348|945.35|223.71|0.35593|0.59444|-0.1716|2.7456|-0.2187|0.02461151|-1083.017359|2.0|8699.0
7h_a8|1|0|1|7.05012252|0|0|1.2793830309999998|-0.00534208|-0.073219554|0|-0.016074683|0.00112124|10.94341365|0.0260356679999999|1|1|0.00084936|-0.043606497|0.052081992|0.141285105|-0.382578949|0|0.515235986|0.7051689170000001|0.041366689|0.7677336090000001|0.507325475|0|-0.093181899|-0.0934764819999999|0.011647275|-53.71230941|-53.88211443|70.28953528|0.228988973|131.9948047|-0.041038456|0.892830345|-1.6825766830000002|-30.96107949|-23.65556243|60.42608164|0.4346108389999999|2534.324886|1919.19991|-13.63564064|5657.402114|-559.0612661|0.00878112|-452.8739011|1086.29603|5.061650885|1.0|0.0|1.0|0.0|0.0|1.0|3.12|0.0|23.0|-8.46|5.52|5.49|4.27|0.0|1.0|-5.68|28.0|-5.27|0.0|0.0|4.63|-5.5|2.09e-06|3.16e-06|0.0|1.0|-0.06799|3.9282|3.9282|-1285.182226|999.62|315.62|0.6963199999999999|0.6963199999999999|-0.16076|7.0847|-0.22875|0.03092828|-1285.0707960000002|10.5|4.9788
10_a27|0|0|2|6.605297921|0|0|3.383341915|-0.006285923|-0.044164147|2|-0.184068581|0.00991794|10.93783185|-0.000903965|1|1|0.010329671|-0.309727442|-0.2030237389999999|-0.341622797|-0.487435299|2|0.639413469|0.804375252|-0.001453596|0.862408925|0.614205449|1|-0.061299064|-0.087022238|0.017676458|-32.5969511|-46.27574168|6.0140309720000005|0.147337847|78.34972221|-0.031079371|0.7453606909999999|-1.305333567|-17.33405307|-16.5270506|41.99674607|0.477162521|2270.538352|943.2258247|-8.788575695|4894.8090170000005|-369.1201792|0.01651645|-260.9504933|931.2754667000002|8.782938574|1.0|0.0|1.0|0.0|1.0|0.0|3.01|0.16|21.0|-6.24|2.81|2.97|2.25|0.0|1.0|-3.57|25.0|-6.51|0.0|1.0|2.74|-3.92|0.000266|0.0001189999999999|0.0|0.0|-0.0498|4.1495|4.1495|-1083.137871|958.95|298.79|0.63894|0.63894|-0.16805|4.6684|-0.21785|0.0227416|-1083.008551|69.0|7.1612
9h_a24|1|0|1|7.153833802|0|0|1.726213624|-0.002864393|2.01e-05|2|0.078066659|0.013595277|10.96661419|-0.002471577|2|2|0.012380829|0.144624936|-0.02551563|-0.047269812|-0.207206943|2|0.687815726|0.78742035|-0.004960317|0.859720539|0.656172477|0|-0.060337884|-0.0687348109999999|0.018457687|-28.52000725|-32.48899638|167.2085719|0.1162247219999999|54.93613103|-0.026280957|0.572371258|-0.8935525440000001|-13.48059881|-12.42226332|37.24443236|0.477589721|2062.34011|768.1954692|-5.871651668999999|4170.098082|-199.6361567|0.031789952|-68.41568372|737.9073405|15.02620893|1.0|0.0|0.0|1.0|1.0|1.0|2.84|0.0|22.0|-6.05|2.42|2.72|1.07|0.0|1.0|-2.83|22.0|-6.85|0.0|1.0|1.97|-3.24|0.00147|0.000575|0.0|0.0|-0.0435399999999999|5.1739|4.3437|-945.2642633|831.92|239.63|0.54606|0.61928|-0.18239|5.6654|-0.22593|0.0305020989999999|-945.200628|77.0|7.1135
18c_a22|0|0|1|6.842683282|0|0|1.804590026|-0.003749104|0.013131848|2|-0.044828537|0.005449965|10.31286086|0.006275578|1|1|0.005597023|-0.081550274|-0.078828791|-0.143402172|-0.305378181|2|0.7290394929999999|0.7669483559999999|0.010828071|0.8287956870000001|0.6922232890000001|1|-0.057956428|-0.076388478|0.019843706|-40.094865000000006|-52.84635017|30.63947336|0.068926461|47.68404831|-0.028825841|0.682690024|-1.52776956|-27.73804808|-19.94201893|53.82294919|0.4777430589999999|3090.601885|2574.178324|-13.79609783|7101.057047|-731.1931848999999|0.0215181079999999|-252.7737494|1548.179944|14.88645273|1.0|1.0|1.0|1.0|1.0|1.0|3.56|0.08|27.0|-9.46|5.36|4.98|1.47|0.0|1.0|-5.8|34.0|-6.63|0.0|0.0|3.72|-5.1|1.6e-06|7.98e-06|0.0|0.0|-0.07207|5655.0|3.7222|-1783.562578|1249.84|219.25|0.4609|0.60449|-0.15158|1.2938|-0.22365|0.02279458|-1783.340519|26.0|7585.0
