molecula|SddssS|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
9g_a24|0.0|0|2.931798469|0|0|1.427608366|-0.318471716|5.283203728999999|0.001126633|2|-0.162313932|-0.0425444|0.0144065739999999|-0.02471184|2|2|0.013119312|-0.049325609|-0.079421802|2|0.683676657|0.7931626959999999|-0.045107345|0|0.8671367529999999|-0.064835725|-0.065668047|-32.080056199999994|9.283063574|65.73938109|-0.021297745|-16.07665151|4.593165278|0.0|0.4819264479999999|-0.788016565|49.25777584|-10.53790724|41.36311977|429.0504306|0.518073552|10.69818114|0.746821416|4355.725609|-192.9198181|21.8662148|0.033884884|17.88521849|809.0499476|341.3207334|0.0|1.0|0.0|1.0|1.0|2.8|0.06|22.0|-6.43|72.28|0.64|87.53|3.0|-2.49|4.0|-7.17|302.33|0.0|1.0|0.0|1.93|-3.09|0.00323|977.0|247.0|1.37|0.0|0.000113|-0.03585|5.2521|0.75|4.2802|-984.5565078|524.03|879.99|0.2444|400.47|0.4227399999999999|0.64993|-984.447764|0.1023|-0.21391|0.032630457|-984.497752|4.4131|68.0|7.1675|7.1675
9g_a40|0.0|0|0.0|0|0|0.604992427|-0.058811055|5.4161004020000005|-0.0220464379999999|0|0.07954859|-0.225327061|0.011921308|-0.145879501|2|2|0.0115573539999999|-0.062672355|-0.383703998|0|0.694156166|0.764275277|-0.242405063|1|0.90454157|-0.063539055|-0.079033043|-33.47455057|11.25704374|50.29077056|-0.031197254|-21.93596333|5.930596229|64.08637519|0.740240206|-1.185495647|51.16627179|-16.43578193|44.73159432|476.5434822|0.259759794|15.62271835|0.909806709|4435.743087|-329.0394499|22.20330888|0.018087202|-253.1335385|843.7257374|384.6422631|0.0|1.0|0.0|1.0|1.0|2.8|0.06|22.0|-6.43|72.28|0.64|87.53|3.0|-2.49|4.0|-7.17|302.33|0.0|1.0|0.0|1.93|-3.09|0.00323|977.0|247.0|1.37|0.0|0.000113|-0.0624|3.0778|3.83|3.0778|-1332.476347|559.04|923.42|0.3563|469.6|0.70233|0.70233|-1332.31775|0.3563|-0.19005|0.01134289|-1332.369643|5063.0|3548.0|5.45|5.45
13d_a5 (GW788388)|0.0|0|2.945204608|1|1|1.236844097|-0.0959854909999999|4.59511985|-0.009710199|3|-0.092509033|-0.33442223|0.002956745|0.024793388|1|1|0.003668464|-0.016337128|-0.3706975529999999|2|0.7333482170000001|0.78479342|0.047169811|0|0.774103723|-0.086824482|-0.0844793|-57.42492153|9.637686167|149.40573999999998|-0.0291837579999999|-36.95444874|6.374277851|44.69922692|0.669182121|-1.605106706|70.45205183|-19.30187193|67.0626077|511.985152|0.330817879|15.788837|0.954644629|6122.792779|-702.1345259999999|28.84397435|0.022041749|-223.7910275|1586.418589|723.0631751|0.0|1.0|1.0|1.0|2.0|3.21|0.2|23.0|-8.84|92.79|1.37|121.68|6.0|-4.35|5.0|-6.94|425.48|0.0|0.0|1.0|3.11|-4.35|4.429999999999999e-05|0.0189|0.0192|2.75|0.0|6.16e-07|-0.05542|4.6091|3.81|4.1706|-1390.548362|707.09|1206.73|0.5251|532.01|0.42515|0.48848|-1390.294368|0.1549|-0.22841|0.04130059|-1390.355751|3355.0|18.0|7.7447|7.7447
3h_a32|0.0|1|3.579396967|0|0|0.609420752|0.01077056|5.733341277|-0.008243901|0|0.014517903|-0.269379119|0.002101838|-0.111111111|3|3|0.003284804|-0.122769653|-0.531669815|0|0.84279263|0.7926338540000001|-0.2|1|0.87880263|-0.07183387|-0.0882883959999999|-44.97387528|6.98327435|75.87946135|-0.027590124|-34.60714056|4.372100625|0.0|0.7734940029999999|-1.324325944|62.63332945|-17.27367301|51.95714963|550.2022886|0.226505997|13.71739929|0.692036677|5187.525619|-519.1071084|22.33200639|0.011751781|-342.4592076|1071.936307|593.0848817000001|1.0|1.0|1.0|1.0|1.0|3.65|0.35|19.0|-8.47|110.94|2.64|112.28|7.0|-8.23|3.0|-4.29|382.55|1.0|0.0|1.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|0.000273|6.12|0.0|1.29e-06|-0.05318|3.5552|4.61|3.5552|-1790.663897|676.22|1127.45|0.2926|578.86|0.70257|0.70257|-1790.440663|0.2926|-0.20059|0.02690554|-1790.5004850000005|5.8749|7.0|8.1549|8.1549
13b_a50|0.0|1|0.0|2|2|1.267593379|-0.067327798|5.82008293|0.010464577|2|-0.0204949039999999|-0.263615417|0.010435712|-0.054716607|2|2|0.011379776|-0.269353185|-0.319215353|1|0.749187803|0.788327682|-0.097736369|1|0.906164013|-0.051509874|-0.080785633|-36.81915624|14.22401427|67.07377798|-0.026928544|-41.27630533|10.16729727|150.45293569999998|0.700410304|-1.696498291|70.09526468|-19.24847021|51.04317051|647.7242444|0.299589696|16.75483549|0.7609056040000001|6639.077063000001|-866.8024118999999|27.48170624|0.017277404|-286.5057775|1731.347493|900.2031356000001|1.0|1.0|1.0|1.0|0.0|4.78|0.37|20.0|-7.23|66.99|2.52|133.36|7.0|-5.02|5.0|-6.3|455.55|0.0|0.0|0.0|3.99|-5.1|9.65e-06|0.0044|0.00361|3.91|0.0|2.68e-05|-0.02606|4.2315|3.63|4.1161|-1470.3699789999998|780.4|1339.39|0.1589|617.26|0.65332|0.63872|-1470.039226|0.1553|-0.19622|0.03156473|1470.104535|7.1645|1.83|5.7375|5.7375
2_a27|0.0|0|0.0|0|0|1.402655014|0.09890645|4.59511985|-0.0609613559999999|2|-0.196529806|-0.276758209|0.009338889|0.017751479|1|1|0.00988756|-0.361571905|-0.475677812|2|0.639024713|0.796022385|0.027777778|1|0.8468699609999999|-0.058444848|-0.081513931|-29.42169804|9.972342226|77.08713259|-0.029261411|-20.65736087|5.020172886|53.58106492|0.6684621829999999|-1.141195033|52.43208086|-14.73047548|39.39404027|426.3224749|0.331537817|9.527176544|0.7934621359999999|4774.521748|-289.2030522|22.03636323|0.022639983|-169.6109632|859.4181658|373.9912084|0.0|0.0|1.0|1.0|0.0|2.9|0.11|21.0|-5.84|65.6|2.42|92.58|2.0|-3.19|4.0|-6.69|317.34|0.0|1.0|1.0|2.52|-3.7|0.000644|204.0|0.0638|2.18|0.0|0.0004599999999999|-0.04933|4.1624|4.32|4.1624|-1043.7984|538.57|906.48|0.3217|420.7|0.55857|0.55857|-1043.665151|0.3217|-0.21702|0.02268519|-1043.715364|6.8854|13.0|7.8861|7.8861
34_a20|0.0|0|0.0|0|0|1.416932073|0.0305860929999999|4.727387819|-0.104520106|2|0.199191385|-0.328567476|0.003085806|-0.054458882|1|1|0.003149352|0.057022334|-0.4478820739999999|2|0.7071284179999999|0.74801464|-0.090732503|1|0.7966571459999999|-0.0851907119999999|-0.085459595|-57.31821177|8.766605631000001|136.81360859999998|-0.032248904|-38.68669181|5.898367836|80.66541842|0.776414086|-1.709191893|67.53437417|-21.69778179|66.0848174|536.0086996|0.223585914|14.7802149|0.8614536140000001|6211.26199|-773.7338361000001|27.94614651|0.01491516|-371.9551262|1481.145765|712.1606951|1.0|1.0|1.0|1.0|1.0|3.43|0.08|27.0|-9.18|86.69|2.47|125.0|5.0|-5.14|4.0|-6.28|419.48|0.0|0.0|1.0|3.63|-5.02|7.27e-06|0.00305|0.00399|3.63|0.0|2.780000000000001e-07|-0.05181|5.4132|4.97|3.8699|-1352.2836220000002|711.19|1205.64|0.4388|544.93|0.38519|0.68845|-1352.041015|0.0766|-0.21284|0.03558836|-1352.102407|5.4994|61.0|7.2147|7.2147
9h_a24|0.0|0|2.916716427|0|0|1.428198245|-0.203768024|5.209486153|2.01e-05|2|0.078066659|-0.105982525|0.013595277|-0.002471577|2|2|0.012380829|-0.047269812|-0.207206943|2|0.687815726|0.78742035|-0.004960317|0|0.883775278|-0.060337884|-0.0687348109999999|-28.52000725|8.724425117000001|54.93613103|-0.026280957|-15.35662744|4.123788393|1.773520599|0.572371258|-0.8935525440000001|47.51520531|-12.42226332|37.24443236|417.7355164|0.427628742|11.11300329|0.914204295|4170.098082|-199.6361567|21.70315707|0.031789952|-68.41568372|737.9073405|295.8603625|1.0|0.0|0.0|1.0|1.0|2.84|0.0|22.0|-6.05|72.28|1.07|82.17|3.0|-2.83|4.0|-6.85|288.31|0.0|1.0|1.0|1.97|-3.24|0.00147|423.0|166.0|1.7|0.0|0.000258|-0.0435399999999999|5.1739|1.16|4.3437|-945.2337612|506.68|831.92|0.3844|363.48|0.54606|0.61928|-945.153352|0.0073|-0.22593|0.0305020989999999|-945.200628|7.7741|77.0|7.1135|7.1135
12i_a36|0.0|0|3.27619957|2|2|1.2401347459999998|0.043792895|5.351858133|-0.29543904|2|0.048138468|-0.929568494|-0.011700732|-0.009876543|1|1|-0.007897954|-0.3344729369999999|-0.608318386|1|0.647732719|0.820041835|-0.01509434|0|0.830964232|-0.0850745409999999|-0.117424873|-54.81607619|12.71877085|108.9148111|-0.045665229|-48.75024044|8.195085212|0.52902639|0.7691298590000001|-2.46592234|90.11282843|-29.42347522|67.53484704|535.4151566|0.230870141|13.98728916|0.8526986440000001|7707.634338|-1023.755049|38.2555363|0.022430221|-346.8168661|2065.79896|672.4630346|1.0|0.0|1.0|0.0|2.0|4.8|0.17|17.0|-7.14|78.43|2.04|130.43|7.0|-5.2|8.0|-6.4|465.43|0.0|0.0|0.0|2.65|-5.07|6.26e-06|0.00291|4.0|3.86|0.0|3.37e-05|-0.05065|5.2297|4.86|3.7496|-1645.171438|666.79|1172.5|0.5402|504.47|0.34255|0.70134|-1644.954647|0.1516|-0.20475|0.03165678|-1645.017702|6.6124|12.0|7.9208|7.9208
12j_a30|0.0|0|0.0|2|2|0.604984421|0.04148877|5.351858133|-0.033312179|2|-0.02473642|-0.354848778|0.005613018|-0.075816941|1|1|0.005965451|-0.09353607|-0.456342646|1|0.8414737059999999|0.795446883|-0.130412856|0|0.842199041|-0.073909106|-0.094132698|-47.76354083|10.09017681|101.9784021|-0.036204884|-39.31313154|6.520746879|0.0|0.8134611009999999|-1.882653966|69.55167701|-23.39729904|57.85371764|544.2686362000001|0.1865388989999999|15.41574553|0.91079856|6105.3402670000005|-786.2626307999999|28.76265258|0.01349128|-405.1466163|1495.657934|686.039456|1.0|0.0|1.0|0.0|1.0|4.76|0.17|17.0|-7.01|81.65|3.04|132.24|5.0|-5.66|4.0|-5.81|412.51|0.0|0.0|1.0|2.91|-5.15|2.21e-06|0.0009119999999999|0.00291|4.23|0.0|4.02e-05|-0.05106|5.1971|4.14|3.4788|-1615.064152|695.8|1175.75|0.2163|549.64|0.3087|0.68625|-1614.831741|0.1516|-0.1987799999999999|0.03201935|-1614.894278|5.1081|9.0|8058.0|8058.0
