molecula|SddssS|n9FaRing|SaaNH|nAHRing|nARing|BCUTs-1|MATS2c|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aRing|n5aHRing|AATSC1pe|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8d|nFaHRing|RASA|FNSA3|FNSA5|PNSA3|PPSA3|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|DPSA3|TASA|FPSA1|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Num. of Rotatable bonds|Log S (Ali)|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|PAINS|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|IC50|pIC50|pIC50
4f_a49|0.0|0|0.0|1|1|1.343848013|0.010266272|5.4161004020000005|-0.087045007|2|-0.087861524|-0.418450768|0.001532832|0.0705130559999999|1|1|0.001714014|-0.025995042|-0.46436755|2|0.69044503|0.7927086309999999|0.114367229|1|0.7370618040000001|-0.102926696|-0.089955514|-55.88123394|9.007637695|142.7551002|-0.033471819|-26.51573683|4.89045046|59.72286429999999|0.718306291|-1.439288231|60.18871783|-18.1726086|64.88887164|400.1675422|0.2816937089999999|11.20071713|0.7773206840000001|5422.650822|-424.2517893|25.29924744|0.020905063|-237.0468572|1087.86764|467.1194103|0.0|1.0|1.0|0.0|1.0|3.07|0.14|21.0|-6.54|80.9|2.03|102.08|3.0|-3.99|5.0|-6.6|356.38|0.0|0.0|1.0|2.85|-4.09|0.000102|0.0365|0.0289|2.64|0.0|0.000104|-0.06954|4.6249|4.07|3.7098|-1179.201105|575.01|982.46|0.2368|411.94|0.39584|0.68474|-1179.029099|0.0579999999999999|-0.22471|0.03476467|-1179.080799|1.8254|0.04|7.3979|7.3979
14a_a10|0.0|0|0.0|2|2|1.3438495730000002|-0.2090476269999999|5.4161004020000005|0.0437538159999999|3|0.027446544|-0.147427016|0.011509975|-0.00421565|1|1|0.012272222|-0.344811314|-0.168193178|2|0.76857495|0.7348225290000001|-0.007680215|1|0.911549451|-0.044416218|-0.070610745|-32.23041637|9.840503082|64.18371923|-0.018970051|-37.18086445|7.140714112|134.15514270000003|0.542015878|-1.270993412|67.14248252|-13.76552695|42.07091945|661.4615097|0.457984122|18.88856367|0.8833450959999999|6754.660977|-669.2555601|25.39690722|0.0219172279999999|-60.97724212|1701.592784|1003.968547|0.0|1.0|1.0|1.0|0.0|3.98|0.39|21.0|-8.18|59.31|1.94|146.76|7.0|-4.21|6.0|-6.82|468.59|0.0|1.0|0.0|3.43|-4.8|6.159999999999999e-05|0.0288|0.00743|3.29|0.0|3.07e-06|-46.0|5.5808|2.25|3802.0|-1489.803158|800.01|1380.89|0.2835|645.26|0.34245|0.7047100000000001|-1489.42155|0.0005|0.19621|-0.14757681|-1489.487381|4.8004|74.0|7.1308|7.1308
9a_a36|0.0|0|3.4090209280000003|2|2|1.297044807|-0.109305298|5.351858133|-0.046964839|2|0.095192109|-0.41624054|0.0034852859999999|-0.06502499|1|1|0.00484375|-0.202876718|-0.398235589|1|0.839235677|0.7885597609999999|-0.1177413269999999|0|0.826559623|-0.073689118|-0.10869601|-45.04449811|14.47407729|106.0201967|-0.039929147|-40.61536816|8.847677483|0.0|0.7638345870000001|-1.956528182|78.37175688|-24.40778806|59.5185754|505.25728260000005|0.236165413|13.79893984|0.828482664|5693.562367|-731.0766269999999|31.95428497|0.019513779|-322.5522826|1565.759963|578.2841135|1.0|0.0|0.0|0.0|1.0|4.69|0.14|17.0|-6.28|66.4|2.02|120.94|5.0|-3.71|5.0|-6.74|382.42|0.0|1.0|0.0|1.95|-3.99|0.000197|0.0753|0.0391|2.66|0.0|0.0002009999999999|-0.05044|3.8677|3.38|3.8677|-1252.77514|648.41|1092.66|0.4811|495.18|0.68682|0.68682|-1252.578886|0.4811|-0.20969|0.02701893|-1252.636005|7.4992|13.0|7.8861|7.8861
12ae_a36|-3.3501500230000003|0|3.412870974|2|2|0.299253957|0.069118289|5.351858133|-0.351827031|2|0.087069205|-0.611759277|-0.006862238|0.006615826|1|1|-0.001160331|-0.261631709|-0.513686975|1|0.8183043390000001|0.831101086|0.010209009|0|0.7162413209999999|-0.085851235|-0.105648609|-63.96145017|17.78605328|211.4077529|-0.036430555|-58.64180087|13.25108213|19.97715962|0.6849975640000001|-2.11297219|97.76153993|-27.14173115|81.74750345|533.6188092|0.315002436|16.22570287|0.870019385|7331.209763|-1172.836017|39.62310606|0.025570256|-275.6561988|2298.140152|805.2286932|0.0|0.0|0.0|0.0|3.0|5.03|0.17|17.0|-6.87|123.75|0.84|142.02|7.0|-3.85|6.0|-8.03|474.54|0.0|0.0|0.0|1.18|-3.72|0.0001409999999999|0.0668|0.0897|1.64|0.0|6.45e-05|-0.0548899999999999|5235.0|6.24|3.8664|-1876.152311|754.15|1281.69|0.4832|615.71|0.40141|0.68591|-1875.897072|0.3366|-0.21149|0.0508577|-1875.963244|8.9297|15.0|7.8239|7.8239
15_a47|0.0|1|2.9226792460000004|0|0|1.304329657|-0.164258919|4.59511985|-0.072588375|2|-0.130885389|-0.21194909|-0.0026314909999999|0.0506476009999999|1|1|-0.002377481|-0.017562097|-0.332654104|2|0.644280611|0.830688568|0.081171071|1|0.791753677|-0.084413593|-0.0904066519999999|-45.1562696|8.917011222000001|111.3994409|-0.033307714|-25.87091101|4.770072524|0.0|0.711630105|-1.265693121|59.79410145|-17.81765281|54.07328082|423.5412927|0.288369895|13.37174753|0.914412511|5075.773767000001|-362.1927541|25.03780079|0.021370407|-226.4191275|951.4364299|383.4213189|1.0|1.0|0.0|1.0|2.0|2.89|0.06|21.0|-8.49|66.49|2.83|96.6|3.0|-4.89|4.0|-5.76|353.78|0.0|0.0|1.0|3.74|-4.85|1.29e-05|0.00455|0.00499|3.8|0.0|1.14e-06|-0.0591799999999999|4.3312|3.33|4.0594|-1527.376145|552.16|930.51|0.2828|419.75|0.67203|0.68008|-1527.265523|0.0759|-0.2268|0.03425526|-1527.316555|3.7709|16.0|7.8|7.8
22_a47|0.0|1|0.0|0|0|1.408617385|0.048272293|4.727387819|-0.150248628|2|-0.029311184|-0.507802654|-0.006808306|0.002716049|1|1|-0.004332497|-0.277479519|-0.538310301|2|0.612295986|0.831122912|0.004104478|1|0.698649132|-0.080744803|-0.089280419|-47.64347429|13.07198749|177.81209280000002|-0.031744149|-31.08378631|7.713126784|54.21581266|0.6096864479999999|-1.42848671|71.28682035|-18.73063655|60.71546178|412.2379505|0.390313552|12.91589555|0.8569791179999999|6107.923371|-497.3405809|30.72175314|0.031534452|-129.440987|1382.478891|482.9384172|0.0|1.0|1.0|1.0|2.0|3.31|0.1|21.0|-7.69|84.73|2.97|104.64|5.0|-4.44|6.0|-6.58|394.38|0.0|0.0|1.0|3.41|-4.38|3.6e-05|0.0142|0.0164|3.0|0.0|8.11e-06|-0.0612399999999999|4.7954|4.4|4017.0|-1375.021925|605.12|1027.32|0.3367|466.95|0.50316|0.68312|-1374.857521|0.0799|-0.22828|0.02840507|-1374.914437|5.7009|1.0|9.0|9.0
19b_a38|0.0|0|3.26554965|2|2|1.297044256|-0.122009545|5.351858133|-0.115864198|2|0.013765516|-0.467227005|-0.006877664|-0.0697981979999999|1|1|-0.004358975|-0.250781298|-0.443325632|1|0.653741315|0.8295290000000001|-0.114123934|0|0.7293105670000001|-0.086013549|-0.11557289|-53.38447032|13.92699891|168.00390359999997|-0.041606241|-44.51968852|8.643817972|0.0|0.7596369590000001|-2.0803120280000003|84.49751102|-25.82299118|67.31146923|452.6479704|0.240363041|13.74014387|0.91919733|6518.872269|-801.3543933999999|33.99385836|0.020570275|-322.28833010000005|1699.692918|593.6088758|1.0|0.0|1.0|0.0|3.0|4.82|0.14|17.0|-7.12|81.23|2.78|125.65|5.0|-4.25|5.0|-6.81|419.43|0.0|0.0|1.0|2.94|-4.33|5.68e-05|0.0238|0.0196|2.88|0.0|3.19e-05|-0.05031|5363.0|3.66|3.7509|-1431.38073|646.81|1111.29|0.4634|485.64|0.38952|0.69411|-1431.18309|0.1945|-0.20445|0.03336932|-1431.2418630000002|6.3396|12.0|7.9172|7.9172
12t_a36|0.0|0|3.500121488|2|2|1.297042607|-0.058770337|5.351858133|-0.034194893|2|0.035510516|-0.404180985|0.003676818|-0.0288761339999999|1|1|0.0045625|-0.169994208|-0.436022708|1|0.902377067|0.829598864|-0.050788309|0|0.8337556420000001|-0.0735262|-0.100615514|-48.97252784|11.7409283|110.727965|-0.035934112|-44.63604995|7.820109571000001|0.417511887|0.78316808|-2.012310282|77.32343502|-23.93411213|60.71345614|555.3275093999999|0.21683192|15.36435856|0.930112292|5936.009091|-892.7209991000001|30.56063281|0.01547607|-377.2113003|1711.395437|729.1873176|1.0|0.0|0.0|0.0|2.0|4.94|0.21|17.0|-7.36|69.2|2.45|133.52|6.0|-4.61|4.0|-6.33|409.49|0.0|1.0|0.0|2.4|-4.57|2.48e-05|0.0102|0.0109|3.47|0.0|1.7899999999999998e-05|-0.05302|3.8844|3.87|3.6694|-1311.552739|713.6|1208.04|0.4297|562.72|0.69297|0.70313|-1311.287803|0.0155|-0.2039|0.03230976|-1311.349439|7.9104|8.0|8.0969|8.0969
33_a20|0.0|0|0.0|0|0|1.4175014119999998|-0.188733405|4.727387819|0.023539095|2|0.148855442|-0.078557022|0.009265667|-0.062750442|1|1|0.008780074|-0.060582944|-0.1771816269999999|2|0.616352201|0.74131936|-0.10978034|1|0.9493896|-0.058927252|-0.069838312|-38.58254635|8.340767701|33.13709773|-0.0265385579999999|-29.9394021|5.46110745|64.93395624|0.759356182|-1.326927921|54.60811436|-17.37608867|46.92331405|621.611679|0.240643818|15.094865900000002|0.8721516570000001|5916.443448|-568.84864|22.88265911|0.013564844|-339.6262863|1144.132956|664.4562602999999|1.0|0.0|1.0|1.0|0.0|3.39|0.08|27.0|-9.69|67.39|2.61|121.62|4.0|-5.6|4.0|-5.58|401.46|0.0|0.0|1.0|4.28|-5.53|2.48e-06|0.000997|0.0012|4.47|0.0|8.199999999999999e-08|-0.0582899999999999|5443.0|4.07|3.8867|-1275.823229|689.51|1174.95|0.6157|563.98|0.27375|0.6129|-1275.602977|0.0463|-0.21788|0.02957286|-1275.662457|5.0369|34.0|7.4685|7.4685
5_a27|0.0|0|0.0|0|0|1.4026035369999998|0.126882432|4.727387819|-0.068518519|2|-0.149034787|-0.286030638|0.00991794|-0.013448351|1|1|0.010329671|-0.341622797|-0.4982037479999999|2|0.639413469|0.760083119|-0.020087122|1|0.8531787759999999|-0.055979434|-0.085078576|-29.50048722|8.936508815|77.37301579999999|-0.030385206|-23.6277072|4.709432444|56.35994804|0.741481472|-1.276178645|53.51978325|-16.01263727|38.43699603|449.6149323|0.258518528|10.98289851|0.7827415529999999|4943.51602|-354.41560810000004|21.59546513|0.016479312|-254.5156507|907.0095354|424.8821143|0.0|0.0|1.0|1.0|0.0|3.07|0.16|21.0|-6.22|65.6|2.66|97.55|2.0|-3.61|4.0|-6.49|331.37|0.0|1.0|1.0|2.82|-4.01|0.000248|0.0821|0.0324|2.58|0.0|0.0002|-0.04554|4.0989|4.9|4.0989|-1083.124207|566.68|955.22|0.2448|463.87|0.64548|0.64548|-1082.967639|0.2448|-0.21506|0.01903872|-1083.019748|3.5632|3.0|8.5229|8.5229
12y_a36|0.0|0|3.479963309|2|2|1.29704385|-0.061103469|5.351858133|-0.065314765|2|0.036174187|-0.410155116|0.002782748|-0.028440975|1|1|0.003724542|-0.1619981409999999|-0.434990282|1|0.90500247|0.820226782|-0.0498101409999999|0|0.83704133|-0.076585128|-0.098532865|-51.48548385|13.04507243|109.55137340000002|-0.036493654|-44.53093547|8.769742642|14.40618351|0.755735734|-1.970657299|78.8341402|-24.53339777|64.53055627|562.7133986|0.244264266|14.80236899|0.950403792|6082.16777|-890.6187094000001|32.46293206|0.01873364|-343.8442493|1752.9983309999998|698.847203|1.0|0.0|0.0|0.0|2.0|4.88|0.12|17.0|-7.01|69.2|2.38|133.84|6.0|-4.58|4.0|-6.34|407.47|0.0|1.0|0.0|2.37|-4.55|2.6e-05|0.0106|0.0115|3.45|0.0|3.94e-05|-0.05002|3.8794|3.83|3.8794|-1310.315063|702.38|1183.75|0.4358|532.91|0.66796|0.66796|-1310.077567|0.4358|-0.20673|0.03583863|-1310.137888|8249.0|12.0|7.9208|7.9208
14i_a23|0.0|1|0.0|0|0|1.197963212|0.142566578|5.351858133|-0.130330047|2|0.040408197|-0.558153376|0.002243702|-0.026731172|2|2|0.002496501|-0.033435987|-0.569707595|2|0.77007911|0.8025091329999999|-0.04255066|1|0.777952733|-0.0889593869999999|-0.096562208|-60.8283953|14.65077903|151.83084580000002|-0.039760909|-45.14777443|10.01786784|93.48624142|0.7780956840000001|-2.027806362|79.20815775|-27.18760085|75.47917433|531.9462982|0.221904316|15.53342127|0.915894552|7030.347905|-948.103263|34.94120504|0.019276934|-380.3109456|1782.001457|693.3423458|0.0|0.0|1.0|0.0|2.0|3.56|0.04|26.0|-6.96|148.11|2.28|128.38|6.0|-5.21|5.0|-7.33|454.51|1.0|0.0|0.0|2.61|-4.39|6.11e-06|0.00278|0.0183|2.46|0.0|5.03e-05|-0.08025|3.6931|4.64|3.6931|-1798.608335|715.68|1224.02|0.3639|580.74|0.55606|0.55606|-1798.371346|0.3639|-0.23121|0.03394466|-1798.434186|8.3755|3.0|8.4622|8.4622
2_a4|0.0|0|0.0|1|1|1.189716144|-0.072708147|4.59511985|-0.103346554|1|0.08246129|-0.269140683|-0.001386521|0.076479666|0|0|-0.0016168089999999|0.228655117|-0.3881618|1|0.930871261|0.802438682|0.1355918559999999|0|0.742518847|-0.117395215|-0.105102755|-49.45826819|2.667094277|108.4760726|-0.0379537729999999|-18.65482233|1.123639184|0.0|0.843107708|-1.366335816|48.93681624|-15.98981578|52.12536246|312.82106489999995|0.156892292|7.800989232999999|0.656126301|3396.86527|-242.5126903|18.96532986|0.011054731|-289.1005902|682.7518749|284.26458360000004|0.0|1.0|0.0|0.0|2.0|3.33|0.27|12.0|-4.83|45.15|1.63|79.59|2.0|-2.18|4.0|-6.69|253.3|0.0|1.0|0.0|1.24|-2.77|0.0066|1.67|434.0|1.62|0.0|0.00374|-0.01612|5.8961|2.46|3.2230000000000003|-819.8996124|458.73|764.77|0.1315|333.36|0.4682|0.6885600000000001|-819.771754|0.0008|-0.16226|0.033037353|-819.8174190000001|3.0946|31.0|7.5086|7.5086
9_a47|0.0|0|0.0|0|0|1.3818994059999998|0.00410268|0.0|-0.1789147139999999|2|-0.043270202|-0.382556052|-0.009607222|0.045804989|0|0|-0.007880155|-0.045757939|-0.4477815529999999|2|0.7033922579999999|0.792070785|0.075092937|1|0.805149969|-0.084368438|-0.0969292319999999|-44.13640712|4.991260197|101.9336202|-0.036925422|-26.52703503|2.611122094|0.0|0.790651977|-1.550867715|58.96976407|-19.3171225|49.12766732|421.2052248|0.209348023|10.93281031|0.93384951|5212.504394|-424.4325604|24.43189048|0.015793737|-304.1026787|1026.1394|442.7664664|1.0|1.0|0.0|1.0|2.0|2.87|0.05|22.0|-8.47|58.04|2.99|101.46|3.0|-5.37|4.0|-5.26|345.37|0.0|0.0|1.0|4.09|-5.2|4.29e-06|0.00148|0.00218|4.43|0.0|1.17e-06|-0.05037|5.7429|4.06|3.7183|-1149.055456|566.1|959.59|0.2294|406.35|0.3885099999999999|0.69084|-1148.896866|0.2208|-0.20488|0.03463008|-1148.949486|3.4815|25.0|7.6|7.6
4d_a49|0.0|0|0.0|1|1|1.343847746|-0.06085453|5.4161004020000005|-0.058204482|2|-0.090862681|-0.343596561|0.000607064|0.013451218|1|1|0.001356445|0.000850823|-0.417231241|2|0.7745859279999999|0.783870915|0.023137464|1|0.752634646|-0.089942837|-0.085966608|-55.40321178|8.392883773|152.3727245|-0.0281044679999999|-32.61868996|5.16986937|57.16412513|0.654728051|-1.461432343|66.51766234|-17.31186002|63.79609555|463.6097566000001|0.3452719489999999|15.09148245|0.8868392740000001|5915.214567|-554.5177292999999|26.44129877|0.022019681|-190.6195379|1374.947536|641.1445234|0.0|1.0|1.0|1.0|2.0|3.38|0.22|21.0|-7.58|98.72|1.25|115.63|6.0|-3.13|5.0|-7.7|398.46|0.0|0.0|1.0|2.27|-3.35|0.000743|296.0|0.18|1.45|0.0|1.05e-05|-0.06309|5.7447|2.99|3.8047|-1293.29417|668.09|1144.04|0.2549|495.7|0.40593|0.6782100000000001|-1293.049085|0.0879|-0.2219699999999999|0.0395418|-1293.107454|5.5765|18.0|7.7447|7.7447
3j_a32|0.0|1|3.564417045|0|1|0.609420782|0.0053427669999999|6.3044488020000005|-0.017889768|0|-0.029763115|-0.269814716|-0.000202965|-0.052622352|3|3|0.001173363|-0.097980957|-0.528541012|0|0.812195122|0.824282683|-0.084553991|1|0.865101945|-0.070289671|-0.095013178|-37.33051857|7.315176208|71.64373163|-0.030815085|-26.79963418|3.885056172|0.0|0.7487739999999999|-1.140158136|58.58770587|-16.36574867|44.64569478|459.4516326|0.251226|10.69497519|0.812452828|4866.613493|-321.5956102|21.85672669|0.015301673|-264.245436|808.6988876|398.2788055|1.0|1.0|1.0|1.0|1.0|3.27|0.24|19.0|-6.69|110.94|1.94|95.74|3.0|-5.92|3.0|-5.6|338.45|0.0|0.0|1.0|4.09|-4.8|1.21e-06|0.0004089999999999|0.00533|3.89|0.0|6.86e-05|-0.05361|3.4982|3.02|3.4982|-1671.479105|564.55|934.19|0.3005|405.19|0.7028|0.7028|-1671.351322|0.3005|-0.19859|0.02833407|-1671.402462|5.9266|8.0|8.0969|8.0969
17a_a25|0.0|0|0.0|0|0|1.373200859|0.0055894319999999|4.727387819|-0.036457743|2|-0.017081614|-0.248224991|0.0063846319999999|0.006360768|1|1|0.006423059|-0.07654898|-0.362222339|2|0.6741827509999999|0.748718056|0.0114970419999999|1|0.874586929|-0.06234901|-0.079378741|-44.46905084|9.033070252|89.44809639|-0.0297670279999999|-40.379488|6.442637379|80.30332825|0.755980502|-1.666953566|67.57985355|-21.2306737|53.50212109|623.7797651000001|0.244019498|16.93624014|0.882500365|6250.571217000001|-847.969248|28.08362601|0.015373381|-365.1448527|1572.683056|781.7487682|1.0|1.0|1.0|1.0|1.0|3.48|0.11|27.0|-9.98|72.7|2.67|131.06|7.0|-5.12|4.0|-6.18|433.5|0.0|0.0|1.0|4.04|-5.13|7.5e-06|0.00325|0.00323|3.9|0.0|4.54e-08|-0.05255|5.2683|6.04|3.9347|-1391.588873|747.06|1271.9|0.4076|598.67|0.35172|0.6722|-1391.321455|0.1735|-0.21559|0.0362293|-1391.385492|5.1401|25.0|7.6021|7.6021
16_a4|0.0|0|0.0|1|1|1.398650725|-0.219944434|5.4161004020000005|-0.095499301|1|0.007101649|-0.089168424|0.0067511459999999|0.019290123|1|1|0.006466406|-0.0513920109999999|-0.214481956|1|0.490768328|0.774455255|0.0293772029999999|0|0.7898461090000001|-0.073335635|-0.080093659|-36.11951685|6.761192037000001|103.5057102|-0.033372358|-19.42906425|3.330045338|74.430775|0.832461695|-1.201404885|45.11883447|-16.43666742|42.88070889|389.0176968|0.167538305|10.19502391|0.837568182|4520.2597670000005|-291.4359638|19.74465314|0.0115138339999999|-327.4903335|710.807513|322.8922084|1.0|0.0|0.0|0.0|0.0|3.26|0.11|17.0|-6.36|30.71|3.44|85.02|2.0|-3.92|4.0|-5.64|309.31|0.0|1.0|1.0|3.91|-4.43|0.0001199999999999|0.0371|0.0114|3.59|0.0|0.000134|-0.03965|4511.0|4.05|4.2257|-1057.478071|515.68|856.55|0.2213|407.99|0.51149|0.54061|-1057.3808390000002|0.1006|-0.2134|0.01638524|-1057.429593|1.9873|343.0|6.4647|6.4647
14r_a23|0.0|1|0.0|0|0|1.197963203|-0.009140243|5.351858133|-0.06921746|2|0.014148395|-0.322513347|0.007671236|-0.064006338|2|2|0.0075222369999999|-0.17267308|-0.454010253|2|0.616699629|0.7837821840000001|-0.1050445769999999|1|0.8662226190000001|-0.062618931|-0.085881409|-40.32463891|12.35476415|86.14846171|-0.03654528|-35.61466281|7.956082857|55.62948521|0.7882228370000001|-1.717628177|66.31173073|-23.53402098|52.67940305|557.8203557999999|0.211777163|14.15357616|0.873329024|6744.848704999999|-712.2932561000001|29.85706563|0.017092103|-371.2130393|1403.282085|599.5697147999999|0.0|0.0|1.0|0.0|1.0|3.47|0.05|26.0|-7.67|105.02|3.4|120.24|5.0|-5.58|5.0|-6.31|429.47|0.0|0.0|0.0|3.7|-5.11|2.66e-06|0.00114|0.00332|3.68|0.0|9.18e-06|-0.06842|5.9406|3.72|3.1797|-1729.1326809999998|678.08|1145.51|0.2346|513.71|0.30482|0.68115|-1728.924789|0.0008|-0.22378|0.02296354|-1728.98403|8.8722|5.0|8.2684|8.2684
19_a4|-3.21497177|0|0.0|1|1|0.29641517|-0.121320311|5.4161004020000005|-0.3929802189999999|1|-0.052325802|-0.105763614|0.006243904|-0.136621315|1|1|0.009687676|-0.042058265|-0.245630631|1|0.55269662|0.774746438|-0.190513834|0|0.820765063|-0.070677568|-0.0759826109999999|-38.9063534|7.168604362000001|98.66465411|-0.028945757|-23.02459887|3.946149569|13.25878373|0.764880253|-1.215721775|49.73882261|-15.93396412|46.07495776|451.8120313999999|0.235119747|11.01887515|0.85352261|5232.561157|-368.3935819|20.83197214|0.0143733|-291.6208078|874.9428297000001|450.6848883|1.0|0.0|1.0|1.0|0.0|3.46|0.16|17.0|-6.09|73.23|2.16|98.19|3.0|-3.81|4.0|-6.58|351.42|0.0|1.0|1.0|2.92|-3.97|0.000156|0.0547|0.0373|2.62|0.0|0.0002839999999999|-0.05294|4.1858|6.67|4.1858|-1446.909868|583.39|983.4|0.3806|500.34|0.67535|0.67535|-1446.760398|0.3806|-0.22298|0.02985188|-1446.813896|7.1079|19.5|4.71|4.71
33_a47|0.0|1|0.0|0|0|1.409403453|-0.229935275|4.727387819|-0.085712613|3|-0.11544858|-0.183320497|0.002212256|0.0741098479999999|1|1|0.003634698|-0.338113214|-0.270498605|3|0.63155995|0.82821379|0.1186944519999999|1|0.8197001309999999|-0.060080724|-0.083739854|-32.1568697|11.96072985|96.50148984|-0.0272154529999999|-23.98884914|6.401714296000001|0.0|0.57681348|-1.088618103|60.65229445|-14.56646493|44.11759955|438.726241|0.42318652|12.94292541|0.854471925|4889.09585|-311.85503880000005|25.25333652|0.029580684|-82.22540944|1010.133461|388.178924|0.0|1.0|1.0|1.0|1.0|3.08|0.11|21.0|-7.08|68.52|1.52|94.28|3.0|-3.26|5.0|-6.78|334.35|0.0|1.0|1.0|2.69|-3.72|0.000546|183.0|0.0643|2.19|0.0|2.79e-05|-0.05462|4.1869|2.06|4.1869|-1123.135036|566.29|934.34|0.2566|423.52|0.67508|0.67508|-1122.992964|0.2566|-0.21447|0.02924367|-1123.04547|6.2284|4.0|8.4|8.4
16e_a32|0.0|1|3.343660084|0|0|0.609420752|0.180914799|5.733341277|-0.06951854|0|-0.04474426|-0.772021601|-0.0048042729999999|-0.01320745|3|3|-0.002310082|-0.219947482|-0.698621582|0|0.804503712|0.86370575|-0.022651598|1|0.7903051590000001|-0.087117996|-0.117338144|-55.957388|15.50894749|134.6906051|-0.037448344|-48.41036206|9.961663868|39.27920316|0.702226562|-1.760072163|90.34923861|-24.05371573|71.46633549|507.6266039|0.297773438|12.15001203|0.848279482|6142.277629|-726.1554308999999|34.2534974|0.023323257|-259.78720209999994|1609.914378|573.3529948|1.0|0.0|1.0|1.0|2.0|3.64|0.26|19.0|-7.38|149.27|1.12|111.95|8.0|-6.59|5.0|-6.15|413.52|1.0|0.0|1.0|3.77|-4.75|2.58e-07|0.000107|0.0074099999999999|3.76|0.0|1.73e-05|-0.0505899999999999|3.6214|4.59|3.6214|-1955.965644|677.82|1130.95|0.2858|552.79|0.7022|0.7022|-1955.766505|0.2858|-0.2005|0.02792775|-1955.827194|3.9389|7.0|8.1367|8.1367
12f_a31|0.0|0|3.4780522210000004|1|1|0.6101347579999999|0.034876922|5.733341277|-0.033056721|0|0.043286807|-0.698273995|-0.00150321|-0.0164221939999999|2|2|0.000889251|-0.205011573|-0.551471017|0|0.805862937|0.8167107029999999|-0.029803241|0|0.700992225|-0.097676974|-0.118239376|-68.14417693|19.26761061|208.6022728|-0.0337826789999999|-57.54866283|13.44201623|569.7325277000001|0.686882955|-1.891830012|97.53070764|-23.56842919|87.41178754|489.0460499|0.313117045|19.05849748|0.932987917|5845.744358|-920.7786053|34.31214739|0.021559868|-260.7571603|1921.480254|713.5657448|1.0|1.0|1.0|1.0|2.0|3.86|0.41|16.0|-8.02|117.37|1.53|117.78|10.0|-5.98|5.0|-6.19|426.53|0.0|0.0|1.0|4.01|-4.63|1.05e-06|0.0004469999999999|0.0101|3.82|0.0|4.06e-06|-0.03317|3.8305|5.39|3.8305|-1696.741889|755.33|1258.6|0.2664|665.22|0.7006600000000001|0.7006600000000001|-1696.466804|0.2664|-0.19211|0.04363832|-1696.53373|3.3538|0.13|6.8861|6.8861
12e_a40|0.0|0|0.0|0|0|0.604990524|0.061944605|5.4161004020000005|-0.262526337|0|0.174870826|-0.556620974|-0.013162335|-0.192362496|2|2|-0.014780739|0.172778196|-0.520457262|0|0.889386453|0.788800541|-0.279310345|1|0.7798787840000001|-0.132226452|-0.122830115|-71.78145688|8.195398107|119.4966772|-0.048387621|-36.19867792|4.4490161310000005|0.0|0.790818822|-1.596791495|78.14505956|-26.26807189|79.97685498|423.3709264|0.209181178|15.75963228|0.966435355|5478.52313|-470.5828129|33.21629575|0.021118537|-315.75223450000004|1096.13776|348.3847394|1.0|0.0|1.0|0.0|2.0|3.27|0.0|20.0|-6.04|98.89|2.93|95.8|2.0|-6.53|4.0|-5.26|378.23|0.0|0.0|1.0|3.98|-5.64|2.98e-07|0.000113|0.00086|4.72|0.0|0.000346|-0.07296|4.3236|4.66|3.0253|-2248.244231|552.91|918.38|0.4494|445.12|0.6826|0.70157|-2248.154966|284.0|-0.19912|0.03272669|-2248.206714|3.7268|1.17|5.9318|5.9318
