molecula|TASA|Num. of Rotatable bonds|NaasN|Oscillator Force (HOMO-LUMO transition)|GATS1pe|Dipole (gas phase)|Log Kp (cm/s)|heavy_atom_count|PNSA3|Mor01p|Log Po/w XLOGP3|Log Po/w MLOGP|Synthetic Accessibility|FNSA1|Fraction Csp3|Log Po/w Silicos-IT Log P|Total Energy (gas phase) (Hartree)|Area (grid)|pIC50
12bh_a36|554.7010591|5.0|0|0.011|0.857993338|5.8338|-6.38|31.0|-47.04367494|729.1873176|3.41|2.45|4.95|0.783294222|0.21|3.76|-1311.558898|715.94|7.8539
7f_a8|438.23883319999993|3.0|1|0.1502|0.507325475|8.7098|-5.27|28.0|-52.28313554|446.5544107|4.66|4.27|3.14|0.880922225|0.0|5.52|-1285.168078|584.99|4.4479
9a_a40|453.3484005|2.0|1|0.3483|0.61091688|3.8656|-4.85|21.0|-29.02567082|323.79254|4.54|3.57|3.26|0.868476591|0.06|4.58|-1217.9449|515.96|6.6696
4d_a49|463.6097566000001|6.0|1|0.0879|0.749565191|4.3005|-7.7|30.0|-55.40321178|641.1445234|1.45|1.25|3.38|0.654728051|0.22|3.16|-1293.29417|668.09|7.7447
21c _a23|561.9588018|6.0|2|0.3329999999999999|0.7301130229999999|6.0226|-7.13|34.0|-59.46209153|762.0576580000001|2.86|2.49|3.68|0.834557275|0.08|3.1|-1837.932192|747.88|7.1752
22_a20|616.3298149|4.0|1|0.0015|0.607038752|4.8308|-5.58|31.0|-39.00017609|664.4562602999999|4.47|2.61|3.36|0.77063827|0.08|5.33|-1275.816275|694.15|6.6364
12p_a36|471.1687161|5.0|0|0.1841|0.698414933|4.8805|-6.76|30.0|-51.98017377|595.8790650000001|2.78|2.4|4.72|0.759126153|0.14|3.13|-1332.148901|660.71|8.0458
3_a3|343.74795510000007|2.0|0|0.0851|0.8495058259999999|2.1507|-5.88|21.0|-48.91675544|302.8386149|3.26|1.41|3.11|0.7000038270000001|0.0|5.0|-1592.873593|491.26|5.93
8b_a12|428.7273481000001|4.0|0|127.0|0.856390139|4.2554|-6.51|27.0|-60.97837482|510.3677388|2.76|2.23|4.11|0.888936354|0.1|3.11|-1159.365835|611.93|6.58
3a_a32|378.0996237|2.0|0|0.2719|0.7757299320000001|3.6178|-5.77|20.0|-37.30101542|278.73805810000005|3.31|1.19|2.96|0.6723099029999999|0.07|5.77|-1554.768725|492.91|8.5686
12ap_a36|544.9693552|5.0|0|0.3982|0.8212311840000001|7.0249|-7.08|31.0|-54.21070432|642.3830552000001|2.4|1.38|4.78|0.737851886|0.13|2.75|-1325.159466|691.41|7.4949
12ac_a36|541.3322795|6.0|0|0.0249|0.770400825|4.0208|-7.21|32.0|-55.68500110000001|716.9974499|2.36|1.59|4.86|0.7316461470000001|0.17|3.16|-1385.566143|711.77|7.8861
5f_a40|342.5710869|3.0|1|0.0415|0.680674762|5.5961|-6.47|20.0|-52.44868801|269.0442248|2.2|1.29|3.08|0.814393685|0.21|2.94|-1232.959261|487.57|6.9508
10_a15|542.9602292000001|6.0|0|0.0042|0.7933685340000001|1.6654|-4.97|30.0|-30.73805622|673.7288405|5.29|2.87|3.58|0.8301726490000001|0.12|5.32|-1281.061184|631.2|8.1549
12_a15|572.3516967|6.0|0|0.0093|0.7933685340000001|4.3338|-4.97|30.0|-39.00359933|673.7288405|5.29|2.87|3.56|0.746489397|0.12|5.32|-1281.060163|688.91|8.3979
12au_a36|502.8713191000001|7.0|0|0.0158|0.750657639|6.1367|-8.03|34.0|-64.86748076|805.2286932|1.64|0.84|5.0|0.7160586109999999|0.17|1.28|-1876.156196|752.27|7.3279
14v_a23|605.3933675|7.0|2|348.0|0.575188253|4.5506|-5.94|35.0|-44.4776373|676.4530574|4.76|3.04|3.62|0.788328659|0.09|3.97|-2042.161744|679.5|8.4001
9d_a31|473.3981899|9.0|0|0.2611|0.771222772|2.6311|-6.36|29.0|-66.96024848|647.1500428999999|3.46|1.31|3.8|0.6636195229999999|0.38|6.04|-1657.428165|727.27|6.2218
12u_a36|586.1833819|6.0|0|0.0176|0.860667615|5.8702|-6.19|32.0|-50.53295452|799.5563855|3.8|2.66|5.05|0.77938748|0.24|3.85|-1350.865506|739.12|7.7959
16_a31|257.4650715|2.0|0|0.2534|0.8944757390000001|3.7419|-6.48|21.0|-66.9420327|280.39844320000003|2.32|0.78|3.2|0.73080436|0.14|3.8|-1308.202828|503.18|7.0458
17_a15|674.5333498|7.0|0|0.0377|0.740986227|5.1268|-5.58|33.0|-40.50376584|822.8625688|4.78|2.53|3.63|0.653207369|0.15|4.89|-1413.857182|752.08|7.9208
12i_a36|535.4151566|7.0|0|0.1516|0.624142499|5.1836|-6.4|34.0|-54.81607619|672.4630346|3.86|2.04|4.8|0.7691298590000001|0.17|3.31|-1645.171438|666.79|7.9208
11f_a5|589.7388387999999|7.0|0|0.1834|0.750555185|2.1313|-6.99|32.0|-47.57801621|753.9168511|2.7|1.03|3.35|0.5109475960000001|0.24|4.61|-1391.722248|729.96|7.9208
16g_a32|604.8539801|10.0|0|0.2879|0.762429418|3.7346|-5.69|30.0|-57.77542509|701.9321161|4.65|1.57|3.87|0.6863323440000001|0.33|6.81|-2034.593036|752.29|7.9586
12f_a36|556.5681681|6.0|0|0.0231|0.857993338|5.9228|-6.33|31.0|-46.86832019|729.1873176|3.47|2.45|4.94|0.7803018709999999|0.21|3.62|-1311.550167|699.88|7.9586
14k_a23|613.8243395|5.0|2|0.4694|0.659570836|5.8718|-6.03|31.0|-37.43135588|633.3278634|4.21|3.51|3.39|0.783562394|0.05|4.0|-2089.501786|691.9|8.4123
5d_a40|346.0207917|3.0|1|0.4493|0.483934049|7.0422|-5.94|20.0|-39.55506228|243.4287716|2.98|2.25|3.02|0.8111805740000001|0.21|4.08|-1276.817151|473.48|7.7212
12av_a36|524.1323793|7.0|0|0.0027|0.817582774|4.7666|-7.66|33.0|-57.31621925|757.7532208|1.85|1.49|4.96|0.671916917|0.17|2.38|-1440.945099|733.21|7.4089
13a_a30|470.0167988|6.0|0|0.1603|0.802578397|0.7158|-7.05|32.0|-74.02777574|713.7769663|2.74|2.06|4.76|0.799862466|0.13|3.04|-1744.4457100000002|721.66|7.8665
8d_a8|452.1282556|6.0|1|0.1879|0.734212688|6.0111|-6.87|32.0|-69.95878302|682.0472537|2.89|1.92|3.61|0.675359878|0.12|3.93|-1447.559429|690.78|4.7303
18d_a30|508.389239|5.0|0|0.3788|0.64876559|5.0115|-6.02|30.0|-49.44608411|618.6004214|3.97|3.2|4.75|0.783284395|0.14|4.25|-1674.987709|669.66|7.6737
15b_a50|469.3167805|5.0|2|0.1796|0.764606364|6.9054|-6.98|27.0|-47.20879251|510.3677388|2.11|1.66|3.56|0.639017342|0.19|2.71|-1160.463663|613.37|7.1024
4e_a49|464.3567821|6.0|1|0.0789|0.731643066|3.9718|-7.52|30.0|-57.79309816|620.5697596|1.71|1.25|3.35|0.650328475|0.22|3.4|-1313.158118|660.22|7.4685
4g_a49|857.1564845|7.0|2|0.0265|0.626581708|3.4099|-6.6|51.0|-61.24875669|1714.878736|5.28|2.87|4.83|0.6273572239999999|0.1|6.09|-2147.66293|985.89|6.9747
3b_a49|458.224537|6.0|1|0.0759|0.749565191|3.0055|-7.42|30.0|-54.04959517|641.1445234|1.84|1.25|3.37|0.656865946|0.22|3.16|-1293.291817|664.15|7.6021
12x_a30|560.5459455|5.0|0|0.1517|0.803183654|4.3702|-5.64|31.0|-47.48669555|754.3941655|4.6|3.25|4.86|0.824674971|0.21|4.87|-1654.3784|703.75|7.6556
12az_a36|574.0196415|7.0|0|0.0146|0.8350231859999999|6.3778|-7.13|33.0|-50.28669997|766.4854363|2.62|1.42|4.96|0.583865006|0.21|2.83|-1461.962459|737.12|7.2366
