molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|nAHRing|nARing|BCUTs-1|AATSC1c|SRW07|n6HRing|JGI4|ATSC1c|AATSC1are|n5aRing|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|nFaHRing|RASA|FNSA3|PBF|PPSA3|RPSA|TPSA_x|FNSA4|FNSA2|WNSA3|TASA|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|DPSA4|DPSA1|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Molecular Mass|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50
17a_a50|0.0|0|1|0.0|0.0|1|1|1.349854788|-0.002225436|5.82008293|1|0.034142512|-0.133526134|0.012510153|2|2|0.012893333|-0.178162528|-0.3891730779999999|-0.220088198|0.762224122|0.784570118|-0.204032723|-0.215448852|0.732114362|1|0.92300665|-0.045404408|0.4062532579999999|8.977762705|0.07699335|50.14419437|-0.0280449529999999|-1.570517366|-19.25896309|601.1353533|-1022.84584|1799.721631|-11.89568886|0.2100891|15.76161018|5718.782531|136.82673369999998|23.12299308|-377.6260803|719.3470265|7.556715901|1.0|1.0|1.0|1.0|1.0|0.0|3.29|0.29|4.14|51.77|2.3|1.0|0.0|121.78|1.0|6.0|-3.99|30.0|4.0|398.5|1.0|3.27|-4.44|0.0408|0.0144|3.23|0.0|6.97e-05|4.0477|-1258.566007|-1258.540058|705.96|306.31|291.88|616.93|0.66046|0.1754|-0.1992|0.02594911|8.2991|7.0706
2_a49|0.0|0|0|0.0|0.0|1|1|1.3438506419999998|-0.004112807|5.4161004020000005|2|0.038726287|-0.189189114|0.004524556|1|1|0.004580676|-0.170631119|0.055400364|-0.320124905|0.802447754|0.79056501|0.084099874|0.00991453|0.7701578720000001|1|0.81348014|-0.08647612|0.41397907|5.634353797999999|0.18651986|95.04720801|-0.028277173|-1.187641272|-22.45560511|414.5350312|-605.2008985|1550.010086|-7.34284831|0.284594011|10.38394173|4874.364109|145.02405359999997|20.14177325|-219.534132|439.9973344|8.91679918|0.0|1.0|0.0|1.0|1.0|1.0|2.5|0.15|3.7|69.62|1.88|0.0|1.0|99.52|1.0|2.0|-3.53|25.0|3.0|327.38|1.0|2.76|-3.89|0.0955|0.0421|2.43|0.0|4.94e-05|3743.0|-1046.018455|-1045.981819|553.52|331.24|227.02|371.96|0.68172|0.0572|-0.19923|0.0366366999999999|6.7117|7.2291
12h_a30|0.0|0|0|0.0|0.0|2|2|0.604984682|-0.00737961|5.351858133|2|0.043848238|-0.391119352|0.001139238|1|1|0.002064369|-0.166613751|-0.120380857|-0.4708582289999999|0.669561738|0.831176513|0.008644634|-0.1240820219999999|0.64876559|0|0.763568404|-0.083127678|0.353607682|11.06352871|0.236431596|150.42542849999998|-0.038417127|-1.882439244|-33.64938551|485.8069155|-1197.668733|2268.811589|-15.55093031|0.202025127|15.1759206|6252.192213|128.5349203|30.63031164|-379.1625034|618.6004214|10.10721793|1.0|0.0|1.0|1.0|0.0|1.0|0.0|0.14|3.18|81.65|3.2|2.0|0.0|127.24|1.0|5.0|-5.39|30.0|5.0|416.47|0.0|2.92|-5.01|0.00171|0.00405|3.97|0.0|5.260000000000001e-05|3.5101|-1675.011389|-1674.977665|672.54|353.22|246.54|518.06|0.68543|155.0|-0.2023599999999999|0.03372393|3.4138|8065.0
3b_a12|0.0|0|0|0.0|0.0|1|1|1.283824445|-0.007916598|0.0|2|0.0375|-0.332497127|-0.004028952|0|0|-0.003019113|-0.19952566|-0.116772665|-0.547002361|0.914614654|0.768772928|-0.008328578|-0.007397776|0.802482465|0|0.903204699|-0.064393592|0.073824142|5.401901357000001|0.096795301|50.46508298|-0.034016616|-1.326648015|-17.50314491|470.8937285|-691.6596323|1935.211747|-9.246226764|0.2311778089999999|10.88757628|4665.346939|120.5265876|23.06757345|-280.3056362|406.0361621|8.665655511|1.0|1.0|1.0|0.0|1.0|1.0|2.98|0.05|3.14|37.28|3.99|1.0|0.0|102.53|1.0|3.0|-4.26|24.0|3.0|332.79|1.0|3.59|-4.64|0.0184|0.00759|3.78|0.0|2.63e-06|3.7741|-1410.971864|-1410.947421|548.05|328.51|294.55|426.66|0.6654800000000001|0.2418|-0.2232|0.02444371|8.5678|7.3098
18a_a25|0.0|0|0|0.0|0.0|0|0|1.194229606|-0.0029953159999999|4.727387819|2|0.038167849|-0.170732995|0.007643634|1|1|0.007325341|0.106305991|-0.06333068|-0.2936794219999999|0.761417363|0.7385460309999999|-0.039007784|-0.035531959|0.7291583840000001|1|0.931628386|-0.055926422|0.341320954|6.317215793|0.068371614|45.33086513|-0.03097773|-1.641819678|-24.58404782|617.676232|-1088.538099|2331.966135|-13.61714122|0.182927961|14.59524518|6523.923911999999|121.2825364|25.136651|-420.4420243|759.4953883|7.615762647|1.0|1.0|1.0|1.0|1.0|1.0|3.43|0.08|5.72|87.72|2.88|2.0|1.0|133.85|1.0|6.0|-6.33|32.0|3.0|435.54|0.0|4.53|-5.77|0.000202|0.000744|4.76|0.0|7.28e-08|3.1711|-1675.274716|-1675.2501519999998|694.17|390.98|225.57|556.26|0.5274399999999999|0.0027|-0.21323|0.02456497|4.3839|7.0269
14a_a10|0.0|0|0|0.0|0.0|2|2|1.3438495730000002|-0.002047597|5.4161004020000005|3|0.035660377|-0.147427016|0.011509975|1|1|0.012272222|0.042968756|-0.344811314|-0.168193178|0.76857495|0.7348225290000001|-0.011977878|-0.007680215|0.740051323|1|0.911549451|-0.044416218|0.43555903|9.840503082|0.088450549|64.18371923|-0.018970051|-1.270993412|-23.38784787|661.4615097|-922.2903058|1774.8853399999998|-9.988888957|0.457984122|18.88856367|6754.660977|332.3339934|25.39690722|-60.97724212|1003.968547|15.9041322|0.0|1.0|1.0|1.0|1.0|0.0|4.4|0.39|3.36|59.31|1.94|1.0|0.0|146.76|1.0|7.0|-4.21|35.0|6.0|468.59|1.0|3.43|-4.8|0.0288|0.00743|3.29|0.0|3.07e-06|3802.0|-1489.655581|-1489.803158|800.01|326.1|222.16|645.26|0.7047100000000001|0.0005|0.19621|-0.14757681|4.8004|7.1308
1b_a5|0.0|1|0|2.881451247|0.0|0|0|1.4258024619999998|-0.00279809|4.59511985|2|0.0248765429999999|-0.111923619|0.003886035|1|1|0.003708988|-0.220946861|0.045204303|-0.231956531|0.567806811|0.759794937|0.122747292|-0.054153474|0.558485747|0|0.808828623|-0.07823203|0.341795323|5.438378717999999|0.191171377|96.23685048|-0.031306145|-1.158327367|-19.82538668|407.1693177|-583.1091414|919.9167129|-7.933533473|0.267518749|11.64312636|4577.125071|134.6705884|21.51550842|-234.0649914|357.34245360000006|9.680212283|1.0|1.0|0.0|1.0|1.0|1.0|1.81|0.0|4.76|54.46|2.29|0.0|0.0|90.44|1.0|3.0|-3.97|24.0|4.0|316.33|1.0|3.38|-4.3|0.0336|0.0157|3.16|0.0|1.58e-06|4.6481|-1050.538976|-1050.506509|536.59|266.74|258.89|388.58|0.43728|87.0|-0.23055|0.03246637|4.3687|7.2291
IN1166_a11|0.0|1|0|3.433539068|0.0|0|0|1.429020445|-0.006882528|4.727387819|2|0.044021739|-0.378539035|-0.003356527|1|1|-0.001446486|0.032420935|-0.223618825|-0.462344944|0.841211811|0.765593573|0.102257199|-0.067328767|0.790249345|1|0.863273559|-0.073965061|0.551933595|13.82641888|0.136726441|94.40543077|-0.031642539|-1.6137695069999998|-35.26269962|596.0640225999999|-1114.258549|2953.475057|-15.08551944|0.305697179|12.63334911|6310.825439|211.0745642|31.46783535|-268.3203251|676.2770877|14.86669859|1.0|1.0|1.0|1.0|1.0|2.0|2.79|0.08|4.53|103.17|0.92|1.0|0.0|123.82|0.0|5.0|-5.11|32.0|5.0|417.47|0.0|3.31|-4.78|0.00323|0.00688|3.27|0.0|2.75e-08|3.2827|-1347.298558|-1347.256659|704.48|377.7|248.68|554.63|0.6998300000000001|0.1239|-0.21098|0.04189898|4.3481|7.9318
12e_a40|0.0|0|0|0.0|0.0|0|0|0.604990524|-0.015461694|5.4161004020000005|0|0.04020202|-0.556620974|-0.013162335|2|2|-0.014780739|0.292184471|0.172778196|-0.520457262|0.889386453|0.788800541|0.047011204|-0.279310345|0.8096582170000001|1|0.7798787840000001|-0.132226452|0.284429447|8.195398107|0.220121216|119.4966772|-0.048387621|-1.596791495|-38.96782748|423.3709264|-866.8463724999999|694.2415706|-14.26008524|0.209181178|15.75963228|5478.52313|113.5576846|33.21629575|-315.75223450000004|348.3847394|11.46456937|1.0|0.0|1.0|0.0|0.0|2.0|3.05|0.0|4.84|98.89|2.93|2.0|0.0|95.8|1.0|2.0|-6.53|24.0|4.0|378.23|0.0|3.98|-5.64|0.000113|0.00086|4.72|0.0|0.000346|3.0253|-2248.276958|-2248.244231|552.91|409.82|286.76|445.12|0.70157|284.0|-0.19912|0.03272669|3.7268|5.9318
3b_a32|0.0|1|1|3.3653429710000005|0.0|0|0|0.609420808|-0.007388108|5.733341277|0|0.042528736|-0.265971895|-0.001282231|3|3|0.00020567|-0.078754696|-0.151445075|-0.536470812|0.833920105|0.800396027|0.094335058|0.167519182|0.7725667079999999|1|0.8407393809999999|-0.073068133|0.2719741|7.180211702|0.159260619|78.12568166|-0.033451833|-1.103910485|-17.58323784|412.4267349|-541.5259561|1084.520517|-8.049905042|0.2358716619999999|10.69254007|4448.251276|115.707414|21.47528975|-259.1375886|323.0421997|7.59811844|1.0|1.0|1.0|1.0|1.0|1.0|2.57|0.13|4.43|110.94|1.45|1.0|0.0|88.24|1.0|2.0|-5.73|21.0|3.0|312.41|0.0|3.68|-4.65|0.0005809999999999|0.00697|3.71|0.0|9.97e-05|3.5545|-1594.121087|-1594.095192|524.46|348.81|348.81|396.83|0.70257|0.2905|-0.20137|0.02589511|5.7777|8.2366
