molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA5|PPSA3|RNCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
19_a47|0.0|1|0.0|0.0|1|0|0|1.402889494|-0.038804671|-0.00973456|2|0.032764858|0.027033021|1.174354482|-0.4380552029999999|-0.013020816|-0.064557784|0.0604168609999999|1|-0.010153352|0.074201869|-0.126992366|-0.439165562|2|0.635684951|-0.024256505|0.8873627890000001|1|0.639642891|-0.104459947|-57.87554797|14.85167037|335.10989930000005|0.637832605|-1.566899206|-32.2945343|76.13237258|-20.66983856|73.14028211|0.463378097|2612.978054|354.3911695|-868.1332196000001|1238.799875|13.17443625|0.8635094740000001|5846.960345|200.6571609|32.40636867|0.03295186|18.25682461|1.0|1.0|1.0|3.13|-6.92|2.49|3.84|98.72|1.0|0.0|99.2|0.0|1.0|5.0|-3.67|28.0|380.35|1.0|-3.66|0.0816|0.000217|1.97|0.0|0.0|1.2099999999999998e-07|4.59e-05|3.8423|3.8423|-1335.75742|974.59|412.31|-1335.580357|0.3243|-0.15845|5.1151|-1335.634976|0.05|7.3|7.3
4g_a49|0.0|0|0.0|0.0|2|2|2|1.343847279|-0.087219006|-0.003686314|4|0.036761229|-0.085731041|3.4246879480000003|-0.328081947|0.007953069|0.003456679|0.08591712|2|0.007845545|-0.146265064|-0.066023903|-0.311927917|4|0.651833607|-0.027032199|0.81242269|2|0.8601878270000001|-0.0666753309999999|-66.44036383|18.87757641|151.0705543|0.6273572239999999|-2.000259924|-61.03291321|90.11923831|-24.91513644|80.12633309|0.48934952|4706.348867000001|857.1564845|-1993.210915|4747.967275999999|18.19125978|0.958286615|11516.07629|371.3295653|39.71443299|0.023762615|23.67887448|0.0|1.0|0.0|4.83|-13.67|6.09|7.56|116.3|2.0|0.0|198.32|0.0|0.0|7.0|-7.47|51.0|663.73|0.0|-7.43|2.24e-05|3.72e-08|5.28|0.0|1.0|2.13e-14|1.4199999999999998e-11|4.3116|3.6269|-2147.721319|1766.47|662.84|-2147.217543|0.0265|-0.15087|3.4099|-2147.295787|106.0|6.9747|6.9747
14_a1|0.0|0|3.3674017380000003|0.0|0|1|1|1.430935835|0.043282217|-0.015636898|1|0.035620155|0.1008839219999999|0.0|-0.766207981|-0.011639964|-0.029658865|-0.0492229479999999|1|-0.008385698|0.164429684|-0.033765606|-0.567791164|1|0.838928085|-0.08530265|0.805877431|0|0.593170871|-0.122581374|-72.59355177|19.5711254|161.1772893|0.753357398|-2.083883365|-44.39360096|87.02320758|-27.42423067|94.53410059|0.47517581|2678.985809|351.2799603|-1234.09038|1876.042189|14.21658628|0.905399978|5748.712211|146.0634832|36.40268318|0.0243658979999999|14.42965582|1.0|1.0|1.0|3.25|-7.69|4.04|3.63|103.12|1.0|0.0|106.85|0.0|1.0|4.0|-4.52|29.0|384.39|1.0|-4.25|0.0116|5.660000000000001e-05|2.7|0.0|0.0|2.03e-08|7.81e-06|3.8344|3.3061|-1292.588129|1049.56|464.08|-1292.359534|0.3497|-0.1336|4.1207|-1292.415211|94.0|7.0269|7.0269
16i_a32|0.0|1|3.352437091|0.0|0|0|0|0.6094207429999999|0.175604846|-0.0146198339999999|0|0.0439583329999999|-0.056414399|2.078707411|-0.7748511779999999|-0.003511776|-0.104899053|0.006037736|3|-0.001202032|-0.098841478|-0.211019184|-0.700853898|0|0.801401734|0.134577711|0.8829894|1|0.801494708|-0.114771536|-75.01027196|14.59730623|90.08098301|0.718964113|-1.836344582|-36.62130242|88.80827938|-24.00328703|70.6307405|0.455596751|2770.767996|523.8261846|-1200.164351|3450.514629|12.57892808|0.836873682|6355.471589|183.6742715|33.38593207|0.021112022|13.79800742|1.0|1.0|1.0|3.75|-7.4|6.25|4.85|149.27|3.0|0.0|116.75|1.0|1.0|8.0|-7.03|29.0|427.54|0.0|-5.09|3.96e-05|8.18e-06|4.19|0.0|0.0|4.01e-08|1.7100000000000002e-05|3.6176|3.6176|-1995.307733|1175.51|573.38|-1995.055356|0.2857|-0.14976|3353.0|-1995.11813|6.0|8.2596|8.2596
8a_a12|0.0|0|0.0|0.0|0|1|1|1.283813597|0.082323047|-0.00771093|3|0.0420317459999999|-0.205012437|0.0|-0.362413703|-0.001510006|-0.050603335|-0.084035283|0|0.000249868|-0.3422915179999999|-0.226106307|-0.5385001079999999|2|0.913877696|-0.1261547959999999|0.8157289759999999|0|0.892656426|-0.093050281|-48.195997|5.354053791|46.32568673|0.791430726|-1.4888045019999998|-15.90061008|55.45388635|-17.52581709|36.0527909|0.46777503|2212.38965|462.3571879|-771.1359521|2093.2274030000003|9.607296424|0.878904705|4806.044707999999|108.02980890000002|22.14447395|0.014012546|7.257889351|1.0|0.0|1.0|4.06|-7.89|3.87|2.5|50.17|0.0|0.0|105.24|0.0|1.0|3.0|-3.9|25.0|327.38|1.0|-4.21|0.0408|6.19e-05|3.18|0.0|0.0|1.28e-08|4.2e-06|3.9091|3.9091|-1046.0428949999998|952.71|424.14|-1045.851982|0.2486|-0.15696|3.6588|-1045.902509|199.0|6.7011|6.7011
17c_a50|0.0|1|0.0|0.0|2|2|2|1.347835869|-0.212075666|-0.002676029|2|0.031870748|0.021572081|2.193763306|-0.1766179239999999|0.01130519|-0.144763835|-0.120904775|2|0.012222674|0.034485992|-0.373205592|-0.2256811219999999|1|0.762883243|-0.139943634|0.816442883|1|0.89719894|-0.073693343|-50.69922125|14.91199042|133.46240020000002|0.569750429|-1.32648017|-24.567468100000003|66.7258111|-14.96042594|50.6217864|0.49503436|2951.495914|617.2509739|-912.5859825|2014.72331|16.45688922|0.98033276|6438.380804|296.00120400000003|26.25785813|0.0232952879999999|16.02658985|1.0|1.0|1.0|4.12|-6.79|3.59|3.53|61.0|1.0|0.0|134.28|0.0|1.0|6.0|-3.8|33.0|440.54|0.0|-4.43|0.0698|3.75e-05|2.86|0.0|0.0|1.6100000000000005e-07|7.08e-05|4.2397|4.0432|-1411.187392|1289.05|596.23|-1410.838844|0.1801|-0.16697|6.3989|-1410.902767|69.0|7.1612|7.1612
8b_a32|0.0|1|3.419952523|0.0|0|0|0|0.609420757|0.113639567|-0.009362305|0|0.03995614|-0.008128765|2.123714284|-0.458752924|-0.003484915|-0.024375676|-0.0684566009999999|3|-0.001662219|-0.014634534|-0.1534110109999999|-0.577864293|0|0.788133615|0.060636167|0.8966299409999999|1|0.788218098|-0.108971309|-68.4085006|10.49093175|102.4297669|0.669149204|-1.4166270230000002|-33.50038167|81.73293254|-19.33283713|63.85535908|0.458155153|2573.703546|494.8166492|-889.3105078|2275.886421|14.95918599|0.845546757|5619.400983|207.6969342|28.89166873|0.021225152|13.32443194|1.0|1.0|1.0|3.46|-7.65|6.49|4.19|140.04|1.0|0.0|110.47|1.0|1.0|7.0|-5.83|27.0|397.52|1.0|-4.39|0.000583|4.06e-05|3.22|0.0|0.0|2.23e-08|8.86e-06|3.5442|3.5442|-1880.77142|1114.24|558.16|-1880.539698|0.2943|-0.14717|846.0|-1880.602014|12.0|7.9208|7.9208
4e_a46|-3.742323661|0|0.0|0.092094405|1|1|1|0.300205548|0.1369980459999999|-0.005995748|2|0.041636905|-0.08224348|0.0|-0.4017151029999999|-0.001404912|-0.058626723|-0.05803828|1|0.002688298|-0.135489528|-0.049530834|-0.514537262|2|0.738134189|0.075271624|0.8146060740000001|0|0.753715041|-0.084780904|-64.33855433|8.098142567|105.0139519|0.7951078540000001|-1.949960781|-48.10898007|73.87174786|-23.48867857|71.49283399|0.4753010039999999|3411.457836|571.9794684|-1479.78675|3129.575458|15.06943449|0.905854609|7615.063066|155.48860530000002|29.54149986|0.0125621839999999|9.533193534|0.0|1.0|1.0|4.5|-8.81|3.05|5.93|124.17|2.0|0.0|137.28|0.0|1.0|5.0|-6.08|35.0|488.6|0.0|-5.41|0.000405|3.92e-06|3.78|0.0|0.0|1.56e-09|7.64e-07|4.2446|4.1773|-1884.613031|1343.97|655.69|-1884.255802|0.3109|-0.17112|1.9941|-1884.324182|154.0|6.8125|6.8125
34_a20|0.0|0|0.0|0.0|1|0|0|1.416932073|0.0305860929999999|-0.0057643419999999|2|0.0396875|0.199191385|1.991704333|-0.328567476|0.003085806|-0.046356705|-0.054458882|1|0.003149352|0.327535029|0.057022334|-0.4478820739999999|2|0.7071284179999999|-0.101401966|0.80310139|1|0.7966571459999999|-0.085459595|-57.49912174|8.766605631000001|297.5548445|0.776414086|-1.709191893|-38.56497154|67.53437417|-21.69778179|66.0848174|0.462785432|2825.042137|536.0086996|-1149.982435|2319.742032|14.7802149|0.8614536140000001|6211.26199|150.43359099999998|27.94614651|0.01491516|10.03525243|1.0|1.0|1.0|3.43|-9.18|4.5|4.62|86.69|2.0|0.0|125.0|0.0|1.0|5.0|-5.14|32.0|419.48|1.0|-5.02|0.00305|9.51e-06|3.63|0.0|0.0|6.64e-10|2.780000000000001e-07|5.4132|3.8699|-1352.31921|1205.64|544.93|-1352.041015|0.0766|-0.16103|3.8519|-1352.102407|61.0|7.2147|7.2147
14b_a23|0.0|1|0.0|0.0|2|0|0|1.197963628|0.065240838|-0.006248709|2|0.043538647|0.0519489729999999|0.716540473|-0.318684138|0.007671236|-0.0644978|-0.047410593|2|0.0075222369999999|0.121308009|-0.17267308|-0.4557487779999999|2|0.616699629|-0.00399443|0.857184548|1|0.8462596590000001|-0.082441268|-53.44429544|13.26014776|40.76245006|0.774359705|-1.64882535|-26.58857202|64.97993029|-22.74225338|54.274732400000005|0.450973737|2943.803333|548.6057241000001|-1068.885909|2280.830615|14.26820636|0.821406493|6622.129837|146.2760938|29.36910744|0.01779446|11.53563485|1.0|1.0|1.0|3.42|-7.67|3.78|4.58|105.02|2.0|1.0|120.24|0.0|1.0|5.0|-5.58|31.0|429.47|0.0|-5.11|0.00114|7.73e-06|3.68|0.0|0.0|2.14e-08|9.18e-06|3706.0|3706.0|-1729.161608|1142.37|525.66|-1728.9300010000002|0.3603|-0.15064|6.8752|-1728.9893510000002|4.0|8.3536|8.3536
3i_a32|0.0|1|2.417426304|-4.547725143|0|0|0|0.6094207970000001|-0.157360524|-0.012358668|0|0.05052381|-0.21362765|1.711001131|-0.4449120629999999|-0.0131506889999999|-0.26785886|0.022524712|3|-0.0106761939999999|-0.8373173840000001|-0.212967423|-0.537667101|0|0.565740817|-0.337053202|0.902293804|1|0.893827987|-0.1132851459999999|-59.72706743|8.064907632|60.99385995|0.77072347|-1.472706897|-25.92886531|71.27609889|-23.52884474|57.24454122|0.422644726|2471.4299920000003|471.2508776000001|-776.4518766|2141.3084710000003|10.09193014|0.732035793|5656.349227000001|120.8809386|30.52825775|0.021905206|11.54903146|1.0|1.0|1.0|3.1|-6.96|6.76|6.29|110.94|2.0|0.0|88.28|0.0|1.0|3.0|-6.27|24.0|366.38|1.0|-5.16|0.000197|6.85e-06|4.23|0.0|0.0|1.0900000000000001e-07|4.01e-05|3642.0|3642.0|-1891.833327|876.0|418.24|-1891.738614|0.4765|-0.1476|2494.0|-1891.790935|6.0|8.2366|8.2366
6d_a40|0.0|0|0.0|0.0|1|1|2|0.604893491|0.12627602|-0.015362927|0|0.039160494|-0.104206961|0.683786612|-0.722057579|-0.005066797|0.086704068|-0.205140551|2|-0.00448098|-0.249967637|-0.0603134|-0.624951805|0|0.6224555620000001|-0.039077432|0.8988141140000001|1|0.663670372|-0.119563634|-76.51205671|11.10859664|192.5638526|0.86005241|-2.15214542|-47.09642482|85.47607798|-32.02830281|84.70509846|0.428134701|3063.227702|424.7009165|-1377.2170210000002|3212.360755|12.08146906|0.7486635420000001|7436.576348|89.55631|37.23994308|0.01400787|8.964021265|1.0|0.0|1.0|3.98|-4.31|4.8|3.63|173.43|2.0|2.0|120.09|1.0|2.0|5.0|-7.21|30.0|460.52|1.0|-5.15|2.85e-05|7.1e-06|3.87|1.0|0.0|4.9e-05|0.0226|2.9559|2.9559|-2470.82949|1111.69|511.88|-2470.62267|0.3518|-0.11938|7.8884|-2470.684323|1.0|8.9208|8.9208
8_a1 (SB-202620)|0.0|0|3.296085365|0.0|0|0|0|1.4323973840000002|0.106916453|-0.013785521|1|0.037578348|-0.0443137679999999|0.0|-0.606562911|-0.012672753|-0.1402198369999999|0.037553634|1|-0.0106277489999999|-0.095271547|-0.042643966|-0.612004804|1|0.674381582|-0.042789124|0.805476065|0|0.648967503|-0.105271458|-59.72618401|8.809217494|208.2071465|0.7742395870000001|-1.684343335|-37.88089785|70.8721358|-23.30777912|75.57687443|0.4564697679999999|2431.842132|368.1943149|-955.6189441|1736.664204|13.67402758|0.839824062|5170.286136|128.0860757|30.104091200000003|0.019645498|11.1459518|0.0|1.0|0.0|2.74|-8.02|4.86|5.06|78.87|2.0|0.0|99.61|0.0|1.0|4.0|-4.94|27.0|359.35|1.0|-4.7|0.0041|1.98e-05|3.6|0.0|0.0|9.53e-09|3.42e-06|3.4052|3.4052|-1223.279021|977.87|460.4|-1222.9606720000002|0.5339|-0.13683|3.4563|-1223.014114|0.4|6.3979|6.3979
19h_a38|0.0|0|3.2723542610000003|0.0|0|2|2|1.297044177|-0.088176988|-0.007781653|2|0.042622739|0.14165187|0.0|-0.420209249|-0.002526241|-0.043452674|-0.070688288|1|-0.000673716|0.303981987|-0.217394466|-0.420225236|1|0.724208473|-0.054149342|0.8741648479999999|0|0.7746288020000001|-0.109986804|-64.79649453|12.51014765|136.81322659999998|0.75379331|-1.979762478|-28.533396600000003|76.70128100000001|-23.32673803|60.94327866|0.47459722|2774.611523|456.3568442|-1166.336902|1839.424968|12.98143834|0.903301693|6253.901215|145.047677|30.94580137|0.020207411|11.90478646|1.0|1.0|1.0|4.8|-6.86|3.13|2.55|81.23|1.0|0.0|125.69|0.0|1.0|5.0|-4.14|30.0|401.44|1.0|-4.17|29.0|6.77e-05|2.78|0.0|0.0|1.4e-07|5.610000000000001e-05|3.7384|3.5358|-1332.187847|1092.17|452.01|-1331.941646|88.0|-0.1467099999999999|6.9749|-1331.999352|9.0|8.0348|8.0348
12_a1|0.0|0|3.3894574360000003|0.0|0|1|1|1.430936075|-0.0455890429999999|-0.011221829|1|0.036382114|0.076867966|0.0|-0.516204114|-0.0038943009999999|-0.0811332759999999|-0.051772288|1|-0.001416381|0.127560614|-0.173618873|-0.487073772|1|0.8016064479999999|-0.045776997|0.817998205|0|0.765121385|-0.104724018|-60.78517756|19.60151089|133.6600817|0.724666653|-1.675584287|-32.50125347|74.99749378|-23.15625812|75.59644237|0.46449367|2592.245875|444.1009824|-972.562841|1825.150911|14.34104294|0.867391557|5468.378562|159.81230209999998|31.95435864|0.024485753|14.21231622|1.0|1.0|1.0|3.29|-8.2|4.87|4.41|83.82|2.0|0.0|103.47|0.0|1.0|3.0|-4.98|28.0|366.37|1.0|-4.75|0.00379|1.77e-05|3.54|0.0|0.0|6.28e-09|2.3e-06|3734.0|3.1744|-1216.12881|1018.84|482.51|-1215.922313|0.2821|-0.12874|7.7454|-1215.975876|2.95|5.5302|5.5302
13i_a6|0.0|0|3.399318783|0.0|0|1|1|1.430639411|0.0359494989999999|-0.0149593219999999|1|0.042560386|0.035242754|0.0|-0.852681372|-0.011017781|0.034304189|-0.032549318|1|-0.007703306|0.057038772|-0.073507141|-0.560601136|1|0.8744720490000001|0.145878803|0.8287956870000001|0|0.624046118|-0.129526268|-86.83156133|20.90143854|181.1128483|0.783597763|-2.460999087|-54.13430283|100.2320567|-31.12829557|101.6533459|0.429711323|2906.257489|418.3467934|-1649.799665|2880.134143|14.54375165|0.753497905|6306.951561999999|145.07130039999998|39.72483975|0.019989461|13.40049533|1.0|1.0|1.0|3.59|-8.5|4.16|3.54|115.15|1.0|0.0|120.17|0.0|1.0|6.0|-5.03|32.0|427.46|1.0|-4.48|0.00398|3.28e-05|2.95|0.0|0.0|3.18e-09|1.36e-06|3.6668|3.5614|-1426.549926|1196.21|553.67|-1426.269916|19.0|-0.1464|7.8342|-1426.332492|21.0|7.6778|7.6778
11b_a50|0.0|1|0.0|0.0|2|1|1|1.3979498330000002|-0.154649459|-0.002908227|1|0.038040936|-0.007722567|2.114272566|-0.13377846|0.011959339|-0.218953127|-0.133073229|2|0.012037198|-0.013155246|-0.277408878|-0.266743077|1|0.701976536|-0.146696566|0.862408925|1|0.931316325|-0.069841183|-36.43643854|10.1501574|7.949039772000001|0.642051995|-1.047617742|-12.12179711|47.72173991|-13.01301376|33.38515735|0.42907551|2286.724895|485.8716402|-546.5465781|1650.235214|9.979494111|0.751545111|4884.730303|186.7429782|20.26785036|0.021631609|11.28530137|1.0|1.0|1.0|3.44|-5.87|3.09|3.73|48.53|0.0|0.0|99.65|0.0|2.0|2.0|-3.58|25.0|327.38|1.0|-4.16|0.0862|6.97e-05|2.9|0.0|0.0|1.35e-06|0.000441|4.6471|3.9863|-1045.98235|955.4|431.63|-1045.798634|0.0711|-0.16684|2.7805|-1045.849774|1.7|5.7696|5.7696
1l_a5|0.0|0|2.964063799|0.0|0|0|0|1.270375394|-0.244609612|-0.00183668|2|0.025672515|-0.111303801|0.0|-0.089997343|0.008244856|-0.019865028|-0.05139414|1|0.007613233|-0.179824092|0.043915678|-0.21108114|2|0.7245669790000001|-0.174469948|0.818803517|0|0.890289002|-0.067755283|-38.27406105|4.43679678|167.86839980000002|0.769406114|-1.219595099|-21.91725365|45.64819758|-14.9768065|43.23617395|0.47265823|2227.730859|502.9124512|-688.9330988|903.1631908|14.03493287|0.896303416|4665.793689|130.25942849999998|19.46541135|0.013054186|7.374136537999999|0.0|1.0|1.0|2.98|-8.83|5.56|5.32|54.46|1.0|0.0|105.07|0.0|1.0|4.0|-5.04|26.0|340.42|1.0|-4.98|0.00308|1.04e-05|4.19|0.0|0.0|1.4800000000000003e-09|5.02e-07|4.6403|4.3664|-1069.261615|1033.47|486.81|-1069.047151|187.0|-0.1779|2.1987|-1069.101032|32.0|7.4949|7.4949
4n_a46|0.0|0|0.0|0.126268818|1|1|1|1.13463699|-0.061148449|-0.004696854|0|0.045335917|-0.2264394139999999|0.0|-0.234842682|0.004988019|-0.144852516|-0.064683066|1|0.0042595609999999|-0.349865095|0.109017734|-0.369211845|0|0.741742667|-0.06655165|0.7681452190000001|0|0.903145407|-0.085838139|-47.16810275|4.629240193|172.8490949|0.863203663|-1.459248362|-31.21601103|51.4039205|-17.06080312|61.43721285|0.428896538|2195.786424|496.2788787|-801.8577467|2116.313581|9.921794991|0.750996215|4955.374473|75.1696593|19.76451658|0.0077084869999999|4.235817757|1.0|1.0|1.0|3.75|-6.67|4.33|4.94|61.84|1.0|0.0|102.92|0.0|1.0|2.0|-5.43|26.0|343.42|1.0|-5.1|0.00129|7.95e-06|4.41|0.0|0.0|2.14e-07|7.340000000000001e-05|5.7448|3953.0|-1090.343872|1011.66|502.02|-1090.098769|0.0711|-0.16641|6.2318|-1090.151267|5194.0|5.2845|5.2845
12q_a36|0.0|0|3.453150038|0.0|0|2|2|1.29701394|-0.0543475329999999|-0.00761082|2|0.042804233|0.068040097|0.0|-0.410984299|0.0005016269999999|-0.0651906459999999|-0.0433009009999999|1|0.0010871589999999|0.1161527719999999|-0.177407665|-0.441747876|1|0.8941919290000001|-0.017640538|0.8839272779999999|0|0.82911927|-0.1060430969999999|-68.5549152|12.00048565|82.68142965|0.768692389|-1.908775752|-31.79544084|80.15866795|-24.67976947|61.18276554|0.486620426|2786.514757|536.0103834|-1233.988474|2380.245597|14.69971555|0.947876484|6040.52496|149.536123|32.10617123|0.017949083|11.60375275|0.0|1.0|0.0|4.74|-7.18|3.35|2.54|69.2|1.0|0.0|128.76|0.0|1.0|5.0|-4.44|30.0|415.88|1.0|-4.59|0.0151|2.55e-05|3.31|0.0|0.0|6.65e-08|2.77e-05|5.2375|3.8653|-1692.544456|1148.35|531.58|-1692.3116350000005|0.3419|-0.1566|4.6718|-1692.370918|6.0|8.2218|8.2218
18_a3|0.0|0|2.897754472|0.0|0|0|0|1.43179288|-0.256375952|-0.003487792|3|0.034712644|0.08269134|1.742872103|-0.122072724|0.0057881999999999|0.042606196|-0.025890816|1|0.005799063|0.150826737|-0.064953613|-0.2495754869999999|3|0.7226687409999999|0.0355413979999999|0.784960175|1|0.8419576209999999|-0.0846755|-37.67445366|6.1383958|160.9514039|0.682492203|-1.016105994|-13.82537222|48.19055867|-14.12792012|37.21171433|0.483376636|1938.093995|374.610053|-452.0934439|703.8534116000001|10.24658906|0.935646099|3928.183499|141.2679329|20.70048575|0.02363555|10.51610501|0.0|1.0|1.0|2.62|-6.83|3.42|3.08|67.35|0.0|0.0|80.35|0.0|1.0|2.0|-2.82|21.0|273.29|1.0|-3.27|411.0|0.000537|1.79|0.0|0.0|1.49e-07|4.07e-05|3.9765|3.9765|-889.9619321|784.04|330.54|-889.850598|0.3326|-0.1641099999999999|2.6366|-889.894728|0.03|7.5229|7.5229
4_a38 (LY-2157299)|0.0|0|0.0|0.0|1|1|1|1.343847059|0.050460026|-0.00638266|2|0.041252955|-0.0501467259999999|1.721297609|-0.325515636|0.002865697|-0.159241692|-0.020954339|1|0.003107816|-0.083399128|0.0481706809999999|-0.463575124|2|0.702976795|-0.041794304|0.868207983|1|0.754313773|-0.089446059|-51.11565158|7.104736984|260.7739337|0.7861170609999999|-1.520583011|-30.23133173|58.99645489|-18.48863993|60.00582329|0.487041509|2501.945802|431.0669496|-868.9660769|1686.693134|12.76426621|0.949475478|5566.495502000001|122.2274724|23.51893991|0.01379043|7.880803302999999|1.0|1.0|1.0|3.27|-7.13|3.69|3.51|86.69|1.0|0.0|108.18|0.0|1.0|3.0|-3.85|28.0|369.42|1.0|-3.99|52.0|0.000102|2.39|0.0|0.0|7.45e-08|2.75e-05|4.65|3.78|-1198.683473|1048.31|449.44|-1198.442536|0.06|-0.16|5.9043|-1198.49738|69.0|7.1586|7.1586
17b_a6|0.0|0|3.375166525|0.0|0|1|1|1.425925343|0.1012747369999999|-0.01272079|1|0.042739018|0.139594234|0.0|-0.6869226490000001|-0.00460563|-0.0385646|-0.0791229359999999|1|-0.00194781|0.231025646|-0.180339002|-0.563310199|1|0.850080948|0.002947625|0.8370824240000001|0|0.753949098|-0.109195656|-71.65078895|20.48861696|155.8689396|0.7706671740000001|-2.074717455|-41.0971443|84.71888279|-27.2272998|83.12058064|0.4548818979999999|2816.0632920000003|494.7179214|-1361.36499|2207.972178|16.46390151|0.834464855|5985.963521|150.48105900000002|35.32951798|0.019915748|13.06809384|1.0|1.0|1.0|3.53|-9.01|4.98|4.32|95.85|2.0|0.0|116.79|0.0|1.0|5.0|-5.81|31.0|409.44|1.0|-5.17|0.000637|6.69e-06|4.09|0.0|0.0|9.77e-10|4e-07|3.5444|2.9964|-1350.102764|1168.62|575.2|-1349.830814|0.0033|-0.12545|5.3385|-1349.892156|153.0|6.8153|6.8153
7_a3|0.0|0|0.0|0.0|0|0|0|0.60501656|0.198126776|-0.008855374|2|0.03757716|-0.047419994|1.989724777|-0.327648836|-0.007540435|0.054347129|0.030246987|1|-0.006696449|-0.084462575|0.036673175|-0.592753801|2|0.881253042|-0.224253635|0.8632654590000001|1|0.782294598|-0.096448591|-47.72824381|4.804535747|230.9407974|0.7992146109999999|-1.253831681|-25.32764885|55.15105143|-18.2490344|55.98630667|0.3987206729999999|2196.07224|387.1238241|-620.4671695000001|1952.029549|8.644978051|0.663120542|5055.700186|99.36002106|22.83370969|0.0149999089999999|7.422807617|1.0|1.0|1.0|3.02|-7.48|4.96|4.66|92.93|1.0|0.0|95.5|0.0|1.0|2.0|-5.44|23.0|338.81|1.0|-4.87|0.00124|1.34e-05|3.79|0.0|0.0|3.28e-08|1.11e-05|5.8849|3.4435|-1731.7341420000002|883.88|362.61|-1731.602893|0.1262|-0.14816|3.1299|-1731.651178|1023.0|5.9901|5.9901
47d_a18|0.0|0|0.0|0.0|0|1|1|1.251175994|-0.017398129|-0.006087337|0|0.032916667|0.069914568|0.0|-0.480899596|0.003376831|-0.07722825|0.016324953|0|0.005144085|0.104380139|-0.406388629|-0.417659275|0|0.7640994990000001|-0.002494715|0.773981237|0|0.836999127|-0.087315963|-71.20388424|12.45251265|64.92967228|0.69814381|-2.182899066|-42.52098397|86.29525584|-23.42233034|64.59518279|0.481311892|3304.705347|682.5509007|-1780.097106|1947.023498|19.16475647|0.927940864|7780.945962999999|246.1558296|33.54943497|0.018506261|15.0913716|0.0|1.0|1.0|4.73|-8.83|2.81|3.21|88.97|3.0|2.0|159.67|1.0|1.0|12.0|-5.74|39.0|527.66|0.0|-5.28|0.000968|5.23e-06|4.16|1.0|1.0|1.4800000000000003e-09|7.790000000000001e-07|3.1079|3.1079|-1704.061013|1544.09|817.06|-1703.545539|0.5820000000000001|-0.12844|3.7605|-1703.622959|8.0|8.0969|8.0969
11b_a31|0.0|0|3.248213341|0.0|0|1|1|0.610137403|0.078614731|-0.01950528|0|0.043380952|-0.078907688|0.0|-0.838727032|-0.014385937|-0.1488994619999999|-0.046362952|2|-0.010716217|-0.129901143|-0.16780872|-0.564706551|0|0.833717183|0.067031897|0.889561759|0|0.545458754|-0.148709304|-82.80602396|21.02499452|286.7721447|0.669723835|-1.784511651|-44.59898223|100.3071755|-24.84180719|101.1192111|0.473305522|2410.572158|303.7286124|-993.6722875|1756.711832|12.96936635|0.8986339170000001|5202.545866|183.9081702|37.09261324|0.0314298879999999|17.50115151|1.0|1.0|1.0|3.41|-5.45|4.67|3.25|125.57|1.0|0.0|92.51|0.0|2.0|5.0|-4.74|25.0|357.38|1.0|-3.75|0.00649|0.000178|2.46|0.0|0.0|3.59e-06|0.00128|3.8437|3.8437|-1520.085181|969.71|479.66|-1519.909742|0.2634|-0.15936|3.2104|-1519.967224|0.53|6.2757|6.2757
