molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|nFaHRing|RASA|FNSA5|PNSA5|PPSA3|RNCS|FNSA1|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Molecular Mass|CYP1A2 inhibitor|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Gibbs Free Energy|IC50|pIC50|pIC50
8_a20 (IN-1130)|0.0|0|3.443195704|0.0|0|0|0|1.400923668|0.063195236|-0.009430196|2|0.0396875|0.1728459339999999|1.622562232|-0.528090969|-0.006620594|-0.019554464|-0.0574882679999999|1|-0.004654742|0.293415753|-0.083481481|-0.573278819|2|0.811128636|-0.1221465319999999|0.817914963|1|0.7274271309999999|-0.097790028|-64.75689362|10.46873389|336.574332|0.7481063720000001|-1.858010535|-42.20109173|77.31081766|-23.66117267|74.19702161|0.4824986429999999|2849.395895|481.70475260000006|-1230.3809789999998|1829.419484|15.46983888|0.932362084|6291.586155|166.8048285|31.628086|0.018957805|12.55392404|1.0|1.0|1.0|3.49|-9.63|4.97|4.08|110.44|1.0|0.0|122.86|0.0|1.0|5.0|-4.85|32.0|420.47|1.0|-4.55|0.00596|2.82e-05|2.87|0.0|0.0|2.34e-10|9.86e-08|4.9797|3.2329|-1368.412748|1192.01|517.94|-1368.118751|0.1361|-0.13622|3803.0|-1368.180121|36.0|7.4437|7.4437
12m_a36|0.0|0|3.40403699|0.0|0|2|2|1.297043522|0.013543656|-0.011502861|2|0.03912037|0.14264424|0.0|-0.667165917|-0.006653538|-0.025127218|-0.038386106|1|-0.004569485|0.245908938|-0.090926893|-0.52644768|1|0.892815402|-0.075712087|0.8792981679999999|0|0.711961428|-0.121074678|-81.19927925|15.24099981|42.78660249|0.7471181240000001|-2.300418875|-45.120107|96.11918789|-28.57011677|82.51872026|0.465323422|2925.315028|477.48014630000006|-1542.786306|2637.948424|13.67704354|0.8702895190000001|6434.374756|169.596372|38.24042793|0.0222467879999999|14.91990864|0.0|1.0|0.0|4.83|-6.14|1.92|0.98|112.29|1.0|0.0|131.85|0.0|1.0|6.0|-4.1|32.0|424.46|0.0|-3.8|0.0338|0.000159|2.11|0.0|0.0|7.19e-07|0.000305|3.8658|3.8658|-1401.654499|1177.15|505.51|-1401.385923|0.4718|-0.15879|6.5789|-1401.446557|0.03|7.5229|7.5229
16g_a32|0.0|1|3.363965155|0.0|0|0|0|0.609420729|0.1739995319999999|-0.013775701|0|0.03898374|-0.049658216|2.084553994|-0.771439265|-0.002456725|-0.029193403|0.004735761|3|-0.00030659|-0.085591073|-0.202656848|-0.696926204|0|0.79965447|-0.026098259|0.8821580379999999|1|0.8206422409999999|-0.105500574|-77.75914881|17.659402|90.88837862|0.6863323440000001|-1.79350976|-42.58335004|94.54074206|-24.94161377|75.43482709|0.3972359179999999|2833.521937|604.8539801|-1321.90553|3497.469035|15.58880229|0.65902387|6372.261243999999|231.1885989|36.34043182|0.02276861|16.78159325|1.0|1.0|1.0|3.87|-8.16|6.81|5.38|149.27|3.0|0.0|121.56|1.0|1.0|10.0|-7.51|30.0|441.57|1.0|-5.32|1.36e-05|4.83e-06|4.65|0.0|0.0|6.890000000000001e-09|3.04e-06|3.6161|3.6161|-2034.621991|1245.25|639.49|-2034.342619|0.2879|-0.14968|3.7346|-2034.408165|11.0|7.9586|7.9586
12ax_a36|0.0|0|3.429529478|0.0|0|2|2|1.280791885|-0.0943348109999999|-0.007681676|2|0.043383838|0.075802407|0.0|-0.414810497|-0.001012333|-0.057017299|-0.034663063|1|-0.00097037|0.128253871|-0.1716508239999999|-0.440372791|1|0.884841888|-0.0394369539999999|0.892249657|0|0.846837721|-0.107815607|-72.11700812|12.79462904|36.17982162|0.7648530440000001|-1.940680931|-32.99232962|84.58859134|-25.96212292|62.11847297|0.488501696|2926.929456|566.4430628|-1298.106146|2471.295987|14.78635841|0.955040697|6741.969187999999|157.28794140000002|33.94393618|0.018645135|12.47158322|1.0|1.0|0.0|4.74|-7.76|3.99|3.19|69.2|2.0|0.0|133.77|0.0|1.0|5.0|-5.08|31.0|450.32|1.0|-5.18|0.00372|6.55e-06|3.93|0.0|0.0|1.74e-08|7.83e-06|5.2372|3.8889|-2152.130959|1182.31|552.0|-2151.910753|0.4167|-0.15728|4.5001|-2151.971761|12.0|7.9208|7.9208
1m_a5|0.0|0|2.934162514|0.0|0|0|0|1.3047206409999998|-0.252787668|-0.002410445|2|0.026339869|-0.07112464|0.0|-0.096417794|0.006422789|-0.10797859|-0.011848312|1|0.00520748|-0.118494698|0.07132816|-0.2274929269999999|2|0.691858366|0.077347244|0.851987765|0|0.8823955520000001|-0.071478865|-37.65438054|4.7571353730000006|154.6334216|0.73847373|-1.072182971|-19.69180207|46.74648368|-15.26528941|42.13785007|0.482646195|2183.167528|464.8375158|-564.8157081|841.0375686000001|13.35855701|0.932913201|4584.808374|137.7695311|20.67140479|0.0172594319999999|9.092103139|0.0|1.0|1.0|2.69|-8.63|5.11|4.85|54.46|1.0|0.0|95.5|0.0|1.0|3.0|-4.52|24.0|332.79|1.0|-4.74|0.00996|1.82e-05|3.69|0.0|0.0|2.35e-09|7.82e-07|4.6678|4.3983|-1410.912452|926.13|423.2|-1410.783167|0.2373|-0.1778|1939.0|-1410.833395|43.0|7.3665|7.3665
47l_a18|0.0|0|0.0|0.0|0|1|1|1.251176792|0.0340353029999999|-0.006400878|0|0.035308642|-0.0057783619999999|0.0|-0.428858819|-0.00046896|-0.010426981|-0.056270425|0|0.000787517|-0.008768679|-0.156998637|-0.4925232479999999|0|0.7452092359999999|0.00676294|0.781148177|0|0.803473313|-0.083884237|-59.6654726|6.543729374|11.54768766|0.796109347|-2.0132216990000003|-40.65070014|68.83398609|-22.37455223|63.6949231|0.4897655489999999|2852.093627|571.4972966|-1431.971342|1427.032023|18.46922943|0.959883341|6572.90106|145.02405359999997|28.10487315|0.012890098|9.168513486|0.0|1.0|1.0|4.17|-9.37|3.69|3.19|85.29|3.0|1.0|139.63|0.0|1.0|9.0|-5.26|34.0|454.56|0.0|-4.84|0.00247|1.4499999999999998e-05|3.78|0.0|0.0|4.26e-10|1.93e-07|3.2026|3.2026|-1455.5758039999998|1334.6|667.5|-1455.165122|0.5019|-0.1314|2.4594|-1455.233431|32.0|7.4949|7.4949
9d_a31|0.0|0|3.456767212|0.0|0|1|1|0.61013528|0.036844743|-0.012442213|0|0.0359583329999999|-0.057650507|0.0|-0.696763933|-0.002456634|-0.0938310919999999|-0.021171445|2|0.000127275|-0.091744753|-0.214049412|-0.550392027|0|0.8066174070000001|-0.030275712|0.873955169|0|0.6943358040000001|-0.11958484|-81.53295088|19.79432796|154.8767865|0.6636195229999999|-1.793772606|-45.65350116|97.84665015|-23.07536346|86.75457645|0.457506946|2654.377004|473.3981899|-1222.994263|1932.363213|17.39409698|0.8433415740000001|5748.743284|229.34422830000003|34.77197803|0.023927395|16.31369927|1.0|1.0|1.0|3.8|-7.63|6.04|4.09|117.37|2.0|0.0|112.97|0.0|1.0|9.0|-5.61|29.0|412.51|1.0|-4.39|0.0010199999999999|4.06e-05|3.46|0.0|0.0|2.3500000000000002e-08|9.69e-06|3.8478|3.8478|-1657.471475|1202.79|630.49|-1657.1791449999998|0.2611|-0.15969|2.6311|-1657.245966|0.6|6.2218|6.2218
12a_a50|0.0|1|0.0|0.0|2|1|1|1.397770359|-0.199881787|-0.002936355|1|0.034845679|-0.111689174|2.112397566|-0.126263256|0.01164808|0.014596049|-0.122912558|2|0.011790103|-0.193999688|-0.291865836|-0.247407423|1|0.699597776|-0.030758487|0.862192416|1|0.904119689|-0.0663902|-33.44733598|10.58650394|7.457998037999999|0.575218972|-0.929462803|-12.88231829|47.2792242|-12.00673599|36.15684209|0.469674946|2223.666558|455.4948605000001|-468.2627037|1462.827156|9.648744341|0.885635975|4665.239724|214.004382|20.873331|0.027455156|13.83188822|0.0|1.0|1.0|3.3|-5.49|2.59|3.42|48.53|0.0|0.0|94.69|0.0|2.0|2.0|-3.16|24.0|313.36|1.0|-3.84|215.0|0.000144|2.5|0.0|0.0|3.22e-06|0.00101|4.0783|4.0783|-1006.659456|908.22|394.52|-1006.498352|0.1807|-0.16806|5.7662|-1006.546706|75.0|7.1249|7.1249
43_a18|0.0|0|0.0|0.0|0|2|2|1.251175234|0.032999679|-0.005099385|1|0.033734062|-0.05314954|0.0|-0.397752066|0.002712865|0.031746165|-0.032429984|0|0.003801459|-0.079184068|-0.2093696189999999|-0.460675034|0|0.718255592|-0.023109314|0.7458234990000001|0|0.852344887|-0.0822489459999999|-63.87648583|5.35147222|0.66443384|0.8743733490000001|-2.302970476|-42.32033664|69.46280937|-24.16948112|59.84418608|0.481954273|3172.923606|661.9512957999999|-1788.541603|1579.614523|19.33108376|0.930331529|7428.282915000001|97.56464265|27.64206062|0.007193089|5.5863235410000005|0.0|1.0|1.0|4.54|-9.6|4.5|4.08|76.5|3.0|1.0|160.76|0.0|1.0|9.0|-6.45|38.0|508.65|0.0|-5.96|0.00018|1.09e-06|5.1|0.0|1.0|2.52e-10|1.28e-07|3.2233|3.2233|-1611.621186|1493.25|702.4|-1611.126246|0.5429|-0.13196|3.0482|-1611.198355|625.0|6.2041|6.2041
13c_a6|0.0|0|3.441255118|0.0|0|1|1|1.424213869|-0.046663393|-0.010619065|1|0.040821256|0.049627353|0.0|-0.605286688|-0.003346018|0.054910284|-0.0942387559999999|1|-0.000899678|0.081059709|-0.174259072|-0.490486317|1|0.845481322|0.085414885|0.8353837409999999|0|0.786809832|-0.111231609|-75.71763296|20.79409503|157.60887419999997|0.772032541|-2.11340057|-43.38886312|88.21184769|-27.1440571|84.53371376|0.466844407|2880.850692|535.5975578|-1438.635026|3135.546462|15.07660437|0.875625075|6204.855629|155.1821156|35.15921372|0.018354398|12.49421473|1.0|1.0|1.0|3.61|-9.4|5.38|4.57|95.85|2.0|0.0|121.6|0.0|1.0|6.0|-5.95|32.0|423.47|1.0|-5.27|0.000471|5.42e-06|4.23|0.0|0.0|3.96e-10|1.68e-07|5.992000000000001|3.6519|-1389.39897|1217.77|596.15|-1389.122252|0.28|-0.14975|7.7129|-1389.184603|73.0|7.1367|7.1367
