molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
12_a3|0.0|0|0.0|0.0|0|6.823286122000001|0|0.605020506|0.167987916|-0.009093383|4.727387819|-0.118456941|2|-0.120694579|2.07135708|-0.336455156|-0.045382017|10.31163031|-0.069857022|1|-0.218774634|0.017902469|0.032450556|-0.604704476|2|0.899733837|0.829399708|-0.092838926|0.101891875|0.011076075|-44.07517037|-45.63945658|5.258353635|239.2266101|80.99228663|-0.039584548|76.23910943|0.830418645|-1.345874639|52.16354015|-18.79271742|0.463780604|2056.502939|393.75653|1064.221958|-8.921820355|0.169581355|5.6343192|10.50748861|0.864908294|4400.493202000001|80.50854774|-303.3418921|22.63041363|-313.7317211|330.4083896|1.0|1.0|1.0|2.17|0.0|21.0|-6.89|92.93|1.6|90.49|0.0|1.0|2.0|-5.68|22.0|-5.3|304.37|0.0|0.0|3.23|-4.84|2.07e-06|0.000629|1.44e-05|0.0044|4.03|0.0|1.3e-07|3.9500000000000005e-05|-0.06361|3263.0|3263.0|-1272.125792|379.97|379.97|361.95|0.69784|-1272.010995|0.5056|2.3762|0.02620998|-1272.058487|3548.0|5.45|5.45
A7701_a51|0.0|0|2.9690728930000003|0.0|0|6.605297921|0|1.390164251|-0.221071791|-0.002377784|4.59511985|-0.0162614089999999|2|0.070581466|2.087643036|-0.0927335619999999|0.058290286|10.93031118|-0.0299823629999999|1|0.119725261|0.036217274|0.061434294|-0.22798944|2|0.7078647990000001|0.865114773|-0.071384149|0.514530959|0.007404204|-32.97926236|-36.09660744|3.420720075|146.2104641|62.31656919|-0.030384547|0.0|0.799046392|-1.09384371|41.87351682|-14.03756956|0.420350923|1959.582581|399.6804233|1108.114062|-6.485314917999999|0.200953608|5.137516673|8.863149921|0.7251817340000001|4153.310077|92.83996262|-233.4713371|17.56790307|-276.3170672|332.8814548|1.0|1.0|1.0|2.05|0.06|21.0|-7.58|54.46|1.98|87.52|0.0|1.0|2.0|-3.95|22.0|-5.82|286.33|0.0|1.0|3.12|-4.17|0.000111|0.0319|6.790000000000001e-05|0.0195|3.14|0.0|2.62e-08|7.5e-06||||||||||||||25.0|7.6021|7.6021
8f_a12|0.0|1|0.0|0.0|0|6.580639137|1|0.609895166|0.110310585|-0.008295703|4.59511985|-0.062406088|2|-0.013400998|2.177023629|-0.3981937339999999|0.028505422|10.31134658|-0.024023866|1|-0.023769395|-0.070713228|-0.125424286|-0.560548116|1|0.902669729|0.869823177|-0.072634742|0.285353468|0.013287637|-41.27611074|-56.220383|7.550959323|83.13642146|73.97552223|-0.03822396|0.0|0.8381234340000001|-1.6818542230000002|63.05721575|-21.72151161|0.460344828|2541.921472|494.2940092|1448.568734|-12.34367323|0.161876566|7.016225129|13.00131176|0.853035146|5481.952981|91.98952021|-543.1216218999999|25.9168408|-384.290491|524.0516742|1.0|1.0|1.0|3.26|0.1|21.0|-8.42|78.41|3.1|115.66|0.0|1.0|3.0|-5.7|27.0|-5.47|369.44|0.0|1.0|3.82|-5.24|1.99e-06|0.000735|5.72e-06|0.00211|4.34|0.0|3.79e-09|1.4e-06|-0.06179|4.1744|3.6536|-1481.115891|339.35|297.01|441.97|0.65098|-1480.955408|0.2466|0.9092|0.03056355|-1481.008909|646.0|6.1898|6.1898
11a_a5|0.0|0|2.9781886010000003|0.0|0|6.605297921|0|1.212363224|-0.165418719|-0.002894726|4.59511985|0.052217882|2|-0.052944925|0.0|-0.185262487|-0.1301505359999999|10.94877942|-0.02394636|1|-0.081506|0.003975818|0.006120569|-0.254944026|2|0.7505403709999999|0.89343434|-0.064565402|0.369563711|0.011860803|-46.13206353|-51.09940261|8.474559367000001|61.32301293|76.14130253|-0.026223112|14.47576249|0.740865275|-1.573386716|61.4470419|-18.73644762|0.466436596|2727.027899|638.3599998999999|1170.247903|-13.38721623|0.259134725|9.740948724|18.25640338|0.874191508|5756.783268|185.1520983|-803.2329738|25.28995251|-344.1971057|835.912531|0.0|1.0|1.0|3.68|0.3|23.0|-9.93|63.69|3.05|128.51|0.0|1.0|7.0|-7.25|32.0|-4.54|424.54|1.0|0.0|5.16|-6.4|5.63e-08|2.39e-05|3.95e-07|0.000167|6.13|0.0|1.18e-10|5.019999999999999e-08|-0.03694|4.4033|4.0938|-1339.802852|302.86|281.57|578.8|0.65363|-1339.493223|0.1838|2.8611|0.03340977|-1339.555805|81.0|7.0915|7.0915
9h_a24|0.0|0|2.916716427|0.0|1|7.153833802|0|1.428198245|-0.203768024|-0.002864393|5.209486153|2.01e-05|2|0.078066659|0.0|-0.105982525|-0.209618231|10.96661419|-0.002471577|2|0.144624936|-0.02551563|-0.047269812|-0.207206943|2|0.687815726|0.883775278|-0.060337884|0.4016070679999999|0.018457687|-28.52000725|-32.48899638|8.724425117000001|167.2085719|54.93613103|-0.026280957|1.773520599|0.572371258|-0.8935525440000001|47.51520531|-12.42226332|0.477589721|2062.34011|417.7355164|768.1954692|-5.871651668999999|0.427628742|5.805547147|11.11300329|0.914204295|4170.098082|202.1279819|-199.6361567|21.70315707|-68.41568372|295.8603625|1.0|1.0|1.0|1.96|0.0|22.0|-6.05|72.28|1.07|82.17|0.0|1.0|3.0|-2.83|22.0|-6.85|288.31|0.0|1.0|1.97|-3.24|0.00147|423.0|0.000575|166.0|1.7|0.0|8.95e-07|0.000258|-0.0435399999999999|5.1739|4.3437|-945.2337612|285.43|239.63|363.48|0.61928|-945.153352|0.0073|5.6654|0.0305020989999999|-945.200628|77.0|7.1135|7.1135
19k_a38|0.0|0|3.218103741|0.0|0|7.412764017000001|2|1.297042875|0.0100827|-0.011877064|5.351858133|-0.17467835|2|0.098947776|0.0|-0.6888696990000001|0.016990252|10.95446448|-0.0184136539999999|1|0.208892195|-0.060668296|-0.128079012|-0.51857087|1|0.7581164340000001|0.658700057|-0.112748779|0.389096157|0.0232707939999999|-71.54314527|-80.54577161|14.76615358|157.4834779|216.567059|-0.044662847|116.0039747|0.75964689|-2.411793744|94.38036132|-28.3401789|0.4769127179999999|3055.355167|417.968819|2929.493496|-17.9828603|0.24035311|6.744851799999999|12.89431427|0.911726848|7091.215492|152.51267140000002|-971.0744563|37.3070426|-329.5105352|686.8472757999999|0.0|1.0|0.0|2.2|0.13|17.0|-6.41|124.32|1.65|133.79|0.0|1.0|6.0|-3.87|33.0|-7.84|444.46|0.0|0.0|1.9|-3.62|0.000134|0.0594|0.0002399999999999|107.0|1.65|0.0|3.94e-07|0.000175|-0.05534|5.1869|3.5378|-1500.852284|350.45|239.03|502.43|0.70327|-1500.618667|0.1156|9.1508|0.04615409|-1500.680373|11.0|7.9666|7.9666
12b_a32|0.0|1|3.477905329|0.0|0|7.765993078999999|0|0.609420757|0.115940697|-0.009432679|5.733341277|-0.055500132|0|-0.044307211|2.153718992|-0.462201267|-0.031446256|10.31100269|-0.053480599|3|-0.079768013|-0.0852122769999999|-0.1534110109999999|-0.584995111|0|0.788133615|0.782593|-0.081450418|0.2996018789999999|0.016282332|-50.88975159|-60.93328667|10.17310723|90.57560878|135.83463989999998|-0.027561517|65.29222164|0.60420609|-1.267829764|76.65746734|-17.22027667|0.430631506|2573.006963|488.9595947|3148.185476|-10.75912958|0.39579391|7.076348793999999|12.42841652|0.756331814|5653.268811|247.2897528|-494.9199607|28.50066715|-130.2147289|557.1050635|1.0|1.0|1.0|2.9|0.26|19.0|-7.65|140.04|1.1|110.47|1.0|1.0|7.0|-5.9|27.0|-6.4|397.52|1.0|0.0|3.59|-4.43|1.27e-06|0.000505|3.72e-05|0.0148|3.28|0.0|2.23e-08|8.86e-06|-0.05173|3.5703|3.5703|-1880.732075|347.27|347.27|541.49|0.70258|-1880.537231|0.2865|3208.0|0.0385132|-1880.599158|26.0|7585.0|7585.0
13a_a5|0.0|0|2.931642415|0.0|0|6.605297921|0|1.393002748|-0.154076582|-0.006081807|4.59511985|-0.033436214|2|-0.007871499|0.0|-0.328417593|-0.139517787|10.94530369|-0.025324157|1|-0.012798693|-0.035005746|-0.0569177229999999|-0.367284642|2|0.746303189|0.7667501609999999|-0.08903048|0.470564031|0.016739606|-57.31787843|-54.03141848|10.77696869|126.2663658|150.1663914|-0.0279752339999999|39.93934134|0.598791539|-1.426736914|72.13276165|-18.01047283|0.460877309|2657.14588|493.6342317|1314.232685|-11.59515363|0.401208461|8.571729592999999|15.89940424|0.854865353|5628.9694|258.29825730000005|-591.3528349999999|30.07803494|-127.2041084|620.5697596|1.0|1.0|1.0|2.46|0.13|23.0|-8.9|92.79|0.95|114.18|0.0|1.0|8.0|-3.77|30.0|-7.18|399.45|0.0|0.0|2.71|-3.74|0.000169|0.0675|0.000184|0.0734|2.19|0.0|1.26e-09|5.02e-07|-0.05534|4.6285|4.2107|-1313.126035|294.45|267.87|567.51|0.50037|-1312.907813|0.1992|3.3414|0.04138695|-1312.968936|91.0|7041.0|7041.0
14z_a23|0.0|1|0.0|0.0|2|7.423568444|0|1.197960872|0.08752343|-0.005892861|5.351858133|-0.024897956|2|0.038811869|0.729326158|-0.30053593|-0.0438568409999999|10.31321795|-0.0229244|2|0.0708381429999999|-0.069023218|-0.125978901|-0.46459002|2|0.719722236|0.925301102|-0.0582387179999999|0.228957475|0.018337664|-40.56245532|-55.54823244|12.77192721|40.18308023|52.02674091|-0.03393829|79.960755|0.785604449|-1.595099623|66.77741935|-23.63754572|0.474697407|3094.698027|644.4593172|2692.627452|-16.46322104|0.214395551|7.834464959|14.91419434|0.903664694|7285.13008|149.3235124|-773.7713888999999|30.08835522|-397.8390333|665.6233736|0.0|0.0|1.0|3.67|0.05|26.0|-8.57|105.02|3.99|130.3|0.0|1.0|5.0|-6.77|32.0|-5.8|480.37|0.0|0.0|4.49|-6.13|1.7e-07|8.18e-05|7.37e-07|0.000354|4.83|0.0|2.6899999999999996e-09|1.29e-06|-0.08503|4032.0|3.6632|-2549.0953670000004|338.46|307.5|586.28|0.69913|-2548.895003|0.2917|5.9301|0.01238131|-2548.957384|5.0|8.2941|8.2941
12v_a36|0.0|0|3.468871488|0.0|0|7.412764017000001|2|1.297043692|-0.077763989|-0.008411281|5.351858133|-0.04314418|2|0.073329354|0.0|-0.487854327|-0.086194201|10.96020642|-0.023932402|1|0.123026459|-0.1430106119999999|-0.239932418|-0.401336708|1|0.8913597320000001|0.802291339|-0.078158778|0.334379501|0.027145269|-51.4172081|-69.20675352|17.85767346|113.7463918|130.0637965|-0.033118671|0.462992841|0.6276553979999999|-1.788408258|88.07013157|-21.78731129|0.461799225|2846.057239|527.7920397|2328.221818|-14.33290989|0.372344602|8.456596706000001|15.71271745|0.8580426609999999|6065.593390999999|244.9490697|-773.9771341000001|34.71221847|-167.9576969|679.7230552999999|1.0|1.0|0.0|0.0|0.17|17.0|-6.69|78.43|1.72|130.24|0.0|1.0|6.0|-3.95|31.0|-6.93|411.46|0.0|0.0|1.81|-4.07|0.000113|0.0464|8.499999999999999e-05|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|-0.05219|3.8847|3.7035|-1347.442792|334.77|319.16|502.83|0.7016100000000001|-1347.2000369999998|0.0223|6.1869|0.03275089|-1347.260743|14.0|7.8539|7.8539
9i_a24|0.0|0|2.9199957480000003|0.0|1|7.153833802|0|1.4281889280000002|-0.113620183|-0.005148312|5.209486153|2.01e-05|2|-0.076024544|0.0|-0.190487553|-0.087363979|10.96661275|-0.00532872|2|-0.140841749|-0.1818753839999999|-0.336939175|-0.32068769|2|0.783500303|0.8260893640000001|-0.064657333|0.379687415|0.025118046|-30.56504777|-33.00219474|11.87389334|10.13249376|82.21166337|-0.024639839|1.634015079|0.499238289|-0.837754515|51.05832236|-11.64783344|0.468272544|2061.729154|390.5119445|761.9885477000001|-5.506205845|0.500761711|5.946747117|11.18382556|0.8806627109999999|4155.922671|236.7218826|-187.2109987|23.33121014|0.720157264|295.8603625|1.0|1.0|1.0|1.36|0.0|22.0|-6.05|72.28|0.67|82.17|0.0|1.0|3.0|-2.6|22.0|-7.01|288.31|0.0|1.0|1.73|-3.1|0.00248|716.0|0.000791|228.0|1.48|0.0|8.95e-07|0.000258|-0.0473899999999999|4.6212|4.1459|-945.2626532|299.06|268.3|363.15|0.6755800000000001|-945.174716|0.0029|7.1135|0.0239838|-945.222448|88.0|7.0555|7.0555
8c_a32|0.0|1|3.46252244|0.0|0|7.765993078999999|0|0.609420757|0.080016722|-0.0093793719999999|5.733341277|-0.04699673|0|-0.026467635|2.143746338|-0.459589251|-0.026048985|10.31100269|-0.0682721729999999|3|-0.047650724|-0.0852122769999999|-0.1534110109999999|-0.578242111|0|0.788133615|0.801747512|-0.076876481|0.263222951|0.016240436|-46.47597924|-58.93213925|9.818219446|126.6561213|119.85432240000002|-0.027548799|78.19443734|0.600684883|-1.267244762|74.36515033|-16.654735000000002|0.447542891|2571.62241|484.6996147|3038.837633|-10.06868562|0.399315117|7.079719717000001|12.81496717|0.8100952690000001|5773.240734|241.4075262|-463.1595384|27.72624296|-121.7388847|557.1050635|1.0|1.0|1.0|2.82|0.26|19.0|-7.65|140.04|1.1|110.47|1.0|1.0|7.0|-5.82|27.0|-6.45|397.52|1.0|0.0|3.56|-4.39|1.5e-06|0.000597|4.11e-05|0.0164|3.21|0.0|2.23e-08|8.86e-06|-0.04161|3.5673|3.5673|-1880.733377|347.56|347.56|516.78|0.70135|-1880.537558|0.3272|8.4922|0.03115673|-1880.597039|37.0|7.4318|7.4318
11_a27|0.0|0|2.680511093|0.0|0|7.535296702|1|1.1606177359999998|0.100091619|-0.0067474069999999|5.4161004020000005|-0.003527607|2|-0.080272515|1.3706083080000002|-0.344117757|-0.0864111069999999|10.93910312|-0.027287578|0|-0.1299181459999999|-0.041662169|-0.067428705|-0.488734846|2|0.734834532|0.7645505|-0.079921166|0.349764196|0.016171515|-42.27430065|-50.15555389|8.553922917000001|143.3238715|124.5410133|-0.034296948|72.60399149|0.8088958709999999|-1.611956546|56.8702158|-18.14137056|0.4528656239999999|2339.465471|404.4089873|1646.903525|-9.595877966|0.1911041289999999|5.231762955|9.562117063|0.82770457|5186.240841|101.0845293|-451.0062644|22.42732497|-326.780942|504.209846|1.0|1.0|0.0|0.0|0.35|16.0|-6.09|61.88|3.06|106.33|0.0|1.0|2.0|-3.68|26.0|-6.47|345.4|0.0|1.0|2.04|-4.02|0.000207|0.0716|9.45e-05|0.0326|2.73|0.0|8.2e-07|0.000283|-0.05985|3.3426|2.4836|-1122.433411|499.21|370.92|415.32|0.59222|-1122.190727|0.0793|3.1278|0.0226944|-1122.242519|5.0|8301.0|8301.0
27b_a34|0.0|0|0.0|0.0|1|7.412764017000001|1|1.4335271040000002|-0.056026127|-0.010183855|5.351858133|-0.016803292|1|-0.106245942|0.0|-0.549928192|-0.029622037|10.95430634|-0.027175221|1|-0.175834895|-0.194619338|-0.322091086|-0.463926296|1|0.820914556|0.783431788|-0.08757938|0.3307451819999999|0.031021066|-57.66200309|-72.21552354|20.42417736|150.83624440000003|142.58786569999998|-0.037292511|540.9533124|0.712312759|-1.864625537|87.24055613|-24.553278|0.4072752529999999|2835.31543|515.8091561000001|2431.595232|-16.16580511|0.287687241|9.124440695|15.39406063|0.687123753|6032.666081|189.4124225|-808.2902556|34.46979951|-279.5721769|627.4287311|1.0|1.0|1.0|3.66|0.12|23.0|-8.19|84.99|1.83|116.33|0.0|1.0|5.0|-5.23|31.0|-6.14|409.44|0.0|0.0|3.46|-4.96|5.92e-06|0.00243|1.1e-05|0.00449|3.75|0.0|6.53e-09|2.67e-06|-0.04121|4.8168|4.0935|-1350.018975|302.88|257.4|577.39|0.70001|-1349.811401|0.0252|11.8546|0.03640275|-1349.873325|0.65|6.1871|6.1871
6e_a40|0.0|0|0.0|0.0|1|8.421342866|1|0.604892975|0.128035402|-0.0148450439999999|6.401917197|-0.074872854|0|-0.15110197|0.744550501|-0.69771706|0.103594243|10.30179954|-0.205140551|2|-0.276969278|-0.020200684|-0.037027769|-0.6319354389999999|0|0.685858263|0.74620476|-0.107312598|0.376602018|0.015875595|-70.52033811|-76.50178121|10.43262695|185.1473293|166.7812216|-0.04873174|35.33106374|0.866991176|-2.095464821|84.95203628|-32.02400144|0.441911406|3075.060648|490.3675161000001|3854.417113|-21.04453212|0.133008824|6.972949117000001|12.49434084|0.791830204|7585.605268000001|87.40658058|-904.9148811|36.93694043|-482.3355765|587.7345677999999|1.0|0.0|1.0|3.16|0.21|14.0|-4.63|173.43|2.12|125.15|1.0|2.0|5.0|-7.76|30.0|-6.09|476.98|1.0|0.0|3.68|-5.58|1.74e-08|8.31e-06|2.6e-06|0.00124|4.4|0.0|2.35e-05|0.0112|-0.09682|2.9549|2.9549|-2831.156883|419.59|419.59|537.07|0.67187|-2830.986514|0.3625|8.3311|0.03482243|-2831.048968|18.0|7.7447|7.7447
12h_a36|0.0|0|3.468184524|0.0|0|7.412764017000001|2|1.297043828|-0.128701804|-0.0086750619999999|5.351858133|-0.041228471|2|0.059920602|0.0|-0.503153567|-0.003014954|10.96020037|-0.051080247|1|0.100530266|-0.1430106119999999|-0.239932418|-0.410826531|1|0.8913597320000001|0.819614525|-0.073572836|0.3726296|0.027905055|-48.17643878|-70.19826261|18.27258858|82.11195464|118.1187282|-0.035734517|1.413982241|0.665254541|-1.929663894|87.85958486|-23.39942087|0.464544951|2845.467486|536.6941285|2391.856014|-15.32224162|0.3347454589999999|7.428908584|13.87400978|0.8675704009999999|6159.17335|219.1956304|-827.4010477|35.1736357|-216.42159590000003|679.7230552999999|1.0|1.0|0.0|0.0|0.17|17.0|-6.69|78.43|1.72|130.24|0.0|1.0|6.0|-3.95|31.0|-6.93|411.46|0.0|0.0|1.81|-4.07|0.000113|0.0464|8.499999999999999e-05|35.0|2.65|0.0|2.03e-07|8.340000000000001e-05|-0.05013|5.1998|3.4554|-1347.451759|358.81|238.44|535.67|0.7014600000000001|-1347.199963|0.0056|6754.0|0.02925492|-1347.260478|14.0|7.8539|7.8539
16f_a32|0.0|1|3.354832924|0.0|0|7.765993078999999|0|0.609420741|0.1767304639999999|-0.014558301|5.733341277|-0.054907428|0|0.008658653|2.082564316|-0.77158995|-0.081644236|10.31100265|-0.000291262|3|0.0151704889999999|-0.120440534|-0.211019184|-0.697693907|0|0.801401734|0.8072754790000001|-0.08168632|0.522247991|0.024434011|-56.53102601|-76.92280867|16.90955989|89.03402347|133.3750236|-0.035568666|47.24868477|0.69473708|-1.778433296|92.82839829|-24.61529877|0.384656622|2772.212354|558.6750754999999|3414.006186|-17.03501995|0.30526292|8.79158776|14.28728752|0.625108901|6235.040893|211.2572338|-851.7509977|35.43109972|-269.5356315|636.0251562999999|1.0|1.0|1.0|3.4|0.3|19.0|-7.77|149.27|1.34|116.75|1.0|1.0|9.0|-6.95|29.0|-5.99|427.54|1.0|0.0|4.05|-4.97|1.12e-07|4.79e-05|1.07e-05|0.00457|4.11|0.0|1.7e-08|7.26e-06|-0.04997|3.6272|3.6272|-1995.278839|341.82|341.82|603.12|0.70204|-1995.054457|0.2931|3.6641|0.02889673|-1995.117771|9.0|8041.0|8041.0
3b_a49|0.0|0|0.0|0.0|1|7.535296702|1|1.343850026|-0.003115526|-0.0057605869999999|5.4161004020000005|-0.055724324|2|-0.090939066|1.844602991|-0.322592863|-0.010613212|10.92976559|0.00361222|1|-0.151131362|0.000511959|0.000850823|-0.405529602|2|0.7745859279999999|0.749104358|-0.0883601469999999|0.482434361|0.013576151|-54.04959517|-51.77986692|8.304484449|325.6896751|153.4719941|-0.0276739079999999|81.60358988|0.656865946|-1.439043207|64.91785551|-16.92803342|0.477583842|2660.339607|458.224537|1796.6760370000002|-10.35481932|0.3431340539999999|7.236413572000001|13.85181805|0.914182753|5934.158315|209.89391040000004|-538.4506046|25.77091035|-191.9087104|641.1445234|1.0|1.0|1.0|2.43|0.22|21.0|-7.58|98.72|1.25|116.94|0.0|1.0|6.0|-3.53|30.0|-7.42|398.46|0.0|0.0|2.38|-3.59|0.000293|0.1169999999999999|0.000256|102.0|1.84|0.0|2.64e-08|1.05e-05|-0.06115|4.6669|3.8418|-1293.291817|322.72|265.67|480.08|0.6632|-1293.048179|0.0759|3.0055|0.0368692|-1293.106236|25.0|7.6021|7.6021
13l_a6|0.0|0|3.433158672|0.0|0|7.412764017000001|1|1.4242139390000002|0.03093879|-0.0143011819999999|5.351858133|-0.132667824|1|0.090187973|0.0|-0.858070925|-0.037558466|10.95129637|-0.086595185|1|0.144180269|-0.045794891|-0.073210645|-0.564860904|1|0.8694295409999999|0.643098986|-0.118071236|0.210844002|0.030012523|-82.24617981|-88.13242567|20.90615311|182.8275745|248.6104661|-0.0451862259999999|118.3485042|0.793671137|-2.53042863|100.8610837|-31.47586631|0.4257335779999999|2967.923804|447.9705372|3127.831037|-21.92549054|0.206328863|8.810095892|15.34147837|0.7413520309999999|6462.086665999999|143.7247666|-1227.82747|39.65857501|-409.1314702|741.5222707|1.0|1.0|1.0|2.22|0.16|23.0|-8.89|115.15|1.39|124.98|0.0|1.0|7.0|-5.49|33.0|-6.59|441.48|0.0|0.0|3.07|-4.77|3.26e-06|0.00144|1.7100000000000002e-05|0.0075599999999999|3.39|0.0|1.29e-09|5.7e-07|-0.04885|3.6675|3.5499|-1465.834958|349.26|338.07|578.91|0.70515|-1465.560303|0.0165|7.2582|0.03092407|-1465.624566|385.0|6.4145|6.4145
5a_a49|0.0|0|0.0|0.0|1|7.853604813|2|1.343848751|0.079751437|-0.009147269|5.777652323|0.007039248|2|-0.072902329|1.878067786|-0.493952547|-0.046327135|10.92976459|0.076610236|1|-0.1205081119999999|-0.158356406|-0.26176436|-0.51958118|2|0.66494289|0.800090055|-0.072109357|0.6254267029999999|0.028578361|-42.1802818|-46.04810561|16.71687776|124.92862240000002|116.9370825|-0.027311576|54.35929907|0.6069287529999999|-1.338267206|61.89135559|-15.97587337|0.490453006|2797.737637|468.0117167|1887.422375|-9.345067946|0.393071247|6.0732145310000005|11.91885068|0.962527525|6294.404170000001|229.9265537|-457.9083293000001|26.32248561|-125.09569170000002|592.5885712|0.0|1.0|1.0|2.93|0.22|21.0|-6.92|73.14|2.07|116.62|0.0|1.0|3.0|-3.84|30.0|-6.84|397.43|0.0|1.0|2.93|-4.29|0.000146|0.0578|5.09e-05|0.0202|2.65|0.0|1.1900000000000001e-07|4.72e-05|-0.05062|5.2443|3.9219|-1311.960542|316.13|236.42|443.78|0.66225|-1311.743648|0.0529|5.6104|0.03478454|-1311.799168|43.0|7.3665|7.3665
3h_a32|0.0|1|3.579396967|0.0|0|7.765993078999999|0|0.609420752|0.01077056|-0.005281944|5.733341277|-0.008243901|0|0.014517903|2.243113495|-0.269379119|-0.003152613|10.31100268|-0.111111111|3|0.025035542|-0.071193103|-0.122769653|-0.531669815|0|0.84279263|0.87880263|-0.07183387|0.30907784|0.0111539339999999|-44.97387528|-55.27575363|6.98327435|76.38838542|75.87946135|-0.027590124|0.0|0.7734940029999999|-1.324325944|62.63332945|-17.27367301|0.4089962629999999|2398.020434|550.2022886|2911.160989|-10.81473143|0.226505997|8.107034244|13.71739929|0.692036677|5187.525619|141.8112711|-519.1071084|22.33200639|-342.4592076|593.0848817000001|1.0|1.0|1.0|3.88|0.35|19.0|-8.47|110.94|2.64|112.28|0.0|1.0|7.0|-8.23|26.0|-4.29|382.55|1.0|0.0|5.4|-6.15|5.8700000000000014e-09|2.24e-06|7.140000000000001e-07|0.000273|6.12|0.0|3.37e-09|1.29e-06|-0.05318|3.5552|3.5552|-1790.663897|348.74|348.74|578.86|0.70257|-1790.440663|0.2926|3.5952|0.02690554|-1790.5004850000005|7.0|8.1549|8.1549
4_a18 (SD-208)|0.0|0|0.0|0.0|0|0.0|2|1.304335262|0.055002235|-0.012457606|0.0|-0.113324634|3|-0.020226647|0.0|-0.498304229|-0.009648044|10.95382003|-0.056245435|0|-0.047745689|-0.15379315|-0.3630339729999999|-0.564165402|1|0.773173718|0.77909674|-0.077885485|0.115284206|0.0211761979999999|-40.10670787|-51.27494074|10.90456851|103.6318511|113.7529353|-0.034985357|0.0|0.602029021|-1.2944582059999998|69.63488061|-18.01551972|0.454067432|2395.526727|401.1916387|1822.914738|-9.276994128|0.397970979|6.239898178|11.42979655|0.831728055|5348.394288|204.9329964|-343.2487827|29.9246699|-105.0785813|363.2306414|0.0|1.0|1.0|2.54|0.0|22.0|-8.15|76.48|2.02|92.87|0.0|1.0|3.0|-4.29|25.0|-6.31|352.75|0.0|0.0|3.11|-4.38|5.12e-05|18.0|4.14e-05|0.0146|3.02|0.0|7.06e-09|2.49e-06|-0.09992|5.1755|3.2777|-1542.276332|378.26|239.56|396.17|0.69028|-1542.15786|0.2316|3.4629|0.0199445|-1542.207472|0.08|7.0969|7.0969
3d_a49|0.0|0|0.0|0.0|1|7.535296702|1|0.406515615|-0.0960135969999999|-0.003398408|5.4161004020000005|-0.3456333889999999|2|-0.087308534|1.775376197|-0.173318804|-0.068390038|10.35020259|0.017871379|1|-0.149675594|-0.075636705|-0.129666234|-0.202380888|2|0.914407252|0.733071652|-0.099295364|0.464410121|0.009601398|-57.52001036|-54.67520803|5.561916586000001|137.78978830000003|154.6267696|-0.036147237|0.0|0.756622045|-1.698920144|65.59130031|-20.93944137|0.486368221|2809.9605100000003|424.6551631|1660.7054380000002|-12.12984007|0.243377955|6.612715522999999|12.87442833|0.946920034|6018.145364|140.9844521|-570.1024832|27.67490257|-297.31302830000004|549.3593871|1.0|1.0|1.0|0.0|0.15|21.0|-6.15|121.39|1.07|111.41|0.0|1.0|4.0|-5.19|28.0|-6.58|392.45|0.0|0.0|1.85|-4.44|6.42e-06|0.00252|3.6200000000000006e-05|0.0142|2.98|0.0|7.1e-07|0.000278|-0.05766|5.1844|3.8907|-1594.552258|318.67|239.15|455.47|0.67215|-1594.380348|0.0931|2184.0|0.04373784|-1594.435881|2.34|5.6308|5.6308
