molecula|SddssS|n9FaRing|SaaNH|SssssC|NaasN|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|n6HRing|MATS7i|SaaaC|ATSC1c|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|RASA|FNSA3|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|TPSA_x|FNSA4|RPCS|FNSA1|FNSA2|DPSA5|PNSA4|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|Mor01p|CYP2C19 inhibitor|P-gp substrate|CYP3A4 inhibitor|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Log Po/w MLOGP|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
8g_a12|0.0|1|2.897921027|0.0|0|6.580639137|1|1.28383574|0.10205033|-0.0084227909999999|4.59511985|-0.029907264|2|-0.038463841|1.714060666|-0.40429396|-0.094550033|10.95472263|-0.040257632|1|-0.068810076|0.068559367|0.122649613|-0.532504083|1|0.804158158|0.8576253690000001|-0.076856227|0.274352085|0.008910823|-42.39297373|-57.6443411|4.915102972|84.95000993|78.53214058|-0.042752517|0.0|0.90166696|-1.881110729|61.99654413|-23.58177591|0.463772637|2506.427441|473.055878|1356.883205|-13.00742505|0.09833304|6.882798206|12.83559677|0.864880588|5327.736626|54.23932676|-572.326702|26.15353224|-443.109365|480.0590283|0.0|1.0|1.0|2.51|0.1|21.0|-8.0|78.85|2.89|109.93|0.0|1.0|3.0|-4.38|27.0|-6.28|353.38|0.0|0.0|2.77|-4.34|4.15e-05|0.0146|4.61e-05|0.0163|3.06|0.0|9.98e-09|3.53e-06|-0.06432|4.2057|3731.0|-1154.281986|332.31|294.8|418.41|0.55027|-1154.121362|0.1601|2.9986|0.03954539|-1154.173831|3715.0|5.43|5.43
9r_a24|0.0|0|2.950959457|0.0|0|6.605297921|0|1.353642494|-0.134192489|-0.004640179|4.59511985|0.013567512|3|-0.17821765|0.0|-0.264490176|0.064425793|10.96129392|-0.043274854|1|-0.29065818|-0.179075526|-0.2920573039999999|-0.3018627239999999|3|0.786430472|0.8417158379999999|-0.0618978309999999|0.32720212|0.015557618|-41.49802275|-54.99020696|10.4302588|71.31566881|106.1180928|-0.025821921|89.36724924|0.6152148279999999|-1.394383716|70.79264457|-17.31173182|0.473403843|2644.462265|564.3096436000001|958.7578093|-11.60626518|0.384785172|9.672636984|18.36822555|0.898988412|5501.824326|257.9706516|-626.7383196000001|28.13932796|-154.486433|670.2247423|1.0|1.0|1.0|3.04|0.22|23.0|-8.66|79.82|1.02|116.9|0.0|1.0|8.0|-4.02|30.0|-6.83|400.48|0.0|0.0|2.98|-4.06|9.58e-05|0.0383|8.77e-05|0.0351|2.69|0.0|2.21e-09|8.84e-07|-0.04313|4.4722|4.2877|-1294.451958|289.16|277.23|616.11|0.6204|-1294.201456|0.0029|1.9698|0.03426339|-1294.263358|11.0|7.9586|7.9586
18c_a25|0.0|0|0.0|0.0|1|6.842683282|0|1.193723817|-0.087958541|-0.002704524|4.727387819|-0.008080236|2|0.007241543|2.069766482|-0.162271435|-0.038865826|10.31285373|0.006360768|1|0.01222181|-0.038006869|-0.064145547|-0.282103688|2|0.7644072209999999|0.94801724|-0.048636087|0.385593349|0.009585904|-31.96445203|-47.27625541|6.300016824|26.54367263|34.1639413|-0.026975264|0.0|0.7479204509999999|-1.510614788|56.83666555|-17.72859578|0.484730247|2917.369488|623.0528232|2095.730631|-11.65153036|0.2520795489999999|7.553051762000001|14.65844196|0.940731034|6736.25597|165.67090530000002|-652.4856999|23.70385212|-325.8749539|831.3429628|1.0|1.0|1.0|3.89|0.11|27.0|-10.17|87.72|3.08|138.65|0.0|0.0|7.0|-6.05|33.0|-5.85|449.57|1.0|0.0|4.77|-5.6|8.86e-07|0.000398|2.51e-06|0.00113|4.49|0.0|6.79e-11|3.0499999999999995e-08|-0.0622|5.4858|3.3396|-1714.5777670000002|371.26|226.01|547.87|0.70516|-1714.280779|0.0041|6.1775|0.02003004|-1714.342386|88.0|7.0555|7.0555
14_a1|0.0|0|3.3674017380000003|0.0|0|7.423568444|1|1.430935835|0.043282217|-0.015636898|5.351858133|-0.175408303|1|0.1008839219999999|0.0|-0.766207981|-0.029658865|10.94959842|-0.0492229479999999|1|0.164429684|-0.020716495|-0.033765606|-0.567791164|1|0.838928085|0.593170871|-0.12658238|0.206941175|0.033047776|-74.96297518|-72.59355177|19.5711254|161.1772893|240.9270705|-0.046308519|104.2594419|0.753357398|-2.083883365|87.02320758|-27.42423067|0.47517581|2678.985809|351.2799603|1876.042189|-16.24082222|0.246642602|7.46120838|14.21658628|0.905399978|5748.712211|146.0634832|-730.8369997000001|36.40268318|-300.0800645|513.4628663999999|1.0|1.0|1.0|2.35|0.05|23.0|-7.69|103.12|1.54|106.85|0.0|1.0|4.0|-4.52|29.0|-6.73|384.39|0.0|0.0|2.85|-4.25|3.03e-05|0.0116|5.660000000000001e-05|0.0218|2.7|0.0|2.03e-08|7.81e-06|-0.05962|3.8344|3.3061|-1292.55322|375.01|323.35|464.08|0.69894|-1292.359534|0.3497|4.1207|0.03490867|-1292.415211|94.0|7.0269|7.0269
16a_a32|0.0|1|3.357452523|0.0|0|7.765993078999999|0|0.6094207620000001|0.205693867|-0.014399612|5.733341277|-0.0848387459999999|0|-0.053745649|2.095743605|-0.6911813920000001|-0.062610718|10.31100271|-0.058518519|3|-0.0999399409999999|-0.107321286|-0.199563743|-0.707456102|0|0.859696525|0.756542831|-0.090389538|0.283324612|0.020664867|-56.2527503|-74.35152328|12.86051026|92.00611646|151.5123947|-0.037168908|66.13699638|0.6968200370000001|-1.6726008419999998|88.96104768|-23.13158502|0.450892763|2615.514164|470.82456669999993|2992.60858|-14.39564033|0.303179963|7.183246604|13.08168264|0.8211379000000001|5746.082161|188.6800971|-647.803815|33.19592405|-244.9767673|532.685565|1.0|1.0|1.0|2.66|0.22|19.0|-7.3|152.07|0.88|108.86|1.0|1.0|7.0|-5.49|27.0|-6.85|398.51|1.0|0.0|3.06|-4.04|3.2e-06|0.00128|9.14e-05|0.0364|2.65|0.0|5.04e-08|2.01e-05|-0.0567299999999999|3.6314|3.6314|-1896.770883|341.42|341.42|535.63|0.70245|-1896.589348|0.2859|1.3736|0.04088655|-1896.649286|11.0|7.9586|7.9586
12k_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604984231|-0.001755273|-0.007818038|5.351858133|-0.029595542|2|-0.13882907|0.0|-0.44562817|0.067265077|10.31162844|-0.038714845|1|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.838579475|0.815083558|-0.079026221|0.340031035|0.024177669|-52.35426525|-65.04897323|16.01752015|106.8195439|122.5057244|-0.035199567|0.0|0.7081361979999999|-1.865577056|80.03127603|-23.31944323|0.47195436|2920.279667|539.9866061|2277.687222|-15.44895229|0.291863802|8.416930701|15.93977881|0.893775698|6393.133321|193.3575303|-818.7944715|32.93073182|-275.77726980000006|704.0353382000001|1.0|1.0|1.0|0.0|0.17|17.0|-6.74|90.88|2.51|133.77|0.0|1.0|6.0|-5.44|31.0|-6.19|428.51|0.0|0.0|2.57|-4.93|3.59e-06|0.00154|1.19e-05|0.0050799999999999|3.84|0.0|1.84e-07|7.87e-05|-0.05055|5.1958|3.4715|-1690.269144|357.15|238.62|564.62|0.6864899999999999|-1690.031103|0.1512|4.9516|0.03357755|-1690.094082|24.0|7.6144|7.6144
GW6604_a52|0.0|0|2.944144148|0.0|0|6.605297921|0|1.427583999|-0.277102285|-0.002149879|4.59511985|-0.005328809|2|-0.0778992459999999|0.0|-0.085995143|-0.118272803|10.94914378|-0.028376521|1|-0.131886693|0.039867344|0.067497086|-0.201462112|2|0.709088617|0.87346455|-0.071850787|0.38374044|0.009021088|-35.51891876|-35.62691523|4.459510077|157.2481263|62.55188751|-0.029217264|0.2386028039999999|0.73529506|-1.081038779|44.37166117|-14.44334401|0.4597869779999999|2044.612273|431.7909048|799.8313017999999|-7.13996301|0.26470494|6.2973559020000005|11.6571716|0.851121611|4168.525878|130.8549791|-264.17863140000003|19.64292268|-232.6328342|359.1060668|1.0|1.0|1.0|1.76|0.0|23.0|-8.03|54.46|1.91|90.49|0.0|1.0|3.0|-3.87|23.0|-5.95|298.34|0.0|1.0|3.08|-4.16|0.000135|0.0402|6.929999999999999e-05|0.0207|3.06|0.0|9.31e-09|2.78e-06||||||||||||||107.0|6.9706|6.9706
12w_a30|0.0|0|0.0|0.0|0|7.412764017000001|2|0.604983445|0.063514061|-0.007019432|5.351858133|-0.0316452179999999|2|-0.0999572419999999|0.0|-0.372029919|0.028815747|10.31162873|-0.04950715|1|-0.173643543|-0.0493878409999999|-0.0857954809999999|-0.477636454|1|0.8149999040000001|0.8522163970000001|-0.076611264|0.4274948739999999|0.015446225|-52.53307388|-65.85056003|10.59162334|82.06520565|101.3366249|-0.037237182|0.0|0.8077976990000001|-1.824621925|75.77366969|-25.53389062|0.451478593|2999.810425|584.3729039|2783.769563|-17.50883211|0.192202301|8.063690539|14.70077638|0.8230829059999999|6888.291006999999|131.7949495|-857.9327732|31.60926388|-422.1196298|685.6665849999999|1.0|1.0|0.0|0.0|0.14|17.0|-7.8|81.65|3.79|137.3|0.0|1.0|5.0|-6.58|31.0|-5.52|467.37|0.0|0.0|3.59|-6.04|2.64e-07|0.000123|9.14e-07|0.0004269999999999|5.12|0.0|1.58e-08|7.39e-06|-0.05682|5.0632|3.5585|-2494.932002|348.42|244.87|577.06|0.68423|-2494.743475|0.1614|2.4229|0.0345723|-2494.807027|15.0|7821.0|7821.0
12bf_a36|0.0|0|3.31325137|0.0|0|7.412764017000001|2|1.297043948|-0.024689509|-0.00832865|5.351858133|-0.119979424|2|0.140577067|0.0|-0.4497470879999999|-0.096665166|10.96022305|-0.0206090089999999|1|0.359635716|-0.098027247|-0.250781298|-0.433281391|1|0.653741315|0.6791406640000001|-0.090461753|0.356652646|0.0217611939999999|-58.26326838|-71.01192632|14.01562806|87.14111344|206.6543367|-0.037486972|0.0|0.7054709690000001|-1.874348624|86.28460578|-24.14405495|0.474826911|2902.591295|437.4108773|2522.341812|-15.55034592|0.294529031|7.546900716000001|14.37031118|0.904134124|6271.550446|189.6959033|-777.5172959|34.22402339|-264.6734075|593.6088758|1.0|1.0|0.0|0.0|0.14|17.0|-7.12|69.2|2.78|123.67|0.0|1.0|5.0|-3.99|31.0|-6.8|417.41|0.0|1.0|2.44|-4.32|0.000102|0.0424|4.81e-05|0.0201|2.88|0.0|7.599999999999999e-08|3.17e-05|-0.0571299999999999|5.2319|3874.0|-1431.380702|320.04|236.98|517.66|0.69292|-1431.187555|0.4006|5.4787|0.03299488|-1431.246893|6.0|8.2218|8.2218
47k_a18|0.0|0|0.0|0.0|0|7.03438793|1|1.25117623|0.029145635|-0.0067578909999999|4.844187086|-0.0605329409999999|0|-0.017736343|0.0|-0.5135996820000001|-0.02822032|10.94702256|-0.008576013|0|-0.026672956|-0.279965025|-0.421027889|-0.451417954|0|0.762665453|0.8309354040000001|-0.065324278|0.3533268229999999|0.015080484|-51.59195677|-69.77479556|11.91029894|20.66242736|133.5242222|-0.030255779|58.77865447|0.7153044209999999|-2.208671853|84.23875372|-23.89547793|0.467246896|3245.964586|656.2580564|2009.418849|-18.87222501|0.284695579|9.777177947|18.35217454|0.877042091|7575.637462000001|224.8475227|-1377.672426|33.40602576|-340.0872332|1167.054827|1.0|1.0|1.0|0.0|0.3|18.0|-8.44|88.97|2.82|154.86|1.0|1.0|11.0|-5.84|38.0|-6.41|513.63|0.0|0.0|2.53|-5.33|1.44e-06|0.000742|4.65e-06|0.0023899999999999|4.26|1.0|3.6099999999999997e-09|1.85e-06|-0.04359|3.0948|3.0948|-1664.728002|400.63|400.63|793.48|0.69823|-1664.2657390000002|0.5920000000000001|4.1818|0.02802749|-1664.341238|29.0|7.5376|7.5376
