molecula|n9FaHRing|n9FaRing|SRW09|nAHRing|nARing|SaasN|MATS2c|AATSC1s|n6HRing|JGI4|SaaaC|AATSC1are|BCUTi-1|AATSC1pe|AATSC7i|n6aHRing|MATS8s|MATS8d|FNSA3|FNSA5|FPSA3|PNSA5|RNCS|TPSA_x|FNSA4|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2D6 inhibitor|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Egan filter|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Dipole (water)|IC50|pIC50|pIC50
7l_a46|0|0|7.727094485|1|1|2.1525548|-0.2644255789999999|0.017668261|2|0.04006734|0.0|0.013150047|10.9642261|0.0125870169999999|-0.331246137|2|-0.1237456669999999|0.076724694|-0.0565894359999999|-0.06289606|0.011594057|-30.34397256|8.13531199|44.79605077|-0.022013621|2.698568452|51.39110437|0.67467081|-0.880544835|-13.17144326|-10.620390400000002|32.8948756|0.46327253|437.65027010000006|-424.8156159|1246.417766|0.32532919|5.273701985|0.016330867|-168.5385796|629.6635476|375.721552|7.878766604|1.0|1.0|0.0|3.04|2.64|0.28|17.0|3.59|3.59|43.6|1.89|86.96|1.0|-3.18|22.0|0.0|1.0|2.86|-3.72|0.1939999999999999|0.0001889999999999|0.0548|0.0|5.19e-07|0.000151|2.42|4.5464|517.29|879.87|272.71|272.71|414.82|0.68834|0.68834|0.2024|-0.18993|3.3119|-0.2231699999999999|3.9009|1.94|5.7122|5.7122
16g_a32|1|1|7.765993078999999|0|0|0.0|0.1739995319999999|-0.0429252429999999|0|0.03898374|2.084553994|-0.002456725|10.31100263|-0.00030659|-0.085591073|0|-0.026098259|0.008494733|-0.078387439|-0.105500574|0.023959586|-77.75914881|90.88837862|132.1955522|-0.033839807|13.01585399|43.37912747|0.6863323440000001|-1.79350976|-42.58335004|-24.94161377|75.43482709|0.3972359179999999|604.8539801|-1321.90553|3497.469035|0.313667656|9.3963701|0.02276861|-274.67233460000006|1926.042887|701.9321161|16.78159325|1.0|1.0|2.0|3.87|3.42|0.33|19.0|6.81|5.38|149.27|1.57|121.56|1.0|-7.51|30.0|1.0|1.0|4.37|-5.32|1.36e-05|4.83e-06|0.00213|0.0|6.890000000000001e-09|3.04e-06|5.38|3.6161|752.29|1245.25|342.86|342.86|639.49|0.70222|0.70222|0.2879|-0.14968|3.7346|-0.19968|4.3204|11.0|7.9586|7.9586
3c_a49|0|0|7.535296702|1|1|2.108416128|0.034009672|-0.016347266|2|0.036335697|1.879769411|0.006218639|10.92976555|0.006470561|-0.0780996759999999|2|0.005559828|0.0211518929999999|-0.071786669|-0.074135885|0.0148240689999999|-42.3959176|89.34479838|116.4686425|-0.0252377479999999|4.8479546860000005|77.29181095|0.637222556|-1.186174159|-23.47658531|-14.4326528|49.52988301|0.4791465279999999|455.3990518|-678.3346816000001|1667.1178220000002|0.362777444|6.567311051|0.021783913|-156.9462939|1064.517686|542.7276591|12.45751629|1.0|1.0|1.0|3.18|2.67|0.18|21.0|3.63|3.87|72.7|1.84|109.43|1.0|-3.45|28.0|0.0|1.0|2.86|-3.86|0.13|0.000137|0.0505|0.0|2.89e-08|1.07e-05|3.99|3842.0|613.33|1046.53|322.71|240.36|456.22|0.32539|0.6692100000000001|0.0729|-0.15853|3.6122|-0.21913|3.7789|87.0|7.0605|7.0605
12v_a30|0|0|7.412764017000001|2|2|0.0|0.037440652|-0.029548782|2|0.04625323|0.0|0.002431329|10.31162873|0.001805829|-0.173424818|1|-0.029852321|-0.080971844|-0.077138874|-0.0971402169999999|0.015823709|-65.72041011|82.09302037|101.4008026|-0.037666615|7.242869835|0.0|0.806069067|-1.845664126|-35.30820865|-25.48342433|62.89402328|0.478535287|575.1512171|-1248.687792|2483.120571|0.193930933|8.114588039|0.014801518|-414.1432908000001|1549.107692|685.6665849999999|10.01399667|0.0|0.0|1.0|4.62|0.0|0.14|17.0|5.11|3.92|81.65|3.79|137.3|1.0|-6.58|31.0|0.0|1.0|3.59|-6.04|0.000123|9.14e-07|0.0004269999999999|0.0|1.58e-08|7.39e-06|5.08|3.5507|715.58|1209.1|349.18|349.18|573.82|0.68405|0.68405|0.1601|-0.1505099999999999|2.9171|-0.20681|4105.0|22.0|7.6596|7.6596
16c_a32|1|1|7.765993078999999|0|0|0.0|0.191088217|-0.087497559|0|0.03995614|2.077479142|-0.0064007569999999|10.31100271|-0.00369116|-0.057356214|0|0.0482801729999999|-0.061904762|-0.088841599|-0.119988297|0.025791147|-71.59058881|102.2022233|135.41296|-0.038178095|9.181311842|37.0285246|0.6846367059999999|-1.679836163|-31.62645048|-22.77882371|68.39521789|0.463897164|461.2334662|-1002.268243|3143.196853|0.3153632939999999|6.313526111|0.02579269|-220.3256617|1463.941729|513.9156315|15.38911619|0.0|1.0|2.0|3.5|3.08|0.22|19.0|5.64|4.21|149.27|0.88|107.14|1.0|-6.04|27.0|1.0|1.0|3.41|-4.41|0.000366|3.89e-05|0.0155|0.0|1.0300000000000001e-07|4.13e-05|4.12|3.6264|639.66|1069.28|341.89|341.89|508.43|0.70198|0.70198|0.2955|-0.14997|4.0551|-0.20047|5.3459|5.0|8.3468|8.3468
12aj_a36|0|0|7.412764017000001|2|2|0.0|-0.056210607|-0.045035034|2|0.043848238|0.0|0.002951176|10.95354213|0.003962098|0.1087087|1|0.091113865|-0.072770961|-0.073002742|-0.10279655|0.018305468|-65.89100364|82.34300699|110.89910559999998|-0.0368515929999999|7.521007149|0.0|0.77492734|-1.953134451|-29.99399664|-23.62130319|58.52715472|0.47532973|530.0854761|-1251.929069|2275.825451|0.22507266|8.056502837|0.016684569|-352.4483722|1615.543812|662.0530478999999|10.69455126|0.0|0.0|2.0|4.84|0.0|0.17|17.0|3.24|2.19|69.2|2.24|128.72|1.0|-4.16|30.0|0.0|0.0|2.14|-4.3|0.0274|5.05e-05|0.02|0.0|1.08e-07|4.270000000000001e-05|3.48|3.6017|682.84|1157.64|344.24|237.06|539.55|0.4112|0.70423|0.0082|-0.14818|5.8554|-0.20093|7.8393|17.0|7.7696|7.7696
11_a1|0|0|7.423568444|1|1|0.0|0.033732316|-0.196819043|1|0.035620155|0.0|-0.0127744789999999|10.94957487|-0.009578125|0.126722854|1|-0.069193862|-0.075188762|-0.131972845|-0.126108875|0.034974992|-74.35738693|274.39137789999995|238.4902806|-0.048723884|12.15946748|84.40380304|0.751878145|-2.143850877|-45.88191258|-28.7289904|98.43720241|0.47723847|351.1382199|-1264.075578|1885.148133|0.248121855|7.43666407|0.02620284|-297.0290662|1681.223993|495.0560271000001|15.44994131|1.0|1.0|2.0|3.25|2.31|0.05|23.0|4.28|4.23|97.33|1.95|105.71|1.0|-5.07|29.0|0.0|1.0|3.22|-4.66|0.00327|2.17e-05|0.00838|0.0|3.35e-08|1.29e-05|5.26|3.1924|614.86|1036.18|388.38|331.66|471.76|0.68162|0.69914|0.3201|-0.12916|5.0526|-0.19462|7.1743|0.17|6.7696|6.7696
17a_a25|0|0|6.842683282|0|0|1.826085128|0.0055894319999999|-0.036457743|2|0.043274232|2.008884939|0.0063846319999999|10.93106298|0.006423059|-0.02776212|2|0.168247187|0.0114970419999999|-0.06234901|-0.079378741|0.012665055|-56.61512986|93.75234138|89.44809639|-0.0297670279999999|6.442637379|80.30332825|0.755980502|-1.666953566|-31.71656603|-21.2306737|53.50212109|0.468791604|623.7797651000001|-1188.917727|2432.071525|0.244019498|8.996672966|0.015373381|-365.1448527|1572.683056|781.7487682|10.96472369|1.0|1.0|1.0|3.48|3.47|0.11|27.0|4.83|5.31|72.7|2.67|131.06|1.0|-5.12|33.0|0.0|1.0|4.04|-5.13|0.00325|7.44e-06|0.00323|0.0|1.05e-10|4.54e-08|6.04|3.9347|747.06|1271.9|315.11|235.34|598.67|0.35172|0.6722|0.1735|-0.16304|3.4677|-0.21559|5.1401|25.0|7.6021|7.6021
14b_a25|0|0|6.842683282|0|0|1.616664856|-0.091382738|-0.0166120069999999|2|0.038137255|1.929508048|0.004725325|10.93106299|0.004892038|0.0028569959999999|2|-0.085205646|0.001715854|-0.076156512|-0.084160084|0.016003559|-58.29440389|112.49583529999998|97.23019209|-0.032728922|7.678174472999999|57.85340824|0.772789587|-1.767361771|-36.53830946|-22.67004596|63.83568179|0.490638154|595.4307570000001|-1224.182482|2118.281186|0.227210413|8.690235527|0.015746299|-377.9013888|1584.108407|760.3735147000001|10.90684621|1.0|1.0|1.0|3.51|3.21|0.07|27.0|4.48|4.79|96.49|1.8|130.97|1.0|-5.6|34.0|0.0|1.0|3.63|-5.23|0.0011099999999999|5.86e-06|0.00261|0.0|2.23e-10|9.93e-08|5.61|4069.0|716.14|1257.11|304.7|228.59|603.27|0.34735|0.64983|0.0006|-0.16309|2.7037|-0.22149|3.2784|22.0|7.6576|7.6576
1i_a5|0|0|6.605297921|0|0|0.0|-0.145964178|-0.31059482|2|0.0253888889999999|0.0|-0.0012491689999999|10.94550053|-0.000700145|0.059972925|2|-0.058385936|-0.00496377|-0.091178745|-0.084018635|0.008291428|-46.82694838|201.1526326|62.64191946|-0.03570792|2.575548983|0.213644964|0.759459597|-1.428316788|-28.32266298|-19.90145306|55.43870932|0.4697279689999999|494.6981114|-796.0581225|942.1618767|0.240540403|7.314842247|0.0196689|-289.21443910000005|1048.190221|403.396385|10.96226516|1.0|1.0|1.0|2.83|2.04|0.05|23.0|5.48|6.37|54.46|2.73|95.49|1.0|-4.79|27.0|1.0|1.0|4.12|-4.97|0.00589|1.0800000000000002e-05|0.00396|0.0|1.3300000000000002e-09|4.86e-07|3.58|4.3799|569.42|957.58|283.08|262.44|443.05|0.4571199999999999|0.50107|0.0207|-0.17945|2.6336|-0.23674|2.8939|24.0|7.6198|7.6198
