molecula|n9FaRing|SaaNH|SssssC|SRW09|nAHRing|SaasN|SRW07|n6HRing|JGI4|SaaaC|ATSC1c|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC1pe|MATS1c|n6aHRing|GATS1are|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PBF|FPSA3|PNSA3|PNSA5|RNCS|RPSA|TPSA_x|FNSA4|WPSA3|RPCS|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|FPSA5|DPSA2|Mor01p|CYP2C19 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|TPSA_y|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (max. Transition) (eV)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|E solv. Water  (Hartree)|pIC50|pIC50
1j_a5|0|2.9426852410000004|0.0|6.605297921|0|0.0|4.59511985|2|0.025987654|0.0|-0.175183967|0.00683534|-0.07622096|-0.032333695|1|0.006957291|-0.2470489089999999|2|0.74740095|0.717355058|0|0.847163872|-0.073803258|-0.074505844|0.35883584|0.019690225|-39.64241895|-40.01980349|73.73338699|0.152836128|82.09385267|-0.027258236|5.680936139|1.471030887|-1.117587665|-21.29338752|-14.64139152|50.21875634|0.469085779|2242.805131|455.0425806|847.5275797|0.383510433|7.328149934|13.80288876|0.026739895|973.7343247|422.96706330000006|1.0|1.0|1.0|2.76|23.0|-8.14|63.69|0.0|0.0|96.98|0.0|1.0|4.0|-4.03|328.37|1.0|3.19|6.29e-05|0.0206|0.0|7.190000000000001e-09|2.36e-06|4.4331|4.1205|-1065.849941|-1065.817476|572.47|959.39|300.89|0.5115|445.81|0.66182|0.6449|-1065.671975|2.2503|0.03246499|7.6198|7.6198
6a_a40|0|0.0|0.0|8.421342866|1|1.78213955|6.401917197|0|0.035707071|0.775942224|-0.68730803|-0.001347823|0.104332675|-0.230955427|2|-0.001171195|-0.620787469|0|0.682273668|0.657059571|1|0.733750993|-0.109047987|-0.117413572|0.360858579|0.016399125|-68.11170799|-73.33687786|185.06174|0.266249007|166.2999483|-0.049149867|6.397774285|36.84483305|-2.113444291|-42.542782200000005|-30.69915817|78.35465194|0.41480944|2936.1501780000003|458.303126|2536.88262|0.132148181|6.945713476|11.8691482|0.012872604|1521.070502|557.4018948|1.0|0.0|1.0|3.99|14.0|-4.05|173.43|2.0|2.0|120.14|1.0|2.0|5.0|-7.11|442.53|1.0|3.17|1.03e-05|0.00457|0.0|8.950000000000001e-05|0.0396|2.9836|2.9836|-2371.579899|-2371.560378|649.48|1103.4|415.55|0.4015|497.78|0.6782699999999999|0.6782699999999999|-2371.3827|6.9379|0.01952089|7.3979|7.3979
3d_a12|0|0.0|0.0|0.0|1|0.0|0.0|3|0.038787879|0.0|-0.360215148|-0.00259095|-0.002185753|-0.058191686|0|-0.000643935|-0.532019854|2|0.91670178|0.8605417409999999|0|0.8547246829999999|-0.066850425|-0.0958414059999999|0.2443206489999999|0.011128076|-34.34601551|-49.24083018|74.39425719|0.145275317|74.63869204|-0.035063929|2.9374091630000003|0.0|-1.437621096|-17.64609244|-18.01493787|40.06333231|0.472404561|2148.979792|439.1353855|1205.356874|0.22571647|5.786006004|10.96674758|0.01611886|953.9302134|410.9162081|1.0|0.0|1.0|3.98|18.0|-7.51|50.17|0.0|0.0|100.28|0.0|1.0|3.0|-3.52|313.36|1.0|2.67|0.000123|0.0385|0.0|3.08e-08|9.64e-06|4.2114|3.7719|-1006.727999|-1006.704001|548.21|918.3|328.71|0.3336|411.35|0.53114|0.6572100000000001|-1006.556654|2.2068|0.02399772|7.6021|7.6021
21b_a23|1|0.0|0.0|7.525639975|0|3.351726269|5.4161004020000005|2|0.042455556|0.745297595|-0.326506055|0.01055698|-0.103470358|-0.0490623259999999|2|0.009872313|-0.481470603|2|0.7038407329999999|0.668547062|1|0.930728719|-0.0596425779999999|-0.083105261|0.224930782|0.014481931|-41.81114831|-58.25915868|41.6766724|0.0692712809999999|48.56114386|-0.034219814|7.117014296|86.65837165|-1.745210489|-29.31080756|-23.98906534|51.9633947|0.458461834|3074.083057|652.4673795|2531.041828|0.187665282|8.773746105|16.20152864|0.013439264|1506.081551|712.6737861|0.0|1.0|1.0|3.59|26.0|-7.84|128.81|2.0|1.0|129.97|0.0|1.0|5.0|-6.1|450.52|0.0|3.57|6.06e-06|0.00273|0.0|1.43e-08|6.45e-06|4.0023|3.6237|-1761.498874|-1761.4722969999998|735.65|1247.38|342.15|0.2607|611.6|0.57848|0.70139|-1761.230923|9.5312|0.02657688|7.0691|7.0691
17g_a50|1|0.0|0.0|7.934155233999999|2|4.377239517|5.82008293|2|0.029160757|2.236579664|-0.13328325|0.012079|-0.022378911|-0.1155555559999999|2|0.01245647|-0.213708251|1|0.754575205|0.7276268779999999|1|0.920663175|-0.048170917|-0.0706879109999999|0.442201795|0.014550016|-32.14758511|-47.17463902|10.60268439|0.079336825|52.94662161|-0.025918901|6.48022912|85.51402581|-1.555134042|-21.45417373|-17.29736764|41.85775712|0.467997084|2821.3922|614.4183967|1975.996014|0.250051612|8.130878433|15.28352231|0.013645282|1383.884645|829.3813984|0.0|1.0|0.0|4.04|20.0|-6.96|51.77|2.0|0.0|133.03|0.0|1.0|6.0|-4.46|424.54|0.0|3.63|1.39e-05|0.0059|0.0|1.1e-07|4.6500000000000005e-05|4.0458|4.0458|-1335.976491|-1335.946919|725.92|1259.05|306.45|0.1795|559.45|0.6623600000000001|0.6623600000000001|-1335.631756|7.0584|0.02957267|6.6091|6.6091
14l_a23|1|0.0|0.0|7.423568444|0|3.402752757|5.351858133|2|0.046283951|0.758109562|-0.288615723|0.01269616|-0.060692376|-0.061788679|2|0.01180744|-0.448622017|2|0.725800261|0.6906097959999999|1|0.921267667|-0.053549434|-0.078204688|0.215920645|0.018669073|-35.3275485|-51.59307331|40.34135162|0.078732333|51.94117061|-0.0328459689999999|8.125310915|81.90812552|-1.642298442|-23.306234600000003|-21.66909079|47.64388017|0.492922575|2879.181064|607.777253|2176.038061|0.210373806|8.006380163|15.78926563|0.01508774|1372.110688|666.0036144999999|0.0|1.0|1.0|3.51|26.0|-7.78|105.02|2.0|1.0|125.25|0.0|1.0|5.0|-5.85|425.51|0.0|3.78|5.61e-06|0.0023899999999999|0.0|1.65e-08|7.03e-06|3.6274|3.6274|-1669.2363289999998|-1669.224647|694.65|1185.79|341.8|0.4239|560.51|0.67242|0.67242|-1668.983787|6.0563|0.01168219|8.1798|8.1798
8h_a8|0|2.975382653|0.0|7.05012252|0|1.241306689|4.844187086|0|0.046205674|0.0|-0.485274006|-0.007796225|-0.085125857|0.007079485|1|-0.007036544|-0.53822084|0|0.578166105|0.56916135|0|0.602405134|-0.122706004|-0.11302328|0.273425421|0.0111998669999999|-72.14530885|-66.4523265|316.4918269|0.397594866|233.7669182|-0.048805507|3.871662077|53.78973456|-2.147442322|-42.41801879|-28.69532281|78.73029948|0.451435543|2623.688756|354.18563860000006|2019.780061|0.081684095|7.453557203|13.58738632|0.00764059|1374.901814|485.8626377000001|0.0|0.0|2.0|3.11|23.0|-7.95|80.88|2.0|0.0|105.27|0.0|1.0|4.0|-5.21|391.37|0.0|4.01|1.01e-05|0.00395|0.0|1.13e-08|4.43e-06|4801.0|3.7327|-1361.651799|-1361.618499|608.39|1029.51|332.16|0.3011|480.09|0.56196|0.69844|-1361.455676|3.4779|0.03330037|4.9359|4.9359
14x_a23|1|0.0|0.0|7.423568444|0|3.101221922|5.351858133|2|0.04314059|0.6753138120000001|-0.335030301|0.003379755|-0.075184011|-0.0229244|2|0.003906274|-0.443633823|2|0.5788469970000001|0.558482531|1|0.7768288609999999|-0.0708831479999999|-0.084244058|0.229141189|0.022095943|-46.97594633|-55.83053941|42.44114495|0.223171139|147.90081730000003|-0.034056109|9.704599953|87.28077098|-1.6006371069999998|-31.13207597|-22.56979253|61.61945314|0.468120981|3071.48868|514.8229467|2382.851643|0.277788677|7.777802167999999|14.62325432|0.0219879679999999|1468.794817|597.2903597999999|0.0|1.0|1.0|3.42|26.0|-7.93|105.02|2.0|1.0|120.2|0.0|1.0|5.0|-5.68|447.46|0.0|4.06|5.41e-06|0.00242|0.0|1.17e-08|5.23e-06|4.0641|3.6941|-1828.393372|-1828.371718|675.21|1149.42|335.63|0.3184|537.48|0.6757|0.62836|-1828.168422|5.7933|0.02165405|8.4949|8.4949
2_a4|0|0.0|0.0|6.605297921|1|0.0|4.59511985|1|0.037777778|0.0|-0.269140683|-0.001386521|0.090707854|0.076479666|0|-0.0016168089999999|-0.3881618|1|0.930871261|0.912872667|0|0.742518847|-0.117395215|-0.105102755|0.442778552|0.006330673|-49.45826819|-44.27948986|166.102249|0.257481153|108.4760726|-0.0379537729999999|1.123639184|0.0|-1.366335816|-20.83662681|-15.98981578|52.12536246|0.3961813179999999|1623.668791|312.82106489999995|910.3327882|0.156892292|4.710383035|7.800989232999999|0.011054731|682.7518749|284.26458360000004|0.0|1.0|2.0|3.33|12.0|-4.83|45.15|0.0|0.0|79.59|0.0|2.0|2.0|-2.18|253.3|0.0|1.24|0.00171|434.0|0.0|1.4800000000000002e-05|0.00374|5.8961|3.2230000000000003|-819.9326497000001|-819.8996124|458.73|764.77|384.69|0.1315|333.36|0.4682|0.6885600000000001|-819.771754|1.7717|0.033037353|7.5086|7.5086
8e_a8|0|3.01599663|0.0|7.05012252|0|1.311619189|4.844187086|0|0.0427891159999999|0.0|-0.539547088|-0.005310149|-0.102167262|-0.051339286|1|-0.004224671|-0.475941912|0|0.650073857|0.636205913|0|0.661490276|-0.115572516|-0.105450888|0.280304418|0.0211004739999999|-70.49962428|-64.32539698|106.0087621|0.338509724|206.4920729|-0.04393787|7.851573274|76.40535608|-2.109017754|-43.00500847|-26.80224874|83.37098475|0.483244415|2692.975753|403.5112981|2080.07805|0.196692764|7.50719734|14.52755918|0.0184428869999999|1601.514194|561.882658|0.0|0.0|2.0|3.2|23.0|-7.78|90.11|2.0|0.0|111.81|0.0|1.0|5.0|-5.27|403.41|0.0|3.71|1.25e-05|0.00504|0.0|1.6399999999999998e-08|6.63e-06|4.6303|3.2737|-1376.957298|-1376.924308|639.38|1090.07|378.73|0.3731|526.86|0.50055|0.7013|-1376.708067|6.1505|0.03298991|4.7014|4.7014
