molecula|SddssS|n9FaRing|SRW09|nAHRing|BCUTs-1|MATS2c|AATSC1c|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|AATSC8d|n5aRing|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|GATS1are|BIC2|MATS8s|MATS8d|GATS1pe|RASA|FNSA5|PBF|PNSA3|RNCS|FNSA4|WNSA5|WPSA3|FNSA1|WNSA3|DPSA5|GeomPetitjeanIndex|GRAVp|TASA|MOMI-Z|WNSA4|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Num. of Aromatic heavy atoms|Log Po/w Silicos-IT Log P|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Egan filter|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Volume|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50
6e_a40|0.0|0|8.421342866|1|0.604892975|0.128035402|-0.0148450439999999|-0.074872854|0|-0.15110197|-0.69771706|-0.0026177839999999|-0.205140551|2|2|-0.276969278|-0.020200684|-0.037027769|-0.6319354389999999|0.685858263|0.8361555479999999|-0.011405885|-0.289988439|0.648802794|0.74620476|-0.1164147119999999|0.376602018|-70.52033811|185.1473293|-0.04873174|-50.27304895|6.85578763|0.866991176|-46.34235117|84.95203628|0.441911406|3075.060648|490.3675161000001|3854.417113|-21.04453212|6.972949117000001|12.49434084|0.791830204|7585.605268000001|87.40658058|-904.9148811|36.93694043|-482.3355765|8.450255075|1.0|0.0|1.0|1.0|3.98|14.0|5.02|173.43|2.12|2.0|125.15|1.0|5.0|-7.76|30.0|5.0|-6.09|476.98|1.0|3.68|-5.58|1.74e-08|2.6e-06|0.00124|4.4|0.0|0.0112|2.9549|-2831.191706|1149.77|0.3625|537.07|0.67187|-2830.986514|0.3625|8.3311|0.03482243|-2831.048968|18.0|7.7447
8h_a8|0.0|0|7.05012252|0|1.3918396709999998|0.038482973|-0.010324979|-0.249095464|0|0.008138299|-0.485274006|-0.007796225|0.007079485|1|1|0.021094825|0.09830823|0.254819201|-0.53822084|0.578166105|0.6971223040000001|0.111824921|0.010682683|0.56916135|0.602405134|-0.11302328|0.273425421|-72.14530885|316.4918269|-0.048805507|-39.07081527|3.871662077|0.918315905|-42.41801879|70.94463092|0.451435543|2623.688756|354.18563860000006|2019.780061|-16.87148841|7.453557203|13.58738632|0.822939833|5956.417906000001|48.02637252|-742.3454901|31.2477685|-491.8998117|4.492304417|0.0|0.0|0.0|2.0|3.11|23.0|4.69|80.88|4.11|0.0|105.27|0.0|4.0|-5.21|29.0|4.0|-5.98|391.37|0.0|4.01|-5.0|6.11e-06|1.01e-05|0.00395|3.82|0.0|4.43e-06|3.7327|-1361.651799|1029.51|0.3011|480.09|0.56196|-1361.455676|272.0|3.4779|0.03330037|-1361.5113789999998|11.59|4.9359
12g_a40|0.0|0|7.515889085|0|0.604990688|0.037440516|-0.01011728|-0.129331216|0|0.167050952|-0.354104815|-0.001011175|-0.211162861|2|2|0.280045216|0.063401514|0.106286677|-0.512657141|0.777835705|0.769016155|0.020185301|-0.326139923|0.6941475490000001|0.8702014570000001|-0.099521372|0.289122732|-49.94706785|130.7472028|-0.0435406|-27.42361099|3.501413627|0.852031227|-26.21888031|59.29860462|0.465725912|2287.970776|456.7977427|681.6778419|-11.99782981|7.692740528|14.39849078|0.871698484|5211.675486|77.67373972|-383.9305539|26.82520454|-369.5858437|7.056520179|1.0|0.0|0.0|1.0|3.24|20.0|4.83|78.66|3.76|0.0|93.78|0.0|2.0|-6.46|23.0|3.0|-4.91|362.23|0.0|4.4|-5.79|3.43e-07|1.62e-06|0.000586|5.07|0.0|8.57e-05|3.1577|-2173.044757|896.63|0.3539|429.31|0.67055|-2172.9382|0.2682|1.9175|0.02230594|-2172.988604|724.0|6.1403
36_a18|0.0|0|7.03438793|2|1.25117638|0.050448408|-0.006407141|-0.020339784|1|-0.05224259|-0.442092758|-0.000451777|0.003321395|0|0|-0.079553246|-0.079721028|-0.12139648|-0.493920601|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.721836103|0.804293867|-0.079805761|0.3847791889999999|-55.38202488|110.8288932|-0.031922305|-40.46339026|4.786442152|0.812056067|-39.43509046|65.59412783|0.4751830729999999|2979.013751|572.70209|1547.485543|-16.1853561|9.560644525|18.21710397|0.905426346|6799.65027|133.8265619|-1052.048147|27.99124609|-444.4026478999999|8.767974776|0.0|1.0|1.0|3.0|4.19|18.0|3.73|85.29|3.13|1.0|146.24|0.0|7.0|-5.68|35.0|3.0|-6.18|466.57|0.0|2.8|-5.28|2.09e-06|5.19e-06|0.00242|4.18|0.0|3.210000000000001e-07|3.1908|-1493.686737|1350.57|0.4674|636.33|0.69372|-1493.266344|0.4674|1.9944|0.02564498|-1493.333297|32.0|7.4949
23_a10|0.0|0|7.535296702|1|1.34383709|-0.12979844|-0.00264793|0.012558932|2|-0.031558374|-0.17741132|0.010305237|-0.0253481679999999|1|1|-0.0502296329999999|-0.130679|-0.207994181|-0.233801237|0.7338945809999999|0.754150918|-0.149057824|-0.043248272|0.706648116|0.915208645|-0.072395864|0.535680357|-35.17017083|72.17779806|-0.02685653|-36.32074126|4.824237957|0.7611996520000001|-24.91121732|60.76548004|0.485561757|3103.831885|648.2471057|1945.384475|-13.47382337|8.755988318|17.02048484|0.943867925|7034.375112000001|169.14354509999998|-835.377049|24.9903188|-370.018179|9.487107794|1.0|1.0|1.0|0.0|3.8|27.0|5.11|56.07|2.99|0.0|139.11|0.0|6.0|-5.38|35.0|5.0|-5.93|461.56|0.0|4.5|-5.7|4.19e-06|2e-06|0.000923|4.48|0.0|6.66e-08|3.8034|-1470.1960279999998|1336.11|0.2089|606.18|0.67647|-1469.838069|0.2089|3.8115|0.02986448|-1469.902562|0.75|6.1249
9a_a31|0.0|0|7.765993078999999|1|0.6101356720000001|-0.009086485|-0.01391798|-0.093457477|0|-0.05057805|-0.723734943|-0.006189303|-0.0007638889999999|2|2|-0.084652799|-0.093527289|-0.15653721|-0.542342338|0.8058046320000001|0.782715368|0.045292529|-0.001313433|0.76226755|0.691768132|-0.122626525|0.235442032|-64.75697831|163.6011874|-0.043430228|-50.50275387|13.69193237|0.737758755|-41.55773748|94.03540892|0.484502446|2855.751316|443.941629|1955.13855|-17.886392|7.812278516|15.15483138|0.939873412|6273.506211999999|168.29310269999996|-858.5468158|37.77835579999999|-305.16297060000005|15.33993762|1.0|1.0|1.0|2.0|3.6|22.0|5.51|117.37|1.58|0.0|113.64|0.0|6.0|-5.62|30.0|5.0|-6.39|418.47|0.0|3.47|-4.77|2.42e-06|1.7100000000000002e-05|0.00715|3.47|0.0|3.07e-06|3.7892|-1691.9526239999998|1145.99|0.7028|540.01|0.7028|-1691.716118|0.7028|5.0244|0.03885662|-1691.7777600000002|0.15|6.8239
20_a31|0.0|1|7.765993078999999|0|0.609420757|0.0469387759999999|-0.009722467|-0.057200812|0|-0.013040402|-0.476400874|-0.003484915|-0.078213611|3|3|-0.023477148|-0.0852122769999999|-0.1534110109999999|-0.594513619|0.788133615|0.8602874540000001|0.028036914|-0.131662689|0.7507116140000001|0.7954270659999999|-0.110195543|0.246878555|-53.79798102|64.42171513|-0.033537774|-43.27297051|7.592555532|0.710707042|-33.71260536|81.35171021|0.464597945|2576.1287230000003|498.4558574|1758.762093|-13.1700345|8.289864307|15.48343758|0.86775525|5678.167489|181.2859728|-605.8215871|29.5712685|-264.0799235|12.29746712|1.0|1.0|1.0|2.0|3.46|19.0|6.49|140.04|1.1|0.0|110.47|1.0|7.0|-5.91|27.0|4.0|-6.39|397.52|1.0|3.6|-4.44|1.24e-06|3.66e-05|0.0146|3.29|0.0|8.86e-06|3.5381|-1880.768349|1113.19|0.2011|560.67|0.7036600000000001|-1880.538664|0.2011|3.7403|0.0336943|-1880.599777|8.0|8.0862
4b_a49|0.0|0|7.535296702|1|1.343847828|-0.109946885|-0.0074627159999999|-0.077626337|2|-0.064060521|-0.402986655|0.001769804|0.02907541|1|1|-0.10158752|-0.0563571629999999|-0.089371493|-0.390006034|0.720824193|0.798826417|0.005818676|0.049923437|0.6967593559999999|0.7581492670000001|-0.090284437|0.438784865|-56.45224362|41.97072627|-0.030696709|-34.19753462|9.138717999|0.645330839|-34.74338731|71.2971749|0.477868186|2708.998101|466.6010051|1701.832352|-11.62716177|7.588962922|14.53457293|0.915225186|6025.790417|218.2802175|-581.3580885|29.27523192|-178.8869784|15.73185141|1.0|1.0|1.0|1.0|3.37|21.0|3.71|90.13|1.66|0.0|112.36|0.0|6.0|-3.81|30.0|6.0|-7.12|400.43|0.0|2.8|-3.88|0.000155|0.000132|0.0527|2.28|0.0|3.570000000000001e-05|3.7413|-1333.063439|1121.45|0.2856|509.78|0.4151899999999999|-1332.800229|0.0615|1.8265|0.03702033|-1332.8586269999998|79.0|7.1024
4R4l_a46|0.0|0|7.825245291|1|1.134637095|-0.058870177|-0.004736212|-0.075241716|1|-0.067419714|-0.255755434|0.0066560469999999|-0.161358058|1|1|-0.1012114369999999|0.0071939419999999|0.010799648|-0.3888343979999999|0.7940662409999999|0.726535412|-0.001318857|-0.229089688|0.7936534740000001|0.896653672|-0.084697739|0.208818132|-49.12015477|177.33836430000002|-0.02989332|-24.94818681|2.086777505|0.8782984840000001|-26.65896664|49.44228224|0.4568839389999999|2165.83681|486.6405745|1766.0974600000002|-8.805242402000001|5.669819400000001|10.43942503|0.8412270820000001|4923.057044|66.05102684|-449.0673625|18.4720714|-410.6276419|3.474304058|1.0|1.0|1.0|1.0|3.92|17.0|4.64|50.94|3.06|0.0|105.77|0.0|3.0|-5.28|26.0|3.0|-5.23|347.45|0.0|4.09|-5.11|5.25e-06|7.78e-06|0.0027|4.49|0.0|3.47e-05|4.1152|-1092.75416|1038.78|0.1678|498.78|0.40548|-1092.4898449999998|0.0851|2.1973|0.02589231|-1092.544322|137.0|6.8633
18a_a30|0.0|0|7.412764017000001|2|0.604987543|0.045071414|-0.006673169|-0.02919335|2|-0.041327798|-0.353677943|0.005050384|-0.094932667|1|1|-0.073280844|-0.053309522|-0.094526372|-0.452377064|0.8421237309999999|0.7885597609999999|0.003991162|-0.171895425|0.7961424690000001|0.85918121|-0.095397479|0.294303776|-45.11907802|79.18861306|-0.036990859|-36.97308547|6.611941026|0.7904991659999999|-28.08889239|69.35818061|0.445995681|2721.874248|534.88346|2814.429655|-14.33650253|7.050626413|12.72666325|0.8050400790000001|5942.293347|130.4247923|-702.4886239|29.1318055|-361.7006453|9.968457988|1.0|1.0|0.0|1.0|4.75|17.0|3.84|81.65|2.82|0.0|127.28|0.0|5.0|-5.28|29.0|4.0|-5.98|398.48|0.0|2.63|-4.85|5.23e-06|1.4e-05|0.0056|3.87|0.0|9.21e-05|3.4712|-1575.786909|1120.46|0.3781|508.08|0.69033|-1575.54671|0.3781|4.2514|0.03180853|-1575.604922|25.0|7.6108
