molecula|SddssS|n9FaHRing|n9FaRing|SaaNH|SssssC|SRW09|nARing|BCUTs-1|SaasN|SRW07|AATSC1s|n6HRing|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aRing|n5aHRing|AATSC7i|AATSC1i|n6aHRing|GATS1are|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|FNSA3|FNSA5|PBF|PNSA3|RNCS|FNSA4|WPSA3|FNSA1|DPSA5|GRAVp|TASA|PNSA2|MOMI-Z|WNSA4|GeomRadius|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|BBB|CYP1A2 inhibitor|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
47d_a18|0.0|0|0|0.0|0.0|7.03438793|1|1.251175994|0.0|4.844187086|-0.041876322|0|0.069914568|-0.480899596|0.003376831|10.94702255|0|0|0.104380139|-0.406388629|0|0.7640994990000001|0.7430748709999999|0.027971797|0.773981237|0.741366815|0|-0.06394156|-0.087315963|0.445704576|-52.14267013|64.92967228|-0.028722356|10.15469843|0.69814381|86.29525584|3304.705347|682.5509007|-1780.097106|1947.023498|-19.1002979|9.940531282|7780.945962999999|246.1558296|-1451.622641|33.54943497|0.018506261|-323.1621908|2549.757058|1255.618298|15.0913716|1.0|0.0|1.0|1.0|2.0|0.0|0.32|2.81|3.21|2.6|3.0|2.0|159.67|1.0|12.0|-5.74|39.0|4.0|0.0|0.0|0.0|1.83e-06|0.000968|5.23e-06|0.00276|1.0|1.4800000000000003e-09|7.790000000000001e-07|3.1079|-1704.061013|-1704.0327519999998|875.6|1544.09|0.5820000000000001|398.94|817.06|0.69905|0.69905|-0.12844|3.7605|0.02826074|4.2225|8.0|8.0969|8.0969
47f_a18|0.0|0|0|0.0|0.0|7.03438793|1|1.251175676|0.0|4.844187086|-0.034211867|0|-0.048472184|-0.477030713|0.0036509859999999|10.94702253|0|0|-0.071877686|-0.3927204379999999|0|0.765824398|0.750610215|-0.014370598|0.780474694|0.745431271|0|-0.063824969|-0.084851044|0.375218907|-54.18475173|111.1889928|-0.0289997239999999|9.979328976|0.726550657|86.11217859|3367.7324700000004|711.5604361000001|-1944.945479|2343.062749|-20.90098811|10.55465562|7870.103594|232.14715330000004|-1651.17806|33.88554232|0.016581683|-384.6642262|2676.957843|1347.416568|14.07716085|1.0|0.0|1.0|1.0|2.0|0.0|0.34|3.22|3.6|2.79|3.0|2.0|164.47|1.0|13.0|-6.11|40.0|4.0|0.0|0.0|0.0|7.76e-07|0.000421|3.01e-06|0.00163|1.0|6.04e-10|3.27e-07|3.0964|-1743.375413|-1743.346389|908.66|1602.99|0.5741|400.42|874.24|0.6984600000000001|0.6984600000000001|-0.12802|3.8532|0.02902413|4.4861|9.0|8.0458|8.0458
1_a6 (SB-431542)|0.0|0|0|3.3674017380000003|0.0|7.423568444|1|1.430935835|0.0|5.351858133|-0.175408303|1|0.1008839219999999|-0.766207981|-0.011639964|10.94959842|1|1|0.164429684|-0.033765606|1|0.838928085|0.7462411859999999|-0.083341531|0.805877431|0.795744863|0|-0.126408788|-0.122555709|0.210050443|-74.98172333|160.410387|-0.0462988229999999|11.61820782|0.7531996609999999|87.15852628|2678.823231|352.3666367|-1235.8353619999998|1890.228713|-16.29019397|7.523839331|5748.417262|146.3942108|-733.0587287000001|36.46179023|0.02438148|-300.3801761|1640.78056|513.4628663999999|14.4623285|1.0|1.0|1.0|1.0|2.0|2.35|0.05|4.04|3.63|1.54|1.0|0.0|106.85|1.0|4.0|-4.52|29.0|5.0|0.0|0.0|1.0|3.03e-05|0.0116|5.660000000000001e-05|0.0218|0.0|2.03e-08|7.81e-06|3295.0|-1292.588032|-1292.553086|619.92|1049.69|0.5765|324.5|464.07|0.55256|0.69868|-0.13329|6.0113|0.03494577|8.8611|1542.0|5.8119|5.8119
7c_a10|0.0|0|0|0.0|0.0|7.535296702|1|1.343178184|2.1219657030000003|5.4161004020000005|0.012145872|2|-0.1122332619999999|-0.206388032|0.01006918|10.92926158|1|1|-0.176560297|-0.191576261|2|0.725146704|0.7928588059999999|-0.105104647|0.84177174|0.6952665379999999|1|-0.05074318|-0.0876410609999999|0.487148112|-29.66615908|87.99694927|-0.0223398779999999|9.377842892|0.52630639|67.01436709|2616.8970870000003|529.8395322|-666.0926258|1881.379304|-7.635686595|6.703148323|6034.895823|276.93712|-389.4200163|24.81565867|0.0269852389999999|-30.75918962|1265.598592|611.4957509|15.7764728|1.0|1.0|1.0|1.0|0.0|3.49|0.26|4.59|4.43|1.99|1.0|0.0|113.07|1.0|4.0|-4.44|29.0|5.0|0.0|1.0|1.0|3.59e-05|0.0139|2.05e-05|0.00793|0.0|1.66e-08|6.4e-06|3.8357|-1259.011598|-1258.985004|635.47|1102.43|0.4049|228.47|488.89|0.41348|0.68708|-0.16055|3.9465|0.02659395|5.0714|3.81|5.4191|5.4191
7c_a8|0.0|0|0|3.17138259|0.0|7.05012252|0|1.400027586|1.4416758790000002|4.844187086|-0.025233184|1|0.0493777859999999|-0.382994379|0.00325576|10.94670214|1|1|0.079425146|-0.077006275|1|0.718994164|0.740795639|-0.196826366|0.795846675|0.6881348629999999|0|-0.080277893|-0.089778346|0.292274414|-50.34151168|49.43944876|-0.03366688|12.03370912|0.626902145|76.40286308|2716.5013510000003|532.3522286|-1013.384819|2162.326414|-13.23925183|7.700542366|6013.168519|233.9661552|-635.4840877|33.67700028|0.032058696|-159.15828340000002|1616.4960130000002|572.8089095|20.10370648|0.0|1.0|0.0|1.0|1.0|3.1|0.09|4.22|3.78|1.82|1.0|0.0|112.76|1.0|5.0|-5.0|30.0|5.0|0.0|0.0|0.0|1e-05|0.00399|2.14e-05|0.00851|0.0|1.73e-08|6.91e-06|3.1406|-1331.8206369999998|-1331.793312|662.05|1116.53|275.0|269.17|579.97|0.62361|0.70321|-0.1318599999999999|12.0073|0.02732536|15.7056|18.59|4.7307|4.7307
4i_a46|0.0|0|0|0.0|0.19654443|7.825245291|1|1.1346370959999998|2.184105962|5.587248657999999|-0.018872727|1|-0.088884176|-0.127450387|0.012211602|10.94638684|1|1|-0.133434195|-0.091288438|1|0.7204791309999999|0.749522825|-0.17856753|0.786754478|0.7172344890000001|0|-0.058565229|-0.075208437|0.263514985|-33.08099617|67.51603424|-0.025069479|4.997521397|0.763831778|49.04951810000001|2200.19132|531.4066842|-722.1945751000001|2253.484644|-7.998762108999999|6.218233741000001|4893.587424|133.40134070000002|-407.9368676|18.53900079|0.011626803|-298.0546045|945.4890404|579.2365607|6.567484272000001|1.0|1.0|1.0|1.0|0.0|3.5|0.36|4.79|5.07|3.06|1.0|0.0|105.43|1.0|3.0|-4.94|26.0|3.0|0.0|1.0|1.0|1.16e-05|0.00403|9.13e-06|0.00317|0.0|5.04e-08|1.75e-05|4.4232|-1092.730494|-1092.70435|611.74|1058.5|0.2805|229.66|546.24|0.41877|0.69035|-0.18438|2.8538|0.02614355|3.8696|612.0|6.2132|6.2132
1d_a5|0.0|0|0|2.79978458|-4.455320158|6.605297921|0|1.217311475|0.0|4.59511985|-0.308010841|2|-0.118028278|-0.2688711589999999|-0.0012491689999999|10.94437658|1|1|-0.389011185|0.004923698|2|0.525406088|0.7595197290000001|-0.015804188|0.821309592|0.513260607|0|-0.088396743|-0.086213657|0.6271150670000001|-47.76176205|204.4506579|-0.036640804|2.317281143|0.770504115|56.83734591|2481.822293|484.3911442|-791.897671|1172.890724|-10.69678217|6.116537519|5717.438103|123.9992274|-427.8712868|25.69414151|0.018980039|-292.3128788|1027.76566|403.396385|10.25512997|1.0|0.0|1.0|1.0|1.0|2.19|0.05|5.48|6.37|2.73|2.0|0.0|95.49|1.0|4.0|-4.79|27.0|6.0|1.0|0.0|1.0|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|0.0|1.3300000000000002e-09|4.86e-07|4.6112|-1288.340378|-1288.306458|567.04|951.63|0.2805|254.46|414.59|0.41781|0.5764600000000001|-0.18991|3.7798|0.03392008|5.3765|9333.0|5.03|5.03
47o_a18|0.0|0|0|0.0|0.0|7.03438793|1|1.251177005|0.0|4.844187086|-0.055408687|0|-0.006238734|-0.4339284229999999|-0.00046896|10.94702017|0|0|-0.009467295|-0.156998637|0|0.7452092359999999|0.7435044540000001|-0.066242713|0.781148177|0.733228144|0|-0.077288013|-0.088436375|0.261785105|-56.13142962|77.37089184|-0.034545459|4.585021184|0.872753077|70.23090572|2857.120021|586.0020642999999|-1605.70184|1393.529823|-18.22128055|9.808930716|6462.6049570000005|92.41474142|-1166.161955|28.74706708|0.008265369|-541.4335917000001|1839.812293|931.8364349|6.002832126|1.0|0.0|1.0|1.0|3.0|0.0|0.25|3.69|3.0|2.94|3.0|1.0|139.63|1.0|9.0|-5.66|34.0|3.0|0.0|0.0|1.0|2.19e-06|0.000996|8.38e-06|0.00381|0.0|4.26e-10|1.93e-07|3.22|-1455.574672|-1455.547304|783.22|1352.29|0.5065|385.04|706.49|0.69248|0.69248|-0.13203|2.2316|0.02736851|2.8284|47.0|7.3279|7.3279
12d_a31|0.0|0|0|3.441384322|0.0|7.765993078999999|1|0.61013528|0.0|5.733341277|-0.043220149|0|-0.042401695|-0.697102094|-0.002456634|10.31169788|2|2|-0.067477864|-0.214049412|0|0.8066174070000001|0.8343242820000001|-0.057226679|0.873955169|0.771222772|0|-0.0938723509999999|-0.11498416|0.3996192999999999|-66.58534562|157.30671669999998|-0.032542687|14.93891054|0.6383648510000001|99.79879739|2653.867767|500.3881827|-1223.404968|2434.226776|-16.37326657|9.445278138|5753.290126|256.5143096|-867.7831284|36.15974873|0.02571268|-196.2893506|1916.466682|647.1500428999999|18.23846616|1.0|1.0|1.0|1.0|2.0|3.9|0.38|6.04|4.09|1.31|2.0|0.0|112.97|1.0|9.0|-5.61|29.0|5.0|0.0|0.0|1.0|2.48e-06|0.0010199999999999|4.06e-05|0.0167|0.0|2.3500000000000002e-08|9.69e-06|3.8477|-1657.471849|-1657.428467|730.86|1201.63|0.2566|322.23|626.33|0.7006600000000001|0.7006600000000001|-0.15968|2.4186|0.04338158|3.3585|0.51|6.2924|6.2924
3d_a32|0.0|1|1|3.503398526|0.0|7.765993078999999|0|0.609420786|0.0|5.733341277|-0.034290847|0|-0.0620110029999999|-0.269655316|0.000655875|10.31100276|3|3|-0.1131110759999999|-0.1395294259999999|0|0.8315372|0.8444218509999999|-0.100251236|0.90169022|0.77923808|1|-0.06869526|-0.093187219|0.2214902789999999|-37.19367587|62.43434632|-0.02867299|4.22710649|0.720540286|59.15151032|2213.978384|483.4133562|-605.4522892000001|1855.167124|-8.405385739|6.15119195|4752.534658|151.30787800000002|-327.8100438|21.54552351|0.0160633|-238.8142619|840.275417|421.3548777|8.697152881000001|1.0|1.0|1.0|1.0|1.0|3.11|0.24|6.97|5.07|1.94|1.0|0.0|97.86|1.0|4.0|-6.55|23.0|3.0|0.0|0.0|1.0|2.81e-07|9.58e-05|7.36e-06|0.00251|0.0|5.13e-08|1.75e-05|3.5105|-1672.758552|-1672.733979|569.29|959.11|0.5031|353.18|465.41|0.7035100000000001|0.7035100000000001|-0.14189|3.2094|0.02457348|5.1728|8.0|8.0915|8.0915
