molecula|SddssS|NaaNH|n9FaHRing|SaaNH|SssssC|NaasN|nAHRing|nARing|BCUTs-1|MATS2c|AATSC1c|SRW07|AATSC1s|JGI4|SaaaC|ATSC1c|AATSC1are|AATSC8d|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|nFaHRing|FNSA5|PBF|FPSA3|PNSA3|PNSA5|PPSA3|RNCS|FNSA4|WPSA3|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|GeomRadius|GRAV|PPSA1|WNSA2|DPSA1|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Log Po/w iLOGP|Fraction Csp3|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|CYP1A2 inhibitor|Consensus Log P|Log S (ESOL)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|Gibbs Free Energy|Dipole (water)|pIC50|pIC50
12k_a30|0.0|0|0|0.0|0.0|0|2|2|0.604984231|-0.001755273|-0.007818038|5.351858133|-0.029595542|0.042739018|0.0|-0.44562817|0.0043261129999999|-0.038714845|-0.240110949|-0.089279071|-0.154412059|-0.4186541|1|0.838579475|0.830875659|0.001281277|-0.067714819|0.883029843|0|-0.098188266|0.340031035|0.024177669|-52.35426525|-65.04897323|16.01752015|106.8195439|-0.035199567|10.61148425|0.7081361979999999|80.03127603|-23.31944323|68.37178540000001|0.47195436|2920.279667|539.9866061|-1235.930491|2277.687222|8.416930701|6393.133321|193.3575303|-818.7944715|-275.77726980000006|1745.328787|14.9823028|1.0|0.0|1.0|1.0|1.0|0.0|0.17|-6.74|3.89|2.63|90.88|2.51|2.0|0.0|133.77|0.0|-5.44|31.0|5.0|-6.19|428.51|0.0|2.57|-4.93|1.19e-05|0.0050799999999999|3.84|7.87e-05|-0.05055|3.58|-1690.302721|710.82|0.2257|564.62|0.39318|0.6864899999999999|-1690.031103|4.9516|-0.19798|-1690.094082|5.0736|7.6144|7.6144
9_a4|0.0|0|0|0.0|0.0|1|1|1|1.300485838|-0.211556011|-0.00136737|5.4161004020000005|0.016639331|0.040449735|2.137757657|-0.064266379|0.010709527|-0.0454860859999999|-0.030976753|-0.0475186259999999|-0.076824065|-0.172904817|2|0.625717993|0.801082857|-0.151437311|-0.072130166|0.861113198|1|-0.069566741|0.472497372|0.009037784|-28.63837014|-37.85762102|4.918284148|13.6577411|-0.025885299|2.676487872|0.792890434|43.71760622|-14.08655666|33.55665428|0.43745176|2359.945586|509.9632679|-605.7219363|2012.840082|5.744374392999999|5387.230364999999|112.7072422|-329.6286606|-318.7769026|763.9415367|5.859985199|1.0|0.0|1.0|1.0|0.0|3.37|0.19|-8.16|5.14|5.07|43.6|3.15|2.0|0.0|105.09|0.0|-4.76|26.0|3.0|-5.56|360.84|1.0|4.17|-5.15|7.06e-06|0.00255|4.14|2.49e-06|-0.05256|3.87|-1489.554198|586.24|0.1217|430.12|0.5182100000000001|0.6464|-1489.36688|4.4343|-0.22204|-1489.41872|5.4739|7.3188|7.3188
12ar_a36|0.0|1|0|3.46014932|0.0|0|2|2|1.297042582|-0.064363806|-0.007046017|5.351858133|0.000258844|0.040839506|0.0|-0.40866901|0.000939229|-0.036002609|0.145909555|-0.096853381|-0.169341326|-0.4194638229999999|1|0.86559137|0.8371588959999999|-0.017348015|-0.064014394|0.89459881|0|-0.098732471|0.317338373|0.022389124|-54.80317647|-66.9989409|15.19305207|86.85924228|-0.0347392029999999|10.30986449|0.705591187|82.17472548|-23.57370143|69.99622854|0.4743067589999999|2902.67985|567.6702443|-1272.979877|2404.999137|8.770514183|6155.432771|199.7830951|-863.83236|-279.0245523|1804.132337|15.17578458|1.0|0.0|0.0|1.0|2.0|0.0|0.17|-7.05|3.14|1.95|92.99|1.59|1.0|0.0|133.27|0.0|-3.92|32.0|5.0|-7.21|420.47|0.0|1.8|-3.91|0.000122|0.0515|2.33|3.76e-05|-0.0566|3.23|-1364.511244|717.19|0.5586|580.53|0.41433|0.67174|-1364.235126|6.4688|-0.21291|-1364.2977050000002|8.7322|7.6021|7.6021
8b_a50|0.0|1|1|3.1324050960000003|0.0|1|1|1|1.398299046|-0.115740384|-0.0045301379999999|5.777652323|-0.009597908|0.035718954|1.98971238|-0.1812055289999999|0.006841944|-0.0180233089999999|-0.170496134|-0.065440141|-0.116174481|-0.332085641|1|0.753629415|0.809463375|-0.027207307|-0.031953774|0.8836675340000001|1|-0.078068703|0.267094693|0.021513107|-34.79187329|-37.39727879|10.30543157|131.417573|-0.030360051|4.93661461|0.6717097959999999|49.02840043|-14.54338619|45.09730487|0.428882006|2143.807599|404.9478761|-523.561903|1401.458274|5.292277178|4446.001554|157.2609748|-250.8020475|-164.5084115|779.4465792000001|11.63112165|1.0|1.0|0.0|1.0|1.0|1.69|0.06|-5.94|3.14|3.41|59.39|1.79|0.0|0.0|89.78|0.0|-3.44|23.0|3.0|-6.32|299.33|1.0|2.51|-3.81|0.000154|46.0|2.55|0.000347|-0.02903|2.11|-967.3527447|515.81|0.1717|353.17|0.5533|0.59283|-967.212701|3.8213|-0.20144|-967.258772|5.8205|7.1675|7.1675
12e_a31|0.0|1|0|3.483599061|0.0|0|1|1|0.610134116|0.052663358|-0.011519192|5.733341277|-0.044316064|0.037098765|0.0|-0.70267073|-0.002475146|-0.015755876|0.01824365|-0.08867626|-0.142921555|-0.543945776|0|0.7968154940000001|0.7761616020000001|-0.039273975|-0.028502695|0.82100963|0|-0.1099563869999999|0.2642991189999999|0.02665413|-68.32948993|-79.96257188|19.38343763|166.1479229|-0.036652129|14.09603901|0.725120432|95.1187282|-26.65419063|87.71292755|0.474858042|3040.353774|524.7092721|-1519.288866|1899.851187|10.24381236|6557.418968999999|199.8981394|-1104.858464|-327.4245209|2095.222806|15.15615632|1.0|1.0|1.0|1.0|2.0|3.72|0.24|-9.31|6.69|5.4|117.37|2.21|3.0|0.0|129.38|0.0|-6.66|33.0|5.0|-5.93|460.55|1.0|4.5|-5.42|3.83e-06|0.00176|4.48|2.27e-07|-0.03445|6.33|-1809.899887|781.61|0.3831|640.03|0.55114|0.7006600000000001|-1809.581226|2.6024|-0.19379|-1809.650069|3.4818|6.7696|6.7696
17_a4|0.0|0|0|0.0|-4.533317957|1|1|1|1.219995452|-0.188642713|-0.006491052|5.4161004020000005|-0.319716072|0.043084795|0.0|-0.25315101|0.001892883|-0.094767116|-0.073733221|-0.0179434139999999|-0.07155304|-0.392770755|1|0.49887819|0.772721853|0.0147116789999999|-0.12969185|0.8347553529999999|0|-0.08932566|0.332034943|0.01061251|-45.75108579|-46.06264282|5.472562628|17.08736223|-0.042181562|2.822041259|0.861696586|52.67753395|-21.75180355|51.22364842|0.4440629029999999|2351.601697|458.3237652|-783.0649279|1658.726841|5.923504372999999|5322.773303|71.31904507|-403.8037909|-373.0328031|908.7478594|6.61489113|1.0|0.0|0.0|1.0|0.0|2.94|0.11|-6.56|4.59|6.26|30.71|3.66|1.0|0.0|85.09|0.0|-4.36|25.0|6.0|-5.56|345.29|1.0|4.29|-4.81|1.5399999999999998e-05|0.00532|4.01|9.44e-05|-0.04186|4.44|-1255.994721|527.39|0.2045|413.28|0.47353|0.47353|-1255.881628|4.8197|-0.21745|-1255.932407|6.3221|6057.0|6057.0
12ae_a36|-3.3501500230000003|1|0|3.412870974|0.0|0|2|2|0.299253957|0.069118289|-0.009867085|5.351858133|-0.351827031|0.041555556|0.0|-0.611759277|-0.006862238|0.006615826|0.151620635|-0.15024383|-0.261631709|-0.513686975|1|0.8183043390000001|0.831101086|-0.0931249669999999|0.010209009|0.8837136859999999|0|-0.105648609|0.439268891|0.023873046|-63.96145017|-78.71102033|17.78605328|96.60079598|-0.036430555|13.25108213|0.6849975640000001|97.76153993|-27.14173115|81.74750345|0.465246185|3486.122819|533.6188092|-1574.220407|2634.745208|8.676756505|7331.209763|234.6851816|-1172.836017|-275.6561988|2298.140152|19.05051961|0.0|0.0|0.0|1.0|3.0|0.0|0.17|-6.87|1.28|2.15|123.75|0.84|1.0|0.0|142.02|0.0|-3.85|34.0|6.0|-8.03|474.54|0.0|1.18|-3.72|0.0001889999999999|0.0897|1.64|6.45e-05|-0.0548899999999999|6.24|-1876.203168|754.15|0.4832|615.71|0.40141|0.68591|-1875.897072|6.7458|-0.21149|-1875.963244|8.9297|7.8239|7.8239
12n_a36|-3.404662145|1|0|3.400581499|0.0|0|2|2|0.299253841|0.039596635|-0.0099988159999999|5.351858133|-0.350034917|0.0438779959999999|0.0|-0.619926573|-0.006862238|-0.000273044|0.048110172|-0.15024383|-0.261631709|-0.5181211520000001|1|0.8183043390000001|0.81793955|0.162338703|-0.000421339|0.869718963|0|-0.115872034|0.239018516|0.0211044289999999|-60.42525197|-78.42650015|14.28426215|67.52548352|-0.039955874|9.668119648|0.741751453|92.79755725|-27.04362074|74.70951411|0.454498749|3482.18259|487.397992|-1568.530003|3465.537153|6.863551112000001|7657.057548000001|174.79221719999998|-1061.639417|-327.25274110000004|2114.630173|14.3710571|0.0|0.0|0.0|1.0|3.0|0.0|0.17|-6.87|1.28|2.15|123.75|0.84|1.0|0.0|142.02|0.0|-3.85|34.0|6.0|-8.03|474.54|0.0|1.18|-3.72|0.0001889999999999|0.0897|1.64|6.45e-05|-0.05056|6.24|-1876.201464|714.14|0.3921|566.87|0.32172|0.7046600000000001|-1875.89723|10.8395|-0.19984|-1875.961945|14.3562|7.8239|7.8239
47i_a18|0.0|0|0|0.0|0.0|0|1|1|1.251177255|0.053794607|-0.006882626|4.844187086|-0.066917145|0.037484277|0.0|-0.440488042|-0.000919158|-0.040514277|-0.057689282|-0.106018078|-0.162274487|-0.499939719|0|0.742536498|0.744472118|-0.064085904|-0.068524374|0.7842882870000001|0|-0.089609068|0.279553995|0.009745543|-54.34379065|-62.41153158|6.787641686000001|72.81110823|-0.035256027|4.727502734|0.8608685909999999|68.954317|-24.55535669|61.13143233|0.487446923|2795.907966|559.3312455|-1497.876758|1333.332089|9.573882864|6353.6617320000005|96.90318745|-1043.251367|-502.6804099|1739.959818|6.542785417999999|1.0|1.0|0.0|1.0|3.0|0.0|0.22|-8.98|3.28|2.8|85.29|2.74|3.0|1.0|134.83|0.0|-5.18|33.0|3.0|-6.36|440.54|1.0|2.5|-4.78|1.67e-05|0.00735|3.7|4.6e-07|-0.05062|7.37|-1416.260696|744.95|0.5085|664.78|0.69175|0.69175|-1415.875678|2.7749|-0.18299|-1415.944522|3.5235|7.7212|7.7212
41_a18|0.0|0|0|0.0|0.0|0|2|2|1.251176562|0.115127295|-0.007587553|4.844187086|-0.059936864|0.038034188|0.0|-0.500778516|-0.0034878|0.0212700929999999|-0.137860739|-0.005930813|-0.0091068809999999|-0.5421253970000001|0|0.759941674|0.733589101|-0.032217299|0.037097204|0.774395455|0|-0.089139464|0.3888308139999999|0.009550224|-69.94639412|-61.10986894|6.547189171|347.42621339999994|-0.037381065|4.488448275|0.903239484|65.83786886|-25.62671923|76.49358329|0.487248278|2899.29167|503.8398786|-1588.856592|1491.296991|8.787657952|6605.095612|66.33450764|-1089.246155|-552.8844577000001|1759.064589|4.727999916|1.0|1.0|0.0|1.0|3.0|0.0|0.25|-8.38|3.26|2.7|99.28|2.94|2.0|1.0|141.34|0.0|-5.56|34.0|3.0|-6.38|452.55|1.0|2.53|-5.02|9.49e-06|0.0042899999999999|3.78|1.89e-06|-0.04956|7.34|-1454.374793|736.59|482.0|576.83|0.69308|0.69308|-1453.980175|2.0934|-0.1814599999999999|-1454.045308|2721.0|6433.0|6433.0
27_a47|0.0|0|1|0.0|0.0|1|1|1|1.216250059|-0.160399235|-0.003631596|4.727387819|0.006768957|0.0304347829999999|1.807806182|-0.207000956|0.001861676|0.013336016|-0.137440913|-0.077485193|-0.157688306|-0.280944221|2|0.6636125860000001|0.804224077|0.0436226579999999|0.023325573|0.8517043879999999|1|-0.079484997|0.337815064|0.016506051|-40.35526807|-50.87821306|10.56549582|20.73428323|-0.028494622|6.762956126000001|0.700732763|63.02085767|-18.2393594|50.9207639|0.475450742|2804.020752|541.8239522999999|-966.6860481|2181.236691|7.083168776|6433.288104|191.5604557|-618.7741154|-256.9774086|1379.535965|12.14264461|1.0|1.0|0.0|1.0|2.0|3.52|0.26|-8.82|4.18|5.07|67.66|3.11|2.0|0.0|125.17|0.0|-4.81|31.0|5.0|-6.34|436.91|1.0|3.91|-5.05|8.89e-06|0.0038799999999999|3.7|6.55e-07|-0.05814|2.97|-1778.1049670000002|673.27|0.4007|517.82|0.40976|0.69381|-1777.830739|4.0365|-0.21594|-1777.891054|5.2214|5.6|5.6
