molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|NaasN|SRW09|nAHRing|BCUTs-1|SaasN|MATS2c|AATSC1are|MATS8i|BCUTi-1|AATSC8d|n5aHRing|AATSC1pe|AATSC7i|AATSC1i|MATS1c|n6aHRing|GATS1are|MATS8s|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|PNSA5|RPSA|TPSA_x|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|WNSA3|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|PNSA2|MOMI-Z|WNSA4|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|WNSA2|DPSA4|DPSA1|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|CYP3A4 inhibitor|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|TPSA_y|Molar refractivity|Veber filter|Num. of Rotatable bonds|Log S (Ali)|Log Kp (cm/s)|Molecular Mass|Egan filter|BBB|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Lowest Unoccupied Molecular Orbital Energy|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Area (grid)|Oscillator Force (max. Transition)|Approximated area|Contribution (HOMO-LUMO transition)|Zero Point Energy|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Gibbs Free Energy|Dipole (water)|pIC50
19_a4|0|0|0|0.0|1|7.535296702|1|0.29641517|1.943606348|-0.121320311|0.006243904|-0.211341677|10.30966825|-0.136621315|1|0.009687676|-0.086166959|-0.042058265|-0.245630631|1|0.55269662|0.152550043|0.834377354|0.514505012|0|0.820765063|-0.070677568|-41.82665583|0.1792349369999999|98.66465411|-0.028945757|-23.02459887|3.946149569|13.25878373|0.764880253|-1.215721775|-21.41704046|-15.93396412|46.07495776|0.460486754|2558.336814|-669.2264932|1697.595595|-8.771275759|0.235119747|5.9448291|11.01887515|0.85352261|5232.561157|-368.3935819|20.83197214|-291.6208078|7.912166787999999|1.0|0.0|0.0|1.0|0.0|3.46|0.16|17.0|-6.09|4.32|73.23|98.19|0.0|3.0|-3.81|-6.58|351.42|0.0|1.0|2.92|-3.97|0.000156|0.0547|0.0|-0.05294|6.67|4.1858|-1446.939719|583.39|0.3806|500.34|0.67535|-1446.760398|5.8295|-0.22298|0.02985188|-1446.813896|7.1079|4.71
2_a27|0|0|0|0.0|2|6.605297921|0|1.402655014|3.250529415|0.09890645|0.009338889|0.11675125|10.93783218|0.017751479|1|0.00988756|-0.337316432|-0.361571905|-0.475677812|2|0.639024713|0.137868605|0.8585302370000001|0.60904903|1|0.8468699609999999|-0.058444848|-41.03489597|0.153130039|77.08713259|-0.029261411|-20.65736087|5.020172886|53.58106492|0.6684621829999999|-1.141195033|-14.81116546|-14.73047548|39.39404027|0.4424192289999999|2210.487938|-574.4885436000001|1270.627585|-7.415462877|0.331537817|5.312170441|9.527176544|0.7934621359999999|4774.521748|-289.2030522|22.03636323|-169.6109632|11.39718489|0.0|0.0|0.0|1.0|0.0|2.9|0.11|21.0|-5.84|2.49|65.6|92.58|0.0|2.0|-3.19|-6.69|317.34|0.0|1.0|2.52|-3.7|0.000644|204.0|0.0|-0.04933|4.32|4.1624|-1043.821085|538.57|0.3217|420.7|0.55857|-1043.665151|4.7049|-0.21702|0.02268519|-1043.715364|6.8854|7.8861
7h_a8|1|0|0|2.99743835|1|7.05012252|0|1.391840221|1.2793830309999998|-0.118981425|0.00112124|-0.0873792009999999|10.94341365|0.0260356679999999|1|0.00084936|-0.043606497|0.141285105|-0.382578949|0|0.515235986|0.095758228|0.7677336090000001|0.507325475|0|0.771011027|-0.093181899|-53.88211443|0.228988973|131.9948047|-0.041038456|-31.05895923|3.86998135|47.81104825|0.892830345|-1.6825766830000002|-30.96107949|-23.65556243|60.42608164|0.4346108389999999|2534.324886|-969.8780597|1919.19991|-13.63564064|0.107169655|7.589672923999999|13.42380338|0.768693264|5657.402114|-559.0612661|26.49502512|-452.8739011|5.061650885|1.0|0.0|0.0|0.0|1.0|3.12|0.0|23.0|-8.46|5.49|61.58|101.89|0.0|3.0|-5.68|-5.27|373.35|0.0|0.0|4.63|-5.5|2.09e-06|0.00078|0.0|-0.06799|6.81|3.9282|-1285.182226|593.53|0.3885|500.94|0.6963199999999999|-1285.017252|7.0847|-0.22875|0.03092828|-1285.0707960000002|9.1188|4.9788
13_a47|1|1|1|2.920663104|0|6.605297921|0|1.417757826|0.0|-0.174238791|-0.00105415|0.003874205|10.9452934|0.038682232|1|-0.000211465|-0.108780879|-0.0233277889999999|-0.316563793|2|0.6427334020000001|0.030290722|0.8582665429999999|0.626280497|1|0.781675563|-0.081148294|-45.39284663|0.2183244369999999|112.453046|-0.032468557|-23.38063458|4.705524762|0.0|0.688261242|-1.23380515|-21.52866736|-16.72368034|50.9329486|0.472007922|2190.316257|-635.4998528|669.2729199|-8.613918003|0.311738758|7.038683428|13.33103985|0.8939678120000001|4542.479565|-327.3288841|24.29844849|-193.936606|11.99338291|1.0|1.0|1.0|1.0|2.0|2.9|0.06|21.0|-7.9|4.63|66.49|91.59|0.0|3.0|-4.24|-6.0|319.34|0.0|1.0|3.19|-4.27|5.79e-05|0.0185|0.0|-0.05465|2.7|4.0302|-1067.820961|542.62|0.3382|404.73|0.67466|-1067.665127|3.5455|-0.22065|0.03639189|-1067.71601|4.8308|7.8
20b_a10|0|0|0|0.0|1|7.535296702|1|1.343837209|2.103422978|0.048567614|0.001965496|-0.042013549|10.92966143|-0.013623188|1|0.002637529|-0.049452599|0.031942481|-0.450145946|2|0.725009545|0.052265135|0.817426568|0.6980623109999999|1|0.75259177|-0.094975935|-56.53849503|0.24740823|158.09355980000004|-0.033783202|-36.12803002|5.323735696|91.02309592|0.7616213270000001|-1.85807612|-38.78052212|-21.58742537|69.02087825|0.454087415|3085.433676|-1187.308396|2257.777328|-13.79433873|0.238378673|7.554743755|13.838742600000002|0.8317951020000001|7173.225184999999|-758.6886304|28.34404003|-334.3514234|10.92981783|1.0|1.0|1.0|1.0|1.0|3.54|0.11|27.0|-8.93|5.0|95.92|129.73|0.0|5.0|-5.22|-6.53|447.49|0.0|0.0|3.66|-5.09|6.05e-06|0.00271|0.0|-0.0578399999999999|4.88|3.9013|-1465.62724|687.84|0.2782|482.93|669.0|-1465.333983|5725.0|-0.2217199999999999|0.03930765|-1465.395231|7.7954|5.9586
11_a4|0|0|0|0.0|1|7.535296702|1|0.626711769|2.159635561|-0.20567828|0.011277653|-0.073554945|10.33765061|-0.0043410079999999|1|0.010782511|-0.030003079|-0.046906237|-0.145254541|2|0.6575743310000001|-0.163623353|0.875868891|0.647727179|1|0.930113409|-0.054262142|-37.74083422|0.069886591|40.38918044|-0.023620625|-21.81135655|3.118219598|59.55648883|0.7560913159999999|-1.110169356|-18.12338426|-13.65094004|36.75497433|0.480360734|2452.527871|-641.5941818|1640.559148|-7.889214068999999|0.243908684|6.850305797000001|13.18281017|0.924411925|5425.1341090000005|-370.7930613|18.0546182|-296.0029432|6.89909579|1.0|1.0|1.0|1.0|0.0|3.31|0.23|21.0|-8.05|5.22|68.9|111.64|0.0|4.0|-5.14|-5.74|372.49|0.0|0.0|4.16|-4.97|7.27e-06|0.00271|0.0|-0.05582|3.2|3.78|-1467.463842|630.04|151.0|479.99|0.65942|-1467.20045|4187.0|-0.2146699999999999|0.02336674|-1467.255521|5.3012|6.9586
8d_a8|1|0|0|3.190160226|1|7.05012252|0|1.395657339|1.41693287|-0.12349902|-0.00267541|-0.077977198|10.94649761|-0.117111249|1|-0.001038264|0.111668404|0.025642021|-0.4385133129999999|1|0.76211539|0.0780635059999999|0.804372443|0.734212688|0|0.6932924890000001|-0.1072746469999999|-67.26951954|0.306707511|200.0182229|-0.03820405|-43.86958028|11.92454747|92.49576602|0.675359878|-2.063018716|-45.62337399|-24.91463687|88.24385833|0.483207744|2863.968296|-1345.390391|2093.380666|-16.2479927|0.324640122|7.507839835|14.52777156|0.935013517|6596.888351|-877.3916055999999|36.89090464|-228.7206541|19.02113117|0.0|0.0|1.0|1.0|2.0|3.61|0.12|23.0|-7.62|3.32|112.23|121.1|0.0|6.0|-4.91|-6.87|430.46|0.0|0.0|3.0|-4.47|1.24e-05|0.00533|0.0|-0.0600299999999999|6.22|3.2963|-1447.595474|690.78|0.3|572.21|0.70165|-1447.2928029999998|6.0111|-0.19757|0.03604461|-1447.354662|7.5674|4.7303
19_a31|1|0|0|3.2411335510000003|0|7.401841579|0|0.61013725|0.0|0.062492295|-0.005956522|-0.040386271|10.31169935|-0.081641954|2|-0.0038998559999999|-0.095997335|-0.1751017789999999|-0.615878515|0|0.656654981|0.019858798|0.902130276|0.6427749970000001|0|0.7312647940000001|-0.0909201569999999|-66.3863707|0.268735206|157.414423|-0.036060715|-38.88650245|5.035230173|67.42915967|0.776211804|-1.586671445|-31.1960848|-21.12293613|61.85348014|0.446100738|2265.6917350000003|-929.4091898|1992.2502|-12.37297805|0.223788196|7.0760696020000005|12.77501178|0.805382437|4917.329034|-544.4110343|27.21285095|-323.5878356|8.931875058|1.0|1.0|1.0|1.0|2.0|3.44|0.28|16.0|-7.39|4.33|98.91|97.25|0.0|7.0|-4.67|-6.41|358.43|0.0|0.0|3.47|-3.92|2.14e-05|0.0076799999999999|0.0|-0.04308|5.24|3.9477|-1489.532192|625.93|0.3205|537.66|0.7005600000000001|-1489.323855|1.7076|-0.20675|0.03702801|-1489.382077|2.4209|5.7447
11b_a50|0|1|1|0.0|2|7.927685046000001|1|1.3979498330000002|4.071188272|-0.154649459|0.011959339|-0.218953127|10.94500697|-0.133073229|2|0.012037198|-0.013155246|-0.277408878|-0.266743077|1|0.701976536|-0.146696566|0.862408925|0.667956827|1|0.931316325|-0.0445367309999999|-36.43643854|0.068683675|35.832562100000004|-0.02494328|-19.0090431|5.295379767|86.04123302|0.642051995|-1.047617742|-12.12179711|-13.01301376|33.38515735|0.42907551|2286.724895|-546.5465781|1650.235214|-6.788943965|0.357948005|5.697537591000001|9.979494111|0.751545111|4884.730303|-285.1356465|20.26785036|-148.2182458|11.28530137|0.0|0.0|1.0|1.0|0.0|3.44|0.15|20.0|-5.87|3.73|48.53|99.65|0.0|2.0|-3.58|-6.24|327.38|0.0|1.0|2.96|-4.16|0.000263|0.0862|0.0|-0.02817|3.05|3.9863|-1045.98235|560.06|195.0|431.63|0.64477|-1045.798634|2.7805|-0.19501|0.02113855|-1045.849774|3.7922|5.7696
4_a38 (LY-2157299)|0|0|0|0.0|1|7.535296702|1|1.343847059|2.0959524330000003|0.050460026|0.002865697|-0.159241692|10.9277672|-0.020954339|1|0.003107816|-0.083399128|0.0481706809999999|-0.463575124|2|0.702976795|-0.041794304|0.868207983|0.6848692759999999|1|0.754313773|-0.092570349|-51.11565158|0.2456862269999999|140.40206619999998|-0.03235283|-29.21101111|4.060137052|71.22674185|0.7861170609999999|-1.520583011|-30.23133173|-18.48863993|60.00582329|0.487041509|2501.945802|-868.9660769|1686.693134|-10.56568487|0.213882939|6.54753874|12.76426621|0.949475478|5566.495502000001|-496.5871888|23.51893991|-327.0140711|7.880803302999999|0.0|1.0|1.0|1.0|1.0|3.27|0.18|21.0|-7.13|3.51|86.69|108.18|0.0|3.0|-3.85|-6.86|369.42|0.0|0.0|2.81|-3.99|0.0001409999999999|52.0|0.0|-0.06|3.95|3.78|-1198.683473|617.61|0.2|449.44|0.68|-1198.442536|5.9043|-0.22|0.03652312|-1198.49738|7.6529|7.1586
