molecula|n9FaRing|SssssC|SRW09|nAHRing|nARing|BCUTs-1|SaasN|AATSC1c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|BCUTi-1|n5aHRing|AATSC1pe|AATSC7i|MATS1i|MATS1c|n6aHRing|GATS1are|BIC2|MATS8s|MATS8d|SIC2|GATS1pe|nFaHRing|PBF|PNSA3|PPSA3|RNCS|RPSA|FNSA4|WNSA5|WPSA3|RPCS|FNSA1|FNSA2|DPSA5|GRAVp|TASA|PNSA2|WNSA4|FPSA1|GeomDiameter|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|Mor01p|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|CYP2C9 inhibitor|P-gp substrate|CYP3A4 inhibitor|Synthetic Accessibility|Log Po/w iLOGP|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Egan filter|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Log Po/w XLOGP3|Lipinski|Lowest Unoccupied Molecular Orbital Energy|log P|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Zero Point Energy|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|Gibbs Free Energy|IC50|pIC50|pIC50
15a_a22|0|0.0|6.842683282|0|0|1.4229176680000002|1.646649187|-0.0050042229999999|-0.052476637|0.038167849|0.021482585|-0.280236463|0.005288335|10.9464374|1|0.005757758|0.036467904|-0.097476465|-0.360663314|2|0.6819423609999999|0.7392451729999999|-0.09744639|-0.027029438|0.794858486|0.655865336|1|0.410151945|-41.92018177|14.43653926|96.58317516|0.13335968|-0.031425179|-37.6479704|9.799599501|65.53409434|0.702735071|-1.634109304|70.12529157|2884.815511|588.2800507999999|-1109.242072|-14.47998862|0.297264929|14.6895113|6322.278103000001|201.7850124|-752.9594081|30.3550786|0.0216014629999999|1578.4640869999998|684.5377542|14.66318798|1.0|1.0|1.0|1.0|1.0|3.42|2.86|-9.21|3.87|4.31|85.59|1.73|1.0|0.0|124.05|0.0|1.0|6.0|-4.65|32.0|5.0|0.0|3.19|2.25e-05|0.00945|2.1e-05|3.18|0.0|-0.0600399999999999|4.98|-1368.321775|696.57|1189.31|312.0|245.14|541.27|0.41078|-1368.0755869999998|-0.15281|5.2588|0.03153544|-1368.1368730000002|143.0|6.8447|6.8447
9_a3|0|0.0|6.823286122000001|0|0|0.605017128|0.0|-0.007847313|-0.100592457|0.034166667|-0.126542538|-0.298197887|-0.004918099|10.31162238|1|-0.003863265|-0.216450234|0.083014843|-0.614170287|1|0.923357627|0.6729843740000001|-0.260349706|0.042154567|0.7327715159999999|0.865283439|0|0.506753484|-44.74600478|3.469130065|223.4501605|0.15350225|-0.038196575|-18.47392835|1.6312253680000002|72.50764604|0.886859678|-1.336880133|43.50933802|2017.0704920000005|398.0331029|-628.6166118|-8.445224386|0.1131403219999999|8.532203772|4430.929894|53.19989715|-295.5828535|20.25176593|0.008976383|708.8118076000001|349.6957191|4.220799781|1.0|1.0|1.0|1.0|1.0|3.1|2.44|-7.26|4.9|4.62|80.04|2.42|1.0|0.0|92.69|0.0|1.0|2.0|-5.53|22.0|2.0|0.0|3.7|2.96e-06|0.000899|1.25e-05|4.14|0.0|-0.03999|3.28|-1256.0634710000002|512.44|857.36|0.2069|213.09|350.27|0.3639699999999999|-1255.9558029999998|-0.15834|2.0863|0.0242342|-1256.002529|10965.0|4.96|4.96
27c_a34|0|0.0|7.412764017000001|1|1|1.4335249819999998|1.996958431|-0.014036512|-0.1450543259999999|0.041728395|-0.08157574|-0.80008116|-0.008017781|10.95447877|1|-0.004694534|-0.132026575|-0.128393271|-0.543350914|1|0.850511415|0.783333463|-0.0360159139999999|-0.0239323839999999|0.8353837409999999|0.804740647|0|0.32643486|-76.84420762|20.51361454|176.7076265|0.368934647|-0.042782312|-57.00328784|13.79934071|119.8660257|0.7381974290000001|-2.26746252|100.1948155|2921.328444|424.51250080000005|-1525.30349|-19.35960719|0.261802571|15.31184469|6308.331369|176.1124482|-1026.059181|38.98592708|0.022975949|2066.254135|673.8038326000001|15.45573273|1.0|1.0|1.0|1.0|1.0|3.55|3.11|-7.67|3.11|3.34|104.29|1.71|1.0|0.0|119.71|0.0|1.0|6.0|-4.75|32.0|5.0|0.0|2.83|1.7800000000000002e-05|0.00759|3.52e-05|2.9|0.0|-0.03792|5.23|-1426.482676|709.72|1203.69|0.2385|289.89|558.04|0.68683|-1426.246896|-0.1589|7.6204|0.03913684|-1426.31053|0.8|6.0969|6.0969
36_a18|0|0.0|7.03438793|2|2|1.25117638|0.0|-0.006407141|-0.020339784|0.036625514|-0.05224259|-0.442092758|-0.000451777|10.94702093|0|0.000825855|-0.079553246|-0.079721028|-0.493920601|0|0.7343989059999999|0.741135729|-0.010091893|0.0059061|0.780206307|0.721836103|0|0.3847791889999999|-55.38202488|6.722004572|110.8288932|0.195706133|-0.031922305|-40.46339026|4.786442152|83.34177364|0.812056067|-2.074949798|65.59412783|2979.013751|572.70209|-1477.479979|-16.1853561|0.187943933|18.21710397|6799.65027|133.8265619|-1052.048147|27.99124609|0.0123136069999999|1819.430996|975.4099618|8.767974776|1.0|1.0|0.0|1.0|1.0|4.19|0.0|-9.16|3.73|2.96|85.29|3.13|2.0|1.0|146.24|0.0|1.0|7.0|-5.68|35.0|3.0|0.0|2.8|2.09e-06|0.000975|5.19e-06|4.18|0.0|-0.04991|7.75|-1493.661092|769.73|1350.57|0.4674|388.57|636.33|0.69372|-1493.266344|-0.13133|1.9944|0.02564498|-1493.333297|32.0|7.4949|7.4949
19k_a38|0|0.0|7.412764017000001|2|2|1.297042875|0.0|-0.011877064|-0.17467835|0.0445691609999999|0.098947776|-0.6888696990000001|-0.011156837|10.95446448|1|-0.00835812|0.208892195|-0.060668296|-0.51857087|1|0.7581164340000001|0.853092207|0.04833864|-0.029357143|0.908591797|0.730686013|0|0.389096157|-71.54314527|14.76615358|157.4834779|0.341299943|-0.044662847|-51.10918191|9.369654226|116.0039747|0.75964689|-2.411793744|94.38036132|3055.355167|417.968819|-1530.369661|-17.9828603|0.24035311|12.89431427|7091.215492|152.51267140000002|-971.0744563|37.3070426|0.021802691|2014.5803|686.8472757999999|13.8345897|0.0|0.0|0.0|1.0|0.0|4.89|2.2|-6.41|2.34|1.65|124.32|1.65|1.0|0.0|133.79|0.0|1.0|6.0|-3.87|33.0|5.0|0.0|1.9|0.000134|0.0594|0.0002399999999999|1.65|0.0|-0.05534|4.13|-1500.852284|677.64|1172.22|0.2038|239.03|502.43|0.38269|-1500.618667|-0.14568|9.1508|0.04615409|-1500.680373|11.0|7.9666|7.9666
15_a47|1|0.0|6.605297921|0|0|1.304329657|0.0|-0.00516949|-0.072588375|0.042285714|-0.130885389|-0.21194909|-0.0026314909999999|10.9497222|1|-0.002377481|-0.299654464|-0.007670908|-0.332654104|2|0.644280611|0.830688568|-0.131424138|0.081171071|0.897881853|0.614613723|1|0.429825305|-45.1562696|8.917011222000001|61.0548099|0.208246323|-0.033307714|-25.87091101|4.770072524|0.0|0.711630105|-1.265693121|59.79410145|2327.320914|423.5412927|-677.0708068|-9.531388265|0.288369895|13.37174753|5075.773767000001|154.260803|-362.1927541|25.03780079|0.021370407|951.4364299|383.4213189|11.43190096|1.0|1.0|0.0|1.0|1.0|2.89|2.1|-8.49|4.69|5.28|66.49|2.83|2.0|0.0|96.6|0.0|1.0|3.0|-4.89|25.0|4.0|0.0|3.74|1.29e-05|0.00455|1.41e-05|3.8|0.0|-0.0591799999999999|3.33|-1527.376145|552.16|930.51|0.2828|286.26|419.75|0.67203|-1527.265523|-0.16762|2.2271|0.03425526|-1527.316555|16.0|7.8|7.8
14c_a22|0|0.0|6.842683282|0|0|1.42291727|1.596256692|-0.005236206|-0.018518519|0.038137255|-0.026986769|-0.298463715|0.003784292|10.9464374|1|0.004362505|-0.047249795|-0.0917078119999999|-0.364626967|2|0.667111824|0.773044788|-0.096749121|0.010828071|0.8353837409999999|0.639264982|1|0.6160012029999999|-48.57709197|17.68831053|36.22825261|0.133423541|-0.030217952|-41.50359456|12.73426132|78.22334636|0.66168729|-1.60155147|75.5139152|3079.4894480000003|623.8702703|-1152.997336|-15.66173379|0.33831271|16.03849168|6882.45|243.5598613|-830.0718911|32.87756477|0.024813755|1742.5109329999998|731.8178649|17.86404838|0.0|1.0|1.0|1.0|1.0|3.49|2.85|-9.28|3.9|4.18|109.38|1.08|1.0|0.0|128.77|0.0|1.0|6.0|-4.86|34.0|6.0|0.0|2.98|1.39e-05|0.00618|2.4e-05|2.9|0.0|-0.07399|4.79|-1460.571156|715.52|1241.55|0.5079|216.15|575.8|0.3078|-1460.324494|-0.15408|7.3824|0.03150011|-1460.38772|153.0|6.8153|6.8153
12b_a50|1|0.0|7.927685046000001|1|1|1.397986833|4.058595679|-0.002929899|-0.0016330379999999|0.034845679|-0.08032584|-0.125985651|0.01164808|10.94501743|2|0.011790103|-0.139522815|-0.168032508|-0.246831987|1|0.699597776|0.804535572|0.009081884|-0.189976035|0.8718949979999999|0.660148928|1|0.24516882|-22.92589265|10.80329197|8.07905572|0.074083915|-0.0237482779999999|-16.72031641|5.43117764|86.49656508|0.5731907470000001|-0.926182858|47.12729492|2224.116359|465.4891075000001|-465.6232233|-6.002164865|0.4268092529999999|10.05480253|4672.843578|214.5713436|-234.0844297|20.82911679|0.027586169|812.3355548|388.171611|13.86849326|1.0|1.0|0.0|1.0|1.0|3.31|2.45|-5.49|2.59|3.42|48.53|2.02|0.0|0.0|94.69|0.0|2.0|2.0|-3.16|24.0|3.0|0.0|2.59|0.000685|215.0|0.000144|2.5|0.0|-0.02974|2.47|-1006.641541|539.15|909.8|0.2425|263.3|401.64|0.6016199999999999|-1006.501585|-0.16451|4.0567|0.02307802|-1006.550688|4.74|5.3242|5.3242
14_a1|0|0.0|7.423568444|1|1|1.430935835|0.0|-0.015636898|-0.175408303|0.035620155|0.1008839219999999|-0.766207981|-0.011639964|10.94959842|1|-0.008385698|0.164429684|-0.020716495|-0.567791164|1|0.838928085|0.7462411859999999|-0.08530265|-0.083341531|0.805877431|0.795744863|0|0.206941175|-74.96297518|19.5711254|161.1772893|0.406829129|-0.046308519|-42.99041175|11.59015807|104.2594419|0.753357398|-2.083883365|87.02320758|2678.985809|351.2799603|-1234.09038|-16.24082222|0.246642602|14.21658628|5748.712211|146.0634832|-730.8369997000001|36.40268318|0.0243658979999999|1638.120743|513.4628663999999|14.42965582|1.0|1.0|1.0|1.0|1.0|3.25|2.35|-7.69|4.04|3.63|103.12|1.54|1.0|0.0|106.85|0.0|1.0|4.0|-4.52|29.0|5.0|0.0|2.85|3.03e-05|0.0116|5.660000000000001e-05|2.7|0.0|-0.05962|4.57|-1292.55322|621.08|1049.56|0.4442|323.35|464.08|0.6572600000000001|-1292.359534|-0.1336|4.1207|0.03490867|-1292.415211|94.0|7.0269|7.0269
13i_a6|0|0.0|7.412764017000001|1|1|1.430639411|0.0|-0.0149593219999999|-0.154502515|0.042560386|0.035242754|-0.852681372|-0.011017781|10.95129557|1|-0.007703306|0.057038772|-0.045418125|-0.560601136|1|0.8744720490000001|0.7771558909999999|0.145878803|-0.054229558|0.8287956870000001|0.830577798|0|0.221116773|-80.75190740000001|20.90143854|181.1128483|0.375953882|-0.046433945|-58.20996912|14.01186473|116.5456632|0.783597763|-2.460999087|100.2320567|2906.257489|418.3467934|-1649.799665|-20.86772478|0.216402237|14.54375165|6306.951561999999|145.07130039999998|-1105.989413|39.72483975|0.019989461|2105.416507|673.8038326000001|13.40049533|1.0|1.0|1.0|1.0|1.0|3.59|2.7|-8.5|4.16|3.54|115.15|1.18|1.0|0.0|120.17|0.0|1.0|6.0|-5.03|32.0|5.0|0.0|2.91|9.32e-06|0.00398|3.28e-05|2.95|0.0|-0.0481399999999999|4.94|-1426.518007|703.43|1196.21|0.2903|338.12|553.67|0.7004600000000001|-1426.269916|-0.1464|7.8342|0.03191957|-1426.332492|21.0|7.6778|7.6778
