molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|nARing|MATS2c|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1c|GATS1are|MATS8d|GATS1pe|RASA|FNSA5|FPSA3|PNSA3|RNCS|FNSA4|WNSA5|FNSA1|WNSA3|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
12b_a5|0|0|0|0.0|2|-0.297319874|0.023224044|0.0252713179999999|-0.021265946|0.0068803119999999|-0.119503073|10.94620104|0|0|-0.033279992|-0.1708042239999999|0.8417504029999999|-0.033036296|0.8121510009999999|0.827613693|-0.068586754|0.016556707|-41.76622313|138.67264319999998|-0.020455699|-27.27837078|0.530379611|-26.33991037|2602.046823|521.9354031|-735.3231872|-8.135654442|8.398709622|5501.255679|296.16656780000005|24.32296891|0.025810077|-38.31786425|1386.409228|727.8586176|0.0|1.0|1.0|1.0|4.05|0.0|0.33|3.29|0.72|50.28|1.54|1.0|0.0|123.46|0.0|1.0|5.0|30.0|-7.57|1.0|-3.45|0.00503|2.0|0.000359|143.0|0.0|0.0|2.14e-08|-0.10395|4.6156|2.24|1.4454|-1276.928859|-1276.8943800000002|857.76|0.2345|268.62|505.16|0.42949|0.70615|-0.06212|5.7174|-0.16607|0.03447919|8.2868|7.3768|7.3768
18a_a22|0|0|0|0.0|0|-0.197348157|-0.018344659|0.038167849|0.033735832|0.007066388|-0.021976395|10.31286146|1|1|0.059645624|-0.296897301|0.760537197|-0.027029438|0.722009212|0.926535704|-0.076119803|0.01713283|-34.36220678|29.59800426|-0.029276847|-35.04152115|0.710467198|-23.31437056|2898.068989|628.6440468999999|-1032.92859|-13.47750813|7.037677899|6630.646100999999|196.4447473|27.95908297|0.0193879289999999|-285.5992506|1453.872315|730.9420477000001|1.0|1.0|1.0|1.0|3.49|3.17|0.08|5.32|5.11|100.61|2.13|2.0|1.0|131.64|0.0|1.0|6.0|32.0|-6.28|0.0|-5.16|2.59e-06|0.00113|6.98e-06|0.00305|0.0|0.0|3.95e-10|-0.0706799999999999|5.0214|3.69|3.4832|-1691.3151059999998|-1691.2957760000002|355.95|0.3174|246.91|531.16|0.35107|0.68577|-0.1408|3851.0|-0.21148|0.01932946|5.3946|7.8861|7.8861
12q_a36|1|0|0|3.453150038|2|-0.0543475329999999|-0.043678703|0.042804233|0.068040097|0.0005016269999999|-0.0651906459999999|10.9598352|1|1|0.1161527719999999|-0.441747876|0.8941919290000001|-0.074349074|0.8065052890000001|0.82911927|-0.1060430969999999|0.018562763|-49.18227989|82.68142965|-0.038175515|-44.31949385|0.768692389|-31.79544084|2786.514757|536.0103834|-1233.988474|-15.95501778|7.546533709|6040.52496|149.536123|32.10617123|0.017949083|-347.4093916|1605.308562|629.5017194000001|1.0|0.0|1.0|2.0|4.74|0.0|0.14|3.35|2.54|69.2|2.51|1.0|0.0|128.76|0.0|1.0|5.0|30.0|-6.49|1.0|-4.59|3.64e-05|0.0151|2.55e-05|0.0106|0.0|0.0|6.65e-08|-0.05602|5.2375|3.79|3.8653|-1692.544456|-1692.5102989999998|320.77|0.4239|236.72|531.58|0.39919|0.6863199999999999|-0.1566|4.6718|-0.2126199999999999|0.03415678|6.4226|8.2218|8.2218
35_a18|0|0|0|0.0|2|0.068150325|-0.020425504|0.03531746|-0.069149293|-7.44e-05|0.027469086|10.94702087|0|0|-0.104482176|-0.5009599889999999|0.737701788|-0.017913121|0.7277482059999999|0.800765945|-0.084219749|0.008853796|-60.302584200000005|118.7214377|-0.033440195|-45.74482543|0.874573807|-44.44264921|3038.429834|590.1597827|-1675.875389|-18.16338657|9.184536969|6995.248058|92.43836482|28.17969862|0.007954001|-552.1173777|1916.219506|1056.535856|1.0|1.0|1.0|3.0|4.3|0.0|0.3|4.13|3.35|85.29|3.33|3.0|1.0|151.05|0.0|1.0|8.0|36.0|-6.0|0.0|-5.53|8.629999999999999e-07|0.000415|2.96e-06|0.0014199999999999|0.0|0.0|2.81e-10|-0.04879|3.2146|8.09|3.2146|-1533.002975|-1532.976969|385.69|0.4981|385.69|657.07|0.69279|0.69279|-132.0|2.0432|-0.18079|0.02600607|2.7788|7.6198|7.6198
8e_a46|0|0|0|0.0|1|-0.205882192|0.000950213|0.043238095|-0.126773923|0.012911107|-0.184317354|10.96411233|1|1|-0.203086023|-0.132524216|0.669602597|-0.024620704|0.668786636|0.921352352|-0.065982313|0.009576086|-27.16690715|7.389496216|-0.023017086|-17.10778729|0.7492419109999999|-13.83322216|1982.950764|469.146955|-503.9668235|-5.967832774|5.504080656|4239.252176|127.6844779|15.64268965|0.011830243|-253.8248986|672.6356549999999|426.71841|0.0|1.0|1.0|0.0|3.21|2.93|0.32|4.09|3.9|43.6|2.13|0.0|0.0|91.93|0.0|1.0|2.0|23.0|-6.02|1.0|-4.04|0.0002569999999999|0.0782|9.15e-05|0.0279|0.0|0.0|2.16e-07|-0.03175|4.5092|3.0|4.5092|-954.9296396|-954.9056294|274.96|0.2162|274.96|457.96|0.6967|0.6967|-0.18835|3.2194|-0.2201|0.024010215|3.7755|6.3915|6.3915
8f_a12|0|1|1|0.0|1|0.110310585|-0.062406088|0.038347953|-0.013400998|-0.002596875|0.028505422|10.31134658|1|1|-0.023769395|-0.560548116|0.902669729|-0.042014638|0.8409290840000001|0.869823177|-0.098932601|0.013287637|-41.27611074|83.13642146|-0.03822396|-31.9483307|0.8381234340000001|-23.45595611|2541.921472|494.2940092|-955.746511|-12.34367323|7.016225129|5481.952981|91.98952021|25.9168408|0.012030968|-384.290491|1140.340995|524.0516742|1.0|1.0|1.0|1.0|4.09|3.26|0.1|4.99|3.41|78.41|3.1|2.0|0.0|115.66|0.0|1.0|3.0|27.0|-5.47|1.0|-5.24|1.99e-06|0.000735|5.72e-06|0.00211|0.0|0.0|3.79e-09|-0.06179|4.1744|4.19|3.6536|-1481.146454|-1481.115891|339.35|312.0|297.01|441.97|0.59107|0.65098|-0.15061|0.9092|-0.2124|0.03056355|1.4701|6.1898|6.1898
12aj_a36|1|0|0|3.482902101|2|-0.056210607|-0.045035034|0.043848238|0.064171987|0.002951176|-0.103202936|10.95354213|1|1|0.1087087|-0.43462267|0.90414347|-0.072770961|0.856274847|0.8269863129999999|-0.10279655|0.018305468|-46.79363201|82.34300699|-0.0368515929999999|-42.23511741|0.77492734|-29.99399664|2710.647462|530.0854761|-1251.929069|-15.14089115|8.056502837|5763.333098|144.26810480000003|30.48195872|0.016684569|-352.4483722|1615.543812|662.0530478999999|1.0|0.0|1.0|2.0|4.84|0.0|0.17|3.24|2.19|69.2|2.24|1.0|0.0|128.72|0.0|1.0|5.0|30.0|-6.55|1.0|-4.3|6.929999999999999e-05|0.0274|5.05e-05|0.02|0.0|0.0|1.08e-07|-0.05275|5.2301|3.48|3.6017|-1272.27339|-1272.241135|344.24|0.5616|237.06|539.55|0.4112|0.70423|-0.14818|5.8554|-0.20093|0.03225532|7.8393|7.7696|7.7696
3b_a49|0|0|0|0.0|1|-0.003115526|-0.055724324|0.034155556|-0.090939066|0.000607064|-0.010613212|10.92976559|1|1|-0.151131362|-0.405529602|0.7745859279999999|0.006213385|0.749565191|0.749104358|-0.0846496|0.013576151|-54.04959517|325.6896751|-0.0276739079999999|-31.67356498|0.656865946|-33.06194987|2660.339607|458.224537|-880.2577376|-10.35481932|7.236413572000001|5934.158315|209.89391040000004|25.77091035|0.021477952|-191.9087104|1340.087338|641.1445234|1.0|1.0|1.0|2.0|3.37|2.43|0.22|3.16|3.2|98.72|1.25|1.0|0.0|116.94|0.0|1.0|6.0|30.0|-7.42|0.0|-3.59|0.000293|0.1169999999999999|0.000256|102.0|0.0|0.0|2.64e-08|-0.06115|4.6669|3.4|3.8418|-1293.3286859999998|-1293.291817|322.72|0.1978|265.67|480.08|0.5798|0.6632|-0.1587|3.0055|-0.21985|0.0368692|3.1637|7.6021|7.6021
13n_a6|1|0|0|3.425442623|0|0.030890422|-0.135152403|0.04393617|0.058267173|-0.0093684169999999|-0.06507689|10.95053349|1|1|0.100294804|-0.57091314|0.870730542|-0.056293641|0.82642394|0.70890216|-0.109392959|0.017758385|-68.88015714|90.97854097|-0.038490115|-51.52585133|0.748967057|-47.27287681|2952.259627|486.5239262|-1426.464192|-18.12946621|8.872063579|6386.381394|172.28545730000002|35.2699138|0.019904118|-341.7352549|1904.575345|724.3873672999999|1.0|1.0|1.0|3.0|3.55|1.9|0.08|4.19|3.76|122.47|0.81|1.0|0.0|127.2|0.0|1.0|6.0|33.0|-7.23|0.0|-4.28|2.27e-05|0.00987|5.24e-05|0.0228|0.0|0.0|2.1499999999999998e-10|-0.07131|4.8185|4.27|3.3510000000000004|-1423.765005|-1423.714738|369.99|0.9117|257.31|548.09|0.55028|0.64027|-0.13863|7.1946|-0.20994|0.05026727|10.1967|7.1249|7.1249
12s_a30|0|0|0|0.0|2|-0.00019297|-0.095120438|0.04625323|-0.0601024909999999|-0.002544958|-0.035768573|10.31162892|1|1|-0.1597740919999999|-0.446807335|0.609043558|-0.080971844|0.591758164|0.706713791|-0.103647048|0.019324097|-58.75255278|89.91581294|-0.040189672|-43.45862792|0.790481833|-38.04400919|2977.11642|457.6180044|-1275.175837|-16.8513047|8.066744794|6639.7334200000005|135.66918710000002|32.92168852|0.017398791|-376.1910929|1613.162737|616.2856203|1.0|0.0|1.0|1.0|4.63|0.0|0.14|4.67|3.74|81.65|3.58|2.0|0.0|127.19|0.0|1.0|5.0|31.0|-6.06|0.0|-5.17|3.24e-06|0.00141|6.71e-06|0.00291|0.0|0.0|6.900000000000002e-08|-0.0551|5.0438|4.32|3.5348|-1774.236634|-1774.202623|350.75|0.2148|245.81|526.07|0.43338|0.68458|-0.14985|3.0335|-0.20495|0.03401064|3.9579|8129.0|8129.0
18c_a22|0|0|0|0.0|0|-0.191807441|0.013131848|0.038137255|-0.044828537|0.005449965|0.009519672|10.31286086|1|1|-0.081550274|-0.305378181|0.7290394929999999|0.010828071|0.6922232890000001|0.931073539|-0.076388478|0.019843706|-40.094865000000006|30.63947336|-0.028825841|-36.55965924|0.682690024|-27.73804808|3090.601885|644.1264387|-1056.927003|-13.79609783|7.332936064|7101.057047|219.5183688|29.21094233|0.0215181079999999|-252.7737494|1548.179944|779.8043336000001|1.0|1.0|1.0|1.0|3.56|3.3|0.08|5.36|4.98|124.4|1.47|1.0|1.0|136.36|0.0|1.0|6.0|34.0|-6.63|0.0|-5.1|1.6e-06|0.000739|7.98e-06|0.0036799999999999|0.0|0.0|3.4299999999999995e-10|-0.07207|5655.0|3.5|3.7222|-1783.562578|-1783.5397829999995|333.1|0.2996|219.25|583.88|0.4609|0.60449|-0.15158|1.2938|-0.22365|0.02279458|1.0733|7585.0|7585.0
20_a47|0|1|1|0.0|0|0.055662511|-0.161476442|0.039520202|0.031814023|-0.009220816|-0.052370531|10.95058273|1|1|0.087325054|-0.5332051720000001|0.61847122|0.113432542|0.59534794|0.6888286020000001|-0.092005493|0.023587109|-45.68149289|43.63174229999999|-0.032859105|-27.33327788|0.595234209|-24.89884887|2630.63609|375.4483088|-752.2184736|-9.761884958|7.022502229|5896.060936|220.6189341|30.08893541|0.034758191|-103.815441|1263.735287|428.5826478|0.0|1.0|1.0|2.0|3.19|2.96|0.05|2.56|4.54|84.73|2.75|1.0|0.0|99.68|0.0|1.0|5.0|28.0|-6.75|0.0|-4.08|8.72e-05|0.0332|8.32e-05|0.0316|0.0|0.0|4.89e-08|-0.06357|3.9808|4.08|3.9808|-1335.742176|-1335.708279|311.45|0.2807|311.45|426.08|0.68219|0.68219|-0.16377|3.1747|-0.22734|0.03389691|4.3277|8.6|8.6
12ac_a36|1|0|0|3.4419617660000004|2|-0.050997272|-0.073735973|0.042560386|0.03586247|0.000584134|-0.046730704|10.95345846|1|1|0.060445359|-0.433636165|0.8058720979999999|-0.020272679|0.770400825|0.779673368|-0.104391657|0.021508835|-55.68500110000001|118.0445703|-0.036062573|-50.32319912|0.7316461470000001|-38.66245764|2902.588755|541.3322795|-1377.116299|-17.38437788|8.126831024|6378.288017|186.3198219|34.22211444|0.020208014|-321.66684580000003|1882.216294|716.9974499|1.0|0.0|1.0|2.0|4.86|0.0|0.17|3.16|2.09|86.27|1.59|1.0|0.0|133.95|0.0|1.0|6.0|32.0|-7.21|0.0|-3.95|0.000154|0.0653|0.000112|0.0476|0.0|0.0|1.29e-07|-0.0527399999999999|3.8843|4.84|3.8594|-1385.606133|-1385.566143|321.25|0.3302|319.2|554.84|0.56186|0.56357|-0.15675|4.0208|-0.20949|0.03998989|5.4387|7.8861|7.8861
14c_a22|0|0|0|0.0|0|-0.134137693|-0.018518519|0.038137255|-0.026986769|0.003784292|-0.023927419|10.9464374|1|1|-0.047249795|-0.364626967|0.667111824|0.010828071|0.639264982|0.866576459|-0.080077573|0.024569649|-48.57709197|36.22825261|-0.030217952|-41.50359456|0.66168729|-34.9718749|3079.4894480000003|623.8702703|-1152.997336|-15.66173379|8.626337592|6882.45|243.5598613|32.87756477|0.024813755|-232.8055235|1742.5109329999998|731.8178649|0.0|1.0|1.0|1.0|3.49|2.85|0.08|3.9|4.18|109.38|1.08|1.0|0.0|128.77|0.0|1.0|6.0|34.0|-6.96|0.0|-4.62|1.39e-05|0.00618|2.4e-05|0.0107|0.0|0.0|5.269999999999997e-10|-0.07399|5.7361|4.79|3.6741|-1460.602657|-1460.571156|337.45|0.5079|216.15|575.8|0.3078|0.69113|-0.15408|7.3824|-0.22807|0.03150011|9.04|6.8153|6.8153
2_a27|0|0|0|0.0|0|0.09890645|-0.0609613559999999|0.0427777779999999|-0.196529806|0.009338889|0.11675125|10.93783218|1|1|-0.337316432|-0.475677812|0.639024713|0.027777778|0.60904903|0.8468699609999999|-0.081513931|0.019809599|-29.42169804|9.194894069|-0.029261411|-20.65736087|0.6684621829999999|-14.81116546|2210.487938|426.3224749|-574.4885436000001|-7.415462877|5.312170441|4774.521748|166.89932209999998|22.03636323|0.022639983|-169.6109632|859.4181658|373.9912084|0.0|0.0|0.0|0.0|2.9|3.06|0.11|2.43|2.49|65.6|2.42|0.0|0.0|92.58|0.0|2.0|2.0|24.0|-6.69|1.0|-3.7|0.000644|204.0|0.0002009999999999|0.0638|0.0|0.0|1.45e-06|-0.04933|4.1624|4.32|4.1624|-1043.821085|-1043.7984|297.87|0.3217|297.87|420.7|0.55857|0.55857|-0.16769|4.7049|-0.21702|0.02268519|6.8854|7.8861|7.8861
3m_a32|1|1|1|3.575728458|1|0.013867955|-0.017268778|0.03962963|-0.0370712179999999|-0.000514191|-0.084132138|10.31100268|3|3|-0.065422345|-0.49476131|0.6943636479999999|-0.126422018|0.6672533589999999|0.798023273|-0.09390309|0.013428623|-50.60363458|92.61088121|-0.027127559|-33.57626169|0.674468222|-30.25923462|2588.590536|477.1904954|-729.9606772999999|-9.699808932|7.0752395770000005|5724.714257|194.65681730000003|24.05057475|0.018412178|-208.6520032|1082.275864|554.9424306|1.0|0.0|1.0|1.0|3.51|2.93|0.3|7.02|5.35|128.01|1.74|2.0|0.0|110.36|0.0|1.0|3.0|27.0|-6.17|0.0|-4.86|1.14e-06|0.000449|1.39e-05|0.00547|0.0|0.0|4.190000000000001e-08|-0.05731|3.5749|5.1|3.5749|-1863.502681|-1863.46877|346.82|0.2952|346.82|484.34|0.7026600000000001|0.7026600000000001|-0.14835|5082.0|-0.2056599999999999|0.0339106999999999|8.0755|7.6383|7.6383
12d_a40|0|0|0|0.0|0|0.1028826769999999|-0.107711573|0.043185185|0.209157499|-0.000134504|0.087954209|10.31197256|2|2|0.3683138529999999|-0.552689736|0.809398262|-0.254735308|0.6948809659999999|0.840431415|-0.091630294|0.01171131|-50.68561427|207.39648|-0.038873458|-25.71599691|0.844283549|-26.85139526|2270.596857|445.2300015|-679.5935638999999|-10.90981687|7.877041626|5101.479206|82.49291335|24.39197636|0.01245259|-364.7778083|804.9352200000001|350.9435025|1.0|0.0|1.0|1.0|3.23|2.94|0.0|4.59|5.02|84.45|3.76|2.0|1.0|96.16|0.0|1.0|2.0|23.0|-5.13|0.0|-5.58|5.58e-07|0.0002009999999999|2.61e-06|0.000942|0.0|0.0|1.44e-07|-0.07765|4.3959|4.14|2.7962|-2153.197255|-2153.180821|443.4|0.2584|282.05|435.41|0.55983|0.70435|-0.11604|1.2683|-0.19369|0.0164339|1.9961|7.7212|7.7212
12ab_a36|1|0|0|3.458948649|2|-0.064515677|0.000258844|0.039951691|0.035377607|0.000939229|-0.032623802|10.9540584|1|1|0.0618552579999999|-0.4186639029999999|0.86559137|-0.051707317|0.8196353679999999|0.8410557559999999|-0.095025338|0.024102201|-54.63243106|116.6804416|-0.033434841|-45.21303385|0.679025324|-37.68448987|2902.39241|580.1454645|-1245.389318|-15.90828969|7.821826146|6314.697413|221.4026852|33.96451406|0.024384271|-246.9770378|1834.083759|708.5476357999999|1.0|0.0|1.0|2.0|4.86|0.0|0.17|3.14|1.95|92.99|1.59|1.0|0.0|133.27|0.0|1.0|6.0|32.0|-7.21|0.0|-3.91|0.0001199999999999|0.0503|0.000122|0.0515|0.0|0.0|8.95e-08|-0.0523799999999999|3.8845|3.23|3.8845|-1364.509957|-1364.468283|319.17|0.4451|319.17|564.58|0.69294|0.69294|-0.15699|3.6976|-0.2093699999999999|0.04167456|5.3228|7.9586|7.9586
7s_a46|0|0|0|0.0|1|-0.0778653109999999|-0.076841616|0.044509804|-0.210750635|0.0060802|-0.005405515|10.94651358|1|1|-0.327656845|-0.3638523629999999|0.778692012|-0.030371026|0.768056188|0.858788462|-0.083011849|0.008871171|-48.61321955|166.3052939|-0.031623562|-20.9694955|0.8198874559999999|-24.43308641|1982.695462|431.6285339|-667.5503351|-7.988379237|5.565371272|4245.390306|90.5248694|19.38565529|0.01122216|-321.55195330000004|814.1975221|409.9543818|0.0|1.0|1.0|1.0|3.08|2.33|0.26|3.65|3.9|50.94|2.39|0.0|0.0|91.19|0.0|1.0|2.0|23.0|-5.81|1.0|-4.24|8.590000000000001e-05|0.0262|5.76e-05|0.0176|0.0|0.0|8.39e-07|-0.02024|5.2972|3.54|4293.0|-974.8067569|-974.7707066|288.81|0.4164|234.06|446.63|0.44692|0.69976|-0.17923|2.4286|-0.19947|0.036050328|3.6655|5.7022|5.7022
1f_a5|1|0|0|2.824395738|0|-0.139907335|-0.31059482|0.029105691|-0.118028278|-0.0012491689999999|-0.174016111|10.94527671|1|1|-0.389011185|-0.401165734|0.525406088|-0.000969932|0.513260607|0.888073448|-0.083857856|0.008403353|-50.98614411|201.7057715|-0.035639589|-26.08772825|0.757522389|-28.43795894|2482.949545|495.3305784|-795.1314464|-11.0872845|7.117418022000001|5474.331675|135.2439659|26.24118632|0.01983997|-287.2706403|1049.647453|403.396385|1.0|1.0|1.0|1.0|2.9|2.61|0.05|5.48|6.37|54.46|2.73|2.0|0.0|95.49|0.0|1.0|4.0|27.0|-5.73|0.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|0.0|0.0|1.3300000000000002e-09|-0.05346|4.7485|3.58|4.5758|-1288.353339|-1288.3196369999998|270.96|0.6959|261.1|442.04|0.47267|0.42446|-0.18224|3.7852|-0.2357|0.03370206|4.9879|6.6198|6.6198
9h_a40|0|0|0|0.0|0|0.014753178|-0.126968715|0.039444444|0.157606277|0.003782277|0.133376308|10.31197223|2|2|0.270048551|-0.503000695|0.778613709|-0.299768519|0.7528137909999999|0.864310149|-0.095803029|0.012390387|-46.04148264|132.6583116|-0.041058441|-23.98506758|0.863884935|-23.03722449|2073.354193|432.46450360000006|-719.0371868|-10.27931468|6.922257828999999|4322.734135|68.10626265|23.78085181|0.011321157|-364.1454816|832.3298135|336.23227030000004|1.0|1.0|0.0|0.0|3.3|3.55|0.11|4.59|4.44|67.66|3.22|1.0|0.0|93.19|0.0|1.0|3.0|23.0|-5.06|1.0|-5.12|2.23e-06|0.000716|7.6e-06|0.00244|0.0|0.0|3.09e-07|-0.05991|4.2372|3.9|3.3675|-1293.174246|-1293.151333|368.18|0.3851|292.61|410.18|0.64952|0.69809|-0.14047|2.1413|-0.20038|0.02291279|2841.0|5.4001|5.4001
47c_a18|0|0|0|0.0|1|0.02368001|-0.048726885|0.032688172|0.047739847|0.0007979619999999|-0.058748345|10.94702285|0|0|0.071793992|-0.455055055|0.784328127|0.050944273|0.7601847759999999|0.8128616409999999|-0.094000037|0.015864085|-57.54296759|67.68084951|-0.0321917939999999|-60.75445536|0.7489981509999999|-46.26124419|3228.879782|653.4941186000001|-1889.265906|-20.80632033|9.566965871|7527.530240999999|201.7910841|34.55329606|0.016406766|-400.3604527|2522.390613|1167.054827|1.0|1.0|1.0|3.0|4.61|0.0|0.3|2.84|2.87|97.76|2.41|3.0|2.0|154.77|1.0|1.0|12.0|38.0|-6.61|0.0|-5.09|1.84e-06|0.000947|8.12e-06|0.00417|1.0|1.0|6.67e-10|-0.0449|3.1096|7.72|3.1096|-1664.753129|-1664.721977|398.71|0.5869|398.71|790.07|0.6983199999999999|0.6983199999999999|-0.12841|3.3075|-0.17331|0.03115159|3.8573|8.5229|8.5229
37_a18|0|0|0|0.0|2|-0.0013530679999999|-0.018808538|0.036746032|-0.018268775|0.002300582|-0.034593342|10.94702064|0|0|-0.0276034839999999|-0.44541772|0.7100921609999999|-0.020149364|0.699483099|0.831783747|-0.074857954|0.009098426|-50.09028298|12.63119843|-0.0286221589999999|-40.02719655|0.7648766029999999|-36.62790634|3055.795406|608.2316837999999|-1423.213033|-15.30451633|9.460456975|7035.839448000001|171.9311063|27.36337253|0.0142451319999999|-387.3755475|1860.709332|1056.535856|0.0|1.0|1.0|2.0|4.31|0.0|0.3|3.68|3.3|76.5|3.33|2.0|1.0|151.14|0.0|1.0|7.0|36.0|-6.14|1.0|-5.47|2.08e-06|0.000999|3.35e-06|0.00161|0.0|0.0|1.51e-09|-0.04925|3.2127|8.11|3.2127|-1532.997117|-1532.974371|385.91|499.0|385.91|673.45|0.69305|0.69305|-0.13194|2.2872|-0.18119|0.02274574|3.0375|7.4559|7.4559
10_a15|0|0|0|0.0|0|-0.137104477|-0.0435725659999999|0.037209302|-0.0869138469999999|0.001740635|-0.077096984|10.95972828|0|0|-0.132759909|-0.391156537|0.8310685940000001|0.018211609|0.7933685340000001|0.933136945|-0.101494566|0.010485777|-30.73805622|6.497096666|-0.036384844|-34.36276159|0.8301726490000001|-17.88541558|2605.82709|542.9602292000001|-1122.067607|-12.31872585|5.555044294|6204.37804|98.81668286|25.50202895|0.0116026369999999|-384.2321709|1351.607534|673.7288405|1.0|1.0|1.0|1.0|3.58|3.64|0.12|5.32|6.3|56.27|2.87|2.0|0.0|119.95|0.0|1.0|6.0|30.0|-4.97|0.0|-5.83|5.99e-07|0.0002379999999999|1.47e-06|0.000584|0.0|0.0|1.51e-10|-0.03581|4.4682|5.16|3.6448|-1281.088565|-1281.061184|340.17|0.1412|277.48|487.16|0.66799|0.70313|-0.15377|1.6654|-0.18958|0.02738146|3.1460000000000004|8.1549|8.1549
9a_a36|1|0|0|3.4090209280000003|2|-0.109305298|-0.046964839|0.040166667|0.095192109|0.0034852859999999|-0.078488872|10.96066876|1|1|0.160672128|-0.398235589|0.839235677|-0.1177413269999999|0.79302567|0.826559623|-0.10869601|0.0236784079999999|-45.04449811|49.52042402|-0.039929147|-40.61536816|0.7638345870000001|-27.53468726|2682.572663|505.25728260000005|-1195.981615|-14.91993116|7.546661564|5693.562367|144.36259840000002|31.95428497|0.019513779|-322.5522826|1565.759963|578.2841135|1.0|0.0|1.0|1.0|4.69|0.0|0.14|3.04|2.04|66.4|2.02|1.0|0.0|120.94|0.0|1.0|5.0|29.0|-6.74|1.0|-3.99|0.000197|0.0753|0.000102|0.0391|0.0|0.0|5.26e-07|-0.05044|3.8677|3.38|3.8677|-1252.802159|-1252.77514|320.56|0.4811|320.56|495.18|0.68682|0.68682|-0.15925|5.7274|-0.20969|0.02701893|7.4992|7.8861|7.8861
5_a15|0|0|0|0.0|0|-0.222657379|-0.044921287|0.035982906|0.0729170329999999|0.000420839|-0.0156037999999999|10.95880662|0|0|0.1093187759999999|-0.340979744|0.8384601770000001|0.020920163|0.7950674740000001|0.8740541479999999|-0.0989946469999999|0.032616864|-45.57134103|119.95308020000002|-0.0273088679999999|-54.73655332|0.5089899720000001|-33.88634094|2940.77098|649.9369163|-1177.78105|-15.09973885|7.795174584|6656.720346|365.1095806|39.89581513|0.036380071|-13.36968593|2313.9572780000003|779.0599798999999|1.0|1.0|1.0|1.0|3.79|3.68|0.15|4.92|6.01|74.73|2.0|3.0|0.0|127.97|0.0|1.0|8.0|33.0|-5.55|0.0|-5.66|6.86e-07|0.000304|2.18e-06|0.000967|0.0|0.0|2.25e-10|-0.03714|4.3299|4.36|3.6257|-1470.816175|-1470.779775|341.96|291.0|286.35|629.67|0.62664|0.70244|-0.14839|4.3576|-0.18553|0.03640044|6.35|7.8861|7.8861
14t_a23|0|1|1|0.0|0|0.04919958|-0.024472753|0.045277778|0.073534004|0.01269616|-0.041339801|10.31321779|2|2|0.134446672|-0.4515027279999999|0.725800261|-0.152771194|0.6906097959999999|0.920956836|-0.079253435|0.017433037|-36.09926385|36.6149406|-0.033286443|-33.66111722|0.799945841|-23.52629623|2878.4071670000003|600.1979272000001|-1084.657455|-14.13766923|7.55064865|6523.656379|130.3775455|27.11827225|0.014352462|-390.9561553|1355.9136119999998|666.0036144999999|0.0|0.0|1.0|1.0|3.52|3.49|0.09|3.88|4.33|105.02|3.24|2.0|1.0|125.25|0.0|1.0|5.0|31.0|-6.1|0.0|-5.25|1.43e-06|0.000608|5.61e-06|0.0023899999999999|0.0|0.0|1.65e-08|-0.06666|3.9855|3.79|3.2060000000000004|-1669.240512|-1669.21916|386.72|0.2061|311.09|534.86|0.5824199999999999|0.68886|-0.15625|5.8672|-0.22291|0.02135191|8.3062|8.3979|8.3979
