molecula|NaaNH|n9FaHRing|n9FaRing|SaaNH|nARing|MATS2c|AATSC1s|JGI4|MATS7i|AATSC1are|MATS8i|BCUTi-1|n5aRing|n5aHRing|AATSC7i|MATS1c|GATS1are|MATS8d|GATS1pe|RASA|FNSA5|FPSA3|PNSA3|RNCS|FNSA4|WNSA5|FNSA1|WNSA3|GRAVp|TASA|PNSA2|WNSA4|GeomRadius|GRAV|PPSA1|DPSA4|FPSA5|DPSA1|DPSA2|Mor01p|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Hydrogen bond don0rs count (using Lipinski’s definition)|Synthetic Accessibility|Log Po/w iLOGP|Fraction Csp3|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|TPSA_y|Log Po/w MLOGP|Leadlikeness|Brenk|Molar refractivity|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Heavy atom count|Log Kp (cm/s)|BBB|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mol/l)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Contribuition (max. transition)|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|pIC50|pIC50
13d_a5 (GW788388)|1|0|0|2.945204608|1|-0.0959854909999999|-0.009710199|0.027375887|-0.092509033|0.002956745|-0.086484275|10.94530363|1|1|-0.14893897|-0.3706975529999999|0.7333482170000001|0.047169811|0.71006207|0.774103723|-0.0844793|0.014571846|-57.42492153|151.3669372|-0.0291837579999999|-36.95444874|0.669182121|-37.98032007|2834.036315|511.985152|-1061.602956|-12.76608229|8.077599766|6122.792779|218.7999323|28.84397435|0.022041749|-223.7910275|1586.418589|723.0631751|0.0|1.0|1.0|2.0|3.21|2.74|0.2|4.56|4.11|92.79|1.37|1.0|0.0|121.68|0.0|1.0|6.0|32.0|-6.94|0.0|-4.35|4.429999999999999e-05|0.0189|4.5e-05|0.0192|0.0|0.0|1.45e-09|-0.05542|4.6091|3.81|4.1706|-1390.589662|-1390.548362|297.28|0.5251|269.0|532.01|0.42515|0.48848|-0.17299|2.4867|-0.22841|0.04130059|3355.0|7.7447|7.7447
4e_a49|0|0|0|0.0|1|-0.076526919|-0.074495823|0.036555556|-0.080255074|-1.8100000000000003e-05|-0.053787795|10.92777282|1|1|-0.130491035|-0.403194204|0.7541604690000001|0.032396301|0.731643066|0.757062331|-0.087866673|0.017142176|-57.79309816|313.22432680000003|-0.029288891|-33.05708028|0.650328475|-35.44835874|2675.626006|464.3567821|-916.2062675|-11.01902676|7.934910277|5950.361470000001|214.47685|27.6242383|0.023622273|-184.4129453|1408.836153|620.5697596|0.0|1.0|1.0|2.0|3.35|2.89|0.22|3.4|2.83|92.93|1.25|1.0|0.0|114.08|0.0|1.0|6.0|30.0|-7.52|0.0|-3.52|0.000528|211.0|0.000305|122.0|0.0|0.0|4.35e-08|-0.06461|5.7301|3.34|3.7876|-1313.199448|-1313.158118|327.34|0.2273|216.37|504.63|0.4078199999999999|0.68043|-0.1585099999999999|3.9718|-0.2231199999999999|0.04133034|4.8707|7.4685|7.4685
8a_a8|1|0|0|3.150966553|1|-0.021925912|-0.1950388569999999|0.040243056|0.027531877|-0.0075336219999999|0.010118884|10.94671414|1|1|0.044579097|-0.5028388229999999|0.76592324|-0.048064085|0.7318727540000001|0.550829475|-0.118763303|0.034374791|-78.93428863|170.9592896|-0.049054408|-42.60049244|0.76420633|-47.27503672|2802.374154|329.9007832|-1351.456417|-17.59585557|7.533378788999999|6193.891189|141.2206861|38.44444383|0.025786572|-316.4749864|1768.444416|529.053307|0.0|0.0|1.0|2.0|3.37|2.64|0.05|3.13|2.72|112.23|1.9|1.0|0.0|109.21|0.0|1.0|4.0|30.0|-7.04|0.0|-4.14|3.99e-05|16.0|7.28e-05|0.0292|0.0|0.0|1.74e-07|-0.06922|4.6017|6.1|3.1039|-1367.776863|-1367.744724|399.45|0.2035|269.43|476.69|0.4927399999999999|0.7036899999999999|-0.13015|5.4201|-0.19937|0.03213899|6.8427|4.9454|4.9454
28_a20|0|0|0|0.0|0|-0.013841559|-0.114439513|0.0396875|0.091462964|0.002234763|0.0313932529999999|10.94963925|1|1|0.155263557|-0.447096101|0.715067047|-0.06654421|0.690655217|0.7817507370000001|-0.091179288|0.014682607|-57.59898971|318.7453661|-0.035068957|-40.6172876|0.773641727|-38.44343857|2865.917291|521.7658603|-1217.120433|-15.62203369|7.587188177000001|6348.941881000001|151.0788711|30.25452396|0.016673728|-365.2747728|1573.2352460000002|684.5377542|0.0|1.0|1.0|1.0|3.45|2.86|0.08|3.93|4.01|99.58|1.73|1.0|0.0|122.8|0.0|1.0|5.0|32.0|-6.96|0.0|-4.43|3.77e-05|0.0159|3.72e-05|0.0156|0.0|0.0|1.57e-09|-0.06242|4.7905|4.64|3.5798|-1368.363151|-1368.32781|346.35|0.2354|258.81|531.85|0.50352|0.4701899999999999|-0.15572|3.5284|-0.21814|0.03534166|4.7428|6.5935|6.5935
12aa_a36|1|0|0|3.4172704080000003|2|0.033952382|-0.135770278|0.042560386|0.03597264|-0.006653538|0.010538281|10.95446449|1|1|0.0620143779999999|-0.53315493|0.892815402|-0.023185884|0.849217847|0.688945241|-0.117270578|0.023617545|-72.94175494|132.3194611|-0.04126187|-54.83906299|0.731335741|-49.88002793|2928.7759760000004|471.12395210000005|-1523.677823|-19.29522587|8.05947774|6438.603019|183.7216658|38.58180913|0.023386634|-316.3903377|2083.417693|689.2886595|0.0|0.0|1.0|3.0|4.83|0.0|0.13|1.92|0.98|112.29|1.28|1.0|0.0|131.85|0.0|1.0|6.0|32.0|-7.79|0.0|-3.45|0.000304|129.0|0.000359|152.0|0.0|0.0|7.19e-07|-0.05111|3.8899|3.88|3.8899|-1401.662677|-1401.617177|318.73|0.4446|318.73|520.19|0.6931|0.6931|-0.15718|3.5904|-0.20829|0.04550032|4.7433|8.0458|8.0458
14ad_a23|0|1|1|0.0|0|-0.1101542319999999|-0.028065075|0.0444129979999999|0.118047355|0.008996289|-0.05348283|10.31321689|2|2|0.2086248289999999|-0.376350719|0.7763406840000001|-0.050707765|0.7317531540000001|0.887131635|-0.085840335|0.033831691|-42.29008971|52.63180108|-0.029653934|-43.85199724|0.575880959|-30.226481300000003|3209.330728|634.0697778|-1165.7193140000002|-15.14887177|8.661363236|7308.229822|303.1354708|36.80430179|0.033365494|-108.4705382|2024.236598|770.8206617000001|0.0|0.0|1.0|1.0|3.73|3.49|0.12|3.48|4.03|123.48|2.42|2.0|1.0|133.27|0.0|1.0|7.0|34.0|-6.68|0.0|-5.08|1.6e-06|0.000753|8.22e-06|0.0038799999999999|0.0|0.0|2.49e-08|-0.06925|3.3867|2.99|3.3867|-1858.957788|-1858.942973|366.09|0.4106|366.09|618.01|0.6956600000000001|0.6956600000000001|-0.13734|5.2331|-0.20659|0.01481488|6.7584|8.3595|8.3595
9_a4|0|0|0|0.0|1|-0.211556011|0.016639331|0.040449735|-0.019160308|0.010709527|-0.091393763|10.92992723|1|1|-0.030976753|-0.172904817|0.625717993|-0.072130166|0.58669472|0.937102792|-0.069566741|0.009037784|-28.63837014|13.6577411|-0.025885299|-20.60179129|0.792890434|-15.58475436|2359.945586|509.9632679|-605.7219363|-7.665782805|5.744374392999999|5387.230364999999|112.7072422|17.76608225|0.010768243|-318.7769026|763.9415367|489.7528555|1.0|0.0|1.0|0.0|3.18|3.37|0.19|5.14|5.07|43.6|3.15|2.0|0.0|105.09|0.0|1.0|2.0|26.0|-5.56|1.0|-5.15|1.73e-05|0.0062299999999999|7.06e-06|0.00255|0.0|0.0|6.9e-09|-0.05256|4.7284|3.87|4.0137|-1489.554198|-1489.533032|308.91|0.1217|262.21|430.12|0.5182100000000001|0.6464|-0.16948|4.4343|-0.22204|0.02116575|5.4739|7.3188|7.3188
4h_a46|0|0|0|0.0|1|0.128214845|-0.346835467|0.040890805|-0.057256598|-0.0008161889999999|-0.021951549|10.31928028|1|1|-0.0932537609999999|-0.516344924|0.739180305|-0.134568896|0.6947264059999999|0.767244275|-0.083997524|0.010068754|-65.24476749|105.2773797|-0.0305445539999999|-51.70985599|0.805506105|-51.19164773|3472.1185880000003|601.9869510999999|-1581.72562|-18.803584|8.138240742999999|7808.347937|152.6017078|29.75215152|0.011589523|-479.405829|1963642.0|1021.999374|1.0|0.0|1.0|2.0|4.63|2.99|0.3|3.46|6.18|124.17|2.27|2.0|0.0|142.08|0.0|1.0|6.0|36.0|-6.38|0.0|-5.69|2.97e-07|0.000149|2.06e-06|0.00104|0.0|1.0|6.38e-10|-0.0389199999999999|4.2444|8.5|4.18|-1923.926093|-1923.878801|296.62|0.5451|292.11|682.14|0.55428|0.54445|-0.1711599999999999|1.7601|-0.21008|0.04729184|2.9086|6.6402|6.6402
1i_a5|1|0|0|2.843224727|0|-0.145964178|-0.31059482|0.0253888889999999|0.018196138|-0.0012491689999999|-0.174016111|10.94550053|1|1|0.059972925|-0.403861432|0.525406088|-0.00496377|0.513260607|0.8876055620000001|-0.084018635|0.008291428|-50.81756452|201.1526326|-0.03570792|-26.09853285|0.759459597|-28.32266298|2482.831286|494.6981114|-796.0581225|-11.09187646|7.314842247|5432.586961|134.0627959|26.20475553|0.0196689|-289.21443910000005|1048.190221|403.396385|1.0|1.0|1.0|1.0|2.83|2.04|0.05|5.48|6.37|54.46|2.73|2.0|0.0|95.49|0.0|1.0|4.0|27.0|-5.73|0.0|-4.97|1.6100000000000002e-05|0.00589|1.0800000000000002e-05|0.00396|0.0|0.0|1.3300000000000002e-09|-0.05729|4.7243|3.58|4.3799|-1288.356212|-1288.322373|283.08|0.7585|262.44|443.05|0.4571199999999999|0.50107|-0.17945|2.6336|-0.23674|0.03383899|2.8939|7.6198|7.6198
12as_a36|1|0|0|3.447017327|2|-0.051208473|-0.073735973|0.041728395|0.096454203|0.000584134|-0.114290948|10.95347588|1|1|0.162571317|-0.4358775279999999|0.8058720979999999|-0.04244711|0.770400825|0.77043791|-0.109492809|0.019229943|-55.75872553|88.17694537|-0.037824788|-49.71556877|0.768125394|-37.57216725|2904.092809|519.1478419|-1401.82114|-17.17446921|8.768282531|6224.698969|156.2451686|33.18163581|0.017444469|-361.3444194|1824.98997|716.9974499|1.0|0.0|1.0|2.0|4.86|0.0|0.17|3.16|2.09|86.27|1.59|1.0|0.0|133.95|0.0|1.0|6.0|32.0|-7.21|0.0|-3.95|0.000154|0.0653|0.000112|0.0476|0.0|0.0|1.29e-07|-0.05789|4.5202|4.84|3851.0|-1385.601917|-1385.5651710000002|321.96|0.5902|274.29|568.52|0.53815|0.68211|-0.1563|4.8580000000000005|-0.21419|0.03674596|6.8556|7.2291|7.2291
