molecula|SddssS|n9FaHRing|n9FaRing|SssssC|NaasN|SaasN|AATSC1c|SRW07|n6HRing|JGI4|MATS7i|SaaaC|ATSC1c|AATSC1are|MATS8i|n5aRing|n5aHRing|AATSC1pe|MATS1i|AATSC1i|GATS1are|MATS8s|MATS8d|nFaHRing|PBF|PNSA5|PPSA3|FNSA4|WNSA5|RPCS|FNSA1|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|TASA|PNSA2|WNSA4|FPSA1|GeomShapeIndex|GRAV|PPSA1|WNSA2|DPSA4|FPSA5|CYP2C9 inhibitor|P-gp substrate|Log Po/w iLOGP|Fraction Csp3|Num. of Aromatic heavy atoms|TPSA_y|Log Po/w MLOGP|Brenk|Molar refractivity|Class [Log S (SILICOS-IT)]|Log S (Ali)|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|Molecular Mass|Consensus Log P|Log S (ESOL)|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|PAINS|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Absorption Energy (max. Transition) (eV)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Highest Occupied Molecular Orbital Energy|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50
13l_a6|0.0|0|0|0.0|0|0.0|-0.0143011819999999|5.351858133|1|0.0408037829999999|0.090187973|0.0|-0.858070925|-0.009326562|-0.037558466|1|1|-0.006280295|-0.045794891|-0.073210645|0.8694295409999999|-0.058931734|-0.1470289659999999|0|0.210844002|-88.13242567|20.90615311|-0.0451862259999999|-61.3913735|118.3485042|0.793671137|100.8610837|-31.47586631|103.1523329|0.4257335779999999|447.9705372|-1762.648513|-21.92549054|0.206328863|0.7413520309999999|6462.086665999999|143.7247666|-1227.82747|39.65857501|0.018273048|1.0|1.0|2.22|0.16|23.0|115.15|1.39|0.0|124.98|1.0|-5.49|33.0|5.0|-6.59|441.48|3.07|-4.77|3.26e-06|0.00144|0.0|1.29e-09|5.7e-07|-0.04885|3.6675|5.41|3.5499|-1465.865882|-1465.834958|735.52|1249.13|349.26|0.3115|338.07|0.70515|-1465.560303|0.0165|-0.14562|-0.19447|0.03092407|8.9893|385.0|6.4145
18c_a22|0.0|0|0|0.0|1|1.804590026|-0.003749104|4.727387819|2|0.038137255|-0.044828537|1.642882533|-0.213698903|0.005449965|0.009519672|1|1|0.005597023|-0.078828791|-0.143402172|0.7290394929999999|-0.032031791|0.010828071|1|0.5003904610000001|-52.84635017|13.72808419|-0.028825841|-36.55965924|15.22791009|0.682690024|67.73280290000001|-19.94201893|53.82294919|0.4777430589999999|644.1264387|-1056.927003|-13.79609783|0.317309976|0.914766316|7101.057047|219.5183688|-731.1931848999999|29.21094233|0.0215181079999999|1.0|1.0|3.3|0.08|27.0|124.4|1.47|1.0|136.36|1.0|-5.8|34.0|5.0|-6.63|461.54|3.72|-5.1|1.6e-06|0.000739|0.0|3.4299999999999995e-10|1.58e-07|-0.07207|5655.0|3.5|3.7222|-1783.562578|-1783.5397829999995|707.08|1249.84|333.1|0.2996|219.25|0.60449|-1783.277296|0.0817|-0.15158|-0.22365|0.02279458|1.0733|26.0|7585.0
47a_a18|0.0|0|0|0.0|0|0.0|-0.006027559|4.844187086|0|0.033641026|0.043161338|0.0|-0.464122017|-0.005483379|-0.025401815|0|0|-0.000633273|-0.232940071|-0.358939392|0.842412605|-0.008965701|0.089156939|0|0.371382587|-81.42570819|11.58086543|-0.036234741|-66.76209701|110.0917322|0.7936193709999999|93.5899242|-29.70938001|79.51543089|0.483193636|638.5417107999999|-2198.494121|-24.3591435|0.2063806289999999|0.934960691|8405.670404|169.2144153|-1802.576619|37.435301|0.014835962|1.0|1.0|0.0|0.28|18.0|123.06|1.85|1.0|158.24|1.0|-6.74|39.0|5.0|-6.49|547.67|2.02|-5.58|1.8100000000000002e-07|9.9e-05|0.0|5.4e-09|2.95e-06|-0.05191|3.1947|8.82|3.1947|-2098.807018|-2098.773074|874.47|1536.87|388.09|0.6094|388.09|0.69508|2098.280307|0.6094|-131.0|-0.18291|0.0339441|3.0133|1.0|9.0
25_a47|0.0|1|1|0.0|1|1.234859637|-0.010144825|4.727387819|2|0.043695652|-0.055724653|1.087932079|-0.486951604|-0.003963349|-0.035030495|1|1|-0.00269275|-0.108691353|-0.235822787|0.6553889970000001|-0.077710529|0.004104478|1|0.574771479|-53.40631957|12.27779881|-0.031278972|-32.42203672|51.5831002|0.6238742279999999|71.17072517|-18.98891362|56.80080434|0.4760601829999999|477.748546|-854.5011131000001|-11.52783528|0.376125772|0.908616158|6236.813862|228.3393366|-518.7525876|30.43708613|0.029261935|1.0|0.0|3.27|0.1|21.0|84.73|3.08|0.0|109.7|1.0|-4.99|29.0|5.0|-6.3|410.83|3.62|-4.82|1.01e-05|0.00417|0.0|9.79e-09|4.02e-06|-0.06331|4.8002|4.78|3.9878|-1735.414386|-1735.385814|626.55|1062.81|310.91|287.0|258.29|0.68761|-1735.2218059999998|0.0702|-0.16588|-0.22919|0.0285712999999999|5.1625|16.0|7.8
13f_a6|0.0|0|0|0.0|0|0.0|-0.006930367|4.727387819|2|45.0|0.04505613|1.651047524|-0.381170169|-0.003356527|-0.071478789|1|1|-0.001446486|-0.126749697|-0.223618825|0.841211811|-0.028317736|-0.088948538|1|0.176745407|-62.41821579999999|12.46087045|-0.032802223|-41.92004677|0.0|0.720711855|75.61173794|-22.02995852|61.72438096|0.401838426|579.7398537|-1123.527884|-14.79531062|0.279288145|0.6717890999999999|6128.208571|187.5697972|-754.5608419|30.56694343|0.0196449239999999|1.0|1.0|2.21|0.08|27.0|103.17|0.92|0.0|123.82|0.0|-5.11|32.0|5.0|-6.52|417.47|3.19|-4.78|7.74e-06|0.00323|0.0|6.59e-11|2.75e-08|-0.07786|4.8413|3.36|3139.0|-1347.301285|-1347.266914|711.29|1202.78|394.98|901.0|256.1|0.70541|-1347.018087|0.0048|-0.12805|-0.2059099999999999|0.03437105|13.9612|42.0|7.3768
21c _a23|0.0|1|1|0.0|2|3.311482916|-0.009944003|5.4161004020000005|2|0.043130342|0.0645437059999999|0.731360766|-0.576752175|0.003456487|-0.092608459|2|2|0.0035741379999999|-0.0201427689999999|-0.036896213|0.7641222459999999|0.149511954|-0.060079444|1|0.2571258939999999|-70.15570019|9.976937758|-0.040210758|-49.86692499|94.32302529|0.834557275|79.71722579|-28.58195193|69.43902929|0.468609427|561.9588018|-1543.4254039999998|-20.31615463|0.165442725|0.881854988|7227.157398|117.597286|-1097.07235|34.24804117|0.013451712|1.0|1.0|3.11|0.08|26.0|148.11|2.49|1.0|133.35|1.0|-5.63|34.0|5.0|-7.13|468.53|3.0|-4.72|2.35e-06|0.0011|0.0|4.69e-08|2.2e-05|-0.07892|3.6649|4.47|3.6649|-1837.964768|-1837.932192|747.88|1275.12|338.3|0.3329999999999999|338.3|0.5885699999999999|-1837.67081|0.3329999999999999|-0.15089|-0.22981|0.03257532|8.3979|67.0|7.1752
1c_a5|0.0|0|0|0.0|0|0.0|-0.001983746|4.59511985|2|0.0248765429999999|-0.080321049|0.0|-0.085301064|0.008031558|-0.228971551|1|1|0.007357977|0.034752304|0.0578378779999999|0.71274658|0.128385959|-0.109439124|0|0.436308619|-35.99212225|4.27195187|-0.0281385329999999|-18.41507338|0.0|0.753027268|43.86175561|-14.3968489|39.09545876|0.476413155|453.4753671|-575.8739559999999|-7.366029352999999|0.246972732|0.909902834|4387.398857|126.3615674|-294.64117410000006|19.11862892|0.0153811389999999|0.0|1.0|2.09|0.05|23.0|54.46|2.13|0.0|95.45|1.0|-4.25|24.0|3.0|-5.77|312.37|3.43|-4.45|5.5700000000000005e-05|0.0174|0.0|3.87e-09|1.21e-06|-0.03965|4.8783|3.17|4.5088|-990.6223073|-990.5931502|556.84|929.31|274.99|271.0|254.15|0.53838|-990.467026|0.1076|-0.18719|-0.22684|0.029157178|2.6801|3981.0|5.4
26_a47|0.0|1|1|0.0|1|1.06819297|-0.012090143|4.727387819|2|0.045681818|-0.110530752|0.956774672|-0.544056455|-0.0098410169999999|-0.046771537|1|1|-0.008325552|-0.035472095|-0.079370393|0.6850994429999999|-0.11288313|0.0120097289999999|1|0.549740398|-59.08415114|12.13564316|-0.038735145|-34.3326642|60.07342336|0.717639177|73.39007585|-22.50824805|69.15552111|0.474969855|412.8219782|-945.3464183|-13.07911017|0.282360823|0.90465254|5994.406615|164.0744453|-549.3226272|31.36429668|0.024619511|1.0|0.0|2.66|0.05|21.0|98.72|2.59|0.0|104.8|1.0|-4.86|28.0|5.0|-6.51|396.81|3.18|-4.56|1.3699999999999998e-05|0.00545|0.0|5.97e-08|2.37e-05|-0.06279|4.7963|4.37|3992.0|-1696.096597|-1696.075481|592.84|1006.59|310.58|0.3197|258.5|0.68707|-1695.9387359999998|77.0|-0.16642|-0.22921|0.02111593|4.8242|13.0|7.9
12am_a36|0.0|0|0|-4.723487246|0|0.0|-0.015884751|5.351858133|2|0.044036281|0.122824831|0.0|-0.921315581|-0.011700732|-0.050505733|1|1|-0.007897954|-0.1187503719999999|-0.3344729369999999|0.647732719|-0.0147665219999999|-0.05754717|0|0.305015372|-81.59051640000001|12.15249658|-0.045928425|-56.3667958|1.038361162|0.788334835|95.53118838|-31.72964526|75.34643812|0.484558903|563.0333297999999|-1713.4008440000002|-21.92042059|0.211665165|0.940085891|7238.033439|146.228847|-1183.702712|40.24894481|0.020179019|1.0|1.0|0.0|0.17|17.0|78.43|2.04|0.0|130.43|1.0|-5.2|34.0|8.0|-6.4|465.43|2.65|-5.07|6.26e-06|0.00291|1.0|7.24e-08|3.37e-05|-0.0569799999999999|5.2317|4.86|3.8606|-1645.205296|-1645.169789|714.21|1206.77|321.15|0.4894|236.99|0.6805100000000001|-1644.952145|0.2987|-0.15658|-0.21356|0.03550681|8.0872|0.06|7.2218
12g_a40|0.0|0|0|0.0|1|1.687211672|-0.01011728|5.4161004020000005|0|0.036630824|0.167050952|0.726175674|-0.354104815|-0.001011175|0.075327376|2|2|-0.003205145|0.063401514|0.106286677|0.777835705|0.020185301|-0.326139923|1|0.289122732|-52.24208444|6.670206427999999|-0.0435406|-27.42361099|0.0|0.852031227|59.29860462|-22.85591194|56.61727428|0.465725912|456.7977427|-731.3891821000001|-11.99782981|0.147968773|0.871698484|5211.675486|77.67373972|-383.9305539|26.82520454|0.013442698|1.0|0.0|3.2|0.0|20.0|78.66|3.76|0.0|93.78|1.0|-6.46|23.0|3.0|-4.91|362.23|4.4|-5.79|3.43e-07|0.000124|0.0|2.37e-07|8.57e-05|-0.07424|4.0224|4.84|3.1577|-2173.044757|-2173.0224510000003|540.25|896.63|392.64|0.3539|308.23|0.6988|-2172.9382|0.2682|-0.13191|-0.20615|0.02230594|2.7075|724.0|6.1403
9g_a24|0.0|0|0|0.0|1|1.7647373919999998|-0.00106361|5.283203728999999|2|0.0279797979999999|-0.162313932|0.0|-0.0425444|0.0144065739999999|0.070915465|2|2|0.013119312|-0.0273623029999999|-0.049325609|0.683676657|0.13372961|-0.045107345|0|0.383340003|-32.49188065|9.283063574|-0.021297745|-16.07665151|0.0|0.4819264479999999|49.25777584|-10.53790724|41.36311977|0.427531635|429.0504306|-389.9025677|-5.214049137|0.518073552|0.746821416|4355.725609|256.3375151|-192.9198181|21.8662148|0.033884884|0.0|1.0|1.78|0.06|22.0|72.28|0.64|0.0|87.53|1.0|-2.49|23.0|4.0|-7.17|302.33|1.93|-3.09|0.00323|977.0|0.0|3.720000000000001e-07|0.000113|-0.03585|5.2521|0.75|4.2802|-984.5891383|-984.5565078|524.03|879.99|289.67|0.2444|236.07|0.64993|-984.447764|0.1023|-0.17806|-0.21391|0.032630457|4.4131|68.0|7.1675
13e_a6|0.0|0|0|0.0|0|0.0|-0.006882528|4.727387819|2|0.044021739|0.018376555|1.643912856|-0.378539035|-0.003356527|0.0266218529999999|1|1|-0.001446486|-0.126749697|-0.223618825|0.841211811|0.102257199|-0.067328767|1|0.175643236|-62.36320497|12.28502792|-0.032929004|-41.68507499|0.0|0.722530518|75.42629799|-22.01054293|61.91072885|0.4442079679999999|575.965487|-1122.537689|-14.71237941|0.277469482|0.799234143|6147.8097210000005|185.4673146|-750.3313497|30.46313253|0.019543118|1.0|1.0|2.79|0.08|27.0|103.17|0.92|0.0|123.82|0.0|-5.11|32.0|5.0|-6.52|417.47|3.31|-4.78|7.74e-06|0.00323|0.0|6.59e-11|2.75e-08|-0.07534|5.9885|3.36|3.2475|-1347.297639|-1347.25954|713.3|1202.5|381.78|0.8312|207.04|0.7034199999999999|-1347.014564|0.0104|-0.1327|-0.20804|0.03809808|13.2999|12.0|7.9208
12p_a30|0.0|0|0|0.0|0|0.0|-0.0063403159999999|5.351858133|2|0.040899471|-0.062956958|0.0|-0.3550576729999999|0.005613018|0.000321545|1|1|0.005965451|-0.053644471|-0.09353607|0.8414737059999999|-0.051402518|-0.2210072669999999|0|0.371591982|-60.65858419|9.659715461|-0.0364888379999999|-38.78387161|0.0|0.8199554720000001|68.98315679|-23.33022469|57.20168999|0.469983155|539.2411292|-1213.171684|-14.91687369|0.180044528|0.886732486|6166.812731|115.116829|-775.6774321|28.4530386|0.0130197619999999|1.0|1.0|0.0|0.17|17.0|81.65|3.04|0.0|132.24|1.0|-5.66|30.0|4.0|-5.81|412.51|2.91|-5.15|2.21e-06|0.0009119999999999|0.0|9.75e-08|4.02e-05|-0.05169|5.1922|4.14|3.4955|-1615.094336|-1615.0623480000002|685.08|1167.16|354.69|0.1768|238.79|0.68561|-1614.830085|0.1527|-0.14823|-0.19992|0.03198743|4.6103|17.0|7.7721
9o_a24|0.0|0|0|0.0|0|0.0|-0.007052095|4.59511985|3|0.028472222|-0.087807028|0.0|-0.387865233|0.0012214139999999|-0.097596429|1|1|0.002019902|0.00177843|0.00294424|0.738419215|-0.0062180169999999|-0.000453155|0|0.6253256110000001|-51.14964436|10.7072496|-0.032911684|-29.61546471|44.8382925|0.668046377|66.24061038|-19.05574986|61.99847688|0.4861134689999999|445.9858336|-971.8432428|-11.03321234|0.331953623|0.945954873|6697.297449000001|192.1999837|-562.6938294|28.52459128|0.026064002|1.0|1.0|2.84|0.04|23.0|92.79|1.23|0.0|120.73|1.0|-4.49|32.0|5.0|-6.83|421.45|3.01|-4.4|3.2500000000000004e-05|0.0137|0.0|1.24e-08|5.23e-06|-0.04527|5.8802|4.41|4.2643|-1388.147972|-1388.094657|611.03|1126.94|290.75|0.1409|210.85|0.65292|-1387.887227|0.0288|-0.17826|-0.22353|0.0533144|5.9089|446.0|6.3507
1b_a5|0.0|0|0|0.0|0|0.0|-0.00279809|4.59511985|2|0.0248765429999999|-0.095857885|0.0|-0.111923619|0.003886035|0.001241264|1|1|0.003708988|0.019611905|0.045204303|0.567806811|0.122747292|-0.054153474|0|0.341795323|-38.87394276|5.438378717999999|-0.031306145|-19.56938257|0.769931305|0.7324812509999999|48.55415504|-15.75970652|44.82086533|0.474445758|407.1693177|-583.1091414|-7.933533473|0.267518749|0.90275317|4577.125071|134.6705884|-293.5407385|21.51550842|0.019229427|0.0|1.0|1.81|0.0|23.0|54.46|2.29|0.0|90.44|1.0|-3.97|24.0|4.0|-5.99|316.33|3.38|-4.3|0.000106|0.0336|0.0|4.99e-09|1.58e-06|-0.04135|4789.0|3.1|4.6481|-1050.538976|-1050.506509|536.59|892.61|266.74|0.3101|258.89|0.43728|-1050.413506|87.0|-0.1892|-0.23055|0.03246637|4.3687|59.0|7.2291
