molecula|NaaNH|n9FaHRing|SaaNH|nAHRing|nARing|MATS2c|AATSC1s|n6HRing|SaaaC|AATSC1are|MATS8i|AATSC8d|n5aHRing|AATSC7i|MATS1i|AATSC1i|MATS1c|n6aHRing|MATS8s|GATS1pe|nFaHRing|FNSA3|FNSA5|FPSA3|PNSA3|PNSA5|RPSA|RPCS|FNSA2|WNSA3|DPSA5|PNSA4|DPSA3|GeomPetitjeanIndex|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomDiameter|GeomShapeIndex|PPSA1|WNSA2|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2C9 inhibitor|CYP3A4 inhibitor|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w WLOGP|Log Po/w MLOGP|Leadlikeness|Veber filter|Class [Log S (SILICOS-IT)]|Num. of Rotatable bonds|Log S (Ali)|Egan filter|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|PAINS|Lipinski|Solubility [Log S (SILICOS-IT)] (mg/ml)|Absorption Energy (HOMO-LUMO transition) (eV)|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (HOMO-LUMO transition) (nm)|Oscillator Force (max. Transition)|Wavelength (max. Transition) (nm)|Approximated area|Zero Point Energy|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|Dipole (gas phase)|E solv. Water  (Hartree)|IC50|pIC50|pIC50
19a_a22|0|0|0.0|0|0|-0.000989685|-0.144269652|2|1.545757986|-0.002607064|-0.011513343|0.016501913|1|-0.03516233|-0.035723406|-0.0611158559999999|-0.496053375|2|-0.155892259|0.699744887|1|-0.090145161|-0.09370213|0.024839714|-67.26339083|-69.91748544|0.255645265|106.645364|-1.967744721|-50.18975739|89.23486638|-26.21905704|85.79797858|0.4347718229999999|3167.140147|555.4133255|-1468.267194|2607.322873|0.315293811|15.30120355|0.76919701|235.2620007|-1095.573288|38.29242013|0.025888799|2144.375527|19.31738094|1.0|1.0|1.0|27.0|-8.76|3.41|0.98|1.0|0.0|1.0|7.0|-4.38|0.0|0.0|2.36|4.16e-05|0.0193|7.69e-05|0.0356|0.0|0.0|8e-07|3.5809|-1537.071348|-1537.0241640000002|740.07|1277.14|346.24|0.2218|246.01|567.03|-1536.756515|0.0623|-0.1508|4.5288|0.04718381|48.0|7.3188|7.3188
22_a47|0|1|0.0|0|0|0.048272293|-0.150248628|2|1.016903613|-0.006808306|-0.075111395|0.002716049|1|-0.077468004|-0.1049885469999999|-0.277479519|-0.538310301|2|-0.077787113|0.591185263|1|-0.080744803|-0.089280419|0.022154032|-47.64347429|-52.67991531|0.301350868|54.21581266|-1.42848671|-28.11203407|71.28682035|-18.73063655|60.71546178|0.4614909829999999|2692.510471|412.2379505|-842.8786448999999|1494.441201|0.390313552|12.91589555|0.8569791179999999|230.3045281|-497.3405809|30.72175314|0.031534452|1382.478891|18.60690504|0.0|1.0|1.0|21.0|-7.69|4.85|2.97|1.0|0.0|1.0|5.0|-4.44|0.0|1.0|3.41|3.6e-05|0.0142|4.16e-05|0.0164|0.0|0.0|8.11e-06|4017.0|-1375.05033|-1375.021925|605.12|1027.32|308.65|0.3367|258.55|466.95|-1374.857521|0.0799|-0.16704|4.2485|0.02840507|1.0|9.0|9.0
5a_a40|0|0|0.0|0|1|-0.116583806|0.059258947|0|0.808197279|0.011345707|0.180125135|-0.02394636|2|-0.191663433|0.004130836|0.007301856|-0.363338726|0|-0.442215721|0.5263598389999999|1|-0.078132307|-0.090991462|0.020641204|-34.5789643|-40.27003217|0.146821673|52.43850484|-1.091897544|-15.30358975|46.06507254|-16.10801287|43.71412865|0.4889874279999999|1847.672595|377.5905776|-483.24038600000006|508.8362301|0.177534728|10.7779923|0.956899016|78.57142892|-213.8673835|19.58503709|0.0130940839999999|587.5511127|5.795040371|1.0|1.0|1.0|14.0|-4.05|3.08|1.85|0.0|0.0|2.0|3.0|-4.13|0.0|1.0|2.8|7.49e-05|0.0202|0.000213|0.0574|0.0|0.0|0.0241|3.7921|-1177.598691|-1177.5835470000002|466.79|757.45|326.96|0.4461|326.96|353.51|-1177.51016|0.4461|-0.15066|5.7163|0.01514427|81.0|7.0915|7.0915
12ba_a36|1|0|3.389685532|2|2|-0.090865777|0.026411489|2|0.0|-0.002123045|0.003750685|-0.011949092|1|0.159880159|-0.091676619|-0.168084618|-0.410941182|1|0.041478447|0.796093405|0|-0.083210415|-0.108410153|0.0246090489999999|-56.0578808|-73.03464847|0.150261874|16.1479891|-1.951382748|-37.76553687|89.06670390000001|-25.28122447|72.63670824|0.49229954|3035.390784|572.4586103999999|-1314.6236720000002|2492.5731100000003|0.293104216|14.59456478|0.969665341|197.4608731|-885.6465508|35.76372225|0.023797439|1859.713557|16.03205543|1.0|1.0|0.0|17.0|-6.72|1.63|0.74|1.0|0.0|1.0|5.0|-4.77|0.0|0.0|1.57|1.6800000000000002e-05|0.0072599999999999|5.65e-05|0.0244|0.0|0.0|8.240000000000001e-05|3.0114|-1417.454721|-1417.426327|687.23|1187.56|411.71|0.7436|236.13|547.82|-1417.187763|0.0009|-0.12587|3.1996|0.02839417|21.0|7.6778|7.6778
14x_a23|0|1|0.0|0|0|0.0944818319999999|-0.111315218|2|0.6753138120000001|0.003379755|-0.075184011|-0.0229244|2|0.160327487|-0.073958723|-0.206574435|-0.443633823|2|-0.035031888|0.558482531|1|-0.0708831479999999|-0.084244058|0.022095943|-46.97594633|-55.83053941|0.223171139|87.28077098|-1.6006371069999998|-31.13207597|70.40248829|-22.56979253|61.61945314|0.468120981|3071.48868|514.8229467|-1060.780249|2382.851643|0.277788677|14.62325432|0.880126802|184.0971574|-703.0042792|31.25095356|0.0219879679999999|1468.794817|14.57194888|0.0|1.0|0.0|26.0|-7.93|5.14|3.78|2.0|0.0|1.0|5.0|-5.68|0.0|0.0|4.06|2.09e-06|0.0009369999999999|5.41e-06|0.00242|0.0|0.0|5.23e-06|3.6941|-1828.393372|-1828.371718|675.21|1149.42|335.63|0.3184|305.07|537.48|-1828.168422|0.3057|-0.15259|5.7933|0.02165405|3.0|8.4949|8.4949
12aj_a36|1|0|3.482902101|2|2|-0.056210607|-0.045035034|2|0.0|0.002951176|-0.103202936|-0.042227364|1|0.1087087|-0.104118159|-0.1763783589999999|-0.43462267|1|0.091113865|0.856274847|0|-0.073002742|-0.10279655|0.018305468|-46.79363201|-65.89100364|0.173013687|0.0|-1.953134451|-29.99399664|76.5855549|-23.62130319|58.52715472|0.47532973|2710.647462|530.0854761|-1251.929069|2275.825451|0.22507266|15.35536375|0.905958957|144.26810480000003|-802.4672307|30.48195872|0.016684569|1615.543812|10.69455126|1.0|0.0|0.0|17.0|-6.97|2.19|2.24|1.0|0.0|1.0|5.0|-4.16|0.0|0.0|2.14|6.929999999999999e-05|0.0274|5.05e-05|0.02|0.0|0.0|4.270000000000001e-05|3.6017|-1272.27339|-1272.241135|682.84|1157.64|344.24|0.5616|237.06|539.55|-1271.9998859999998|0.0082|-0.14818|5.8554|0.03225532|17.0|7.7696|7.7696
13j_a6|1|0|3.409065702|1|1|0.0353600779999999|-0.154502515|1|0.0|-0.011017781|-0.0951246069999999|-0.047513534|1|0.121750719|-0.045418125|-0.073507141|-0.562698347|1|-0.063948098|0.830577798|0|-0.120219472|-0.129511589|0.03111288|-80.33128667|-86.54032868|0.377035857|114.6910805|-2.460720196|-53.67779048|99.85109065|-31.02389141|101.1210779|0.433600896|2907.3053210000003|416.2679342|-1644.266245|2634.320708|0.215833159|15.43329684|0.765539515|144.22085800000002|-1098.707398|39.56287079|0.0199201689999999|2096.832152|13.31076198|1.0|1.0|1.0|23.0|-8.5|3.54|1.18|1.0|0.0|1.0|6.0|-5.03|0.0|1.0|2.82|9.32e-06|0.00398|3.28e-05|14.0|0.0|0.0|1.36e-06|3.5599|-1426.5532050000002|-1426.520775|712.52|1196.6|348.28|0.2857|339.64|555.0|-1426.272674|0.0259|-0.14602|8.3187|0.03242949|262.0|6.5817|6.5817
16a_a32|1|1|3.357452523|0|0|0.205693867|-0.0848387459999999|0|2.095743605|-0.008098765|-0.062610718|-0.058518519|3|-0.0999399409999999|-0.107321286|-0.199563743|-0.707456102|0|0.039965071|0.81143469|1|-0.090389538|-0.119471489|0.020664867|-56.2527503|-74.35152328|0.2434571689999999|66.13699638|-1.6726008419999998|-35.00816569|88.96104768|-23.13158502|69.11326055|0.450892763|2615.514164|470.82456669999993|-1040.921326|2992.60858|0.303179963|13.08168264|0.8211379000000001|188.6800971|-647.803815|33.19592405|0.023475264|1493.816582|14.6095244|1.0|1.0|1.0|19.0|-7.3|3.79|0.88|1.0|1.0|1.0|7.0|-5.49|1.0|1.0|3.06|3.2e-06|0.00128|9.14e-05|0.0364|0.0|0.0|2.01e-05|3.6314|-1896.81177|-1896.770883|664.67|1096.48|341.42|0.2859|341.42|535.63|-1896.589348|0.2859|-0.15045|1.3736|0.04088655|11.0|7.9586|7.9586
14u_a23|0|1|0.0|0|0|-0.066969083|-0.025360103|2|0.743634137|0.010561248|-0.026062012|-0.0569153009999999|2|0.091604179|-0.110069159|-0.199540201|-0.4086345999999999|2|-0.001778422|0.71381683|1|-0.055259924|-0.086465795|0.0254134689999999|-36.90928915|-57.75236052|0.090245088|50.47632596|-1.729315897|-24.65250654|73.50348823|-22.64798452|53.88349042|0.47648509|3015.478095|607.6448353|-1155.04721|2430.634114|0.297131017|14.12094979|0.910165272|198.4601847|-771.4808267999999|32.2221994|0.023582305|1643.332169|15.75112771|0.0|1.0|1.0|26.0|-7.51|4.03|2.72|2.0|0.0|1.0|6.0|-5.63|0.0|0.0|3.48|2.32e-06|0.0010199999999999|9.57e-06|0.0042299999999999|0.0|0.0|1.3699999999999998e-05|3.1819|-1744.446261|-1744.422541|712.54|1214.4|389.66|0.2253|306.82|549.0|-1744.1781010000002|0.0008|-0.1543|5.9743|0.0237199999999999|6.0|8.2449|8.2449
10_a27|0|0|0.0|0|0|0.122016352|-0.044164147|2|1.296293777|0.00991794|0.034318674|-0.000903965|1|-0.309727442|-0.2030237389999999|-0.341622797|-0.487435299|2|0.129719095|0.614205449|1|-0.061299064|-0.087022238|0.017676458|-32.5969511|-46.27574168|0.147337847|49.19800605|-1.305333567|-17.33405307|55.05868025|-16.5270506|41.99674607|0.477162521|2270.538352|453.4194305|-694.1361252|943.2258247|0.254639309|12.9316403|0.912640238|135.40932969999997|-369.1201792|22.1732254|0.01651645|931.2754667000002|8.782938574|1.0|1.0|1.0|21.0|-6.24|2.97|2.25|0.0|0.0|1.0|3.0|-3.57|0.0|1.0|2.74|0.000266|0.0882|0.0001189999999999|0.0394|0.0|0.0|0.000192|4.1495|-1083.137871|-1083.1151289999998|573.31|958.95|298.79|0.4452|298.79|450.26|-1082.956472|0.4452|-0.16805|4.6684|0.0227416|69.0|7.1612|7.1612
