molecula|SddssS|n9FaHRing|SaaNH|NaasN|nARing|BCUTs-1|SaasN|MATS2c|AATSC1s|JGI4|MATS7i|ATSC1c|AATSC1are|MATS8i|n5aHRing|AATSC1pe|AATSC7i|MATS1i|AATSC1i|MATS1c|BIC2|MATS8d|SIC2|GATS1pe|nFaHRing|RASA|FNSA3|FNSA5|PNSA5|PPSA3|RNCS|RPSA|WNSA5|WPSA3|RPCS|DPSA5|PNSA4|DPSA3|GRAVp|TASA|PNSA2|MOMI-Z|FPSA1|GeomRadius|GeomDiameter|GeomShapeIndex|GRAV|PPSA1|DPSA4|FPSA5|DPSA2|PPSA5|CYP2C19 inhibitor|CYP2D6 inhibitor|P-gp substrate|Synthetic Accessibility|Fraction Csp3|Num. of Aromatic heavy atoms|Log S (SILICOS-IT)|Log Po/w Silicos-IT Log P|Log Po/w WLOGP|Log Po/w MLOGP|Veber filter|Num. of Rotatable bonds|Heavy atom count|Hydrogen bond acceptors count (using Lipinski’s definition)|Log Kp (cm/s)|BBB|CYP1A2 inhibitor|Consensus Log P|Solubility [Log S (Ali)] (mol/l)|Solubility [Log S (ESOL)] (mol/l)|Solubility [Log S (ESOL)] (mg/ml)|Log Po/w XLOGP3|Solubility [Log S (SILICOS-IT)] (mol/l)|Solubility [Log S (SILICOS-IT)] (mg/ml)|Lowest Unoccupied Molecular Orbital Energy|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|Area (grid)|Volume|Wavelength (max. Transition) (nm)|Contribution (HOMO-LUMO transition)|Oscillator Force (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|E solv. Water  (Hartree)|Dipole (water)|IC50|pIC50|pIC50
7b_a10|0.0|0|0.0|0|2|1.186434511|0.0|-0.170920618|0.037541178|0.037804233|-0.060829392|-0.07459988|0.011041815|-0.01808249|0|0.010068964|-0.0982988509999999|-0.051052176|-0.082499103|-0.1874708719999999|0.764865564|0.065705128|0.8200487120000001|0.586354126|1|0.92441666|-0.0590666679999999|-0.0720417159999999|-37.45675757|5.061217187|13.37827368|0.07558334|-19.47494818|2.6314862480000003|56.22969776|43.9185573|-14.26924098|35.77183831|2290.380138|480.6333417|-599.3081212000001|2150.375871|0.218954161|4.854451707|8.771658176|0.8069307729999999|5212.568172|113.8411654|18.26940272|0.012428175|767.3149142000001|6.46179973|1.0|0.0|1.0|3.9|0.25|16.0|-6.99|4.34|3.03|3.04|0.0|2.0|25.0|3.0|-5.09|1.0|1.0|3.02|5.29e-06|5.25e-06|0.00182|4.68|1.0200000000000001e-07|3.54e-05|-0.05377|-1450.09312|-1450.06366|562.31|951.55|205.85|0.66228|0.0899|-0.1584799999999999|0.02946054|5.6147|19.8|4.7033|4.7033
12p_a36|0.0|0|3.392386149|0|2|1.297044387|0.0|-0.0494658159999999|-0.084341564|0.042804233|0.114716581|-0.432950771|-0.002526241|-0.084846674|1|-0.000673716|0.2461794139999999|-0.101303149|-0.217394466|-0.440709431|0.828371596|-0.074349074|0.8839272779999999|0.698414933|0|0.748438833|-0.082569108|-0.108380023|-68.22905781|12.71795723|83.24921731|0.251561167|-42.95260501|8.006403882999999|0.0|80.40682298|-24.56246081|64.698131|2774.926334|471.1687161|-1228.123041|2308.958924|0.240873847|7.546742977|14.3885803|0.906594718|5922.775161|151.63860559999998|32.35623052|0.019344052|1617.811526|12.17776516|1.0|0.0|1.0|4.72|0.14|17.0|-6.86|3.13|2.44|2.4|0.0|5.0|30.0|5.0|-6.76|1.0|0.0|2.15|0.000129|6.96e-05|0.0278|2.78|1.4e-07|5.58e-05|-0.0552299999999999|-1332.182868|-1332.148901|660.71|1113.05|232.12|0.66559|0.1841|-0.15608|0.03396697|6.7199|9.0|8.0458|8.0458
14b_a3|0.0|0|0.0|0|0|0.605016869|0.0|0.143500839|-0.1160619169999999|0.039799383|-0.1551678719999999|-0.356087317|-0.00603969|-0.008040839|1|-0.004161699|-0.288944272|-0.050943323|-0.094863591|-0.575695827|0.7809478329999999|-0.170297225|0.848135222|0.8255789570000001|1|0.786476513|-0.090994113|-0.100993354|-49.38772279|6.273415527999999|252.49572540000003|0.2135234869999999|-24.15156108|3.067822725|82.79166784|57.87172082|-17.83445545|50.77131401|2160.565755|384.6023764|-642.0403962|1289.104749|0.233084567|4.989782639|9.738358819|0.951659927|4803.535505|113.9829058|23.25478753|0.017348996|837.1723509999999|8.483998032|0.0|1.0|1.0|3.18|0.06|21.0|-6.89|4.28|3.71|1.04|0.0|2.0|23.0|4.0|-6.42|0.0|1.0|2.82|3.54e-05|0.000103|0.0327|2.58|1.28e-07|4.08e-05|-0.06676|-1327.514377|-1327.4859310000002|524.27|879.19|403.54|0.70123|0.2276|-0.12942|0.02844675|3.8724|0.38|6.4202|6.4202
12b_a32|0.0|1|3.477905329|0|0|0.609420757|0.0|0.115940697|-0.055500132|0.0388738739999999|-0.044307211|-0.462201267|-0.003484915|-0.031446256|3|-0.001662219|-0.079768013|-0.0852122769999999|-0.1534110109999999|-0.584995111|0.838021287|-0.090027803|0.8887585240000001|0.7507116140000001|1|0.782593|-0.081450418|-0.097525366|-60.93328667|10.17310723|90.57560878|0.217407|-38.07076621|6.356098747000001|65.29222164|76.65746734|-17.22027667|61.06285882|2573.006963|488.9595947|-792.1327267000001|3148.185476|0.39579391|7.076348793999999|12.42841652|0.756331814|5653.268811|247.2897528|28.50066715|0.025166975|1311.0306890000002|15.72418067|1.0|1.0|1.0|3.47|0.26|19.0|-7.65|6.49|4.19|1.1|1.0|7.0|27.0|4.0|-6.4|0.0|1.0|3.59|1.27e-06|3.72e-05|0.0148|3.28|2.23e-08|8.86e-06|-0.05173|-1880.770588|-1880.732075|663.89|1109.93|347.27|0.70258|0.2865|-0.14803|0.0385132|4.1080000000000005|26.0|7585.0|7585.0
13_a10|0.0|0|0.0|1|1|1.343837907|2.091672336|-0.059862024|-0.055497169|0.038726287|-0.093280469|-0.259721373|0.00384732|-0.002128014|1|0.003791547|-0.154121136|-0.017015286|-0.02811323|-0.345108701|0.78472614|-0.002671425|0.84680169|0.736686715|1|0.818027691|-0.094726989|-0.082327045|-41.62089688|6.168030793|174.7319717|0.181972309|-21.04167667|3.118282386|0.0|51.21590298|-15.22715739|54.05778885|2261.82488|413.5584641|-624.3134531000001|1630.880014|0.285505651|5.069505473|9.209972585|0.816739845|4941.066161|144.338975|21.31179541|0.018979132|873.7836118999999|9.595006108|1.0|1.0|1.0|3.02|0.15|21.0|-6.6|3.52|3.81|1.88|0.0|2.0|25.0|4.0|-6.34|1.0|1.0|2.91|0.000176|7.87e-05|0.0258|2.76|2.49e-07|8.170000000000001e-05|-0.05022|-1065.874094|-1065.839441|550.83|926.41|212.63|0.68386|0.1514|-0.15937|0.0346535|5.3726|0.16|6.7959|6.7959
14_a15|0.0|0|0.0|0|0|1.43568901|0.0|-0.058775738|-0.0455566929999999|0.037073171|-0.033982971|-0.374014235|0.001740635|-0.053931584|0|0.0034254209999999|-0.051908601|-0.120626133|-0.184255041|-0.3848940629999999|0.719993769|-0.028227917|0.7651878809999999|0.7933685340000001|0|0.8870890459999999|-0.063809873|-0.0917424269999999|-58.79722871|9.403293601|92.51564418|0.112910954|-37.68282812|6.026520371|2.923143027|68.59458198|-21.0782518|50.29869851|2612.691478|568.5306056|-1117.1473460000002|2731.841165|0.229690275|6.040010666000001|10.18067005|0.685538423|5861.387612|147.2072638|27.36334635|0.015286995|1450.257357|9.797353271|1.0|1.0|1.0|3.56|0.12|24.0|-9.82|5.32|6.3|2.87|0.0|6.0|30.0|4.0|-4.97|0.0|1.0|4.7|5.99e-07|1.47e-06|0.000584|5.29|1.51e-10|5.99e-08|-0.0338199999999999|-1281.105795|-1281.0669369999998|689.8|1177.14|278.5|0.7055899999999999|0.0054|-0.14997|0.03885834|5.0894|0.03|7.5229|7.5229
12aa_a30|0.0|0|0.0|0|2|0.604983643|0.0|-0.101407312|-0.028524865|0.043854875|-0.014017531|-0.539735362|0.003529389|0.059360681|1|0.005111479|-0.023695642|-0.12254489|-0.207153446|-0.394520145|0.809127478|-0.012535889|0.855880335|0.794193541|0|0.8126513129999999|-0.078042288|-0.101368383|-70.79444906|21.58471858|55.0567406|0.1873486869999999|-49.44198469|15.0745057|0.0|91.51563481|-23.59814969|76.08850600000001|3115.249471|567.5458219999999|-1345.094532|2455.130164|0.369240427|8.65813938|16.21199661|0.872457337|6944.511023|257.8730361|37.41227352|0.029670025|2132.499591|20.72118575|1.0|0.0|1.0|4.86|0.21|17.0|-6.83|3.94|2.63|2.2|0.0|7.0|33.0|6.0|-6.39|0.0|0.0|2.52|2.47e-06|9.94e-06|0.00456|3.81|1.47e-07|6.720000000000001e-05|-0.04966|-1804.818818|-1804.784381|748.78|1275.73|238.78|0.68642|0.1506|-0.1472099999999999|0.03443621|6.4878|8.0|8.1135|8.1135
10_a15|0.0|0|0.0|0|0|1.4356889780000002|0.0|-0.137104477|-0.0435725659999999|0.037209302|-0.0869138469999999|-0.384887119|0.001740635|-0.077096984|0|0.0034254209999999|-0.132759909|-0.120626133|-0.184255041|-0.391156537|0.713794823|0.018211609|0.7585998270000001|0.7933685340000001|0|0.933136945|-0.052826735|-0.101494566|-59.05618983|6.101312009|6.497096666|0.066863055|-34.36276159|3.550143186|0.0|65.80736417|-21.17108692|36.83936823|2605.82709|542.9602292000001|-1122.067607|2305.991259|0.169827351|5.555044294|10.08767698|0.815948972|6204.37804|98.81668286|25.50202895|0.0116026369999999|1351.607534|6.751174337|1.0|1.0|1.0|3.58|0.12|24.0|-9.82|5.32|6.3|2.87|0.0|6.0|30.0|4.0|-4.97|0.0|1.0|4.69|5.99e-07|1.47e-06|0.000584|5.29|1.51e-10|5.99e-08|-0.03581|-1281.088565|-1281.061184|631.2|1136.48|277.48|0.70313|0.0042|-0.15377|0.02738146|3.1460000000000004|7.0|8.1549|8.1549
12u_a36|0.0|0|3.508898495|0|2|1.270259304|0.0|-0.054501792|-0.0407717229999999|0.042560386|0.033763276|-0.407105926|0.0042553209999999|-0.063855309|1|0.005035022|0.055588998|-0.099596099|-0.163978382|-0.438988314|0.8101678720000001|-0.018047007|0.855176759|0.860667615|0|0.842227829|-0.07260571|-0.0969881059999999|-67.50289394|12.27663887|86.1184622|0.157772171|-46.98143813|8.544435884|5.944854912|78.06218646|-24.02645378|62.80959338|2831.106839|586.1833819|-1417.5607730000002|2455.7556010000003|0.22061252|7.65672775|14.90088936|0.946117173|6127.402572|153.5444314|30.82735404|0.015171583|1818.813889|10.55929252|1.0|0.0|1.0|5.05|0.24|17.0|-7.38|3.85|3.01|2.66|0.0|6.0|32.0|4.0|-6.19|1.0|1.0|2.66|1.13e-05|1.39e-05|0.00589|3.8|4.2e-08|1.7800000000000002e-05|-53.0|-1350.8981130000002|-1350.865506|739.12|1254.5|319.16|0.70272|0.0176|-0.15109|0.03260752|7.8877|16.0|7.7959|7.7959
25d_a34|0.0|0|0.0|1|1|1.433689841|1.940324546|0.128783829|-0.089654563|0.041037037|-0.163072107|-0.8576484190000001|-0.005017781|-0.1266965|1|-0.001685762|-0.263924686|-0.211368416|-0.342090037|-0.605891389|0.7498681140000001|0.011919831|0.799694715|0.778903495|0|0.674282353|-0.100582621|-0.124111479|-82.09024497|19.36462983|174.9700398|0.325717647|-54.29641443|12.8082206|69.64131956|95.24066462|-29.42857839|85.89233572|2939.671168|445.9861716|-1559.714654|2564.887803|0.2227964039999999|6.933980884|13.29135354|0.916843118|6513.063805|147.36277019999997|37.86469665|0.019881997|2006.828923|13.15041965|1.0|1.0|1.0|3.58|0.12|23.0|-8.08|3.05|3.95|2.26|0.0|7.0|32.0|5.0|-6.74|0.0|1.0|3.21|2.44e-05|3.3e-05|0.0141|3.05|8.26e-09|3.53e-06|-0.03521|-1426.496796|-1426.468726|706.21|1198.19|290.15|0.6764600000000001|0.2106|-0.1771299999999999|0.02807001|8.0068|0.95|6.0223|6.0223
